"rownum","Id","MonsterTypesKey","i32","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","ModsKeys","i32","string","string","ModelSizeMultiplier","i32","i32","i32","i32","i32","i32","i32","i32","[rid]","i32","[rid]","i32","i32","i32","i32","i32","[rid]","string","[rid]","string","rid","string","i32","i32","i32","[rid]","[rid]","rid","rid","rid","rid","i32","[rid]","[rid]","[rid]","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","rid","i32","i32","i32","i32","i32","i32","rid","rid","i32","i32","i32","rid","i32","i32","i32","bool","bool","bool","i32","i32","f32","string","i32","rid","bool","bool","i32","bool","i32","i32","i32","i32","i32","i32","[string]","i32","i32","bool","rid","i32","bool","i32","i32","i32","i32","bool","i32","rid","f32","f32","bool","[string]","rid","i32","i32","i32","rid","bool","i32","bool"
471,"Metadata/Monsters/Mutewind/MutewindWomanSpearShield",227,37,2,6,19,"[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanSpearShield.act""]","[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanPonytail.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanNoPhys.ao"",""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman",[],1,"","",100,2,6,3,0,0,0,1,0,"[71,48,754,713,1087,31,714,118,1023]",110,[],105,105,700,500,0,"[581,3547,4974,4975]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanSpearShield.ais","[5080,5248,5204]","",0,"Faridun Infantry",110,110,1500,[15129],[15136],"",77,26,"",0,[],[],[],"",2,4,122,0,0,135,1342181681,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,0,0,0,1049,-33554432,-16843010,-16843010,-16843010,3372154622,0,0,1049,167772160,1342177280,0,268544,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",1,"",0,0,-5,5,"",0,"",1,1,"",[],286,4,105,1028443341,0,1,0,""
472,"Metadata/Monsters/Mutewind/MutewindBoy",233,41,1,5,7,"[""Metadata/Monsters/Mutewind/BanditBoy/MutewindBanditBoy.act""]","[""Metadata/Monsters/Mutewind/BanditBoy/MutewindBanditBoy.ao"",""Metadata/Monsters/Mutewind/BanditBoy/MutewindBanditBoyNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditBoy/MutewindBanditBoy",[],1,"","",100,2,6,1,0,0,0,1,0,"[1021,755,71,48,713,31,29,714,118]",80,[],105,105,700,500,0,"[581,3547]","Metadata/Monsters/Mutewind/BanditBoy/MutewindBanditBoy.ais",[],"",0,"Faridun Neophyte",80,80,1320,[15133],[15133],"",9,9,"",0,[],[],[],"",1,4,114,0,0,135,1342200673,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,3019898880,3019898880,-1275068416,1052,-33554432,-16843010,-16843010,-16843010,3372154622,3019898880,-1275068416,1052,167772160,1342177280,0,269492,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",1,"",0,0,-5,5,"",0,"",1,1,"",[],286,3,80,1028443341,0,1,0,""
473,"Metadata/Monsters/Mutewind/MutewindGirl",234,42,1,4,9,"[""Metadata/Monsters/Mutewind/BanditGirl/MutewindBanditGirl.act""]","[""Metadata/Monsters/Mutewind/BanditGirl/MutewindBanditGirl.ao"",""Metadata/Monsters/Mutewind/BanditGirl/MutewindBanditGirlNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditGirl/MutewindBanditGirl",[],1,"","",100,2,6,1,0,0,0,1,0,"[1021,755,71,48,713,31,29,714,118]",80,[],105,105,700,500,0,"[581,4881,4882]","Metadata/Monsters/Mutewind/BanditGirl/MutewindBanditGirl.ais",[],"",0,"Faridun Fledgling",80,80,1500,[15131],[],"",57,"","",0,[],[],[],"",1,4,114,0,0,135,1342210138,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,2147483648,2147483648,-2147483648,1056,-33554432,-16843010,-16843010,-16843010,3372154622,2147483648,-2147483648,1056,167772160,1342177280,0,270464,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",1,"",0,0,-5,5,"",0,"",1,1,"",[],286,3,80,1028443341,0,1,0,""
474,"Metadata/Monsters/Mutewind/MutewindManDualSwordSandCrusted",230,45,2,4,13,"[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan.act""]","[""Metadata/Monsters/Mutewind/BanditMan/FaridunSandCrustedBanditMan.ao"",""Metadata/Monsters/Mutewind/BanditMan/FaridunSandCrustedBanditManNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan",[],1,"","",110,2,6,1,0,0,0,1,0,"[1021,755,71,48,713,31,714,118]",120,[],105,105,700,500,0,"[581,3547]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan.ais","[5080,5251]","",0,"Faridun Swordsman",120,120,1395,[15130],[15130],"",9,9,"",0,[],[],[],"",1,4,123,0,0,135,1342184482,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,268435456,268435456,268435456,1059,-33554432,-16843010,-16843010,-16843010,3372154622,268435456,268435456,1059,167772160,1342177280,0,271120,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",1,"",0,0,-5,5,"",0,"",1,1,"",[],286,4,110,1028443341,0,1,0,""
475,"Metadata/Monsters/Mutewind/MutewindMan2HSpearSandCrusted",231,41,3,6,22,"[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan2H.act""]","[""Metadata/Monsters/Mutewind/OldBandit/FaridunSandCrustedOldBandit.ao"",""Metadata/Monsters/Mutewind/OldBandit/FaridunSandCrustedOldBanditNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan",[],1,"","",110,2,6,9,0,0,0,1,0,"[755,71,48,713,31,714,118,1029]",120,[],105,105,700,500,0,"[581,3547,582]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan2H.ais","[5080,5253]","",0,"Faridun Spearman",120,120,1395,[15129],[],"",77,"","",0,[],[],[],"",2,4,122,0,0,135,1342235705,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,2617245696,2617245696,-1677721600,1061,-33554432,-16843010,-16843010,-16843010,3372154622,2617245696,-1677721600,1061,167772160,1342177280,0,271772,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",1,"",0,0,-5,5,"",0,"",1,1,"",[],286,5,110,1028443341,0,1,0,""
476,"Metadata/Monsters/Mutewind/MutewindManSpearShieldSandCrusted_",232,40,3,6,20,"[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditManSpearShield.act""]","[""Metadata/Monsters/Mutewind/BanditMan/FaridunSandCrustedBanditMan.ao"",""Metadata/Monsters/Mutewind/BanditMan/FaridunSandCrustedBanditManNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan",[10407],1,"","",110,2,6,9,0,0,0,1,0,"[755,71,48,713,1087,31,714,118,1029]",120,[],105,105,700,500,0,"[581,3547,4974,4975]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditManSpearShield.ais","[5080,5248,5245]","",0,"Faridun Heavy Infantry",120,120,1500,[15129],[15136],"",77,26,"",0,[],[],[],"",2,4,122,0,0,135,1342200391,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1644167168,1644167168,1644167168,1063,-33554432,-16843010,-16843010,-16843010,3372154622,1644167168,1644167168,1063,167772160,1342177280,0,272226,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",1,"",0,0,-5,5,"",0,"",1,1,"",[],286,5,110,1028443341,0,1,0,""
477,"Metadata/Monsters/Mutewind/MutewindWomanSpearSandCrusted",225,41,2,6,21,"[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanSpear.act""]","[""Metadata/Monsters/Mutewind/BanditWoman/FaridunSandCrustedBanditWoman.ao"",""Metadata/Monsters/Mutewind/BanditWoman/FaridunSandCrustedBanditWomanNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman",[],1,"","",100,2,6,9,0,0,0,1,0,"[755,71,48,713,31,29,714,118,1029]",110,[],105,105,700,500,0,"[581,3458,3646,3459,3647,3648,3649,3547,2818,2819]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanSpear.ais","[5080,5253]","",0,"Faridun Spearwoman",110,110,1500,[15124],[],"",77,"","",0,[],[],[],"",2,4,122,0,0,135,1342194530,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,2113929216,2113929216,2113929216,1066,-33554432,-16843010,-16843010,-16843010,3372154622,2113929216,2113929216,1066,167772160,1342177280,0,273022,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",1,"",0,0,-5,5,"",0,"",1,1,"",[],286,4,105,1028443341,0,1,0,""
478,"Metadata/Monsters/Mutewind/MutewindWomanDualSwordSandCrusted",228,41,2,4,14,"[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanDualSword.act""]","[""Metadata/Monsters/Mutewind/OldBanditWoman/FaridunSandCrustedOldBanditWoman.ao"",""Metadata/Monsters/Mutewind/OldBanditWoman/FaridunSandCrustedOldBanditWomanNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman",[],1,"","",100,2,6,1,0,0,0,1,0,"[1021,755,71,48,713,31,29,714,118]",110,[],105,105,700,500,0,"[581,3460,3461,572,3547,3462,3463]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanDualSword.ais","[5080,5251]","",0,"Faridun Bladedancer",110,110,1500,[15130],[15130],"",9,9,"",0,[],[],[],"",1,4,123,0,0,135,1342216134,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,2583691264,2583691264,-1711276032,1069,-33554432,-16843010,-16843010,-16843010,3372154622,2583691264,-1711276032,1069,167772160,1342177280,0,273818,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",1,"",0,0,-5,5,"",0,"",1,1,"",[],286,4,105,1028443341,0,1,0,""
479,"Metadata/Monsters/Mutewind/MutewindWomanDualDaggerSandCrusted",229,41,2,5,7,"[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanDualDagger.act""]","[""Metadata/Monsters/Mutewind/BanditWoman/FaridunSandCrustedBanditWoman.ao"",""Metadata/Monsters/Mutewind/BanditWoman/FaridunSandCrustedBanditWomanNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman",[],1,"","",100,2,6,4,0,0,0,1,0,"[1024,755,71,48,713,31,29,714,118]",105,[],105,105,700,500,0,"[581,3547]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanDualDagger.ais","[5080,5251]","",0,"Faridun Wind-slicer",105,105,1500,[15132],[15132],"",7,7,"",0,[],[],[],"",1,4,114,0,0,135,1342233658,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,536870912,536870912,536870912,1071,-33554432,-16843010,-16843010,-16843010,3372154622,536870912,536870912,1071,167772160,1342177280,0,274208,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",1,"",0,0,-5,5,"",0,"",1,1,"",[],286,4,103,1028443341,0,1,0,""
480,"Metadata/Monsters/Mutewind/MutewindWomanJavelinSandCrusted",226,46,2,4,10,"[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanJavelin.act""]","[""Metadata/Monsters/Mutewind/BanditWoman/FaridunSandCrustedBanditWoman.ao"",""Metadata/Monsters/Mutewind/BanditWoman/FaridunSandCrustedBanditWomanNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman",[],1,"","",100,2,6,9,0,0,0,1,0,"[723,755,71,48,31,29,714,32,118,1029]",105,[],105,105,700,500,0,"[581,4688,4856,4855,4857,3547]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanJavelin.ais","[5080,5253]","",0,"Faridun Javelineer",105,105,1500,[15127],[],15128,77,"","",0,[],[],[],"",1,4,122,0,0,135,1342185791,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,3758096384,3758096384,-536870912,1072,-33554432,-16843010,-16843010,-16843010,3372154622,3758096384,-536870912,1072,167772160,1342177280,0,274656,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",1,"",0,0,-5,5,"",0,"",1,1,"",[],286,4,103,1028443341,0,1,0,""
481,"Metadata/Monsters/Mutewind/MutewindWomanSpearShieldSandCrusted",227,37,2,6,20,"[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanSpearShield.act""]","[""Metadata/Monsters/Mutewind/BanditWoman/FaridunSandCrustedBanditWomanNoPhys.ao"",""Metadata/Monsters/Mutewind/BanditWoman/FaridunSandCrustedBanditWoman.ao""]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman",[],1,"","",100,2,6,9,0,0,0,1,0,"[71,48,754,713,1087,31,714,118,1029]",110,[],105,105,700,500,0,"[581,3547,4974,4975]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanSpearShield.ais","[5080,5248,5204]","",0,"Faridun Infantry",110,110,1500,[15129],[15136],"",77,26,"",0,[],[],[],"",2,4,122,0,0,135,1342207076,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,2550136832,2550136832,-1744830464,1074,-33554432,-16843010,-16843010,-16843010,3372154622,2550136832,-1744830464,1074,167772160,1342177280,0,275096,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",1,"",0,0,-5,5,"",0,"",1,1,"",[],286,4,105,1028443341,0,1,0,""
482,"Metadata/Monsters/Mutewind/MutewindBoySandCrusted",233,41,1,5,7,"[""Metadata/Monsters/Mutewind/BanditBoy/MutewindBanditBoy.act""]","[""Metadata/Monsters/Mutewind/BanditBoy/FaridunSandCrustedBanditBoy.ao"",""Metadata/Monsters/Mutewind/BanditBoy/FaridunSandCrustedBoyNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditBoy/MutewindBanditBoy",[],1,"","",100,2,6,4,0,0,0,1,0,"[1024,755,71,48,713,31,29,714,118]",80,[],105,105,700,500,0,"[581,3547]","Metadata/Monsters/Mutewind/BanditBoy/MutewindBanditBoy.ais",[],"",0,"Faridun Neophyte",80,80,1320,[15134],[15134],"",9,9,"",0,[],[],[],"",1,4,114,0,0,135,1342239536,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,4194304000,4194304000,-100663296,1076,-33554432,-16843010,-16843010,-16843010,3372154622,4194304000,-100663296,1076,167772160,1342177280,0,275706,0,"","","",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",1,"",0,0,-5,5,"",0,"",1,1,"",[],286,3,80,1028443341,0,1,0,""
483,"Metadata/Monsters/Mutewind/MutewindManDualSwordCorroded_",230,45,2,4,13,"[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan.act""]","[""Metadata/Monsters/Mutewind/BanditMan/CorMutewindBanditMan.ao"",""Metadata/Monsters/Mutewind/BanditMan/CorMutewindBanditManNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan",[],1,"","",110,2,6,1,0,0,0,1,0,"[1021,755,71,48,713,31,714,118]",120,[],105,105,700,500,0,"[581,3547]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan.ais","[5080,5251]","",0,"Faridun Swordsman",120,120,1395,[15130],[15130],"",9,9,"",0,[],[],[],"",1,4,123,0,0,135,1342216702,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1778384896,1778384896,1778384896,1079,-33554432,-16843010,-16843010,-16843010,3372154622,1778384896,1778384896,1079,167772160,1342177280,0,276330,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",1,"",0,0,-5,5,"",0,"",1,1,"",[],286,4,110,1028443341,0,1,0,""
484,"Metadata/Monsters/Mutewind/MutewindManDualSwordCorrodedPatrol",230,45,2,4,13,"[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan.act""]","[""Metadata/Monsters/Mutewind/BanditMan/CorMutewindBanditMan.ao"",""Metadata/Monsters/Mutewind/BanditMan/CorMutewindBanditManNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditManPatrol",[],1,"","",110,2,6,1,0,0,0,1,0,"[1021,755,71,48,713,31,714,118]",120,[],105,105,700,500,0,"[581,3547]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan.ais","[5080,5251]","stance2",0,"Faridun Swordsman",120,120,1395,[15130],[15130],"",9,9,"",0,[],[],[],"",1,4,123,0,0,135,1342228324,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1543503872,1543503872,1543503872,1081,-33554432,-16843010,-16843010,-16843010,3372154622,1543503872,1543503872,1081,0,1342177280,0,276828,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,"","",1,"",0,0,0,0,"",0,"",1,1,"",[],286,4,110,1028443341,0,1,0,""
485,"Metadata/Monsters/Mutewind/MutewindMan2HSpearCorroded",231,41,3,6,22,"[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan2H.act""]","[""Metadata/Monsters/Mutewind/BanditMan/CorMutewindBanditMan.ao"",""Metadata/Monsters/Mutewind/BanditMan/CorMutewindBanditManNoPhys.ao"",""Metadata/Monsters/Mutewind/OldBandit/CorMutewindMan.ao"",""Metadata/Monsters/Mutewind/OldBandit/CorMutewindManNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan",[],1,"","",110,2,6,9,0,0,0,1,0,"[755,71,48,713,31,714,118,1029]",120,[],105,105,700,500,0,"[581,3547,582]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan2H.ais","[5080,5253]","",0,"Faridun Spearman",120,120,1395,[15129],[],"",77,"","",0,[],[],[],"",2,4,122,0,0,135,1342189553,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,3187671040,3187671040,-1107296256,1083,-33554432,-16843010,-16843010,-16843010,3372154622,3187671040,-1107296256,1083,167772160,1342177280,0,277438,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",1,"",0,0,-5,5,"",0,"",1,1,"",[],286,5,110,1028443341,0,1,0,""
486,"Metadata/Monsters/Mutewind/MutewindMan2HSpearCorrodedPatrol",231,37,3,6,20,"[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan2H.act""]","[""Metadata/Monsters/Mutewind/BanditMan/CorMutewindBanditMan.ao"",""Metadata/Monsters/Mutewind/BanditMan/CorMutewindBanditManNoPhys.ao"",""Metadata/Monsters/Mutewind/OldBandit/CorMutewindMan.ao"",""Metadata/Monsters/Mutewind/OldBandit/CorMutewindManNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditManPatrol",[],1,"","",110,2,6,9,0,0,0,1,0,"[71,48,754,713,31,714,118,1029]",120,[],105,105,700,500,0,"[581,3547,582]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan2H.ais","[5080,5253]","stance2",0,"Faridun Spearman",120,120,1395,[15129],[],"",77,"","",0,[],[],[],"",2,4,122,0,0,135,1342203539,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1073741824,1073741824,1073741824,1085,-33554432,-16843010,-16843010,-16843010,3372154622,1073741824,1073741824,1085,0,1342177280,0,277824,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,"","",1,"",0,0,0,0,"",0,"",1,1,"",[],286,5,110,1028443341,0,1,0,""
487,"Metadata/Monsters/Mutewind/MutewindManSpearShieldCorroded",232,40,3,6,20,"[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditManSpearShield.act""]","[""Metadata/Monsters/Mutewind/BanditMan/CorMutewindBanditMan.ao"",""Metadata/Monsters/Mutewind/BanditMan/CorMutewindBanditManNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditMan",[10407],1,"","",110,2,6,9,0,0,0,1,0,"[755,71,48,713,1087,31,714,118,1029]",120,[],105,105,700,500,0,"[581,3547,4974,4975]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditManSpearShield.ais","[5080,5248,5245]","",0,"Faridun Heavy Infantry",120,120,1500,[15129],[15136],"",77,26,"",0,[],[],[],"",2,4,122,0,0,135,1342184844,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,4261412864,4261412864,-33554432,1086,-33554432,-16843010,-16843010,-16843010,3372154622,4261412864,-33554432,1086,167772160,1342177280,0,278270,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",1,"",0,0,-5,5,"",0,"",1,1,"",[],286,5,110,1028443341,0,1,0,""
488,"Metadata/Monsters/Mutewind/MutewindManSpearShieldCorrodedPatrol",232,45,3,6,20,"[""Metadata/Monsters/Mutewind/BanditMan/MutewindBanditManSpearShield.act""]","[""Metadata/Monsters/Mutewind/BanditMan/CorMutewindBanditMan.ao"",""Metadata/Monsters/Mutewind/BanditMan/CorMutewindBanditManNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditManPatrol",[10407],1,"","",110,2,6,9,0,0,0,1,0,"[755,71,48,713,1087,31,714,118,1029]",120,[],105,105,700,500,0,"[581,3547,4974,4975]","Metadata/Monsters/Mutewind/BanditMan/MutewindBanditManSpearShield.ais","[5080,5248,5245]","stance2",0,"Faridun Heavy Infantry",120,120,1500,[15129],[15136],"",77,26,"",0,[],[],[],"",2,4,122,0,0,135,1342226910,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,3355443200,3355443200,-939524096,1088,-33554432,-16843010,-16843010,-16843010,3372154622,3355443200,-939524096,1088,0,1342177280,0,278728,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,"","",1,"",0,0,0,0,"",0,"",1,1,"",[],286,5,110,1028443341,0,1,0,""
489,"Metadata/Monsters/Mutewind/MutewindWomanSpearCorroded__",225,41,2,6,21,"[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanSpear.act""]","[""Metadata/Monsters/Mutewind/BanditWoman/CorMutewindBanditWoman.ao"",""Metadata/Monsters/Mutewind/BanditWoman/CorMutewindBanditWomanPonytail.ao"",""Metadata/Monsters/Mutewind/BanditWoman/CorMutewindBanditWomanNoPhys.ao"",""Metadata/Monsters/Mutewind/BanditWoman/CorMutewindBanditWomanNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWoman",[],1,"","",100,2,6,9,0,0,0,1,0,"[755,71,48,713,31,29,714,118,1029]",110,[],105,105,700,500,0,"[581,3458,3646,3459,3647,3648,3649,3547,2818,2819]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanSpear.ais","[5080,5253]","",0,"Faridun Spearwoman",110,110,1500,[15124],[],"",77,"","",0,[],[],[],"",2,4,122,0,0,135,1342233952,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1778384896,1778384896,1778384896,1092,-33554432,-16843010,-16843010,-16843010,3372154622,1778384896,1778384896,1092,167772160,1342177280,0,279658,0,"",1,"",-5,5,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],-5,5,"","",1,"",0,0,-5,5,"",0,"",1,1,"",[],286,4,105,1028443341,0,1,0,""
490,"Metadata/Monsters/Mutewind/MutewindWomanSpearCorrodedPatrol",225,40,2,6,21,"[""Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanSpear.act""]","[""Metadata/Monsters/Mutewind/BanditWoman/CorMutewindBanditWoman.ao"",""Metadata/Monsters/Mutewind/BanditWoman/CorMutewindBanditWomanPonytail.ao"",""Metadata/Monsters/Mutewind/BanditWoman/CorMutewindBanditWomanNoPhys.ao"",""Metadata/Monsters/Mutewind/BanditWoman/CorMutewindBanditWomanNoPhys.ao""]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanPatrol",[],1,"","",100,2,6,9,0,0,0,1,0,"[755,71,48,713,31,29,714,118,1029]",110,[],105,105,700,500,0,"[581,3458,3646,3459,3647,3648,3649,3547,2818,2819]","Metadata/Monsters/Mutewind/BanditWoman/MutewindBanditWomanSpear.ais","[5080,5253]","stance2",0,"Faridun Spearwoman",110,110,1500,[15124],[],"",77,"","",0,[],[],[],"",2,4,122,0,0,135,1342219908,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,4026531840,4026531840,-268435456,1094,-33554432,-16843010,-16843010,-16843010,3372154622,4026531840,-268435456,1094,0,1342177280,0,280304,0,"",1,"",0,0,0,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,"","",1,"",0,0,0,0,"",0,"",1,1,"",[],286,4,105,1028443341,0,1,0,""
