"rownum","Mod","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Visual","TextStyles","bool","bool"
102,31605,"Life Regen","Régénération de Vie","Lebensregeneration","ライフ自動回復","생명력 재생","Regeneração de Vida","Регенерация здоровья","Regeneración de vida","ฟื้นฟูพลังชีวิต","生命回復","",[],"",""
103,31606,"Ignites","Embrase","Entzündet","発火付与","점화","Incendeia","Поджигает","Quema","สร้างสถานะ ลุกไหม้","點燃",8,[],"",""
104,31607,"Shocks","Électrocute","Schockt","感電付与","감전","Eletriza","Накладывает шок","Electrocuta","สร้างสถานะ ช็อค","感電",12,[],"",""
105,31608,"Poisons","Empoisonne","Vergiftet","毒付与","중독","Envenena","Отравляет","Envenena","สร้างสถานะ พิษ","中毒",0,[],"",""
106,31609,"Bleeds","Inflige le Saignement","Verursacht Bluten","出血付与","출혈","Sangra","Накладывает кровотечение","Aplica sangrado","สร้างสถานะ เลือดไหล","流血",14,[],"",""
107,31610,"Chance to Freeze","Chances de Geler","Chance auf Einfrieren","凍結付与","일정 확률로 동결","Chance de Congelar","Может заморозить","Probabilidad de congelar","มีโอกาสสร้างสถานะ แช่แข็ง","機率冰凍",3,[],"",""
108,31611,"Stuns","Étourdit","Betäubt","スタン付与","기절","Atordoa","Оглушает","Aturde","สร้างสถานะ มึนงง","暈眩",13,[],"",""
109,31612,"Increased Area of Effect","Augmentation de la Zone d'effet","Vergrößerter Wirkungsbereich","効果範囲増加","효과 범위 증가","Aumenta a Área de Efeito","Увеличенная область действия","Área de efecto aumentada","เพิ่มพื้นที่ส่งผล","增加範圍傷害",17,[],"",""
110,31613,"Hasted","Véloce","Beschleunigt","素早い","가속","Rápido","Ускоренный","Acelerado","ว่องไว","急速",4,[],"",""
111,31614,"Triple Actions","Actions triples","Dreifache Aktionen","三回行動する","삼중 행동","Ações Triplas","Тройные действия","Acciones triples","กระทำ 3 ครั้ง","三動",10,[],"",""
112,31615,"Extra Projectiles","Projectiles supplémentaires","Extra Projektile","投射物追加","추가 투사체","Projéteis Extras","Дополнительные снаряды","Proyectiles adicionales","เสริมจำนวนกระสุน","額外投射物","",[],"",""
113,31616,"Leeches Life","Draine la Vie","Raubt Leben","ライフをリーチ","생명력 흡수","Drena vida","Похищает здоровье","Absorbe vida","ดูดพลังชีวิต","偷取生命",21,[],"",""
114,31617,"Life Cannot Be Leeched","Immunisé au Drain de Vie","Kein Lebensraub möglich","ライフをリーチすることができない","생명력 흡수되지 않음","Vida Não Pode ser Drenada","Не позволяет похищать здоровье","No puede absorber vida","ไม่ถูก ดูดพลังชีวิต","生命不能被偷取",21,[],"",""
115,31618,"Gains Random Charges","Gagne des Charges au hasard","Erhält zufällige Ladungen","ランダムなチャージを獲得","무작위 충전 획득","Ganha Cargas Aleatórias","Получает случайные заряды","Gana cargas aleatorias","ได้รับ Charge แบบสุ่ม","獲得隨機能量球",22,[],"",""
116,31619,"Endurance Charge when Hit","Gagne des Charges d'endurance quand Touché","Widerstands-Ladung bei erlittenem Treffer","ヒットを受けた時にエンデュランスチャージ獲得","피격 시 인내 충전","Carga de Tolerância quando Acertado","Заряд выносливости при получении удара","Carga de aguante al ser golpeado","ได้รับ Endurance Charge เมื่อถูกปะทะ","被擊中時獲得耐力球","",[],"",""
117,31620,"Frenzy Charge on Hit","Gagne des Charges de frénésie au Toucher","Raserei-Ladung bei Treffer","ヒット時にフレンジーチャージ獲得","명중 시 격분 충전","Carga de Frenesi no Acerto","Заряд ярости при нанесении удара","Carga de frenesí al golpear","ได้รับ Frenzy Charge เมื่อปะทะ","擊中時獲得狂怒球","",[],"",""
118,31621,"Power Charge on Cast","Gagne des Charges de pouvoir sur Incantation","Energie-Ladung beim Wirken","キャスト時にパワーチャージ獲得","시전 시 권능 충전","Carga de Poder ao Conjurar","Заряд энергии при сотворении","Carga de poder al lanzar hechizo","ได้รับ Power Charge เมื่อร่าย","施放時獲得暴擊球","",[],"",""
119,31622,"Cannot be Slowed","Ne peut pas être Ralenti","Kann nicht verlangsamt werden","減速状態にならない","느려짐 면역","Não Pode ser Desacelerado","Не может быть замедлен","No se puede ralentizar","ไม่ถูกทำให้ เชื่องช้า","不能被緩速",20,[],"",""
120,31623,"Cannot be Stunned","Ne peut pas être Étourdi","Kann nicht betäubt werden","スタンを受けることがない","기절 면역","Não Pode ser Atordoado","Не может быть оглушен","No se puede aturdir","ไม่ติดสถานะ มึนงง","不能被暈眩",20,[],"",""
121,31624,"Periodically Enrages","S'enrage périodiquement","Wird regelmäßig wütend","定期的に怒る","주기적으로 격앙됨","Enfurece Periodicamente","Периодически впадает в ярость","Se enfurece periódicamente","เดือดดาล เป็นระยะ","持續激怒",27,[],"",""
122,31625,"Always Crits","Effectue toujours des Critiques","Landet immer kritische Treffer","常にクリティカルを与える","항상 치명타","Sempre Crita","Всегда наносит критический удар","Sus golpes son siempre críticos","คริติคอลเสมอ","必定暴擊","",[],"",""
123,31626,"Blinds","Aveugle","Blendet","盲目付与","실명","Cega","Ослепляет","Ciega","สร้างสถานะ ตาบอด","致盲","",[],"",""
124,31627,"Crit Resistant","Résistant aux Critiques","Widersteht kritischen Treffern","クリティカルに耐性","치명타 저항","Resistente a Críticos","Сопротивление критическим ударам","Resiste críticos","ต้านทานคริติคอล","暴擊抵抗","",[],"",""
125,31628,"Hexproof","Anti-Calamités","Hexgeschützt","呪術無効化","사술 방지","Infeitiçável","Заговорённый","Antimaleficios","ป้องกันสาปสะกด","無咒","",[],"",""
126,31629,"Chaining","Effectue des Ricochets","Verkettet","チェイン回数追加","연쇄","Ricocheteador","Удары по цепи","Encadenamiento","ชิ่ง","連鎖",5,[],"",""
127,31630,"Far Shot","Tir lointain","Weitschuss","ファーショット","장거리 사격","Tiro Distante","Дальний выстрел","Tiro largo","Far Shot","狙擊",5,[],"",""
128,31631,"Extra Damage to Injured Foes","Dégâts supplémentaires aux cibles blessées","Extra Schaden bei verletzten Gegnern","ダメージを受けている敵に追加ダメージ","부상당한 적에게 추가 피해","Dano Extra em Inimigos Machucados","Дополнительный урон по раненым врагам","Daño adicional a los enemigos heridos","เสริมความเสียหายต่อศัตรูที่บาดเจ็บ","對受傷敵人有額外傷害",34,[],"",""
129,31632,"Charge Removal","Supprime les Charges","Entfernt Ladungen","ヒット時にチャージを取り除く","충전 제거","Remove Cargas","Удаляет заряды","Eliminación de cargas","กำจัด Charge","移除能量球","",[],"",""
130,31633,"Inflicts Corrupted Blood","Inflige Sang corrompu","Verursacht verderbtes Blut","穢れた血を付与","타락한 피 유발","Inflige Sangue Corrompido","Накладывает осквернённую кровь","Aplica sangre corrupta","สร้างสถานะ โลหิตมลทิน","造成腐化之血",50,[],"",""
131,31634,"Spell Resistant","Résistant aux Sorts","Widersteht Zaubern","スペルに耐性","주문 저항","Resistente a Magia","Сопротивление чарам","Resiste hechizos","ต้านทานเวท","法術抵抗","",[],"",""
132,31635,"Blocks Attacks","Bloque les Attaques","Blockt Angriffe","アタックをブロックする","공격 막아냄","Bloqueia Ataques","Блокирует атаки","Bloquea ataques","บล็อคการโจมตี","格擋攻擊","",[],"",""
133,31636,"Reflects Certain Ailments","Renvoie certaines Altérations","Reflektiert bestimmte Beeinträchtigungen","特定の状態異常を反射する","특정 상태 이상 반사","Reflete Certas Afecções","Отражает определённые состояния","Refleja algunos estados alterados","สะท้อนสถานะ เจ็บป่วย บางอย่าง","造成特定異常狀態","",[],"",""
134,31637,"Reflects Hexes","Renvoie les Calamités","Reflektiert Verhexungen","呪術を反射する","사술 반사","Reflete Feitiços","Отражает порчи","Refleja maleficios","สะท้อนสาปสะกด","造成咒術","",[],"",""
135,31638,"Haste Aura","Aura de Hâte","Hast-Aura","ヘイストオーラ","가속의 오라","Aura do Ímpeto","Аура Спешки","Aura de celeridad","ออร่าว่องไว","迅捷光環","",[],"",""
136,31639,"Energy Shield Aura","Aura de Bouclier d'énergie","Energieschild-Aura","エナジーシールドオーラ","에너지 보호막 오라","Aura de Escudo de Energia","Аура энергетического щита","Aura de escudo de energía","ออร่าโล่พลังงาน","能量護盾光環","",[],"",""
137,31640,"Applies Random Mark","Applique une Marque au hasard","Verursacht zufälliges Mal","ランダムな呪印を付与","무작위 징표 적용","Aplica uma Marca Aleatória","Накладывает случайную метку","Aplica una señal aleatoria","สร้าง สาปแช่งแบบสุ่ม","套用隨機印記","",[],"",""
138,31641,"Precision Aura","Aura de Précision","Präzision-Aura","プレシジョンオーラ","정밀함 오라","Aura da Precisão","Аура Меткости","Aura de precisión","ออร่าเที่ยงตรง","精準光環","",[],"",""
139,31642,"Minions Fire Explode on Death","Les Créatures Explosent en Dégâts de feu en mourant","Kreaturen verursachen bei Tod Feuer-Explosion","ミニオンは死亡時に火ダメージの爆発をする","소환수 사망 시 화염 폭발","Explosão de Fogo do Lacaio ao Morrer","Приспешники взрываются огнём при смерти","Esbirros explotan con fuego al morir","มิเนียน ระเบิดไฟ เมื่อตาย","召喚物死亡時火焰爆炸","",[],"",""
140,31643,"Minions Cold Explode on Death","Les Créatures Explosent en Dégâts de froid en mourant","Kreaturen verursachen bei Tod Kälte-Explosion","ミニオンは死亡時に冷気ダメージの爆発をする","소환수 사망 시 냉기 폭발","Explosão de Gelo do Lacaio ao Morrer","Приспешники взрываются холодом при смерти","Esbirros explotan con hielo al morir","มิเนียน ระเบิดน้ำแข็ง เมื่อตาย","召喚物死亡時冰冷爆炸","",[],"",""
141,31644,"Minions Lightning Explode on Death","Les Créatures Explosent en Dégâts de foudre en mourant","Kreaturen verursachen bei Tod Blitz-Explosion","ミニオンは死亡時に雷ダメージの爆発をする","소환수 사망 시 번개 폭발","Explosão de Raio do Lacaio ao Morrer","Приспешники взрываются молнией при смерти","Esbirros explotan con rayo al morir","มิเนียน ระเบิดสายฟ้า เมื่อตาย","召喚物死亡時閃電爆炸","",[],"",""
142,31645,"Life Shared with Treant Minions","Vie partagée avec des Créatures Tréants","Teilt Leben mit Treant-Kreaturen","トレントミニオンとライフを共有","나무인간 소환수와 생명력 공유","Vida Compartilhada com Lacaios Trent","Разделяет здоровье с древнями-приспешниками","Vida compartida con esbirros treant","แบ่งปันพลังชีวิต ให้กับ มิเนียน Treant","生命和樹人召喚物共享",39,[],"",""
143,31646,"Inflicts Grasping Vines","Inflige Lianes agrippantes","Verursacht greifende Ranken","束縛する蔦を付与","탐욕스러운 덩굴 유발","Inflige Vinhas Aprisionadoras","Накладывает удушающие лианы","Aplica Enredaderas acechantes","สร้างสถานะ เถาวัลย์เหนี่ยวรั้ง","造成緩速藤蔓",37,[],"",""
144,31647,"Hinder Aura","Aura d'Entrave","Lähmende Aura","阻害オーラ","이동 방해 오라","Aura da Lentidão","Аура скованности","Aura de entumecimiento","ออร่าขัดขวาง","阻礙光環",25,[],"",""
145,31648,"Extra Physical Damage Aura","Aura de Dégâts physiques supplémentaires","Aura mit extra physischem Schaden","物理ダメージ追加オーラ","추가 물리 피해 오라","Aura do Dano Físico Extra","Аура дополнительного физического урона","Aura de daño físico extra","ออร่าเสริมความเสียหาย กายภาพ","額外物理傷害光環","",[],"",""
146,31649,"Revives Nearby Allies on Death","Fait revenir à la vie les Alliés proches","Belebt Verbündete im Umkreis bei Tod","死亡時に近くの味方を蘇生","사망 시 주변 동료들 부활","Revive Aliados Próximos ao Morrer","Воскрешает ближайших союзников при смерти","Revive a los aliados cercanos al morir","คืนชีพเพื่อนที่อยู่ใกล้ เมื่อตาย","死亡時復活附近友方",23,[],"",""
147,31650,"Powerful Minions","Créatures puissantes","Mächtige Kreaturen","ミニオンが強い","강력한 소환수","Lacaios Poderosos","Могущественные приспешники","Esbirros poderosos","มิเนียนทรงพลัง","強大召喚物","",[],"",""
148,31651,"Constantly Revives Minions","Ranime constamment les Créatures","Belebt konstant Kreaturen","常時ミニオンを蘇生し続ける","지속적으로 소환수 부활","Revive Lacaios Constantemente","Постоянно возрождает приспешников","Revive esbirros constantemente","คืนชีพมิเนียนเป็นประจำ","持續復活召喚物","",[],"",""
149,31652,"Summons Undead","Invoque des morts-vivants","Beschwört Untote","アンデッドを召喚","언데드 소환","Convoca Mortos-Vivos","Призывает нежить","Invoca no muertos","อัญเชิญอันเดด","召喚不死族","",[],"",""
150,31653,"Heals Allies and Suppresses Foe Recovery","Soigne les Alliés et supprime la Récupération des Ennemis","Heilt Verbündete und unterdrückt gegnerische Wiederherstellung","味方を回復し敵の回復を抑制","아군 치유 및 적 회복 억제","Cura Aliados e Suprime a Recuperação dos Inimigos","Лечит союзников и подавляет восстановление врагов","Cura a los aliados y reprime la recuperación de enemigos","รักษาเพื่อน และยับยั้งการเติมของศัตรู","治癒友方和壓抑敵人恢復",33,[],"",""
151,31654,"Prevents Recovery above 50%","Empêche la Récupération au-delà de 50%","Verhindert Wiederherstellung über 50%","50%以上の回復を阻害","50% 위로 회복 방지","Impede a Recuperação acima de 50%","Мешает восстанавливаться выше 50%","Impide la recuperación por encima del 50%","ห้ามไม่ให้เติมเกิน 50%","防止恢復超過50%",34,[],"",""
152,31655,"Temporal Proximity Shield","Bouclier de proximité temporel","Temporärer Annäherungsschild","テンポラル周辺シールド","시간의 근접 보호막","Escudo de Proximidade Temporário","Временный защитный купол","Escudo de proximidad temporal","โล่กาลเวลา พิทักษ์ผู้ใกล้ชิด","暫時靈能之盾",38,[],"",""
153,31656,"Soul Eater","Mange-âmes","Seelenfresser","ソウルイーター","영혼 포식자","Devorador de Almas","Пожиратель душ","Devorador de almas","ผู้กลืนกินวิญญาณ","噬魂者",23,[],"",""
154,31657,"Siphons Mana and Deals Lightning Damage","Siphonne le Mana et inflige des Dégâts de foudre","Entzieht Mana und verursacht Blitzschaden","マナを吸収し雷ダメージを与える","마나 착취 및 번개 피해","Suga Mana e Causa Dano de Raio","Вытягивает ману и наносит урон от молнии","Succiona maná e inflige daño de rayo","ลักมานา และสร้างความเสียหาย สายฟ้า","吸取魔力和造成閃電傷害",49,[],"",""
155,31658,"Invulnerability Aura","Aura d'Invulnérabilité","Unverwundbarkeits-Aura","ダメージ無効化オーラ","무적 오라","Aura da Invulnerabilidade","Аура неуязвимости","Aura de invulnerabilidad","ออร่าอมตะ","無敵光環",51,[],"",""
156,31659,"Siphons Flask Charges","Siphonne les charges de Flacons","Entzieht Fläschchenfüllungen","フラスコチャージを吸収","플라스크 충전 착취","Suga Cargas de Frascos","Вытягивает заряды флакона","Succiona cargas de frasco","ลัก ชาร์จขวดยา","吸取藥劑充能",36,[],"",""
157,31660,"Gain a Mod on Minion Death","Gagne un Modificateur sur la mort d'une Créature","Erhält einen Modifikator bei Kreaturentod","ミニオンが死亡時にモッドを獲得する","소환수 사망 시 속성 획득","Ganha um Mod na Morte de Lacaios","Получает свойство при смерти приспешника","Gana un mod. cuando muere un esbirro","ได้รับม็อด 1 อย่าง เมื่อมิเนียนตาย","召喚物死亡時獲得 1 個詞綴","",[],"",""
158,31661,"Shocked Ground on Death","Sol électrocutant en mourant","Schockender Boden bei Tod","死亡時に感電領域を撒く","사망 시 감전 지대","Solo Eletrizado ao Morrer","Заряженная земля при смерти","Suelo electrificado al morir","สร้าง พื้นช็อค เมื่อตาย","死亡時感電地面",12,[],"",""
159,31662,"Burning Ground on Death","Sol brûlant en mourant","Brennender Boden bei Tod","死亡時に燃焼領域を撒く","사망 시 용암 지대","Solo Incendiário ao Morrer","Горящая земля при смерти","Suelo incendiado al morir","สร้าง พื้นลุกไหม้ เมื่อตาย","死亡時燃燒地面",8,[],"",""
160,31663,"Burning Ground on Death","Sol brûlant en mourant","Brennender Boden bei Tod","死亡時に燃焼領域を撒く","사망 시 용암 지대","Solo Ardente ao Morrer","Горящая земля при смерти","Suelo incendiado al morir","สร้าง พื้นลุกไหม้ เมื่อตาย","死亡時燃燒地面",8,[],"",""
161,31664,"Chilled Ground on Death","Sol frigorifiant en mourant","Unterkühlender Boden bei Tod","死亡時に冷却領域を撒く","사망 시 얼음 지대","Solo Resfriado ao Morrer","Замёрзшая земля при смерти","Suelo escarchado al morir","สร้าง พื้นหนาวเย็น เมื่อตาย","死亡時冰緩地面",3,[],"",""
162,31665,"Consecrated Ground","Sol consacré","Geweihter Boden","神聖領域","신성화 지대","Solo Sagrado","Освященная земля","Suelo consagrado","พื้นศักดิ์สิทธิ์","奉獻地面",26,[],"",""
163,31666,"Trail of Fire","Traînée de feu","Spur aus Feuer","火の足跡","불의 발자취","Provação do Fogo","След огня","Rastro de fuego","ทิ้ง ไฟ เป็นทาง","火痕",43,[],"",""
164,31667,"Trail of Cold","Traînée de froid","Spur aus Kälte","冷気の足跡","냉기의 발자취","Provação do Gelo","След холода","Rastro de hielo","ทิ้ง น้ำแข็ง เป็นทาง","冰痕",40,[],"",""
165,31668,"Trail of Lightning","Traînée de foudre","Spur aus Blitzen","雷の足跡","번개의 발자취","Provação do Raio","След молнии","Rastro de rayo","ทิ้ง สายฟ้า เป็นทาง","電痕",48,[],"",""
166,31669,"Energy Shield Explodes","Explosion de Bouclier d'énergie","Energieschild explodiert","エナジーシールドが爆発する","에너지 보호막 폭발","Escudo de Energia Explode","Взрывает энергетический щит","Su escudo de energía explota","โล่พลังงานระเบิด","能量護盾爆炸",9,[],"",""
167,31670,"Inferno Bolt when Hit","Trait de fournaise quand Touché","Infernobolzen bei erlittenem Treffer","ヒットを受けた時にインフェルノボルト","피격 시 지옥불 화살","Tiro do Inferno quando Acertado","Адский шар при получении удара","Descarga infernal al ser golpeado","สร้าง ลูกอเวจี เมื่อถูกปะทะ","被擊中時煉獄球","",[],"",""
168,31671,"Snow Bolt when Hit","Trait de neige quand Touché","Schneebolzen bei erlittenem Treffer","ヒットを受けた時にスノーボルト","피격 시 눈 화살","Tiro Gélido quando Acertado","Снежный шар при получении удара","Descarga de nieve al ser golpeado","สร้าง ลูกหิมะ เมื่อถูกปะทะ","被擊中時冰雪球","",[],"",""
169,31672,"Lightning Mirage when Hit","Mirage de foudre quand Touché","Blitzillusion bei erlittenem Treffer","ヒットを受けた時にライトニングミラージュ","피격 시 번개 신기루","Tiro Elétrico quando Acertado","Электрический мираж при получении удара","Espejismo de relámpago al ser golpeado","สร้าง ภาพลวงตาสายฟ้า เมื่อถูกปะทะ","被擊中時閃電幻影","",[],"",""
170,31673,"Ice Prison","Prison de glace","Eiskäfig","氷の牢獄","얼음 감옥","Prisão de Gelo","Ледяная тюрьма","Prisión de hielo","คุกน้ำแข็ง","冰牢",41,[],"",""
171,31674,"Caustic Orb on Death","Orbes caustiques en mourant","Ätzende Sphäre bei Tod","死亡時に毒性のオーブ","사망 시 부식성 보주","Orbe Cáustica ao Morrer","Едкая сфера при смерти","Orbe cáustico al morir","สร้าง ลูกกัดกร่อน เมื่อตาย","死亡時腐蝕球",0,[],"",""
172,31675,"Caustic Orb on Death","Orbes caustiques en mourant","Ätzende Sphäre bei Tod","死亡時に毒性のオーブ","사망 시 부식성 보주","Orbe Cáustico ao Morrer","Едкая сфера при смерти","Orbe cáustico al morir","สร้าง ลูกกัดกร่อน เมื่อตาย","死亡時腐蝕球",0,[],"",""
173,31676,"Ambushes","Embuscade","Lauert","奇襲","매복","Embosca","В засаде","Tiende emboscadas","ดักโจมตี","埋伏",30,[],"",""
174,31677,"Curses","Maudit","Verflucht","呪い","저주","Amaldiçoa","Проклинает","Maldice","สาป","詛咒",35,[],"",""
175,31678,"Mirror Images","Images miroirs","Spiegelbilder","ミラーイメージ","거울상","Imagens Espelhadas","Зеркальные отражения","Imágenes reflejadas","ร่างลวงตา","鏡像幻影",47,[],"",""
176,31679,"Fires Mortars","Tire des mortiers","Feuert Geschosse","砲弾を放つ","박격포 발사","Dispara Morteiros","Обстреливает","Dispara morteros","ยิงระเบิด","發射砲擊",6,[],"",""
177,31680,"Explodes Corpses","Fait Exploser les Corps","Lässt Leichen explodieren","死体を爆破する","시신 폭발","Explode Corpos","Подрывает трупы","Explota cadáveres","ระเบิดศพ","屍體爆炸",44,[],"",""
178,31681,"Molten Shell","Carapace volcanique ","Lavaschilde","モルテンシェル","용암 방패","Escudo Vulcânico","Расплавленный панцирь","Coraza fundida","กระดองหลอมละลาย","熔岩護盾",46,[],"",""
179,31682,"Exploding Orbs","Orbes d'Explosion","Explodierende Kugeln","爆発するオーブ","폭발하는 보주","Orbes Explosivas","Взрывающиеся сферы","Orbes explosivos","ลูกระเบิด","爆炸球",46,[],"",""
180,31683,"Lightning Storm","Tempête de foudre","Blitzsturm","ライトニングストーム","번개 폭풍","Tempestade de Raios","Шторм молний","Tormenta eléctrica","พายุสายฟ้า","閃電風暴",12,[],"",""
181,31684,"Exploding Crystals when Hit","Cristaux d'Explosion quand Touché","Explodierende Kristalle bei erlittenem Treffer","ヒットを受けた時に爆発するクリスタル","피격 시 폭발하는 수정","Cristais Explosivos quando Acertado","Взрывающиеся кристаллы при получении урона","Cristales explosivos al ser golpeado","สร้าง ผลึกระเบิด เมื่อถูกปะทะ","被擊中時水晶爆發",52,[],"",""
182,31685,"Lightning Totem Minions","Créatures Totems de foudre","Blitztotem-Kreaturen","ライトニングトーテムのミニオン","번개 토템 소환수","Lacaios Totem de Raio","Тотемы молний","Esbirros de tótem de rayo","มิเนียนโทเทมสายฟ้า","閃電圖騰召喚物",28,[],"",""
183,31686,"Temporarily Revives","Revient à la Vie temporairement","Temporäre Wiederbelebung","一時的に生き返る","일시적으로 부활","Revive Temporariamente","Временное возрождение","Revive temporalmente","คืนชีพชั่วคราว","暫時復活","",[],"",""
184,31687,"Enrages as Life Lost","S'enrage quand perd de la Vie","Wird bei verlorenem Leben wütend","ライフがなくなると怒る","생명력 상실에 따라 격앙","Enfurece ao Perder Vida","Впадает в ярость при потере здоровья","Se enfurece a medida que pierde vida","เดือดดาล เมื่อสูญเสียพลังชีวิต","失去生命時激怒",18,[],"",""
185,31688,"Cycling Damage Reduction","Réduction des dégâts alternante","Wechselnde Schadensminderung","ダメージ軽減が移り変わる","순환 피해 감소","Redução de Dano Cíclica","Чередующееся снижение урона","Reducción de daño cíclica","สับเปลี่ยนการป้องกันความเสียหาย","循環傷害減免",53,[],"",""
186,31689,"Creates Voodoo Doll","Crée une poupée Vaudou","Erzeugt eine Voodoopuppe","ブードゥーの人形を生成する","주술 인형 생성","Cria Bonecas de Voodoo","Создает куклу вуду","Crea un muñeco de vudú","สร้าง หุ่นคุณไสย","製造巫毒娃娃",54,[],"",""
187,31690,"Creates Frost Walls and Flees","Crée des murs de givre et Fuit","Erzeugt Frostmauern und flieht","氷の壁を生成し逃げる","서리 방벽 생성 및 도망","Cria Paredes Gélidas e Foge","Создает стену льда и сбегает","Crea muros de hielo y huye","สร้าง กำแพงน้ำแข็ง แล้วหลบหนี","製造冰牆和逃跑",31,[],"",""
188,31691,"Lunaris-touched","Élu de Lunaris","Von Lunaris berührt","ルナリスに触れられし者","루나리스의 손길에 닿은","Tocado por Lunaris","Касание Лунарис","Tocado por Lunaris","สัมผัสลูนาริส","月神之觸",55,[],1,""
189,31692,"Solaris-touched","Élu de Solaris","Von Solaris berührt","ソラリスに触れられし者","솔라리스의 손길에 닿은","Tocado por Solaris","Касание Солярис","Tocado por Solaris","สัมผัสโซลาริส","日神之觸",56,[],1,""
190,31693,"Arakaali-touched","Élu d'Arakaali","Von Arakaali berührt","アラカーリに触れられし者","아라칼리의 손길에 닿은","Tocado por Arakaali","Касание Аракаали","Tocado por Arakaali","สัมผัสอาราคาลี","艾爾卡莉之觸",57,[],1,""
191,31694,"Brine King-touched","Élu du Roi des Embruns","Vom Gischtkönig berührt","海水の王に触れられし者","염수왕의 손길에 닿은","Tocado pelo Rei da Salmoura","Касание Морского царя","Tocado por el Rey del mar","สัมผัสราชันน้ำเค็ม","海洋王之觸",58,[],1,""
192,31695,"Tukohama-touched","Élu de Tukohama","Von Tukohama berührt","トゥコハマに触れられし者","투코하마의 손길에 닿은","Tocado por Tukohama","Касание Тукохамы","Tocado por Tukohama","สัมผัสทูโคฮาม่า","圖克哈瑪之觸",59,[],1,""
193,31696,"Abberath-touched","Élu d'Abberath","Von Abberath berührt","アバラスに触れられし者","아버라스의 손길에 닿은","Tocado por Abberath","Касание Абберата","Tocado por Abberath","สัมผัสแอ็บเบอร์แรธ","艾貝拉斯之觸",60,[],1,""
194,31697,"Shakari-touched","Élu de Shakari","Von Shakari berührt","シャカーリに触れられし者","샤카리의 손길에 닿은","Tocado por Shakari","Касание Шакари","Tocado por Shakari","สัมผัสชาคารี","夏卡莉之觸",61,[],1,""
195,31698,"Innocence-touched","Élu d'Innocence","Von Innocence berührt","イノセンスに触れられし者","이노센스의 손길에 닿은","Tocado por Innocence","Касание Невинности","Tocado por Inocencia","สัมผัสอินโนเซน","善之觸",62,[],1,""
196,31699,"Kitava-touched","Élu de Kitava","Von Kitava berührt","キタヴァに触れられし者","키타바의 손길에 닿은","Tocado por Kitava","Касание Китавы","Tocado por Kitava","สัมผัสคิทาวา","奇塔弗之觸",63,[],1,""
197,31700,"Spirit Walkers","Marcheurs spirituels","Geisterläufer","スピリットウォーカー","혼백 보행자단","Andarilhos Espirituais","Призрачные ходоки","Caminantes espirituales","ผู้ถอดวิญญาณ","靈魂行者","",[],"",""
198,31701,"Empowers Allies","Améliore les Alliés","Verstärkt Verbündete","味方を強化する","동료 강화","Maximiza Aliados","Усиливает союзников","Potencia a los aliados","เพิ่มพลังให้กับเพื่อน","賦予友方",29,[],"",""
