"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextXBox (English)","TextXBox (French)","TextXBox (German)","TextXBox (Japanese)","TextXBox (Korean)","TextXBox (Portuguese)","TextXBox (Russian)","TextXBox (Spanish)","TextXBox (Thai)","TextXBox (Traditional Chinese)"
24,"ProxyKey26","Fire damage can ignite targets, causing them to burn for extra damage.","Les dégâts de feu peuvent embraser leurs victimes et leur infliger plus de dégâts en les brûlant.","Feuerschaden kann Ziele entzünden, brennen lassen und zusätzlichen Schaden zufügen.","火ダメージは対象を発火させることができ、燃焼による追加ダメージを与えます。","화염 피해로 대상을 점화하면 불이 붙어 추가 피해를 줄 수 있습니다.","Dano de fogo pode incendiar alvos, fazendo com que queimem e sofram dano extra.","Урон от огня может поджечь цель, нанеся дополнительный урон.","El daño de fuego puede quemar a los objetivos, lo que causará que se incendien y reciban daño extra.","ความเสียหาย ไฟ สามารถทำให้เป้าหมายติดสถานะ ลุกไหม้ ซึ่งทำให้มันติดไฟและได้รับความเสียหายเพิ่มเติม","火焰傷害致命時會點燃目標，讓目標受到額外的燃燒傷害。","","","","","","","","","",""
25,"ProxyKey27","Holding your highlight key (default: <b>{Alt}) will show items on the ground, and pressing <b>{Z} will toggle always displaying items.","<size:40>{Maintenez la touche de surbrillance (<b>{Alt} par défaut) pour afficher les noms des objets au sol, ou appuyez sur <b>{Z} pour les voir en permanence.}","<size:40>{Halte deine Taste zum Hervorheben von Gegenständen gedrückt (Standard: <b>{Alt}) und schalte mit <b>{Z} die Anzeige aller Gegenstände um.}","ハイライトキー（デフォルト: <b>{Alt}）を押している間、地面上のアイテムを表示し、<b>{Z}を押すことでアイテムを常に表示するように切り替えます。","강조 표시 키(기본: <b>{Alt})를 누르고 있으면 바닥에 있는 아이템이 표시되고, <b>{Z}를 누르면 아이템 항시 강조 여부를 전환할 수 있습니다.","Manter a tecla de destaque (padrão: <b>{Alt}) pressionada exibirá os itens no chão, e pressionar <b>{Z} irá ativar ou desativar a exibição constante de itens.","Удержание <b>{Alt} отображает лежащие на земле предметы, а нажатие <b>{Z} включает постоянное отображение предметов.","<size:35>{Si mantienes presionada tu tecla de resaltar (por defecto: <b>{Alt}) se mostrarán los objetos en el suelo, y presionar <b>{Z} alternará que siempre se muestren los objetos.}","กดปุ่มไฮไลท์ค้างไว้ (ค่าเริ่มต้น: <b> {Alt}) เพื่อแสดงไอเทมที่อยู่บนพื้น และกด <b> {Z} เพื่อเปิด/ปิดการแสดงผลไอเทมค้างไว้","按住 <b>{Alt} 可以持續顯示掉落在地上的物品，或是按下 <b>{Z} 來打開持續顯示地上物品的設定。","Hold <<xbox_button_rt>> and press <<xbox_button_dpad_down>> to toggle object highlighting.","Maintenez <<xbox_button_rt>> et appuyez sur <<xbox_button_dpad_down>> pour activer/désactiver la surbrillance des objets au sol.","<size:40>{Halte <<xbox_button_rt>> zum Hervorheben von Gegenständen gedrückt und schalte mit <<xbox_button_dpad_down>> die Anzeige aller Gegenstände um.}","<<xbox_button_rt>>を押している間に、<<xbox_button_dpad_down>>を押すことでオブジェクトのハイライトを切り替えます。","<<xbox_button_rt>> 버튼을 누른 상태로 <<xbox_button_dpad_down>> 버튼을 눌러 물체 강조하기 표시를 끄거나 켤 수 있습니다.","Pressione <<xbox_button_rt>> e pressione <<xbox_button_dpad_down>> para ativar o objeto destacado.","Зажмите <<xbox_button_rt>> и нажмите <<xbox_button_dpad_down>> для переключения подсветки объектов.","Mantén presionado <<xbox_button_rt>> y presiona <<xbox_button_dpad_down>> para activar o desactivar el resaltado de objetos.","กด <<xbox_button_rt>> ค้างไว้แล้วกด <<xbox_button_dpad_down>> เพื่อเปิด/ปิดการไฮไลท์วัตถุ","Hold <<xbox_button_rt>> and press <<xbox_button_dpad_down>> to toggle object highlighting."
26,"ProxyKey28","Activating a new <b>{Waypoint} is a way of saving your exploration through Wraeclast.","Activez de nouveaux <b>{points de téléportation} afin de sauvegarder votre exploration de Wraeclast.","Aktiviere einen neuen <b>{Wegpunkt}, um deine Erkundungen in Wraeclast zu speichern.","新しい<b>{ウェイポイント}を起動すると、レイクラストでの探索を保存することができます。","새로운 <b>{거점}을 개방하면 레이클라스트에서의 여정 현황을 저장할 수 있습니다.","Ativar um novo <b>{Marcador} é uma forma de salvar sua exploração por Wraeclast.","Чтобы сохранить свой прогресс в продвижении по Рэкласту, активируйте <b>{порталы}.","Al activar un nuevo <b>{Traslocador} guardarás tu exploración a través de Wraeclast.","การเปิด<b>{เวย์พอยน์}ใหม่นั้นเป็นวิธีบันทึกการสำรวจเวร์แคลส์ทของคุณอย่างหนึ่ง","記得開啟傳送點來確保意外死亡後還能快速回到這張地圖。","","","","","","","","","",""
27,"ProxyKey29","At vendors, you can trade an Iron Ring and a Skill Gem for a resistance ring.","Vendez un Anneau de fer et une Gemme d'aptitude à un marchand pour obtenir une Bague dotée d'une résistance.","Bei Händlern kannst du einen Eisenring und eine Fertigkeitengemme gegen einen Widerstandsring tauschen.","ベンダーでは、鉄の指輪とスキルジェムを耐性の指輪と交換することができます。","상인은 철제 반지와 스킬 젬을 저항 반지로 교환해 줍니다.","Você pode trocar um Anel de Ferro e uma Gema de Habilidade por um anel de resistência nos vendedores.","Если выставить на обмен Железное кольцо и Камень умения, то торговец предложит взамен Кольцо сопротивления.","En los vendedores, puedes intercambiar un anillo de hierro y una gema de habilidad por un anillo de resistencia.","คุณสามารถขาย Iron Ring วงหนึ่งพร้อมกับ หินสกิล เม็ดหนึ่งให้กับผู้ค้าขายเพื่อแลกกับแหวนที่ให้ค่าต้านทาน","遊戲中有許多的配方，例如同時把鐵戒指和技能寶石一起賣給商人可以獲得抗性戒指喔。","","","","","","","","","",""
28,"ProxyKey30","Hold <b>{Alt} while viewing items in your inventory to compare them with their equipped counterpart.","Maintenez <b>{Alt} pour comparer un objet sous votre curseur à celui que vous portez.","<size:40>{Halte <b>{Alt} gedrückt, während du Gegenstände in deinem Inventar ansiehst, um sie mit ihrem ausgerüsteten Gegenstück zu vergleichen.}","インベントリ内のアイテムを確認している際、<b>{Alt}を押すことで、装備中のアイテムと比較することができます。","소지품창에서 아이템을 살펴볼 때, <b>{Alt}를 길게 눌러 현재 장비 중인 같은 종류의 아이템과 비교할 수 있습니다.","Mantenha <b>{Alt} pressionado ao ver os itens em seu inventário para compará-los com sua contraparte equipada.","Удерживайте <b>{Alt} при просмотре предметов, чтобы сравнить их с надетыми вещами.","<size:35>{Mantén presionado <b>{Alt} mientras observas los objetos de tu inventario para compararlos con el equivalente que tienes equipado.}","กด <b>{Alt} ค้างขณะที่ดูไอเทมในช่องเก็บของของคุณ เพื่อเปรียบเทียบไอเทมชิ้นนั้นกับไอเทมแบบเดียวกันที่สวมใส่อยู่","觀看物品素質時候按住 <b>{Alt} 即可與身上穿的裝備進行比對。","Hold <<xbox_button_lstick>> while viewing items in your inventory to compare them with their equipped counterpart.","Maintenez <<xbox_button_lstick>> pour comparer un objet de votre inventaire à celui que vous portez.","<size:40>{Halte <<xbox_button_lstick>> gedrückt, während du Gegenstände in deinem Inventar ansiehst, um sie mit ihrem ausgerüsteten Gegenstück zu vergleichen.}","インベントリ内のアイテムを確認している際、<<xbox_button_lstick>>を押すことで、装備中のアイテムと比較することができます。","소지품창에서 아이템을 살펴볼 때, <<xbox_button_lstick>>을 길게 눌러 현재 장비 중인 같은 종류의 아이템과 비교할 수 있습니다.","Segure <<xbox_button_lstick>> enquanto visualizando itens em seu inventário para compará-los com itens equipados.","Удерживайте <<xbox_button_lstick>> при просмотре предметов, чтобы сравнить их с надетыми вещами.","<size:35>{Mantén presionado <<xbox_button_lstick>> mientras observas los objetos de tu inventario para compararlos con el equivalente que tienes equipado.}","กด <<xbox_button_lstick>> ค้างขณะที่ดูไอเทมในช่องเก็บของของคุณ เพื่อเปรียบเทียบไอเทมชิ้นนั้นกับไอเทมแบบเดียวกันที่สวมใส่อยู่","Hold <<xbox_button_lstick>> while viewing items in your inventory to compare them with their equipped counterpart."
29,"ProxyKey31","Hold <b>{Ctrl} and click area transitions and waypoint icons to forcibly create new instances of areas.","<size:40>{Faites <b>{Ctrl-clic} sur une transition de zone ou l'icône d'un point de téléportation pour créer une nouvelle instance.}","Halte <b>{Strg} gedrückt und klicke auf Gebietsübergänge und Wegpunkte, um eine neue Instanz zu generieren.","エリア境界またはウェイポイントのアイコンを<b>{Ctrl}を押しながら<b>{クリック}することで強制的に新しいエリアインスタンスを作成します。","<b>{Ctrl}을 길게 누른 채 지역 이동 혹은 거점 아이콘을 클릭하면, 해당 지역의 신규 인스턴스가 임의로 생성됩니다.","Pressione <b>{Ctrl} e clique nas transições de área e ícones de ponto de passagem para forçar a criação de novas instâncias das áreas.","Удерживайте <b>{Ctrl} и нажмите на вход в локацию или на иконку портала в локацию, чтобы принудительно обновить её.","<size:35>{Mantén presionado <b>{Ctrl} y haz clic en las transiciones de áreas y en los iconos de los traslocadores para forzar la creación de nuevas instancias de áreas.}","กด <b>{Ctrl} ค้าง และคลิกที่จุดเชื่อมด่านหรือไอคอนเวย์พอยน์เพื่อบังคับให้ด่านนั้นๆ สร้างอินสแตนซ์ใหม่","按住 <b>{Ctrl} 再點擊地圖入口或傳送點，就能另外開啟一張重置過的地圖。","Press <<xbox_button_y>> on area transitions and waypoint icons to forcibly create new instances of areas.","Appuyez sur <<xbox_button_y>> sur une transition de zone ou l'icône d'un point de téléportation pour créer une nouvelle instance.","Drücke <<xbox_button_y>> auf Gebietsübergänge und Wegpunkte, um eine neue Instanz zu generieren.","エリア境界またはウェイポイントのアイコン上で<<xbox_button_y>>を押すことで強制的に新しいエリアインスタンスを作成します。","지역 이동 또는 거점 아이콘에서 <<xbox_button_y>>을 누르면, 해당 지역의 신규 인스턴스가 임의로 생성됩니다.","Pressione <<xbox_button_y>> em transições de áreas e ícones de marcadores para criar forçadamente novas instâncias de áreas.","Нажмите <<xbox_button_y>> на вход в локацию или на иконку портала в локацию, чтобы принудительно обновить её.","<size:35>{Mantén presionado <<xbox_button_y>> y haz clic en las transiciones de áreas y en los iconos de los traslocadores para forzar la creación de nuevas instancias de áreas.}","กด <<xbox_button_y>> ในจุดเชื่อมด่านหรือไอคอนเวย์พอยน์เพื่อบังคับให้ด่านนั้นๆ สร้างอินสแตนซ์ใหม่","Press <<xbox_button_y>> on area transitions and waypoint icons to forcibly create new instances of areas."
30,"ProxyKey33","Report bugs with the /bug chat command.","Tapez /bug dans le tchat pour nous signaler un bug.","Melde Fehler, indem du den Chatbefehl /bug eingibst.","/bugのチャットコマンドを用いてバグのレポートが行えます。","버그를 신고하려면 채팅 명령어 /bug를 입력하십시오.","Relate bugs com o comando de chat /bug","Сообщить об ошибке можно командой /баг.","Reporta errores con el comando de chat /bug","รายงานบัคต่างๆ ด้วยการใช้คำสั่งแชท /bug","對付水母的訣竅：看到它準備伸出觸手時快速的遠離它，再轉頭打到它媽媽都不認得。","","Faites <<xbox_button_y>> sur une transition de zone ou l'icône d'un point de téléportation pour créer une nouvelle instance.","Drücke <<xbox_button_y>> auf Gebietsübergänge und Wegpunkte, um eine neue Instanz zu generieren.","","지역 이동 또는 거점 아이콘에서 <<xbox_button_y>>을 누르면, 해당 지역의 신규 인스턴스가 임의로 생성됩니다.","Pressione <<xbox_button_y>> em ícones de transição de áreas ou marcadores para forçar a criação de novas instâncias de áreas.","Нажмите <<xbox_button_y>> на вход в локацию или на иконку портала в локацию, чтобы принудительно обновить её.","<size:35>{Presiona <<xbox_button_y>> sobre las transiciones de áreas y los iconos de los traslocadores para forzar la creación de nuevas instancias de áreas.}","กด <<xbox_button_y>> ในจุดเชื่อมด่านหรือไอคอนเวย์พอยน์เพื่อบังคับให้ด่านนั้นๆ สร้างอินสแตนซ์ใหม่",""
31,"ProxyKey34","Type /help into chat for a list of commands.","Tapez /aide dans le tchat pour consulter la liste des commandes.","Gib /hilfe im Chat ein, um eine Liste mit Chatbefehlen zu erhalten.","チャットに/helpをタイプしてコマンドリストを表示します。","명령어 목록을 보려면 채팅창에 /help를 입력하십시오.","Digite /ajuda no chat para obter uma lista de comandos.","Введите /помощь для получения всего списка команд.","Escribe /ayuda en el chat para recibir una lista de comandos.","พิมพ์ /help ในช่องแชทเพื่ออ่านรายการคำสั่งต่างๆ","可以在對話視窗輸入 /提示 來查詢遊戲相關指令。","","","","","","","","","",""
32,"ProxyKey35","Flasks refill when you enter a town.","Vos Flacons se remplissent lorsque vous entrez en ville.","Fläschchen werden aufgefüllt, sobald du eine Stadt betrittst.","街に入った際、フラスコは補充されます。","마을에 들어가면 플라스크가 채워집니다.","Frascos se reabastecerão quando você entrar em uma vila.","Флаконы обновляются при входе в город.","Los frascos se rellenan cuando entras a un pueblo.","ขวดยาต่างๆ จะถูกเติมเมื่อคุณเข้าเมือง","每當你回到城鎮時，腰帶上的藥水瓶會自動補給。","","","","","","","","","",""
33,"ProxyKey36","Dying during PvP will not remove your character from a Hardcore league.","Un personnage qui meurt en PvP dans une Ligue Hardcore ne sera pas transféré en Standard.","Stirbt dein Charakter während eines PvP-Kampfes, bleibt er dennoch Teil der Hardcore-Liga.","PVP中の死亡によってハードコアリーグからキャラクターが取り除かれることはありません。","하드코어 리그라도 PvP 도중 사망할 경우에는 캐릭터가 삭제되지 않습니다.","Morrer durante o PvP não removerá seu personagem de uma liga Hardcore.","Смерть во время PvP не удаляет вашего персонажа из лиги с одной жизнью.","Morir durante un combate JcJ no expulsa a tu personaje de una liga Hardcore.","การตายระหว่างที่ทำ PvP จะไม่กำจัดตัวละครของคุณออกจากลีก Hardcore","在專家模式下進行玩家對戰時死亡並不會讓你的角色被送回標準模式。","","","","","","","","","",""
34,"ProxyKey37","You can access the Free-For-All PvP arena from the Act 3 town.","Vous pouvez accéder à l'arène PvP Chacun pour soi depuis la ville de l'Acte 3.","Die offene PvP-Arena erreichst du über die Stadt in Akt 3.","第3章の街から参加自由のPVPアリーナに行くことができます。","3장 마을에 진입한 이후부터 난투전 PvP 투기장을 이용할 수 있습니다.","Você pode acessar a arena de PvP Livre na cidade do Ato 3.","Вы можете войти на открытую для всех PvP арену из города в 3 Акте.","Puedes acceder a la arena JcJ Todos-Contra-Todos a través del pueblo del Acto 3.","คุณสามารถเข้าสู่สนาม Free-For-All PvP ได้ในเมืองของบทที่ 3","你可以從第三章的城鎮前往大亂鬥 PVP 競技場。","","","","","","","","","",""
35,"ProxyKey38","You can access CTF and team PvP by talking to certain NPCs in the Act 2 and 3 towns.","Vous pouvez accéder au PvP de groupe et au mode Capture du drapeau en parlant à certains PNJ dans les villes des Actes 2 et 3.","<size:40>{Zugang zum Team-PvP oder Flaggeneroberung erhältst du, indem du mit bestimmten NSCs in den Städten von Akt 2 und 3 sprichst.}","第2および3章の街にいる特定のNPCと話すことで、CTFおよびチームPVPに参加することができます。","2장과 3장 마을에 있는 특정 NPC에게 말을 걸면 CTF(깃발 포획)와 팀 PvP를 이용할 수 있습니다.","Você pode acessar o PvP de equipe e PaB falando com certos NPCs nas vilas dos Atos 2 e 3.","Вы можете получить доступ к CTF и командному PvP, поговорив с некоторыми персонажами во 2 и 3 Актах.","Puedes acceder a CLB y JcJ en grupo hablando con ciertos PNJ en los pueblos de los Actos 2 y 3.","คุณสามารถเข้าสู่ CTF และ Team PvP โดยการคุยกับ NPC ในเมืองของบทที่ 2 และ 3","你可以拜訪第二章與第三章城鎮的一些 NPC 來參加有趣的 PVP 對戰。","","","","","","","","","",""
36,"ProxyKey39","As you complete quests, Skill and Support Gems can become available at one of the vendors in each town.","<size:40>{Chaque ville contient un marchand qui vous proposera de nouvelles Gemmes d'aptitude et de soutien au fil des quêtes terminées.}","<size:40>{Nach Abschluss einer Quest sind bei Händlern in der Stadt möglicherweise neue Fertigkeits- und Unterstützungsgemmen verfügbar.}","クエストをクリアすると、各街にいるベンダーからスキルジェムやサポートジェムを入手することができます。","퀘스트를 완료하다 보면 마을 상인으로부터 스킬 및 보조 젬을 구입할 수 있게 됩니다.","Quando você completa missões, as Gemas de Habilidade e Suporte podem ficar disponíveis, em um dos vendedores, em cada vila.","После завершения некоторых заданий у торговцев в городах могут появиться камни умений и поддержки для продажи.","<size:35>{A medida que completas misiones, uno de los vendedores de cada pueblo tendrá disponibles nuevas gemas de habilidad y de asistencia.}","เมื่อคุณทำภารกิจต่างๆ สำเร็จ ผู้ค้าขายคนหนึ่งในแต่ละเมืองจะจำหน่ายหินเสริมและหินสกิลให้กับคุณ","完成任務後，城鎮中的商人會販賣任務獎勵中的技能寶石","","","","","","","","","",""
37,"ProxyKey40","You can set up an Item Filter to only show specific items and to change how they appear.","<size:40>{Vous pouvez configurer un Filtre d'objets afin de n'afficher que certains objets au sol, en plus de personnaliser la façon dont ils apparaissent.}","<size:40>{Nutze einen Gegenstandsfilter, um die Darstellung der Gegenstände zu ändern und um nur bestimmte Gegenstände anzuzeigen.}","特定のアイテムのみを表示させたり、アイテムの表示を変更するために、アイテムフィルターを設定することができます。","아이템 필터를 적용하면 특정 아이템만 표시하거나 아이템 표시 방식을 변경할 수 있습니다.","Você pode configurar um Filtro de Itens para mostrar apenas itens específicos e alterar como eles aparecem.","Вы можете настроить фильтр предметов, который будет отображать только определённые предметы.","<size:35>{Puedes establecer un filtro de objetos para que se muestren solamente objetos específicos y cambiar el aspecto con el que se muestran.}","คุณสามารถตั้งค่าไอเทมฟิลเตอร์เพื่อแสดงผลเฉพาะไอเทมบางอย่างและเปลี่ยนแปลงวิธีการแสดงผล","你可以透過設定過濾器來限制某種物品掉落時所顯示的樣式。","","","","","","","","","",""
38,"ProxyKey41","Once you have set up an Item Filter, you can press <b>{Z} to view all items.","Si vous utilisez un Filtre d'objets, appuyez sur <b>{Z} pour voir les objets qu'il masque.","Sobald du einen Gegenstandsfilter nutzt, kannst du mit <b>{Z} die Anzeige aller Gegenstände umschalten.","アイテムフィルターを設定後、<b>{Z}を押すことで全てのアイテムを表示します。","아이템 필터를 적용한 상태에서 <b>{Z}를 누르면 모든 아이템이 표시됩니다.","Depois de ter configurado um Filtro de Itens, você pode pressionar <b>{Z} para ver todos itens.","Как только вы настроите фильтр предметов, нажмите <b>{Z}, чтобы отображать все предметы.","Una vez que hayas establecido un filtro de objetos, puedes presionar <b>{Z} para ver todos los objetos.","เมื่อคุณได้ตั้งค่าไอเทมฟิลเตอร์แล้ว คุณสามารถกด <b> {Z} เพื่อดูไอเทมทั้งหมด","完成過濾器的設定後，你一樣可以按下<b>{Z}來觀看所有的物品。","Once you have set up an Item Filter, you can hold <<xbox_button_lstick>> to view all items.","Si vous utilisez un Filtre d'objets, appuyez sur <<xbox_button_lstick>>  pour voir les objets qu'il masque.","Sobald du einen Gegenstandsfilter nutzt, kannst du mit <<xbox_button_lstick>> die Anzeige aller Gegenstände umschalten.","アイテムフィルターを設定後、<<xbox_button_lstick>>を押し続けることで全てのアイテムを表示します。","아이템 필터를 적용한 상태에서 <<xbox_button_lstick>>을 길게 누르면 모든 아이템이 표시됩니다.","Uma vez que você tenha configurado um Filtro de Itens, você poderá segurar <<xbox_button_lstick>> para ver todos os itens.","Как только вы настроите фильтр предметов, удерживайте <<xbox_button_lstick>>, чтобы отображать все предметы.","Una vez que hayas establecido un filtro de objetos, puedes presionar <<xbox_button_lstick>> para ver todos los objetos.","เมื่อคุณได้ตั้งค่าไอเทมฟิลเตอร์แล้ว คุณสามารถกด <<xbox_button_lstick>> ค้างเพื่อดูไอเทมทั้งหมด","Once you have set up an Item Filter, you can hold <<xbox_button_lstick>> to view all items."
39,"ProxyKey42","You can earn a personal Hideout by completing a certain quest for Helena in Act 2.","Pour obtenir votre propre Repaire, terminez une certaine quête pour Héléna dans l'Acte 2.","Du erhältst ein eigenes Versteck, indem du für Helena in Akt 2 eine bestimmte Quest abschließt.","第2章のヘレナからの特定のクエストを完了することで、自分専用の隠れ家を獲得できます。","2장에서 헬레나의 특정 퀘스트를 완료하면 개인 은신처를 마련할 수 있습니다.","Você pode ganhar um Refúgio pessoal ao completar uma certa missão para Helena no Ato 2.","Вы можете получить доступ к личному убежищу, выполнив определённое задание Елены во 2 Акте.","Puedes conseguir una guarida personal al completar una misión específica para Helena en el Acto 2.","คุณจะได้ครอบครองที่ซ่อนส่วนตัวเมื่อผ่านภารกิจบางอย่างของเฮเลน่าในบทที่ 2","完成第 2 章赫蓮娜的特定任務，你將會獲得個人藏身處。","","Si vous utilisez un Filtre d'objets, appuyez sur <<xbox_button_lstick>> pour voir les objets qu'il masque.","Sobald du einen Gegenstandsfilter nutzt, kannst du mit <<xbox_button_lstick>> die Anzeige aller Gegenstände umschalten.","","아이템 필터를 적용한 상태에서 <<xbox_button_lstick>>을 길게 누르면 모든 아이템이 표시됩니다.","Uma vez que houver configurado um Filtro de Itens, você pode segurar <<xbox_button_lstick>> para ver todos os itens.","Как только вы настроите фильтр предметов, удерживайте <<xbox_button_lstick>>, чтобы отображать все предметы.","Una vez que hayas establecido un filtro de objetos, puedes mantener presionado <<xbox_button_lstick>> para ver todos los objetos.","เมื่อคุณได้ตั้งค่าไอเทมฟิลเตอร์แล้ว คุณสามารถกด <<xbox_button_lstick>> เพื่อดูไอเทมทั้งหมด",""
