"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","SpawnWeight","WorldAreasKey","Image","AchievementItemsKeys","[i32]","MinDepth","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32","[i32]","[i32]","[i32]","[i32]"
57,"MantleSkeletonWeapon","Smoldering Grave","Tombe en feu","Glimmende Grabstätte","燻る墓","그을린 무덤","Sepúlcro Latente","Тлеющая могила","Tumba ardiente","สุสานคุกรุ่น","熠熠古墓",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
58,"MantleSkeletonTrinkets","Smoldering Grave","Tombe en feu","Glimmende Grabstätte","燻る墓","그을린 무덤","Sepúlcro Latente","Тлеющая могила","Tumba ardiente","สุสานคุกรุ่น","熠熠古墓",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
59,"MantleSkeletonGems","Smoldering Grave","Tombe en feu","Glimmende Grabstätte","燻る墓","그을린 무덤","Sepúlcro Latente","Тлеющая могила","Tumba ardiente","สุสานคุกรุ่น","熠熠古墓",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems","Présence de Gemmes","Enthält Gemmen","ジェムがある","젬 포함","Contém Gemas","Содержит камни","Contiene gemas","มีหิน","包含寶石",0,[],[0],[0],[20]
60,"MantleSkeletonCurrency","Smoldering Grave","Tombe en feu","Glimmende Grabstätte","燻る墓","그을린 무덤","Sepúlcro Latente","Тлеющая могила","Tumba ardiente","สุสานคุกรุ่น","熠熠古墓",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
61,"MantleSkeletonMaps","Smoldering Grave","Tombe en feu","Glimmende Grabstätte","燻る墓","그을린 무덤","Sepúlcro Latente","Тлеющая могила","Tumba ardiente","สุสานคุกรุ่น","熠熠古墓",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps","Présence de Cartes","Enthält Karten","マップがある","지도 포함","Contém Mapas","Содержит карты","Contiene mapas","มีแผนที่","包含地圖",0,[0],[0],[0],[25]
62,"VaalChamberTier0","Ruined Chamber","Caveau érodé","Zerstörte Kammer","崩壊した広間","허물어진 방","Câmara Arruinada","Разрушенные покои","Cámara en ruinas","ซากโพรง","遺跡密室",[100],402,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/VaalCity",[],[],[],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",0,[],[0],[],[100]
63,"VaalChamberTier1","Ruined Chamber","Caveau érodé","Zerstörte Kammer","崩壊した広間","허물어진 방","Câmara Arruinada","Разрушенные покои","Cámara en ruinas","ซากโพรง","遺跡密室",[100],402,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/VaalCity",[],[1],[],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",0,[],[0],[0],[100]
64,"VaalChamberTier2","Ruined Chamber","Caveau érodé","Zerstörte Kammer","崩壊した広間","허물어진 방","Câmara Arruinada","Разрушенные покои","Cámara en ruinas","ซากโพรง","遺跡密室",[25000],402,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/VaalCity",[],[2],[],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",0,[],[0],[0],[25000]
65,"VaalChamberTier3","Ruined Chamber","Caveau érodé","Zerstörte Kammer","崩壊した広間","허물어진 방","Câmara Arruinada","Разрушенные покои","Cámara en ruinas","ซากโพรง","遺跡密室",[5000],402,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/VaalCity",[],[3],[],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",0,[],[0],[0],[5000]
66,"VaalChamberTier4","Ruined Chamber","Caveau érodé","Zerstörte Kammer","崩壊した広間","허물어진 방","Câmara Arruinada","Разрушенные покои","Cámara en ruinas","ซากโพรง","遺跡密室",[1],402,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/VaalCity",[],[4],[],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",0,[],[0],[0],[1]
67,"ProtoVaalChamberTier0","Primeval Chamber","Caveau primitif","Urzeitliche Kammer","太古の広間","원시시대의 방","Câmara Primitiva","Первобытные покои","Cámara primitiva","โพรงบรรพกาล","原始密室",[100],403,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/ProtoVaalCity",[],[],[],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",0,[],[0],[],[100]
68,"ProtoVaalChamberTier1","Primeval Chamber","Caveau primitif","Urzeitliche Kammer","太古の広間","원시시대의 방","Câmara Primitiva","Первобытные покои","Cámara primitiva","โพรงบรรพกาล","原始密室",[100],403,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/ProtoVaalCity",[],[1],[],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",0,[],[0],[0],[100]
69,"ProtoVaalChamberTier2","Primeval Chamber","Caveau primitif","Urzeitliche Kammer","太古の広間","원시시대의 방","Câmara Primitiva","Первобытные покои","Cámara primitiva","โพรงบรรพกาล","原始密室",[75000],403,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/ProtoVaalCity",[],[2],[],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",0,[],[0],[0],[75000]
70,"ProtoVaalChamberTier3","Primeval Chamber","Caveau primitif","Urzeitliche Kammer","太古の広間","원시시대의 방","Câmara Primitiva","Первобытные покои","Cámara primitiva","โพรงบรรพกาล","原始密室",[10000],403,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/ProtoVaalCity",[],[3],[],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",0,[],[0],[0],[10000]
71,"ProtoVaalChamberTier4","Primeval Chamber","Caveau primitif","Urzeitliche Kammer","太古の広間","원시시대의 방","Câmara Primitiva","Первобытные покои","Cámara primitiva","โพรงบรรพกาล","原始密室",[1],403,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/ProtoVaalCity",[],[4],[],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",0,[],[0],[0],[1]
72,"AbyssalChamberTier0","Abyssal Chamber","Caveau abyssal","Abgründige Kammer","アビスの広間","심연의 방","Câmara Abissal","Зал Бездны","Cámara abisal","โพรงอะบิส","深淵密室",[100],404,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/AbyssalCity",[],[],[],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",0,[],[0],[],[100]
73,"AbyssalChamberTier1","Abyssal Chamber","Caveau abyssal","Abgründige Kammer","アビスの広間","심연의 방","Câmara Abissal","Зал Бездны","Cámara abisal","โพรงอะบิส","深淵密室",[100],404,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/AbyssalCity",[],[1],[],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",0,[],[0],[0],[100]
74,"AbyssalChamberTier2","Abyssal Chamber","Caveau abyssal","Abgründige Kammer","アビスの広間","심연의 방","Câmara Abissal","Зал Бездны","Cámara abisal","โพรงอะบิส","深淵密室",[42500],404,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/AbyssalCity",[],[2],[],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",0,[],[0],[0],[42500]
75,"AbyssalChamberTier3","Abyssal Chamber","Caveau abyssal","Abgründige Kammer","アビスの広間","심연의 방","Câmara Abissal","Зал Бездны","Cámara abisal","โพรงอะบิส","深淵密室",[7500],404,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/AbyssalCity",[],[3],[],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",0,[],[0],[0],[7500]
76,"AbyssalChamberTier4","Abyssal Chamber","Caveau abyssal","Abgründige Kammer","アビスの広間","심연의 방","Câmara Abissal","Зал Бездны","Cámara abisal","โพรงอะบิส","深淵密室",[1],404,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/AbyssalCity",[],[4],[],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",0,[],[0],[0],[1]
77,"AbyssalBoss","The Lich's Tomb","La Tombe de la Liche","Grab des Lichs","リッチの墓","리치의 무덤","A Tumba do Lich","Гробница лича","La tumba del Liche","สุสานของลิช","妖巫古墓",[13500],400,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/BossAbyss",[],[2],[90],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",1,[0],[0],[0],[13500]
78,"ProtoVaalBoss","The Crystal King's Throne","Le Trône du Roi de cristal","Thron des Kristallkönigs","結晶の王の玉座","수정 왕의 왕좌","O Trono do Rei de Cristal","Трон Кристального царя","El Trono del Rey de Cristal","บัลลังก์ของกษัตริย์คริสตัล","晶之帝王座",[20000],401,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/BossProtoVaal",[],[2],[130],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",1,[0],[0],[0],[20000]
79,"VaalBoss","The Grand Architect's Temple","Le Temple du Grand Architecte","Tempel des Meisterarchitekten","グランドアーキテクトの寺院","위대한 건축가의 사원","O Templo do Grande Arquiteto","Храм Великого Архитектора","Templo del Gran Arquitecto","วิหารของสถาปนิกผู้ยิ่งใหญ่","聖堂建築師神殿",[8000],399,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/BossVaalCity",[],[2],[50],"Contents Unknown","Présence inconnue","Enthält Unbekanntes","何があるか不明","내용물 미상","Conteúdo Desconhecido","Неизвестное содержимое","Contenido desconocido","ไม่มีข้อมูลสิ่งที่อยู่ข้างใน","未知內容",1,[0],[0],[0],[8000]
80,"MantleFireWarbands1","Redblade Retreat","Refuge Rougelame","Rotklingen-Zuflucht","レッドブレードの避難所","적검단 은거지","Recanto da Lâmina Vermelha","Пристанище Красных сабель","Retiro de los Cuchilla Roja","ที่ลี้ภัยเรดเบลด","紅刃避難所",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/WarbandFire",[],[2],[50],"Contains Fire Items","Présence d'Objets de feu","Enthält Feuer-Gegenstände","火アイテムがある","화염 아이템 포함","Contém Itens de Fogo","Содержит предметы огня","Contiene objetos de fuego","มีไอเทมไฟ","包含火焰物品",0,[0],[0],[0],[100]
81,"MantleFireWarbands2","Redblade Base","Base Rougelame","Rotklingen-Lager","レッドブレードの基地","적검단 기지","Base da Lâmina Vermelha","База Красных сабель","Base de los Cuchilla Roja","ฐานเรดเบลด","紅刃本營",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/WarbandFire",[],[2],[35],"Contains Fire Items","Présence d'Objets de feu","Enthält Feuer-Gegenstände","火アイテムがある","화염 아이템 포함","Contém Itens de Fogo","Содержит предметы огня","Contiene objetos de fuego","มีไอเทมไฟ","包含火焰物品",0,[0],[0],[0],[100]
82,"IceCavesColdWarbands1","Mutewind Retreat","Refuge Ventmuet","Stummwind-Zuflucht","ミュートウィンドの避難所","고요한 바람단 은거지","Recanto do Vento Mudo","Пристанище Немого ветра","Retiro de los Viento Mudo","ที่ลี้ภัยมิวท์วินด์","啞風避難所",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/WarbandCold",[],[2],[50],"Contains Cold Items","Présence d'Objets de froid","Enthält Kälte-Gegenstände","冷気アイテムがある","냉기 아이템 포함","Contém Itens de Gelo","Содержит предметы холода","Contiene objetos de hielo","มีไอเทมน้ำแข็ง","包含冰冷物品",0,[0],[0],[0],[100]
83,"IceCavesColdWarbands2","Mutewind Base","Base Ventmuet","Stummwind-Lager","ミュートウィンドの基地","고요한 바람단 기지","Base do Vento Mudo","База Немого ветра","Base de los Viento Mudo","ฐานมิวท์วินด์","啞風本營",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/WarbandCold",[],[2],[35],"Contains Cold Items","Présence d'Objets de froid","Enthält Kälte-Gegenstände","冷気アイテムがある","냉기 아이템 포함","Contém Itens de Gelo","Содержит предметы холода","Contiene objetos de hielo","มีไอเทมน้ำแข็ง","包含冰冷物品",0,[0],[0],[0],[100]
84,"IceCavesEssence1","Frigid Recess","Recoin glacial","Eisige Vertiefung","極寒の窪み","차디찬 소굴","Recesso Frígido","Стылая впадина","Recoveco helado","โพรงเล็กอันหนาวเย็น","凜凍避所",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/EssenceEncounter",[],[2],[],"Contains Essences","Présence d'Essences","Enthält Essenzen","エッセンスがある","에센스 포함","Contém Essências","Содержит Сущности","Contiene esencias","มีเอสเซนส์","包含精髓",0,[],[0],[0],[100]
85,"IceCavesPiratesGeneric","Frigid Recess","Recoin glacial","Eisige Vertiefung","極寒の窪み","차디찬 소굴","Recesso Frígido","Стылая впадина","Recoveco helado","โพรงเล็กอันหนาวเย็น","凜凍避所",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
86,"IceCavesPiratesArmour","Frigid Recess","Recoin glacial","Eisige Vertiefung","極寒の窪み","차디찬 소굴","Recesso Frígido","Стылая впадина","Recoveco helado","โพรงเล็กอันหนาวเย็น","凜凍避所",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
87,"IceCavesPiratesWeapon","Frigid Recess","Recoin glacial","Eisige Vertiefung","極寒の窪み","차디찬 소굴","Recesso Frígido","Стылая впадина","Recoveco helado","โพรงเล็กอันหนาวเย็น","凜凍避所",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
88,"IceCavesPiratesTrinkets","Frigid Recess","Recoin glacial","Eisige Vertiefung","極寒の窪み","차디찬 소굴","Recesso Frígido","Стылая впадина","Recoveco helado","โพรงเล็กอันหนาวเย็น","凜凍避所",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
89,"IceCavesPiratesCurrency","Frigid Recess","Recoin glacial","Eisige Vertiefung","極寒の窪み","차디찬 소굴","Recesso Frígido","Стылая впадина","Recoveco helado","โพรงเล็กอันหนาวเย็น","凜凍避所",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
90,"IceCavesPiratesCold","Frigid Recess","Recoin glacial","Eisige Vertiefung","極寒の窪み","차디찬 소굴","Recesso Frígido","Стылая впадина","Recoveco helado","โพรงเล็กอันหนาวเย็น","凜凍避所",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Cold",[],[2],[50],"Contains Cold Items","Présence d'Objets de froid","Enthält Kälte-Gegenstände","冷気アイテムがある","냉기 아이템 포함","Contém Itens de Gelo","Содержит предметы холода","Contiene objetos de hielo","มีไอเทมน้ำแข็ง","包含冰冷物品",0,[0],[0],[0],[100]
91,"IceCavesCampsiteGeneric","Inhospitable Camp","Camp inhospitalier","Unwirtliches Lager","荒れ果てたキャンプ","허름한 야영지","Acampamento Inóspito","Враждебный лагерь","Campamento inhóspito","ค่ายที่มิอาจอยู่อาศัย","荒涼營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
92,"IceCavesCampsiteArmour","Inhospitable Camp","Camp inhospitalier","Unwirtliches Lager","荒れ果てたキャンプ","허름한 야영지","Acampamento Inóspito","Враждебный лагерь","Campamento inhóspito","ค่ายที่มิอาจอยู่อาศัย","荒涼營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
93,"IceCavesCampsiteWeapon","Inhospitable Camp","Camp inhospitalier","Unwirtliches Lager","荒れ果てたキャンプ","허름한 야영지","Acampamento Inóspito","Враждебный лагерь","Campamento inhóspito","ค่ายที่มิอาจอยู่อาศัย","荒涼營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
94,"IceCavesCampsiteTrinkets","Inhospitable Camp","Camp inhospitalier","Unwirtliches Lager","荒れ果てたキャンプ","허름한 야영지","Acampamento Inóspito","Враждебный лагерь","Campamento inhóspito","ค่ายที่มิอาจอยู่อาศัย","荒涼營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
95,"IceCavesCampsiteCurrency","Inhospitable Camp","Camp inhospitalier","Unwirtliches Lager","荒れ果てたキャンプ","허름한 야영지","Acampamento Inóspito","Враждебный лагерь","Campamento inhóspito","ค่ายที่มิอาจอยู่อาศัย","荒涼營地",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
96,"IceCavesCampsiteMaps","Inhospitable Camp","Camp inhospitalier","Unwirtliches Lager","荒れ果てたキャンプ","허름한 야영지","Acampamento Inóspito","Враждебный лагерь","Campamento inhóspito","ค่ายที่มิอาจอยู่อาศัย","荒涼營地",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps","Présence de Cartes","Enthält Karten","マップがある","지도 포함","Contém Mapas","Содержит карты","Contiene mapas","มีแผนที่","包含地圖",0,[0],[0],[0],[25]
97,"IceCavesSkeletonGeneric","Frozen Grave","Tombe gelée","Eisiges Grab","凍った墓","얼어붙은 무덤","Sepúlcro Congelado","Ледяная могила","Tumba congelada","สุสานเยือกแข็ง","永凍古墓",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
98,"IceCavesSkeletonArmour","Frozen Grave","Tombe gelée","Eisiges Grab","凍った墓","얼어붙은 무덤","Sepúlcro Congelado","Ледяная могила","Tumba congelada","สุสานเยือกแข็ง","永凍古墓",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
99,"IceCavesSkeletonWeapon","Frozen Grave","Tombe gelée","Eisiges Grab","凍った墓","얼어붙은 무덤","Sepúlcro Congelado","Ледяная могила","Tumba congelada","สุสานเยือกแข็ง","永凍古墓",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
100,"IceCavesSkeletonTrinkets","Frozen Grave","Tombe gelée","Eisiges Grab","凍った墓","얼어붙은 무덤","Sepúlcro Congelado","Ледяная могила","Tumba congelada","สุสานเยือกแข็ง","永凍古墓",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
101,"IceCavesSkeletonGems","Frozen Grave","Tombe gelée","Eisiges Grab","凍った墓","얼어붙은 무덤","Sepúlcro Congelado","Ледяная могила","Tumba congelada","สุสานเยือกแข็ง","永凍古墓",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems","Présence de Gemmes","Enthält Gemmen","ジェムがある","젬 포함","Contém Gemas","Содержит камни","Contiene gemas","มีหิน","包含寶石",0,[],[0],[0],[20]
102,"IceCavesSkeletonCurrency","Frozen Grave","Tombe gelée","Eisiges Grab","凍った墓","얼어붙은 무덤","Sepúlcro Congelado","Ледяная могила","Tumba congelada","สุสานเยือกแข็ง","永凍古墓",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
103,"IceCavesSkeletonMaps","Frozen Grave","Tombe gelée","Eisiges Grab","凍った墓","얼어붙은 무덤","Sepúlcro Congelado","Ледяная могила","Tumba congelada","สุสานเยือกแข็ง","永凍古墓",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps","Présence de Cartes","Enthält Karten","マップがある","지도 포함","Contém Mapas","Содержит карты","Contiene mapas","มีแผนที่","包含地圖",0,[0],[0],[0],[25]
104,"SulphurLightningWarbands1","Brinerot Retreat","Refuge Selrance","Gischtfäulnis-Zuflucht","ブラインロットの避難所","부패한 염수단 은거지","Recanto da Salmoura Podre","Пристанище Морской гнили","Retiro de los Salmuera","ที่ลี้ภัยไบรน์ร็อท","布琳洛特避難所",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/WarbandLightning",[],[2],[50],"Contains Lightning Items","Présence d'Objets de foudre","Enthält Blitz-Gegenstände","雷アイテムがある","번개 아이템 포함","Contém Itens de Raio","Содержит предметы молнии","Contiene objetos de rayo","มีไอเทมสายฟ้า","包含閃電物品",0,[0],[0],[0],[100]
105,"SulphurLightningWarbands2","Brinerot Base","Base Selrance","Gischtfäulnis-Lager","ブラインロットの基地","부패한 염수단 기지","Base da Salmoura Podre","База Морской гнили","Retiro de los Salmuera","ฐานไบรน์ร็อท","布琳洛特本營",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/WarbandLightning",[],[2],[35],"Contains Lightning Items","Présence d'Objets de foudre","Enthält Blitz-Gegenstände","雷アイテムがある","번개 아이템 포함","Contém Itens de Raio","Содержит предметы молнии","Contiene objetos de rayo","มีไอเทมสายฟ้า","包含閃電物品",0,[0],[0],[0],[100]
106,"SulphurCrabsGeneric","Humid Hive","Anfractuosité détrempée","Feuchter Schwarmbau","湿った巣","축축한 벌집","Colméia Humida","Отсыревшее убежище","Colmena húmeda","รังอับชื้น","潮穴",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
