"rownum","RecipeId","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","CraftingItemClassCategoriesKeys","UnlockDescription (English)","UnlockDescription (French)","UnlockDescription (German)","UnlockDescription (Japanese)","UnlockDescription (Korean)","UnlockDescription (Portuguese)","UnlockDescription (Russian)","UnlockDescription (Spanish)","UnlockDescription (Thai)","UnlockDescription (Traditional Chinese)","Rank","UnlockArea"
58,190,"Criticals - Rank 1","Critiques - Rang 1","Kritische Chance - Rang 1","クリティカル - ランク 1","치명타 - 1단계","Críticos - Rank 1","Критические - уровень 1","Críticos - Nivel 1","คริติคอล - ระดับ 1","暴擊－階級 1","[0,1,2,3,10,13]","","","","","","","","","","",1,1143
59,175,"Cold Damage - Rank 3","Dégâts de froid - Rang 3","Kälteschaden - Rang 3","冷気ダメージ - ランク 3","냉기 피해 - 3단계","Dano de Gelo - Rank 3","Урон от холода - уровень 3","Daño de hielo - Nivel 3","ความเสียหาย น้ำแข็ง - ระดับ 3","冰冷傷害－階級 3","[0,1,2,3]","","","","","","","","","","",3,1208
60,179,"Lightning Damage - Rank 3","Dégâts de foudre - Rang 3","Blitzschaden - Rang 3","雷ダメージ - ランク 3","번개 피해 - 3단계","Dano de Raio - Rank 3","Урон от молнии - уровень 3","Daño de rayo - Nivel 3","ความเสียหาย สายฟ้า - ระดับ 3","閃電傷害－階級 3","[0,1,2,3]","","","","","","","","","","",3,1209
61,198,"Special Defences - Rank 1","Défenses spéciales - Rang 1","Besondere Defensiven - Rang 1","特殊防御力 - ランク 1","특수 방어력 - 1단계","Defesas Especiais - Rank 1","Особые виды защиты - уровень 1","Defensas especiales - Nivel 1","ค่าป้องกันแบบพิเศษ - ระดับ 1","特殊防禦－階級 1","[6,4,5,7,8]","","","","","","","","","","",1,1174
62,157,"Mana Regen - Rank 2","Régénération de Mana - Rang 2","Manaregeneration - Rang 2","マナ自動回復 - ランク 2","마나 재생 -2단계","Regeneração de Mana - Rank 2","Регенерация маны - уровень 2","Regeneración de maná - Nivel 2","ฟื้นฟูมานา - ระดับ 2","魔力回復－階級 2","[0,1,2,3,9,10,4]","","","","","","","","","","",2,1236
63,165,"Damage over Time - Rank 2","Dégâts sur la Durée - Rang 2","Schaden über Zeit - Rang 2","継続ダメージ - ランク 2","지속 피해 - 2단계","Dano Degenerativo - Rank 2","Постепенный урон - уровень 2","Daño degenerativo - Nivel 2","ความเสียหายต่อเนื่อง - ระดับ 2","持續傷害－階級 2","[0,1,2,3]","","","","","","","","","","",2,1138
64,229,"Minions - Rank 2","Créatures - Rang 2","Kreaturen - Rang 2","ミニオン - ランク 2","소환수 - 2단계","Lacaios - Rank 2","Приспешники - уровень 2","Esbirros - Nivel 2","มิเนียน - ระดับ 2","召喚物－階級 2","[0,1,2,3,7,5,9,10]","","","","","","","","","","",2,1201
65,167,"Elemental Damage with Attacks - Rank 2","Dégâts élémentaires avec les Attaques - Rang 2","Elementarschaden mit Angriffen - Rang 2","アタック元素ダメージ - ランク 2","공격 시 원소 피해 - 2단계","Dano Elemental com Ataques - Rank 2","Урон от стихий атаками - уровень 2","Daño elemental con ataques - Nivel 2","ความเสียหาย ธาตุ ด้วยการโจมตี - ระดับ 2","元素攻擊傷害－階級 2","[0,1,2,3,9,10,11,13]","","","","","","","","","","",2,1210
66,194,"Ailment, Stun and Curse Mitigation - Rank 1","Atténuation des Altérations, des Étourdissements et des Malédictions - Rang 1","Minderung von Beeinträchtigungen, Betäuben und Flüchen - Rang 1","状態異常、スタンおよび呪い緩和 - ランク 1","상태 이상, 기절 및 저주 완화 - 1단계","Afecções, Atordoamentos e Mitigação de Maldições - Rank 1","Облегчение состояний, оглушения и проклятий - уровень 1","Mitigación de estados alterados, aturdimiento y maldiciones - Nivel 1","การบรรเทาสถานะ เจ็บป่วย, มึนงง, คำสาป - ระดับ 2","異常狀態、暈眩和詛咒減免－階級 1","[5,7,8,9,4,13]","","","","","","","","","","",1,73
67,189,"Defences - Rank 3","Défenses - Rang 3","Defensiven - Rang 3","防御力 - ランク 3","방어력 - 3단계","Defesas - Rank 3","Защита - уровень 3","Defensas - Nivel 3","ป้องกัน - ระดับ 3","防禦－階級 3","[6,8,7,5,4]","","","","","","","","","","",3,1104
68,252,"Global Energy Shield - Rank 1","Bouclier d'énergie Global - Rang 1","Globaler Energieschild - Rang 1","グローバルエナジーシールド - ランク 1","전체 에너지 보호막 - 1단계","Escudo de Energia Global - Rank 1","Глобальный энергетический щит - уровень 1","Escudo de energía global - Nivel 1","โล่พลังงาน ของตัวละคร - ระดับ 1","全域能量護盾－階級 1","[10,9]","","","","","","","","","","",1,1175
69,261,"Physical Damage - Rank 4","Dégâts physiques - Rang 4","Physischer Schaden - Rang 4","物理ダメージ - ランク 4","물리 피해 - 4단계","Dano Físico - Rank 4","Физический урон - уровень 4","Daño físico - Nivel 4","ความเสียหาย กายภาพ - ระดับ 4","物理傷害－階級 4","[0,1,2,3]","","","","","","","","","","",4,1165
70,262,"Spell Damage - Rank 4","Dégâts des Sorts - Rang 4","Zauberschaden - Rang 4","スペルダメージ - ランク 4","주문 피해 - 4단계","Dano Mágico - Rank 4","Урон от чар - уровень 4","Daño de hechizos - Nivel 4","ความเสียหาย เวท - ระดับ 4","法術傷害－階級 4","[0,1,2,3]","","","","","","","","","","",4,1186
71,109,"Attack and Cast Speed - Rank 3","Vitesse d'attaque et d'incantation - Rang 3","Angriffs- und Zaubergeschwindigkeit - Rang 3","アタックおよびキャストスピード - ランク 3","공격 및 시전 속도 - 3단계","Velocidade de Ataque e Conjuração - Rank 3","Скорость атаки и сотворения чар - уровень 3","Velocidades de ataque y lanzamiento de hechizos - Nivel 3","ความเร็วในการโจมตีและร่าย - ระดับ 3","攻擊和施放速度－階級 3","[0,1,2,3]","","","","","","","","","","",3,1240
72,153,"Life - Rank 5","Vie - Rang 5","Leben - Rang 5","ライフ - ランク 5","생명력 - 5단계","Vida - Rank 5","Здоровье - уровень 5","Vida - Nivel 5","พลังชีวิต - ระดับ 5","生命－階級 5",[6],"","","","","","","","","","",5,1211
73,154,"Leech - Rank 1","Drain - Rang 1","Raub - Rang 1","リーチ - ランク 1","흡수 -1단계","Dreno - Rank 1","Похищение - уровень 1","Absorción - Nivel 1","การดูด - ระดับ 1","偷取－階級 1","[0,1,2,3,7,9,10,13]","","","","","","","","","","",1,1228
74,155,"Leech - Rank 2","Drain - Rang 2","Raub - Rang 2","リーチ - ランク 2","흡수 -2단계","Dreno - Rank 2","Похищение - уровень 2","Absorción - Nivel 2","การดูด - ระดับ 2","偷取－階級 2","[0,1,2,3,7,10]","","","","","","","","","","",2,1224
75,182,"Chaos Damage - Rank 3","Dégâts de chaos - Rang 3","Chaosschaden - Rang 3","混沌ダメージ - ランク 3","카오스 피해 - 3단계","Dano de Caos - Rank 3","Урон хаосом - уровень 3","Daño de caos - Nivel 3","ความเสียหาย เคออส - ระดับ 3","混沌傷害－階級 3","[0,1,2,3]","","","","","","","","","","",3,1237
76,186,"Accuracy - Rank 3","Précision - Rang 3","Genauigkeit - Rang 3","命中力 - ランク 3","정확도 - 3단계","Precisão - Rank 3","Меткость - уровень 3","Precisión - Nivel 3","ความแม่นยำ - ระดับ 3","命中－階級 3","[0,1,2,3,4,7,5,9,10,13]","","","","","","","","","","",3,1167
77,226,"Reduced Damage over Time","Dégâts sur la durée réduits","Verringerter Schaden über Zeit","継続ダメージ軽減","지속 피해 감소","Redução de Dano Degenerativo","Уменьшение постепенного урона","Daño degenerativo reducido","ลดความเสียหายต่อเนื่องที่ได้รับ","減少持續傷害","[4,11]","","","","","","","","","","",0,1207
78,227,"Animated Guardian and Light Radius","Gardien animé et Rayonnement lumineux","Beseelter Wächter und Lichtradius","アニメイトガーディアンおよび光半径","기동된 수호자 및 시야 반경","Guardião Animado e Visibilidade","Оживлённый страж и радиус обзора","Guardián animado y radio de iluminación","ผู้พิทักษ์ปลุกเสก และ รัศมีแสง","幻化守衛和光線範圍",[6],"","","","","","","","","","",0,1182
79,231,"Traps and Mines - Rank 2","Pièges et Mines - Rang 2","Fallen und Minen - Rang 2","トラップおよびマイン - ランク 2","덫 및 지뢰 - 2단계","Armadilhas e Minas - Rank 2","Ловушки и мины - уровень 2","Trampas y minas - Nivel 2","กับดักและทุ่นระเบิด - ระดับ 2","陷阱和地雷－階級 2","[0,1,2,3]","","","","","","","","","","",2,1159
80,254,"Criticals - Rank 3","Critiques - Rang 3","Kritische Chance - Rang 3","クリティカル - ランク 3","치명타 - 3단계","Críticos - Rank 3","Критические - уровень 3","Críticos - Nivel 3","คริติคอล - ระดับ 3","暴擊－階級 3","[0,1,2,3]","","","","","","","","","","",3,1125
81,255,"Minions - Rank 3","Créatures - Rang 3","Kreaturen - Rang 3","ミニオン - ランク 3","소환수 - 3단계","Lacaios - Rank 3","Приспешники - уровень 3","Esbirros - Nivel 3","มิเนียน - ระดับ 3","召喚物－階級 3","[0,1,2,3]","","","","","","","","","","",3,1234
82,249,"Prefixes cannot be Changed","Les Préfixes ne peuvent pas être changés","Präfixe können nicht verändert werden","プレフィックスは変化しない","접두어 변경 불가","Prefixos não podem ser Modificados","Нельзя изменять префиксы","No se pueden cambiar los prefijos","ม็อดพรีฟิกซ์ ไม่สามารถเปลี่ยนแปลงได้","前綴無法改變","[0,1,2,3,6,7,8,5,4,9,10,11,13]","","","","","","","","","","",0,1199
83,250,"Suffixes cannot be Changed","Les Suffixes ne peuvent pas être changés","Suffixe können nicht verändert werden","サフィックスは変化しない","접미어 변경 불가","Sufixos não podem ser Modificados","Нельзя изменять суффиксы","No se pueden cambiar los sufijos","ม็อดซัฟฟิกซ์ ไม่สามารถเปลี่ยนแปลงได้","後綴無法改變","[0,1,2,3,6,7,8,5,4,9,10,11,13]","","","","","","","","","","",0,1221
84,251,"Can have up to 3 Crafted Modifiers","Peut avoir jusqu'à 3 Mods d'artisanat","Kann über bis zu 3 angefertigte Modifikatoren verfügen","クラフトモッドを最大3個持つことができる","최대 3개의 제작 속성 부여 가능","Pode ter até 3 Modificadores Forjados","Можно получить до 3 ремесленных свойств","Puede tener hasta 3 mods. fabricados","มี ม็อดคราฟท์ ได้สูงสุด 3 อย่าง","至多可以有 3 個工藝詞綴","[0,1,2,3,6,7,8,5,4,9,10,11,13]","","","","","","","","","","",0,1187
85,247,"Cannot roll Attack Mods","Ne peut pas recevoir de Mods d'attaque","Kann keine Angriffsmodifikatoren annehmen","アタックモッドはロールされない","공격 속성 부여 불가","Não pode rolar Mods de Ataque","Нельзя получить свойства атак","No puede generar mods. de ataque","จะไม่ออกม็อด โจมตี","無法骰出攻擊詞綴","[0,1,2,3,6,7,8,5,4,9,10,11,13]","","","","","","","","","","",0,1156
86,248,"Cannot roll Caster Mods","Ne peut pas recevoir de Mods de sorts","Kann keine Zaubermodifikatoren annehmen","キャスターモッドはロールされない","시전 속성 부여 불가","Não pode rolar Mods de Conjuração","Нельзя получить свойства чар","No puede generar mods. de lanzador de hechizos","จะไม่ออกม็อด นักเวท","無法骰出法術詞綴","[0,1,2,3,6,7,8,5,4,9,10,11,13]","","","","","","","","","","",0,1114
