"rownum","Id","SoundFile","BankFile","HASH16","IsAvailableInHideout","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","MusicCategories","bool","i32"
87,"Act6_MudFlats","Audio/Music/Act6_KaruiFortress/Act6_KaruiFortress","Music24.bank",61838,1,"Mud Flats","Vasière","Morastebenen","ぬかるみの干潟","갯벌","Lamaçal","Илистые низины","Marismas embarradas","ที่ราบดินโคลน","炙熱鹽沼","","","","","","","","","","",[7],"",0
88,"Act6_KaruiFortress","Audio/Music/Act6_KaruiFortress/Act6_KaruiFortress","Music24.bank",49646,1,"Karui Fortress","Forteresse karuie","Karui-Feste","カルイの要塞","카루이 요새","Forte Karui","Крепость каруи","Fortaleza Karui","ปราการคารุย","卡魯堡壘","","","","","","","","","","",[7],1,0
89,"Act6_Ridge","Audio/Music/Act6_Ridge/Act6_Ridge","Music23.bank",12451,1,"Ridge","Crête","Bergrücken","屋根","산등성이","Penhasco","Хребет","Cresta","สันเขา","破碎山脊","","","","","","","","","","",[7],1,0
90,"Act6_Prison","Audio/Music/Act6_Prison/Act6_Prison","Music23.bank",30860,1,"Prison","Prison","Gefängnis","監獄","수용소","Prisão","Тюрьма","Prisión","เรือนจำ","禁靈之獄","","","","","","","","","","",[7],"",0
91,"Shavronne","Audio/Music/Act6_Shavronne/Shavronne","Music26.bank",37950,1,"Shavronne","Shavronne","Shavronne","シャヴロン","샤브론","Shavronne","Шавронн","Shavronne","แชฟรอนน์","薛朗","","","","","","","","","","","[7,0]",1,0
92,"Act6_PrisonersGate","Audio/Music/Act6_Ridge/Act6_Ridge","Music23.bank",58701,1,"Prisoner's Gate","Porte du Prisonnier","Gefangenenpforte","囚人の門","죄수의 문","Portões da Prisão","Врата заключённых","Puerta del prisionero","ทางผ่านนักโทษ","監獄大門","","","","","","","","","","",[7],"",0
93,"Act6_Abberath","Audio/Music/Act6_Abberath/Act6_Abberath.ogg","Music20.bank",41588,1,"Minor Gods","Dieux mineurs","Niedere Gottheiten","小さな神","보조 신","Deuses Menores","Младшие боги","Dioses menores","ทวยเทพรายย่อย","次神","","","","","","","","","","","[7,8,9,0]",1,0
94,"Act6_WesternForest","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",52538,1,"Western Forest","Forêt occidentale","Westwald","西の森","서쪽 숲","Floresta Ocidental","Западный лес","Bosque del oeste","ป่าตะวันตก","西部密林","","","","","","","","","","",[7],"",0
95,"Act6_ForestDaylight","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",25356,1,"Riverways","Cours d'eau","Flussläufe","川沿いの道","강변길","Vias Fluviais","Пойма реки","Vías del río","ทางแม่น้ำ","河道","","","","","","","","","","",[7],"",6
96,"Act6_Wetlands","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",64173,1,"Wetlands","Paluns","Feuchtlande","湿地","습지대","Terras Inundadas","Топь","Humedales","แดนน้ำขัง","濕地","","","","","","","","","","",[7],"",0
97,"Act6_SouthernForest","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",47386,1,"Southern Forest","Forêt méridionale","Südwald","南の森","남쪽 숲","Floresta do Sul","Южный лес","Bosque del sur","ป่าใต้","南部森林","","","","","","","","","","",[7],"",0
98,"Act6_CavernOfAnger","Audio/Music/Act1_Cave/Act1_Cave.ogg","Music1.bank",48837,1,"Cavern of Anger","Caverne de la Colère","Kaverne der Wut","怒りの洞窟","분노의 암굴","Caverna da Ira","Пещера злобы","Caverna de rabia","ถ้ำโทสะ","忿怒山洞","","","","","","","","","","",[7],"",0
99,"Act6_Beacon","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",21706,1,"Beacon","Phare","Leuchtturm","ビーコン","등대","Farol","Маяк","Faro","ประภาคาร","絕望烽塔","","","","","","","","","","",[7],"",0
100,"Act6_Reef","Audio/Music/Act1_DarkBeach/Act1_DarkBeach.ogg","Music2.bank",60475,1,"Brine King's Reef","Récif du Roi des Embruns","Riff des Gischtkönigs","海水の王の岩礁","염수왕의 암초","Coral do Rei da Salmoura","Риф Морского царя","Arrecife del Rey del mar","โขดหินราชันน้ำเค็ม","海洋王堡礁","","","","","","","","","","",[7],"",0
101,"Act6_BrineKing","Audio/Music/Act6_BrineKing/Act6_BrineKing.ogg","Music20.bank",40111,1,"Brine King","Roi des Embruns","Gischtkönig","海水の王","염수왕","Rei da Salmoura","Морской царь","Rey del mar","ราชันน้ำเค็ม","海洋王","","","","","","","","","","","[7,0]",1,0
102,"BridgeEncampment","Audio/Music/Act7_Encampment/BridgeEncampment","Music26.bank",35969,1,"Bridge Encampment","Campement du pont","Brückenlager","橋の野営地","다리 야영지","Acampamento da Ponte","Лагерь на мосту","Campamento del puente","ค่ายสะพาน","橋墩營地","","","","","","","","","","","[8,1]",1,0
103,"Act7_BrokenBridge","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",22026,1,"Broken Bridge","Pont brisé","Zerstörte Brücke","壊れた橋","부서진 다리","Ponte Quebrada","Разрушенный мост","Puente destrozado","สะพานหัก","河畔斷橋","","","","","","","","","","",[8],"",0
104,"Act7_Crossroads","Audio/Music/Act2_DryForest/Act2_DryForest.ogg","Music3.bank",45403,1,"Crossroads","Croisée des chemins","Wegkreuzung","十字路","갈림길","Encruzilhada","Перекрёсток","Encrucijada","ทางแพร่ง","危機叉路","","","","","","","","","","",[8],"",0
105,"Act7_FellshrineRuins","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",29087,1,"Fellshrine Ruins","Ruines du sacrilège","Kriegsschrein-Ruinen","フェルシュラインの遺跡","몰락한 성소 유적","Ruínas do Santuário","Руины осквернённой святыни","Ruinas del santuario caído","ซากปรักหักพังเฟลไชร์น","墮道遺跡","","","","","","","","","","",[8],"",0
106,"Act7_Crypt","Audio/Music/Act2_ChurchDungeon/Act2_ChurchDungeon.ogg","Music4.bank",6952,1,"Crypt","Crypte","Krypta","地下聖堂","지하실","Cripta","Склеп","Cripta","สุสาน","靜謐陵墓","","","","","","","","","","",[8],"",0
107,"Act7_ChamberOfSins","Audio/Music/Act2_TempleRuin/Act2_TempleRuin.ogg","Music4.bank",50000,1,"Chamber of Sins","Chambre des péchés","Kammer der Sünden","罪の間","죄악의 방","Câmaras do Pecado","Обитель грехов","Aposento de pecados","โถงแห่งบาป","罪孽之殿","","","","","","","","","","",[8],"",0
108,"Act7_Sanctum","Audio/Music/Act4_BellyOfTheBeast/BellyOfTheBeast.ogg","Music12.bank",15918,1,"Maligaro's Sanctum","Refuge de Maligaro","Maligaros Heiligtum","マリガロの聖域","말리가로의 지성소","Santuário de Maligaro","Святилище Малигаро","Santuario de Maligaro","สถานพำนักของมาลิกาโร","馬雷葛蘿的書房","","","","","","","","","","",[8],"",0
109,"Act7_Den","Audio/Music/Act2_Cave/Act2_Cave.ogg","Music4.bank",42644,1,"Den","Tanière","Höhle","巣","굴","Covil","Берлога","Madriguera","ถ้ำสัตว์","獸穴","","","","","","","","","","",[8],"",0
110,"Act7_AshenFields","Audio/Music/Act2_DryForest/Act2_DryForest.ogg","Music3.bank",14558,1,"Ashen Fields","Prés cendreux","Aschene Felder","焼け野原","잿빛 들판","Campos Queimados","Пепельные поля","Campos de ceniza","ทุ่งมอดไหม้","旱木原野","","","","","","","","","","",[8],"",0
111,"Act7_NorthernForest","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",46095,1,"Northern Forest","Forêt septentrionale","Nordwald","北の森","북쪽 숲","Floresta do Norte","Северный лес","Bosque del norte","ป่าเหนือ","北部密林","","","","","","","","","","",[8],"",0
112,"Act7_DreadThicket","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",7672,1,"Dread Thicket","Fourré de l'effroi","Dickicht des Grauens","怒りの密林","공포의 잡목림","Matagal Horrendo","Чащоба","Matorral pavoroso","ป่าชัฏสยดสยอง","驚魂樹洞","","","","","","","","","","",[8],"",0
113,"Act7_Causeway","Audio/Music/Act2_DryForest/Act2_DryForest.ogg","Music3.bank",51637,1,"Causeway","Chaussée","Damm","土手道","둑길","A Ponte","Перешеек","Calzada","ทางยกระดับ","堤道","","","","","","","","","","",[8],"",0
114,"Act7_VaalCity","Audio/Music/Vaal_Temple/Vaal_Temple","Music24.bank",33787,1,"Vaal City","Cité vaal","Stadt der Vaal","ヴァ―ルの街","바알 도시","Cidade Vaal","Город ваал","Ciudad vaal","นครวาล์","瓦爾城市","","","","","","","","","","",[8],"",0
115,"Act7_TempleOfDecay","Audio/Music/Vaal_Temple/Vaal_Temple","Music24.bank",4969,1,"Temple of Decay","Temple du déclin","Tempel der Vergänglichkeit","堕落の寺院","부패의 사원","Templo da Decadência","Храм разложения","Templo de putrefacción","วิหารแห่งการเสื่อมสลาย","腐朽寺廟","","","","","","","","","","",[8],"",0
116,"Act7_Arakaali","Audio/Music/Act7_Arakaali/Act7_Arakaali.ogg","Music21.bank",20452,1,"Arakaali","Arakaali","Arakaali","アラカーリ","아라칼리","Arakaali","Аракаали","Arakaali","อาราคาลี","艾爾卡莉","","","","","","","","","","","[8,0]",1,0
117,"Act8_SarnRamparts","Audio/Music/Act4_Aqueduct/Aqueduct.ogg","Music13.bank",25264,1,"Sarn Ramparts","Remparts de Sarn","Sarn-Befestigungen","サーンの城壁","사안 성벽","Muralhas de Sarn","Бастион Сарна","Murallas de Sarn","เขื่อนดินซาร์น","薩恩城牆","","","","","","","","","","",[9],"",0
118,"Act8_Encampment","Audio/Music/Act8_Encampment/Act8_Encampment","Music21.bank",12682,1,"Sarn Encampment","Campement de Sarn","Lager von Sarn","サーンの野営地","사안 야영지","Acampamento de Sarn","Лагерь Сарна","Campamento de Sarn","ค่ายซาร์น","薩恩營地","","","","","","","","","","",[9],"",0
119,"Act8_ToxicConduits","Audio/Music/Act3_Sewers/Act3_Sewers.ogg","Music6.bank",34564,1,"Toxic Conduits","Conduits toxiques","Verseuchte Kanäle","有毒な排水路","독성 도관","Condutores Tóxicos","Отравленные каналы","Conductos tóxicos","ท่อส่งสารพิษ","腐化渠道","","","","","","","","","","",[9],"",0
120,"Act8_GrandPromenade","Audio/Music/Act3_Battlefront/Battlefront","Music26.bank",2180,1,"Grand Promenade","Esplanade majestueuse","Große Promenade","大遊歩道","대 산책로","Grande Esplanada","Роскошная набережная","Rambla grandiosa","ทางเดินผู้สูงศักดิ์","宏偉行道","","","","","","","","","","",[9],"",0
121,"Act8_BathHouse","Audio/Music/Act3_Solaris/Act3_Solaris.ogg","Music7.bank",28261,1,"Bath House","Thermes","Badehaus","浴場","목욕탕","Casa de Banhos","Купальни","Baño público","โรงอาบน้ำ","大浴堂","","","","","","","","","","",[9],"",0
122,"Act8_HighGardens","Audio/Music/Labyrinth/dry_garden.ogg","Music15.bank",1652,1,"High Gardens","Jardins suspendus","Hohe Gärten","空中庭園","고층 정원","Jardins Imperiais","Висячие сады","Jardines altos","สวนเหนือปฐพี","空中花園","","","","","","","","","","",[9],1,0
123,"Act8_LunarisConcourse","Audio/Music/Act3_Battlefront/Battlefront","Music26.bank",27958,1,"Lunaris Concourse","Jonction de Lunaris","Passage zu Lunaris","ルナリスの中央広場","루나리스 중앙 광장","Pátio de Lunaris","Площадь Лунарис","Vestíbulo de Lunaris","สาธารณสถานลูนาริส","月影神廣場","","","","","","","","","","",[9],"",0
124,"Act8_LunarisTemple","Audio/Music/Act2_TempleRuin/Act2_TempleRuin.ogg","Music4.bank",53022,1,"Lunaris Temple","Temple de Lunaris","Lunaristempel","ルナリス寺院","루나리스 사원","Templo de Lunaris","Храм Лунарис","Templo de Lunaris","วิหารลูนาริส","月影神殿","","","","","","","","","","",[9],"",0
125,"Act8_Quay","Audio/Music/Act3_Intro/Act3_Intro.ogg","Music6.bank",63854,1,"Quay","Quais","Kai","波止場","부두","Porto","Пристань","Atracadero","ท่าเทียบเรือ","啟程碼頭","","","","","","","","","","",[9],"",0
126,"Act8_GrainGate","Audio/Music/Act3_Intro/Act3_Intro.ogg","Music6.bank",28970,1,"Grain Gate","Porte des Récoltes","Kornpforte","穀物倉庫","곡물의 문","Portão de Granito","Зерновые ворота","Puerta del grano","ทางผ่านธัญพืช","糧儲關口","","","","","","","","","","",[9],"",0
127,"Act8_ImperialFields","Audio/Music/Act2_DryForest/Act2_DryForest.ogg","Music3.bank",36571,1,"Imperial Fields","Champs impériaux","Kaiserliche Felder","帝国の穀倉地帯","황실 정원","Campos Imperiais","Имперские поля","Campos imperiales","ทุ่งจักรพรรดิ","皇家疆界","","","","","","","","","","",[9],"",0
128,"Act8_SolarisTemple","Audio/Music/Act3_Solaris/Act3_Solaris.ogg","Music7.bank",3916,1,"Solaris Temple","Temple de Solaris","Solaristempel","ソラリス寺院","솔라리스 사원","Templo Solaris","Храм Солярис","Templo de Solaris","วิหารโซลาริส","日耀神殿","","","","","","","","","","",[9],"",0
129,"Act8_SolarisConcourse","Audio/Music/Act3_Battlefront/Battlefront","Music26.bank",29163,1,"Solaris Concourse","Jonction de Solaris","Passage zu Solaris","ソラリスの中央広場","솔라리스 중앙 광장","Pátio de Solaris","Площадь Солярис","Vestíbulo de Solaris","สาธารณสถานโซลาริส","日耀神廣場","","","","","","","","","","",[9],"",0
130,"Battlefront","Audio/Music/Act3_Battlefront/Battlefront","Music26.bank",9134,1,"Harbour Bridge","Pont portuaire","Hafenbrücke","港の橋","항구 다리","Ponte do Porto","Портовый мост","Puente portuario","สะพานท่าเรือ","海港大橋","","","","","","","","","","",[9],"",0
131,"Act8_SolarisLunaris","Audio/Music/Act8_Solaris&Lunaris/Act8_Solaris&Lunaris.ogg","Music21.bank",28221,1,"Solaris vs Lunaris","Solaris contre Lunaris","Solaris vs. Lunaris","ソラリス対ルナリス","솔라리스 대 루나리스","Solaris vs Lunaris","Солярис и Лунарис","Solaris vs. Lunaris","โซลาริส ปะทะ ลูนาริส","日耀 vs 月影","","","","","","","","","","","[9,0]",1,7
132,"Act9_BloodAqueduct","Audio/Music/Act4_Aqueduct/Aqueduct.ogg","Music13.bank",46629,1,"Blood Aqueduct","Aqueduc de sang","Das Blutaquädukt","血の水道橋","피의 수로","Aqueduto Sangrento","Кровавый акведук","Acueducto de sangre","สะพานส่งโลหิต","滲血水道","","","","","","","","","","",[10],"",0
133,"Act9_Highgate","Audio/Music/Act4_Town/Act4_Town.ogg","Music10.bank",53919,1,"Highgate","Hautevoie","Hohenpforte","ハイゲート","하이게이트","Highgate","Македы","Atalaya","ไฮเกท","統治者之殿","","","","","","","","","","",[10],"",0
134,"Act9_Descent","Audio/Music/Act5_OriathPortal/Act5_OriathPortal.ogg","Music16.bank",33115,1,"Descent","Descente","Abstieg","谷底への道","비탈","Descida","Спуск","Descenso","ทางลงต่ำ","下沉地區","","","","","","","","","","",[10],"",0
135,"Act9_VastiriDesert","Audio/Music/Act4_Arena/DaressoPit.ogg","Music13.bank",58445,1,"Vastiri Desert","Désert vastiri","Vastiri-Wüste","ヴァスティリ砂漠","바스티리 사막","Deserto Vastiri","Пустыня Вастири","Desierto vastiri","ทะเลทรายวาสตีรี","瓦斯提里荒漠","","","","","","","","","","",[10],"",0
136,"Act9_Oasis","Audio/Music/Act4_Arena/DaressoPit.ogg","Music13.bank",52816,1,"Oasis","Oasis","Oase","オアシス","오아시스","Oásis","Оазис","Oasis","โอเอซิส","幻景綠洲","","","","","","","","","","",[10],"",0
137,"Shakari","Audio/Music/Act9_Shakari/Shakari","Music26.bank",17757,1,"Shakari","Shakari","Shakari","シャカーリ","샤카리","Shakari","Шакари","Shakari","ชาคารี","夏卡莉","","","","","","","","","","","[10,0]",1,0
138,"Act9_Foothills","Audio/Music/Act4_Lake/Act4_Lake.ogg","Music11.bank",30341,1,"Foothills","Contreforts","Vorgebirge","山麓","구릉","Pés da Montanha","Предгорье","Estribaciones","เชิงเขา","山麓","","","","","","","","","","",[10],"",0
139,"Act9_BoilingLake","Audio/Music/Act4_Lake/Act4_Lake.ogg","Music11.bank",57956,1,"Boiling Lake","Lac bouillant","Kochender See","沸き立つ湖","끓어오르는 호수","Lago Fervente","Кипящее озеро","Lago sofocante","ทะเลสาบเดือด","沸騰湖泊","","","","","","","","","","",[10],"",0
140,"Act9_Tunnel","Audio/Music/Act4_Tunnels/Act4_MiningTunnels.ogg","Music10.bank",38405,1,"Tunnel","Tunnel","Tunnel","坑道","터널","Túnel","Тоннель","Túnel","อุโมงค์","隧道遺跡","","","","","","","","","","",[10],"",0
141,"Act9_Quarry","Audio/Music/Act4_Tunnels/Act4_MiningTunnels.ogg","Music10.bank",17042,1,"Quarry","Carrière","Steinbruch","採石場","채석장","Pedreira","Каменоломня","Cantera","เหมืองแร่","廢棄挖石場","","","","","","","","","","",[10],"",0
142,"Act9_Rafinery","Audio/Music/Act4_Tunnels/Act4_MiningTunnels.ogg","Music10.bank",47109,1,"Refinery","Raffinerie","Veredelung","精錬所","제련소","Refinaria","Фабрика","Refinería","โรงแปรธาตุ","破損煉油廠","","","","","","","","","","",[10],"",0
143,"Act9_Belly","Audio/Music/Act4_BellyOfTheBeast/BellyOfTheBeast.ogg","Music12.bank",38769,1,"Belly of the Beast","Ventre de la Bête","Wanst der Bestie","魔獣の内部","짐승의 소굴","Ventre da Besta","Брюхо Зверя","Barriga de la bestia","ช่องท้องของบีสต์","獸穴之腹","","","","","","","","","","",[10],"",0
144,"Act9_RottingCore","Audio/Music/Act4_BellyOfTheBeast/BellyOfTheBeast.ogg","Music12.bank",33500,1,"Rotting Core","Cœur en décomposition","Faulender Kern","腐った核","썩어가는 중심부","Núcleo Pútrido","Гниющее нутро","Núcleo putrefacto","แก่นเน่าเปื่อย","腐敗之核","","","","","","","","","","",[10],"",0
145,"Act10_OriathDock","Audio/Music/Act10_OriathDock/Act10_OriathDock.ogg","Music21.bank",25614,1,"Oriath's Dock","Docks d'Oriath","Docks von Oriath","オリアスの船着場","오리아스 항구","Docas de Oriath","Доки Ориата","Dársenas de Oriath","ท่าเรือโอริอาท","奧瑞亞港口","","","","","","","","","","","[11,1]",1,0
146,"Act10_CathedralRooftop","Audio/Music/Act5_CathedralRooftops/Act5_CathedralRooftops.ogg","Music19.bank",61510,1,"Cathedral Rooftop","Toit de la cathédrale","Kathedralendach","大聖堂の屋上","대성당 지붕","Telhado da Catedral","Крыша собора","Techo de la catedral","ดาดฟ้าโบสถ์","聖堂屋頂","","","","","","","","","","",[11],"",0
147,"Act10_RavagedSquare","Audio/Music/Act5_RuinedSquare/Act5_RuinedSquare.ogg","Music19.bank",17674,1,"Ravaged Square","Place ravagée","Verwüsteter Stadtplatz","荒廃した広場","파괴된 광장","Praça Devastada","Разорённая площадь","Plaza devastada","จัตุรัสวินาศ","殘摧大廣場","","","","","","","","","","",[11],"",0
148,"Act10_ControlBlocks","Audio/Music/Act5_SlavePens/Act5_SlavePens.ogg","Music17.bank",4375,1,"Control Blocks","Quartier de contrôle","Wachhäuser","奴隷管理区画","관리 구역","Blocos de Controle","Изолятор","Bloques de control","บล็อกคุมขัง","焚燒大教堂","","","","","","","","","","",[11],"",0
149,"Act10_Reliquary","Audio/Music/Act5_Ossuary/Act5_Ossuary.ogg","Music19.bank",59477,1,"Reliquary","Reliquaire","Reliquienkammer","聖廟","성유물 보관실","Relicário","Реликварий","Relicario","สถานเก็บวัตถุเก่าแก่","聖物間","","","","","","","","","","",[11],"",0
150,"Act10_Ossuary","Audio/Music/Act5_Ossuary/Act5_Ossuary.ogg","Music19.bank",23152,1,"Ossuary","Ossuaire","Ossuarium","納骨堂","납골당","Ossuário","Костница","Osario","สถานเก็บกระดูก","葬骨禮堂","","","","","","","","","","",[11],"",0
151,"Act10_TorchedCourts","Audio/Music/Act5_TemplarCourt/Act5_TemplarCourt.ogg","Music18.bank",46812,1,"Torched Courts","Tribunal incendié","Entflammtes Gericht","焼けた裁判所","타오르는 법정","Cortes Incendiadas","Подожжённые суды","Cortes incendiadas","ศาลมอดไหม้","焚燒大教堂","","","","","","","","","","",[11],"",0
152,"Act10_DesecratedChambers","Audio/Music/Act5_ChamberOfInnocence/Act5_ChamberOfInnocence.ogg","Music18.bank",31698,1,"Desecrated Chambers","Chambres profanées","Entweihte Kammern","冒涜された広間","무너진 방","Câmaras Profanadas","Осквернённая обитель","Cámaras profanadas","โถงที่พังทลาย","褻瀆之室","","","","","","","","","","",[11],"",0
153,"Act10_Canals","Audio/Music/Act5_RuinedSquare/Act5_RuinedSquare.ogg","Music19.bank",59712,1,"Canals","Canaux","Kanäle","運河","운하","Canais","Каналы","Canales","คูน้ำ","陰屍河道","","","","","","","","","","",[11],"",0
154,"Act10_FeedingThrough","Audio/Music/Act5_RuinedSquare/Act5_RuinedSquare.ogg","Music19.bank",49047,1,"Feeding Trough","Auge","Futtertrog","餌場","먹이통","Comedouro","Кормушка","Comedero","สายส่งอาหาร","破沿血道","","","","","","","","","","",[11],"",0
155,"Act10_Kitava","Audio/Music/Act10_Kitava/Act10_Kitava","Music22.bank",6633,1,"Kitava (A10)","Kitava (A10)","Kitava (A10)","キタヴァ (A10)","키타바 (A10)","Kitava (A10)","Китава (10 Акт)","Kitava (A10)","คิทาวา (บทที่ 10)","奇塔弗 (A10)","","","","","","","","","","","[11,0]",1,0
156,"Labyrinth_Interior","Audio/Music/Labyrinth/elegant_house.ogg","Music14.bank",44256,1,"Labyrinth Interior","Labyrinthe (intérieur)","Labyrinth-Innenbereich","ラビリンス内部","미궁 내부","Interior do Labirinto","Помещения Лабиринта","Laberinto interior","เขาวงกตภายใน","帝王迷宮內部","","","","","","","","","","",[13],1,0
157,"Labyrinth_Exterior","Audio/Music/Labyrinth/dry_garden.ogg","Music15.bank",63347,1,"Labyrinth Exterior","Labyrinthe (extérieur)","Labyrinth-Außenbereich","ラビリンス外部","미궁 외부","Exterior do Labirinto","Двор Лабиринта","Laberinto exterior","เขาวงกตภายนอก","帝王迷宮外部","","","","","","","","","","",[13],"",0
158,"Labyrinth_Boss","Audio/Music/Labyrinth/izaro.ogg","Music15.bank",21334,1,"Izaro","Izaro","Izaro","イザロ","이자로","Izaro","Изаро","Izaro","อีซาโร","伊澤洛","","","","","","","","","","","[0,13]",1,0
159,"Prophecy","Audio/Music/Prophecy/ThePaleCourt.ogg","Music15.bank",57657,"","","","","","","","","","","","","","","","","","","","","",[],"",0
160,"AtlasOfWorlds","Audio/Music/AtlasOfWorlds/AtlasOfWorlds_Boss.ogg","Music15.bank",1785,1,"Shaper","Façonneur","Schöpfer","シェイパー","쉐이퍼","Criador","Создатель","Creador","เชปเปอร์","塑界者","","","","","","","","","","","[0,13]",1,0
161,"AtlasShapersRealm","Audio/Music/AtlasOfWorlds/AtlasShapersRealm.ogg","Music16.bank",50072,1,"Shaper's Realm","Royaume du Façonneur","Reich des Schöpfers","シェイパーの領域","쉐이퍼의 영역","Reino do Criador","Владения Создателя","Reino del Creador","ดินแดนของเชปเปอร์","塑者之域","","","","","","","","","","","[13,1]",1,0
162,"Elder","Audio/Music/WarForTheAtlas/Elder","Music22.bank",53506,1,"Elder","Ancien","Ältester","エルダー","엘더","Ancião","Древний","Antiguo","เอลเดอร์","異界尊師","","","","","","","","","","","[0,13]",1,8
163,"ElderGuardian","Audio/Music/WarForTheAtlas/ElderGuardian","Music22.bank",7563,"","","","","","","","","","","","","","","","","","","","","",[0],"",0
164,"MemoryNexus","Audio/Music/Synthesis/MemoryNexus","Music25.bank",7820,1,"Memory Nexus","Nexus des Souvenirs","Nexus der Erinnerungen","記憶の中核","기억 연결부","Nexus de Memórias","Нексус воспоминаний","Nexo de la memoria","ศูนย์รวมความทรงจำ","記憶叉點","","","","","","","","","","","[13,1]",1,0
165,"Venarius","Audio/Music/Synthesis/Venarius","Music25.bank",51643,1,"Venarius","Vénarius","Venarius","ヴェナリウス","베나리우스","Venarius","Венарий","Venarius","เวนาริอุส","維那利斯","","","","","","","","","","","[0,13]",1,0
166,"TimeStop","Audio/Music/AtlasOfWorlds/AtlasZanaQuest.ogg","Music16.bank",22069,"","","","","","","","","","","","","","","","","","","","","",[],"",0
167,"BreachTension","Audio/Music/Breach/BreachTension.ogg","Music17.bank",55638,"","","","","","","","","","","","","","","","","","","","","",[],"",0
168,"BreachTriggered","Audio/Music/Breach/BreachTriggered.ogg","Music17.bank",51262,1,"Breach","Brèche","Riss","ブリーチ","균열","Breach","Разлом","Fisura","บรีช","裂痕","","","","","","","","","","","[0,13]",1,0
169,"AbyssLeagueArea","Audio/Music/AbyssLeague/AbyssLeagueArea","Music22.bank",19927,1,"Abyss","Abysse","Abgrund","アビス","심연","Abismo","Бездна","Abismo","อะบิส","深淵","","","","","","","","","","",[13],1,0
170,"AbyssLeagueBoss","Audio/Music/AbyssLeague/AbyssLeagueBoss","Music22.bank",42011,1,"Abyssal Lich","Liche abyssale","Abgründiger Lich","アビスの死体","심연의 리치","Lich Abismal","Лич Бездны","Liche abisal","ลิชอะบิส","深淵妖巫","","","","","","","","","","","[0,13]",1,0
171,"Bestiary_Boss","Audio/Music/Bestiary/Bestiary_Boss","Music23.bank",63596,1,"Bestiary","Bestiary","Bestiary","ベスティアリー","야수 도감","Bestiário","Бестиарий","Bestiary","สมุดรวมสัตว์","獸獵寓言","","","","","","","","","","","[0,13]",1,0
172,"Menagerie","Audio/Music/Bestiary/Menagerie","Music23.bank",8068,1,"Menagerie","Ménagerie","Menagerie","怪獣園","야수관","Viveiro","Зверинец","Animalario","สวนสัตว์","獸園","","","","","","","","","","","[13,1]",1,0
173,"Incursion_Boss","Audio/Music/Incursion/Incursion_Boss","Music24.bank",25495,1,"Incursion","Incursion","Incursion","インカージョン","기습","Incursão","Вторжение","Incursion","การย้อนเวลา","穿越時空","","","","","","","","","","","[0,13]",1,0
174,"Vaal_Temple","Audio/Music/Vaal_Temple/Vaal_Temple","Music24.bank",23946,"","","Temple vaal","Vaal-Tempel","","바알 사원","Templo Vaal","Храм ваал","Templo Vaal","Vaal Temple","瓦爾神殿","","","","","","","","","","",[],"",9
175,"DelveMines","Audio/Music/Delve/DelveMines","Music24.bank",5266,1,"Azurite Mine","Mine d'Azurite","Azuritmine","アズライト鉱山","남동석 광산","Mina de Azurita","Азуритовая шахта","Mina de azurita","เหมืองอะซูไรต์","碧藍礦坑","","","","","","","","","","",[13],1,0
176,"DelveBoss","Audio/Music/Delve/DelveBoss","Music25.bank",23554,1,"Delve","Delve","Delve","デルヴ","탐광","Delve","Спуск","Delve","เหมืองลึก","掘獄","","","","","","","","","","","[0,13]",1,0
177,"DelveHub","Audio/Music/Delve/DelveHub","Music25.bank",6151,1,"Mine Encampment","Campement de la Mine","Minenlager","鉱山の野営地","광산 야영지","Acampamento da Mina","Лагерь у шахты","Campamento de la mina","ค่ายหน้าเหมือง","礦坑營地","","","","","","","","","","","[13,1]",1,0
178,"Betrayal","Audio/Music/Betrayal/Betrayal","Music25.bank",42427,1,"Betrayal","Betrayal","Betrayal","ビトレイアル","배신","Betrayal","Предательство","Betrayal","องค์กรทรยศ","密教反叛","","","","","","","","","","","[0,13]",1,0
179,"Sacrifice","Audio/Music/Sacrifice/Atziri.ogg","Music11.bank",29876,1,"Atziri","Atziri","Atziri","アトジリ","앗지리","Atziri","Атзири","Atziri","อัถสิริ","阿茲里","","","","","","","","","","","[0,13]",1,0
180,"LegionIdleState","Audio/Music/Legion/LegionIdleState","Music27.bank",56918,"","","","","","","","","","","","","","","","","","","","","",[],"",0
