"rownum","MetamorphosisRewardTypesKey","i32","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32"
74,5,13,"Drops additional Incursion Armour","Cède des Pièces d'armure d'Incursion supplémentaires","Lässt zusätzliche Incursion-Rüstungsgegenstände fallen","追加のインカージョン防具をドロップ","기습 방어구를 추가로 떨어뜨림","Derruba Armaduras Incursion adicionais","Бросает дополнительные доспехи Вмешательства","Arroja armaduras de Incursion adicionales","ดรอป เกราะย้อนเวลา เพิ่มเติม","掉落額外穿越護甲",27277
75,5,14,"Drops additional Incursion Armour","Cède des Pièces d'armure d'Incursion supplémentaires","Lässt zusätzliche Incursion-Rüstungsgegenstände fallen","追加のインカージョン防具をドロップ","기습 방어구를 추가로 떨어뜨림","Derruba Armaduras Incursion adicionais","Бросает дополнительные доспехи Вмешательства","Arroja armaduras de Incursion adicionales","ดรอป เกราะย้อนเวลา เพิ่มเติม","掉落額外穿越護甲",27277
76,5,15,"Drops additional Incursion Armour","Cède des Pièces d'armure d'Incursion supplémentaires","Lässt zusätzliche Incursion-Rüstungsgegenstände fallen","追加のインカージョン防具をドロップ","기습 방어구를 추가로 떨어뜨림","Derruba Armaduras Incursion adicionais","Бросает дополнительные доспехи Вмешательства","Arroja armaduras de Incursion adicionales","ดรอป เกราะย้อนเวลา เพิ่มเติม","掉落額外穿越護甲",27277
77,5,16,"Drops additional Incursion Armour","Cède des Pièces d'armure d'Incursion supplémentaires","Lässt zusätzliche Incursion-Rüstungsgegenstände fallen","追加のインカージョン防具をドロップ","기습 방어구를 추가로 떨어뜨림","Derruba Armaduras Incursion adicionais","Бросает дополнительные доспехи Вмешательства","Arroja armaduras de Incursion adicionales","ดรอป เกราะย้อนเวลา เพิ่มเติม","掉落額外穿越護甲",27277
78,5,17,"Drops a 6-linked Unique Body Armour","Cède une Armure avec 6 châsses reliées","Lässt eine einzigartige Körperrüstung mit 6 verbundenen Fassungen fallen","6リンク鎧をドロップ","6연결 고유 갑옷을 추가로 떨어뜨림","Derruba Peitorais Únicos com 6 Conexões","Бросает уникальный доспех с 6-ю связанными гнёздами","Arroja una armadura única con 6 engarces vinculados","ดรอป เสื้อเกราะยูนิค 6 เชื่อม 1 ชิ้น","掉落一件六連傳奇胸甲",36842
79,6,0,"Drops additional Rare Weapons","Cède des Armes rares supplémentaires","Lässt zusätzliche seltene Waffen fallen","追加のレア武器をドロップ","희귀 무기를 추가로 떨어뜨림","Derruba Armas Raras adicionais","Бросает дополнительное редкое оружие","Arroja armas raras adicionales","ดรอป อาวุธแรร์ เพิ่มเติม","掉落額外稀有武器",21643
80,6,1,"Drops additional Rare Weapons","Cède des Armes rares supplémentaires","Lässt zusätzliche seltene Waffen fallen","追加のレア武器をドロップ","희귀 무기를 추가로 떨어뜨림","Derruba Armas Raras adicionais","Бросает дополнительное редкое оружие","Arroja armas raras adicionales","ดรอป อาวุธแรร์ เพิ่มเติม","掉落額外稀有武器",21643
81,6,2,"Drops a 6-linked Rare Weapon","Cède une Arme rare avec 6 châsses reliées","Lässt eine seltene Waffe mit 6 verbundenen Fassungen fallen","6-リンクレア武器をドロップ","6연결 희귀 무기를 떨어뜨림","Derruba uma Arma Rara com 6 Encaixes Conectados","Бросает редкое оружие с 6 связанными гнёздами","Arroja un arma rara con 6 engarces vinculados","ดรอป อาวุธแรร์ 6 เชื่อม 1 ชิ้น","掉落 6 連稀有武器",28349
82,6,3,"Drops a 5-linked Rare Weapon","Cède une Arme rare avec 5 châsses reliées","Lässt eine seltene Waffe mit 5 verbundenen Fassungen fallen","5-リンクレア武器をドロップ","5연결 희귀 무기를 떨어뜨림","Derruba uma Arma Rara com 5 Encaixes Conectados","Бросает редкое оружие с 5 связанными гнёздами","Arroja un arma rara con 5 engarces vinculados","ดรอป อาวุธแรร์ 5 เชื่อม 1 ชิ้น","掉落 5 連稀有武器",49022
83,6,4,"Drops a Rare Weapon with 30% Quality","Cède une Arme unique","Lässt eine seltene Waffe mit 30% Qualität fallen","30%の品質を持つレア武器をドロップ","30% 퀄리티의 희귀 무기를 떨어뜨림","Derruba uma Arma Rara com 30% de Qualidade","Бросает редкое оружие с 30% качеством","Arroja un arma rara con 30% de calidad","ดรอป อาวุธแรร์ที่มีค่าคุณภาพ 30% 1 ชิ้น","掉落有 30% 品質的稀有武器",5427
84,6,5,"Drops a Synthesised Weapon","Cède une Arme du Façonneur","Lässt eine synthetisierte Waffe fallen","シンセシス武器をドロップ","결합된 무기를 떨어뜨림","Derruba uma Arma Sintetizada","Бросает синтезированное оружие","Arroja un arma sintetizada","ดรอป อาวุธสังเคราะห์ 1 ชิ้น","掉落一個追憶武器",52398
85,6,6,"Drops a Fractured Weapon","Cède une Arme de l'Ancien","Lässt eine brüchige Waffe fallen","フラクチャー武器をドロップ","분열된 무기를 떨어뜨림","Derruba uma Arma Trincada","Бросает расколотое оружие","Arroja un arma fracturada","ดรอป อาวุธที่แตกร้าว 1 ชิ้น","掉落一個破裂武器",11599
86,6,7,"Drops a Veiled Weapon","Cède une Arme cryptée","Lässt eine verhüllte Waffe fallen","ヴェールされた武器をドロップ","장막 무기를 떨어뜨림","Derruba uma Arma Oculta","Бросает завуалированное оружие","Arroja un arma encriptada","ดรอป อาวุธผนึก 1 ชิ้น","掉落一個隱匿武器",3937
87,6,8,"Drops a Veiled Weapon","Cède une Arme cryptée","Lässt eine verhüllte Waffe fallen","ヴェールされた武器をドロップ","장막 무기를 떨어뜨림","Derruba uma Arma Oculta","Бросает завуалированное оружие","Arroja un arma encriptada","ดรอป อาวุธผนึก 1 ชิ้น","掉落一個隱匿武器",3937
88,6,9,"Drops an Incursion Weapon","Cède une Arme d'Incursion","Lässt eine Incursion-Waffe fallen","インカージョン武器をドロップ","기습 무기를 떨어뜨림","Derruba uma Arma Incursion","Бросает оружие Вмешательства","Arroja un arma de Incursion","ดรอป อาวุธย้อนเวลา 1 ชิ้น","掉落一個穿越武器",24945
89,6,10,"Drops an Incursion Weapon","Cède une Arme d'Incursion","Lässt eine Incursion-Waffe fallen","インカージョン武器をドロップ","기습 무기를 떨어뜨림","Derruba uma Arma Incursion","Бросает оружие Вмешательства","Arroja un arma de Incursion","ดรอป อาวุธย้อนเวลา 1 ชิ้น","掉落一個穿越武器",24945
90,6,11,"Drops an Incursion Weapon","Cède une Arme d'Incursion","Lässt eine Incursion-Waffe fallen","インカージョン武器をドロップ","기습 무기를 떨어뜨림","Derruba uma Arma Incursion","Бросает оружие Вмешательства","Arroja un arma de Incursion","ดรอป อาวุธย้อนเวลา 1 ชิ้น","掉落一個穿越武器",24945
91,6,12,"Drops an Incursion Weapon","Cède une Arme d'Incursion","Lässt eine Incursion-Waffe fallen","インカージョン武器をドロップ","기습 무기를 떨어뜨림","Derruba uma Arma Incursion","Бросает оружие Вмешательства","Arroja un arma de Incursion","ดรอป อาวุธย้อนเวลา 1 ชิ้น","掉落一個穿越武器",24945
92,6,13,"Drops an Incursion Weapon","Cède une Arme d'Incursion","Lässt eine Incursion-Waffe fallen","インカージョン武器をドロップ","기습 무기를 떨어뜨림","Derruba uma Arma Incursion","Бросает оружие Вмешательства","Arroja un arma de Incursion","ดรอป อาวุธย้อนเวลา 1 ชิ้น","掉落一個穿越武器",24945
93,6,14,"Drops an Incursion Weapon","Cède une Arme d'Incursion","Lässt eine Incursion-Waffe fallen","インカージョン武器をドロップ","기습 무기를 떨어뜨림","Derruba uma Arma Incursion","Бросает оружие Вмешательства","Arroja un arma de Incursion","ดรอป อาวุธย้อนเวลา 1 ชิ้น","掉落一個穿越武器",24945
94,6,15,"Drops an Incursion Weapon","Cède une Arme d'Incursion","Lässt eine Incursion-Waffe fallen","インカージョン武器をドロップ","기습 무기를 떨어뜨림","Derruba uma Arma Incursion","Бросает оружие Вмешательства","Arroja un arma de Incursion","ดรอป อาวุธย้อนเวลา 1 ชิ้น","掉落一個穿越武器",24945
95,6,16,"Drops an Incursion Weapon","Cède une Arme d'Incursion","Lässt eine Incursion-Waffe fallen","インカージョン武器をドロップ","기습 무기를 떨어뜨림","Derruba uma Arma Incursion","Бросает оружие Вмешательства","Arroja un arma de Incursion","ดรอป อาวุธย้อนเวลา 1 ชิ้น","掉落一個穿越武器",24945
96,6,17,"Drops an Incursion Weapon","Cède une Arme d'Incursion","Lässt eine Incursion-Waffe fallen","インカージョン武器をドロップ","기습 무기를 떨어뜨림","Derruba uma Arma Incursion","Бросает оружие Вмешательства","Arroja un arma de Incursion","ดรอป อาวุธย้อนเวลา 1 ชิ้น","掉落一個穿越武器",24945
97,6,18,"Drops an Incursion Weapon","Cède une Arme d'Incursion","Lässt eine Incursion-Waffe fallen","インカージョン武器をドロップ","기습 무기를 떨어뜨림","Derruba uma Arma Incursion","Бросает оружие Вмешательства","Arroja un arma de Incursion","ดรอป อาวุธย้อนเวลา 1 ชิ้น","掉落一個穿越武器",24945
98,6,19,"Drops an Incursion Weapon","Cède une Arme d'Incursion","Lässt eine Incursion-Waffe fallen","インカージョン武器をドロップ","기습 무기를 떨어뜨림","Derruba uma Arma Incursion","Бросает оружие Вмешательства","Arroja un arma de Incursion","ดรอป อาวุธย้อนเวลา 1 ชิ้น","掉落一個穿越武器",24945
99,6,20,"Drops an Incursion Weapon","Cède une Arme d'Incursion","Lässt eine Incursion-Waffe fallen","インカージョン武器をドロップ","기습 무기를 떨어뜨림","Derruba uma Arma Incursion","Бросает оружие Вмешательства","Arroja un arma de Incursion","ดรอป อาวุธย้อนเวลา 1 ชิ้น","掉落一個穿越武器",24945
100,6,21,"Drops an Incursion Weapon","Cède une Arme d'Incursion","Lässt eine Incursion-Waffe fallen","インカージョン武器をドロップ","기습 무기를 떨어뜨림","Derruba uma Arma Incursion","Бросает оружие Вмешательства","Arroja un arma de Incursion","ดรอป อาวุธย้อนเวลา 1 ชิ้น","掉落一個穿越武器",24945
101,6,22,"Drops an Incursion Weapon","Cède une Arme d'Incursion","Lässt eine Incursion-Waffe fallen","インカージョン武器をドロップ","기습 무기를 떨어뜨림","Derruba uma Arma Incursion","Бросает оружие Вмешательства","Arroja un arma de Incursion","ดรอป อาวุธย้อนเวลา 1 ชิ้น","掉落一個穿越武器",24945
102,6,23,"Drops a 6-linked Weapon","Cède une Arme avec 6 châsses reliées","Lässt eine Waffe mit 6 verbundenen Fassungen fallen","6リンク武器をドロップ","6연결 무기를 떨어뜨림","Derruba uma Arma com 6 Conexões","Бросает оружие с 6-ю связанными гнёздами","Arroja un arma con 6 engarces vinculados","ดรอป อาวุธ 6 เชื่อม 1 ชิ้น","掉落一個六連武器",50437
103,6,24,"Drops a 30% Quality Weapon","Cède une Arme à 30% de qualité","Lässt eine Waffe mit 30% Qualität fallen","品質30%武器をドロップ","30% 퀄리티 무기를 떨어뜨림","Derruba uma Arma com 30% de Qualidade","Бросает оружие с 30% качеством","Arroja un arma con 30% de calidad","ดรอป อาวุธที่มีค่าคุณภาพ 30% 1 ชิ้น","掉落一個品質 30% 的武器",14476
104,7,0,"Drops an Abyssal Jewel","Cède un Joyau abyssal","Lässt ein Abgrund-Juwel fallen","アビスジュエルをドロップ","심연 주얼을 떨어뜨림","Derruba uma Joia Abissal","Бросает самоцвет Бездны","Arroja una joya abisal","ดรอป จิวเวลอะบิส 1 เม็ด","掉落一個深淵珠寶",60969
105,7,1,"Drops additional Abyssal Jewels","Cède des Joyaux abyssaux supplémentaires","Lässt zusätzliche Abgrund-Juwelen fallen","追加のアビスジュエルをドロップ","심연 주얼을 추가로 떨어뜨림","Derruba Joias Abissais adicionais","Бросает дополнительные самоцветы Бездны","Arroja joyas abisales adicionales","ดรอป จิวเวลอะบิส เพิ่มเติม","掉落額外深淵珠寶",33173
106,7,2,"Drops a Stygian Vise","Cède un Carcan stygien","Lässt eine Styx-Schlinge fallen","地獄の万力をドロップ","명계의 조임쇠를 떨어뜨림","Derruba um Torno Estígio","Бросает тёмные тиски","Arroja una Faja estigia","ดรอป Stygian Vise 1 เส้น","掉落一個冥河腰帶",25160
107,7,3,"Drops an Abyss Unique Item","Cède un Objet unique d'Abysse","Lässt einen einzigartigen Abyss-Gegenstand fallen","アビスユニークアイテムをドロップ","심연 고유 아이템을 떨어뜨림","Derruba um Item Único Abissal","Бросает уникальный предмет Бездны","Arroja un objeto único abisal","ดรอป ไอเทมยูนิคอะบิส 1 ชิ้น","掉落一個深淵傳奇道具",27614
108,8,0,"Drops additional Expedition Items","Cède des Objets d'Expédition supplémentaires","Lässt zusätzliche Expedition-Gegenstände fallen","追加のエクスペディションアイテムをドロップ","탐험 아이템을 추가로 떨어뜨림","Deruba Itens Expedition adicionais","Бросает дополнительные предметы Экспедиции","Arroja objetos de expedición adicionales","ดรอป ไอเทมกองสำรวจ เพิ่มเติม","掉落額外探險物品",9856
109,8,1,"Drops additional Expedition Items","Cède des Objets d'Expédition supplémentaires","Lässt zusätzliche Expedition-Gegenstände fallen","追加のエクスペディションアイテムをドロップ","탐험 아이템을 추가로 떨어뜨림","Deruba Itens Expedition adicionais","Бросает дополнительные предметы Экспедиции","Arroja objetos de expedición adicionales","ดรอป ไอเทมกองสำรวจ เพิ่มเติม","掉落額外探險物品",9856
110,8,2,"Drops additional Expedition Items","Cède des Objets d'Expédition supplémentaires","Lässt zusätzliche Expedition-Gegenstände fallen","追加のエクスペディションアイテムをドロップ","탐험 아이템을 추가로 떨어뜨림","Deruba Itens Expedition adicionais","Бросает дополнительные предметы Экспедиции","Arroja objetos de expedición adicionales","ดรอป ไอเทมกองสำรวจ เพิ่มเติม","掉落額外探險物品",9856
111,9,0,"Drops additional Currency Shards","Cède des Éclats d'Objets monétaires supplémentaires","Lässt zusätzliche Währungsscherben fallen","追加のカレンシーの欠片をドロップ","화폐 파편을 추가로 떨어뜨림","Derruba Fragmentos Monetários adicionais","Бросает дополнительные осколки валюты","Arroja esquirlas de objetos monetarios adicionales","ดรอป ชิ้นส่วนเงินตรา เพิ่มเติม","掉落額外通貨碎片",52493
112,9,1,"Drops additional Currency Shards","Cède des Éclats d'Objets monétaires supplémentaires","Lässt zusätzliche Währungsscherben fallen","追加のカレンシーの欠片をドロップ","화폐 파편을 추가로 떨어뜨림","Derruba Fragmentos Monetários adicionais","Бросает дополнительные осколки валюты","Arroja esquirlas de objetos monetarios adicionales","ดรอป ชิ้นส่วนเงินตรา เพิ่มเติม","掉落額外通貨碎片",52493
113,9,2,"Drops additional valuable Currency Shards","Cède des Éclats d'Objets monétaires de valeur supplémentaires","Lässt zusätzliche wertvolle Währungsscherben fallen","追加の高価値なカレンシーの欠片をドロップ","귀중한 화폐 파편을 추가로 떨어뜨림","Derruba Fragmentos Monetários valiosos adicionais","Бросает дополнительные ценные осколки валюты","Arroja esquirlas valiosas de objetos monetarios adicionales","ดรอป ชิ้นส่วนเงินตราล้ำค่า เพิ่มเติม","掉落額外有價值的通貨碎片",15157
114,9,3,"Drops additional Harbinger Currency","Cède des Objets monétaires de Précurseur supplémentaires","Lässt zusätzliche Vorboten-Währung fallen","追加のハービンジャーカレンシーをドロップ","선구자 화폐를 추가로 떨어뜨림","Derruba Itens Monetários Emissários","Бросает дополнительную валюту Предвестников","Arroja objetos monetarios de Harbinger adicionales","ดรอป เงินตราฮาร์บินเจอร์ เพิ่มเติม","掉落額外神諭通貨",19644
115,9,4,"Drops additional Harbinger Currency","Cède des Objets monétaires de Précurseur supplémentaires","Lässt zusätzliche Vorboten-Währung fallen","追加のハービンジャーカレンシーをドロップ","선구자 화폐를 추가로 떨어뜨림","Derruba Itens Monetários Emissários","Бросает дополнительную валюту Предвестников","Arroja objetos monetarios de Harbinger adicionales","ดรอป เงินตราฮาร์บินเจอร์ เพิ่มเติม","掉落額外神諭通貨",19644
116,9,5,"Drops additional Harbinger Currency","Cède des Objets monétaires de Précurseur supplémentaires","Lässt zusätzliche Vorboten-Währung fallen","追加のハービンジャーカレンシーをドロップ","선구자 화폐를 추가로 떨어뜨림","Derruba Itens Monetários Emissários","Бросает дополнительную валюту Предвестников","Arroja objetos monetarios de Harbinger adicionales","ดรอป เงินตราฮาร์บินเจอร์ เพิ่มเติม","掉落額外神諭通貨",19644
117,9,6,"Drops additional Harbinger Currency","Cède des Objets monétaires de Précurseur supplémentaires","Lässt zusätzliche Vorboten-Währung fallen","追加のハービンジャーカレンシーをドロップ","선구자 화폐를 추가로 떨어뜨림","Derruba Itens Monetários Emissários","Бросает дополнительную валюту Предвестников","Arroja objetos monetarios de Harbinger adicionales","ดรอป เงินตราฮาร์บินเจอร์ เพิ่มเติม","掉落額外神諭通貨",19644
118,9,7,"Drops a Beachhead Unique Map","Cède la Carte unique La Tête de pont","Lässt die einzigartige Karte Brückenkopf fallen","ユニークマップ「侵攻拠点」をドロップ","교두보 고유 지도를 떨어뜨림","Derruba um Mapa Único Cabeça da Ponte","Бросает уникальную карту Плацдарм","Arroja un mapa único de La Cabecera de la Playa","ดรอป แผนที่ยูนิค Beachhead 1 ชิ้น","掉落一張神諭之殿傳奇地圖",37095
119,9,8,"Drops a Beachhead Unique Map","Cède la Carte unique La Tête de pont","Lässt die einzigartige Karte Brückenkopf fallen","ユニークマップ「侵攻拠点」をドロップ","교두보 고유 지도를 떨어뜨림","Derruba um Mapa Único Cabeça da Ponte","Бросает уникальную карту Плацдарм","Arroja un mapa único de La Cabecera de la Playa","ดรอป แผนที่ยูนิค Beachhead 1 ชิ้น","掉落一張神諭之殿傳奇地圖",37095
120,9,9,"Drops a Beachhead Unique Map","Cède la Carte unique La Tête de pont","Lässt die einzigartige Karte Brückenkopf fallen","ユニークマップ「侵攻拠点」をドロップ","교두보 고유 지도를 떨어뜨림","Derruba um Mapa Único Cabeça da Ponte","Бросает уникальную карту Плацдарм","Arroja un mapa único de La Cabecera de la Playa","ดรอป แผนที่ยูนิค Beachhead 1 ชิ้น","掉落一張神諭之殿傳奇地圖",37095
121,10,0,"Drops additional Breach Splinters","Cède des Esquilles de Brèche supplémentaires","Lässt zusätzliche Riss-Splitter fallen","追加のブリーチの破片をドロップ","균열 파편을 추가로 떨어뜨림","Derruba Fragmentos de Fendas adicionais","Бросает дополнительные осколки Разлома","Arroja astillas de fisura adicionales","ดรอป ชิ้นส่วนบรีช เพิ่มเติม","掉落額外裂痕裂片",34745
122,10,1,"Drops additional Breach Splinters","Cède des Esquilles de Brèche supplémentaires","Lässt zusätzliche Riss-Splitter fallen","追加のブリーチの破片をドロップ","균열 파편을 추가로 떨어뜨림","Derruba Fragmentos de Fendas adicionais","Бросает дополнительные осколки Разлома","Arroja astillas de fisura adicionales","ดรอป ชิ้นส่วนบรีช เพิ่มเติม","掉落額外裂痕裂片",34745
123,10,2,"Drops additional Breach Splinters","Cède des Esquilles de Brèche supplémentaires","Lässt zusätzliche Riss-Splitter fallen","追加のブリーチの破片をドロップ","균열 파편을 추가로 떨어뜨림","Derruba Fragmentos de Fendas adicionais","Бросает дополнительные осколки Разлома","Arroja astillas de fisura adicionales","ดรอป ชิ้นส่วนบรีช เพิ่มเติม","掉落額外裂痕裂片",34745
124,10,3,"Drops a Breach Blessing","Cède une Bénédiction de Brèche","Lässt eine Riss-Segnung fallen","ブリーチの祝福をドロップ","균열 축복을 떨어뜨림","Derruba uma Bênção de Fenda","Бросает благословение Разлома","Arroja una Bendición de fisura","ดรอป พรบรีช 1 ชิ้น","掉落一個裂痕祝福",23061
125,10,4,"Drops a Breachstone","Cède une Pierre de Brèche","Lässt einen Riss-Stein fallen","ブリーチストーンをドロップ","균열석을 떨어뜨림","Derruba uma Pedra de Fenda","Бросает камень Разлома","Arroja una Piedra de fisura","ดรอป ศิลาบรีช 1 ก้อน","掉落一個裂痕石",14029
126,10,5,"Drops a Breachstone","Cède une Pierre de Brèche","Lässt einen Riss-Stein fallen","ブリーチストーンをドロップ","균열석을 떨어뜨림","Derruba uma Pedra de Fenda","Бросает камень Разлома","Arroja una Piedra de fisura","ดรอป ศิลาบรีช 1 ก้อน","掉落一個裂痕石",14029
127,10,6,"Drops a Breachstone","Cède une Pierre de Brèche","Lässt einen Riss-Stein fallen","ブリーチストーンをドロップ","균열석을 떨어뜨림","Derruba uma Pedra de Fenda","Бросает камень Разлома","Arroja una Piedra de fisura","ดรอป ศิลาบรีช 1 ก้อน","掉落一個裂痕石",14029
128,10,7,"Drops a Breachstone","Cède une Pierre de Brèche","Lässt einen Riss-Stein fallen","ブリーチストーンをドロップ","균열석을 떨어뜨림","Derruba uma Pedra de Fenda","Бросает камень Разлома","Arroja una Piedra de fisura","ดรอป ศิลาบรีช 1 ก้อน","掉落一個裂痕石",14029
129,11,0,"Drops additional Essences","Cède des Essences supplémentaires","Lässt zusätzliche Essenzen fallen","追加のエッセンスをドロップ","에센스를 추가로 떨어뜨림","Derruba Essências adicionais","Бросает дополнительные сущности","Arroja esencias adicionales","ดรอป เอสเซนส์ เพิ่มเติม","掉落額外精髓",31505
130,11,1,"Drops additional Essences","Cède des Essences supplémentaires","Lässt zusätzliche Essenzen fallen","追加のエッセンスをドロップ","에센스를 추가로 떨어뜨림","Derruba Essências adicionais","Бросает дополнительные сущности","Arroja esencias adicionales","ดรอป เอสเซนส์ เพิ่มเติม","掉落額外精髓",31505
131,11,3,"Drops additional Essences","Cède des Essences supplémentaires","Lässt zusätzliche Essenzen fallen","追加のエッセンスをドロップ","에센스를 추가로 떨어뜨림","Derruba Essências adicionais","Бросает дополнительные сущности","Arroja esencias adicionales","ดรอป เอสเซนส์ เพิ่มเติม","掉落額外精髓",31505
132,12,1,"Drops additional Essences","Cède des Essences supplémentaires","Lässt zusätzliche Essenzen fallen","追加のエッセンスをドロップ","에센스를 추가로 떨어뜨림","Derruba Essências adicionais","Бросает дополнительные сущности","Arroja esencias adicionales","ดรอป เอสเซนส์ เพิ่มเติม","掉落額外精髓",31505
133,12,2,"Drops additional Essences","Cède des Essences supplémentaires","Lässt zusätzliche Essenzen fallen","追加のエッセンスをドロップ","에센스를 추가로 떨어뜨림","Derruba Essências adicionais","Бросает дополнительные сущности","Arroja esencias adicionales","ดรอป เอสเซนส์ เพิ่มเติม","掉落額外精髓",31505
134,12,3,"Drops additional Essences","Cède des Essences supplémentaires","Lässt zusätzliche Essenzen fallen","追加のエッセンスをドロップ","에센스를 추가로 떨어뜨림","Derruba Essências adicionais","Бросает дополнительные сущности","Arroja esencias adicionales","ดรอป เอสเซนส์ เพิ่มเติม","掉落額外精髓",31505
135,12,4,"Drops additional Essences","Cède des Essences supplémentaires","Lässt zusätzliche Essenzen fallen","追加のエッセンスをドロップ","에센스를 추가로 떨어뜨림","Derruba Essências adicionais","Бросает дополнительные сущности","Arroja esencias adicionales","ดรอป เอสเซนส์ เพิ่มเติม","掉落額外精髓",31505
136,13,0,"Drops additional Map Fragments","Cède des Fragments de Carte supplémentaires","Lässt zusätzliche Kartenfragmente fallen","追加のマップの断片をドロップ","지도 조각을 추가로 떨어뜨림","Derruba Fragmentos de Mapas adicionais","Бросает дополнительные фрагменты карт","Arroja fragmentos de mapa adicionales","ดรอป ชิ้นส่วนแผนที่ เพิ่มเติม","掉落額外地圖碎片",53880
137,13,1,"Drops additional Map Fragments","Cède des Fragments de Carte supplémentaires","Lässt zusätzliche Kartenfragmente fallen","追加のマップの断片をドロップ","지도 조각을 추가로 떨어뜨림","Derruba Fragmentos de Mapas adicionais","Бросает дополнительные фрагменты карт","Arroja fragmentos de mapa adicionales","ดรอป ชิ้นส่วนแผนที่ เพิ่มเติม","掉落額外地圖碎片",53880
138,13,2,"Drops additional Map Fragments","Cède des Fragments de Carte supplémentaires","Lässt zusätzliche Kartenfragmente fallen","追加のマップの断片をドロップ","지도 조각을 추가로 떨어뜨림","Derruba Fragmentos de Mapas adicionais","Бросает дополнительные фрагменты карт","Arroja fragmentos de mapa adicionales","ดรอป ชิ้นส่วนแผนที่ เพิ่มเติม","掉落額外地圖碎片",53880
139,13,3,"Drops additional Map Fragments","Cède des Fragments de Carte supplémentaires","Lässt zusätzliche Kartenfragmente fallen","追加のマップの断片をドロップ","지도 조각을 추가로 떨어뜨림","Derruba Fragmentos de Mapas adicionais","Бросает дополнительные фрагменты карт","Arroja fragmentos de mapa adicionales","ดรอป ชิ้นส่วนแผนที่ เพิ่มเติม","掉落額外地圖碎片",53880
140,13,4,"Drops additional Map Fragments","Cède des Fragments de Carte supplémentaires","Lässt zusätzliche Kartenfragmente fallen","追加のマップの断片をドロップ","지도 조각을 추가로 떨어뜨림","Derruba Fragmentos de Mapas adicionais","Бросает дополнительные фрагменты карт","Arroja fragmentos de mapa adicionales","ดรอป ชิ้นส่วนแผนที่ เพิ่มเติม","掉落額外地圖碎片",53880
141,13,5,"Drops additional Map Fragments","Cède des Fragments de Carte supplémentaires","Lässt zusätzliche Kartenfragmente fallen","追加のマップの断片をドロップ","지도 조각을 추가로 떨어뜨림","Derruba Fragmentos de Mapas adicionais","Бросает дополнительные фрагменты карт","Arroja fragmentos de mapa adicionales","ดรอป ชิ้นส่วนแผนที่ เพิ่มเติม","掉落額外地圖碎片",53880
142,13,6,"Drops additional Map Fragments","Cède des Fragments de Carte supplémentaires","Lässt zusätzliche Kartenfragmente fallen","追加のマップの断片をドロップ","지도 조각을 추가로 떨어뜨림","Derruba Fragmentos de Mapas adicionais","Бросает дополнительные фрагменты карт","Arroja fragmentos de mapa adicionales","ดรอป ชิ้นส่วนแผนที่ เพิ่มเติม","掉落額外地圖碎片",53880
143,13,7,"Drops additional Map Fragments","Cède des Fragments de Carte supplémentaires","Lässt zusätzliche Kartenfragmente fallen","追加のマップの断片をドロップ","지도 조각을 추가로 떨어뜨림","Derruba Fragmentos de Mapas adicionais","Бросает дополнительные фрагменты карт","Arroja fragmentos de mapa adicionales","ดรอป ชิ้นส่วนแผนที่ เพิ่มเติม","掉落額外地圖碎片",53880
144,14,0,"Drops additional Rusted Scarabs","Cède des Scarabées rouillés supplémentaires","Lässt zusätzliche Verrostete Skarabäen fallen","追加の錆びたスカラベをドロップ","녹슨 갑충석을 추가로 떨어뜨림","Derruba Escaravelhos Enferrujados adicionais","Бросает дополнительных ржавых скарабеев","Arroja escarabajos oxidados adicionales","ดรอป สคารับขึ้นสนิม เพิ่มเติม","掉落額外鏽蝕聖甲蟲",12589
145,14,1,"Drops additional Polished Scarabs","Cède des Scarabées brillants supplémentaires","Lässt zusätzliche Glänzende Skarabäen fallen","追加の光沢のあるスカラベをドロップ","광택 나는 갑충석을 추가로 떨어뜨림","Derruba Escaravelhos Polidos adicionais","Бросает дополнительных гладких скарабеев","Arroja escarabajos pulidos adicionales","ดรอป สคารับขึ้นเงา เพิ่มเติม","掉落額外圓滑聖甲蟲",11653
146,14,2,"Drops additional Gilded Scarabs","Cède des Scarabées dorés supplémentaires","Lässt zusätzliche Vergoldete Skarabäen fallen","追加の金色のスカラベをドロップ","도금된 갑충석을 추가로 떨어뜨림","Derruba Escaravelhos Dourados adicionais","Бросает дополнительных золочёных скарабеев","Arroja escarabajos dorados adicionales","ดรอป สคารับเคลือบทอง เพิ่มเติม","掉落額外鍍金聖甲蟲",11361
147,15,0,"Drops additional Fossils","Cède des Fossiles supplémentaires","Lässt zusätzliche Fossilien fallen","追加の化石をドロップ","화석을 추가로 떨어뜨림","Derruba Fósseis adicionais","Бросает дополнительные ископаемые","Arroja fósiles adicionales","ดรอป ฟอสซิล เพิ่มเติม","掉落額外化石",32278
148,15,1,"Drops additional Fossils","Cède des Fossiles supplémentaires","Lässt zusätzliche Fossilien fallen","追加の化石をドロップ","화석을 추가로 떨어뜨림","Derruba Fósseis adicionais","Бросает дополнительные ископаемые","Arroja fósiles adicionales","ดรอป ฟอสซิล เพิ่มเติม","掉落額外化石",32278
