"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","[rid]","bool","[rid]","BinaryStats","[rid]","[rid]","bool","bool","bool","bool","bool","rid","[i32]","string","[rid]"
486,"scion_movement_speed","You have increased Movement Speed from an Ascendant","","","Inspirational",[177],1,3,"","","",1,28,479,1,1,1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[177],[],"","","","","","",[],"",[]
487,"siphon_damage","You are taking Chaos Damage Over Time","","","Essence Drain",[453],1,8,"","","",1,28,483,1,"",2,"",1,1,"",0,"","SiphonDebuff","","","","",4,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[],"",[]
488,"contagion","You are taking Chaos Damage Over Time","","","Contagion",[453],1,8,"","","",1,28,480,1,"",2,"",1,1,"",0,"","ContagionDebuff","","","","",4,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[],"",[]
489,"hinder","Your Movement Speed is reduced","","","Hinder","[177,4484]",1,3,"","","",1,28,485,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[177,4484]",[],"","","","","","",[],"",[]
490,"withered","You are taking increased Chaos Damage","","","Withered","[3421,15443]",1,1,1,"","",1,28,487,1,1,2,"",1,1,"",15,"","","","","","",2,"","",0,[],"","",[],"",[],[],"[3421,15443]",[],"","","","","","",[],"",[]
491,"siphon_leech","You are regenerating life from Essence Drain","","","Essence Drain Regeneration",[125],1,1,1,"","",1,28,483,1,1,17,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],[125],[],"","","","","","",[],"",[]
492,"warcry_damage_added_as_mana","A percentage of the Damage you take is added as Mana",1,"","Warcry Damage to Mana",[1073],1,3,"","","",1,28,0,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1073],[],"","","","","","",[],"",[]
493,"offering_of_judgement_fire","You are taking Burning Damage","","","Offering Of Judgement",[1975],1,3,"","","",1,28,484,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1975],[],"","","","","","",[],"",[]
494,"offering_of_judgement_chaos","You are taking Chaos Damage Over Time","","","Offering Of Judgement",[453],1,3,"","","",1,28,489,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[],"",[]
495,"offering_of_judgement_counter","",1,"","",[],1,1,"","",3472,1,28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
496,"her_blessing","You have Her Blessing, taking 33% of your Life and Energy Shield as Fire Damage per second.","","","Her Blessing","[3475,2529]",1,3,"","","",1,28,490,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3475,2529]",[],"","","","","","",[],"",[]
497,"maim","You have reduced Movement Speed from being Maimed","","","Maimed",[177],1,3,"","","","",28,518,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[4592],[177],[],"","","","","","",[],"",[]
498,"lightning_flask","You and nearby enemies are Shocked and your Lightning Damage is Leeched as Life.","","","Vessel of Vinktar","[3106,3107,1237,3512]",1,3,"","","",1,28,496,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3106,3107,1237,3512]",[],"","","","","","",[],"",[]
499,"lightning_flask_attack_damage","You deal additional Lightning Damage with Attacks.","","","Vessel of Vinktar","[59,60]",1,3,"","","",1,28,491,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[59,60]",[],"","","","","","",[],"",[]
500,"lightning_flask_spell_damage","You deal additional Lightning Damage with Spells.","","","Vessel of Vinktar","[1591,1592]",1,3,"","","",1,28,491,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[1591,1592]",[],"","","","","","",[],"",[]
501,"lightning_flask_physical_to_lightning","A portion of your Physical Damage is converted to Lightning Damage.","","","Vessel of Vinktar",[484],1,3,"","","",1,28,491,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[484],[],"","","","","","",[],"",[]
502,"lightning_flask_lightning_penetration","Your damage penetrates enemy Lightning Resistance.","","","Vessel of Vinktar",[595],1,3,"","","",1,28,491,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[595],[],"","","","","","",[],"",[]
503,"lightning_flask_shock_proliferation","Your Shocks have increased effect and also affect other nearby enemies.","","","Vessel of Vinktar","[13876,3559]",1,3,"","","",1,28,491,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[13876,3559]",[],"","","","","","",[],"",[]
504,"shock_aura","You take increased damage while standing in the shocking aura","","","Shocking Aura",[16496],1,3,"","","","",2,5,"","",2,"",1,1,"",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[16496],[14544],"","",1,1,"","",[],"",[]
505,"trap_pinned","",1,"","Spike Pinned",[354],1,3,"","","",1,28,0,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[354],[],"","","","","","",[],"",[]
506,"enchantment_physical_to_fire","",1,"","",[447],"",3,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[447],[],"","","","","","",[],"",[]
507,"enchantment_physical_to_cold","",1,"","",[448],"",3,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[448],[],"","","","","","",[],"",[]
508,"enchantment_physical_to_lightning","",1,"","",[449],"",3,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[449],[],"","","","","","",[],"",[]
509,"enchantment_added_chaos_damage","",1,"","","[64,65]","",3,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[64,65]",[],"","","","","","",[],"",[]
510,"stacking_increased_spell_damage","",1,"","",[25],1,1,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[25],[],"","","","","","",[],"",[]
511,"templar_ascendency_movement_speed","",1,"","Ascendancy Effect (Invisible)",[177],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[177],[],"","","","","","",[],"",[]
512,"guardian_warcry","",1,"","Ascendancy Effect (Invisible)","[177,1903]",1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[177,1903]",[],"","","","","","",[],"",[]
513,"avoid_stun_staff_aura","You are being granted Stun Avoidance by a Guardian",1,"","Staff Mastery",[6076],1,3,"","","",1,28,511,"","",1,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[6076],[],"","","","","","",[],"",[]
514,"labyrinth_lava_aura","ES normal/cruel/merciless, Life normal/cruel/merciless",1,"","Lava","[4621,4623,4625,4620,4622,4624,4847]","",3,"","","","",28,492,"","",11,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[4621,4623,4625,4620,4622,4624,4847]",[],"","","","","","",[],"",[]
515,"roomba_damage","",1,"","Death Rhoomba","[2562,3055]",1,1,"","","","",28,494,"","",11,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[2562,3055]",[],"","","","","","",[],"",[]
516,"flying_roomba_damage","",1,"","Flying Death Rhoomba","[2562,3055]",1,1,"","","","",28,495,"","",11,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[2562,3055]",[],"","","","","","",[],"",[]
517,"offering_of_judgement_ground","",1,"","",[],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
518,"curse_damage_taken","",1,"","",[477],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[477],[],"","","","","","",[],"",[]
519,"increased_crit_chance","",1,"","",[554],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[554],[],"","","","","","",[],"",[]
520,"increased_minion_damage","",1,"","",[488],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[488],[],"","","","","","",[],"",[]
521,"increased_damage","",1,"","",[24],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[24],[],"","","","","","",[],"",[]
522,"damage_taken","",1,"","",[477],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[477],[],"","","","","","",[],"",[]
523,"avoid_stun","",1,"","Ascendancy Effect",[6076],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[6076],[],"","","","","","",[],"",[]
524,"spinning_blade_damage","",1,"","Spinning Blades","[2562,3055]",1,1,"","","","",28,499,"","",11,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[2562,3055]",[],"","","","","","",[],"",[]
525,"stacking_movement_speed_buff","",1,"","",[],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"ActionRecentlyCounterBuff","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
526,"nightwane_effects","",1,"","",[],1,2,"","","","",28,500,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
527,"increased_elemental_damage_taken","",1,"","","[2038,3624,3625]",1,2,"","","","",28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[2038,3624,3625]",[],"","","","","","",[],"",[]
528,"mana_and_es_regeneration","",1,"","","[129,1409]",1,3,"","","","",28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[129,1409]",[],"","","","","","",[],"",[]
529,"vinktar_boss_buff","","","","",[],"",3,"","","","",28,491,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
530,"grant_es_to_nearby_allies","You are being granted Energy Shield by a Guardian","","","Radiant Faith",[133],"",3,"","","","",28,506,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[133],[],"","","","","","",[],"",[]
531,"grant_armour_to_nearby_allies","You are being granted Armour by a Guardian","","","Radiant Faith",[116],"",3,"","","","",28,506,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[116],[],"","","","","","",[],"",[]
532,"singularity_aura","You're in the grip of a Singularity","","","Singularity","[177,3661]","",3,"","","","",28,503,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[177,3661]",[],"","","","","","",[],"",[]
533,"power_symbol_aura","",1,"","",[3664],"",3,"","","","",28,0,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[3664],[],"","","","","","",[],"",[]
534,"gargoyle_statue_buff","",1,"","","[978,701,3189]","",3,"","","","",28,0,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[978,701,3189]",[],"","","","","","",[],"",[]
535,"izaro_fire_buff_phase1","Additional Fire damage",1,"","","[447,2038]",1,3,"","","","",28,527,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[447,2038]",[],"","","","","","",[],"",[]
536,"izaro_fire_buff","Additional Fire damage",1,"","","[447,2038,10,11]",1,3,"","","","",28,527,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[447,2038,10,11]",[],"","","","","","",[],"",[]
537,"izaro_cold_buff_phase1","Additional Cold damage",1,"","","[448,3624]",1,3,"","","","",28,528,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[448,3624]",[],"","","","","","",[],"",[]
538,"izaro_cold_buff","Additional Cold damage",1,"","","[448,3624,10,11]",1,3,"","","","",28,528,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[448,3624,10,11]",[],"","","","","","",[],"",[]
539,"izaro_lightning_buff_phase1","Additional Lightning damage",1,"","","[449,3625]",1,3,"","","","",28,529,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[449,3625]",[],"","","","","","",[],"",[]
540,"izaro_lightning_buff","Additional Lightning damage",1,"","","[449,3625,10,11]",1,3,"","","","",28,529,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[449,3625,10,11]",[],"","","","","","",[],"",[]
541,"izaro_physical_buff_phase1","Increased Physical damage",1,"","","[26,545]",1,3,"","","","",28,536,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[26,545]",[],"","","","","","",[],"",[]
542,"izaro_physical_buff","Increased Physical damage",1,"","","[26,545,10,11]",1,3,"","","","",28,536,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[26,545,10,11]",[],"","","","","","",[],"",[]
543,"izaro_ignite_buff_phase1","Additional Fire damage and increased chance to Ignite",1,"","","[611,2038,447]",1,3,"","","","",28,527,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[611,2038,447]",[],"","","","","","",[],"",[]
544,"izaro_ignite_buff","Additional Fire damage and increased chance to Ignite",1,"","","[611,2038,447,10,11]",1,3,"","","","",28,527,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[611,2038,447,10,11]",[],"","","","","","",[],"",[]
545,"izaro_freeze_buff_phase1","Additional Cold damage and increased chance to Freeze",1,"","","[455,3624,448]",1,3,"","","","",28,528,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[455,3624,448]",[],"","","","","","",[],"",[]
546,"izaro_freeze_buff","Additional Cold damage and increased chance to Freeze",1,"","","[455,3624,448,10,11]",1,3,"","","","",28,528,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[455,3624,448,10,11]",[],"","","","","","",[],"",[]
547,"izaro_shock_buff_phase1","Additional Lightning damage and increased chance to Shock",1,"","","[659,3625,449]",1,3,"","","","",28,529,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[659,3625,449]",[],"","","","","","",[],"",[]
548,"izaro_shock_buff","Additional Lightning damage and increased chance to Shock",1,"","","[659,3625,449,10,11]",1,3,"","","","",28,529,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[659,3625,449,10,11]",[],"","","","","","",[],"",[]
549,"izaro_bleed_buff_phase1","Extra Damage and Bleeding",1,"","","[3626,545]",1,3,"","","","",28,536,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3626,545]",[],"","","","","","",[],"",[]
550,"izaro_bleed_buff","Extra Damage and Bleeding",1,"","","[3626,545]",1,3,"","","","",28,536,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3626,545]",[],"","","","","","",[],"",[]
551,"vinktar_lightning_bond","You are bonded",1,"","VinktarLightningBond","[3674,3675]",1,1,"","","",1,28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3674,3675]",[],"","","","","","",[],"",[]
552,"killed_rare_monsters_drop_uniques","",1,"","","[3679,5700]",1,2,"","","","",28,0,1,"",17,"","","","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3679,5700]",[],"","","","","","",[],"",[]
553,"savage_hit_life_leech","Additional Life Leech, Damage, and Attack Speed",1,"","",[105],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[105],[],"","","","","","",[],"",[]
554,"savage_hit_damage","",1,"","",[24],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[24],[],"","","","","","",[],"",[]
555,"savage_hit_attack_cast_speed","",1,"","",[1903],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1903],[],"","","","","","",[],"",[]
556,"savage_hit_attack_speed","",1,"","",[70],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[70],[],"","","","","","",[],"",[]
557,"melee_physical_damage","Additional Melee Physical Damage from a Guardian's strength",1,"","Tenacious Vigor",[490],1,3,"","","",1,28,509,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[490],[],"","","","","","",[],"",[]
558,"grasping_ornaments_slow_aura","Your attack speed, cast speed and movement speed are reduced from standing in Grasping Ornaments.","","","Grasping Ornaments","[70,216,177]",1,3,"","","",1,28,504,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[70,216,177]",[],"","","","","","",[],"",[]
559,"grasping_tentacles_slow_aura","Your attack speed, cast speed and movement speed are reduced from standing in Grasping Tentacles.","","","Grasping Tentacles","[70,216,177]",1,3,"","","",1,28,505,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[70,216,177]",[],"","","","","","",[],"",[]
560,"grasping_pincers_slow_aura","Your attack speed, cast speed and movement speed are reduced from standing in Grasping Pincers.","","","Grasping Pincers","[70,216,177]",1,3,"","","",1,28,505,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[70,216,177]",[],"","","","","","",[],"",[]
561,"labyrinth_boss_grace","",1,"","","[140,398,1303,860]","",3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[140,398,1303,860]",[],"","","","","","",[],"",[]
562,"izaro_summon_lieutenant_delay","",1,"","",[],"",3,"","","","",28,0,1,"",17,"","","","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
563,"shield_defence_aura","You are being granted the defences of an allied Guardian's shield",1,"","Shield Mastery","[119,116,133]","",3,"","","","",28,509,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[119,116,133]",[],"","","","","","",[],"",[]
564,"labyrinth_trap_bleed","",1,"","LabyrinthTrapDebuff","[2562,3055]",1,1,"","","","",28,494,"","",11,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[2562,3055]",[],"","","","","","",[],"",[]
565,"mine_detonation","",1,"","","[24,1838]",1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[24,1838]",[],"","","","","","",[],"",[]
566,"augry_of_penitence","You take increased Elemental Damage and deal less Elemental Damage.","","","Augury of Penitence","[3489,3818]",1,3,"","","",1,28,508,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3489,3818]",[],"","","","","","",[],"",[]
567,"scion_augry_of_penitence","You take increased Elemental Damage","","","Augury of Penitence",[3489],1,3,"","","",1,28,508,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[3489],[],"","","","","","",[],"",[]
568,"labyrinth_power_symbol_shield","",1,"","WIP",[477],"",3,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[477],[],"","","","","","",[],"",[]
569,"awaken_gargoyle","",1,"","WIP",[477],1,3,"","","","",28,561,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[477],[],"","","","","","",[],"",[]
570,"spell_damage_increase","",1,"","",[25],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[25],[],"","","","","","",[],"",[]
571,"attack_damage_increase","",1,"","",[2603],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[2603],[],"","","","","","",[],"",[]
572,"attack_speed_increase","",1,"","",[70],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[70],[],"","","","","","",[],"",[]
573,"cast_speed_increase","",1,"","",[216],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[216],[],"","","","","","",[],"",[]
574,"life_es_and_mana_recovery","",1,"","","[2805,2806,2807]",1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[2805,2806,2807]",[],"","","","","","",[],"",[]
575,"rock_golem_buff","Your Stone Golem is granting you additional Life Regeneration","","","Stone Golem",[125],1,3,"","","",1,28,549,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[125],[],"","","","","","",[],"",[]
576,"talisman_totem_effects","",1,"","",[],1,2,"","","","",28,516,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
577,"spike_trap_immunity","",1,"","",[3731],1,2,"","","",1,28,0,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[3731],[],"","","","","","",[],"",[]
578,"labyrinth_arrow_slow","",1,"","",[3829],1,2,"","","","",28,553,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[3829],[],"","","","","","",[],"",[]
579,"shrink","You have been shrunk! You're more vulnerable to damage, and deal less damage.","","","Shrink","[24,477,1926,177]",1,1,1,"","",1,28,551,1,1,2,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],"[24,477,1926,177]",[],"","","","","","",[],"",[]
580,"lightning_eye_effects","",1,"","",[],1,2,"","","","",28,519,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
581,"talisman_degen","You are taking Physical Damage over time from the Bone Roil","","","Bone Roil",[3838],1,4,1,3836,3837,1,28,520,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[3838],[],"","","","","","",[],"",[]
582,"blade_vortex_counter","You have blades in a Blade Vortex around you","","","Blade Vortex",[],"",4,1,"","","",28,521,1,1,6,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
583,"soul_eater_from_stat_parent","mechanical buff for handling soul eater shile using flask",1,"","",[],1,1,"","","","",28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
584,"LocustSwarmStackingDegenAuraFire","You are taking Fire Damage from a Fire Swarm","","","Fire Swarm",[2529],1,1,1,"","","",28,522,1,1,2,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],[2529],[],"","","","","","",[],"",[]
585,"LocustSwarmStackingDegenAuraCold","You are taking Cold Damage from a Cold Swarm","","","Cold Swarm",[3862],1,1,1,"","","",28,523,1,1,2,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],[3862],[],"","","","","","",[],"",[]
586,"LocustSwarmStackingDegenAuraLightning","You are taking Lightning Damage from a Lightning Swarm","","","Lightning Swarm",[3863],1,1,1,"","","",28,524,1,1,2,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],[3863],[],"","","","","","",[],"",[]
587,"rigwald_channeling","",1,"","Rigwald Wolf Barrage",[477],1,3,"","","",1,28,0,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[477],[],"","","","","","",[],"",[]
588,"blade_vortex","",1,"","",[3890],"",3,"","","","",28,0,1,"",6,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[3890],[],"","","","","","",[],"",[]
589,"elemental_overload","You are dealing more Elemental Damage",1,"","Elemental Overload",[4931],"",1,"","","",1,28,562,1,"",17,"",1,1,"",0,1,"","","","","",1,"","",0,[],"","",[],"",[],[12957],[4931],[],"","","","","","",[],"",[]
590,"frost_nova_counter","You are dealing increased Cold Damage","","","Frost Nova",[3918],1,4,1,3915,3916,1,28,465,1,1,6,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[3918],[],"","","","","","",[],"",[]
591,"izaro_pylon_temporal_chains_on_hit","Temporal Chains on Hit",1,"","","[10,11,1942,1941,1934,1935]",1,3,"","","","",28,0,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[10,11,1942,1941,1934,1935]",[],"","","","","","",[],"",[]
592,"izaro_pylon_elemental_weakness_on_hit","Elemental Weakness on Hit",1,"","","[10,11,1942,1941,1934,1935]",1,3,"","","","",28,0,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[10,11,1942,1941,1934,1935]",[],"","","","","","",[],"",[]
593,"izaro_pylon_vulnerability_on_hit","Vulnerability on Hit",1,"","","[10,11,1942,1941,1934,1935]",1,3,"","","","",28,0,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[10,11,1942,1941,1934,1935]",[],"","","","","","",[],"",[]
594,"heirophant_attack_and_spell_damage","You have Increased Damage","","","Pursuit of Faith",[24],1,1,1,"","",1,28,567,1,1,17,"",1,1,"",0,1,"","","","","",2,"","",0,[],"","",[],"",[],[],[24],[],"","","","","","",[],"",[]
595,"heirophant_additional_totems","",1,"","",[953],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[953],[],"","","","","","",[],"",[]
596,"petrified","You are Petrified","","","Petrified","[3920,4931]",1,3,"","","",1,28,525,1,"",2,"",1,1,"",0,"","Petrify","","","","",4,"","",0,[],"","",[],"",[],[],"[3920,4931]",[],"","","","","","",[],"",[]
597,"flask_petrification","You are Petrified","","","Replica Rumi's Concoction","[3920,1034]",1,3,"","","",1,28,525,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3920,1034]",[],"","","","","","",[],"",[]
598,"blight","You are taking Chaos Damage Over Time","","","Blight",[453],1,1,"","","",1,28,532,1,"",2,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[],"",[]
599,"poison_immunity","All Poison has been removed from you, and you cannot be Poisoned.","","","Poison Immunity",[],1,3,"","","",1,28,283,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[3946],[],[],"","","","","","",[],"",[]
600,"flask_bonus_physical_damage_reduction_percent","","","","WIP",[1034],1,3,"","","",1,28,480,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1034],[],"","","","","","",[],"",[]
601,"life_regen_from_spread_poison","","","","Life Regeneration",[125],1,3,"","","",1,28,275,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[125],[],"","","","","","",[],"",[]
