"rownum","Id","bool","IsLocal","IsWeaponLocal","Semantics","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool","IsVirtual","MainHandAlias_StatsKey","OffHandAlias_StatsKey","bool","HASH32","BelongsActiveSkillsKey","Category","bool","bool","IsScalable","ContextFlags","[rid]"
2711,"support_concentrated_effect_skill_area_of_effect_+%_final","","","",1,"","","","","","","","","","","","","","",1,1718750967,[],"","","",1,[],[]
2712,"elemental_damage_+%_per_frenzy_charge","","","",3,"","","","","","","","","","","","","","",1,-228677255,[],"","","",1,[],[]
2713,"chaos_damage_poisons",1,"","",4,"","","","","","","","","","","","","","","",-1493848621,[],"","","","",[],[]
2714,"mine_extra_uses",1,"","",3,"","","","","","","","","","","","","","",1,-310714478,[],"","","",1,[],[]
2715,"from_code_active_skill_damage_+%_final","","","",1,"","","","","","","","","","","","","","","",439451788,[],"",1,"",1,[],[]
2716,"newshocknova_first_ring_damage_+%_final",1,"","",1,"","","","","","","","","","",1,"","","",1,-569061866,[],"",1,"",1,[],[]
2717,"ice_crash_second_hit_damage_+%_final",1,"","",1,"","","","","","","","","","","","","","",1,-1867953211,[],"",1,"",1,[],[]
2718,"killed_monster_dropped_item_rarity_+%_when_frozen","","","",1,"","","","","","","","","","","","","","","",-1370758410,[],"","","",1,[],[]
2719,"local_six_linked_sockets","",1,"",4,"","","","","","","","","","","","","","","",-1250620244,[],"","","","",[],[]
2720,"local_display_socketed_gems_get_generosity_level","",1,"",3,"","","","","","","","","","","","","","","",846915347,[],"","","","",[],[]
2721,"local_display_socketed_gems_get_remote_mine_level","",1,"",3,"","","","","","","","","","","","","","","",-2142828091,[],"","","","",[],[]
2722,"shapers_seed_unique_aura_life_regeneration_rate_per_minute_%",1,"","",3,"","","","","","","","","","","","","","","",-1681405259,[],"","","","",[],[]
2723,"shapers_seed_unique_aura_mana_regeneration_rate_+%",1,"","",3,"","","","","","","","","","","","","","","",1875266540,[],"","","","",[],[]
2724,"unique_insanity_do_weird_things",1,"","",3,"","","","","","","","","","","","","","",1,-1389800295,[],"","","",1,[],[]
2725,"base_elemental_damage_heals","","","",4,"","","","","","","","","","","","","","",1,-1283161252,[],"","","","",[],[]
2726,"base_fire_damage_heals","","","",4,"","","","","","","","","","","","","","","",-1763913381,[],"","","","",[],[]
2727,"base_cold_damage_heals","","","",4,"","","","","","","","","","","","","","","",-1781867598,[],"","","","",[],[]
2728,"base_lightning_damage_heals","","","",4,"","","","","","","","","","","","","","","",1420534240,[],"","","","",[],[]
2729,"fire_damage_heals",1,"","",4,"","","","","","","","","","",1,1,"","",1,1094040779,[],"","","","",[0],[]
2730,"cold_damage_heals",1,"","",4,"","","","","","","","","","",1,1,"","",1,-1619028062,[],"","","","",[0],[]
2731,"lightning_damage_heals",1,"","",4,"","","","","","","","","","",1,1,"","",1,1069733509,[],"","","","",[0],[]
2732,"chance_to_gain_power_charge_on_melee_stun_%","","","",1,"","","","","","","","","","","","","","","",-1802127697,[],18,"","",1,[],[]
2733,"gain_unholy_might_for_2_seconds_on_melee_crit","","","",3,"","","","","","","","","","","","","","","",-1987263935,[],"","","",1,[],[]
2734,"unique_mine_damage_+%_final","","","",1,"","","","","","","","","","","","","","","",-1034034893,[],"","","",1,[],[]
2735,"abyssal_cry_%_max_life_as_chaos_on_death",1,"","",1,"","","","","","","","","","",1,"","","",1,-60285470,[],"","","",1,[],[]
2736,"ignites_reflected_to_self",1,"","",4,"","","","","","","","","","","","","","","",-974439983,[],"","","","",[],[]
2737,"avoid_freeze_chill_ignite_%_while_have_onslaught","","","",1,"","","","","","","","","","","","","","","",-1943722865,[],"","","",1,[],[]
2738,"sword_physical_damage_%_to_add_as_fire","","","",1,"","","","","","","","","","","","","","","",-762478852,[],"","","",1,[],[]
2739,"gain_onslaught_when_ignited_ms",1,"","",3,"","","","","","","","","","","","","","","",1268850332,[],"","","",1,[],[]
2740,"blind_nearby_enemies_when_ignited_%",1,"","",1,"","","","","","","","","","","","","","","",-1279457742,[],"","","",1,[],[]
2741,"map_has_weather",1,"","",4,"","","","","","","","","","","","","","","",1340476463,[],"","","","",[],[]
2742,"malachai_elemental_cone_spell_minimum_damage",1,"","",3,"","","","","","","","","","","","","","","",44785248,[],"","","",1,[],[]
2743,"malachai_elemental_cone_spell_maximum_damage",1,"","",3,"","","","","","","","","","","","","","","",1213468220,[],"","","",1,[],[]
2744,"local_display_socketed_gems_supported_by_pierce_level","",1,"",3,"","","","","","","","","","","","","","","",1044828117,[],"","","","",[],[]
2745,"map_non_unique_equipment_drops_as_sell_price",1,"","",4,"","","","","","","","","","","","","","","",-1852804668,[],"","","","",[],[]
2746,"local_flask_use_causes_monster_flee_chance_%","",1,"",1,"","","","","","","","","","","","","","","",-984197745,[],"","","",1,[],[]
2747,"local_unique_lions_roar_melee_physical_damage_+%_final_during_flask_effect","",1,"",1,"","","","","","","","","","","","","","","",747576881,[],"","","",1,[],[]
2748,"unique_lions_roar_melee_physical_damage_+%_final","","","",1,"","","","","","","","","","","","","","","",14005706,[],"","","",1,[],[]
2749,"local_flask_adds_knockback_during_flask_effect","",1,"",4,"","","","","","","","","","","","","","","",2124293797,[],"","","","",[],[]
2750,"map_items_drop_corrupted",1,"","",4,"","","","","","","","","","","","","","","",-363197407,[],"","","","",[],[]
2751,"chest_number_of_additional_spider_uniques_to_drop",1,"","",3,"","","","","","","","","","","","","","","",830543730,[],"","","",1,[],[]
2752,"virtual_mana_gain_per_target",1,"","",3,"Mana Gained On Hit","Gain de Mana au toucher","Manaerhalt bei Treffer","ヒット時マナ獲得","명중 시 마나 획득","Mana Obtida ao Acertar","Мана за удар","Maná Ganado con Cada Golpe","ได้รับมานา เมื่อถูกปะทะ","擊中時獲得魔力","",1,"","",1,1097554689,[],"","","",1,[18],[]
2753,"life_and_mana_gain_per_hit","","","",3,"","","","","","","","","","","","","","","",-955276215,[],"","","",1,[],[]
2754,"life_and_mana_leech_from_physical_damage_permyriad","","","",1,"","","","","","","","","","","","","","","",770840999,[],"","","",1,[],[]
2755,"cannot_inflict_status_ailments",1,"","",4,"","","","","","","","","","","","","","",1,-46545790,[],"","","","",[],[]
2756,"map_weapons_drop_animated",1,"","",4,"","","","","","","","","","","","","","","",-230043421,[],"","","","",[],[]
2757,"attacks_bleed_on_stun",1,"","",4,"","","","","","","","","","","","","","","",1804427673,[],"","","","",[],[]
2758,"chance_to_fortify_on_melee_hit_+%",1,"","",1,"","","","","","","","","","",1,"","","",1,1578965869,[],18,"","",1,[],[]
2759,"taunt_target_id","","","",3,"","","","","","","","","","","","","","","",924061622,[],"","","",1,[],[]
2760,"spell_minimum_base_cold_damage_+_per_10_intelligence","","","",3,"","","","","","","","","","","","","","",1,244829771,[],"",1,"",1,[],[]
2761,"spell_maximum_base_cold_damage_+_per_10_intelligence","","","",3,"","","","","","","","","","","","","","",1,1898616879,[],"",1,"",1,[],[]
2762,"skill_effect_duration_+%_per_10_strength","","","",1,"","","","","","","","","","","","","","","",1646258575,[],"","","",1,[],[]
2763,"virtual_skill_effect_duration_+%","","","",1,"","","","","","","","","","",1,1,"","",1,-874513116,[],"","","",1,[34],[]
2764,"skill_is_fire_skill","","","",4,"","","","","","","","","","","","","","","",-1800474013,[],"",1,"","",[],[]
2765,"skill_is_cold_skill","","","",4,"","","","","","","","","","","","","","","",1255021066,[],"",1,"","",[],[]
2766,"skill_is_lightning_skill","","","",4,"","","","","","","","","","","","","","","",1572653627,[],"",1,"","",[],[]
2767,"ground_slam_cone_angle_override",1,"","",3,"","","","","","","","","","",1,"","","",1,1301652657,[],"","","",1,[],[]
2768,"virtual_minion_movement_velocity_+%",1,"","",1,"","","","","","","","","","","",1,"","","",-1205380357,[],"","","",1,[33],[]
2769,"map_disable_torment_spirits","","","",4,"","","","","","","","","","","","","","","",-941452945,[],"","","","",[],[]
2770,"map_spawn_extra_torment_spirits","","","",3,"","","","","","","","","","","","","","","",-527831245,[],"","","",1,[],[]
2771,"use_goddess_player_audio",1,"","",4,"","","","","","","","","","","","","","",1,45890774,[],"","","","",[],[]
2772,"local_display_grants_skill_gluttony_of_elements_level","",1,"",4,"","","","","","","","","","","","","","","",-221706236,[],"","","","",[],[]
2773,"local_display_socketed_gems_get_pierce_level","",1,"",3,"","","","","","","","","","","","","","","",-1781663565,[],"","","","",[],[]
2774,"damage_with_fire_skills_+%","","","",1,"","","","","","","","","","","","","","","",-1246742137,[],"","","",1,[],[]
2775,"damage_with_cold_skills_+%","","","",1,"","","","","","","","","","","","","","","",-1981099777,[],"","","",1,[],[]
2776,"damage_with_lightning_skills_+%","","","",1,"","","","","","","","","","","","","","","",1362246888,[],"","","",1,[],[]
2777,"cast_speed_for_fire_skills_+%","","","",1,"","","","","","","","","","","","","","","",-1830818492,[],3,"","",1,[],[]
2778,"cast_speed_for_cold_skills_+%","","","",1,"","","","","","","","","","","","","","","",1970827817,[],3,"","",1,[],[]
2779,"cast_speed_for_lightning_skills_+%","","","",1,"","","","","","","","","","","","","","","",30395791,[],3,"","",1,[],[]
2780,"movement_velocity_+%_while_phasing",1,"","",1,"","","","","","","","","","","","","","","",1747780042,[],18,"","",1,[],[]
2781,"phase_on_vaal_skill_use_duration_ms","","","",3,"","","","","","","","","","","","","","","",-385149781,[],"","","",1,[],[]
2782,"monster_inherent_damage_taken_+%_final","","","",1,"","","","","","","","","","","","","","","",1491046118,[],"","","",1,[],[]
2783,"taunt_duration_+%",1,"","",1,"","","","","","","","","","","","","","","",-931973649,[],"","","",1,[],[]
2784,"cyclone_ice_path_radius",1,"","",3,"","","","","","","","","","",1,"","","",1,1039638608,[],"","","",1,[],[]
2785,"unarmed_melee_physical_damage_+%",1,"","",1,"","","","","","","","","","","","","","","",-692464578,[],"","","",1,[],[]
2786,"unarmed_melee_attack_speed_+%",1,"","",1,"","","","","","","","","","","","","","","",-1054263053,[],"","","",1,[],[]
2787,"cast_speed_+%_while_holding_shield",1,"","",1,"","","","","","","","","","","","","","","",-971459952,[],3,"","",1,[],[]
2788,"cast_speed_+%_while_holding_staff",1,"","",1,"","","","","","","","","","","","","","","",-43869148,[],3,"","",1,[],[]
2789,"virtual_energy_shield_gain_per_target","","","",3,"","","","","","","","","","","",1,"","",1,-822435844,[],"","","",1,[18],[]
2790,"energy_shield_gain_per_target",1,"","",3,"","","","","","","","","","","","","","","",-489656518,[],"","","",1,[],[]
2791,"axe_critical_strike_chance_+%","","","",1,"","","","","","","","","","","","","","","",-1507605795,[],4,"","",1,[],[]
2792,"claw_critical_strike_multiplier_+","","","",3,"","","","","","","","","","","","","","","",-334668812,[],4,"","",1,[],[]
2793,"staff_critical_strike_multiplier_+","","","",3,"","","","","","","","","","","","","","","",-1150446301,[],4,"","",1,[],[]
2794,"local_jewel_effect_base_radius",1,1,"",3,"","","","","","","","","","","","","","","",-349201562,[],"","","",1,[],[]
2795,"local_jewel_nearby_passives_str_to_dex",1,1,"",4,"","","","","","","","","","","","","","","",-260545854,[],"","","","",[],[]
2796,"local_jewel_nearby_passives_dex_to_str",1,1,"",4,"","","","","","","","","","","","","","","",1192632305,[],"","","","",[],[]
2797,"local_jewel_nearby_passives_str_to_int",1,1,"",4,"","","","","","","","","","","","","","","",211934883,[],"","","","",[],[]
2798,"local_jewel_nearby_passives_int_to_str",1,1,"",4,"","","","","","","","","","","","","","","",-417946213,[],"","","","",[],[]
2799,"local_jewel_nearby_passives_dex_to_int",1,1,"",4,"","","","","","","","","","","","","","","",831184841,[],"","","","",[],[]
2800,"local_jewel_nearby_passives_int_to_dex",1,1,"",4,"","","","","","","","","","","","","","","",1305244873,[],"","","","",[],[]
2801,"critical_strike_chance_while_wielding_shield_+%",1,"","",1,"","","","","","","","","","","","","","","",-881156493,[],"","","",1,[],[]
2802,"trap_critical_strike_chance_+%",1,"","",1,"","","","","","","","","","","","","","","",757832133,[],14,"","",1,[],[]
2803,"mine_critical_strike_chance_+%",1,"","",1,"","","","","","","","","","","","","","","",-1643540174,[],15,"","",1,[],[]
2804,"projectiles_can_shotgun",1,"","",4,"","","","","","","","","","",1,"","","",1,-23357026,[],"","","","",[],[]
2805,"life_recovery_rate_+%","","","",1,"","","","","","","","","","","","","","","",-2126353774,[],"","","",1,[],[]
2806,"mana_recovery_rate_+%","","","",1,"","","","","","","","","","","","","","","",69363055,[],"","","",1,[],[]
2807,"energy_shield_recovery_rate_+%","","","",1,"","","","","","","","","","","","","","","",679395683,[],"","","",1,[],[]
2808,"spell_chance_to_shock_frozen_enemies_%","",1,"",1,"","","","","","","","","","","","","","","",1253333719,[],"","","",1,[],[]
2809,"cannot_be_taunted",1,"","",4,"","","","","","","","","","","","","","","",30195753,[],"","","","",[],[]
2810,"cannot_be_taunted_when_taunted_ms",1,"","",3,"","","","","","","","","","","","","","","",1337784530,[],"","","",1,[],[]
2811,"attacks_do_not_cost_mana","","","",4,"","","","","","","","","","","","","","",1,328188166,[],"","","","",[],[]
2812,"cannot_leech_or_regenerate_mana","","","",4,"","","","","","","","","","","","","","",1,421422644,[],"","","","",[],[]
2813,"virtual_global_cannot_crit","","","",4,"","","","","","","","","","","",1,"","","",1528050294,[],"","","","","[2,3,4]",[]
2814,"virtual_global_attacks_always_hit","","","",4,"","","","","","","","","","","",1,"","","",-1739677400,[],"","","","",[2],[]
2815,"resolute_technique","","","",4,"","","","","","","","","","","","","","","",-1786352341,[],"","","","",[],[]
2816,"local_life_and_mana_leech_from_physical_damage_permyriad","",1,1,1,"","","","","","","","","","","","",2817,2818,"",-1862744020,[],"","","",1,[],[]
2817,"main_hand_local_life_and_mana_leech_from_physical_damage_permyriad","",1,"",1,"","","","","","","","","","","","","","","",364460426,[],"","","",1,[],[]
2818,"off_hand_local_life_and_mana_leech_from_physical_damage_permyriad","",1,"",1,"","","","","","","","","","","","","","","",1873042483,[],"","","",1,[],[]
2819,"local_flask_use_causes_area_knockback","",1,"",4,"","","","","","","","","","","","","","","",-1392933754,[],"","","","",[],[]
2820,"skill_is_chaos_skill","","","",4,"","","","","","","","","","","","","","","",-62324834,[],"",1,"","",[],[]
2821,"critical_strike_multiplier_is_100","","","",4,"","","","","","","","","","","","","","","",50901512,[],"","","","",[],[]
2822,"can_inflict_multiple_ignites","","","",4,"","","","","","","","","","","","","","","",1176147697,[],"","","","",[],[]
2823,"ignite_duration_-%","","","",1,"","","","","","","","","","","","","","","",769672796,[],"","","",1,[],[]
2824,"passive_can_be_allocated_without_connection",1,"","",4,"","","","","","","","","","","","","","","",-1492676076,[],"","","","",[],[]
2825,"local_unique_jewel_nearby_disconnected_passives_can_be_allocated",1,1,"",4,"","","","","","","","","","","","","","","",-2004879347,[],"","","","",[],[]
2826,"local_chance_to_bleed_on_hit_%","",1,1,1,"Local Chance To Bleed On Hit %","% de Chances de Saignement locales au toucher","Lokal: Chance auf Bluten bei Treffer %","ローカル ヒット時出血確率 %","명중 시 특정 출혈 확률 %","% de Chance Local de Sangrar ao Acertar","Шанс наложить кровотечение при ударе этим оружием %","% de Probabilidad Local de Infligir Sangrado con cada Golpe","โอกาสสร้างสถานะ เลือดไหล เมื่อปะทะ ของไอเทม %","擊中造成機率流血 %","","",2827,2828,"",688657705,[],"","","",1,[],[]
2827,"main_hand_local_chance_to_bleed_on_hit_%","",1,"",1,"","","","","","","","","","","","","","","",-954470495,[],"","","",1,[],[]
2828,"off_hand_local_chance_to_bleed_on_hit_%","",1,"",1,"","","","","","","","","","","","","","","",208175971,[],"","","",1,[],[]
2829,"skill_total_pvp_damage_+%_final",1,"","",1,"","","","","","","","","","","","","","","",1397475827,[],"","","",1,[],[]
2830,"fire_critical_strike_chance_+%",1,"","",1,"","","","","","","","","","","","","","","",852659029,[],"","","",1,[],[]
2831,"lightning_critical_strike_chance_+%",1,"","",1,"","","","","","","","","","","","","","","",1030400930,[],4,"","",1,[],[]
2832,"cold_critical_strike_chance_+%",1,"","",1,"","","","","","","","","","","","","","","",-530737744,[],4,"","",1,[],[]
2833,"elemental_critical_strike_chance_+%",1,"","",1,"","","","","","","","","","","","","","","",-459592676,[],4,"","",1,[],[]
2834,"chaos_critical_strike_chance_+%",1,"","",1,"","","","","","","","","","","","","","","",91619106,[],"","","",1,[],[]
2835,"pvp_shield_damage_+%_final",1,"","",1,"","","","","","","","","","","","","","","",-1421200880,[],"","","",1,[],[]
2836,"skill_area_of_effect_when_unarmed_+%",1,"","",1,"","","","","","","","","","","","","","","",1385632280,[],"","","",1,[],[]
2837,"gain_X_random_rare_monster_mods_on_kill",1,"","",3,"","","","","","","","","","","","","","","",-184681640,[],"","","",1,[],[]
2838,"chance_to_gain_power_charge_on_stun_%","","","",1,"","","","","","","","","","","","","","","",-191954521,[],"","","",1,[],[]
2839,"gain_unholy_might_for_2_seconds_on_crit","","","",4,"","","","","","","","","","","","","","","",497770638,[],"","","","",[],[]
2840,"monster_life_+%_final_from_rarity",1,"","",1,"","","","","","","","","","","","","","","",-1229514776,[],"","","",1,[],[]
2841,"monster_life_+%_final_from_map",1,"","",1,"","","","","","","","","","","","","","","",1490891457,[],"","","",1,[],[]
2842,"melee_critical_strike_multiplier_+_while_wielding_shield","","","",3,"","","","","","","","","","","","","","","",878355348,[],"","","",1,[],[]
2843,"trap_critical_strike_multiplier_+","","","",3,"","","","","","","","","","","","","","","",1446777033,[],4,"","",1,[],[]
2844,"mine_critical_strike_multiplier_+","","","",3,"","","","","","","","","","","","","","","",-298819431,[],4,"","",1,[],[]
2845,"fire_critical_strike_multiplier_+","","","",3,"","","","","","","","","","","","","","","",-1427972241,[],4,"","",1,[],[]
2846,"lightning_critical_strike_multiplier_+","","","",3,"","","","","","","","","","","","","","","",-265067557,[],4,"","",1,[],[]
2847,"cold_critical_strike_multiplier_+","","","",3,"","","","","","","","","","","","","","","",1833739372,[],"","","",1,[],[]
2848,"elemental_critical_strike_multiplier_+","","","",3,"","","","","","","","","","","","","","","",947848355,[],"","","",1,[],[]
2849,"chaos_critical_strike_multiplier_+","","","",3,"","","","","","","","","","","","","","","",-1660976392,[],"","","",1,[],[]
2850,"cast_speed_for_chaos_skills_+%","","","",1,"","","","","","","","","","","","","","","",1992302080,[],3,"","",1,[],[]
2851,"spell_block_while_dual_wielding_%","","","",1,"","","","","","","","","","","","","","","",-1931233153,[],11,"","",1,[],[]
2852,"spell_block_with_staff_%","","","",1,"","","","","","","","","","","","","","","",-1499923851,[],11,"","",1,[],[]
2853,"recover_%_maximum_life_when_corpse_destroyed_or_consumed",1,"","",1,"","","","","","","","","","","","","","","",-2078502847,[],"","","",1,[],[]
2854,"local_unique_jewel_totem_life_+X%_per_10_str_in_radius",1,1,"",1,"","","","","","","","","","","","","","","",32418296,[],"","","",1,[],[]
2855,"local_unique_jewel_with_4_notables_gain_X_random_rare_monster_mods_on_kill",1,1,"",3,"","","","","","","","","","","","","","","",1172822906,[],"","","",1,[],[]
2856,"minimum_added_fire_damage_per_active_buff",1,"","",3,"","","","","","","","","","","","","","","",1379991275,[],"","","",1,[],[]
2857,"maximum_added_fire_damage_per_active_buff",1,"","",3,"","","","","","","","","","","","","","","",547826604,[],"","","",1,[],[]
2858,"recover_%_of_maximum_life_on_block",1,"","",1,"","","","","","","","","","","","","","","",1330744155,[],"","","",1,[],[]
2859,"minion_recover_%_of_maximum_life_on_block",1,"","",1,"","","","","","","","","","","","","","","",1592069008,[],12,"","",1,[],[]
2860,"totems_cannot_be_stunned",1,"","",4,"","","","","","","","","","","","","","","",1045588504,[],13,"","","",[],[]
2861,"is_leeching",1,"","",4,"","","","","","","","","","","",1,"","","",1449424580,[],"","","","",[0],[]
2862,"damage_+%_while_leeching",1,"","",1,"","","","","","","","","","","","","","","",1590030403,[],1,"","",1,[],[]
2863,"is_life_leeching",1,"","",4,"","","","","","","","","","",1,"","","",1,1452302642,[],"","","","",[],[]
2864,"is_mana_leeching",1,"","",4,"","","","","","","","","","",1,"","","",1,-1208977224,[],"","","","",[],[]
2865,"is_es_leeching",1,"","",4,"","","","","","","","","","",1,"","","",1,1565731802,[],"","","","",[],[]
2866,"movement_velocity_+%_while_ignited",1,"","",3,"","","","","","","","","","","","","","","",-684534303,[],"","","",1,[],[]
2867,"bow_damage_+%","","","",1,"","","","","","","","","","","","","","","",1777226425,[],1,"","",1,[],[]
2868,"display_bow_range_+","","","",3,"","","","","","","","","","","","","","","",-179976828,[],6,"","",1,[],[]
2869,"bleed_on_bow_attack_chance_%",1,"","",1,"","","","","","","","","","","","","","","",-603393054,[],2,"","",1,[],[]
2870,"bow_physical_damage_+%_while_holding_shield","","","",1,"","","","","","","","","","","","","","","",-1673492808,[],1,"","",1,[],[]
2871,"bow_steal_power_frenzy_endurance_charges_on_hit_%",1,"","",1,"","","","","","","","","","","","","","","",1720434841,[],16,"","",1,[],[]
2872,"life_leech_from_physical_damage_with_bow_permyriad","","","",1,"","","","","","","","","","","","","","","",2115240239,[],7,"","",1,[],[]
2873,"mana_leech_from_physical_damage_with_bow_permyriad","","","",1,"","","","","","","","","","","","","","","",66474813,[],8,"","",1,[],[]
2874,"poison_on_critical_strike_with_bow",1,"","",4,"","","","","","","","","","","","","","","",-408781643,[],2,"","","",[],[]
2875,"bow_elemental_damage_+%","","","",1,"","","","","","","","","","","","","","","",1080701776,[],1,"","",1,[],[]
2876,"with_bow_additional_block_%","","","",1,"","","","","","","","","","","","","","","",-1071569269,[],11,"","",1,[],[]
2877,"bow_enemy_block_-%",1,"","",1,"","","","","","","","","","","","","","","",2031595416,[],6,"","",1,[],[]
2878,"local_unique_jewel_melee_applies_to_bow",1,1,"",4,"","","","","","","","","","","","","","","",148331341,[],"","","","",[],[]
2879,"local_unique_jewel_chaos_damage_+%_per_10_int_in_radius",1,1,"",1,"","","","","","","","","","","","","","","",-1281938598,[],"","","",1,[],[]
2880,"local_unique_jewel_passives_in_radius_applied_to_minions_instead",1,1,"",4,"","","","","","","","","","","","","","","",697494347,[],"","","","",[],[]
2881,"life_gained_on_hit_per_enemy_status_ailment",1,"","",3,"","","","","","","","","","","","","","","",-1466299307,[],"","","",1,[],[]
2882,"life_gained_on_spell_hit_per_enemy_status_ailment",1,"","",3,"","","","","","","","","","","","","","","",929847345,[],"","","",1,[],[]
2883,"life_regeneration_rate_+%_while_es_full",1,"","",1,"","","","","","","","","","","","","","","",766138931,[],"","","",1,[],[]
2884,"local_unique_jewel_with_x_int_in_radius_+1_curse",1,1,"",3,"","","","","","","","","","","","","","","",-339703967,[],"","","",1,[],[]
2885,"melee_range_+_while_unarmed",1,"","",3,"","","","","","","","","","","","","","","",-1001614086,[],"","","",1,[],[]
2886,"damage_+%_per_equipped_magic_item",1,"","",1,"","","","","","","","","","","","","","","",-1571010193,[],1,"","",1,[],[]
2887,"number_of_equipped_magic_items","","","",3,"","","","","","","","","","","","","","","",1048453967,[],"","","",1,[],[]
2888,"base_number_of_golems_allowed","","","",3,"","","","","","","","","","","","","","","",880362932,[],12,"","",1,[],[]
2889,"number_of_golems_allowed",1,"","",3,"","","","","","","","","","",1,1,"","",1,-1717054378,[],"","","",1,[33],[]
2890,"fire_golem_grants_damage_+%",1,"","",1,"","","","","","","","","","","","","","",1,-682749996,[],"","","",1,[],[]
2891,"ice_golem_grants_critical_strike_chance_+%",1,"","",1,"","","","","","","","","","","","","","",1,-1511775750,[],"","","",1,[],[]
2892,"ice_golem_grants_accuracy_+%",1,"","",1,"","","","","","","","","","","","","","",1,-1986477105,[],"","","",1,[],[]
2893,"chaos_golem_grants_additional_physical_damage_reduction_%",1,"","",1,"","","","","","","","","","","","","","",1,264996497,[],"","","",1,[],[]
2894,"spell_damage_+%_while_es_full",1,"","",1,"","","","","","","","","","","","","","","",-1685397300,[],1,"","",1,[],[]
2895,"virtual_number_of_additional_projectiles",1,"","",3,"","","","","","","","","","",1,1,"","",1,-712289669,[],"","","",1,[32],[]
2896,"totem_number_of_additional_projectiles",1,"","",3,"","","","","","","","","","",1,"","","",1,888155143,[],"","","",1,[],[]
2897,"chance_to_gain_unholy_might_on_melee_kill_%",1,"","",1,"","","","","","","","","","","","","","","",708255109,[],"","","",1,[],[]
2898,"spell_damage_+%_while_no_mana_reserved",1,"","",1,"","","","","","","","","","","","","","","",-454370691,[],"","","",1,[],[]
2899,"mana_reserved",1,"","",3,"","","","","","","","","","",1,"","","",1,-177147890,[],"","","",1,[],[]
2900,"spell_damage_+%_while_not_low_mana",1,"","",1,"","","","","","","","","","","","","","","",673429068,[],1,"","",1,[],[]
2901,"mana_cost_+%_while_not_low_mana",1,"","",1,"","","","","","","","","","","","","","","",1285693135,[],"","","",1,[],[]
2902,"local_display_grants_skill_icestorm_level","",1,"",3,"","","","","","","","","","","","","","","",-606018642,[],"","","","",[],[]
2903,"spell_damage_+%_per_10_int","","","",1,"","","","","","","","","","","","","","","",1533128742,[],"","","",1,[],[]
2904,"virtual_firestorm_drop_chilled_ground_duration_ms",1,"","",3,"","","","","","","","","","","",1,"","",1,-1005218551,[],"","","",1,[34],[]
2905,"virtual_firestorm_drop_shocked_ground_duration_ms",1,"","",3,"","","","","","","","","","","",1,"","",1,1434477020,[],"","","",1,[34],[]
2906,"virtual_firestorm_drop_burning_ground_duration_ms",1,"","",3,"","","","","","","","","","","",1,"","",1,-2083396663,[],"","","",1,[34],[]
2907,"number_of_assigned_keystones",1,"","",3,"","","","","","","","","","","","","","","",997031145,[],"","","",1,[],[]
2908,"all_attributes_+%_per_assigned_keystone",1,"","",1,"","","","","","","","","","","","","","","",-472055893,[],"","","",1,[],[]
2909,"number_of_additional_clones",1,"","",3,"","","","","","","","","","","","","","","",1755760278,[],"","","",1,[],[]
2910,"damage_taken_+%_from_hits",1,"","",1,"","","","","","","","","","","","","","","",1226457140,[],"","","",1,[],[]
2911,"chance_to_gain_frenzy_charge_on_killing_frozen_enemy_%","","","",1,"","","","","","","","","","","","","","","",-2078698461,[],"","","",1,[],[]
2912,"damage_+%_vs_frozen_enemies","","","",1,"","","","","","","","","","","","","","","",517829646,[],"","","",1,[],[]
2913,"support_hypothermia_damage_+%_vs_chilled_enemies_final","","","",1,"","","","","","","","","","","","","","","",1077265670,[],"","","",1,[],[]
2914,"additional_chance_to_freeze_chilled_enemies_%","","","",1,"","","","","","","","","","","","","","",1,1322738780,[],2,"","",1,[],[]
2915,"onslaught_time_granted_on_killing_shocked_enemy_ms","","","",3,"","","","","","","","","","","","","","","",1189142690,[],"","","",1,[],[]
2916,"support_hypothermia_damage_+%_final","","","",1,"","","","","","","","","","","","","","","",1676047477,[],"","","",1,[],[]
2917,"object_inherent_attack_skills_damage_+%_final_per_frenzy_charge",1,"","",1,"","","","","","","","","","","","","","",1,-1369226995,[],"","","",1,[],[]
2918,"skill_effect_duration_per_100_int","","","",3,"","","","","","","","","","","","","","",1,29283046,[],"","","",1,[],[]
2919,"local_unique_jewel_intelligence_per_unallocated_node_in_radius",1,1,"",3,"","","","","","","","","","","","","","","",89353591,[],"","","",1,[],[]
2920,"local_unique_jewel_with_70_dex_physical_damage_to_add_as_chaos_%",1,1,"",1,"","","","","","","","","","","","","","","",2083525544,[],"","","",1,[],[]
2921,"local_unique_jewel_with_70_str_life_recovery_speed_+%",1,1,"",1,"","","","","","","","","","","","","","","",167958389,[],"","","",1,[],[]
2922,"cannot_be_cursed_with_silence",1,"","",3,"","","","","","","","","","","","","","","",86924169,[],"","","",1,[],[]
2923,"number_of_equipped_corrupted_items",1,"","",3,"","","","","","","","","","","","","","","",-346821521,[],"","","",1,[],[]
2924,"vaal_skill_damage_+%",1,"","",1,"","","","","","","","","","","","","","","",-1433152366,[],1,"","",1,[],[]
2925,"skill_is_vaal_skill",1,"","",3,"","","","","","","","","","","","","","","",2019913725,[],"",1,"",1,[],[]
