"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Metadata","rid","NPCMasterKey","ShortName (English)","ShortName (French)","ShortName (German)","ShortName (Japanese)","ShortName (Korean)","ShortName (Portuguese)","ShortName (Russian)","ShortName (Spanish)","ShortName (Thai)","ShortName (Traditional Chinese)","i32","NPCAudios1","NPCAudios2","i32","row","Portrait","DialogueStyle","bool","rid","Gender","bool"
132,"Metadata/NPC/Missions/Hideout/PvP","Leo, Master of the Arena","Léo, Maître de l'Arène","Leo, Meister der Arena","アリーナマスター、リオ","투기장의 대가 레오","Leo, Mestre da Arena","Лео, мастер арены","Leo, Maestro de la Arena","ลีโอ มาสเตอร์แห่งลานประลอง","競技大師里歐","Metadata/NPC/NPC","","","Leo","Léo","Leo","リオ","레오","Leo","Лео","Leo","ลีโอ","里歐",0,[53],[54],57706,"","","",1,"","M",""
133,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphPrison","Bronze Monograph","Monographie sur bronze","Steinmonografie","青銅のモノグラフ","청동 서판","Monografia de Bronze","Бронзовая монография","Monografía de bronce","คำบรรยายบนแผ่นสัมฤทธิ์","青銅碑文","Metadata/NPC/Info/StoryGlyphBase",937,"","","","","","","","","","","",1,[],[],45193,"","","",1,"","",""
134,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphSins","Bronze Monograph","Monographie sur bronze","Steinmonografie","青銅のモノグラフ","청동 서판","Monografia de Bronze","Бронзовая монография","Monografía de bronce","คำบรรยายบนแผ่นสัมฤทธิ์","青銅碑文","Metadata/NPC/Info/StoryGlyphBase",937,"","","","","","","","","","","",2,[],[],9663,"","","",1,"","",""
135,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphChurch","Bronze Monograph","Monographie sur bronze","Steinmonografie","青銅のモノグラフ","청동 서판","Monografia de Bronze","Бронзовая монография","Monografía de bronce","คำบรรยายบนแผ่นสัมฤทธิ์","青銅碑文","Metadata/NPC/Info/StoryGlyphBase",937,"","","","","","","","","","","",2,[],[],15897,"","","",1,"","",""
136,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphCrematorium","Bronze Monograph","Monographie sur bronze","Steinmonografie","青銅のモノグラフ","청동 서판","Monografia de Bronze","Бронзовая монография","Monografía de bronce","คำบรรยายบนแผ่นสัมฤทธิ์","青銅碑文","Metadata/NPC/Info/StoryGlyphBase",937,"","","","","","","","","","","",3,[],[],45387,"","","",1,"","",""
137,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphHedge","Bronze Monograph","Monographie sur bronze","Steinmonografie","青銅のモノグラフ","청동 서판","Monografia de Bronze","Бронзовая монография","Monografía de bronce","คำบรรยายบนแผ่นสัมฤทธิ์","青銅碑文","Metadata/NPC/Info/StoryGlyphBase",937,"","","","","","","","","","","",3,[],[],49924,"","","",1,"","",""
138,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphCatacombs","Bronze Monograph","Monographie sur bronze","Steinmonografie","青銅のモノグラフ","청동 서판","Monografia de Bronze","Бронзовая монография","Monografía de bronce","คำบรรยายบนแผ่นสัมฤทธิ์","青銅碑文","Metadata/NPC/Info/StoryGlyphBase",937,"","","","","","","","","","","",3,[],[],3135,"","","",1,"","",""
139,"Metadata/NPC/Labyrinth/LabyrinthGlyph0","Bronze Plaque","Stèle en bronze","Steintafel","青銅の銘板","청동 명판","Placa de Bronze","Бронзовая плита","Placa de bronce","แผ่นสลักสัมฤทธิ์","青銅板","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],27864,"","","",1,"","",""
140,"Metadata/NPC/Labyrinth/LabyrinthGlyph1","Bronze Inscription","Inscription dans le bronze","Steininschrift","青銅の碑文","청동 명문","Inscrição de Bronze","Бронзовая надпись","Inscripción de bronce","แผ่นจารึกสัมฤทธิ์","青銅雕文","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],44501,"","","",1,"","",""
141,"Metadata/NPC/Labyrinth/LabyrinthGlyph2","Bronze Inscription","Inscription dans le bronze","Steininschrift","青銅の碑文","청동 명문","Inscrição de Bronze","Бронзовая надпись","Inscripción de bronce","แผ่นจารึกสัมฤทธิ์","青銅雕文","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],62790,"","","",1,"","",""
142,"Metadata/NPC/Labyrinth/LabyrinthGlyph3","Bronze Inscription","Inscription dans le bronze","Steininschrift","青銅の碑文","청동 명문","Inscrição de Bronze","Бронзовая надпись","Inscripción de bronce","แผ่นจารึกสัมฤทธิ์","青銅雕文","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],64883,"","","",1,"","",""
143,"Metadata/NPC/Labyrinth/LabyrinthGlyph4","Bronze Inscription","Inscription dans le bronze","Steininschrift","青銅の碑文","청동 명문","Inscrição de Bronze","Бронзовая надпись","Inscripción de bronce","แผ่นจารึกสัมฤทธิ์","青銅雕文","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],52236,"","","",1,"","",""
144,"Metadata/NPC/Izaro","Izaro","Izaro","Izaro","イザロ","이자로","Izaro","Изаро","Izaro","อีซาโร","伊澤洛","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],61113,"","","",1,"","M",""
145,"Metadata/NPC/Labyrinth/WeylinGlyph1","Poem","Poème","Gedicht","詩","시","Poema","Поэма","Poema","บทกวี","詩","Metadata/NPC/Info/StoryGlyphSmall","","","","","","","","","","","","",-1,[],[],19955,"","","",1,"","",""
146,"Metadata/NPC/Labyrinth/WeylinGlyph2","Poem","Poème","Gedicht","詩","시","Poema","Поэма","Poema","บทกวี","詩","Metadata/NPC/Info/StoryGlyphSmall","","","","","","","","","","","","",-1,[],[],2894,"","","",1,"","",""
147,"Metadata/NPC/Labyrinth/WeylinGlyph3","Poem","Poème","Gedicht","詩","시","Poema","Поэма","Poema","บทกวี","詩","Metadata/NPC/Info/StoryGlyphSmall","","","","","","","","","","","","",-1,[],[],44120,"","","",1,"","",""
148,"Metadata/NPC/Labyrinth/WeylinGlyph4","Poem","Poème","Gedicht","詩","시","Poema","Поэма","Poema","บทกวี","詩","Metadata/NPC/Info/StoryGlyphSmall","","","","","","","","","","","","",-1,[],[],61004,"","","",1,"","",""
149,"Metadata/NPC/Labyrinth/WeylinGlyph5","Poem","Poème","Gedicht","詩","시","Poema","Поэма","Poema","บทกวี","詩","Metadata/NPC/Info/StoryGlyphSmall","","","","","","","","","","","","",-1,[],[],18301,"","","",1,"","",""
150,"Metadata/NPC/Info/MalachaiGlyphPrison","Letter of Instruction","Lettre d'instructions","Brief mit Instruktionen","助言の手紙","지시 서한","Carta de Instruções","Запись с указаниями","Carta de instrucción","จดหมายชี้แนะ","指引信","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",1,[],[],2233,"","","",1,"","",""
151,"Metadata/NPC/Info/MalachaiScrollGrainGate","Official Orders","Ordres officiels","Offizielle Anordnungen","正式命令書","공식 명령서","Ordens Oficiais","Официальный указ","Órdenes oficiales","คำสั่งจากทางการ","正式命令","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",8,[],[],55538,"","","",1,"","",""
152,"Metadata/NPC/Info/MalachaiNoteDialla","Journal Entry","Note dans un journal ","Tagebucheintrag","日誌の記入","일지 항목","Nota do Diário","Запись в дневнике","Entrada en el diario","บันทึก","日記","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],7135,"","","",1,"","",""
153,"Metadata/NPC/Info/MalachaiJournalLab","Malachai's Journal","Journal de Malachai","Malachais Tagebuch","マラカイの日誌","말라카이의 일지","Diário do Malachai","Дневник Малахая","Diario de Malachai","บันทึกของมาลาไค","瑪拉凱的日記","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],27248,"","","",1,"","",""
154,"Metadata/NPC/Info/MalachaiLetterSceptre","Letter to Chitus","Missive à Chitus","Brief an Chitus","チタスへの手紙","치투스에게 보내는 편지","Carta para Chitus","Письмо Титусу","Carta a Chitus","จดหมายถึงชิตัส","給切特斯的信","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],2396,"","","",1,"","",""
155,"Metadata/NPC/Rigwald","Rigwald","Rigwald","Rigwald","リグワルド","리그월드","Rigwald","Ригвальд","Rigwald","ริกวอล์ด","瑞佛","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],48926,"","","",1,"","M",""
156,"Metadata/NPC/Info/RigwaldGlyph1","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],10751,"","","",1,"","",""
157,"Metadata/NPC/Info/RigwaldGlyph2","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],36017,"","","",1,"","",""
158,"Metadata/NPC/Info/RigwaldGlyph3","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],55123,"","","",1,"","",""
159,"Metadata/NPC/Info/RigwaldGlyph4","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],61745,"","","",1,"","",""
160,"Metadata/NPC/Info/RigwaldGlyph5","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],46783,"","","",1,"","",""
161,"Metadata/NPC/Info/RigwaldGlyph6","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],4555,"","","",1,"","",""
162,"Metadata/NPC/League/Perandus/Cadiro","Cadiro Perandus","Cadiro Pérandus","Cadiro Perandus","カディーロ・ペランダス","카디로 페란두스","Cadiro Perandus","Кадиро Перандус","Cadiro Perandus","คาดิโร เพแรนดัส","卡迪羅．普蘭德斯","Metadata/NPC/NPC","","","Cadiro","Cadiro","Cadiro","カディーロ","카디로","Cadiro","Кадиро","Cadiro","คาดิโร","卡迪羅",0,[55],[56],3122,"","","",1,22,"M",""
163,"Metadata/NPC/League/Prophecy/Navali","Navali","Navali","Navali","ナヴァリ","나발리","Navali","Навали","Navali","นาวาลี","娜瓦莉","Metadata/NPC/NPC","","","","","","","","","","","","",-1,[57],[58],2831,"","","",1,"","F",""
164,"Metadata/NPC/League/Prophecy/ProphecyDarkTome","Dark Tome","Tome interdit","Dunkler Foliant","闇の学術書","어둠의 서","Tomo Sombrio","Тёмная книга","Tomo oscuro","คัมภีร์มืดมิด","黑暗之書","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],30638,"","","",1,"","",""
165,"Metadata/NPC/RigwaldMap","The Cursed King","Le Roi maudit","Der verfluchte König","呪われた王","저주받은 왕","O Rei Amaldiçoado","Проклятый монарх","El Rey Maldito","ราชันผู้ต้องสาป","詛咒之王","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],58883,"","","",1,"","M",""
166,"Metadata/NPC/RigwaldMapSimplified","Lycius, Midnight's Howl","Lycius, le Hurlement de minuit","Lycius, Mitternachtsheulen","真夜中の遠吠え、ライシアス","한밤의 울부짖음 리시우스","Lycius, Uivo do Luar","Луций, Полуночный вой","Lycius, Aullido de Medianoche","ไลเชียส เสียงหอนแห่งรัตติกาล","利希斯嘯夜","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],1246,"","","",1,"","M",""
167,"Metadata/NPC/League/Prophecy/NavaliWild","Navali","Navali","Navali","ナヴァリ","나발리","Navali","Навали","Navali","นาวาลี","娜瓦莉","Metadata/NPC/NPC","","","","","","","","","","","","",1,[57],[58],44520,"","","",1,"","F",""
168,"Metadata/NPC/League/Prophecy/NavaliHideout","Navali","Navali","Navali","ナヴァリ","나발리","Navali","Навали","Navali","นาวาลี","娜瓦莉","Metadata/NPC/NPC","","","","","","","","","","","","",-1,[57],[58],16710,"","","",1,"","F",""
169,"Metadata/NPC/League/Bestiary/EinharHideout","Einhar, Beastmaster","Einhar, Maître des Bêtes","Einhar, Meister der Bestien","ビーストマスター、アイナー","야수의 대가 아인하르","Einhar, Mestre das Bestas","Эйнар, Мастер зверей","Einhar Frey, Maestro de Bestias","ไอนาร์ มาสเตอร์แห่งสรรพสัตว์","野獸大師埃哈","Metadata/NPC/NPC","",1,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",0,[75],[76],56882,"","",1,1,23,"M",""
170,"Metadata/Monsters/Masters/Einhar","Einhar, Beastmaster","Einhar, Maître des Bêtes","Einhar, Meister der Bestien","ビーストマスター、アイナー","야수의 대가 아인하르","Einhar, Mestre das Bestas","Эйнар, Мастер зверей","Einhar Frey, Maestro de Bestias","ไอนาร์ มาสเตอร์แห่งสรรพสัตว์","野獸大師埃哈","Metadata/NPC/NPC","",1,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",2,[],[],62051,"","","",1,"","M",""
171,"Metadata/NPC/League/Bestiary/Einhar","Einhar, Beastmaster","Einhar, Maître des Bêtes","Einhar, Meister der Bestien","ビーストマスター、アイナー","야수의 대가 아인하르","Einhar, Mestre das Bestas","Эйнар, Мастер зверей","Einhar Frey, Maestro de Bestias","ไอนาร์ มาสเตอร์แห่งสรรพสัตว์","野獸大師埃哈","Metadata/NPC/NPC","",1,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",2,[75],[76],37679,"","",1,1,23,"M",""
172,"Metadata/NPC/League/Bestiary/EinharWild","Einhar, Beastmaster","Einhar, Maître des Bêtes","Einhar, Meister der Bestien","ビーストマスター、アイナー","야수의 대가 아인하르","Einhar, Mestre das Bestas","Эйнар, Мастер зверей","Einhar Frey, Maestro de Bestias","ไอนาร์ มาสเตอร์แห่งสรรพสัตว์","野獸大師埃哈","Metadata/NPC/NPC","",1,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",2,[75],[76],51623,"","","",1,23,"M",""
173,"Metadata/NPC/League/Bestiary/EinharMenagerie","Einhar, Beastmaster","Einhar, Maître des Bêtes","Einhar, Meister der Bestien","ビーストマスター、アイナー","야수의 대가 아인하르","Einhar, Mestre das Bestas","Эйнар, Мастер зверей","Einhar Frey, Maestro de Bestias","ไอนาร์ มาสเตอร์แห่งสรรพสัตว์","野獸大師埃哈","Metadata/NPC/NPC","",1,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",2,[75],[76],8793,"","","",1,23,"M",""
174,"Metadata/NPC/Epilogue/ZanaElderMid","Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestre da Cartografia","Зана, мастер странствий","Zana, Maestra Cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜","Metadata/NPC/NPC","",6,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",11,[],[],17719,"","","",1,"","F",""
175,"Metadata/NPC/Epilogue/ZanaElder","Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestre da Cartografia","Зана, мастер странствий","Zana, Maestra Cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜","Metadata/NPC/NPC","",6,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",11,[],[],32890,"","","",1,"","F",""
176,"Metadata/NPC/Epilogue/ZanaSecret","Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestre da Cartografia","Зана, мастер странствий","Zana, Maestra Cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜","Metadata/NPC/NPC","",6,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",11,[],[],61707,"","","",1,"","F",""
177,"Metadata/NPC/Epilogue/ZanaShaper","Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestre da Cartografia","Зана, мастер странствий","Zana, Maestra Cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜","Metadata/NPC/NPC","",6,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",11,[],[],11034,"","","",1,"","F",""
178,"Metadata/NPC/Shaper","The Shaper","Le Façonneur","Der Schöpfer","シェイパー","쉐이퍼","O Criador","Создатель","El Creador","เชปเปอร์","塑界者","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],9075,"","","",1,"","M",""
179,"Metadata/NPC/Act5/Lani","Lani","Lani","Lani","ラニ","라니","Lani","Лани","Lani","ลานี","拉尼","Metadata/NPC/NPC","","","","","","","","","","","","",5,[68],[69],30873,"","","",1,15,"F",""
180,"Metadata/NPC/Act5/Vilenta","Vilenta","Vilenta","Vilenta","ヴァイレンタ","바일렌타","Vilenta","Вилента","Vilenta","ไวเลนท่า","范尼達","Metadata/NPC/NPC","","","","","","","","","","","","",5,[64],[65],3842,"","","",1,37,"F",""
181,"Metadata/NPC/Act5/Utula","Utula","Utula","Utula","ウトゥーラ","우툴라","Utula","Утула","Utula","อูทูล่า","烏圖拉","Metadata/NPC/NPC","","","","","","","","","","","","",5,[66],[67],42791,"","","",1,4,"M",""
182,"Metadata/NPC/Act5/BannonTown","Bannon","Bannon","Bannon","バノン","배넌","Bannon","Бэннон","Bannon","แบนนอน","班恩","Metadata/NPC/NPC","","","","","","","","","","","","",5,[62],[63],24257,"","","",1,4,"M",""
183,"Metadata/NPC/Act5/BannonInnocence","Bannon","Bannon","Bannon","バノン","배넌","Bannon","Бэннон","Bannon","แบนนอน","班恩","Metadata/NPC/NPC","","","","","","","","","","","","",5,[],[],18118,"","","",1,"","M",""
184,"Metadata/NPC/Act5/SinInnocence","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC","","","","","","","","","","","","",5,[],[],6956,"","","",1,"","M",""
185,"Metadata/NPC/Act5/SinKitava","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC","","","","","","","","","","","","",5,[],[],37457,"","","",1,"","M",""
186,"Metadata/NPC/Act5/Lilly","Lilly Roth","Lilly Roth","Lilly Roth","リリィ・ロス","릴리 로스","Lilly Roth","Лилия Рот","Lilly Roth","ลิลลี่ รอธ","莉莉羅斯","Metadata/NPC/NPC","","","Lilly","Lilly","Lilly","リリィ","릴리","Lilly","Лилия","Lilly","ลิลลี่","莉莉",5,[153],[154],4507,"","","",1,"","F",""
187,"Metadata/NPC/Act6/Tarkleigh","Tarkleigh","Tarkleigh","Tarkleigh","タークリー","타클레이","Tarkleigh","Таркли","Tarkleigh","ทาร์กเลย์","塔格拉","Metadata/NPC/Act1/Tarkleigh","","","","","","","","","","","","",6,[0],[1],27149,"","","",1,5,"M",""
188,"Metadata/NPC/Act6/Bestel","Bestel","Bestel","Bestel","ベストル","베스텔","Bestel","Бестель","Bestel","เบสเทล","畢斯特","Metadata/NPC/Act1/Bestel","","","","","","","","","","","","",6,[4],[],25512,"","","",1,16,"M",""
189,"Metadata/NPC/Act6/Lilly","Lilly Roth","Lilly Roth","Lilly Roth","リリィ・ロス","릴리 로스","Lilly Roth","Лилия Рот","Lilly Roth","ลิลลี่ รอธ","莉莉羅斯","Metadata/NPC/NPC","","","Lilly","Lilly","Lilly","リリィ","릴리","Lilly","Лилия","Lilly","ลิลลี่","莉莉",6,[153],[154],46727,"","","",1,44,"F",""
190,"Metadata/NPC/Act6/WeylamBeacon","Weylam Roth","Weylam Roth","Weylam Roth","ウェイラム・ロス","웨일럼 로스","Weylam Roth","Вейлам Рот","Weylam Roth","เวย์แลม รอธ","威廉羅斯","Metadata/NPC/NPC","","","Weylam","Weylam","Weylam","ウェイラム","웨일럼","Weylam","Вейлам","Weylam","เวย์แลม","威廉",6,[],[],186,"","","",1,"","M",""
191,"Metadata/NPC/Act6/WeylamReef1","Weylam Roth","Weylam Roth","Weylam Roth","ウェイラム・ロス","웨일럼 로스","Weylam Roth","Вейлам Рот","Weylam Roth","เวย์แลม รอธ","威廉羅斯","Metadata/NPC/NPC","","","Weylam","Weylam","Weylam","ウェイラム","웨일럼","Weylam","Вейлам","Weylam","เวย์แลม","威廉",6,[],[],64416,"","","",1,"","M",""
192,"Metadata/NPC/Act6/WeylamReef2","Weylam Roth","Weylam Roth","Weylam Roth","ウェイラム・ロス","웨일럼 로스","Weylam Roth","Вейлам Рот","Weylam Roth","เวย์แลม รอธ","威廉羅斯","Metadata/NPC/NPC","","","Weylam","Weylam","Weylam","ウェイラム","웨일럼","Weylam","Вейлам","Weylam","เวย์แลม","威廉",6,[],[],3681,"","","",1,"","M",""
193,"Metadata/NPC/Act6/SinTown","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC",2390,"","","","","","","","","","","",6,[72],[73],48413,"","","",1,"","M",""
194,"Metadata/NPC/Act6/SinTukohama","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC",2395,"","","","","","","","","","","",6,[72],[73],51274,"","","",1,"","M",""
195,"Metadata/NPC/Act6/SinAbberath","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC",2537,"","","","","","","","","","","",6,[72],[73],60453,"","","",1,"","M",""
196,"Metadata/NPC/Act6/SinShavronne","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC","","","","","","","","","","","","",6,[72],[73],12794,"","","",1,"","M",""
197,"Metadata/NPC/Act6/SinRyslatha","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC",2538,"","","","","","","","","","","",6,[72],[73],64219,"","","",1,"","M",""
198,"Metadata/NPC/Act6/SinBrineKing","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC",2392,"","","","","","","","","","","",6,[72],[73],23106,"","","",1,"","M",""
199,"Metadata/NPC/Act6/NessaMudFlats","Nessa","Nessa","Nessa","ネッサ","네사","Nessa","Несса","Nessa","เนสซ่า","奈莎","Metadata/NPC/NPC","","","","","","","","","","","","",6,[],[],33881,"","","",1,"","F",""
200,"Metadata/NPC/Act6/NessaPrisonersGate","Nessa","Nessa","Nessa","ネッサ","네사","Nessa","Несса","Nessa","เนสซ่า","奈莎","Metadata/NPC/NPC","","","","","","","","","","","","",6,[],[],38959,"","","",1,"","F",""
201,"Metadata/NPC/Act6/NessaMerveilsCaverns","Nessa","Nessa","Nessa","ネッサ","네사","Nessa","Несса","Nessa","เนสซ่า","奈莎","Metadata/NPC/NPC","","","","","","","","","","","","",6,[],[],8054,"","","",1,"","F",""
202,"Metadata/NPC/Act6/NessaBrineKing","Nessa","Nessa","Nessa","ネッサ","네사","Nessa","Несса","Nessa","เนสซ่า","奈莎","Metadata/NPC/NPC","","","","","","","","","","","","",6,[],[],28218,"","","",1,"","F",""
203,"Metadata/NPC/League/Prophecy/NavaliMonkey","Yama the White","Yama le Blanc","Yama der Weiße","白猿のヤマ","하얀 야마","Yama, o Branco","Белый Яма","Yama el Blanco","ยามา วานรขาว","小白．雅瑪","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],48677,"","","",1,"","",""
204,"Metadata/NPC/Act6/Tukohama","Tukohama","Tukohama","Tukohama","トゥコハマ","투코하마","Tukohama","Тукохама","Tukohama","ทูโคฮาม่า","圖克哈瑪","Metadata/NPC/NPC","","","","","","","","","","","","",6,[],[],58512,"","","",1,"","M",""
205,"Metadata/NPC/Info/VaalLetters/VaalLetter_01","Vaal Letter","Lettre vaal","Brief der Vaal","ヴァールの手紙","바알 서신","Carta Vaal","Письмо ваал","Carta vaal","จดหมายวาล์","瓦爾信函","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],41100,"","","",1,"","",""
206,"Metadata/NPC/Info/VaalLetters/VaalLetter_02","Vaal Letter","Lettre vaal","Brief der Vaal","ヴァールの手紙","바알 서신","Carta Vaal","Письмо ваал","Carta vaal","จดหมายวาล์","瓦爾信函","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],56842,"","","",1,"","",""
207,"Metadata/NPC/Info/VaalLetters/VaalLetter_03","Vaal Letter","Lettre vaal","Brief der Vaal","ヴァールの手紙","바알 서신","Carta Vaal","Письмо ваал","Carta vaal","จดหมายวาล์","瓦爾信函","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],1852,"","","",1,"","",""
208,"Metadata/NPC/Info/VaalLetters/VaalLetter_04","Vaal Letter","Lettre vaal","Brief der Vaal","ヴァールの手紙","바알 서신","Carta Vaal","Письмо ваал","Carta vaal","จดหมายวาล์","瓦爾信函","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],20062,"","","",1,"","",""
209,"Metadata/NPC/Info/VaalLetters/VaalLetter_05","Vaal Letter","Lettre vaal","Brief der Vaal","ヴァールの手紙","바알 서신","Carta Vaal","Письмо ваал","Carta vaal","จดหมายวาล์","瓦爾信函","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],34131,"","","",1,"","",""
210,"Metadata/NPC/Info/VaalLetters/VaalLetter_06","Vaal Letter","Lettre vaal","Brief der Vaal","ヴァールの手紙","바알 서신","Carta Vaal","Письмо ваал","Carta vaal","จดหมายวาล์","瓦爾信函","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],14526,"","","",1,"","",""
211,"Metadata/NPC/Info/VaalLetters/VaalLetter_07","Vaal Letter","Lettre vaal","Brief der Vaal","ヴァールの手紙","바알 서신","Carta Vaal","Письмо ваал","Carta vaal","จดหมายวาล์","瓦爾信函","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],33021,"","","",1,"","",""
212,"Metadata/NPC/Info/VaalLetters/VaalLetter_08","Vaal Letter","Lettre vaal","Brief der Vaal","ヴァールの手紙","바알 서신","Carta Vaal","Письмо ваал","Carta vaal","จดหมายวาล์","瓦爾信函","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],21848,"","","",1,"","",""
213,"Metadata/NPC/Info/VaalLetters/VaalLetter_09","Vaal Letter","Lettre vaal","Brief der Vaal","ヴァールの手紙","바알 서신","Carta Vaal","Письмо ваал","Carta vaal","จดหมายวาล์","瓦爾信函","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],32777,"","","",1,"","",""
