"rownum","Id","UITalkCategoriesKey","OGGFile","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool","NPCTextAudio"
31,"Incursion_CorruptionRoom1",28,"Audio/Dialogue/NPC/Alva/AV54.ogg","The Architect of Corruption has claimed that room for his nefarious experiments.","L'Architecte de la Corruption s'est saisi de cette salle afin d'y conduire ses expérimentations abominables.","Der Architekt des Verderbens hat diesen Raum für seine ruchlosen Experimente beansprucht.","堕落のアーキテクトは、彼の非道な実験のための部屋を手に入れたわ。","오호, 타락의 건축가가 불법적인 실험을 벌일 공간을 차지한 모양이구만.","O Arquiteto da Corrupção tomou para si aquele salão para seus experimentos nefários.","Архитектор осквернения отвёл этот зал под свои гнусные эксперименты.","El Arquitecto de Corrupción ha reclamado esa sala para sus nefastos experimentos.","สถาปนิก​แห่ง​มลทิน​ได้​ยึด​ห้อง​นั้น​ไว้​ทดลอง​อะไร​ทรามๆ แล้ว","腐敗建師奪取這房間開始他的邪惡的實驗。",1,""
32,"Incursion_CorruptionRoom2",29,"Audio/Dialogue/NPC/Alva/AV55.ogg","Paquate's used his growing influence to funnel more corrupting energies into that room.","Paquate a utilisé son influence grandissante pour déverser encore plus d'énergies corruptrices dans cette salle.","Paquate hat seinen steigenden Einfluss dazu verwendet, diesen Raum mit weiterer verderbender Energie zu versorgen.","パクアーテは自身の高まる影響力を利用して、より多くの堕落したエネルギーを部屋に流したわ。","파콰테는 커진 영향력을 휘둘러서 더 많은 타락의 에너지를 그 방으로 보냈어.","Paquate usou sua influência crescente para afunilar mais energias corruptas dentro daquele salão.","Паквате использовал своё возросшее влияние и влил в этот зал новую скверну.","Paquate usó su creciente influencia para canalizar más energías corruptas en esa sala.","ปะควาเท​ใช้​อิทธิพล​ที่​เพิ่ม​มา​​ใน​การ​ถ่าย​พลัง​มลทิน​เข้า​ห้อง​นั้น​ไป​อีก","帕科特用他成長中的影響力注入更多腐敗的能量到那個房間。",1,""
33,"Incursion_CorruptionRoom3",30,"Audio/Dialogue/NPC/Alva/AV56.ogg","The influence of his corruption continues to build. But you already knew that, right?","L'influence de sa corruption prend de plus en plus d'ampleur. Mais ça, vous le saviez déjà, non ?","Der Einfluss seiner Verderbtheit scheint sich weiter auszubreiten. Aber das wusstet Ihr sicher schon, nicht wahr?","彼の堕落による影響は増大し続けているわ。でもあなたはもう知っているのでしょう？","타락의 영향력이 계속해서 쌓여갈 거야. 뭐, 너도 알고 있는 거겠지만.","A influência de sua corrupção continua a crescer. Mas você já sabia disso, né? ","Его скверна становится всё сильнее. Но ведь для тебя это не новость?","La influencia de su corrupción continúa creciendo. Pero ya lo sabías, ¿verdad?","อำนาจ​​พลัง​มลทิน​ของ​เขา​ยิ่ง​มี​อิทธิพล​มาก​ขึ้น​ไป​ทุก​ที แต่​เจ้า​รู้​แล้ว​ใช่​ไหม?","他的腐敗影響力持續茁壯。但你已經知道了，對吧？",1,""
34,"Incursion_CurrencyRoom1",31,"Audio/Dialogue/NPC/Alva/AV57.ogg","The Architect of the Vault has taken that room? This is <italic>{excellent} news!","L'Architecte des Trésors a pris possession de cette salle ? Mais c'est une <italic>{excellente} nouvelle !","Der Architekt des Tresorraums hat diesen Raum in Besitz genommen? Wenn das mal keine <italic>{großartigen} Neuigkeiten sind!","金庫のアーキテクトがあの部屋を確保したの？<italic>{最高}の知らせね！","금고실의 설계자가 그 방을 차지했다고? 이거 정말 <italic>{멋진} 소식인데!","O Arquiteto do Forte tomou aquele salão? Isso são <italic>{ótimas} notícias!","Зал отошёл Архитектору хранилища? Это <italic>{прекрасная} новость!","¿El Arquitecto de la Cámara ha ocupado esa habitación? ¡Esta es una noticia <italic>{excelente}!","สถาปนิก​แห่ง​ห้อง​นิรภัย​ได้​ห้อง​นั้น​แล้ว​เหรอ? นี่​มัน​ข่าว​ที่<italic>{เยี่ยม}มาก​เลย​นะ!","寶庫建師已經接手這個房間？這真是<italic>{天大的好}消息啊！",1,""
35,"Incursion_CurrencyRoom2",32,"Audio/Dialogue/NPC/Alva/AV58.ogg","Since you've killed his rival, we can probably bank on Estazunti stashing even more delectable wealth in that room.","Puisque vous avez tué son rival, on peut miser sur le fait qu'Estazunti aura emmagasiné encore plus de ses délectables richesses dans cette salle.","Da Ihr seinen Rivalen getötet habt, können wir wohl darauf setzen, dass Estazunti diesen Raum mit noch weitaus größeren Reichtümern schmückt.","エスタザンティのライバルを倒したのだから、あの部屋に彼がもっとおいしい宝を隠すことが期待できるわ。","네가 에스타준티의 경쟁자를 처치한 덕분에, 걔가 그 방에 어마어마하게 쌓아뒀을 재물을 이용할 수 있게 됐어.","Desde que você matou seu rival, nós provavelmente poderemos nos aproveitar ainda mais da riqueza deleitável de Estazunti naquele salão.","Раз его врага больше нет, Эстазунти сможет набить зал новыми богатствами.","Como has matado a su rival, probablemente podamos contar con que Estazunti guarde aún más riquezas atractivas en esa sala.","ใน​เมื่อ​เจ้า​จัดการ​คู่แข่ง​ไป​แล้ว เรา​อาจ​จะ​เดา​ได้​ว่า​เอสตาซุนที​จะ​เก็บ​สมบัติ​ที่​ล้ำค่า​ยิ่ง​กว่า​ใน​ห้อง​นั้น","因為你殺了他的勁敵，我們可以冀望艾斯祖太存放更多價值可觀的財富在那個房間中。",1,""
36,"Incursion_CurrencyRoom3",33,"Audio/Dialogue/NPC/Alva/AV59.ogg","Shall we make a bet exile? I bet Estazunti has flooded that room with finery and treasure by this point. An exciting thought isn't it?","Un pari, ça vous dit ? Eh bien, je vous parie qu'Estazunti a inondé cette pièce de trésors inestimables à l'heure qu'il est. Une perspective des plus réjouissantes, n'est-ce pas ?","Sollen wir eine Wette abschließen? Ich wette, dass Estazunti diesen Raum jetzt schon mit prachtvollen Schätzen gefüllt hat. Ist das nicht ein aufregender Gedanke?","賭けをしない？エグザイル。エスタザンティは今頃、あの部屋を絢爛豪華な宝物で埋め尽くしているに違いないわ。そう考えるとワクワクするわよね？","유배자, 우리 내기할래? 지금 시점이면 분명히 에스타준티가 채워둔 보물과 귀중품들로 방이 좁아터질 지경이 됐을 거라는 거! 완전 기분 좋지 않아?","Vamos apostar, exilado? Aposto que Estazunti encheu aquele salão com tesouros e objetos de valor nesse momento. Um pensamento empolgante né? ","Давай заключим пари? Ставлю на то, что Эстазунти успел завалить этот зал сокровищами и драгоценностями. Правда ведь чудесная мысль?","¿Hacemos una apuesta exiliado? Apuesto a que Estazunti ha inundado esa habitación con riquezas y tesoros a estas alturas. Una idea emocionante, ¿no?","มา​พนัน​กัน​ไหม เอ็กไซล์? ข้า​พนัน​ว่าเอสตาซุนที​ยัด​สมบัติ​และ​ของ​ล้ำค่า​ไว้​จน​ทะลัก​ห้อง​นั้น​เลย​ตอน​นี้ มัน​น่า​ตื่นเต้น​ดี​นะ​จริง​ไหม?","要打賭嗎流亡者？我賭這時艾斯祖太已經用華服和財寶堆滿整個房間。做夢都會笑不是嗎？",1,""
37,"Incursion_HatcheryRoom1",34,"Audio/Dialogue/NPC/Alva/AV60.ogg","Because of your actions, and shadowed by those... creeping experiments, Citaqualotl, Architect of the Swarm now resides.","À cause de vos actions Citaqualotl, Architecte de la Nuée, ainsi que ses… expérimentations grouillantes ont élu domicile dans cette salle.","Dank Eurer Handlungen hat sich Citaqualotl, der Architekt des Schwarms, jetzt hier mitsamt seiner ... kriechenden Experimente niedergelassen.","あなたの行動と、これらの...忍び寄る実験体によって、群れのアーキテクトシタクアロトルが宿ったようね。","네 선택 때문에, 그리고 그 끔찍한... 실험의 결과로... 무리의 건축가 시타쿼알로틀이 출현하게 되었어....","Por conta de suas ações, e escondidos por aqueles (se arrepia) experimentos apavorantes, Citaqualotl, Arquiteto do Enxame agora está lá.","Благодаря тебе в зале обосновался Ситаквалотль, Архитектор роя... проводит там жуткие эксперименты.","Debido a tus actos, y bajo la sombra de esos... experimentos escalofriantes, Citaqualotl, Arquitecto del enjambre ahora reside aquí.","เพราะ​การ​กระทำ​ของ​เจ้า และ​เพราะ​การ​ทดลอง.... ที่​น่า​คืบคลาน​นั้น ซีทาคัวลอทัล สถาปนิก​แห่ง​ฝูง​แมลง​จึง​ได้​มา​อยู่​ใน​ห้อง​นั้น​แล้ว","因為你的行動，和被那些被遮蔽（不寒而慄）的爬行實驗體，群巢建師希特克拉多現在已經居住於此。",1,""
38,"Incursion_HatcheryRoom2",35,"Audio/Dialogue/NPC/Alva/AV61.ogg","With all fear removed, Citaqualotl seems to have turned his tinkering to moving devices of strange metals.","Maintenant qu'il n'a plus de rival pour l'inquiéter, on dirait que Citaqualotl bricole des engins ambulants faits d'étranges métaux.","Jetzt, da er nichts mehr zu befürchten hat, scheint sich Citaqualotl für Experimente an merkwürdigen Metallen zu interessieren.","すべての脅威が取り除かれ、シタクアロトルは彼の材料を奇妙な金属を使った機械に改造し始めたわ。","두려워할 게 사라지면서... 시타쿼알로틀의 관심이 그 이상한 금속 장치에 온통 쏠려버리게 된 것 같아.","Com todo o medo removido, Citaqualotl parece ter se começado a mexer com dispositivos estranhos de metal.","С исчезновением угрозы Ситаквалотль переключился на создание движущихся механизмов из неведомых металлов.","Con todo el temor disipado, Citaqualotl parece que ha convertido sus artilugios en artefactos animados de metales extraños.","เมื่อ​ความ​กลัว​หาย​ไป เหมือน​ว่า​ซีทาคัวลอทัล​จะ​หัน​มา​ประดิษฐ์​อุปกรณ์​โลหะ​ประหลาด​ที่​เคลื่อนไหว​ได้","除去所有恐懼，希特克拉多似乎已經致力於修補於奇怪金屬的移動裝置。",1,""
39,"Incursion_HatcheryRoom3",36,"Audio/Dialogue/NPC/Alva/AV62.ogg","So the crazed scientist thought to combine both metal and insect? Hopefully they're long gone by the time we come back.","Ainsi donc, ce savant fou a réuni les insectes et le métal ? Espérons que ses sujets d'expérience ne soient plus là quand nous arriverons.","Der verrückte Wissenschaftler hielt es also für eine großartige Idee, Metall und Insekten miteinander zu kombinieren? Hoffentlich ist davon nichts mehr übrig, wenn wir zurückkehren.","つまり狂気の科学者は金属と虫を組み合わせたってこと？私達が戻る頃には、とっくにいなくなっていることを祈るわ。","그 미치광이 과학자가 금속이랑 곤충을 결합하려 했다고? 그 사이에 제발 좀 죽었던지 해서 지금 시대에서는 볼 일이 없어야 할 텐데.","Então o cientista louco pensou em combinar metal e inseto? Espero que eles já tenham sumido quando voltarmos.","Так сбрендивший учёный решил объединить металл и насекомых? Хорошо бы к нашему возвращению они давно разбежались.","¿Así que el científico enloquecido pensó en combinar metal e insecto? Con suerte ya habrán desaparecido cuando volvamos.","เจ้า​นัก​วิทย์​สติ​เฟื่อง​นี่​อยาก​รวม​ร่าง​โลหะ​กับ​แมลง​เหรอ? หวัง​ว่า​พวก​มัน​คง​ตาย​กัน​หมด​ก่อน​เรา​จะ​กลับ​มา​นะ","所以這瘋狂的實驗家想要融合金屬和昆蟲？希望在我們回到那時牠們都已經消失了。",1,""
40,"Incursion_FlameRoom1",37,"Audio/Dialogue/NPC/Alva/AV63.ogg","In that chamber, the Architect of the Forge now hammers away in sparks and steam.","Maintenant, l'Architecte de la Forge joue du marteau dans cette salle, dans un nuage de vapeur et d'étincelles.","In dieser Kammer werden die Hammerschläge des Architekten der Schmiede jetzt Funken sprühen lassen.","その部屋では、今まさに鍛冶場のアーキテクトが、火花と蒸気を出しながら鎚を振るっているわ。","대장간의 건축가가 증기와 불꽃 속에서 망치를 휘두르고 있어.","Naquela câmara, o Arquiteto da Forja agora bate seu martelo, envolto em faíscas e vapor.","В этом зале Архитектор горна трудится в россыпях искр и клубах пара.","En esa cámara, el Arquitecto de la Forja ahora martilla entre chispas y vapor.","ใน​ห้อง​นั้น สถาปนิก​แห่ง​เตาหลอม​กำลัง​ทุบตี ​ทำงาน​ท่ามกลาง​ประกาย​ไฟ​และ​ไอ​น้ำ","在那房間裡，熔核建師現在正反複敲打出火花和蒸氣。",1,""
41,"Incursion_FlameRoom2",38,"Audio/Dialogue/NPC/Alva/AV64.ogg","Puhuarte's hammer will continue to echo through the dark, I trust you have a reason for this? ","Le marteau de Puhuarte va continuer de résonner dans le noir. Vous pouvez m'expliquer pourquoi ?","Puhuartes Hammerschläge werden weiter durch die Dunkelheit hallen. Ich hoffe doch, dass Ihr Euch das gut überlegt habt?","プフアーテの鎚が暗闇で響き続けるわ。何か理由があるって信じてもいいかしら？","푸후알테의 망치가 어둠을 뚫고 끊임없이 울려댈 거야. 너, 이유가 있어서 이렇게 한 거라고 믿어도 되지?","O martelo de Puhuarte continuará a ecoar na escuridão, espero que você tenha uma razão para isso.","Молот Пухварте будет и дальше стучать в изнуряюще жаркой темноте. Скажи, на то были причины?","El martillo de Puhuarte seguirá resonando en la oscuridad. Confío en que tengas una razón para esto.","ค้อน​ของ​พูฮวาเท​จะ​ก้อง​อยู่​ใน​ความมืด​ต่อ​ไป ข้า​หวัง​ว่า​เจ้า​จะ​มี​เหตุผล​ที่​ดี​นะ?","普希瓦爾的敲打聲會持續回盪於黑暗，我相信你有理由這麼做？",1,""
42,"Incursion_FlameRoom3",39,"Audio/Dialogue/NPC/Alva/AV65.ogg","Your actions have allowed Puhuarte's imaginings to run free. What kinds of horrible devices were forged here within the flames?","Vos choix ont permis aux créations de Puhuarte de gambader librement dans cette salle. Quelles sortes d'engins horribles ont été forgés ici, dans les flammes ?","Durch Eure Handlungen steht Puhuartes Fantasien jetzt nichts mehr im Wege. Welche schrecklichen Apparaturen wohl in diesen Flammen geschmiedet wurden?","あなたの行動がプフアーテの想像力を解き放ったようね。この炎の中で、どんな恐ろしい装置が鍛造されたのかしら？","네 덕분에 푸후알테의 상상력이 끝을 모르고 뻗어 나가게 됐네. 그 불길 속에서 도대체 얼마나 끔찍한 물건들이 만들어지려나...","Suas ações permitiram que Puhuarte deixasse a imaginação livre. Quais tipos de dispositivos horríveis foram forjados aqui nestas chamas?","Твои действия позволили Пухварте воплотить свои самые смелые мечты. Кто знает, что за страшные устройства он выковал в этом пламени?","Tus acciones han permitido dar rienda suelta a la imaginación de Puhuarte. ¿Qué clase de artefactos horribles se forjaron aquí entre las llamas?","สิ่ง​ที่พูฮวาเท​สร้าง​ขึ้น​เพ่นพ่าน​ไป​ทั่ว​ด้วย​น้ำมือ​ของ​เจ้า เขา​ตี​อุปกรณ์​อัน​เลวร้าย​เช่นไร​ขึ้น​มา​ใน​ไฟ​นั่น​กัน​นะ?","你的行動讓普希瓦爾的思想解放。會有什麼樣恐怖的裝置會從這火焰誕生呢？",1,""
43,"Incursion_LightningRoom1",40,"Audio/Dialogue/NPC/Alva/AV66.ogg","That room now radiates with energy, Xopec, the Architect of Power has taken it.","L'électricité irradie maintenant dans cette salle. Cela signifie que Xopec, l'Architecte de l'Énergie, est désormais le maître des lieux.","Dieser Raum wird von Energie förmlich durchströmt, jetzt, da er im Besitz von Xopec, dem Architekten der Energie ist.","今その部屋はエネルギーを放っている。力のアーキテクトゾペックが確保したわね。","에너지로 가득한 방이었는데, 이제 힘의 건축가 조펙이 차지했구만.","Aquele salão agora irradia com energia, Xopec, o arquiteto do poder o tomou.","Этот зал отошёл Архитектору силы и светится от переполняющей его энергии Шопека.","Esa habitación ahora irradia con energía, Xopec, el Arquitecto de Poder la ha tomado.","ห้อง​นั้น​มี​พลังงาน​แผ่​ออก​มา​แล้ว โจเพค สถาปนิก​แห่ง​พลัง​อำนาจ​ยึด​ไป​แล้ว","那個房間散發著能量。能量建師柔派克已經接手它了。",1,""
44,"Incursion_LightningRoom2",41,"Audio/Dialogue/NPC/Alva/AV67.ogg","Xopec's experiments into electrical lifebloods came to crescendo in that room.","Les expériences de Xopec sur les forces vitales électriques ont gagné en intensité dans cette salle.","Xopecs Experimente an elektrischen Lebensformen haben in diesem Raum einen Höhepunkt erreicht.","あの部屋で行われているゾペックによる電気生命体の実験は、最高潮に達したわ。","전기적인 생명을 만드는 조펙의 실험이 최고조에 이른 거 같구만.","Os experimentos de Xopec com sangue vivo elétrico cresceu naquele salão.","В этом зале эксперименты Шопека с электрическими токами жизни достигли своего апогея.","Los experimentos de Xopec sobre la vitalidad eléctrica llegaron a su apogeo en esa habitación.","การ​ทดลอง​เรื่อง​พลัง​ชีวิต​ไฟฟ้า​ของ​โจเพค ตอน​นี้​ถึง​จุด​สูงสุด​จาก​ภายใน​ห้อง​นั้น​แล้ว","柔派克在那個房間實驗的電能命脈來到高峰。",1,""
45,"Incursion_LightningRoom3",42,"Audio/Dialogue/NPC/Alva/AV68.ogg","The powers you've let grow in Xopec, I wonder, how will they grow into the present?","Je me demande comment les pouvoirs de Xopec — que vous avez laissés croître en cette salle — vont se manifester dans le présent…","Die Kräfte, die Ihr in Xopec geweckt habt ... Ich frage mich, wie sich diese wohl in der Zukunft entwickeln?","ゾペックの中で高められたその力は、現在一体どうなっているのかしら？","네가 조펙에게 허락해준 힘 말이야. 그거... 지금쯤이면 도대체 얼마나 커졌을까?","Os poderes que você deixou crescer em Xopec, eu imagino, como eles crescerão no presente?","Твоими стараниями Шопек набрался сил. Даже интересно, насколько могущественным он стал в настоящем?","Los poderes que has dejado crecer en Xopec, me pregunto, ¿cómo crecerán en el presente?","พลัง​ที่​เจ้า​ปล่อย​ให้​โจเพคได้​สั่งสม ทำให้​ข้า​สงสัย​ว่า​มัน​จะ​สั่งสม​เป็น​เช่น​ไร​ใน​ปัจจุบัน​นี้?","你讓柔派克有能量成長，我好奇，他到現在成長到什麼模樣了？",1,""
46,"Incursion_EmpoweringRoom1",43,"Audio/Dialogue/NPC/Alva/AV69.ogg","Ah, giving that room to Quipolatl - an interesting choice. Must you always seek out a challenge, exile?","Vous avez donné cette salle à Quipolatl. Intéressant. Vous faut-il vraiment toujours prendre autant de risques ?","Ah, Ihr habt Euch also für Quipolatl entschieden - eine interessante Wahl. Ihr sucht immer nach neuen Herausforderungen, nicht wahr?","あら、クイポラトルに部屋を与えるなんて - 興味深い選択ね。常に挑戦を求めているのでしょう、エグザイル？","아, 퀴폴라틀에게 방을 주셨다라. 그거 재미있는 선택이네. 꼭 그렇게 어려운 길을 골라서 가야 하는지는 모르겠지만.","Ah, deu aquele salão para Quipolatl - uma escolha interessante. Você precisa mesmo achar sempre um desafio, exilado?","О-о, комнатка отошла Квиполатлю! Интересный выбор. Ты никогда не ищешь лёгких путей?","Ah, entregar la sala a Quinpolatl, una elección interesante. ¿acaso siempre tienes que buscar un desafío, exiliado?","อ้อ ยก​ห้อง​นั้น​ให้​กับ​คุยโปลาทัล... ก็​เป็น​ตัวเลือก​ที่​น่า​สนใจ​ดีนะ เจ้า​นี่​เสพติด​ความ​ท้าทาย​หรือ​ไง เอ็กไซล์?","喔，把房間交給克特帕托，有趣的選擇。你一定要總是尋求挑戰嗎，流亡者？",1,""
47,"Incursion_EmpoweringRoom2",44,"Audio/Dialogue/NPC/Alva/AV70.ogg","Quipolatl has a mind for the nexus, and with this action of yours, that mind continues to grow.","L'esprit de Quipolatl n'a d'yeux que pour le cœur du Temple, et cet esprit ne cesse de s'accroître à cause de votre choix.","Quipolatl ist mit dem Nexus verbunden, und durch diese Aktion wird diese Verbindung noch stärker.","クイポラトルは中核の心を手に入れ、そしてあなたの行動により、その心は成長し続けるわ。","퀴폴라틀은 연결이라는 주제에 관심이 많아. 그리고 네 덕분에 마음 놓고 그쪽 관심을 키울 수 있게 되었지.","Quipolatl tem sua mente no nexus, e com essa sua ação, sua mente continua a crescer.","Квиполатль готов думать только о сопряжении и теперь может себе это позволить.","Quipolatl tiene una mente para el nexo, y con tus acciones, esa mente continúa creciendo.","คุยโปลาทัล​มี​ปัญญา​เรื่อง​จุดศูนย์กลาง​มาก​เลย​นะ แล้ว​ที่​เจ้า​ทำ มัน​ให้​ปัญญา​นั่น​เติบโต​ขึ้น","克特帕托有著心靈的連結，有你這次的行動，心靈將會持續成長。",1,""
48,"Incursion_EmpoweringRoom3",45,"Audio/Dialogue/NPC/Alva/AV71.ogg","Gods, exile! You really want to make things difficult for us! Who knows what this part of the temple will be like in the future?","Par tous les dieux ! Vous tenez vraiment à nous rendre la tâche difficile ! Qui sait maintenant ce que cette partie du Temple nous réservera dans le futur ?","Du meine Güte! Für Euch kann der Weg nicht steinig genug sein, nicht wahr? Wer weiß, wie dieser Teil des Tempels in der Zukunft aussehen wird?","何てこと、エグザイル！物事を難しくしたいの！寺院のこの部分が将来どうなるかなんて、誰がわかるの？","맙소사, 유배자! 너 진짜 일 어렵게 만드는 거 좋아하는구나! 이 방이 나중에 뭐가 될 줄 알고 그러는 거야?","Deuses, exilado! Você realmente quer dificultar as coisas para si mesmo! Quem sabe como esta parte do templo será no futuro? ","Великие боги! Ты что, хочешь загнать нас в могилу? Кто знает, какой окажется эта часть храма в будущем!","¡Por los dioses exiliado! ¡Realmente quieres ponernos las cosas difíciles! ¿Quién sabe cómo será esta parte del templo en el futuro?","เทพ​ทรงโปรด​นะ​เอ็กไซล์! เจ้า​นี่​อยาก​ให้​ทุกอย่าง​ยาก​ขึ้น​สำหรับ​เรา​จริงๆ! ใคร​จะ​รู้​ว่า​ส่วน​นี้​ของ​วิหาร​จะ​เป็น​ยัง​ไง​ใน​อนาคต​ล่ะ?","我的老天鵝！你真的喜歡讓我們自找苦吃！誰知道這部分的神殿在未來知道會變成怎樣？",1,""
49,"Incursion_ExplosivesRoom1",46,"Audio/Dialogue/NPC/Alva/AV72.ogg","Hayoxi just wants to make things go <italic>{boom!} Instating them in that room... could be helpful to us.","Hayoxi n'a qu'une idée en tête : tout faire <italic>{péter}. Sachant cela, est-ce que lui permettre de venir ici… est vraiment une bonne chose ?","Hayoxi will Dinge einfach nur <italic>{in die Luft jagen!} Ihm diesen Raum zu überlassen könnte sich womöglich als nützlich erweisen.","ヘヨーヒは大体のことを<italic>{ドカーン}といきたいみたい。この部屋に配置すれば...役に立ちそうね。","하욕시는 그저 <italic>{쾅!} 하고 터지는 걸 만들고 싶어 할 뿐이지. 걔한테 방을 주는 건... 뭐, 우리한테 도움이 될지도 모르는 일이네.","Hayoxi só quer fazer as coisas explodirem! Colocando-as naquele salão... Pode ser de ajuda para nós? ","Хайоши интересуют только громкие <italic>{бабахи}. Передача зала ему... может помочь нам.","Hayoxi solo quiere que las cosas hagan <italic>{¡boom!} Colocarlas en esa habitación... podría sernos útil.","เฮโยคี​อยาก​ให้​ทุกอย่าง​ระเบิด<italic>{บึ้ม!} เท่านั้น การ​ทำให้​เขา​อยู่​ใน​ห้อง​นั้น... มัน​อาจ​มี​ประโยชน์​กับ​เรา","荷霖蔡只想要<italic>{BOOMBOOMBOOM}。把他安置在那個房間…對我們有幫助嗎？",1,""
50,"Incursion_ExplosivesRoom2",47,"Audio/Dialogue/NPC/Alva/AV73.ogg","Anyone would think you harbour the same lust for chaos as Hayoxi. Well, setting them up like this only increases their explosive arsenal.","On jurerait que vous nourrissez la même soif de chaos qu'Hayoxi, parce que lui permettre de s'établir ici ne fait qu'augmenter son arsenal d'explosifs.","Man könnte ja fast glauben, dass Ihr Hayoxis Leidenschaft für das Chaos teilt. Nun, wenn er sich hier ausbreitet, wird sein explosives Arsenal nur noch größer.","あなたがヘヨーヒと同じように混乱への欲望を抱いていると誰もが思うでしょうね。まあ、こんなことをしても彼らの爆発物が増えるだけだわ。","이러면 누구든 네가 하욕시처럼 온통 난리를 피우는 그런 욕망을 품고 있다고 생각할 거야. 걔를 밀어줘봤자 병기창에 폭발물 좀 많아지는 거 말고 뭐가 있겠어.","Qualquer um acharia que você tem a mesma queda para o caos que Hayoxi. Bem, deixando-o assim só aumentará seu arsenal de explosivos.","Вы с Хайоши определённо питаете одинаковую страсть к хаосу. Играя ему на руку, ты только увеличиваешь его запас взрывчатки.","Cualquiera pensaría que tienes el mismo deseo de caos que Hayoxi. Bueno, poniéndolos de esta manera solo aumenta su arsenal explosivo.","ใคร​จะ​คิด​ว่า​เจ้า​จะ​ชอบ​ความ​วุ่นวาย​เหมือน​เฮโยคี ก็นะ การ​จัด​เขา​แบบ​นี้​ยิ่ง​ทำให้​คลังระเบิด​ของ​เขา​มัน​ใหญ่​ขึ้น","任何人都會覺得你和荷霖蔡有著同樣混沌的慾望。那麼這樣設計他只會增加他們的爆炸性軍火庫。",1,""
51,"Incursion_ExplosivesRoom3",48,"Audio/Dialogue/NPC/Alva/AV74.ogg","At this rate, the mad bastard will have rigged the whole temple to blow.","À ce stade, ce timbré aura truffé tout le Temple d'explosifs pour le réduire en poussière.","Bei diesem Tempo hat der verrückte Bastard sicher schon den ganzen Tempel mit Sprengstoff bestückt.","このペースだと、あの狂人は寺院全体を吹き飛ばす仕掛けをするわ。","이런 식으로 나가다가는 그 미친놈이 사원 전체를 폭발시켜 날려버릴지도 몰라.","Desse jeito, esse infeliz maluco terá explodido todo o templo.","Теперь сумасшедшему ублюдку хватит взрывчатки, чтобы снести храм целиком.","A este paso, el loco bastardo habrá amañado todo el templo para que explote.","ถ้า​เป็น​แบบ​นี้​ต่อ​ไป เจ้า​บ้า​นั่น​จะ​ระเบิด​ทั้ง​วิหาร​ปลิว​ไป​นอก​โลก​ได้​แน่ๆ","照這樣的速度，那個瘋狂的混蛋會將整座神殿BANG不見。",1,""
52,"Incursion_GemRoom1",49,"Audio/Dialogue/NPC/Alva/AV75.ogg","Zalatl will surely reward us, if inadvertently, for placing them in control of that room.","Nul doute que Zalatl nous récompensera — à son insu, s'entend — pour lui avoir confié le contrôle de cette salle.","Zalatl wird uns, wenn auch eher unfreiwillig, dafür belohnen, dass Ihr ihm die Kontrolle über diesen Raum gegeben habt.","あの部屋を管理させれば、ザラトルは「うっかり」私たちに報酬をもたらすに違いないわ。","뭐 의도한 건 아니었겠다만... 아무튼 잘라틀은 자신에게 방을 넘겨준 일에 반드시 답을 해올 거야.","Zalatl com certeza nos recompensará, de forma descuidada, por colocá-lo no controle daquele salão.","Залатль наверняка вознаградит нас за помещение... пусть и сам того не желая.","Zalatl seguramente nos recompensará, aunque sea involuntariamente, por ponerlos en control de esa sala.","ซาลาทัล​จะ​ให้​รางวัล​เรา​แน่ แบบ​ไม่​ตั้งใจ​นะ ที่​ให้​เขา​คุม​ห้อง​นั้น","札爾特一定會獎勵我們，如果不小心，讓他們掌控了那個房間。",1,""
53,"Incursion_GemRoom2",50,"Audio/Dialogue/NPC/Alva/AV76.ogg","Both you and the Architect of Thaumaturgy share a love for gems, I see.","Je vois que vous partagez le même amour pour les gemmes que l'Architecte de la Thaumaturgie.","Ich verstehe, Euch und der Architekt der Thaumaturgie scheint eine Leidenschaft für Gemmen zu verbinden.","あなたと魔術のアーキテクトは両方ともジェムが好きみたいね。","너나 마석학의 건축가나 마석을 좋아하기로는 우열을 가리기 힘들겠는데.","Tanto o Arquiteto da Taumaturgia quanto você compartilham um amor pelas gemas.","Я смотрю, вы с Архитектором волшебства одинаково влюблены в самоцветы.","Tanto tú como Zalatl, Arquitecto de Taumaturgia, comparten el amor por las gemas, por lo que veo.","ทั้ง​เจ้า​และ​สถาปนิก​แห่ง​​มนต์มณี​ก็​ชอบ​อัญมณี​เหมือน​กัน​สินะ","我瞭了，魔系建師和你兩個人都對寶石情有獨鍾。",1,""
