"rownum","Id","HASH16","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Image","rid","i32","Mods","FlavorText (English)","FlavorText (French)","FlavorText (German)","FlavorText (Japanese)","FlavorText (Korean)","FlavorText (Portuguese)","FlavorText (Russian)","FlavorText (Spanish)","FlavorText (Thai)","FlavorText (Traditional Chinese)","i32","[rid]","rid","rid"
26,"KitavaLifeRegenerationWhileChannelling",13676,"Jawclamp Earrings","Mâchoires attaches d'oreilles","Ohrringe der Bissigkeit","顎締めのイヤリング","턱죔쇠 귀걸이","Brincos do Torno da Mandíbula","Серьги с зажимом","Pendientes de mordisco","ต่างหูกัดแน่น","鉗咬耳環","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/HeavyEarrings",7,250,[34805],"\""Bite down upon your master's throat, and die before you let go!\""","« Mordez votre maître à la gorge, et mourez plutôt que de lâcher prise ! »","\""Verbeisset Euch in die Kehle Eures Meisters und sterbt, bevor Ihr loslasst!\""\r\n","「主人の喉を噛み締め、離さずに死ね！」","\""네 주인의 목덜미를 물고, 죽기 전까지는 놓지 마라!\""","\""Se fraquejar, beba do meu sangue e continue lutando!\""","«Вгрызись в глотку своего хозяина, и умри скорее, чем её отпустишь!»","\""Muerde la garganta de tu maestro y muere antes de dejarlo marchar!\""","\""กัด​ลำ​คอ​เจ้านาย​ของ​แก​เสีย แล้ว​รีบ​ตาย​ก่อน​ที่​จะ​ได้​อ้า​ปาก\""","\""咬住你主人的喉嚨，在放手之前死去！\""",800,[],516,529
27,"KitavaNearbyEnemiesNoLifeRecovery",51103,"Noxious Fumes","Émanations toxiques","Giftige Dämpfe","有毒な煙","유독성 연기","Vapores Nocivos","Зловонный дым","Gases tóxicos","ไอพิษอันตราย","毒霧","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/IncenseBurner",7,500,[34806],"\""The guards will have no rest this night. When they tire, we strike...\""","« Les gardes n'auront pas droit au repos cette nuit. C'est quand ils seront épuisés que nous frapperons... »","\""Die Wachen werden heute Nacht keine Ruhe finden. Wenn sie ermüden, greifen wir an ...\""","「今夜は衛兵に休息はないだろう。疲れを見せれば、我々が襲い掛かる......」","\""오늘밤에는 경비병들이 쉬지 못할 것이다. 그들이 지치면 그때 공격한다...\""","\""Moda a mão do seu mestre e morra como um cão silvestre!\""","«Нынче ночью страже будет не до отдыха. Когда они умотаются, мы ударим...»","\""Los guardias no tendrán descanso esta noche. Cuando se cansen, atacaremos...\""","\""คืนนี้​พวก​ยาม​ไม่​ได้​นอน​แน่ พวก​มัน​เหนื่อย​ล้า​เมื่อไร เรา​ก็​เข้า​จู่โจม...\""","\""守衛們今晚將不得休息。當他們疲憊時，我們發動攻擊...\""",200,[],516,529
28,"RamakoMovementSpeed",46021,"Eternal Pursuit","Poursuite éternelle","Ewige Verfolgungsjagd","永遠の追いかけっこ","영원한 추적","Perseguição Eterna","Вечная погоня","Persecución eterna","ไล่ตามชั่วนิรันดร์","永恆追尋","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/CrystalLegband",8,300,"[34780,34778]","The Sun chases the Moon across the sky, thirsting for a momentary touch.","Le Soleil pourchasse la Lune à travers le ciel, assoiffé d'une caresse fugace.","Die Sonne jagt dem Mond über den Himmel nach, dürstend nach einer flüchtigen Berührung.","空を横切って太陽は月を追いかけ、一瞬の触れ合いを求める。","태양은 잠시나마 닿기를 바라며 하늘을 가로질러 달을 쫓는다.","\""Os guardas não descansarão esta noite. Quando cansarem, sentirão o açoite…\""","Солнце следует за Луной по небу, жаждая краткого соприкосновения.","El sol surca el cielo tras la luna, sediento por rozarla aunque sea un instante.","ดวงตะวัน​ไล่​ตาม​ดวงจันทร์​ไป​ทั่ว​ท้องฟ้า ใฝ่​หา​สัมผัส​เพียง​ชั่ว​ครู่","太陽在天空中追逐月亮，渴望短暫的觸摸。",1000,[],519,532
29,"RamakoTailwind",3916,"Queen's Inspiration","Inspiration de la Reine","Die Inspiration der Königin","女王の鼓舞","여왕의 영감","Inspiração da Rainha","Пример царицы","Inspiración de la reina","แรงบันดาลใจราชินี","女王的啟發","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/TuskBrooch",8,500,[34807],"Her courage was contagious.","Son courage était contagieux.","Ihr Mut war ansteckend.","彼女の勇気は、伝染した。","그녀의 용기에 다른 이들까지 감화되었다.","O Sol persegue a Lua pelo céu, ansiando por um toque momentâneo.","Её кураж был заразителен.","Su valentía era contagiosa.","ความ​กล้าหาญ​ของ​เธอ​นั้น​แพร่​กระจาย​ได้​ง่าย​นัก","她的勇氣是有感染力的。",300,[],519,532
30,"RamakoExtraProjectiles",19046,"Sun-blot Band","Anneau séché par le soleil","Band der Sonnenfinsternis","太陽を覆う帯","태양 가리개","Feixes de Manchas Solares","Кольцо затмения солнца","Franja parasol","แถบบังตะวัน","太陽痕戒","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/ArchersRing",8,250,[34808],"Let us graciously allow the enemy to fight in the shade.","Laissez-nous permettre gracieusement à l'ennemi de combattre à l'ombre.","Lasst uns großmütig sein und dem Feind erlauben, im Schatten zu kämpfen.","敵が日陰で戦うことを寛大に許そうじゃないか。","적에게 그늘에서 싸우는 은혜를 베풀리라.","Sua coragem era contagiante.","Любезно позволим противнику драться в тени.","Seamos magnánimos y dejemos que el enemigo luche en la sombra.","เรา​จง​เมตตา​ให้​ศัตรู​ได้​ต่อสู้​ใน​ที่​ร่ม​กัน​เถิด","讓我們寬容地讓敵人在陰影中戰鬥。",600,[],519,532
31,"RamakoSpeedWhileEnemiesInCloseRange",25414,"Sniper's Gambit","Stratagème du tireur d'élite","Kunst des Scharfschützen","狙撃手の策略","저격수의 책략","Estratégia do Atirador","Снайперский гамбит","Gambito del tirador","เดิมพันนักซุ่มยิง","狙擊手的賭注","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/ShellAnkleBrace",8,200,[34827],"Clever archers always have a trick in reserve.","Les archers malins ont toujours plus d'un tour dans leur sac.","Clevere Bogenschützen haben immer einen Trick in Reserve.","賢い射手は常にトリックを準備している。","영리한 궁수들은 언제나 묘책을 준비해 둔다.","Arqueiros inteligêntes sempre tem uma carta na manga.","У ловких лучников всегда есть уловка в запасе.","Los arqueros inteligentes siempre tienen un truco bajo la manga.","มือธนู​ที่​หลักแหลม​ย่อม​มี​เล่ห์เหลี่ยม​เตรียม​ไว้​เสมอ","聰明的弓箭手總是留有後手。",600,[],519,532
32,"TukohamaBonusesOnLowLife",35359,"Ancestral Defiance","Bravade ancestrale","Trotz der Ahnen","先祖の反抗","선대의 저항","Desafio Ancestral","Родовое упрямство","Desafío ancestral","บรรพชนแข็งขืน","祖靈的反抗","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/ScreamingTotem",9,250,[34828],"The warriors of the Tukohama Tribe call the brink of death home.","Les guerriers de la tribu de Tukohama considèrent le seuil de la mort comme leur demeure.","Die Krieger vom Stamm des Tukohama nennen den Rand des Todes ihr Zuhause.","トゥコハマの部族の戦士は死の淵を故郷と呼ぶ。","투코하마 부족의 전사들은 죽음이 닥쳐오는 상황에도 집에 있는 것처럼 편하다.","Os guerreiros da Tribo de Tukohama fizeram da beira da morte o seu lar.","Воины Тукохамы привыкли быть на волосок от смерти.","Los guerreros de la tribu Tukohama llaman hogar al filo de la muerte.","นักรบ​เผ่า​ทูโคฮาม่า​เรียก​ยาม​ใกล้​ตาย​ว่า​บ้านเกิด","圖克哈瑪部落的戰士們把死亡的邊緣當作家。",1000,[],518,531
33,"TukohamaTotemDamageTakenWhileChannelling",49694,"Massive Chisel","Burin massif","Gewaltiger Meißel","巨大なノミ","거대한 끌","Cinzel Gigantesco","Тяжёлый резец","Cincel gigante","สิ่วยักษ์","巨型挖鑿","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/TotemChisel",9,500,[34809],"Ancestral wood splinters freely under the heavy weight of jade.","Le bois ancestral se fend avec aisance sous le lourd poids du jade.","Das Holz der Vorfahren splittert leicht unter dem schweren Gewicht von Jade.","先祖の木は翡翠の重みで自在に裂ける。","선대의 나무가 무거운 비취 추 아래 자유로이 쪼개진다.","Os guerreiros da Tribo de Tukohama fizeram da beira da morte o seu lar.","Древесина предков легко колется под тяжестью нефрита.","La madera ancestral se astilla completamente bajo el gran peso del jade.","ท่อน​ไม้​บรรพชน​แตก​เศษ​ได้​ง่ายดาย​ภาย​ใต้​หยก​อัน​หนัก​อึ้ง","祖先的木材在玉石的重壓下恣意破裂。",400,[],518,531
34,"TukohamaAdrenalineForOffensiveTeammates",39990,"War Venom","Venin de guerre","Gift des Krieges","ウォーヴェノム","전쟁의 독액","Veneno de Guerra","Ратный токсин","Veneno de guerra","พิษสงคราม","戰爭毒液","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SnakeToothSyringe",9,500,[34829],"The fire in the blood is like no other thrill.","Le feu dans les veines est le plus grand frisson qui soit.","Das Feuer im Blut ist ein unvergleichlicher Nervenkitzel.","血の中の火は他のスリルには代え難い。","핏속의 불길은 비할 데 없는 전율을 선사한다.","A madeira ancestral se fragmenta livremente sob o grande peso da jade.","Огонь в крови бодрит как ничто другое.","La sensación del fuego recorriendo la sangre es algo increíble.","ไม่มี​สิ่ง​ใด​ที่​ตื่นเต้น​เร้าใจ​ไป​กว่า​ไฟ​ที่​คุกรุ่น​ใน​โลหิต","血液中的火焰不同於其他的刺激。",400,[],518,531
35,"TukohamaDebilitate",13383,"Jade Blade","Lame de jade","Jadeklinge","翡翠の刃","비취 칼날","Lâmina de Jade","Нефритовое лезвие","Filo de jade","ใบมีดหยก","翡翠之刃","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/JadeBlade",9,250,[34830],"A true warrior is never unarmed.","Un vrai guerrier n'est jamais sans arme.","Ein wahrer Krieger ist nie unbewaffnet.","真の戦士は丸腰には決してならない","진정한 전사는 늘 무기를 곁에 둔다.","Não há sensação melhor do que o fogo no sangue.","Настоящий воин всегда при оружии.","Un verdadero guerrero nunca está desarmado.","นักรบ​ตัวจริง​ไม่​เคย​สิ้น​ซึ่ง​อาวุธ","一個真正的戰士永遠不會手無寸鐵。",1000,[],518,531
36,"RongokuraiCannotBeSlowed",17619,"Turtle Trinket","Colifichet de tortue","Schmuck der Schildkröte","亀の装身具","거북이 장신구","Adereço da Tartaruga","Черепашья подвеска","Baratija de tortuga","เครื่องประดับเต่า","海龜護符","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/TurtleShell",10,150,[34810],"Slow and steady wins the race.","Plus on se hâte, moins on avance.","Langsam und beständig, so gewinnt man das Rennen.","ゆっくりと着実にレースに勝つ。","천천히 차근차근 나아가는 이가 경주에서 승리하는 법이다.","Um verdadeiro guerreiro nunca está desarmado.","Тише едешь – дальше будешь.","Despacito y con constancia se gana la carrera.","ช้าๆ ได้​พร้า​เล่ม​งาม","緩慢而穩健地贏得比賽。",1000,[],517,530
37,"RongokuraiStunOnRespawn",20122,"Emerging Bellow","Rugissement fulgurant","Aufsteigendes Gebrüll","現れた怒号","드러나는 고함","Rugido Emergente","Гудящая горлянка","Rugido emergente","แผดเสียงปรากฏกาย","新生的咆哮","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/HuntingCharm",10,150,[34811],"\""Get out of my way!\""","« Hors de mon chemin ! »","\""Aus dem Weg mit Euch!\""","「邪魔をするな！」","\""내 앞길을 막지 마라!\""","Devagar e sempre é a estratégia para a vitória.","«Прочь с дороги!»","\""¡Fuera de mi camino!\""","\""หลบ​ไป​ให้​พ้น!\""","\""給我讓開！\""",1000,[],517,530
38,"RongokuraiKnockback",14654,"Goliath Knuckle","Poing du goliath","Knöchel des Goliath","ゴライアスの拳","거인 너클","Punho do Gigante","Исполинский кастет","Nudillo de Goliat","สนับมือยักษ์","巨人指節","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/KnuckleDusterRing",10,200,[34781],"Simple, but effective.","Simple, mais efficace.","Einfach, aber wirkungsvoll.","単純、だが効果的。","단순하지만 효과적이다.","\""Saia do meu caminho!\""","Простой, но эффективный.","Simple, pero eficaz.","เรียบ​ง่าย ได้​ประสิทธิภาพ","簡單但有效。",400,[],517,530
39,"RongokuraiTotemLife",6272,"Nightguard","Garde nocturne","Nachtwache","ナイトガード","밤의 수호","Guarda Noturno","Ночной страж","Guardia de la noche","เครื่องพิทักษ์ราตรี","守夜者","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/CarvedBreastplate",10,300,"[34812,34814]","Rongokurai gifts his strength to protect the weak.","Rongokurai fait don de sa force pour protéger les faibles.","Rongokurai gewährt seine Stärke, um die Schwachen zu beschützen.","ロンゴクライは弱き者を守るための彼の強さを与えた。","롱고쿠라이는 약자를 보호하는 이에게 자신의 힘을 내어준다.","Simples, mas eficaz.","Ронгокураи дарует свою силу в защиту слабых.","Rongokurai dona su fuerza para proteger a los débiles.","รอนโกคูรัย​มอบ​พละ​กำลัง​เพื่อ​ปกป้อง​ผู้​อ่อนแอ","隆格庫萊將他的力量奉獻給保護弱者。",800,[],517,530
40,"NoTribeColdResistance",30044,"Summer Charm","Charme estival","Amulett des Sommers","夏のチャーム","여름 부적","Amuleto do Verão","Талисман лета","Amuleto veraniego","ของขลังฤดูร้อน","夏季護符","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/RainDoll",0,150,[34817],"Remember the days that were not so grim and cold as today.","Souvenez-vous des jours bien moins froids et sinistres qu'aujourd'hui.","Erinnert Euch an die Zeit, in der die Tage nicht so kalt und düster waren wie heute.","今日ほど厳しくも寒くもなかった日々を思い出せ。","오늘처럼 음울하고 춥지 않았던 날들을 기억하라.","Rongokurai empresta sua força para proteger os fracos.","Вспомни дни не столь мрачные и холодные, как сегодняшний.","Recuerda los días que no eran tan grises y fríos como hoy.","จดจำ​วัน​วาน​ที่​ไม่​มืดมน​หนาว​เหน็บ​เช่น​วัน​นี้","記得那些並不像今天這麼陰暗和寒冷的日子。",800,[],517,530
41,"NoTribeLife",29574,"Tough Snack","Collation coriace","Zäher Bissen","固いスナック","질긴 간식","Lanche Árduo","Жёсткая закуска","Aperitivo correoso","ของว่างหนังเหนียว","硬乾糧","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/RhoaSteak",0,250,[34813],"The long chew is half the satisfaction.","Son temps de mastication représente la moitié du plaisir qu'elle procure.","Langes Kauen ist der halbe Genuss.","長い咀嚼は満足の半分。","음식 맛은 씹는 맛이 절반이다.","Lembre-se dos dias que não foram tão obscuros e frios como hoje.","В долгом пережёвывании половина удовольствия.","Masticarlo es la mitad de la satisfacción.","ยิ่ง​เคี้ยว​นาน​ยิ่ง​อร่อย","長時間的咀嚼是滿足的一半。",1000,[],535,534
42,"NoTribeDamage",4997,"Barbed Dagger","Dague barbelée","Dorniger Dolch","返し付きの短剣","가시 돋친 단검","Punhal Farpado","Зазубренный кинжал","Daga con púas","มีดติดหนาม","銳刺匕首","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/TeethCharm",0,400,[34818],"For enemies you do not respect.","Destinée aux ennemis pour lesquels vous n'avez aucun respect.","Feinde respektiert man nicht.","あなたが尊敬できない敵のために。","그대가 존중하지 않는 적에게 이 선물을 안겨주어라.","Uma longa mastigada causa metade da satisfação.","Для врагов, к которым нет почтения.","Para los enemigos que no merecen tu respeto.","มี​ไว้​ให้​กับ​ศัตรู​ที่​เจ้า​ไม่​เคารพ","給你不尊重的敵人。",500,[],517,530
43,"NoTribeRespawnRate",32989,"Battle Call","Appel de la bataille","Schlachtruf","バトルコール","전투의 부름","Grito de Batalha","Зов битвы","Llamada a la batalla","เสียงเรียกศึก","戰鬥號令","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/ConchTrumpet",0,250,[34816],"If you hear the call, you must answer.","Si vous entendez l'appel, vous devez y répondre.","Hört Ihr den Ruf, so müsst Ihr antworten.","招集を聞いたら、応えなければならない。","부름을 들은 자, 이에 답해야 하느니.","Para os inimigos que você não respeita.","Если слышишь зов, ты должен ответить.","Si oyes la llamada, debes acudir.","หาก​เจ้า​ได้ยิน​เสียง​นี้ เจ้า​จะ​ต้อง​ตอบ​รับ","如果你聽到呼喚，你必須回答。",500,[],517,530
44,"NoTribeTotemLife",15920,"Albino Weta","Weta albinos","Weißer Weta","アルビノウェタ","흰 웨타","Weta Albino","Белый кузнечик","Weta albino","เวตาผิวเผือก","白化尾蟲","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/AlbinoWeta",0,400,[34815],"A blessing upon all those trees touched by the sacred spirit.","Tous les arbres touchés par l'esprit sacré sont bénis.","Ein Segen für alle Bäume, die vom geheiligten Geist berührt wurden.","神聖な霊魂に触れられたすべての木々に祝福を。","성스러운 혼백의 손길이 닿은 모든 나무에 축복이 내린다.","Se ouvir o chamado, terá que atender.","Благословение для всех деревьев, которых коснулся священный дух.","Este espíritu sagrado es una bendición para todos los árboles que toca.","ต้นไม้​ทุก​ต้น​รับ​พร​จาก​สัมผัส​แห่ง​วิญญาณ​ศักดิ์ศิทธิ์","祝福所有被神靈觸摸過的樹木。",500,[],517,530
