"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","SiteVisibility","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool","rid","rid","bool","TradeMarketCategory","Unmodifiable","Achievement"
447,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionAcidWeapon",40,1,1,"Acid Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,286,1902053682,[],"","","",[],[],"","","","","","","",[]
448,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionVerdantWeapon",40,1,1,"Verdant Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,287,-1889094381,[],"","","",[],[],"","","","","","","",[]
449,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionNecroticWeapon",40,1,1,"Necrotic Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,288,710341476,[],"","","",[],[],"","","","","","","",[]
450,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionVampiricWeapon",40,1,1,"Vampiric Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,289,-1195535367,[],"","","",[],[],"","","","","","","",[]
451,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTurquoiseWeapon",40,1,1,"Turquoise Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,290,899578160,[],"","","",[],[],"","","","","","","",[]
452,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionEbonyWeapon",40,1,1,"Ebony Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,291,1441453336,[],"","","",[],[],"","","","","","","",[]
453,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBlueWeapon",40,1,1,"Azure Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,292,1776479646,[],"","","",[],[],"","","","","","","",[]
454,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGreenWeapon",40,1,1,"Emerald Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,293,-1999313355,[],"","","",[],[],"","","","","","","",[]
455,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPurpleWeapon",40,1,1,"Lavender Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,294,1262444634,[],"","","",[],[],"","","","","","","",[]
456,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionRedWeapon",40,1,1,"Crimson Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,295,286953513,[],"","","",[],[],"","","","","","","",[]
457,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionWhiteWeapon",40,1,1,"White Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,296,-449221685,[],"","","",[],[],"","","","","","","",[]
458,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionYellowWeapon",40,1,1,"Yellow Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,296,529388771,[],"","","",[],[],"","","","","","","",[]
459,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHeartWeapon",40,2,2,"Valentine's Heart Weapon Effect (2013)","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,298,-159915739,[],"","","",[],[],"","","","","","","",[]
460,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHeartWeapon2014",40,2,2,"Valentine's Heart Weapon Effect (2014)","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,298,2049500235,[],"","","",[],[],"","","","","","","",[]
461,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHeartWeapon2015",40,2,2,"Valentine's Heart Weapon Effect (2015)","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,298,2067346052,[],"","","",[],[],"","","","","","","",[]
462,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionIvoryWeapon",40,1,1,"Ivory Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,299,1670966333,[],"","","",[],[],"","","","","","","",[]
463,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionRegalWeapon",40,1,1,"Regal Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,300,1306897177,[],"","","",[],[],"","","","","","","",[]
464,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDivineWeapon",40,1,1,"Divine Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,301,715224834,[],"","","",[],[],"","","","","","","",[]
465,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionExaltedWeapon",40,1,1,"Exalted Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,302,1674802697,[],"","","",[],[],"","","","","","","",[]
466,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionEternalWeapon",40,1,1,"Eternal Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,303,742041502,[],"","","",[],[],"","","","","","","",[]
467,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionArcticWeapon",40,1,1,"Arctic Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,304,1996781695,[],"","","",[],[],"","","","","","","",[]
468,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionInfernalWeapon",40,1,1,"Infernal Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,305,-900089394,[],"","","",[],[],"","","","","","","",[]
469,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionLightningWeapon",40,1,1,"Lightning Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,306,-1269167666,[],"","","",[],[],"","","","","","","",[]
470,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphWeapon",40,1,1,"Seraph Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,307,-1201049453,[],"","","",[],[],"","","","","","","",[]
471,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGhostFlameWeapon",40,1,1,"Ghostflame Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,308,-1476514313,[],"","","",[],[],"","","","","","","",[]
472,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCarnageWeapon",40,1,1,"Carnage Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,309,-1796981565,[],"","","",[],[],"","","","","","","",[]
473,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionInfernalFootprints",40,1,1,"Infernal Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,310,-890322445,[],"","","",[],[],"","","","","","","",[]
474,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionLightningFootprints",40,1,1,"Lightning Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,311,-257379460,[],"","","",[],[],"","","","","","","",[]
475,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionArcticFootprints",40,1,1,"Arctic Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,312,-1920828538,[],"","","",[],[],"","","","","","","",[]
476,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionEbonyFootprints",40,1,1,"Ebony Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,313,1427353266,[],"","","",[],[],"","","","","","","",[]
477,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionVampiricFootprints",40,1,1,"Vampiric Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,314,1648295367,[],"","","",[],[],"","","","","","","",[]
478,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionRadiantFootprints",40,1,1,"Radiant Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,315,-1907168983,[],"","","",[],[],"","","","","","","",[]
479,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionNecroticFootprints",40,1,1,"Necrotic Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,316,489657431,[],"","","",[],[],"","","","","","","",[]
480,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGoreFootprints",40,1,1,"Gore Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,317,-531411395,[],"","","",[],[],"","","","","","","",[]
481,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionRazerFootprints",40,1,1,"Razer Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,318,722487480,[],"","","",[],[],"","","","","","","",[]
482,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphFootprints",40,1,1,"Seraph Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,319,996866746,[],"","","",[],[],"","","","","","","",[]
483,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionReaperFootprints",40,1,1,"Reaper Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,320,532977073,[],"","","",[],[],"","","","","","","",[]
484,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionVerdantFootprints",40,1,1,"Verdant Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,321,-1610056409,[],"","","",[],[],"","","","","","","",[]
485,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGhostFlameFootprints",40,1,1,"Ghostflame Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,322,-1349506024,[],"","","",[],[],"","","","","","","",[]
486,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGhostFlameSkull",40,1,1,"Ghostflame Skull","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,323,954042351,[],"","","",[],[],"","","","","","","",[]
487,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSkullHelmet1",40,1,1,"Engraved Skull","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,324,-283579596,[],"","","",[],[],"","","","","","","",[]
488,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSkullHelmet5",40,1,1,"Crystallised Skull","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,325,-1503458782,[],"","","",[],[],"","","","","","","",[]
489,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSkullHelmet2",40,1,1,"Ornamental Skull","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,326,-93027548,[],"","","",[],[],"","","","","","","",[]
490,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSkullHelmet3",40,1,1,"Summer Skull","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,327,1635029630,[],"","","",[],[],"","","","","","","",[]
491,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSkullHelmet4",40,1,1,"Golden Skull","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,328,1429115586,[],"","","",[],[],"","","","","","","",[]
492,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionWings1",40,2,2,"Exile's Essentials Back Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,346,-894297712,[],"","","",[],[],"","","","","","","",[]
493,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSack1",40,2,2,"Holiday Present Sack Back Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,347,-311734925,[],"","","",[],[],"","","","","","","",[]
494,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSupporterWings1",40,2,2,"Survivor's Supplies Back Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,348,-1483525242,[],"","","",[],[],"","","","","","","",[]
495,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSupporterWings2",40,2,2,"Warrior's Mark Back Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,349,1952187367,[],"","","",[],[],"","","","","","","",[]
496,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSupporterWings3",40,2,2,"Champion's Hour Back Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,350,-2083829957,[],"","","",[],[],"","","","","","","",[]
497,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSupporterWings4",40,2,2,"Conqueror's Reign Back Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,351,1219873222,[],"","","",[],[],"","","","","","","",[]
498,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPortal1",40,2,2,"Orange Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,352,-815572266,[],"","","",[],[],"","","","","","","",[]
499,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCrimsonPortal",40,2,2,"Crimson Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,353,-1585848338,[],"","","",[],[],"","","","","","","",[]
500,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPortalSteam1",40,2,2,"Steam1 Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,354,-947437669,[],"","","",[],[],"","","","","","","",[]
501,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPortalSteam2",40,2,2,"Steam-powered Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,355,327772588,[],"","","",[],[],"","","","","","","",[]
502,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPortalSteam3",40,2,2,"Voidgate Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,356,1095789351,[],"","","",[],[],"","","","","","","",[]
503,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPortalAtziri",40,2,2,"Atziri Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,353,-594185692,[],"","","",[],[],"","","","","","","",[]
504,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPortalBlackHole",40,2,2,"Black Hole Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,357,-66608607,[],"","","",[],[],"","","","","","","",[]
505,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSupporterPortal1",40,2,2,"Survivor's Respite Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,358,-1729086190,[],"","","",[],[],"","","","","","","",[]
506,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSupporterPortal2",40,2,2,"Warrior's Assault Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,359,1664841791,[],"","","",[],[],"","","","","","","",[]
507,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSupporterPortal3",40,2,2,"Champion's Arrival Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,360,-500274465,[],"","","",[],[],"","","","","","","",[]
508,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSupporterPortal4",40,2,2,"Conqueror's Campaign Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,361,1123925602,[],"","","",[],[],"","","","","","","",[]
509,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionShaperPortal",40,2,2,"Shaper Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,362,1669210237,[],"","","",[],[],"","","","","","","",[]
510,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionElderPortal",40,2,2,"Elder Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,363,1156311784,[],"","","",[],[],"","","","","","","",[]
511,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTestCharacterPortrait",40,2,2,"Test Character Portrait","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,364,1999222857,[],"","","",[],[],"","","","","","","",[]
512,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTestCharacterPortrait2",40,2,2,"Test Character Portrait 2","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,364,-1293667411,[],"","","",[],[],"","","","","","","",[]
513,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSupporterPortraitFrame1",40,2,2,"Warrior Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,364,-470881401,[],"","","",[],[],"","","","","","","",[]
514,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSupporterPortraitFrame2",40,2,2,"Champion Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,365,-975051957,[],"","","",[],[],"","","","","","","",[]
515,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSupporterPortraitFrame3",40,2,2,"Conqueror Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,366,2035841974,[],"","","",[],[],"","","","","","","",[]
516,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSupporterPortraitFrame4",40,2,2,"Journeyman Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,367,-1529793966,[],"","","",[],[],"","","","","","","",[]
517,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSupporterPortraitFrame5",40,2,2,"Master Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,368,-2105843449,[],"","","",[],[],"","","","","","","",[]
518,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSupporterPortraitFrame6",40,2,2,"Grandmaster Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,369,-942974656,[],"","","",[],[],"","","","","","","",[]
519,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphBody",40,2,2,"Seraph Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,370,-1252464835,[],"","","",[],[],"","","","","","","",[]
520,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphBoots",40,2,2,"Seraph Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,371,-1775893035,[],"","","",[],[],"","","","","","","",[]
521,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphGloves",40,2,2,"Seraph Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,372,396259177,[],"","","",[],[],"","","","","","","",[]
522,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphHelmet",40,2,2,"Seraph Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,373,236234334,[],"","","",[],[],"","","","","","","",[]
523,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphBattleWings",40,2,2,"Seraph Battle Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,374,717631348,[],"","","",[],[],"","","","","","","",[]
524,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphBodyMetal",40,2,2,"Elite Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,375,-1354464454,[],"","","",[],[],"","","","","","","",[]
525,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphBootsMetal",40,2,2,"Elite Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,376,-886557726,[],"","","",[],[],"","","","","","","",[]
526,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphHelmetMetal",40,2,2,"Elite Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,378,1763059574,[],"","","",[],[],"","","","","","","",[]
527,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphGlovesMetal",40,2,2,"Elite Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,377,1274040931,[],"","","",[],[],"","","","","","","",[]
528,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphBodyAlabaster",40,2,2,"Alabaster Seraph Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,379,254688603,[],"","","",[],[],"","","","","","","",[]
529,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphBootsAlabaster",40,2,2,"Alabaster Seraph Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,380,1574635558,[],"","","",[],[],"","","","","","","",[]
530,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphHelmetAlabaster",40,2,2,"Alabaster Seraph Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,382,837249944,[],"","","",[],[],"","","","","","","",[]
531,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphGlovesAlabaster",40,2,2,"Alabaster Seraph Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,381,1377665786,[],"","","",[],[],"","","","","","","",[]
532,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphBodyCerulean",40,2,2,"Cerulean Seraph Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,383,-1142541498,[],"","","",[],[],"","","","","","","",[]
533,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphBootsCerulean",40,2,2,"Cerulean Seraph Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,384,-339578756,[],"","","",[],[],"","","","","","","",[]
534,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphGlovesCerulean",40,2,2,"Cerulean Seraph Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,385,-709910217,[],"","","",[],[],"","","","","","","",[]
535,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphHelmetCerulean",40,2,2,"Cerulean Seraph Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,386,1520599942,[],"","","",[],[],"","","","","","","",[]
536,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphBodyGolden",40,2,2,"Golden Seraph Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,387,-1388690766,[],"","","",[],[],"","","","","","","",[]
537,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphBootsGolden",40,2,2,"Golden Seraph Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,388,700747120,[],"","","",[],[],"","","","","","","",[]
538,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphGlovesGolden",40,2,2,"Golden Seraph Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,389,647924184,[],"","","",[],[],"","","","","","","",[]
539,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphHelmetGolden",40,2,2,"Golden Seraph Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,390,752313284,[],"","","",[],[],"","","","","","","",[]
540,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphBodyObsidian",40,2,2,"Obsidian Seraph Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,391,-309258488,[],"","","",[],[],"","","","","","","",[]
541,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphBootsObsidian",40,2,2,"Obsidian Seraph Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,392,-1820802558,[],"","","",[],[],"","","","","","","",[]
542,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphGlovesObsidian",40,2,2,"Obsidian Seraph Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,393,2132457078,[],"","","",[],[],"","","","","","","",[]
543,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphHelmetObsidian",40,2,2,"Obsidian Seraph Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,394,1952767627,[],"","","",[],[],"","","","","","","",[]
544,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphBodySanguine",40,2,2,"Sanguine Seraph Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,395,-441237223,[],"","","",[],[],"","","","","","","",[]
545,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphBootsSanguine",40,2,2,"Sanguine Seraph Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,396,-1331155358,[],"","","",[],[],"","","","","","","",[]
546,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphGlovesSanguine",40,2,2,"Sanguine Seraph Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,397,-1567703250,[],"","","",[],[],"","","","","","","",[]
547,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSeraphHelmetSanguine",40,2,2,"Sanguine Seraph Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,398,-1761305179,[],"","","",[],[],"","","","","","","",[]
548,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionArcaneBody",40,2,2,"Arcane Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,399,-1089146288,[],"","","",[],[],"","","","","","","",[]
549,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionArcaneBoots",40,2,2,"Arcane Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,400,1570944429,[],"","","",[],[],"","","","","","","",[]
550,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionArcaneGloves",40,2,2,"Arcane Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,401,579135332,[],"","","",[],[],"","","","","","","",[]
551,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionArcaneHelmet",40,2,2,"Arcane Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,402,-254765721,[],"","","",[],[],"","","","","","","",[]
552,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionVampiricBody",40,2,2,"Vampiric Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],34,0,403,205887095,[],"","","",[],[],"","","","","","","",[]
