"rownum","Id","Icon_DDSFile","Stats","Stat1Value","Stat2Value","Stat3Value","Stat4Value","PassiveSkillGraphId","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Characters","IsKeystone","IsNotable","FlavourText (English)","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","IsJustIcon","AchievementItem","IsJewelSocket","AscendancyKey","IsAscendancyStartingNode","ReminderStrings","SkillPointsGranted","IsMultipleChoice","IsMultipleChoiceOption","Stat5Value","PassiveSkillBuffs","GrantedEffectsPerLevel","IsAnointmentOnly","i32","IsExpansion","IsProxyPassive","SkillType","MasteryGroup","Group","SoundEffect"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","i32","i32","i32","i32","i32","bool","[rid]","i32","[rid]","bool"
1458,"AscendancyElementalist11","Art/2DArt/SkillIcons/passives/Elementalist/PendulumOfDestruction.dds","[13292,13293]",1,60,0,0,57197,"Heart of Destruction","Cœur de la Destruction","Herz der Zerstörung","破壊の中心","파괴의 심장","Coração da Destruição","Сердце разрушения","Corazón de la destrucción","Heart of Destruction","毀滅之心",[],"",1,"","","","","","","","","","","",6954,"",7,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",257,0,0,0,0,"",[12930],0,[],""
1459,"AscendancyElementalist12","Art/2DArt/SkillIcons/passives/Elementalist/IridescentFlesh.dds","[13278,13266,7696]",20,1,1,0,4917,"Bastion of Elements","Bastion des Éléments","Schutz der Elemente","元素の要塞","원소의 보루","Bastião dos Elementos","Бастион стихий","Bastión de los elementos","Bastion of Elements","元素壁壘",[],"",1,"","","","","","","","","","","",6954,"",7,"",[],0,"","",0,[],45667,"",0,"","",0,"","","","","","","","","","","","","",5121,256,0,0,0,"","[13278,13266]",0,[],""
1460,"AscendancyElementalist13","Art/2DArt/SkillIcons/passives/Elementalist/ElementalDamageElementalResistances.dds","[486,141]",10,6,0,0,47873,"Elemental Damage and Resistances","Résistances et Dégâts élémentaires","Elementarschaden und Widerstände","元素ダメージ・耐性","원소 피해 및 저항","Dano Elemental e Resistências","Урон от стихий и сопротивления стихиям","Daño y resistencias elementales","ความเสียหายและค่าต้านทานธาตุ","元素傷害和抗性",[],"","","","","","","","","","","","","","","",7,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1461,"AscendancyElementalist14","Art/2DArt/SkillIcons/passives/Elementalist/ElemancerIcon.dds","[2888,10228,7643]",1,1,25,0,258,"Elemancer","Élémancienne","Herrscherin der Elemente","エレマンサー","원소 골렘술사","Elemante","Повелитель стихий","Elementalismo","Elemancer","元能者",[],"",1,"","","","","","","","","","","",6954,"",7,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",257,6400,0,0,0,"","[2888,7643]",0,[],""
1462,"AscendancyElementalist15","Art/2DArt/SkillIcons/passives/Elementalist/ElementalDamageFreezeShockIgnite.dds","[486,10173]",10,4,0,0,12738,"Elemental Damage, Fire Damage over Time Multiplier","Dégâts élémentaires ; Multiplicateur de Dégâts de feu sur la durée","Elementarschaden, Multiplikator für Feuerschaden über Zeit","元素ダメージおよび火継続ダメージ倍率","원소 피해, 지속 화염 피해 배율","Dano Elemental, Multiplicador de Dano de Fogo","Урон от стихий, множитель постепенного урона от огня","Daño elemental, daño degenerativo de fuego","ความเสียหายธาตุ, ตัวคูณความเสียหายไฟต่อเนื่อง","元素傷害、火焰持續傷害加成",[],"","","","","","","","","","","","","","","",7,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1463,"AscendancyElementalist16","Art/2DArt/SkillIcons/passives/Elementalist/ElementalDamageFreezeShockIgnite.dds","[486,12421]",10,10,0,0,58998,"Elemental Damage, Lightning Ailment Effect","Dégâts élémentaires ; Effet des Altérations de foudre","Elementarschaden, Wirkung von Blitz-Beeinträchtigungen","元素ダメージおよび雷系状態異常効果","원소 피해, 번개 상태 이상 효과","Dano Elemental, Efeito de Afecção de Raio","Урон от стихий, эффект состояний молнии","Daño elemental, efecto de estados alterados de rayo","ความเสียหายธาตุ, ผลของเจ็บป่วยสายฟ้า","元素傷害、閃電異常狀態效果",[],"","","","","","","","","","","","","","","",7,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1464,"AscendancyElementalist17","Art/2DArt/SkillIcons/passives/Elementalist/ElementalDamageFreezeShockIgnite.dds","[486,12420]",10,10,0,0,12475,"Elemental Damage, Cold Ailment Effect","Dégâts élémentaires ; Effet des Altérations de froid","Elementarschaden, Wirkung von Kälte-Beeinträchtigungen","元素ダメージおよび冷気系状態異常効果","원소 피해, 냉기 상태 이상 효과","Dano Elemental, Efeito de Afecção de Gelo","Урон от стихий, эффект состояний холода","Daño elemental, efecto de estados alterados de hielo","ความเสียหายธาตุ, ผลของเจ็บป่วยน้ำแข็ง","元素傷害、冰冷異常狀態效果",[],"","","","","","","","","","","","","","","",7,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1465,"AscendancyElementalist18","Art/2DArt/SkillIcons/passives/Elementalist/IgniteSpecialisation.dds","[4988,195,13337]",1,1,25,0,53123,"Shaper of Flames","Façonneuse des Flammes","Gebieterin der Flammen","炎を生む者","화염의 형성자","Modelador das Chamas","Несущая пламя","Creadora de llamas","Shaper of Flames","火焰雕塑者",[],"",1,"","","","","","","","","","","","","",7,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",257,2048,0,0,0,"","[4988,13337]",0,[],""
1466,"AscendancyElementalist19","Art/2DArt/SkillIcons/passives/Elementalist/ShockSpecialisation.dds","[196,4987,13256,7411]",1,1,25,15,27038,"Shaper of Storms","Façonneuse des Orages","Gebieterin der Stürme","嵐を呼ぶ者","폭풍의 형성자","Modelador das Tormentas","Несущая бурю","Creadora de tormentas","Shaper of Storms","風暴雕塑者",[],"",1,"","","","","","","","","","","","","",7,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",257,2560,0,0,0,"","[4987,7411]",0,[],""
1467,"AscendancyElementalist20","Art/2DArt/SkillIcons/passives/Elementalist/ChillSpecialisation.dds","[4986,13255,7410,13412]",1,50,15,40,40810,"Shaper of Winter","Façonneuse de l'Hiver","Gebieterin des Winters","冬をもたらす者","겨울의 형성자","Modelador do Inverno","Несущая зиму","Creadora de invierno","Shaper of Winter","寒冬雕塑者",[],"",1,"","","","","","","","","","","","","",7,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",257,2560,0,0,0,"","[4986,7410]",0,[],""
1468,"AscendancyNecromancer1","Art/2DArt/SkillIcons/passives/Necromancer/IncreasedMinionDamageIncreasedMinionLife.dds","[488,159]",10,10,0,0,55646,"Minion Damage, Cast Speed","Dégâts des Créatures ; Vitesse d'incantation","Kreaturenschaden, Zaubergeschwindigkeit","ミニオンダメージおよびキャストスピード","소환수 피해, 시전 속도","Dano de Lacaios, Velocidade de Conjuração","Урон приспешников, скорость сотворения чар","Daño de esbirros, velocidad de lanzamiento de hechizos","ความเสียหายมิเนียน, ความเร็วในการร่าย","召喚物傷害、施放速度",[],"","","","","","","","","","","","","","","",8,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1469,"AscendancyNecromancer2","Art/2DArt/SkillIcons/passives/Necromancer/IncreasedMinionDamageIncreasedMinionLife.dds","[488,215]",10,10,0,0,18309,"Minion Damage, Skill Duration","Dégâts des Créatures ; Durée des Aptitudes","Kreaturenschaden, Fertigkeitsdauer","ミニオンダメージおよびスキル持続時間","소환수 피해, 스킬 지속시간","Dano de Lacaios, Duração de Habilidades","Урон приспешников, длительность умений","Daño de esbirros, duración de habilidades","ความเสียหายมิเนียน, ระยะเวลาของสกิล","召喚物傷害、技能持續時間",[],"","","","","","","","","","","","","","","",8,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1470,"AscendancyNecromancer3","Art/2DArt/SkillIcons/passives/Necromancer/IncreasedMinionDamageIncreasedMinionLife.dds","[488,216]",10,4,0,0,60547,"Minion Damage, Cast Speed","Dégâts des Créatures ; Vitesse d'incantation","Kreaturenschaden, Zaubergeschwindigkeit","ミニオンダメージおよびキャストスピード","소환수 피해, 시전 속도","Dano de Lacaios, Velocidade de Conjuração","Урон приспешников, скорость сотворения чар","Daño de esbirros, velocidad de lanzamiento de hechizos","ความเสียหายมิเนียน, ความเร็วในการร่าย","召喚物傷害、施放速度",[],"","","","","","","","","","","","","","","",8,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1471,"AscendancyNecromancer4","Art/2DArt/SkillIcons/passives/Necromancer/IncreasedMinionDamageIncreasedSkillDuration.dds","[488,159]",10,10,0,0,39818,"Minion Damage and Life","Dégâts et Vie des Créatures","Kreaturenschaden und Leben","ミニオンダメージおよびライフ","소환수 피해 및 생명력","Vida e Dano de Lacaios","Урон и здоровье приспешников","Daño y vida de esbirros","ความเสียหายและพลังชีวิตมิเนียน","召喚物傷害和生命",[],"","","","","","","","","","","","","","","",8,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1472,"AscendancyNecromancer5","Art/2DArt/SkillIcons/passives/Necromancer/ManaNode.dds","[488,128]",10,8,0,0,18574,"Minion Damage, Mana","Dégâts des Créatures ; Mana","Kreaturenschaden, Mana","ミニオンダメージおよびマナ","소환수 피해, 마나","Dano de Lacaio, Mana","Урон приспешников, мана","Daño de esbirros, maná","ความเสียหายมิเนียน, มานา","召喚物傷害、魔力",[],"","","","","","","","","","","","","","","",8,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1473,"AscendancyNecromancer6","Art/2DArt/SkillIcons/passives/Necromancer/IncreasedMinionDamageIncreasedSkillDuration.dds","[488,3835]",10,5,0,0,5415,"Minion Damage, Aura Effect","Dégâts des Créatures ; Effet des Auras","Kreaturenschaden, Aurawirkung","ミニオンダメージおよびオーラ効果","소환수 피해, 오라 효과","Dano do Lacaio, Efeito de Aura","Урон приспешников, эффект аур","Daño de esbirros, efecto de auras","ความเสียหายมิเนียน, ผลของออร่า","召喚物傷害、光環效果",[],"","","","","","","","","","","","","","","",8,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1474,"AscendancyNecromancer7","Art/2DArt/SkillIcons/passives/Necromancer/GenericMinionNotable.dds","[488,2090,2091,617]",30,10,10,10,54159,"Mindless Aggression","Violence aveugle","Blinde Wut","心無き侵略","이유 없는 공격성","Agressão Desmedida","Бездумная агрессия","Agresión irracional","Mindless Aggression","無意識侵略",[],"",1,"","","","","","","","","","","",6954,"",8,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",3841,0,0,0,0,"",[18647],0,[],""
1475,"AscendancyNecromancer8","Art/2DArt/SkillIcons/passives/Necromancer/OffensiveMinionNotable.dds",[16652],1,0,0,0,65153,"Unnatural Strength","Force surnaturelle","Unnatürliche Stärke","異常な強さ","초자연적인 힘","Força Sobrenatural","Неестественная сила","Fuerza sobrenatural","Unnatural Strength","超自然之力",[],"",1,"","","","","","","","","","","",6954,"",8,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1476,"AscendancyNecromancer9","Art/2DArt/SkillIcons/passives/Necromancer/DefensiveMinionNotable.dds","[10044,10223,10225,10226]",20,1,2,20,14603,"Bone Barrier","Barrière d'ossements","Knochenschild","ボーンバリア","뼈대 방어막","Barreira Óssea","Костяная преграда","Barrera de hueso","Bone Barrier","骸骨屏障",[],"",1,"","","","","","","","","","","",6954,"",8,"",[],0,"","",0,[],41408,"",0,"","",0,"","","","","","","","","","","","","",5121,5120,0,0,0,"","[10044,10226]",0,[],""
1477,"AscendancyNecromancer10","Art/2DArt/SkillIcons/passives/Necromancer/GiftsOfTheDamned.dds","[215,3688,7509]",40,1,-50,0,48719,"Mistress of Sacrifice","Maîtresse du Sacrifice","Herrin der Opferung","生贄の女王","희생의 여주인","Dama do Sacrifício","Госпожа жертвоприношений","Maestra de sacrificio","Mistress of Sacrifice","奉獻女魔",[],"",1,"","","","","","","","","","","",6954,"",8,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",257,-12800,255,0,0,"","[3688,7509]",0,[],""
1478,"AscendancyNecromancer11","Art/2DArt/SkillIcons/passives/Necromancer/EssenceGlutton.dds","[9936,9937,9934,9935]",4,8,300,12,3554,"Essence Glutton","Dévoreuse d'essence","Knochenschürferin","本質を貪る者","에센스 포식","Gula por Essências","Пожиратель сущности","Glotona de esencia","Essence Glutton","吞噬精華",[],"",1,"","","","","","","","","","","",6954,"",8,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",1025,2048,0,0,0,"","[9936,9937]",0,[],""
1479,"AscendancyNecromancer12","Art/2DArt/SkillIcons/passives/Necromancer/CommandingTheDarkness.dds","[3709,4736,4411]",3,30,30,0,36017,"Commander of Darkness","Commandante des Ténèbres","Herrscherin der Dunkelheit","闇の指揮者","어둠의 사령관","Comandante das Trevas","Повелитель тьмы","Comandante de la oscuridad","Commander of Darkness","黑暗統御者",[],"",1,"","","","","","","","","","","",6954,"",8,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",769,7680,0,0,0,"","[3709,4736]",0,[],""
1480,"AscendancyNecromancer13","Art/2DArt/SkillIcons/passives/Necromancer/CorpseConsumptionNode.dds","[488,159]",10,10,0,0,26298,"Minion Damage and Life","Dégâts et Vie des Créatures","Kreaturenschaden und Leben","ミニオンダメージおよびライフ","소환수 피해 및 생명력","Vida e Dano de Lacaios","Урон и здоровье приспешников","Daño y vida de esbirros","ความเสียหายและพลังชีวิตมิเนียน","召喚物傷害和生命",[],"","","","","","","","","","","","","","","",8,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1481,"AscendancyNecromancer14","Art/2DArt/SkillIcons/passives/Necromancer/PlagueBringer.dds","[9929,9930,9933]",-10,10,30,0,11490,"Plaguebringer","Porteuse de Peste","Überbringerin der Plagen","疫病をもたらす者","역병운반자","Portador da Infestação","Несущий чуму","Emisaria de la plaga","Plaguebringer","瘟疫帶原者",[],"",1,"","","","","","","","","","","",6954,"",8,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",257,0,0,0,0,"",[17961],0,[],""
1482,"AscendancyNecromancer15","Art/2DArt/SkillIcons/passives/Necromancer/CorpseConsumptionNode.dds","[488,216]",10,4,0,0,23509,"Minion Damage, Cast Speed","Dégâts des Créatures ; Vitesse d'incantation","Kreaturenschaden, Zaubergeschwindigkeit","ミニオンダメージおよびキャストスピード","소환수 피해, 시전 속도","Dano de Lacaio, Velocidade de Conjuração","Урон приспешников, скорость сотворения чар","Daño de esbirros, velocidad de lanzamiento de hechizos","ความเสียหายมิเนียน, ความเร็วในการร่าย","召喚物傷害、施放速度",[],"","","","","","","","","","","","","","","",8,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1483,"AscendancyNecromancer16","Art/2DArt/SkillIcons/passives/Necromancer/CorpseConsumptionNotable2.dds","[9939,4753]",1,2,0,0,23572,"Corpse Pact","Pacte cadavérique","Pakt der Leichen","コープスパクト","시신의 서약","Pacto Cadavérico","Трупный пакт","Pacto cadavérico","Corpse Pact","屍骨盟約",[],"",1,"","","","","","","","","","","",6954,"",8,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",257,0,0,0,0,"",[17964],0,[],""
1484,"AscendancySlayer1","Art/2DArt/SkillIcons/passives/Slayer/2HdmgCritStrikeMultiplier.dds","[554,2603]",15,10,0,0,61393,"Attack Damage, Critical Strike Chance","Dégâts des attaques ; Chances de coups critiques","Angriffsschaden, kritische Trefferchance","アタックダメージおよびクリティカル率","공격 피해, 치명타 확률","Dano de Ataque, Chance de Crítico","Урон от атак, шанс критического удара","Daño de ataques, probabilidad de golpe crítico","ความเสียหายโจมตี, โอกาสคริติคอล","攻擊傷害、暴擊率",[],"","","","","","","","","","","","","","","",9,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1485,"AscendancySlayer2","Art/2DArt/SkillIcons/passives/Slayer/2HdmgSpeed.dds","[70,2603]",5,10,0,0,15286,"Attack Damage, Attack Speed","Dégâts des attaques ; Vitesse d'attaque","Angriffsschaden, Angriffsgeschwindigkeit","アタックダメージおよびアタックスピード","공격 피해, 공격 속도","Dano de Ataque, Velocidade de Ataque","Урон от атак, скорость атаки","Daño de ataques, velocidad de ataque","ความเสียหายโจมตี, ความเร็วในการโจมตี","攻擊傷害、攻擊速度",[],"","","","","","","","","","","","","","","",9,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1486,"AscendancySlayer3","Art/2DArt/SkillIcons/passives/Slayer/2HdmgSpeed.dds","[70,2603]",5,10,0,0,42293,"Attack Damage, Attack Speed","Dégâts des attaques ; Vitesse d'attaque","Angriffsschaden, Angriffsgeschwindigkeit","アタックダメージおよびアタックスピード","공격 피해, 공격 속도","Dano de Ataque, Velocidade de Ataque","Урон от атак, скорость атаки","Daño de ataques, velocidad de ataque","ความเสียหายโจมตี, ความเร็วในการโจมตี","攻擊傷害、攻擊速度",[],"","","","","","","","","","","","","","","",9,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1487,"AscendancySlayer4","Art/2DArt/SkillIcons/passives/Slayer/2HdmgLeech.dds","[2691,2603]",40,10,0,0,34215,"Attack Damage, Life Leech","Dégâts des attaques ; Drain de Vie","Angriffsschaden, Lebensraub","アタックダメージおよびライフリーチ","공격 피해, 생명력 흡수","Dano de Ataque, Drenagem de Vida","Урон от атак, похищение здоровья","Daño de ataques, absorción de vida","ความเสียหายโจมตี, การดูดพลังชีวิต","攻擊傷害、生命偷取",[],"","","","","","","","","","","","","","","",9,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1488,"AscendancySlayer5","Art/2DArt/SkillIcons/passives/Slayer/2HdmgLeech.dds","[2691,2603]",40,10,0,0,45696,"Attack Damage, Life Leech","Dégâts des attaques ; Drain de Vie","Angriffsschaden, Lebensraub","アタックダメージおよびライフリーチ","공격 피해, 생명력 흡수","Dano de Ataque, Drenagem de Vida","Урон от атак, похищение здоровья","Daño de ataques, absorción de vida","ความเสียหายโจมตี, การดูดพลังชีวิต","攻擊傷害、生命偷取",[],"","","","","","","","","","","","","","","",9,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1489,"AscendancySlayer6","Art/2DArt/SkillIcons/passives/Slayer/2HdmgAOE.dds","[434,2603]",10,10,0,0,20954,"Attack Damage, Area of Effect","Dégâts des attaques ; Zone d'effet","Angriffsschaden, Wirkungsbereich","アタックダメージおよび効果範囲","공격 피해, 효과 범위","Dano de Ataque, Área de Efeito","Урон от атак, область действия","Daño de ataques, área de efecto","ความเสียหายโจมตี, พื้นที่ส่งผล","攻擊傷害、範圍效果",[],"","","","","","","","","","","","","","","",9,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1490,"AscendancySlayer7","Art/2DArt/SkillIcons/passives/Slayer/BaneOfLegends.dds","[9735,9736,4684]",10,10,1,0,3184,"Headsman","Exécuteur","Scharfrichter","死刑執行人","참수자","Carrasco","Палач","Aniquilador","Headsman","獵頭者",[],"",1,"","","","","","","","","","","",6954,"",9,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",257,0,0,0,0,"",[4684],0,[],""
1491,"AscendancySlayer8","Art/2DArt/SkillIcons/passives/Slayer/CriticalAttacks.dds","[9742,9743]",800,10,0,0,17315,"Overwhelm","Prédominance","Überwältigen","圧倒的","압도","Esmagador","Подавление","Agobiar","Overwhelm","鎮壓",[],"",1,"","","","","","","","","","","",6954,"",9,"",[],0,"","",0,[37],"","",0,"","",0,"","","","","","","","","","","","","",204801,0,0,0,0,"",[9742],0,[],""
1492,"AscendancySlayer9","Art/2DArt/SkillIcons/passives/Slayer/Headman.dds","[9734,4686,7697]",20,10,1,0,62817,"Bane of Legends","Fléau des Légendes","Legendäres Unheil","伝説を滅ぼす者","전설의 파멸","Executor de Lendas","Гроза легенд","Azote de leyendas","Bane of Legends","神話災難",[],"",1,"","","","","","","","","","","",6954,"",9,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",5121,0,0,0,0,"",[9734],0,[],""
1493,"AscendancySlayer10","Art/2DArt/SkillIcons/passives/Slayer/EndlessHunger.dds","[3403,10610,3406,3404]",20,1,1,20,34484,"Endless Hunger","Faim insatiable","Unaufhörlicher Hunger","絶え間ない飢え","끝없는 굶주림","Apetite Insaciável","Вечный голод","Hambre interminable","Endless Hunger","無盡飢餓",[],"",1,"","","","","","","","","","","",6954,"",9,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",5121,256,0,0,0,"","[3403,10610]",0,[],""
1494,"AscendancySlayer11","Art/2DArt/SkillIcons/passives/Slayer/BrutalFervor.dds","[3405,9737,9267]",1,-10,100,0,10143,"Brutal Fervour","Ferveur cruelle","Brutale Leidenschaft","残忍な熱情","잔인한 열정","Fervor Brutal","Жестокое рвение","Fervor brutal","Brutal Fervour","殘暴熱情",[],"",1,"","","","","","","","","","","",6954,"",9,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",257,0,0,0,0,"",[3405],0,[],""
1495,"AscendancySlayer12","Art/2DArt/SkillIcons/passives/Slayer/Impact.dds","[9739,1230,84,9803]",5,4,50,15,38180,"Impact","Onde de choc","Aufprall","衝撃","충격","Impacto","Воздействие","Impacto","Impact","衝擊",[],"",1,"","","","","","","","","","","",6954,"",9,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",3841,0,0,0,0,"",[9803],0,[],""
1496,"AscendancySlayer13","Art/2DArt/SkillIcons/passives/Slayer/2HdmgFrenzyEnduranceCharge.dds","[421,418,2603]",15,15,10,0,50845,"Attack Damage, Frenzy and Endurance Charge Duration","Dégâts des attaques ; Durée des Charges d'endurance et de frénésie","Angriffsschaden, Dauer von Raserei- und Widerstands-Ladungen","アタックダメージおよびフレンジー・エンデュランスチャージ持続時間","공격 피해, 격분 및 인내 충전 지속시간","Dano de Ataque, Duração de Cargas de Frenesi e Tolerância","Урон от атак, длительность зарядов ярости и выносливости","Daño de ataques, duración de cargas de frenesí y aguante","ความเสียหายโจมตี, ระยะเวลาของ Frenzy และ Endurance Charge","攻擊傷害、狂怒和耐力球持續時間",[],"","","","","","","","","","","","","","","",9,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1497,"AscendancySlayer14","Art/2DArt/SkillIcons/passives/Slayer/Charges.dds","[9741,180]",1,1,0,0,16306,"Masterful Form","Forme magistrale","Meisterhaftes Talent","優れた型","명인의 형태","Forma Magistral","Непревзойдённая техника","Forma maestra","Masterful Form","神采之形",[],"",1,"","","","","","","","","","","",6954,"",9,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",257,0,0,0,0,"",[9741],0,[],""
1498,"AscendancyGladiator1","Art/2DArt/SkillIcons/passives/Gladiator/GLADOneHand.dds","[26,70]",10,4,0,0,33179,"Attack Speed, Physical Damage","Vitesse d'attaque ; Dégâts physiques","Angriffsgeschwindigkeit, physischer Schaden","アタックスピードおよび物理ダメージ","공격 속도, 물리 피해","Velocidade de Ataque, Dano Físico","Скорость атаки, физический урон","Velocidad de ataque, daño físico","ความเร็วในการโจมตี, ความเสียหายกายภาพ","攻擊速度、物理傷害",[],"","","","","","","","","","","","","","","",10,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1499,"AscendancyGladiator2","Art/2DArt/SkillIcons/passives/Gladiator/GLADOneHand.dds","[26,70]",10,4,0,0,48760,"Attack Speed, Physical Damage","Vitesse d'attaque ; Dégâts physiques","Angriffsgeschwindigkeit, physischer Schaden","アタックスピードおよび物理ダメージ","공격 속도, 물리 피해","Velocidade de Ataque, Dano Físico","Скорость атаки, физический урон","Velocidad de ataque, daño físico","ความเร็วในการโจมตี, ความเสียหายกายภาพ","攻擊速度、物理傷害",[],"","","","","","","","","","","","","","","",10,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1500,"AscendancyGladiator3","Art/2DArt/SkillIcons/passives/Gladiator/GLADBlockChance.dds","[1081,70]",2,4,0,0,37623,"Attack Speed, Block Chance","Vitesse d'attaque ; Chances de blocage","Angriffsgeschwindigkeit, Blockchance","アタックスピードおよびブロック率","공격 속도, 막기 확률","Velocidade de Ataque, Chance de Bloqueio","Скорость атаки, шанс блока","Velocidad de ataque, probabilidad de bloqueo","ความเร็วในการโจมตี, โอกาสบล็อค","攻擊速度、格擋率",[],"","","","","","","","","","","","","","","",10,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1501,"AscendancyGladiator4","Art/2DArt/SkillIcons/passives/Gladiator/GLADOneHand.dds","[70,3579]",4,15,0,0,3651,"Attack Speed and One Handed Damage","Vitesse d'attaque ; Dégâts des armes à une main","Angriffsgeschwindigkeit und Einhandschaden","アタックスピードおよび片手武器ダメージ","공격 속도 및 한손 피해","Velocidade de Ataque e Dano com Uma Mão","Скорость атаки и урон одноручным оружием","Velocidad de ataque y daño a una mano","ความเร็วในการโจมตี, ความเสียหายมือเดียว","攻擊速度和單手武器傷害",[],"","","","","","","","","","","","","","","",10,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
1502,"AscendancyGladiator5","Art/2DArt/SkillIcons/passives/Gladiator/GLADBlockChance.dds","[1081,70]",2,4,0,0,24538,"Attack Speed, Block Chance","Vitesse d'attaque ; Chances de blocage","Angriffsgeschwindigkeit, Blockchance","アタックスピードおよびブロック率","공격 속도, 막기 확률","Velocidade de Ataque, Chance de Bloqueio","Скорость атаки, шанс блока","Velocidad de ataque, probabilidad de bloqueo","ความเร็วในการโจมตี, โอกาสบล็อค","攻擊速度、格擋率",[],"","","","","","","","","","","","","","","",10,"",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
