"rownum","Wordlist","Text","SpawnWeight_Tags","SpawnWeight_Values","i32","Text2 (English)","Text2 (French)","Text2 (German)","Text2 (Japanese)","Text2 (Korean)","Text2 (Portuguese)","Text2 (Russian)","Text2 (Spanish)","Text2 (Thai)","Text2 (Traditional Chinese)","Inflection (English)","Inflection (French)","Inflection (German)","Inflection (Japanese)","Inflection (Korean)","Inflection (Portuguese)","Inflection (Russian)","Inflection (Spanish)","Inflection (Thai)","Inflection (Traditional Chinese)"
659,6,"Natural Hierarchy",[0],[0],1088038541,"Natural Hierarchy","Hiérarchie naturelle","Natürliche Hierarchie","自然の階層","순수의 지배","Hierarquia Natural","Естественная иерархия","Jerarquía natural","Natural Hierarchy","自然組織","","","","","","","","","",""
660,6,"Rigwald's Curse",[0],[0],-1865539459,"Rigwald's Curse","Malédiction de Rigwald","Rigwalds Fluch","リグワルドの呪い","리그월드의 저주","Maldição de Rigwald","Проклятие Ригвальда","La maldición de Rigwald","Rigwald's Curse","瑞佛詛咒","","","","","","","","","",""
661,6,"Eyes of the Greatwolf",[0],[0],1684618280,"Eyes of the Greatwolf","Yeux du Grand Loup","Augen des großen Wolfes","大狼の目","위대한 늑대의 눈","Olhos do Lobo Grandioso","Глаза Великого волка","Ojos del gran lobo","Eyes of the Greatwolf","巨狼之眼","","","","","","","","","",""
662,6,"Rigwald's Crest",[0],[0],-903758601,"Rigwald's Crest","Chevalière de Rigwald","Rigwalds Wappen","リグワルドの紋章","리그월드의 문양","Brasão de Rigwald","Герб Ригвальда","Cresta de Rigwald","Rigwald's Crest","瑞佛之冠","","","","","","","","","",""
663,6,"Rigwald's Savagery",[0],[0],20953251,"Rigwald's Savagery","Sauvagerie de Rigwald","Rigwalds Grausamkeit","リグワルドの蛮行","리그월드의 야만","Selvageria de Rigwald","Свирепость Ригвальда","Salvajismo de Rigwald","Rigwald's Savagery","野性瑞佛","","","","","","","","","",""
664,6,"Rigwald's Command",[0],[0],1839689667,"Rigwald's Command","Autorité de Rigwald","Rigwalds Befehl","リグワルドの命令","리그월드의 명령","Comando de Rigwald","Приказ Ригвальда","Mandamiento de Rigwald","Rigwald's Command","瑞佛統帥","","","","","","","","","",""
665,6,"Rigwald's Quills",[0],[0],1724278645,"Rigwald's Quills","Pointes de Rigwald","Rigwalds Stachel","リグワルドの針","리그월드의 화살","Espinhos de Rigwald","Иглы Ригвальда","Plumas de Rigwald","Rigwald's Quills","瑞佛之羽","","","","","","","","","",""
666,6,"Caer Blaidd, Wolfpack's Den",[0],[0],-977738366,"Caer Blaidd, Wolfpack's Den","Caer Blaidd, la Tanière de la meute","Caer Blaidd – Wolfsrudelhöhle","カーイルブライズ・群狼の巣","캐어블레이드 늑대의 소굴","Caer Blaidd, Toca dos Lobos","Caer Blaidd, логово стаи","Caer Blaidd, Madriguera de lobos","Caer Blaidd, Wolfpack's Den","塞爾．佈雷德狼穴","","","","","","","","","",""
667,6,"Winterheart",[0],[0],1138887636,"Winterheart","Cœurdhiver","Winterherz","ウィンターハート","겨울심장","Coração Invernal","Сердце зимы","Corazón de invierno","Winterheart","冬之心","","","","","","","","","",""
668,6,"Replica Winterheart",[0],[0],739165686,"Replica Winterheart","Réplique de Cœurdhiver","Replik: Winterherz","ウィンターハート（レプリカ）","겨울심장 모조품","Réplica: Coração Invernal","Копия Сердца зимы","Corazón de invierno (réplica)","Replica Winterheart","贗品．冬之心","","","","","","","","","",""
669,6,"Demigod's Dominance",[0],[0],-1550725191,"Demigod's Dominance","Domination de Demi-dieu","Überlegenheit des Halbgottes","半神の優越","반신의 지배","Domínio do Semideus","Господство полубога","Dominancia del semidiós","Demigod's Dominance","昇華統御","","","","","","","","","",""
670,6,"The Writhing Jar",[0],[0],313973940,"The Writhing Jar","Le Bocal grouillant","Das Wurmglas","悶える瓶","꿈틀거리는 단지","O Jarro Contorcido","Сосуд страданий","Frasco retorcido","The Writhing Jar","扭曲之罐","","","","","","","","","",""
671,6,"Malachai's Loop",[0],[0],-689682290,"Malachai's Loop","Méandre de Malachai","Malachais Schlinge","マラカイのループ","말라카이의 고리","Circuito de Malachai","Виток Малахая","Lazo de Malachai","Malachai's Loop","輪迴","","","","","","","","","",""
672,6,"Ngamahu's Flame",[0],[0],363435526,"Ngamahu's Flame","Flamme de Ngamahu","Ngamahus Flamme","ナマフの炎","나마후의 불꽃","Chamas de Ngamahu","Пламя Нгамаху","Llama de Ngamahu","Ngamahu's Flame","里特拿馬乎","","","","","","","","","",""
673,6,"WIP Stone Flask",[0],[0],785098120,"WIP Stone Flask","Flacon de Pierre WIP","WIP Steinfläschchen","WIP石のフラスコ","WIP 돌 플라스크","WIP Stone Flask","Каменный флакон","WIP Frasco de Piedra","WIP Stone Flask","WIP Stone Flask","","","","","","","","","",""
674,6,"Borrowed Power",[0],[0],-142266202,"Borrowed Power","Pouvoir emprunté","Geliehene Macht","借り物の力","융통된 힘","Poder Emprestado","Одолженная сила","Poder prestado","Borrowed Power","力量借貸","","","","","","","","","",""
675,6,"Umbilicus Immortalis",[0],[0],-174785164,"Umbilicus Immortalis","Umbilicus Immortalis","Umbilicus Immortalis","不滅の臍帯","불멸의 탯줄","Umbilicus Immortalis","Умбиликус Имморталис","Umbilicus Immortalis","Umbilicus Immortalis","不朽繫命","","","","","","","","","",""
676,6,"Frost Unbroken",[0],[0],1366419942,"Frost Unbroken","Givre intact","Bitterer Frost","砕けない霜","온전한 서리","Geleira Intacta","Вечный мороз","Frío intacto","Frost Unbroken","不滅冰晶","","","","","","","","","",""
677,6,"Advancing Fortress",[0],[0],-1470596982,"Advancing Fortress","La Forteresse en Marche","Schreitende Festung","前進する要塞","전진하는 요새","Fortaleza Avançada","Ходячая крепость","Fortaleza que avanza","Advancing Fortress","超越壁壘","","","","","","","","","",""
678,6,"Replica Advancing Fortress",[0],[0],1935447289,"Replica Advancing Fortress","Réplique de La Forteresse en Marche","Replik: Schreitende Festung","前進する要塞（レプリカ）","전진하는 요새 모조품","Réplica: Fortaleza Avançada","Копия Ходячей крепости","Fortaleza que avanza (réplica)","Replica Advancing Fortress","贗品．超越壁壘","","","","","","","","","",""
679,6,"Xirgil's Crank",[0],[0],-321517665,"Xirgil's Crank","Manivelle de Xirgil","Xirgils Kurbel","ザーギルのクランク","저글의 손잡이","Alavanca de Xirgil","Рычаг Ксергилия","Manivela de Xirgil","Xirgil's Crank","舍吉的手柄","","","","","","","","","",""
680,6,"Deshret's Storm",[0],[0],-1501121083,"Deshret's Storm","Tempête de Deshret","Deshrets Sturm","デシュレットの嵐","데쉬렛의 태풍","Tormenta de Deshret","Буря Дешрет","Tormenta de Deshret","Deshret's Storm","馬拉克斯花器","","","","","","","","","",""
681,6,"Ashes of the Condemned",[0],[0],864906050,"Ashes of the Condemned","Cendres des Condamnés","Asche der Verdammten","宣告された者の灰","사형수의 재","Cinzas do Condenado","Прах осуждённых","Cenizas de los condenados","Ashes of the Condemned","永恆帝國之甕","","","","","","","","","",""
682,6,"Mutewind Cache",[0],[0],-585337504,"Mutewind Cache","Cache des Ventmuet","Stummwind-Schatztruhe","ミュートウィンドの貯蔵物","고요한 바람단 은닉함","Tesouros do Vento Mudo","Тайник Немого ветра","Alijo Viento mudo","Mutewind Cache","軍團的寶庫","","","","","","","","","",""
683,6,"Redblade Cache",[0],[0],-327133861,"Redblade Cache","Cache des Rougelame","Rotklingen-Schatztruhe","レッドブレードの貯蔵物","적검단 은닉함","Tesouros da Lâmina Vermelha","Тайник Красных сабель","Alijo Cuchilla roja","Redblade Cache","紅刃的寶庫","","","","","","","","","",""
684,6,"Brinerot Cache",[0],[0],-136296016,"Brinerot Cache","Cache des Selrance","Gischtfäulnis-Schatztruhe","ブラインロットの貯蔵物","부패한 염수단 은닉함","Tesouros da Salmoura Podre","Тайник Морской гнили","Alijo Salmuera","Brinerot Cache","布琳洛特寶庫","","","","","","","","","",""
685,6,"Renegades Cache",[0],[0],758858310,"Renegades Cache","Cache des Déserteurs","Abtrünnigen-Schatztruhe","レネゲードの貯蔵物","탈주자 은닉함","Tesouros dos Renegados","Тайник ренегатов","Alijo de renegados","Renegades Cache","混沌軍團的寶庫","","","","","","","","","",""
686,6,"Trypanon",[0],[0],863950651,"Trypanon","Trypanon","Trypanon","トライペーノン","트리파논","Trefina","Трепанатор","Trypanon","Trypanon","裂顱","","","","","","","","","",""
687,6,"Replica Trypanon",[0],[0],-1268214912,"Replica Trypanon","Réplique de Trypanon","Replik: Trypanon","トライペーノン（レプリカ）","트리파논 모조품","Réplica: Trefina","Копия Трепанатора","Trypanon (réplica)","Replica Trypanon","贗品．裂顱","","","","","","","","","",""
688,6,"Widowmaker",[0],[0],-653339768,"Widowmaker","Faiseuse de veuves","Witwenmacher","ウィドウメイカー","위도우메이커","Mortífera","Вдоводел","Creador de viudas","Widowmaker","寡婦","","","","","","","","","",""
689,6,"Clayshaper",[0],[0],-1156634043,"Clayshaper","Façonneuse d'argile","Lehmformer","クレーシェイパー","클레이쉐이퍼","Modela-Barro","Скульптор","Moldeador de arcilla","Clayshaper","塑泥者","","","","","","","","","",""
690,6,"Frostbreath",[0],[0],2048411719,"Frostbreath","Souffle de givre","Frosthauch","フロストブレス","서리 숨결","Hálito Gélido","Ледяное дыхание","Aliento de escarcha","Frostbreath","霜息","","","","","","","","","",""
691,6,"Replica Frostbreath",[0],[0],1179493495,"Replica Frostbreath","Réplique de Souffle de givre","Replik: Frosthauch","フロストブレス（レプリカ）","서리 숨결 모조품","Réplica: Hálito Gélido","Копия Ледяного дыхания","Aliento de escarcha (réplica)","Replica Frostbreath","贗品．霜息","","","","","","","","","",""
692,6,"The Tempestuous Steel",[0],[0],22602541,"The Tempestuous Steel","L'Acier des Tempêtes","Tosender Stahl","嵐の鋼","격렬한 강철","O Aço Tempestuoso","Буйная сталь","El acero tempestuoso","The Tempestuous Steel","暴風之鋼","","","","","","","","","",""
693,6,"Replica Tempestuous Steel",[0],[0],-787080784,"Replica Tempestuous Steel","Réplique de L'Acier des Tempêtes","Replik: Tosender Stahl","嵐の鋼（レプリカ）","격렬한 강철 모조품","Réplica: O Aço Tempestuoso","Копия Буйной стали","El acero tempestuoso (réplica)","Replica Tempestuous Steel","贗品．暴風之鋼","","","","","","","","","",""
694,6,"Daresso's Passion",[0],[0],-2101580843,"Daresso's Passion","Passion de Daresso","Daressos Leidenschaft","ダレッソの熱情","다레소의 열정","Paixão de Daresso","Страсть Дарессо","Pasión de Daresso","Daresso's Passion","德瑞索的熱情","","","","","","","","","",""
695,6,"Ashcaller",[0],[0],1799475041,"Ashcaller","Mande-cendres","Aschenbringer","アッシュコーラー","재 소환사","Despertar das Cinzas","Призывающий пепел","Visitante de ceniza","Ashcaller","灰燼行者","","","","","","","","","",""
696,6,"Reefbane",[0],[0],1914849906,"Reefbane","Fléau des Récifs","Riff des Verderbens","リーフベーン","암초의 파멸","Perdição do Recife","Проклятие рифов","Flagelo del arrecife","Reefbane","災禍之礁","","","","","","","","","",""
697,6,"The Sorrow of the Divine",[0],[0],930073973,"The Sorrow of the Divine","Le Chagrin des Divins","Göttlicher Kummer","神の嘆き","신의 슬픔","O Sofrimento do Divino","Печаль божества","La pena de lo divino","The Sorrow of the Divine","神聖哀悼","","","","","","","","","",""
698,6,"Replica Sorrow of the Divine",[0],[0],918430734,"Replica Sorrow of the Divine","Réplique du Chagrin des Divins","Replik: Göttlicher Kummer","神の嘆き（レプリカ）","신의 슬픔 모조품","Réplica: O Sofrimento do Divino","Копия Печали божества","La pena de lo divino (réplica)","Replica Sorrow of the Divine","贗品．神聖哀悼","","","","","","","","","",""
699,6,"Geofri's Sanctuary",[0],[0],-1086886525,"Geofri's Sanctuary","Sanctuaire de Geofri","Geofris Heiligtum","ジェフリの聖所","조프리의 성역","Santuário de Geofri","Прибежище Джофри","Santuario de Geofri","Geofri's Sanctuary","吉爾菲的聖殿","","","","","","","","","",""
700,6,"Axiom Perpetuum",[0],[0],-1475221370,"Axiom Perpetuum","Axiom Perpetuum","Axiom Perpetuum","アクシオム・パーペチュアム","액시옴의 무기징역","Axiom Perpetuum","Вечность Аксиомы","Axiom Perpetuum","Axiom Perpetuum","歷史公理","","","","","","","","","",""
701,6,"Varunastra",[0],[0],1483687151,"Varunastra","Varunastra","Varunastra","ヴァルナストラ","바루나스트라","Varunastra","Варунастра","Varunastra","Varunastra","黑鯊","","","","","","","","","",""
702,6,"Viper's Scales",[0],[0],1266360530,"Viper's Scales","Écailles de vipère","Schuppen der Viper","ヴァイパーの鱗","독사의 비늘","Escamas da Víbora","Чешуя гадюки","Escamas de la víbora","Viper's Scales","毒蛇之度","","","","","","","","","",""
703,6,"Abberath's Hooves",[0],[0],644676986,"Abberath's Hooves","Sabots d'Abberath","Abberaths Hufen","アバラスの蹄","아버라스의 발굽","Cascos de Abberath","Копыта Абберата","Pezuñas de Abberath","Abberath's Hooves","艾貝拉斯之蹄","","","","","","","","","",""
704,6,"The Beast Fur Shawl",[0],[0],473860,"The Beast Fur Shawl","Le Châle en fourrure bestiale","Pelzschal der Bestie","野獣の毛皮の肩掛け","야수 모피 숄","Xale de Pele da Besta","Звериная шкура","Mantón de piel de la bestia","The Beast Fur Shawl","獸毛披肩","","","","","","","","","",""
705,6,"Zerphi's Last Breath",[0],[0],-647349740,"Zerphi's Last Breath","Dernier Soupir de Zerphi","Zerphis letzter Atemzug","ゼルフィの最期","제르피의 마지막 숨결","Último Suspiro de Zerphi","Последний вздох Зерфи","Último aliento de Zerphi","Zerphi's Last Breath","澤佛伊的終息","","","","","","","","","",""
706,6,"The Overflowing Chalice",[0],[0],1259847902,"The Overflowing Chalice","Le Calice débordant","Überfließender Kelch","満ち溢れている杯","넘치는 성배","Cálice Transbordante","Переполненная чаша","Cáliz rebosante","The Overflowing Chalice","滿溢聖杯","","","","","","","","","",""
707,6,"Rive",[0],[0],9572626,"Rive","Lacératrice","Reißer","引き裂き","리브","Despedaçador","Разрыв","Desgarro","Rive","裂隙","","","","","","","","","",""
708,6,"Cheap Construction",[0],[0],-1597461440,"Cheap Construction","Assemblage bon marché","Einfache Konstruktion","安い構造","저렴한 건축","Construção Barata","Дешёвая сборка","Construcción barata","Cheap Construction","廉價建設","","","","","","","","","",""
709,6,"Replica Cheap Construction",[0],[0],1075436702,"Replica Cheap Construction","Réplique d'Assemblage bon marché","Replik: Einfache Konstruktion","安い構造（レプリカ）","저렴한 건축 모조품","Réplica: Construção Barata","Копия Дешёвой сборки","Construcción barata (réplica)","Replica Cheap Construction","贗品．廉價建設","","","","","","","","","",""
710,6,"Glitterdisc",[0],[0],-421528030,"Glitterdisc","Disque étincelant","Prunkscheibe","グリターディスク","빛나는 원반","Disco Ardente","Светящийся диск","Disco reluciente","Glitterdisc","七彩碟","","","","","","","","","",""
711,6,"Hair Trigger",[0],[0],197733179,"Hair Trigger","Détente sensible","Empfindlicher Auslöser","ヘアトリガー","민감한 반응","Gatilho Sensível","Вспыльчивость","Gatillo delicado","Hair Trigger","髮閘機關","","","","","","","","","",""
712,6,"Nuro's Harp",[0],[0],-18087765,"Nuro's Harp","Harpe de Nuro","Nuros Harfe","ヌーロの竪琴","누로의 하프","Harpa de Nuro","Арфа Нуро","Arpa de Nuro","Nuro's Harp","努羅的豎琴","","","","","","","","","",""
713,6,"Coated Shrapnel",[0],[0],68915143,"Coated Shrapnel","Shrapnel imprégné","Benetztes Schrapnell","コーティングされた榴散弾","뒤덮은 파편","Estilhaço Revestido","Покров осколков","Metralla revestida","Coated Shrapnel","榴星","","","","","","","","","",""
714,6,"Unstable Payload",[0],[0],947732152,"Unstable Payload","Charge instable","Instabile Sprengladung","不安定なペイロード","불안정한 하중","Carga Instável","Нестабильный заряд","Carga inestable","Unstable Payload","不穩定承載","","","","","","","","","",""
715,6,"Replica Unstable Payload",[0],[0],-216106816,"Replica Unstable Payload","Réplique de Charge instable","Replik: Instabile Sprengladung","不安定なペイロード（レプリカ）","불안정한 하중 모조품","Réplica: Carga Instável","Копия Нестабильного заряда","Carga inestable (réplica)","Replica Unstable Payload","贗品．不穩定承載","","","","","","","","","",""
716,6,"Heretic's Veil",[0],[0],1838242074,"Heretic's Veil","Voile de l'Hérétique","Gesichtsschleier des Ketzers","異教徒のベール","이단자의 면사포","Véu do Herege","Покров еретика","Velo del hereje","Heretic's Veil","異教面紗","","","","","","","","","",""
717,6,"Emperor's Cunning",[0],[0],-1776581098,"Emperor's Cunning","Astuce de l'Empereur","Arglist des Kaisers","皇帝の悪知恵","황제의 잔꾀","Astúcia do Imperador","Коварство императора","Astucia del emperador","Emperor's Cunning","帝王的詭計","","","","","","","","","",""
718,6,"Emperor's Wit",[0],[0],-1792062158,"Emperor's Wit","Esprit de l'Empereur","Scharfsinn des Kaisers","皇帝の知恵","황제의 재치","Talento do Imperador","Остроумие императора","Ingenio del emperador","Emperor's Wit","帝王的智慧","","","","","","","","","",""
719,6,"Emperor's Might",[0],[0],-1070750079,"Emperor's Might","Puissance de l'Empereur","Macht des Kaisers","皇帝の力","황제의 완력","Poder do Imperador","Могущество императора","Poderío del emperador","Emperor's Might","帝王的霸權","","","","","","","","","",""
720,6,"Emperor's Mastery",[0],[0],2000412945,"Emperor's Mastery","Maîtrise de l'Empereur","Herrschaft des Kaisers","皇帝の制御","황제의 숙련","Maestria do Imperador","Господство императора","Maestría del emperador","Emperor's Mastery","帝王的純熟","","","","","","","","","",""
721,6,"Victario's Charity",[0],[0],-1704999010,"Victario's Charity","Charité de Victario","Victarios Barmherzigkeit","ヴィクタリオの慈善","빅타리오의 자비","Bondade de Victario","Милосердие Виктарио","Caridad de Victario","Victario's Charity","維多里奧的貢獻","","","","","","","","","",""
722,6,"Replica Victario's Charity",[0],[0],-1383500870,"Replica Victario's Charity","Réplique de Charité de Victario","Replik: Victarios Barmherzigkeit","ヴィクタリオの慈善（レプリカ）","빅타리오의 자비 모조품","Réplica: Bontade de Victario","Копия Милосердия Виктарио","Caridad de Victario (réplica)","Replica Victario's Charity","贗品．維多里奧的貢獻","","","","","","","","","",""
723,6,"The Perandus Manor",[0],[0],833892768,"The Perandus Manor","Le Manoir des Pérandus","Das Perandus-Anwesen","ペランダスの邸宅","페란두스 저택","A Mansão Perandus","Особняк Перандусов","La mansión Perandus","The Perandus Manor","普蘭德斯莊園","","","","","","","","","",""
724,6,"Innsbury Edge",[0],[0],-709796238,"Innsbury Edge","Lame d'Innsbury","Innsburys Schneide","インズブリーの刃","인스뷰리 칼날","Gume de Innsbury","Клинок Иннсбери","Filo de Innsbury","Innsbury Edge","茵斯布雷之刃","","","","","","","","","",""
725,6,"Replica Innsbury Edge",[0],[0],986243439,"Replica Innsbury Edge","Réplique de la Lame d'Innsbury","Replik: Innsburys Schneide","インズブリーの刃（レプリカ）","인스뷰리 칼날 모조품","Réplica: Gume de Innsbury","Копия Клинка Иннсбери","Filo de Innsbury (réplica)","Replica Innsbury Edge","贗品．茵斯布雷之刃","","","","","","","","","",""
726,6,"Duskwing",[0],[0],893937942,"Duskwing","Aile du Crépuscule","Dämmerflügel","ダスクウィング","황혼 날개","Asa do Crepúsculo","Крыло сумрака","Ala del crepúsculo","Duskwing","黃昏之翼","","","","","","","","","",""
727,6,"Bloodletter",[0],[0],1307652283,"Bloodletter","Saigneur","Blutlasser","ブラッドレター","사혈자","Carta Sangrenta","Кровопускатель","Demonio de sangría","Bloodletter","血書","","","","","","","","","",""
728,6,"Three-step Assault",[0],[0],667167052,"Three-step Assault","Offensive en Trois Temps","Angriff in drei Schritten","スリーステップアサルト","삼단 공격","Agressão em Três Passos","Продуманный штурм","Asalto de tres pasos","Three-step Assault","三步突擊","","","","","","","","","",""
729,6,"Replica Three-step Assault",[0],[0],-1808410860,"Replica Three-step Assault","Réplique d'Offensive en Trois Temps","Replik: Angriff in drei Schritten","スリーステップアサルト（レプリカ）","삼단 공격 모조품","Réplica: Agressão em Três Passos","Копия Продуманного штурма","Asalto de tres pasos (réplica)","Replica Three-step Assault","贗品．三步突擊","","","","","","","","","",""
730,6,"The Rack",[0],[0],-933624179,"The Rack","Le Râtelier","Die Folterbank","ラック","선반","A Cremalheira","Дыба","El atormentador","The Rack","架子","","","","","","","","","",""
731,6,"Cloak of Tawm'r Isley",[0],[0],900454590,"Cloak of Tawm'r Isley","Manteau de Tawm'r Isley","Umhang des Tawm'r Isley","ターマル・アイズレーのクローク","탐위르 이슬리의 망토","Manto de Tawm'r Isley","Накидка Томора Айли","Manto de Tawm'r Isley","Cloak of Tawm'r Isley","陶米兒艾斯理之袍","","","","","","","","","",""
732,6,"Grand Spectrum",[0],[0],-887037635,"Grand Spectrum","Nuance du Spectre","Großes Spektrum","グランド・スペクトラム","장대한 파장","Espectro Grandioso","Великий образ","Gran espectro","Grand Spectrum","巨光譜","","","","","","","","","",""
733,6,"Ascent From Flesh",[0],[0],1108962383,"Ascent From Flesh","Affranchissement de la Chair","Dem Fleische entstiegen","肉体からの解放","육체로부터의 해방","Ascensão da Carne","Вознесение над плотью","Ascenso de la carne","Ascent From Flesh","血軀昇華","","","","","","","","","",""
734,6,"Mind of the Council",[0],[0],538622275,"Mind of the Council","Conscience du Conseil","Verstand des Rates","評議会の精神","의회의 정신","Mente do Conselho","Разум Совета","Mente del consejo","Mind of the Council","議會之心","","","","","","","","","",""
735,6,"Hinekora's Sight",[0],[0],133100242,"Hinekora's Sight","Vue d'Hinekora","Hinekoras Sicht","ヒネコラの視界","히네코라의 통찰력","Visão de Hinekora","Взгляд Хинекоры","Visión de Hinekora","Hinekora's Sight","悉妮蔻拉之眼","","","","","","","","","",""
736,6,"Kitava's Thirst",[0],[0],-1986854612,"Kitava's Thirst","Soif de Kitava","Kitavas Durst","キタヴァの渇望","키타바의 갈증","Sede de Kitava","Жажда Китавы","Sed de Kitava","Kitava's Thirst","奇塔弗之渴望","","","","","","","","","",""
737,6,"Scaeva",[0],[0],2118264514,"Scaeva","Scaeva","Scaeva","スケーヴァ","스카이바","Scaeva","Левша","Scaeva","Scaeva","食蚜","","","","","","","","","",""
738,6,"Saemus' Gift",[0],[0],1208913386,"Saemus' Gift","Présent de Saemus","Saemus' Geschenk","シェイマスの贈り物","새무스의 선물","Presente de Saemus","Дар Сейма","Regalo de Saemus","Saemus' Gift","謝默斯的贈禮","","","","","","","","","",""
739,6,"Veruso’s Battering Rams",[0],[0],187427401,"Veruso's Battering Rams","Béliers de Véruso","Verusos Rammböcke","ヴェルーソの破城槌","베루소의 공성추","Aríetes de Veruso","Тараны Верузо","Arietes de Veruso","Veruso's Battering Rams","維盧梭攻城槌","","","","","","","","","",""
740,6,"Kintsugi",[0],[0],1294376695,"Kintsugi","Kintsugi","Kintsugi","キンツギ","킨츠키","Kintsugi","Кинцуги","Kintsugi","Kintsugi","金繕","","","","","","","","","",""
741,6,"Rumblemarch",[0],[0],-24220870,"Rumblemarch","Tremblemarche","Grollmarsch","ランブルマーチ","요란한 행진","Marcha Estrondosa","Грохочущий марш","Marcha retumbante","Rumblemarch","奮勇進軍","","","","","","","","","",""
742,6,"Underdog's Fury",[0],[0],124852564,"Underdog's Fury","Fureur du Perdant","Wut des Unterlegenen","負け犬の憤激","패배자의 광분","Fúria do Oprimido","Ярость обездоленного","Furia del subestimado","Underdog's Fury","犧牲者怒息","","","","","","","","","",""
743,6,"Touch of Anguish",[0],[0],-1862215476,"Touch of Anguish","Toucher de l'Angoisse","Berührung der Qual","苦悩の接触","비통의 손길","Toque da Angústia","Касание страданий","Toque de angustia","Touch of Anguish","極度苦痛","","","","","","","","","",""
744,6,"Spiritskin",[0],[0],-1817820871,"Spiritskin","Peau d'esprit","Seelenhaut","スピリットスキン","영혼가죽","Pele Espiritual","Spiritskin","Piel de espíritu","Spiritskin","精神之膚","","","","","","","","","",""
745,6,"Hiltless",[0],[0],961659318,"Hiltless","Lame nue","Grifflos","柄無し","고통의 검","Sem Punho","Сплошное лезвие","La sin empuñadura","Hiltless","長卷","","","","","","","","","",""
746,6,"Ewar's Mirage",[0],[0],1938507098,"Ewar's Mirage","Mirage d'Ewar","Ewars Illusion","イーワーの幻影","이워의 신기루","Miragem de Ewar","Морок Ивара","Espejismo de Ewar","Ewar's Mirage","伊沃幻像","","","","","","","","","",""
747,6,"Lycosidae",[0],[0],68732079,"Lycosidae","Lycosidae","Lycosidae","コモリグモ","늑대 거미","Lycosidae","Паук-волк","Lycosidae","Lycosidae","狼蛛","","","","","","","","","",""
748,6,"Voll's Vision",[0],[0],81264739,"Voll's Vision","Vision de Voll","Volls Vision","ヴォールの未来像","볼의 시각","Visão de Voll","Замысел Волла","Visión de Voll","Voll's Vision","福爾的遠見","","","","","","","","","",""
749,6,"Malachai's Vision",[0],[0],1081650599,"Malachai's Vision","Vision de Malachai","Malachais Vision","マラカイの未来像","말라카이의 시각","Visão de Malachai","Замысел Малахая","Visión de Malachai","Malachai's Vision","瑪拉凱的遠見","","","","","","","","","",""
750,6,"Karui Charge",[0],[0],-1476638841,"Karui Charge","Charge karuie","Angriff der Karui","カルイの突撃","카루이의 돌진","Avanço Karui","Натиск каруи","Carga karui","Karui Charge","卡魯充能","","","","","","","","","",""
751,6,"Wall of Brambles",[0],[0],40460326,"Wall of Brambles","Mur de Ronces","Mauer aus Dornicht","ブランブルの壁","가시나무 벽","Muro de Espinhos","Колючая стена","Muro de zarzas","Wall of Brambles","荊棘之牆","","","","","","","","","",""
752,6,"Shavronne's Gambit",[0],[0],-773579885,"Shavronne's Gambit","Stratagème de Shavronne","Shavronnes Schachzug","シャヴロンの策略","샤브론의 책략","Gambito de Shavronne","Ход Шавронн","Gambito de Shavronne","Shavronne's Gambit","薛朗的詭計","","","","","","","","","",""
753,6,"Death's Opus",[0],[0],1524905523,"Death's Opus","Opus de la Mort","Opus des Todes","死の楽曲","죽음의 작품","Opus da Morte","Творение смерти","Opus de la muerte","Death's Opus","死亡之作","","","","","","","","","",""
754,6,"Cospri's Will",[0],[0],1275806257,"Cospri's Will","Volonté de Cospri","Cospris Wille","コスプリの意志","코스프리의 의지","Desejo de Copri","Воля Коспри","Voluntad de Cospri","Cospri's Will","卡斯普里意志","","","","","","","","","",""
755,6,"The Ascetic",[0],[0],1229757906,"The Ascetic","L'Ascète","Der Asket","苦行者","고행자","O Ascético","Аскет","El asceta","The Ascetic","苦行","","","","","","","","","",""
756,6,"Skirmish",[0],[0],-739999780,"Skirmish","Escarmouche","Gefecht","小競り合い","접전","Conflito","Стычка","Enfrentamiento","Skirmish","小會戰","","","","","","","","","",""
757,6,"The Learning Stone",[0],[0],-28041848,"The Learning Stone","La Pierre d'Apprentissage","Der weise Stein","学習の石","배움의 돌","A Pedra do Aprendizado","Камень познания","La piedra de aprendizaje","The Learning Stone","學習之石","","","","","","","","","",""
758,6,"Grip of the Council",[0],[0],1493814646,"Grip of the Council","Poigne du Conseil","Griff des Rates","評議会の支配","의회의 장악","Punho do Conselho","Хватка Совета","El agarre del Concilio","Grip of the Council","議會之握","","","","","","","","","",""
759,6,"Replica Grip of the Council",[0],[0],1354315650,"Replica Grip of the Council","Réplique de la Poigne du Conseil","Replik: Griff des Rates","評議会の支配（レプリカ）","의회의 장악 모조품","Réplica: Punho do Conselho","Копия Хватки Совета","El agarre del Concilio (réplica)","Replica Grip of the Council","贗品．議會之握","","","","","","","","","",""
760,6,"Kiara's Determination",[0],[0],1160561505,"Kiara's Determination","Détermination de Kiara","Kiaras Entschlossenheit","キアラの決心","키아라의 결의","Determinação de Kiara","Решимость Киары","Determinación de Kiara","Kiara's Determination","奇亞拉的決心","","","","","","","","","",""
761,6,"Tinkerskin",[0],[0],-551225171,"Tinkerskin","Peau fignolée","Flickenhaut","ティンカースキン","톱니의 보호","Pele Mecânica","Кожа лудильщика","Piel de hojalata","Tinkerskin","焊匠之膚","","","","","","","","","",""
