"rownum","Id","Types","ExtraMods","TypesFiltered","DaemonSpawningData","PreviousTiers","bool","Bosses","Radius","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","HASH16","TypesExtra","MonsterTypesApplyingRuin","MiscAnimated","BuffTemplates","Tier","i32","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","MonsterSpawners","bool","Achievements","TextAudio","UniqueMapMod"
20,"GraveyardDaemon1Trial",[14],[],[15],43,[],"",[],0,"Restless Ground","Terre tourmentée","Aufgewühlter Boden","眠らぬ大地","쉬지 못하는 흙","Solo Agitado","Беспокойная земля","Tierra agitada","พื้นเฮี้ยน ระดับ 1","躁動地面","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDead",35898,[],0,5237,[],1,0,"Patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Phantasms","Des surfaces de Sol désacralisé apparaissent.\r\nCes surfaces Entravent les joueurs et ressuscitent les monstres sous forme de Spectres.","Es erscheinen Flächen von unheiligem Boden, die Spieler lähmen und getötete Monster als Phantasmen wiederbeleben","不浄な領域が出現し、プレイヤーに妨害を付与すると共に倒された敵をファンタズムとして蘇生する","부정한 대지가 나타납니다. 대지에 있는 플레이어의 이동을 방해하고 쓰러뜨린 몬스터를 환영으로 부활시킵니다.","Poças de Solo Profano aparecerão e Retardarão jogadores e fazem com que os Monstros mortos ressuscitem como Fantasmas","Появятся участки нечистой земли, сковывающие игроков и воскрешающие убитых монстров в виде призраков","Aparecerán zonas de Tierra impía que entumecerán a los jugadores y resucitarán a los monstruos derrotados como fantasmas","พื้นเสื่่อมสักการะ จำนวนหนึ่งจะปรากฏ ซึ่งสร้างสถานะ ขัดขวาง ต่อผู้เล่น และทำให้มอนสเตอร์ที่ถูกสังหารถูกชุบชีวิตขึ้นมาเป็น ผี","出現數道邪惡之地阻礙玩家，使被擊殺的怪物以幻影復活",[],"",[7828],11310,""
21,"GraveyardDaemon2Trial","[14,22]",[],[15],44,[20],"",[],0,"Restless Ground II","Terre tourmentée II","Aufgewühlter Boden II","眠らぬ大地 II","쉬지 못하는 흙 II","Solo Agitado II","Беспокойная земля II","Tierra agitada II","พื้นเฮี้ยน ระดับ 2","躁動地面 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDead",32369,[],0,5237,[],2,0,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Phantasms","De nombreuses surfaces de Sol désacralisé apparaissent.\r\nCes surfaces Entravent les joueurs et ressuscitent les monstres sous forme de Spectres.","Es erscheinen viele Flächen von unheiligem Boden, die Spieler lähmen und getötete Monster als Phantasmen wiederbeleben","複数の不浄な領域が出現し、プレイヤーに妨害を付与すると共に倒された敵をファンタズムとして蘇生する","부정한 대지가 많이 나타납니다. 대지에 있는 플레이어의 이동을 방해하고 쓰러뜨린 몬스터를 환영으로 부활시킵니다.","Várias Poças de Solo Profano aparecerão e Retardarão jogadores e farão com que os Monstros mortos ressuscitem como Fantasmas","Появится множество участков нечистой земли, сковывающих игроков и воскрешающих убитых монстров в виде призраков","Aparecerán muchas zonas de Tierra impía que entumecerán a los jugadores y resucitarán a los monstruos derrotados como fantasmas","พื้นเสื่่อมสักการะ จำนวนมากจะปรากฏ ซึ่งสร้างสถานะ ขัดขวาง ต่อผู้เล่น และทำให้มอนสเตอร์ที่ถูกสังหารถูกชุบชีวิตขึ้นมาเป็น ผี","出現許多邪惡之地阻礙玩家，使被擊殺的怪物以幻影復活",[],"",[7828],11202,""
22,"GraveyardDaemon3Trial","[14,22,26]",[],[15],45,[21],"",[],0,"Restless Ground III","Terre tourmentée III","Aufgewühlter Boden III","眠らぬ大地 III","쉬지 못하는 흙 III","Solo Agitado III","Беспокойная земля III","Tierra agitada III","พื้นเฮี้ยน ระดับ 3","躁動地面 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDeadRuin",46867,[],0,5237,[],3,1,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Ruin-inflicting Phantasms\r\nFail on reaching 7 Ruin","De nombreuses surfaces de Sol désacralisé apparaissent.\r\nCes surfaces Entravent les joueurs et ressuscitent les monstres sous forme de Spectres capables de vous infliger 1 de Ruine.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Es erscheinen viele Flächen von unheiligem Boden, die Spieler lähmen und die getötete Monster als Phantasmen wiederbeleben, die Verderben verursachen\r\nIhr scheitert beim Erreichen von 7 Verderben","複数の不浄な領域が出現し、プレイヤーに妨害を付与すると共に倒された敵を崩壊を付与するファンタズムとして蘇生する\r\n崩壊が7に達するとウルティメイタムに失敗する","부정한 대지가 많이 나타납니다. 대지에 있는 플레이어의 이동을 방해하고 쓰러뜨린 몬스터를 파탄을 유발하는 환영으로 부활시킵니다.\r\n파탄이 7중첩 시 실패합니다.","Poças de Solo Profano aparecerão e Retardarão jogadores e fazem com que os Monstros mortos ressuscitem como Fantasmas causadores de Ruína\r\nFalha ao atingir 7 Ruínas","Появится множество участков нечистой земли, сковывающих игроков и воскрешающих убитых монстров в виде призраков, которые накладывают Гибель\r\nПоражение при достижении 7 эффектов Гибели","Aparecerán muchas zonas de Tierra impía que entumecerán a los jugadores y resucitarán a los monstruos derrotados como fantasmas que infligen Ruina\r\nFallas si alcanzas 7 de Ruina","พื้นเสื่่อมสักการะ จำนวนมากจะปรากฏ ซึ่งสร้างสถานะ ขัดขวาง ต่อผู้เล่น และทำให้มอนสเตอร์ที่ถูกสังหารถูกชุบชีวิตขึ้นมาเป็น ผี ที่สร้างสถานะ ย่อยยับ\r\nล้มเหลวเมื่อมีสถานะ ย่อยยับ 7 ระดับ","出現許多邪惡之地阻礙玩家，使被擊殺的怪物以造成毀滅的幻影復活\r\n到達 7 毀滅時失效",[],"","[7898,7828]",11148,""
23,"RevenantDaemon1","[15,26]",[],[14],46,[],"",[],0,"Stalking Ruin","Ruine persécutrice","Drohendes Verderben","付き纏う崩壊","뒤를 쫓는 파탄","Ruína Perseguidora","Крадущаяся гибель","Ruina acechante","ความย่อยยับที่ย่องตาม ระดับ 1","毀滅迷蹤","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Revenant",7958,[],0,5237,[],1,1,"An invulnerable shade stalks you, inflicting Ruin with its Melee Attacks\r\nFail on reaching 7 Ruin","Une Apparition invulnérable vous pourchasse.\r\nCette Apparition vous inflige 1 de Ruine avec ses attaques de mêlée.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Euch verfolgt ein unverwundbarer Schatten, der mit seinen Nahkampfangriffen Verderben verursacht\r\nIhr scheitert beim Erreichen von 7 Verderben","近接アタックにより崩壊を付与する不死身のシェードストーカーがプレイヤーを追跡する\r\n崩壊が7に達するとウルティメイタムに失敗する","무적 상태의 그림자가 당신을 따라다니며, 근접 공격으로 파탄을 유발합니다.\r\n파탄이 7중첩 시 실패합니다.","Uma sombra invulnerável o persegue, infligindo Ruína com seus Ataques Corpo a Corpo\r\nFalha ao atingir 7 Ruínas","Вас преследует неуязвимая тень, накладывающая Гибель атаками ближнего боя\r\nПоражение при достижении 7 эффектов Гибели","Te acecha una sombra invulnerable que aplica ruina con ataques cuerpo a cuerpo\r\nFallas si alcanzas 7 de Ruina","วิญญาณอมตะจะแอบย่องตามคุณ การ โจมตีประชิด ของมันจะทำให้คุณได้รับสถานะ ย่อยยับ\r\nล้มเหลวเมื่อมีสถานะ ย่อยยับ 7 ระดับ","一個無敵的陰影跟隨你，它的近戰攻擊造成毀滅\r\n到達 7 毀滅時失效",[],"",[7829],11136,31490
24,"RevenantDaemon2","[15,22,26]",[],[14],47,[23],"",[],0,"Stalking Ruin II","Ruine persécutrice II","Drohendes Verderben II","付き纏う崩壊 II","뒤를 쫓는 파탄 II","Ruína Perseguidora II","Крадущаяся гибель II","Ruina acechante II","ความย่อยยับที่ย่องตาม ระดับ 2","毀滅迷蹤 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Revenant",32061,[],0,5237,[],2,1,"An invulnerable shade stalks you, gaining speed and inflicting Ruin with Melee Attacks and Spells\r\nFail on reaching 7 Ruin","Une Apparition invulnérable et de plus en plus rapide vous pourchasse.\r\nCette Apparition vous inflige 1 de Ruine avec ses attaques de mêlée et ses sorts.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Euch verfolgt ein unverwundbarer Schatten, der schneller wird und mit seinen Nahkampfangriffen und Zaubern Verderben verursacht\r\nIhr scheitert beim Erreichen von 7 Verderben","近接アタックおよびスペルにより崩壊を付与する不死身のシェードストーカーがスピードを上げプレイヤーを追跡する\r\n崩壊が7に達するとウルティメイタムに失敗する","점점 빨라지는 무적 상태의 그림자가 당신을 따라다니며, 근접 공격과 주문으로 파탄을 유발합니다.\r\n파탄이 7중첩 시 실패합니다.","Uma sombra invulnerável o persegue, ganhando velocidade e infligindo Ruína com seus Ataques Corpo a Corpo e Magias\r\nFalha ao atingir 7 Ruínas","Вас преследует неуязвимая тень, ускоряющаяся и накладывающая Гибель атаками ближнего боя и чарами\r\nПоражение при достижении 7 эффектов Гибели","Te acecha una sombra invulnerable que gana velocidad y aplica Ruina con ataques cuerpo a cuerpo y hechizos\r\nFallas si alcanzas 7 de Ruina","วิญญาณอมตะจะแอบย่องตามคุณ มันจะเพิ่มความเร็วขึ้น และ การ โจมตีประชิดและเวท ของมันจะทำให้คุณติดสถานะ ย่อยยับ\r\nล้มเหลวเมื่อมีสถานะ ย่อยยับ 7 ระดับ","一個無敵的陰影跟隨你，它的近戰攻擊和法術造成毀滅\r\n到達 7 毀滅時失效",[],"",[7829],11139,31490
25,"RevenantDaemon3","[15,22,26]",[],[14],48,[24],"",[],0,"Stalking Ruin III","Ruine persécutrice III","Drohendes Verderben III","付き纏う崩壊 III","뒤를 쫓는 파탄 III","Ruína Perseguidora III","Крадущаяся гибель III","Ruina acechante III","ความย่อยยับที่ย่องตาม ระดับ 3","毀滅迷蹤 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Revenant",47172,[],0,5237,[],3,1,"An invulnerable shade stalks you, gaining further speed and inflicting Ruin with Melee Attacks and powerful Spells\r\nFail on reaching 7 Ruin","Une Apparition invulnérable et de plus en plus rapide vous pourchasse.\r\nCette Apparition vous inflige 1 de Ruine avec ses attaques de mêlée et ses sorts puissants.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Euch verfolgt ein unverwundbarer Schatten, der schneller wird und mit seinen Nahkampfangriffen und mächtigen Zaubern Verderben verursacht\r\nIhr scheitert beim Erreichen von 7 Verderben","近接アタックおよび強力なスペルにより崩壊を付与する不死身のシェードストーカーがさらにスピードを上げプレイヤーを追跡する\r\n崩壊が7に達するとウルティメイタムに失敗する","더욱 빨라지는 무적 상태의 그림자가 당신을 따라다니며, 근접 공격과 강력한 주문으로 파탄을 유발합니다.\r\n파탄이 7중첩 시 실패합니다.","Uma sombra invulnerável o persegue, ganhando ainda mais velocidade e infligindo Ruína com seus Ataques Corpo a Corpo e Magias poderosas\r\nFalha ao atingir 7 Ruínas","Вас преследует неуязвимая тень, ещё сильнее ускоряющаяся и накладывающая Гибель атаками ближнего боя и мощными чарами\r\nПоражение при достижении 7 эффектов Гибели","Te acecha una sombra invulnerable que gana más velocidad y aplica Ruina con ataques cuerpo a cuerpo y hechizos poderosos\r\nFallas si alcanzas 7 de Ruina","วิญญาณอมตะจะแอบย่องตามคุณ มันจะเพิ่มความเร็วขึ้น อีก และ การโจมตีประชิดและเวท อันทรงพลังของมันจะทำให้คุณติดสถานะ ย่อยยับ\r\nล้มเหลวเมื่อมีสถานะ ย่อยยับ 7 ระดับ","一個無敵的陰影跟隨你，它的近戰攻擊和強力法術造成毀滅\r\n到達 10 毀滅時失效",[],"","[7899,7829]",11133,31490
26,"SawbladeDaemon1",[16],[],[],49,[],"",[],0,"Razor Dance","Danse des lames","Messertanz","剃刀の舞","면도날 춤","Dança da Navalha","Танец лезвий","Baile de cuchillas","เลื่อยร่ายรำ ระดับ 1","飛刃舞步","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Sawblade",7052,[],0,5425,[],1,0,"Blades will periodically appear and fly at you, applying Corrupted Blood on Hit","Des lames apparaissent à intervalles réguliers.\r\nCes lames s'en prennent à vous et infligent Sang corrompu si elles vous touchent.","Es erscheinen regelmäßig Klingen, die auf Euch zufliegen und bei Treffer Verderbtes Blut anwenden","ヒット時に汚染された血を付与する刃が定期的に出現しプレイヤーに向かって飛ぶ","칼날이 주기적으로 나타나 당신을 향해 날아가며, 명중 시 타락한 피를 적용합니다.","Lâminas serão disparadas periodicamente e voarão até você, aplicando Sangue Corrompido ao Acertar","В вас периодически будут выпускаться лезвия, накладывающие Осквернённую кровь при нанесении удара","Periódicamente aparecerán cuchillas que volarán hacia ti y aplicarán Sangre corrupta con cada golpe","เลื่อยจะปรากฏเป็นระยะ และพุ่งเข้าหาคุณ สร้างสถานะ โลหิตมลทิน ต่อคุณเมื่อปะทะ","刀刃持續出現並向你發射，擊中時造成腐化之血",[],"",[7830],11316,31491
27,"SawbladeDaemon2",[16],[],[],50,[26],"",[],0,"Razor Dance II","Danse des lames II","Messertanz II","剃刀の舞 II","면도날 춤 II","Dança da Navalha II","Танец лезвий II","Baile de cuchillas II","เลื่อยร่ายรำ ระดับ 2","飛刃舞步 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Sawblade",45148,[],0,5425,[],2,0,"Many blades will periodically appear and fly at you, applying Corrupted Blood on Hit","De nombreuses lames apparaissent à intervalles réguliers.\r\nCes lames s'en prennent à vous et infligent Sang corrompu si elles vous touchent.","Es erscheinen regelmäßig viele Klingen, die auf Euch zufliegen und bei Treffer Verderbtes Blut anwenden","ヒット時に汚染された血を付与する複数の刃が定期的に出現しプレイヤーに向かって飛ぶ","많은 칼날이 주기적으로 나타나 당신을 향해 날아가며, 명중 시 타락한 피를 적용합니다.","Várias Lâminas serão disparadas periodicamente e voarão até você, aplicando Sangue Corrompido ao Acertar","В вас периодически будет выпускаться множество лезвий, накладывающих Осквернённую кровь при нанесении удара","Periódicamente aparecerán muchas cuchillas que volarán hacia ti y aplicarán Sangre corrupta con cada golpe","เลื่อยจำนวนมากจะปรากฏเป็นระยะ และพุ่งเข้าหาคุณ สร้างสถานะ โลหิตมลทิน ต่อคุณเมื่อปะทะ","許多刀刃持續出現並向你發射，擊中時造成腐化之血",[],"",[7830],11319,31491
28,"SawbladeDaemon3",[16],[],[],51,[27],"",[],0,"Razor Dance III","Danse des lames III","Messertanz III","剃刀の舞 III","면도날 춤 III","Dança da Navalha III","Танец лезвий III","Baile de cuchillas III","เลื่อยร่ายรำ ระดับ 3","飛刃舞步 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Sawblade",22941,[],0,5425,[],3,0,"Swarms of blades will periodically appear and fly at you, applying Corrupted Blood on Hit","Des nuées de lames apparaissent à intervalles réguliers.\r\nCes lames s'en prennent à vous et infligent Sang corrompu si elles vous touchent.","Es erscheinen regelmäßig Schwärme von Klingen, die auf Euch zufliegen und bei Treffer Verderbtes Blut anwenden","ヒット時に汚染された血を付与する無数の刃が定期的に出現しプレイヤーに向かって飛ぶ","더욱 많은 칼날이 주기적으로 나타나 당신을 향해 날아가며, 명중 시 타락한 피를 적용합니다.","Enxames de Lâminas serão disparadas periodicamente e voarão até você, aplicando Sangue Corrompido ao Acertar","В вас периодически будут выпускаться тучи лезвий, накладывающих Осквернённую кровь при нанесении удара","Periódicamente aparecerán aluviones de cuchillas que volarán hacia ti y aplicarán Sangre corrupta con cada golpe","เลื่อยจำนวนมหาศาลจะปรากฏเป็นระยะ และพุ่งเข้าหาคุณ สร้างสถานะ โลหิตมลทิน ต่อคุณเมื่อปะทะ","更多刀刃持續出現並向你發射，擊中時造成腐化之血",[],"","[7900,7830]",11322,31491
29,"PhysTotemDaemon","[17,19,8,24]",[],"[18,24]",52,[],"",[],0,"Totem of Costly Might","Totem de Puissance destructrice","Totem der zwiespältigen Macht","高価な力のトーテム","완력의 대가 토템","Totem do Poder Suntuoso","Тотем дорогостоящей силы","Tótem de poder costoso","โทเทมแห่งความเกรียงไกรอันแสนแพง","耗力圖騰","Art/2DArt/UIImages/InGame/Ultimatum/Icons/PhysicalTotem",8887,[],0,5237,[],1,0,"An invulnerable Totem will appear that imbues both its allies and its enemies with Speed and powerful Physical Damage benefits, but causes enemies to take 10% of their maximum Life and Energy Shield as Physical Damage per second","Un Totem invulnérable apparaît.\r\nCe Totem applique un bonus de Vitesse et un puissant bonus de Dégâts physiques à ses alliés et à ses ennemis.\r\nCependant, ses ennemis subissent chaque seconde des Dégâts physiques équivalents à 10% de leur Vie et leur Bouclier d'énergie maximaux.","Es erscheint ein unverwundbares Totem, das Verbündete und Gegner mit Geschwindigkeit und physischem Schaden verstärkt, aber bewirkt, dass Gegner 10% ihres maximalen Lebens und Energieschilds als physischen Schaden pro Sekunde erleiden","不死身のトーテムが出現しその味方および敵にスピードおよび強力な物理ダメージを付与するが、敵はその最大ライフおよびエナジーシールドの10％を毎秒火ダメージとして受ける","무적의 토템이 나타납니다. 토템은 자신의 아군과 적 모두에게 속도와 강력한 물리 피해 혜택을 부여하지만, 적에게는 1초마다 적의 최대 생명력과 최대 에너지 보호막의 10%를 물리 피해로 줍니다.","Um Totem invulnerável aparecerá e imbuirá tanto aliados quanto inimigos com Velocidade e poderosos benefícios de Dano Físico, mas faz com que os inimigos sofram 10% de suas Vidas e Escudo de Energia máximos como Dano Físico por segundo","Появится неуязвимый тотем, который ускоряет союзников и врагов и наделяет тех и других мощными преимуществами физического урона, но заставляет врагов получать 10% от их максимума здоровья и энергетического щита в виде физического урона в секунду","Aparecerá un tótem invulnerable que imbuirá tanto a sus aliados como a sus enemigos con velocidad y beneficios poderosos para el daño físico, pero causará que los enemigos reciban un 10% de su vida y escudo de energía máximos como daño físico por segundo","โทเทมอมตะจะปรากฏ ซึ่งจะเพิ่ม ความเร็ว และความเสียหาย กายภาพ ให้กับเพื่อนและศัตรูของมัน แต่ทำให้ศัตรูได้รับความเสียหาย กายภาพ ทุกวินาที เท่ากับ 10% ของ พลังชีวิตและโล่พลังงานสูงสุดของมัน ทุกวินาที","無敵的圖騰增強友方和敵人，更快速和強力的物理傷害加成，但使敵人每秒承受 10% 他們最大生命和能量護盾的物理傷害",[],"",[7831],11313,31492
30,"EleTotemDaemon","[18,19,8,25]",[],"[17,25]",53,[],"",[],0,"Totem of Costly Potency","Totem d'Énergie destructrice","Totem der zwiespältigen Kraft","高価な効能のトーテム","잠재력의 대가 토템","Totem da Potencia Suntuosa","Тотем дорогостоящего могущества","Tótem de potencia costosa","โทเทมแห่งศักยภาพอันแสนแพง","耗能圖騰","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ElementalTotem",58910,[],0,5237,[],1,0,"An invulnerable Totem will appear that imbues both its allies and its enemies with Speed and powerful Elemental Damage benefits, but causes enemies to take 15% of their maximum Life and Energy Shield as Fire Damage per second","Un Totem invulnérable apparaît.\r\nCe Totem applique un bonus de Vitesse et un puissant bonus de Dégâts élémentaires à ses alliés et à ses ennemis.\r\nCependant, ses ennemis subissent chaque seconde des Dégâts de feu équivalents à 15% de leur Vie et leur Bouclier d'énergie maximaux.","Es erscheint ein unverwundbares Totem, das Verbündete und Gegner mit Geschwindigkeit und Elementarschaden verstärkt, aber bewirkt, dass Gegner 15% ihres maximalen Lebens und Energieschilds als Feuerschaden pro Sekunde erleiden","不死身のトーテムが出現しその味方および敵にスピードおよび強力な元素ダメージを付与するが、敵はその最大ライフおよびエナジーシールドの15％を毎秒火ダメージとして受ける","무적의 토템이 나타납니다. 토템은 자신의 아군과 적 모두에게 속도와 강력한 원소 피해 혜택을 부여하지만, 적에게는 1초마다 적의 최대 생명력과 최대 에너지 보호막의 15%를 화염 피해로 줍니다.","Um Totem invulnerável aparecerá e imbuirá tanto aliados quanto inimigos com Velocidade e poderosos benefícios de Dano Físico, mas faz com que os inimigos sofram 15% de suas Vidas e Escudo de Energia máximos como Dano Físico por segundo","Появится неуязвимый тотем, который ускоряет союзников и врагов и наделяет тех и других мощными преимуществами стихийного урона, но заставляет врагов получать 15% от их максимума здоровья и энергетического щита в виде урона от огня в секунду","Aparecerá un tótem invulnerable que imbuirá tanto a sus aliados como a sus enemigos con velocidad y beneficios poderosos para el daño elemental, pero causará que los enemigos reciban un 15% de su vida y escudo de energía máximos como daño de fuego por segundo","โทเทมอมตะจะปรากฏ ซึ่งจะเพิ่ม ความเร็ว และความเสียหาย ธาตุ ให้กับเพื่อนและศัตรูของมัน แต่ทำให้ศัตรูได้รับความเสียหาย ไฟ ทุกวินาที เท่ากับ 15% ของ พลังชีวิตและโล่พลังงานสูงสุดของมัน","無敵的圖騰增強友方和敵人，更快速和強力的元素傷害加成，但使敵人每秒承受 15% 他們最大生命和能量護盾的物理傷害",[],"",[7832],11292,31493
31,"BossTrialMaster",[7],[],[],"",[],"",[8498],0,"The Trialmaster","Le Maître des Épreuves","Der Prüfungsmeister","トライアルマスター","시련의 대가","O Mestre das Provações","Мастер испытаний","El Maestro de pruebas","ผู้คุมบททดสอบ","試煉大師","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EncounterDaemonEffect",58468,[],0,"",[],1,0,"","","","","","","","","","",[],"",[],"",""
32,"Radius1",[6],[],[11],"",[],"",[],55,"Limited Arena","Arène réduite","Begrenzte Arena","制限された領域","투기장 면적 제한","Arena Limitada","Ограниченная арена","Arena reducida","ลานประลองที่ถูกจำกัด","受限競技場","Art/2DArt/UIImages/InGame/Ultimatum/Icons/CantLeaveArea",5539,[22],0,"",[],1,0,"The encounter area will be much smaller","Réduit considérablement la circonférence du cercle des Épreuves.","Die Arena der Begegnung ist viel kleiner","エンカウンターの範囲がより狭くなる","인카운터 영역이 훨씬 좁아집니다","A área do encontro é muito menor","Область схватки будет намного меньше","El área del encuentro será mucho más pequeña","พื้นที่การเผชิญหน้าจะมีขนาดเล็กลงมาก","事件區域更小",[],"",[7833],11334,""
33,"MonstersApplyRuin1","[2,26]",[],[],"",[],"",[],0,"Ruin","Ruine","Verderben","崩壊","파탄","Ruína","Гибель","Ruina","ย่อยยับ ระดับ 1","毀滅","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",21525,[10],1,"",[],1,1,"A Monster type will apply Ruin with its special ability\r\nFail on reaching 7 Ruin","Un type de monstre peut vous infliger 1 de Ruine grâce à sa compétence spéciale.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Ein Monstertyp verursacht mit seiner besonderen Fähigkeit Verderben\r\nIhr scheitert beim Erreichen von 7 Verderben","1種類のモンスタータイプが特殊なアビリティにより崩壊を付与する\r\n崩壊が7に達するとウルティメイタムに失敗する","1개의 몬스터 유형이 특수 능력으로 파탄을 유발합니다.\r\n파탄이 7중첩 시 실패합니다.","Um tipo de Monstro aplicará Ruína com sua habilidade especial\r\nFalha ao atingir 7 de Ruína","Один вид монстров будет накладывать Гибель особой способностью\r\nПоражение при достижении 7 эффектов Гибели","Un tipo de monstruo aplicará Ruina con su habilidad especial\r\nFallas si alcanzas 7 de Ruina","มอนสเตอร์ 1 ชนิดจะทำให้คุณได้รับสถานะ ย่อยยับ ด้วยความสามารถพิเศษของมัน\r\nล้มเหลวเมื่อมีสถานะ ย่อยยับ 7 ระดับ","一種怪物種類會用他的特殊能力造成毀滅\r\n到達 7 毀滅時失效",[],"",[7936],11133,""
34,"MonstersApplyRuin2","[2,26]",[],[],"",[33],"",[],0,"Ruin II","Ruine II","Verderben II","崩壊 II","파탄 II","Ruína II","Гибель II","Ruina II","ย่อยยับ ระดับ 2","毀滅 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",24728,[10],1,"",[],2,2,"A Monster type will apply double Ruin with its special ability\r\nFail on reaching 7 Ruin","Un type de monstre peut vous infliger 2 de Ruine grâce à sa compétence spéciale.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Ein Monstertyp verursacht mit seiner besonderen Fähigkeit doppeltes Verderben\r\nIhr scheitert beim Erreichen von 7 Verderben","1種類のモンスタータイプが特殊なアビリティにより崩壊を2倍付与する\r\n崩壊が7に達するとウルティメイタムに失敗する","1개의 몬스터 유형이 특수 능력으로 파탄을 2배 유발합니다.\r\n파탄이 7중첩 시 실패합니다.","Um tipo de Monstro aplicará Ruína dobrada com sua habilidade especial\r\nFalha ao atingir 7 de Ruína","Один вид монстров будет накладывать двойной эффект Гибели особой способностью\r\nПоражение при достижении 7 эффектов Гибели","Un tipo de monstruo aplicará el doble de Ruina con su habilidad especial\r\nFallas si alcanzas 7 de ruina","มอนสเตอร์ ชนิดหนึ่งจะทำให้คุณได้รับสถานะ ย่อยยับ 2 ระดับ ด้วยความสามารถพิเศษของมัน\r\nล้มเหลวเมื่อมีสถานะ ย่อยยับ 7 ระดับ","一種怪物種類會用他的特殊能力造成雙倍毀滅\r\n到達 7 毀滅時失效",[],"",[7936],11139,""
35,"MonstersApplyRuin3","[2,26]",[],[],"",[34],"",[],0,"Ruin III","Ruine III","Verderben III","崩壊 III","파탄 III","Ruína III","Гибель III","Ruina III","ย่อยยับ ระดับ 3","毀滅 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",35694,[10],2,"",[],3,2,"Two Monster types will apply double Ruin with their special abilities\r\nFail on reaching 7 Ruin","Deux types de monstres peuvent vous infliger 2 de Ruine grâce à leur compétence spéciale.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Zwei Monstertypen verursachen mit ihrer besonderen Fähigkeit doppeltes Verderben\r\nIhr scheitert beim Erreichen von 7 Verderben","2種類のモンスタータイプが特殊なアビリティにより崩壊を2倍付与する\r\n崩壊が7に達するとウルティメイタムに失敗する","2개의 몬스터 유형이 특수 능력으로 파탄을 2배 유발합니다.\r\n파탄이 7이 되면 실패합니다.","Dois tipos de Monstros aplicará Ruína dobrada com sua habilidade especial\r\nFalha ao atingir 7 de Ruína","Два вида монстров будут накладывать двойной эффект Гибели особыми способностями\r\nПоражение при достижении 7 эффектов Гибели","Dos tipos de monstruos aplicarán el doble de Ruina con sus habilidades especiales\r\nFallas si alcanzas 7 de ruina","มอนสเตอร์ 2 ชนิดจะทำให้คุณได้รับสถานะ ย่อยยับ 2 ระดับ ด้วยความสามารถพิเศษของมัน\r\nล้มเหลวเมื่อมีสถานะ ย่อยยับ 7 ระดับ","兩種怪物種類會用他的特殊能力造成雙倍毀滅\r\n到達 7 毀滅時失效",[],"","[7901,7936]",11145,""
