"rownum","Id","Function","Arguments","TextAudio","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","BuyAchievements","rid","DealFamily"
39,39,"add_mod_to_rare_highest_of_X","prefix 5",12016,"Add a Prefix Modifier 5 times, but only keep the best outcome.","Ajoute 5 fois un Préfixe, mais ne conserve que le meilleur résultat.","Fügt 5-mal einen Präfix-Modifikator hinzu, aber behält nur das beste Ergebnis bei.","プレフィックスモッドを5回追加するが、最良の結果のみを残す。","접두어 속성 부여를 5회 추가하여 최선의 결과만 적용합니다.","Adiciona um Modificador Prefixo 5 vezes, mantendo somente o melhor resultado.","Добавить префикс 5 раз, сохранив только лучший результат.","Agrega un modificador de prefijo 5 veces, pero solo se queda con el mejor resultado.","เพิ่ม ม็อด​พรีฟิกซ์ 1 อย่าง 5 ครั้ง แต่​เก็บ​เพียง​ผลลัพธ์​ที่​ดี​ที่สุด","新增 1 個前綴 5 次，但僅保留最佳結果。",[8081],34,10
40,40,"add_mod_to_rare_highest_of_X","suffix 1",12017,"Add a Suffix Modifier.","Ajoute un Suffixe.","Fügt einen Suffix-Modifikator hinzu.","サフィックスモッドを追加する。","접미어 속성 부여를 추가합니다.","Adiciona um Modificador Sufixo.","Добавить суффикс.","Agrega un modificador de sufijo.","เพิ่ม ม็อด​ซัฟฟิกซ์ 1 อย่าง","新增 1 個後綴。",[8082],34,11
41,41,"add_mod_to_rare_highest_of_X","suffix 3",12018,"Add a Suffix Modifier 3 times, but only keep the best outcome.","Ajoute 3 fois un Suffixe, mais ne conserve que le meilleur résultat.","Fügt 3-mal einen Suffix-Modifikator hinzu, aber behält nur das beste Ergebnis bei.","サフィックスモッドを3回追加するが、最良の結果のみを残す。","접미어 속성 부여를 3회 추가하여 최선의 결과만 적용합니다.","Adiciona um Modificador Sufixo 3 vezes, mantendo somente o melhor resultado.","Добавить суффикс 3 раза, сохранив только лучший результат.","Agrega un modificador de sufijo 3 veces, pero solo se queda con el mejor resultado.","เพิ่ม ม็อด​ซัฟฟิกซ์ 1 อย่าง 3 ครั้ง แต่​เก็บ​เพียง​ผลลัพธ์​ที่​ดี​ที่สุด","新增 1 個後綴 3 次，但僅保留最佳結果。",[8082],34,11
42,42,"add_mod_to_rare_highest_of_X","suffix 5",12018,"Add a Suffix Modifier 5 times, but only keep the best outcome.","Ajoute 5 fois un Suffixe, mais ne conserve que le meilleur résultat.","Fügt 5-mal einen Suffix-Modifikator hinzu, aber behält nur das beste Ergebnis bei.","サフィックスモッドを5回追加するが、最良の結果のみを残す。","접미어 속성 부여를 5회 추가하여 최선의 결과만 적용합니다.","Adiciona um Modificador Sufixo 5 vezes, mantendo somente o melhor resultado.","Добавить суффикс 5 раз, сохранив только лучший результат.","Agrega un modificador de sufijo 5 veces, pero solo se queda con el mejor resultado.","เพิ่ม ม็อด​ซัฟฟิกซ์ 1 อย่าง 5 ครั้ง แต่​เก็บ​เพียง​ผลลัพธ์​ที่​ดี​ที่สุด","新增 1 個後綴 5 次，但僅保留最佳結果。",[8082],34,11
43,43,"fill_mods_on_rare","",12019,"Fill all empty Modifier slots.","Remplit tous les emplacements libres de Modificateurs.","Füllt alle leeren Modifikatorenplätze.","全ての空いているモッドスロットを埋める。","빈 속성 부여 슬롯을 전부 채웁니다.","Preenche um espaço de Modificador vazio.","Заполнить все доступные места для свойств.","Rellena todos los espacios vacíos de modificadores.","เติม​ช่อง​ม็อด​ที่​ว่าง​ทั้งหมด​ให้​เต็ม","填滿全部空白詞綴欄。",[],34,12
44,44,"use_x_jeweller","10",12003,"Reforge the number of sockets on an item 10 times, using the outcome with the greatest number of sockets","Remodèle 10 fois la quantité de Châsses, et conserve le résultat le plus élevé.","Verändert die Anzahl der Fassungen eines Gegenstands 10-mal und behält das Ergebnis mit der höchsten Anzahl an Fassungen bei.","アイテムのソケット数を10回リフォージし、ソケットが最も多かった結果を採用する","아이템의 홈 개수 10회 재련. 홈 개수가 가장 많은 결과 적용","Reforja o número de encaixes em um item 10 vezes, usando o resultado com o maior número de encaixes.","Перековать количество гнёзд на предмете 10 раз, сохранив результат с наибольшим количеством гнёзд.","Reforja el número de engarces de un objeto 10 veces y se queda con el resultado que tenga el mayor número de engarces","สุ่ม​เจาะ​รู บน​ไอเทม​ขึ้น​มา​ใหม่ 10 ครั้ง และ​ใช้​ผลลัพธ์​ที่​ให้​ จำนวน​รู ​มาก​ที่สุด","重鑄物品的插槽數量 10 次，使用最多插槽數量的結果。",[8083],34,13
45,45,"use_x_jeweller","20",12003,"Reforge the number of sockets on an item 20 times, using the outcome with the greatest number of sockets","Remodèle 20 fois la quantité de Châsses, et conserve le résultat le plus élevé.","Verändert die Anzahl der Fassungen eines Gegenstands 20-mal und behält das Ergebnis mit der höchsten Anzahl an Fassungen bei.","アイテムのソケット数を20回リフォージし、ソケットが最も多かった結果を採用する","아이템의 홈 개수 20회 재련. 홈 개수가 가장 많은 결과 적용","Reforja o número de encaixes em um item 20 vezes, usando o resultado com o maior número de encaixes.","Перековать количество гнёзд на предмете 20 раз, сохранив результат с наибольшим количеством гнёзд.","Reforja el número de engarces de un objeto 20 veces y se queda con el resultado que tenga el mayor número de engarces","สุ่ม​เจาะ​รู บน​ไอเทม​ขึ้น​มา​ใหม่ 20 ครั้ง และ​ใช้​ผลลัพธ์​ที่​ให้​ จำนวน​รู ​มาก​ที่สุด","重鑄物品的插槽數量 20 次，使用最多插槽數量的結果。",[8083],34,13
46,46,"use_x_jeweller","30",12003,"Reforge the number of sockets on an item 30 times, using the outcome with the greatest number of sockets","Remodèle 30 fois la quantité de Châsses, et conserve le résultat le plus élevé.","Verändert die Anzahl der Fassungen eines Gegenstands 30-mal und behält das Ergebnis mit der höchsten Anzahl an Fassungen bei.","アイテムのソケット数を30回リフォージし、ソケットが最も多かった結果を採用する","아이템의 홈 개수 30회 재련. 홈 개수가 가장 많은 결과 적용","Reforja o número de encaixes em um item 30 vezes, usando o resultado com o maior número de encaixes.","Перековать количество гнёзд на предмете 30 раз, сохранив результат с наибольшим количеством гнёзд.","Reforja el número de engarces de un objeto 30 veces y se queda con el resultado que tenga el mayor número de engarces","สุ่ม​เจาะ​รู บน​ไอเทม​ขึ้น​มา​ใหม่ 30 ครั้ง และ​ใช้​ผลลัพธ์​ที่​ให้ จำนวน​รู มาก​ที่สุด","重鑄物品的插槽數量 30 次，使用最多插槽數量的結果。",[8083],34,13
47,47,"use_x_jeweller","100",12003,"Reforge the number of sockets on an item 100 times, using the outcome with the greatest number of sockets","Remodèle 100 fois les liaisons entre les Châsses, et conserve le résultat le plus élevé.","Verändert die Anzahl der Fassungen eines Gegenstands 100-mal und behält das Ergebnis mit der höchsten Anzahl an Fassungen bei.","アイテムのソケット数を100回リフォージし、ソケットが最も多かった結果を採用する","아이템의 홈 개수 100회 재련. 홈 개수가 가장 많은 결과 적용","Reforja o número de encaixes em um item 100 vezes, usando o resultado com o maior número de encaixes.","Перековать количество гнёзд на предмете 100 раз, сохранив результат с наибольшим количеством гнёзд.","Reforja el número de engarces de un objeto 100 veces y se queda con el resultado que tenga el mayor número de engarces","สุ่ม​เจาะ​รู บน​ไอเทม​ขึ้น​มา​ใหม่ 100 ครั้ง และ​ใช้​ผลลัพธ์​ที่​ให้ จำนวน​รู ​มาก​ที่สุด","重鑄物品上插槽的數量 100 次，使用最多插槽數量的結果。",[8083],34,13
48,48,"use_x_fuse","10",12004,"Reforge the links between sockets on an item 10 times, using the outcome with the greatest number of linked sockets","Remodèle 10 fois les liaisons entre les Châsses, et conserve le résultat le plus élevé.","Verändert die Anzahl der verbundenen Fassungen eines Gegenstands 10-mal und behält das Ergebnis mit der höchsten Anzahl an verbundenen Fassungen bei.","ソケット間のリンクを10回リフォージし、リンクされたソケットが最も多かった結果を採用する","아이템의 홈 연결부 10회 재련. 연결된 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre os encaixes em um item 10 vezes, usando o resultado com o maior número de encaixes.","Перековать количество связей между гнёздами на предмете 10 раз, сохранив результат с наибольшим количеством связанных гнёзд.","Reforja los vínculos entre engarces de un objeto 10 veces y se queda con el resultado que tenga el mayor número de engarces vinculados","สุ่ม​เชื่อม​รู บน​ไอเทม​ขึ้น​มา​ใหม่ 10 ครั้ง และ​ใช้​ผลลัพธ์​ที่​ให้​ จำนวน​เชื่อม ​มาก​ที่สุด","重鑄物品的相連插槽數量 10 次，使用最多相連插槽數量的結果。",[8084],34,14
49,49,"use_x_fuse","20",12004,"Reforge the links between sockets on an item 20 times, using the outcome with the greatest number of linked sockets","Remodèle 20 fois les liaisons entre les Châsses, et conserve le résultat le plus élevé.","Verändert die Anzahl der verbundenen Fassungen eines Gegenstands 20-mal und behält das Ergebnis mit der höchsten Anzahl an verbundenen Fassungen bei.","ソケット間のリンクを20回リフォージし、リンクされたソケットが最も多かった結果を採用する","아이템의 홈 연결부 20회 재련. 연결된 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre os encaixes em um item 20 vezes, usando o resultado com o maior número de encaixes.","Перековать количество связей между гнёздами на предмете 20 раз, сохранив результат с наибольшим количеством связанных гнёзд.","Reforja los vínculos entre engarces de un objeto 20 veces y se queda con el resultado que tenga el mayor número de engarces vinculados","สุ่ม​เชื่อม​รู บน​ไอเทม​ขึ้น​มา​ใหม่ 20 ครั้ง และ​ใช้​ผลลัพธ์​ที่​ให้​ จำนวน​เชื่อม ​มาก​ที่สุด","重鑄物品的相連插槽數量 20 次，使用最多相連插槽數量的結果。",[8084],34,14
50,50,"use_x_fuse","30",12004,"Reforge the links between sockets on an item 30 times, using the outcome with the greatest number of linked sockets","Remodèle 30 fois les liaisons entre les Châsses, et conserve le résultat le plus élevé.","Verändert die Anzahl der verbundenen Fassungen eines Gegenstands 30-mal und behält das Ergebnis mit der höchsten Anzahl an verbundenen Fassungen bei.","ソケット間のリンクを30回リフォージし、リンクされたソケットが最も多かった結果を採用する","아이템의 홈 연결부 30회 재련. 연결된 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre os encaixes em um item 30 vezes, usando o resultado com o maior número de encaixes.","Перековать количество связей между гнёздами на предмете 30 раз, сохранив результат с наибольшим количеством связанных гнёзд.","Reforja los vínculos entre engarces de un objeto 30 veces y se queda con el resultado que tenga el mayor número de engarces vinculados","สุ่ม​เชื่อม​รู บน​ไอเทม​ขึ้น​มา​ใหม่ 30 ครั้ง และ​ใช้​ผลลัพธ์​ที่​ให้​ จำนวน​เชื่อม ​มาก​ที่สุด","重鑄物品的相連插槽數量 30 次，使用最多相連插槽數量的結果。",[8084],34,14
51,51,"use_x_fuse","100",12004,"Reforge the links between sockets on an item 100 times, using the outcome with the greatest number of linked sockets","Remodèle 100 fois les liaisons entre les Châsses, et conserve le résultat le plus élevé.","Verändert die Anzahl der verbundenen Fassungen eines Gegenstands 100-mal und behält das Ergebnis mit der höchsten Anzahl an verbundenen Fassungen bei.","ソケット間のリンクを100回リフォージし、リンクされたソケットが最も多かった結果を採用する","아이템의 홈 연결부 100회 재련. 연결된 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre os encaixes em um item 100 vezes, usando o resultado com o maior número de encaixes.","Перековать количество связей между гнёздами на предмете 100 раз, сохранив результат с наибольшим количеством связанных гнёзд.","Reforja los vínculos entre engarces de un objeto 100 veces y se queda con el resultado que tenga el mayor número de engarces vinculados","สุ่ม​เชื่อม​รู บน​ไอเทม​ขึ้น​มา​ใหม่ 100 ครั้ง และ​ใช้​ผลลัพธ์​ที่​ให้​ จำนวน​เชื่อม ​มาก​ที่สุด","重鑄物品上相連插槽的數量 100 次，使用最多相連插槽數量的結果。",[8084],34,14
52,52,"apply_random_incubator","",12020,"Apply a random Incubator to the item.","Applique un Incubateur au hasard sur l'objet.","Wendet einen zufälligen Inkubator auf den Gegenstand an.","アイテムにランダムなインキュベーターを適用する","아이템에 무작위 인큐베이터를 적용합니다.","Aplica um Incutador aleatório ao item.","Добавить случайный инкубатор на предмет.","Aplica una incubadora aleatoria al objeto.","ใช้​งาน ตัวบ่มฟัก​แบบ​สุ่ม 1 ชิ้น​ให้​กับ​ไอเทม","套用 1 個隨機培育器至物品上。",[8085],34,15
53,53,"add_random_quality_type","",12021,"Apply a random Quality type to the item.","Applique un type de Qualité au hasard sur l'objet.","Wendet einen zufälligen Qualitätstyp auf den Gegenstand an.","アイテムにランダムな品質タイプを適用する","아이템에 무작위 퀄리티 유형을 적용합니다.","Aplica um tipo de Qualidade aleatório ao item.","Добавить случайный тип качества на предмет.","Aplica un tipo de calidad aleatorio al objeto.","ใช้​งาน ค่าคุณภาพ​แบบ​สุ่ม 1 ชนิด​ให้​กับ​ไอเทม","套用 1 個隨機品質類型至物品上。",[8086],34,16
54,54,"set_quality","20",12022,"Set quality on the item to 20%.","Fait passer la Qualité de l'objet à 20%.","Verändert die Qualität des Gegenstands auf 20%.","アイテムの品質を20%に変更する","아이템의 퀄리티를 20%로 설정합니다.","Ajusta a qualidade do item para 20%.","Установить качество предмета на 20%.","Establece la calidad del objeto al 20%.","ปรับ ค่าคุณภาพ ของ​ไอเทม​ให้​เป็น 20%","將物品品質設為 20%。",[8087],35,17
55,55,"apply_random_anointment","",12023,"Apply a random Anointment to the item.","Applique une Onction au hasard sur l'objet.","Wendet eine zufällige Weihung auf den Gegenstand an.","アイテムにランダムなアノイントメントを適用する","아이템에 무작위 성유를 바릅니다.","Aplica uma Unção aleatória ao item.","Обработать предмет случайным маслом.","Aplica una unción aleatoria al objeto.","ใช้​งาน การเจิม​แบบ​สุ่ม 1 อย่าง​ให้​กับ​ไอเทม","套用 1 個隨機抹油至物品上。",[8088],34,18
56,56,"set_quality","20",12022,"Set quality on the item to 20%.","Fait passer la Qualité de l'objet à 20%.","Verändert die Qualität des Gegenstands auf 20%.","アイテムの品質を20%に変更する","아이템의 퀄리티를 20%로 설정합니다.","Ajusta a qualidade do item para 20%.","Установить качество предмета на 20%.","Establece la calidad del objeto al 20%.","ปรับ ค่าคุณภาพ ของ​ไอเทม​ให้​เป็น 20%","將物品品質設為 20%。",[8087],34,17
57,57,"use_x_vaal","10",12006,"Corrupt the item, with a high chance of receiving a Corrupted Implicit","Corrompt l'objet, et a de grandes chandes de lui donner un implicite de corruption.","Verderbt den Gegenstand, mit einer hohen Chance, einen verderbten impliziten Modifikator zu erhalten.","アイテムをコラプトし、高い確率でコラプト暗黙モッドを獲得する","아이템을 타락시켜 높은 확률로 타락한 고정 속성 부여","Corrompe o item, com uma alta chance de receber um Implícito Corrompido.","Осквернить предмет с высоким шансом получения осквернённого собственного свойства.","Corrompe el objeto, con una probabilidad de recibir un implícito corrupto","ใส่​มลทิน​ให้​กับ​ไอ​เทม โดย​มี​โอกาส​สูง​ที่​จะ​ได้​รับ​ ม็​อด​แฝง​มลทิน 1 อย่าง","汙染物品，有高機率獲得 1 個已汙染固定詞綴。",[],34,19
58,58,"add_random_influence_to_type","Amulet Ring Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Quiver Belt Gloves Boots Body_Armour Helmet Shield Sceptre Rune_Dagger Warstaff",12007,"Add a random Influence type.","Ajoute un type d'Influence pris au hasard.","Fügt einen zufälligen Einflusstyp hinzu.","ランダムなインフルエンスを追加する。","영향력 유형 1개를 무작위로 추가합니다.","Adiciona um tipo de influência aleatório.","Добавить случайный тип влияния.","Agrega un tipo aleatorio de influencia.","เพิ่ม อิทธิพลแบบสุ่ม 1 ชนิด","增加 1 個隨機勢力種類。",[],34,20
59,59,"remove_affixes_of_type","prefix",12007,"Remove all Prefix Modifiers.","Retire tous les Préfixes.","Entfernt alle Präfix-Modifikatoren.","全てのプレフィックスモッドを取り除く。","모든 접두어 속성 부여를 제거합니다.","Remove todos os Modificadores Prefixos.","Убрать все префиксы.","Elimina todos los modificadores de prefijo.","ลบ ม็อด​พรีฟิกซ์ ทั้งหมด","移除全部前綴。",[],34,21
60,60,"remove_affixes_of_type","suffix",12007,"Remove all Suffix Modifiers.","Retire tous les Suffixes.","Entfernt alle Suffix-Modifikatoren","全てのサフィックスモッドを取り除く。","모든 접미어 속성 부여를 제거합니다.","Remove todos os Modificadores Sufixos.","Убрать все суффиксы.","Elimina todos los modificadores de sufijo.","ลบ ม็อด​ซัฟฟิกซ์ ทั้งหมด","移除全部後綴。",[],34,22
61,61,"remove_affixes_of_type","prefix",12007,"Remove all Prefix Modifiers.","Retire tous les Préfixes.","Entfernt alle Präfix-Modifikatoren.","全てのプレフィックスモッドを取り除く。","모든 접두어 속성 부여를 제거합니다.","Remove todos os Modificadores Prefixos.","Убрать все префиксы.","Elimina todos los modificadores de prefijo.","ลบ ม็อด​พรีฟิกซ์ ทั้งหมด","移除全部前綴。",[],34,21
62,62,"remove_affixes_of_type","suffix",12007,"Remove all Suffix Modifiers.","Retire tous les Suffixes.","Entfernt alle Suffix-Modifikatoren","全てのサフィックスモッドを取り除く。","모든 접미어 속성 부여를 제거합니다.","Remove todos os Modificadores Sufixos.","Убрать все суффиксы.","Elimina todos los modificadores de sufijo.","ลบ ม็อด​ซัฟฟิกซ์ ทั้งหมด","移除全部後綴。",[],34,22
63,63,"reroll_affixes_highest_of_X","prefix count 1",12008,"Reroll Prefixes.","Tire au hasard les Préfixes.","Verändert Präfixe.","プレフィックスをリロールする。","접두어를 무작위로 변경합니다.","Re-rolar Prefixos","Изменить префиксы.","Aleatoriza los prefijos.","สุ่ม ม็อด​​พรีฟิกซ์","重骰前綴。",[8074],34,1
64,64,"reroll_affixes_highest_of_X","suffix count 1",12009,"Reroll Suffixes.","Tire au hasard les Suffixes.","Verändert Suffixe.","サフィックスをリロールする。","접미어를 무작위로 변경합니다.","Re-rolar Sufixos","Изменить суффиксы.","Aleatoriza los sufijos.","สุ่ม ม็อด​ซัฟฟิกซ์","重骰後綴。",[8075],34,2
65,65,"add_mod_to_rare_highest_of_X","prefix 1",12015,"Add a Prefix Modifier.","Ajoute un Préfixe.","Fügt einen Präfix-Modifikator hinzu.","プレフィックスモッドを追加する。","접두어 속성 1개를 추가 부여합니다.","Adicionar um Modificador Prefixo","Добавить префикс.","Agrega un modificador de prefijo.","เพิ่ม ม็อด​พรีฟิกซ์ 1 อย่าง","新增 1 個前綴。",[8081],34,10
66,66,"add_mod_to_rare_highest_of_X","suffix 1",12017,"Add a Suffix Modifier.","Ajoute un Suffixe.","Fügt einen Suffix-Modifikator hinzu.","サフィックスモッドを追加する。","접미어 속성 1개를 추가 부여합니다.","Adicionar um Modificador Sufixo","Добавить суффикс.","Agrega un modificador de sufijo.","เพิ่ม ม็อด​ซัฟฟิกซ์ 1 อย่าง","新增 1 個後綴。",[8082],34,11
67,67,"reroll_affixes_highest_of_X","prefix count 1",12009,"Reroll Prefix Modifiers.","Tire au hasard les Préfixes.","Verändert die Präfix-Modifikatoren.","プレフィックスモッドをリロールする。","접두어 속성을 무작위 변경합니다.","Re-rola os Modificadores Prefixos.","Изменить свойства-префиксы.","Aleatoriza los modificadores de prefijo.","สุ่ม ม็อด​​พรีฟิกซ์","重骰前綴。",[],34,1
68,68,"reroll_affixes_highest_of_X","suffix count 1",12008,"Reroll Suffix Modifiers.","Tire au hasard les Suffixes.","Verändert die Suffix-Modifikatoren.","サフィックスモッドをリロールする。","접미어 속성을 무작위 변경합니다.","Re-rola os Modificadores Sufixos.","Изменить свойства-суффиксы.","Aleatoriza los modificadores de sufijo.","สุ่ม ม็อด​ซัฟฟิกซ์","重骰後綴。",[],34,2
69,69,"reroll_mods_lucky","prefix suffix single ignore_max count 1",12011,"Reroll Modifier Values of a single Modifier.","Tire au hasard les valeurs d'un seul Modificateur.","Verändert die Modifikatorenwerte eines einzelnen Modifikators.","1つのモッドの値をリロールする。","속성 1개의 속성 수치를 무작위 변경합니다.","Re-rola os Valores de Um Único Modificador.","Изменить значения свойства на одном свойстве.","Aleatoriza los valores de modificador de un solo modificador.","สุ่ม​ค่าตัวเลข​ของ​ ม็อด​ 1 ​อย่าง","重骰單一詞綴的數值。",[],34,3
70,70,"reroll_mods_lucky","prefix ignore_max count 1",12011,"Reroll Modifier Values of Prefixes.","Tire au hasard les valeurs des Préfixes.","Verändert die Präfix-Modifikatorenwerte.","プレフィックスのモッドの値をリロールする。","접두어의 속성 수치를 무작위 변경합니다.","Re-rola os Valores de Todos os Prefixos.","Изменить значения свойств-префиксов.","Aleatoriza los valores de los modificadores de prefijo.","สุ่ม​ค่าตัวเลข​ของ​ ม็อด​พรีฟิกซ์","重骰前綴的數值。",[],34,4
71,71,"reroll_mods_lucky","suffix ignore_max count 1",12011,"Reroll Modifier Values of Suffixes.","Tire au hasard les valeurs des Suffixes.","Verändert die Suffix-Modifikatorenwerte.","サフィックスのモッドの値をリロールする。","접미어의 속성 수치를 무작위 변경합니다.","Re-rola os Valores de Todos os Sufixos.","Изменить значений свойств-суффиксов.","Aleatoriza los valores de los modificadores de sufijo.","สุ่ม​ค่าตัวเลข​ของ​ ม็อด​ซัฟฟิกซ์","重骰後綴的數值。",[],34,5
72,72,"add_mod_to_rare_highest_of_X","prefix 1",12015,"Add a Prefix Modifier.","Ajoute un Préfixe.","Fügt einen Präfix-Modifikator hinzu.","プレフィックスモッドを追加する。","접두어 속성을 추가합니다.","Adiciona um Modificador Prefixo.","Добавить свойство-префикс.","Agrega un modificador de prefijo.","เพิ่ม ม็อด​พรีฟิกซ์ 1 อย่าง","新增 1 個前綴。",[],34,10
73,73,"add_mod_to_rare_highest_of_X","suffix 1",12017,"Add a Suffix Modifier.","Ajoute un Suffixe.","Fügt einen Suffix-Modifikator hinzu.","サフィックスモッドを追加する。","접미어 속성을 추가합니다.","Adiciona um Modificador Sufixo.","Добавить свойство-суффикс.","Agrega un modificador de sufijo.","เพิ่ม ม็อด​ซัฟฟิกซ์ 1 อย่าง","新增 1 個後綴。",[],34,11
74,74,"remove_X_lowest_level_mods","1",12013,"Remove a single Modifier with the lowest Modifier level.","Retire un seul Modificateur dont le Palier est le plus bas.","Entfernt einen einzelnen Modifikator mit der niedrigsten Modifikatorenstufe.","モッドレベルが最も低いモッドを1つ取り除く。","속성 레벨이 가장 낮은 속성 1개를 제거합니다.","Remove um único Modificador com o menor nível de Modificador.","Удалить одно свойство наименьшего уровня.","Elimina el modificador que tenga el menor nivel de modificador.","ลบ​ ม็อด 1 อย่าง ​ที่​มี​เลเวล​ของ​ม็อด​น้อย​ที่สุด","移除最低詞綴等級的單個詞綴。",[],34,9
75,75,"remove_affixes_of_type","prefix",12007,"Remove all Prefix Modifiers.","Retire tous les Préfixes.","Entfernt alle Präfix-Modifikatoren.","全てのプレフィックスモッドを取り除く。","모든 접두어 속성을 제거합니다.","Remove todos os Modificadores Prefixos.","Удалить все свойства-префиксы.","Elimina todos los modificadores de prefijo.","ลบ ม็อด​พรีฟิกซ์ ทั้งหมด","移除全部前綴。",[],34,21
76,76,"remove_affixes_of_type","suffix",12007,"Remove all Suffix Modifiers.","Retire tous les Suffixes.","Entfernt alle Suffix-Modifikatoren.","全てのサフィックスモッドを取り除く。","모든 접미어 속성을 제거합니다.","Remove todos os Modificadores Sufixos.","Удалить все свойства-суффиксы.","Elimina todos los modificadores de sufijo.","ลบ ม็อด​ซัฟฟิกซ์ ทั้งหมด","移除全部後綴。",[],34,22
77,77,"use_x_jeweller","10",12003,"Reforge the number of sockets on an item 10 times, using the outcome with the greatest number of sockets","Remodèle 10 fois la quantité de Châsses, et conserve le résultat le plus élevé.","Verändert die Anzahl der Fassungen eines Gegenstands 10-mal und behält das Ergebnis mit der höchsten Anzahl an Fassungen bei.","アイテムのソケット数を10回リフォージし、ソケットが最も多かった結果を採用する","아이템의 홈 개수 10회 재련. 홈 개수가 가장 많은 결과 적용","Reforja o número de encaixes em um item 10 vezes, usando o resultado com o maior número de encaixes","Перековать количество гнёзд на предмете 10 раз, сохранив результат с наибольшим количеством гнёзд.","Reforja el número de engarces de un objeto 10 veces y se queda con el resultado que tenga el mayor número de engarces","สุ่ม​เจาะ​รู บน​ไอเทม​ขึ้น​มา​ใหม่ 10 ครั้ง และ​ใช้​ผลลัพธ์​ที่​ให้​ จำนวน​รู ​มาก​ที่สุด","重鑄物品的插槽數量 10 次，使用最多插槽數量的結果。",[],34,13
78,78,"use_x_fuse","10",12004,"Reforge the links between sockets on an item 10 times, using the outcome with the greatest number of linked sockets","Remodèle 10 fois les liaisons entre les Châsses, et conserve le résultat le plus élevé.","Verändert die Anzahl der verbundenen Fassungen eines Gegenstands 10-mal und behält das Ergebnis mit der höchsten Anzahl an verbundenen Fassungen bei.","ソケット間のリンクを10回リフォージし、リンクされたソケットが最も多かった結果を採用する","아이템의 홈 연결부 10회 재련. 연결된 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre os encaixes em um item 10 vezes, usando o resultado com o maior número de encaixes","Перековать количество связей между гнёздами на предмете 10 раз, сохранив результат с наибольшим количеством связанных гнёзд.","Reforja los vínculos entre engarces de un objeto 10 veces y se queda con el resultado que tenga el mayor número de engarces vinculados","สุ่ม​เชื่อม​รู บน​ไอเทม​ขึ้น​มา​ใหม่ 10 ครั้ง และ​ใช้​ผลลัพธ์​ที่​ให้​ จำนวน​เชื่อม ​มาก​ที่สุด","重鑄物品的相連插槽數量 10 次，使用最多相連插槽數量的結果。",[],34,14
79,79,"upgrade_X_mods_to_max_tier","1 only_one_tier",12010,"Upgrade the level of a Modifier by 1 tier.","Améliore d'un niveau le Palier d'un Modificateur.","Wertet die Stufe eines Modifikators um 1 Level auf.","1つのモッドのレベルを1ティア上昇させる。","속성 부여 1개의 레벨을 1등급 업그레이드합니다.","Aprimora o nível de um Modificador em 1 tier.","Повысить уровень свойства на 1.","Mejora el nivel de un modificador en 1 grado.","อัพเกรด​เลเวล​ของ ​ม็อด 1 อย่าง 1 ระดับ","1 個詞綴階級提升 1 階。",[],34,8
80,80,"fill_mods_on_rare","",12019,"Fill all empty Modifier slots.","Remplit tous les emplacements libres de Modificateurs.","Füllt alle leeren Modifikatorenplätze.","全ての空いているモッドスロットを埋める。","빈 속성 부여 슬롯을 전부 채웁니다.","Preenche todos os espaços vazios de Modificadores.","Заполнить все доступные места для свойств.","Rellena todos los espacios vacíos de modificadores.","เติม​ช่อง​ม็อด​ที่​ว่าง​ทั้งหมด​ให้​เต็ม","填滿全部空詞綴的欄位。",[],34,12
81,81,"add_mod_to_magic_making_rare","1",12015,"Add a Modifier and make Rare.","Ajoute un Modificateur et rend l'objet rare.","Fügt einen Modifikator hinzu und macht Gegenstand selten.","モッドを1つ追加し、レアにする。","속성을 추가하고 희귀도를 희귀로 변경합니다.","Adiciona um Modificador e torna Raro.","Добавить свойство и сделать предмет редким.","Agrega un modificador y lo vuelve raro.","เพิ่ม ม็อด 1 อย่าง และ​ทำให้​เป็น แรร์","新增 1 個詞綴並使變旗稀有。",[],34,10
