"rownum","Id","Active_AOFiles","Idle_AOFiles","[string]","[string]","i32"
48,"FootprintsHuntsman","[""Metadata/Effects/Microtransactions/foot_prints/darkwood_huntsman/footprints_huntsman.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/darkwood_huntsman/footprints_huntsman.ao""]",[],[],49
49,"FootprintsTranscendence","[""Metadata/Effects/Microtransactions/foot_prints/darkwood/footprints_darkwood.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/darkwood/footprints_darkwood.ao""]",[],[],50
50,"FootprintsWild","[""Metadata/Effects/Microtransactions/foot_prints/frontier_wild/wild.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/frontier_wild/wild.ao""]",[],[],51
51,"FootprintsWildGold","[""Metadata/Effects/Microtransactions/foot_prints/frontier_wild/wild_gold.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/frontier_wild/wild_gold.ao""]",[],[],52
52,"FootprintsWrangler","[""Metadata/Effects/Microtransactions/foot_prints/frontier_wrangler/wrangler.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/frontier_wrangler/wrangler.ao""]",[],[],53
53,"FootprintsSilverWrangler","[""Metadata/Effects/Microtransactions/foot_prints/frontier_wrangler/wrangler_silver.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/frontier_wrangler/wrangler_silver.ao""]",[],[],54
54,"FootprintsMiracle","[""Metadata/Effects/Microtransactions/foot_prints/miracle/miraclefootprint_01.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/miracle/miraclefootprint_01.ao""]",[],[],55
55,"FootprintsRingmaster","[""Metadata/Effects/Microtransactions/foot_prints/carnival_ringmaster/Ringmaster_footprints.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/carnival_ringmaster/Ringmaster_footprints.ao""]",[],[],56
56,"FootprintsJovialRingmaster","[""Metadata/Effects/Microtransactions/foot_prints/carnival_ringmaster/Ringmaster_footprints_alt.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/carnival_ringmaster/Ringmaster_footprints_alt.ao""]",[],[],57
57,"FootprintsHarlequin","[""Metadata/Effects/Microtransactions/foot_prints/carnival_harlequin/Harlequin_footprints.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/carnival_harlequin/Harlequin_footprints.ao""]",[],[],58
58,"FootprintsDismalHarlequin","[""Metadata/Effects/Microtransactions/foot_prints/carnival_harlequin/Harlequin_footprints_alt.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/carnival_harlequin/Harlequin_footprints_alt.ao""]",[],[],59
59,"FootprintsChiyou","[""Metadata/Effects/Microtransactions/foot_prints/chiyou/chiyoufootprint_01.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/chiyou/town_idle/chiyoufootprint_01.ao""]",[],[],60
60,"FootprintsPolarisBlack","[""Metadata/Effects/Microtransactions/foot_prints/polaris_black/Black_Footprints.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/polaris_black/Black_Footprints.ao""]",[],[],61
61,"FootprintsPolarisWhite","[""Metadata/Effects/Microtransactions/foot_prints/polaris_white/White_Footprints.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/polaris_white/White_Footprints.ao""]",[],[],62
62,"FootprintsPolarisBlackandWhite","[""Metadata/Effects/Microtransactions/foot_prints/polaris/Polaris_Footprints.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/polaris/Polaris_Footprints.ao""]",[],[],63
63,"FootprintsStygian","[""Metadata/Effects/Microtransactions/foot_prints/Stygian/stygianFootprint.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/Stygian/stygianFootprint.ao""]",[],[],64
64,"FootprintsMetamorph","[""Metadata/Effects/Microtransactions/foot_prints/metamorph/footprint_metamorph.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/metamorph/footprint_metamorph.ao""]",[],[],65
65,"FootprintsWaterElemental","[""Metadata/Effects/Microtransactions/foot_prints/Water/waterFootprint.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/Water/waterFootprint.ao""]",[],[],66
66,"FootprintsDarkprism","[""Metadata/Effects/Microtransactions/foot_prints/darkprism/Darkprism_Footprints.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/darkprism/Darkprism_Footprints.ao""]",[],[],67
67,"FootprintsProject","[""Metadata/Effects/Microtransactions/foot_prints/thaumaturgy_project/Project_Footprints.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/thaumaturgy_project/Project_Footprints.ao""]",[],[],68
68,"FootprintsScientist","[""Metadata/Effects/Microtransactions/foot_prints/thaumaturgy_scientist/Scientist_Footprints.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/thaumaturgy_scientist/Scientist_Footprints.ao""]",[],[],69
69,"FootprintsThaumaturgy","[""Metadata/Effects/Microtransactions/foot_prints/thaumaturgy/Thaumaturgy_Footprints.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/thaumaturgy/Thaumaturgy_Footprints.ao""]",[],[],70
70,"FootprintsAngelic","[""Metadata/Effects/Microtransactions/foot_prints/angeldemon_angelic/Angelic_Footprints.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/angeldemon_angelic/Angelic_Footprints.ao""]",[],[],71
71,"FootprintsDemonic","[""Metadata/Effects/Microtransactions/foot_prints/angeldemon_demonic/Demonic_Footprints.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/angeldemon_demonic/Demonic_Footprints.ao""]",[],[],72
72,"FootprintsPandemonium","[""Metadata/Effects/Microtransactions/foot_prints/angeldemon/Pandemonium_Footprints.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/angeldemon/Pandemonium_Footprints.ao""]",[],[],73
73,"FootprintsHarvest","[""Metadata/Effects/Microtransactions/foot_prints/Harvest/harvestfootprint.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/Harvest/harvestfootprint.ao""]",[],[],74
74,"FootprintsGoddess","[""Metadata/Effects/Microtransactions/foot_prints/Goddess/GoddessFootPrint.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/Goddess/town_idle/GoddessFootPrint.ao""]",[],[],75
75,"FootprintsSunrise","[""Metadata/Effects/Microtransactions/foot_prints/twilight_sunrise/Footprints_Sunrise.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/twilight_sunrise/Footprints_Sunrise.ao""]",[],[],76
76,"FootprintsNightfall","[""Metadata/Effects/Microtransactions/foot_prints/twilight_nightfall/Footprints_Nightfall.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/twilight_nightfall/Footprints_Nightfall.ao""]",[],[],77
77,"FootprintsTwilight","[""Metadata/Effects/Microtransactions/foot_prints/twilight/Footprints_Twilight.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/twilight/Footprints_Twilight.ao""]",[],[],78
78,"FootprintsDarkwood","[""Metadata/Effects/Microtransactions/foot_prints/Darkwood_V2/DarkwoodFootPrint.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/Darkwood_V2/town_idle/DarkwoodFootPrint.ao""]",[],[],79
79,"FootprintsGoddessBlue","[""Metadata/Effects/Microtransactions/foot_prints/Goddess/GoddessFootPrintBlue.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/Goddess/GoddessFootPrintBlue.ao""]",[],[],80
80,"FootprintsSuffering","[""Metadata/Effects/Microtransactions/foot_prints/warlord_suffering/Footprints_Suffering.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/warlord_suffering/Footprints_Suffering.ao""]",[],[],81
81,"FootprintsMisery","[""Metadata/Effects/Microtransactions/foot_prints/warlord_misery/Footprints_Misery.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/warlord_misery/Footprints_Misery.ao""]",[],[],82
82,"FootprintsDespair","[""Metadata/Effects/Microtransactions/foot_prints/warlord_despair/Footprints_Despair.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/warlord_despair/Footprints_Despair.ao""]",[],[],83
83,"FootprintsLightbringer","[""Metadata/Effects/Microtransactions/foot_prints/nightbane_lightbringer/Footprints_lightbringer.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/nightbane_lightbringer/Footprints_lightbringer.ao""]",[],[],84
84,"FootprintsDarkshard","[""Metadata/Effects/Microtransactions/foot_prints/nightbane_darkshard/Footprints_darkshard.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/nightbane_darkshard/Footprints_darkshard.ao""]",[],[],85
85,"FootprintsApollyon","[""Metadata/Effects/Microtransactions/foot_prints/nightbane/footprints_apollyon.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/nightbane/footprints_apollyon.ao""]",[],[],86
86,"FootprintsApollyonCopy","[""Metadata/Effects/Microtransactions/foot_prints/nightbane/footprints_apollyon.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/nightbane/footprints_apollyon.ao""]",[],[],87
87,"FootprintsScavenger","[""Metadata/Effects/Microtransactions/foot_prints/darkmatrix_scavenger/footprints_scavenger.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/darkmatrix_scavenger/footprints_scavenger.ao""]",[],[],88
88,"FootprintsOverseer","[""Metadata/Effects/Microtransactions/foot_prints/darkmatrix_overseer/footprints_overseer.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/darkmatrix_overseer/footprints_overseer.ao""]",[],[],89
89,"FootprintsJingwei","[""Metadata/Effects/Microtransactions/foot_prints/jingwei/footprints_jingwei.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/jingwei/footprints_jingwei.ao""]",[],[],90
90,"FootprintsMidnightPact","[""Metadata/Effects/Microtransactions/foot_prints/darkmatrix/footprints_midnightpact.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/darkmatrix/footprints_midnightpact.ao""]",[],[],91
91,"FootprintsExpedition","[""Metadata/Effects/Microtransactions/foot_prints/Expedition/footprint.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/Expedition/footprint.ao""]",[],[],92
92,"FootprintsSiren","[""Metadata/Effects/Microtransactions/foot_prints/atlantis_siren/footprints_siren.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/atlantis_siren/footprints_siren.ao""]",[],[],93
93,"FootprintsDeepwater","[""Metadata/Effects/Microtransactions/foot_prints/atlantis_deepwater/footprints_deepwater.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/atlantis_deepwater/footprints_deepwater.ao""]",[],[],94
94,"FootprintsAtlantis","[""Metadata/Effects/Microtransactions/foot_prints/atlantis/footprints_atlantis_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/atlantis/footprints_atlantis_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/atlantis/footprints_atlantis_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/atlantis/footprints_atlantis_04.ao"",""Metadata/Effects/Microtransactions/foot_prints/atlantis/footprints_atlantis_05.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/atlantis/footprints_atlantis_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/atlantis/footprints_atlantis_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/atlantis/footprints_atlantis_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/atlantis/footprints_atlantis_04.ao"",""Metadata/Effects/Microtransactions/foot_prints/atlantis/footprints_atlantis_05.ao""]",[],[],95
95,"FootprintsWinterDragon","[""Metadata/Effects/Microtransactions/foot_prints/ArcticDragonHunter/ArcticDragonHunter.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/ArcticDragonHunter/ArcticDragonHunter.ao""]",[],[],96
96,"FootprintsScourge","[""Metadata/Effects/Microtransactions/foot_prints/metamorph/footprint_metamorph.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/metamorph/footprint_metamorph.ao""]",[],[],97
97,"FootprintsHarmony","[""Metadata/Effects/Microtransactions/foot_prints/harmony/footprints_harmony.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/harmony/footprints_harmony.ao""]",[],[],98
98,"FootprintsHeritage","[""Metadata/Effects/Microtransactions/foot_prints/harmony_heritage/footprints_heritage.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/harmony_heritage/footprints_heritage.ao""]",[],[],99
99,"FootprintsDivergence","[""Metadata/Effects/Microtransactions/foot_prints/harmony_divergence/footprints_divergence.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/harmony_divergence/footprints_divergence.ao""]",[],[],100
100,"FootprintsGodofThunder","[""Metadata/Effects/Microtransactions/foot_prints/godofthunder/footprints_godofthunder.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/godofthunder/footprints_godofthunder.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/godofthunder/footprints_godofthunder2.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/godofthunder/footprints_godofthunder2.ao""]",101
101,"FootprintsCursed","[""Metadata/Effects/Microtransactions/foot_prints/Cursed/CursedFootprint.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/Cursed/CursedFootprint.ao""]",[],[],102
102,"FootprintsInfiniteHungerMud","[""Metadata/Effects/Microtransactions/foot_prints/infinite_hunger/doom_footsteps.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/infinite_hunger/doom_footsteps.ao""]",[],[],103
