"rownum","Id","Name","Act","IsTown","HasWaypoint","Connections_WorldAreasKeys","AreaLevel","HASH16","i32","i32","LoadingScreen_DDSFile","rid","[rid]","i32","TopologiesKeys","ParentTown_WorldAreasKey","i32","rid","rid","Bosses_MonsterVarietiesKeys","Monsters_MonsterVarietiesKeys","SpawnWeight_TagsKeys","SpawnWeight_Values","IsMapArea","FullClear_AchievementItemsKeys","rid","AchievementItemsKey","ModsKeys","i32","VaalArea","bool","MaxLevel","AreaTypeTags","i32","IsHideout","Inflection","i32","i32","Tags","IsVaalArea","IsLabyrinthAirlock","IsLabyrinthArea","TwinnedFullClear_AchievementItemsKey","Enter_AchievementItemsKey","TSIFile","rid","WaypointActivation_AchievementItemsKeys","IsUniqueMapArea","IsLabyrinthBossArea","FirstEntry_NPCTextAudioKey","FirstEntry_SoundEffectsKey","FirstEntry_NPCsKey","i32","EnvironmentsKey","i32","rid","i32","i32","i32","i32","i32","bool","bool","i32","i32","i32","[rid]","rid","i32","rid","rid"
361,"Delve_Mantle6","Magma Fissure",0,"","",[],40,18183,12,14,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,[95],0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/Mantle/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],61,5,0,0
362,"Delve_Mantle7","Magma Fissure",0,"","",[],55,17693,13,15,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,[95],0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/Mantle/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],61,5,0,0
363,"Delve_Mantle8","Magma Fissure",0,"","",[],68,24783,14,16,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],1,[],"","",[15599],0,[],"",100,[95],0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/Mantle/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],61,5,0,0
364,"Delve_SubmergedPassage","Sulphur Vents",0,"","",[],4,27152,0,0,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,[95],0,"","",10000,5000,"[61,169]","","","","","","Metadata/Terrain/Leagues/Delve/Biomes/SubmergedPassage/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],57,5,0,0
365,"Delve_SubmergedPassage2","Sulphur Vents",0,"","",[],8,39997,6,5,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,[95],0,"","",10000,5000,"[61,169]","","","","","","Metadata/Terrain/Leagues/Delve/Biomes/SubmergedPassage/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],58,5,0,0
366,"Delve_SubmergedPassage3","Sulphur Vents",0,"","",[],12,43473,8,8,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,[95],0,"","",10000,5000,"[61,169]","","","","","","Metadata/Terrain/Leagues/Delve/Biomes/SubmergedPassage/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],59,5,0,0
367,"Delve_SubmergedPassage4","Sulphur Vents",0,"","",[],18,9721,9,10,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,[95],0,"","",10000,5000,"[61,169]","","","","","","Metadata/Terrain/Leagues/Delve/Biomes/SubmergedPassage/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],60,5,0,0
368,"Delve_SubmergedPassage5","Sulphur Vents",0,"","",[],25,25010,11,12,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,[95],0,"","",10000,5000,"[61,169]","","","","","","Metadata/Terrain/Leagues/Delve/Biomes/SubmergedPassage/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],61,5,0,0
369,"Delve_SubmergedPassage6","Sulphur Vents",0,"","",[],40,37884,12,14,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,[95],0,"","",10000,5000,"[61,169]","","","","","","Metadata/Terrain/Leagues/Delve/Biomes/SubmergedPassage/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],61,5,0,0
370,"Delve_SubmergedPassage7","Sulphur Vents",0,"","",[],55,50093,13,15,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,[95],0,"","",10000,5000,"[61,169]","","","","","","Metadata/Terrain/Leagues/Delve/Biomes/SubmergedPassage/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],61,5,0,0
371,"Delve_SubmergedPassage8","Sulphur Vents",0,"","",[],68,18329,14,16,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],1,[],"","",[15599],0,[],"",100,[95],0,"","",10000,5000,"[61,169]","","","","","","Metadata/Terrain/Leagues/Delve/Biomes/SubmergedPassage/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],61,5,0,0
372,"Delve_VaalRuins","Vaal Outpost",0,"","",[],4,45315,0,0,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/VaalRuins/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],62,5,0,0
373,"Delve_VaalRuins2","Vaal Outpost",0,"","",[],8,30036,6,5,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/VaalRuins/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],63,5,0,0
374,"Delve_VaalRuins3","Vaal Outpost",0,"","",[],12,38858,8,8,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/VaalRuins/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],64,5,0,0
375,"Delve_VaalRuins4","Vaal Outpost",0,"","",[],18,46946,9,10,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/VaalRuins/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],65,5,0,0
376,"Delve_VaalRuins5","Vaal Outpost",0,"","",[],25,34860,11,12,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/VaalRuins/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],66,5,0,0
377,"Delve_VaalRuins6","Vaal Outpost",0,"","",[],40,33543,12,14,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/VaalRuins/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],66,5,0,0
378,"Delve_VaalRuins7","Vaal Outpost",0,"","",[],55,44424,13,15,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/VaalRuins/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],66,5,0,0
379,"Delve_VaalRuins8","Vaal Outpost",0,"","",[],68,64625,14,16,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],1,[],"","",[15599],0,[],"",100,"[63,68]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/VaalRuins/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],66,5,0,0
380,"Delve_AbyssalCity","Abyssal Span",0,"","",[],4,21976,0,0,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/AbyssalCity/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],62,5,0,0
381,"Delve_AbyssalCity2","Abyssal Span",0,"","",[],8,13238,6,5,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/AbyssalCity/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],63,5,0,0
382,"Delve_AbyssalCity3","Abyssal Span",0,"","",[],12,50822,8,8,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/AbyssalCity/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],64,5,0,0
383,"Delve_AbyssalCity4","Abyssal Span",0,"","",[],18,47829,9,10,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/AbyssalCity/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],65,5,0,0
384,"Delve_AbyssalCity5","Abyssal Span",0,"","",[],25,44918,11,12,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/AbyssalCity/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],66,5,0,0
385,"Delve_AbyssalCity6","Abyssal Span",0,"","",[],40,23462,12,14,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/AbyssalCity/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],66,5,0,0
386,"Delve_AbyssalCity7","Abyssal Span",0,"","",[],55,15256,13,15,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/AbyssalCity/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],66,5,0,0
387,"Delve_AbyssalCity8","Abyssal Span",0,"","",[],68,40454,14,16,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],1,[],"","",[15599],0,[],"",100,"[63,68]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/AbyssalCity/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],66,5,0,0
388,"Delve_ProtoVaalRuins","Primeval Fortress",0,"","",[],4,42425,0,0,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68,102]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/ProtoVaal/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],62,5,0,0
389,"Delve_ProtoVaalRuins2","Primeval Fortress",0,"","",[],8,25674,6,5,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68,102]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/ProtoVaal/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],63,5,0,0
390,"Delve_ProtoVaalRuins3","Primeval Fortress",0,"","",[],12,61411,8,8,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68,102]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/ProtoVaal/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],64,5,0,0
391,"Delve_ProtoVaalRuins4","Primeval Fortress",0,"","",[],18,3734,9,10,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68,102]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/ProtoVaal/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],65,5,0,0
392,"Delve_ProtoVaalRuins5","Primeval Fortress",0,"","",[],25,57330,11,12,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68,102]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/ProtoVaal/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],66,5,0,0
393,"Delve_ProtoVaalRuins6","Primeval Fortress",0,"","",[],40,47568,12,14,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68,102]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/ProtoVaal/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],66,5,0,0
394,"Delve_ProtoVaalRuins7","Primeval Fortress",0,"","",[],55,5311,13,15,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,"[63,68,102]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/ProtoVaal/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],66,5,0,0
395,"Delve_ProtoVaalRuins8","Primeval Fortress",0,"","",[],68,19670,14,16,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1860],"",30,"","",[],[],[],[],1,[],"","",[15599],0,[],"",100,"[63,68,102]",0,"","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/ProtoVaal/master.tsi","",[],"","","","","",27,755,0,"",0,0,0,0,0,"",1,47,0,0,[],66,5,0,0
396,"DelveBossVaal","Vaal Nexus",0,"","",[],5,50692,0,0,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1862],"",30,"","",[6620],[6639],[],[],"",[],"","",[],0,[],"",100,[95],0,"","",10000,5000,[61],"","","","","","","",[],"","","","","",17,757,0,"",0,0,0,0,0,"",1,47,0,0,[],0,5,0,0
397,"DelveBossLich","Abyssal Sanctum",0,"","",[],5,27497,0,0,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1863],"",30,"","",[5944],[],[],[],"",[],"","",[],0,[],"",100,[95],0,"","",10000,5000,[61],"","","","","","","",[],"","","","","",17,759,0,"",0,0,0,0,0,"",1,47,0,0,[],0,5,0,0
398,"DelveBossProtoVaal","Primeval Citadel",0,"","",[],5,7047,0,0,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,[1864],"",30,"","",[6621],[6622],[],[],"",[],"","",[],0,[],"",100,[95],0,"","",10000,5000,"[61,913]","","","","","","","",[],"","","","","",17,761,0,"",0,0,0,0,0,"",1,47,0,0,[],0,5,0,0
399,"DelveChamberVaal","Vaal Ruined Chamber",0,"","",[],5,45212,18,18,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,"[1865,1866,1867]","",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,[95],0,"","",10000,5000,[61],"","","","","","","",[],"","","","","",17,755,0,"",0,0,0,0,0,"",1,47,0,0,[],66,5,0,0
400,"DelveChamberProtoVaal","Primeval Chamber",0,"","",[],5,6060,18,18,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,"[1868,1869,1870]","",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,[95],0,"","",10000,5000,[61],"","","","","","","",[],"","","","","",17,755,0,"",0,0,0,0,0,"",1,47,0,0,[],66,5,0,0
401,"DelveChamberAbyss","Abyssal Chamber",0,"","",[],5,46844,18,18,"Art/Textures/Interface/LoadingImages/Delve.dds","",[],6,"[1871,1872,1873]","",30,"","",[],[],[],[],"",[],"","",[15599],0,[],"",100,[95],0,"","",10000,5000,[61],"","","","","","","",[],"","","","","",17,755,0,"",0,0,0,0,0,"",1,47,0,0,[],66,5,0,0
402,"BetrayalStoryVault","The Forbidden Vault",9,"","",[],61,55958,13,10,"Art/Textures/Interface/LoadingImages/Act4.dds","",[],6,[2226],134,480,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[90],0,"","",6000,3500,"[169,347]","","","","","","","",[],"","","","","",2,774,0,"",0,0,0,0,0,"",1,47,0,0,[],67,5,0,0
403,"BetrayalTest","Betrayal Test Encounter",0,"","",[],1,51227,10,10,"Art/Textures/Interface/LoadingImages/VaalAreas.dds","",[],6,[2219],"",900,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[],0,"","",10000,5000,[],"","","","","","","",[],"","","","","",17,370,0,"",0,0,0,0,0,"",1,47,0,0,[],0,5,0,0
404,"BetrayalLaboratory1","Syndicate Laboratory",0,"","",[],1,49229,0,10,"Art/Textures/Interface/LoadingImages/VaalAreas.dds","",[],6,[2220],"",900,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[],0,"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,763,7500,"",0,0,0,0,0,"",1,47,0,0,[],68,5,0,0
405,"BetrayalLaboratory2","Syndicate Laboratory",1,"","",[],5,24703,0,10,"Art/Textures/Interface/LoadingImages/VaalAreas.dds","",[],6,[2220],"",900,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[],0,"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,763,8000,"",0,0,0,0,0,"",1,47,0,0,[],68,5,0,0
406,"BetrayalLaboratory3","Syndicate Laboratory",1,"","",[],9,47201,0,10,"Art/Textures/Interface/LoadingImages/VaalAreas.dds","",[],6,[2220],"",900,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[],0,"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,763,9000,"",0,0,0,0,0,"",1,47,0,0,[],68,5,0,0
407,"BetrayalLaboratory4","Syndicate Laboratory",1,"","",[],13,33892,0,10,"Art/Textures/Interface/LoadingImages/VaalAreas.dds","",[],6,[2220],"",900,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[],0,"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,763,9500,"",0,0,0,0,0,"",1,47,0,0,[],68,5,0,0
408,"BetrayalLaboratory5","Syndicate Laboratory",1,"","",[],25,46142,0,10,"Art/Textures/Interface/LoadingImages/VaalAreas.dds","",[],6,[2220],"",900,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[],0,"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,763,10000,"",0,0,0,0,0,"",1,47,0,0,[],68,5,0,0
409,"BetrayalLaboratory6","Syndicate Laboratory",1,"","",[],40,49615,0,10,"Art/Textures/Interface/LoadingImages/VaalAreas.dds","",[],6,[2220],"",900,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[],0,"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,763,10500,"",0,0,0,0,0,"",1,47,0,0,[],68,5,0,0
410,"BetrayalLaboratory7","Syndicate Laboratory",1,"","",[],55,4204,0,10,"Art/Textures/Interface/LoadingImages/VaalAreas.dds","",[],6,[2220],"",900,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[],0,"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,763,11000,"",0,0,0,0,0,"",1,47,0,0,[],68,5,0,0
411,"BetrayalLaboratory8","Syndicate Laboratory",1,"","",[],68,17888,0,16,"Art/Textures/Interface/LoadingImages/VaalAreas.dds","",[],6,[2220],"",900,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[],0,"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,763,12000,"",0,0,0,0,0,"",1,47,0,0,[],68,5,0,0
412,"BetrayalLaboratory9","Syndicate Laboratory",1,"","",[],73,27160,0,16,"Art/Textures/Interface/LoadingImages/VaalAreas.dds","",[],6,[2220],"",900,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[],0,"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,763,12500,"",0,0,0,0,0,"",1,47,0,0,[],68,5,0,0
413,"BetrayalLaboratory10","Syndicate Laboratory",1,"","",[],78,46401,0,16,"Art/Textures/Interface/LoadingImages/VaalAreas.dds","",[],6,[2220],"",900,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[],0,"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,763,13000,"",0,0,0,0,0,"",1,47,0,0,[],68,5,0,0
414,"BetrayalSafeHouseFortress","Syndicate Hideout",0,"","",[],73,37195,14,30,"Art/Textures/Interface/LoadingImages/Betrayal.dds","",[],6,[2221],"",900,"","",[],[],"[70,0]","[0,1000]","",[],"","","[6378,20029]",0,[],"",100,[98],0,"","",10000,5000,[],"","","","","","","",[],"","","","","",28,764,50000,7,0,0,0,0,0,1,1,47,0,0,[],69,5,0,0
415,"BetrayalSafeHouseAssassins","Syndicate Hideout",0,"","",[],73,9645,14,30,"Art/Textures/Interface/LoadingImages/Betrayal.dds","",[],6,[2222],"",900,"","",[],[],"[70,0]","[0,1000]","",[],"","","[6378,20029]",0,[],"",100,[98],0,"","",10000,5000,[],"","","","","","","",[],"","","","","",28,765,50000,7,0,0,0,0,0,1,1,47,0,0,[],69,5,0,0
416,"BetrayalSafeHouseCaravan","Syndicate Hideout",0,"","",[],73,26519,14,30,"Art/Textures/Interface/LoadingImages/Betrayal.dds","",[],6,[2223],"",900,"","",[],[],"[70,0]","[0,1000]","",[],"","","[6378,20029]",0,[],"",100,[98],0,"","",10000,5000,[],"","","","","","","",[],"","","","","",28,767,50000,7,0,0,0,0,0,1,1,47,0,0,[],69,5,0,0
417,"BetrayalSafeHouseLaboratory","Syndicate Hideout",0,"","",[],73,29759,7,30,"Art/Textures/Interface/LoadingImages/Betrayal.dds","",[],6,[2224],"",900,"","",[],[],"[70,0]","[0,1000]","",[],"","","[6378,20029]",0,[],"",100,[98],0,"","",10000,5000,[],"","","","","","","",[],"","","","","",28,768,50000,7,0,0,0,0,0,1,1,47,0,0,[],69,5,0,0
418,"BetrayalMastermindFight","Mastermind's Lair",0,"","",[],68,37908,14,30,"Art/Textures/Interface/LoadingImages/Betrayal.dds","",[],6,[2225],"",900,"","","[6894,6895]",[7046],"[70,0]","[0,1000]","",[],"","","[6378,20030]",0,[],"",100,[98],0,"","",10000,5000,[],"","","","","","","",[],"","","","","",28,770,50000,7,0,0,0,0,0,1,1,47,0,0,[],70,5,0,0
419,"Synthesis_Main","Memory Void",0,"","",[],1,41313,0,0,"Art/Textures/Interface/LoadingImages/Synthesis.dds",2081,[2077],6,[1874],"",300,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[445],0,"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,782,20000,8,0,0,0,0,0,"",1,29,0,0,[],0,5,0,0
420,"Synthesis_Main2","Memory Void",0,"","",[],4,22171,0,10,"Art/Textures/Interface/LoadingImages/Synthesis.dds",2081,[2077],6,[1874],"",300,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[445],0,"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,782,32000,8,0,0,0,0,0,"",1,29,0,0,[],71,5,0,0
421,"Synthesis_Main3","Memory Void",0,"","",[],9,55094,0,10,"Art/Textures/Interface/LoadingImages/Synthesis.dds",2081,[2077],6,[1874],"",300,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[445],0,"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,782,34000,8,0,0,0,0,0,"",1,29,0,0,[],72,5,0,0
422,"Synthesis_Main4","Memory Void",0,"","",[],13,15429,10,10,"Art/Textures/Interface/LoadingImages/Synthesis.dds",2081,[2077],6,[1874],"",300,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[445],0,"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,782,36000,8,0,0,0,0,0,"",1,29,0,0,[],73,5,0,0
423,"Synthesis_Main5","Memory Void",0,"","",[],25,10068,15,15,"Art/Textures/Interface/LoadingImages/Synthesis.dds",2081,[2077],6,[1874],"",300,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[445],0,"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,782,38000,8,0,0,0,0,0,"",1,29,0,0,[],73,5,0,0
424,"Synthesis_Main6","Memory Void",0,"","",[],40,63768,20,20,"Art/Textures/Interface/LoadingImages/Synthesis.dds",2081,[2077],6,[1874],"",300,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[445],0,"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,782,40000,8,0,0,0,0,0,"",1,29,0,0,[],73,5,0,0
425,"Synthesis_Main7_","Memory Void",0,"","",[],55,41850,25,25,"Art/Textures/Interface/LoadingImages/Synthesis.dds",2081,[2077],6,[1874],"",300,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[445],0,"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,782,42000,8,0,0,0,0,0,"",1,29,0,0,[],73,5,0,0
