"rownum","NPCKey","i32","DialogueOption","[i32]","[i32]","[i32]","Script","TextAudio","Category","QuestRewardOffersKey","QuestFlag","NPCTextAudioKeys","Script2","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","rid","bool","bool","DialogueOption2","rid","rid","i32","[i32]","i32","rid"
704,123,0,"Introduction",[],[],[716],"",716,3,"",716,[734],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
705,123,1,"Captain Fairgraves",[],[],[],"","",3,"","",[736],"","","",[233],[],233,[],1308,"","","","","","","",49,[],49,""
706,123,2,"Zana, Master Cartographer",[],[],[],"","",3,"","",[743],"","","",[232],[],232,[],1308,"","","","","","","",49,[],49,""
707,123,3,"Fishing",[716],[],[],"triggerer.DoFishingTalk();",714,5,"",711,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
708,123,4,"_no_rod",[71],[],[],"","",5,"",71,[732],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
709,123,5,"_have_rod",[71],[],[],"triggerer.ActivateFishingQuest();","",5,"",71,[733],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
710,123,6,"Claim Fish Reward",[71],[],[],"","",5,"",71,[735],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
711,133,0,"Read",[],[],[906],"",71,3,"",71,[929],"","",1,[],[],1308,[],1308,1,"","","","","","",49,[],49,""
712,134,0,"Read",[],[],[907],"",71,3,"",71,[930],"","",1,[],[],1308,[],1308,1,"","","","","","",49,[],49,""
713,135,0,"Read",[],[],[908],"",71,3,"",71,[931],"","",1,[],[],1308,[],1308,1,"","","","","","",49,[],49,""
714,136,0,"Read",[],[],[910],"",71,3,"",71,[932],"","",1,[],[],1308,[],1308,1,"","","","","","",49,[],49,""
715,137,0,"Read",[],[],[912],"",71,3,"",71,[933],"","",1,[],[],1308,[],1308,1,"","","","","","",49,[],49,""
716,138,0,"Read",[],[],[913],"",71,3,"",71,[934],"","",1,[],[],1308,[],1308,1,"","","","","","",49,[],49,""
717,139,0,"Read",[],[],[901],"",71,3,"",71,[924],"","",1,[],[],1308,[],1308,1,"","","","","","",49,[],49,""
718,140,0,"Read",[],[],[902],"",71,3,"",71,[925],"","",1,[],[],1308,[],1308,1,"","","","","","",49,[],49,""
719,141,0,"Read",[],[],[903],"",71,3,"",71,[926],"","",1,[],[],1308,[],1308,1,"","","","","","",49,[],49,""
720,142,0,"Read",[],[],[904],"",71,3,"",71,[927],"","",1,[],[],1308,[],1308,1,"","","","","","",49,[],49,""
721,143,0,"Read",[],[],[905],"",71,3,"",71,[928],"","",1,[],[],1308,[],1308,1,"","","","","","",49,[],49,""
722,145,0,"Read",[],[],[917],"",71,3,"",71,[1038],"","",1,[],[],1308,[],1308,1,"","","","","","",49,[],49,""
723,146,0,"Read",[],[],[918],"",71,3,"",71,[1039],"","",1,[],[],1308,[],1308,1,"","","","","","",49,[],49,""
724,147,0,"Read",[],[],[919],"",71,3,"",71,[1040],"","",1,[],[],1308,[],1308,1,"","","","","","",49,[],49,""
725,148,0,"Read",[],[],[920],"",71,3,"",71,[1041],"","",1,[],[],1308,[],1308,1,"","","","","","",49,[],49,""
726,149,0,"Read",[],[],[921],"",71,3,"",71,[1042],"","",1,[],[],1308,[],1308,1,"","","","","","",49,[],49,""
727,156,0,"Read",[],[],[927],"triggerer.FinishNPCChat();",71,3,"",71,[1066],"","","",[],[],1308,[],1308,1,"","","","","","",49,[],49,""
728,157,0,"Read",[],[],[928],"triggerer.FinishNPCChat();",71,3,"",71,[1067],"","","",[],[],1308,[],1308,1,"","","","","","",49,[],49,""
729,158,0,"Read",[],[],[929],"triggerer.FinishNPCChat();",71,3,"",71,[1068],"","","",[],[],1308,[],1308,1,"","","","","","",49,[],49,""
730,159,0,"Read",[],[],[930],"triggerer.FinishNPCChat();",71,3,"",71,[1069],"","","",[],[],1308,[],1308,1,"","","","","","",49,[],49,""
731,160,0,"Read",[],[],[931],"triggerer.FinishNPCChat();",71,3,"",71,[1070],"","","",[],[],1308,[],1308,1,"","","","","","",49,[],49,""
732,161,0,"Read",[],[],[932],"triggerer.FinishNPCChat();",71,3,"",71,[1071],"","","",[],[],1308,[],1308,1,"","","","","","",49,[],49,""
733,162,0,"Introduction",[],[],[933],"",933,3,"",933,[1080],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
734,162,1,"Perandus Coins",[],[],[909],"","",3,"",909,[1081],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
735,162,2,"Chitus Perandus",[],[],[911],"","",3,"",911,[1082],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
736,162,3,"The Perandus Family",[911],[],[892],"","",3,"",892,[1083],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
737,162,4,"Cataclysm",[],[],[934],"","",3,"",934,[1085],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
738,162,5,"Prospero",[934],[],[935],"","",3,"",935,[1086],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
739,162,6,"Izaro",[937],[899],[936],"","",3,"",936,[1087],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
740,162,7,"Izaro",[899],[],[936],"","",3,"",936,[1088],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
741,162,8,"Cadiro's Offer",[],[],[938],"",938,32,"",71,[],"","","",[],[],1308,[],1308,"","",1,"","",5,"",49,[],49,""
742,162,9,"_trade_complete_",[71],[],[],"triggerer.FinishNPCChat(); Transition();","",3,"",71,"[1089,1090,1091,1092,1093,1094,1095,1096]","","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
743,177,0,"The Shaper",[],[],[],"triggerer.FinishNPCChat();",71,5,"",71,[1881],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
744,94,0,"Read",[],[],[1248],"",71,3,"",71,[1375],"","",1,[],[],1308,[],1308,"","","","","","","",49,[],49,""
745,179,0,"Introduction",[],[],[1094],"",1094,3,"",1094,"[1376,1377,1378]","",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
746,179,1,"Overseer Krow",[1051],[1054],[1052],"",1052,5,"",71,[1379],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
747,179,2,"Overseer Reward",[1052],[1054],[1053],"",1053,6,34,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
748,179,3,"Justicar Casticus",[1057],[1062],[1060],"",1060,5,"",71,[1380],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
749,179,4,"Casticus Reward",[1060],[1062],[1061],"",1061,6,35,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
750,179,5,"Uprising",[],[],[1095],"","",3,"",1095,[1381],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
751,179,6,"Utula",[1119],[1071],[1096],"","",3,"",1096,[1382],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
752,179,7,"Utula",[1071],[1077],[1097],"","",3,"",1097,[1383],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
753,179,8,"Utula",[1077],[1085],[1098],"","",3,"",1098,[1384],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
754,179,9,"Vilenta",[1105],[],[1099],"","",3,"",1099,[1385],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
755,179,10,"Bannon",[1130],[],[1100],"","",3,"",1100,[1386],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
756,179,11,"Oriath Square",[1044],[],[1102],"","",3,"",1102,[1387],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
757,179,12,"High Templar Avarius",[1071],[1074],[1072],"",1072,5,"",71,[1388],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
758,179,13,"Avarius Reward",[1072],[1074],[1073],"",1073,6,37,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
759,179,14,"The King's Feast",[1075],[],[1101],"","",3,"",1101,[1389],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
760,179,15,"Cult of Kitava",[1075],[],[1103],"","",3,"",1103,[1390],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
761,179,16,"Kitava's Torments",[1071],[1090],[1086],"",1086,5,"",71,[1391],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
762,179,17,"Kitava's Torments","[1087,0,0]",[],[1090],"",1090,5,"",71,[1392],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
763,179,18,"Torments Reward",[1090],"[1092,0]",[1091],"",1091,6,39,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
764,179,19,"Kitava",[1085],[],[1375],"",1375,3,"",1375,[1393],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
765,179,20,"Purchase Items",[],[],[],"","",23,"",71,[],"","","",[],[],1308,[],1308,"","","","","",1,"",49,[],49,""
766,179,21,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[],1308,[],1308,"","","","","",0,"",49,[],49,""
767,180,0,"Introduction",[],[],[1105],"",1105,3,"",1105,[1394],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
768,180,1,"Lani",[1094],[],[1106],"","",3,"",1106,[1395],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
769,180,2,"Utula",[1119],[1071],[1107],"","",3,"",1107,[1396],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
770,180,3,"Utula",[1071],[1077],[1108],"","",3,"",1108,[1397],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
771,180,4,"Bannon",[1130],[],[1109],"","",3,"",1109,[1398],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
772,180,5,"Justicar Casticus",[1055],[],[1110],"","",3,"",1110,[1399],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
773,180,6,"High Templar Avarius",[1069],[],[1111],"","",3,"",1111,[1400],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
774,180,7,"The Sign of Purity",[1081],[1083],[1112],"","",3,"",1112,[1405],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
775,180,8,"Piety",[],[],[1113],"","",3,"",1113,[1401],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
776,180,9,"Research",[1113],[],[1114],"","",3,"",1114,[1402],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
777,180,10,"Gods",[1071],[],[1115],"","",3,"",1115,[1403],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
778,180,11,"Innocence",[1071],[],[1116],"","",3,"",1116,[1404],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
779,180,12,"Chitus Cathedral",[1071],[],[1117],"","",3,"",1117,[1406],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
780,180,13,"Kitava",[1085],[],[1118],"",1118,3,"",1118,[1407],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
781,180,14,"Miasmeter",[],[1065],[1063],"",1063,5,"",71,[1408],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
782,180,15,"Miasmeter",[1064],[],[1065],"",1065,5,"",71,[1409],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
783,180,16,"Miasmeter Reward",[1065],"[1067,0]",[1066],"",1066,6,36,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
784,180,17,"Gamble for Items",[],[],[],"","",23,"",71,[],"","","",[],[],1308,[],1308,"","","","","",1,"",48,[],49,""
785,180,18,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[],1308,[],1308,"","","","","",0,"",48,[],49,""
786,183,0,"Rescue",[],[1129],[1129],"triggerer.FinishNPCChat();",1129,5,"",71,[1411],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
787,183,1,"Rescue",[1129],[],[],"triggerer.FinishNPCChat();",71,5,"",71,[1411],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
788,182,0,"Introduction",[],[],[1130],"",1130,3,"",1130,[1412],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
789,182,1,"Overseer's Tower",[],[],[1131],"","",3,"",1131,[1413],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
790,182,2,"Innocence",[1131],[],[1132],"","",3,"",1132,[1414],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
791,182,3,"The Sign of Purity",[],[],[1133],"","",3,"",1133,[1415],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
792,182,4,"The Ossuary",[1081],[],[1134],"","",3,"",1134,[1416],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
793,182,5,"Lani",[1094],[],[1135],"","",3,"",1135,[1417],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
794,182,6,"Vilenta",[1105],[],[1136],"","",3,"",1136,[1418],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
795,182,7,"Utula",[],[1077],[1075],"",1075,5,"",71,[1419],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
796,182,8,"Utula",[1077],[1080],[1078],"",1078,5,"",71,[1420],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
797,182,9,"Utula Reward",[1078],[1080],[1079],"",1079,6,38,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
798,182,10,"Kitava",[1085],[],[1137],"",1137,3,"",1137,[1421],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
799,182,11,"Purchase Items",[],[],[],"","",23,"",71,[],"","","",[],[],1308,[],1308,"","","","","",1,"",49,[],49,""
800,182,12,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[],1308,[],1308,"","","","","",0,"",49,[],49,""
801,181,0,"Introduction",[],[],[1119],"",1119,3,"",1119,"[1422,1423,1424]","",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
802,181,1,"Justicar Casticus",[1119],[1057],"[1055,0]","",1055,5,"",1055,[1425],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
803,181,2,"Justicar Casticus",[1057],[],[1120],"","",3,"",1120,[1426],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
804,181,3,"Slave Pens",[],[],[1121],"","",3,"",1121,[1427],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
805,181,4,"Lani",[1094],[],[1122],"","",3,"",1122,[1428],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
806,181,5,"Vilenta",[1105],[],[1123],"","",3,"",1123,[1429],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
807,181,6,"Overseer's Tower",[],[],[1124],"","",3,"",1124,[1430],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
808,181,7,"Kitava",[],[],[1125],"","",3,"",1125,[1431],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
809,181,8,"Innocence",[],[],[1126],"","",3,"",1126,[1432],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
810,181,9,"Templar Court",[1069],[],[1127],"","",3,"",1127,[1433],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
811,181,10,"High Templar Avarius",[1069],[],[1128],"","",3,"",1128,[1434],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
812,181,11,"Purchase Items",[],[],[],"","",23,"",71,[],"","","",[],[],1308,[],1308,"","","","","",1,"",49,[],49,""
813,181,12,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[],1308,[],1308,"","","","","",0,"",49,[],49,""
814,184,0,"Kitava",[],[],[],"triggerer.DoNPCChat(1);",1081,5,"",71,[1437],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
815,184,1,"Kitava",[71],[],[],"triggerer.DoNPCChat(2);","",5,"",71,[1439],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
816,184,2,"Kitava",[71],[],[1081],"","",5,"",71,[1438],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
817,184,3,"The Sign of Purity",[],[],[1370],"","",3,"",1370,[1440],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
818,184,4,"The Fall of Oriath",[],[],[1371],"","",3,"",1371,[1441],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
819,184,5,"Innocence",[],[],[1761],"","",3,"",1761,[1442],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
820,302,0,"The Sign of Purity",[],[1767],[1767],"triggerer.FinishNPCChat();",1767,3,"",71,[1443],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
821,302,1,"The Sign of Purity",[1767],[],[],"triggerer.FinishNPCChat();",71,3,"",71,[1443],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
822,185,0,"Kitava",[],[1369],[1369],"triggerer.FinishNPCChat();",1369,5,"",71,[1445],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
823,185,1,"Kitava",[1369],[],[],"triggerer.FinishNPCChat();",71,5,"",71,[1445],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
824,186,0,"Introduction",[],[],[1372],"",1372,3,"",1372,[1449],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
825,186,1,"Sail to Wraeclast",[],[],[],"triggerer.AreaTransitionTo(2_6_town, 0, 0.5); triggerer.FinishNPCChat();","",5,"",71,[1450],"triggerer.FadeToBlack( 500, 5000, 1000);","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
826,187,0,"Introduction",[],[],[1223],"",1223,3,"",1223,[1477],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
827,187,1,"Nessa",[1223],"[1164,0,0]",[1155],"",1155,5,"",71,[1478],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
828,187,2,"Nessa",[1156],"[1164,0]",[1224],"",1224,5,"",71,[1479],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
829,187,3,"Nessa",[1164],[],[1165],"",1165,5,"",1165,[1488],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
830,187,4,"The Black Flag",[1159],[],[1229],"","",3,"",1229,[1484],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
831,187,5,"Lilly",[1205],[],[1225],"","",3,"",1225,[1480],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
832,187,6,"Life with Lilly",[1225],[],[1899],"","",3,"",1899,[1494],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
833,187,7,"The Karui Fortress",[1142],[1178],[1182],"",1182,5,"",71,[1485],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
834,187,8,"The Karui Fortress",[1178],[1175],[1177],"",1177,5,"",71,[1486],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
835,187,9,"Tukohama",[1175],[1171],[1174],"",1174,5,"",71,[1487],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
836,187,10,"The Eye of Conquest",[1179],[1178],[1230],"",1230,3,"",1230,[1491],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
837,187,11,"Tukohama Reward",[1174],"[1172,0]",[1173],"",1173,6,41,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
838,187,12,"Shavronne of Umbra",[1175],[1168],[1226],"","",3,"",1226,[1481],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
839,187,13,"Shavronne of Umbra",[1168],[],[1227],"",1227,3,"",1227,[1482],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
840,187,14,"Shavronne Reward",[1227],[1170],[1169],"",1169,6,40,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
841,187,15,"The Ship Graveyard",[1157],"[1164,0]",[1228],"","",3,"",1228,[1483],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
842,187,16,"The Puppet Mistress",[1168],[1192],[1195],"",1195,5,"",71,[1489],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
843,187,17,"The Puppet Mistress",[1193],[1189],[1192],"",1192,5,"",71,[1490],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
844,187,18,"Puppet Mistress Reward",[1192],"[1190,0]",[1191],"",1191,6,44,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
845,187,19,"The Brine King",[],[1164],[1617],"","",3,"",1617,[1492],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
846,187,20,"The Twilight Strand",[],[1187],[1618],"","",3,"",1618,[1493],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
847,187,21,"Karui Revenants",[1178],[1175],[1615],"","",3,"",1615,"[1495,1496]","",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
848,187,22,"Purchase Items",[],[],[],"","",23,"",71,[],"","","",[],[],1308,[],1308,"","","","","",1,"",49,[],49,""
849,187,23,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[],1308,[],1308,"","","","","",0,"",49,[],49,""
850,188,0,"Introduction",[],[],[1214],"",1214,3,"",1214,[1461],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
851,188,1,"Nessa",[],"[1164,0]",[1215],"","",3,"",1215,[1462],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
852,188,2,"Nessa",[1156],[1164],[889],"","",3,"",889,[1474],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
853,188,3,"Lilly",[1205],[],[1216],"","",3,"",1216,[1463],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
854,188,4,"The Old Gods",[],[],[890],"","",3,"",890,[1475],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
855,188,5,"Tukohama",[1182],[1175],[1217],"","",3,"",1217,[1464],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
856,188,6,"The Brine King",[],[1164],[1218],"","",3,"",1218,[1465],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
857,188,7,"The Brine King",[1164],[],[1219],"",1219,3,"",1219,[1466],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
858,188,8,"The Black Crest",[1319],[],[891],"","",3,"",891,[1476],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
859,188,9,"Shavronne of Umbra","[1166,0]",[1168],[1221],"","",3,"",1221,[1468],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
860,188,10,"Abberath",[1168],[1199],[1202],"",1202,5,"",71,[1470],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
861,188,11,"Abberath",[1200],[1196],[1199],"",1199,5,"",71,[1471],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
862,188,12,"Abberath Reward",[1199],"[1197,0]",[1198],"",1198,6,45,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
863,188,13,"The Ship Graveyard",[1157],[1164],[1222],"","",3,"",1222,[1469],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
864,188,14,"Weylam Roth",[],[],[1220],"","",3,"",1220,[1467],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
865,188,15,"Bestel's Epic",[],[1251],[1249],"",1249,5,"",71,[1472],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
866,188,16,"Bestel's Epic",[1250],[],[1251],"",1251,5,"",71,[1473],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
867,188,17,"Bestel's Epic Reward",[1251],[1253],[1252],"",1252,6,43,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
868,188,18,"Purchase Items",[],[],[],"","",23,"",71,[],"","","",[],[],1308,[],1308,"","","","","",1,"",49,[],49,""
869,188,19,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[],1308,[],1308,"","","","","",0,"",49,[],49,""
870,189,0,"Introduction",[],[],[1205],"",1205,3,"",1205,[1451],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
871,189,1,"Weylam Roth",[],[],[1209],"","",3,"",1209,[1455],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
872,189,2,"Tarkleigh",[],[],[1206],"","",3,"",1206,[1452],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
873,189,3,"Bestel",[],[],[1207],"","",3,"",1207,[1453],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
874,189,4,"Trade",[1187],[],[1208],"","",3,"",1208,[1454],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
875,189,5,"The Twilight Strand",[1205],[1187],[1188],"",1188,5,"",71,[1459],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
876,189,6,"The Twilight Strand",[1187],[1183],[1186],"",1186,5,"",71,[1460],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
877,189,7,"Twilight Strand Reward",[1186],"[1184,0]",[1185],"",1185,6,42,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
878,189,8,"The Black Flag",[1159],[],[1211],"","",3,"",1211,[1456],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
879,189,9,"The Brine King",[1153],[1164],[1212],"","",3,"",1212,[1457],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
880,189,10,"The Brine King",[1164],[],[1213],"",1213,3,"",1213,[1458],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
881,189,11,"Virtue Gems",[1185],[],[384],"",384,3,"",384,[1774],"",1,"",[1163],[],1308,[],1163,"","","","","","","",49,[],49,""
882,189,12,"Virtue Gems",[1676],[1185],[384],"",384,3,"",384,[1774],"",1,"",[1163],[],1308,[],1308,"","","","","","","",49,[],49,""
883,189,13,"Purchase Items",[],[989],[],"","",23,"",71,[],"","","",[],[1163],1308,[],1308,"","",1,"","",1,"",49,[],49,""
884,189,14,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[1163],1308,[],1308,"","","","","",0,"",49,[],49,""
885,189,15,"Gamble for Items",[],[],[],"","",23,"",71,[],"","","",[],[],1308,[],1308,"","","","","",1,"",48,[],49,""
886,189,17,"Invite to Hideout",[],[],[],"","",38,"",71,[12961],"","","",[],"[200,1163]",1308,[],1308,"","","","","","","",49,[],49,""
887,193,0,"Shavronne of Umbra",[],[1168],[1166],"",1166,5,"",71,[1508],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
888,193,1,"The Essence of Umbra",[1166],[1168],[1231],"","",3,"",1231,[1510],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
889,193,2,"Shavronne's Soul",[1231],[1168],[1232],"","",3,"",1232,[1511],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
890,193,3,"The Rise of the Gods",[],[],[1233],"","",3,"",1233,[1512],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
891,193,4,"The Beast",[1233],[],[1234],"","",3,"",1234,[1513],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
892,193,5,"The Father of War",[1182],[1175],[1235],"","",3,"",1235,[1514],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
893,193,6,"Tukohama",[1235],[],[1236],"","",3,"",1236,[1515],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
894,193,7,"Tukohama",[1175],[1237],[1237],"",1237,5,"",71,[1516],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
895,193,8,"The Cloven One",[1202],[1200],[1239],"","",3,"",1239,[1517],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
