"rownum","Id","CharactersKey","PassiveSkillTreeURL","AscendancyClassName","Description","UIImageFile","TutorialVideo_BKFile","i32","f32","f32","BackgroundImageFile","IsTemporary","bool","ArchetypeImage","bool","bool"
34,"TectonicSlamJuggernaut",0,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAEBAAGRBLMFLQbGB3UJlg48EuETTBQgFE0UcRZvF-EYkRo4HRQgBiFVIq8kqib4JyAnLyz7LdIwdzD4M2w26ThTOQ46UjrYPAU9_ECgR35OMlBHWGNZ81n-XhNfP2FSZFJlTWZUZp5o8nGFcg9yqXTtdqx253fleHp5sXrve4x82X1zggeCm4TZhO-FUoZgh2qKIozPkFWRzpLQlG-XeZ8-ogCpJ6mUrKqtCa07rY2u_6-Nu-28n702vqfAAcBmwKbBo8bYyx7PftI42WHZfNq52sHcPeJh42rkUeoY6wnvDu9O73zwH_JB8430g_ZI9zL46_rS_Es=","Juggernaut: Tectonic Slam","Shatter the earth and all who stand on it with ground-shaking blows.","","",0,0,0,"","",1,"",1,""
35,"DivineIreInquisitor",6,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAUBAAKWBAcEswVCBucHHgj0DkgQWBEtEZYWbxa_FvMZ2Bo4GmwbtB0UHYMfQSBoIvQkqiY8JpUnLykPKYsqCysILJwvnTBbMPgy0TY9Nuk5STpYOthBZ0GWRUdFnUlRTLNTUlVLVcZZ813yYeJqQ2wLbIxtGW1scFJxhXIPdhF8g3_GgDCCm4PbhIOHAInTi4yMNo5kj_qQVZJukyeVLphTmuCbbp2qna6iAKQFpwisl607rrOu_68YtUi2-rmTu928VrzqwGbDCcTOyJvLf9D10nzVpt-G4ZLjauQi5n3r7uv17yHwH_DV8h3yjvQa96b53frS","Inquisitor: Divine Ire","Draw upon the power of the divine as you purify Wraeclast once and for all.","","",0,0,0,"","",1,"",1,""
36,"ArmageddonBrandElementalist",1,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAMCAALjBAcEswbnBx4HpQj0DkgQWBEtEZYSaRM1Fm8WvxccF6QaOBvIHNwdFB9BIbAi9CSqJpUnLyqNLJwulDD4MtE09zY9Ntg26TpYOtg8BT1fRUdFnUZSSRtJUUmxSbJMs0zfUlNTUlONVEdVS1XGVkhd8mHiYqxo8mpDa3psC2yMbRlxaXF5dKV8g3_GghCCm4Pbh2WMNo8aj0aQVZD6kyeVLpeFl5WX9JhTmuCdqp7En0ihL6IApAWmvqcIrJiu_7kCvOq-isBmyL_K8tAf1abXz9gk2t3fbd-w42rr7uxV73zviO_r8B_w1fFs-Tf60vxM","Elementalist: Armageddon Brand","Bring about the end of the world for all who stand against you.","","",0,0,0,"","",1,"",1,""
37,"ChainserkerMarauder",0,"https://www.pathofexile.com/passive-skill-tree/3.7.0/AAAABAECAAHcAecDhwSxBS0LjQvBDHMNjQ48E0wUIBRNFHEX4RiRG60b-hx1I_Yl3yb4KCottC_XMHc26DpSPfxDMUd-Sn1M_02STipOMlBHUWNXl1hjWK9Z_luvXz9gQWNwZFJlTWegbzt07Xasd-N4DXrvexR82X11ggeE2YVSh3aLT4zPlWaXeZr-m2qjiqQZqW6tjbGzvJ-9Nr6nwBrBo8bYxxnPftN-1WXZYdl82sHcJ-Jh5FHqGO4O7w7yQfZI9zL46_rd_Ev8xf66","Berserker, Chain Strike","Strike hard and fast at enemies with the new Chain Strike skill. Enrage against your foes and bring them to the ground.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Chainserker","http://down.qq.com/poe/videos/build/3.7_ChainPre.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/ChainserkerBG",1,"","Art/2DArt/UIImages/Common/Archetypes/ChainserkerClass","",""
38,"BladestormGladiator",4,"https://www.pathofexile.com/passive-skill-tree/3.7.0/AAAABAQCAAUtBiAGogvBDY0OPBIwFCAUcRfcGlUbqiPqI_YoKjB8NZI26DpSOuE7FEMxR35KfUz_TZJN404qUEdWyVeXWK9br185Xz9gQWEhYxdjcGVNZ6BoZW87dKB07Xasd9d4DXrvggeDLoTZhO-FUoWPhmCHdojtivCLT419j2CTD5cIl3mbLZtqn4mjiqZXqW6tjbCrtfK9Nr6nwBrBB8SCz37QLNRS137Yvdlh2XzawdyM4e_jn-RR6drqGOxx7g7ueu8O8MTyQfJF89346_oY_MX-Cv6P","Gladiator, Bladestorm","Use superior martial ability to bring a typhoon of destruction with the new Bladestorm skill. Switch stances with the new Blood and Sand skill gem to anticipate your foes and outmatch them.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Bladestorm","http://down.qq.com/poe/videos/build/3.7_BladestormPre.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/BladestormBG",1,"","Art/2DArt/UIImages/Common/Archetypes/BladestormClass","",""
39,"CWCTrickster",5,"https://www.pathofexile.com/passive-skill-tree/3.7.0/AAAABAYCAAQHBUIFtQbnBx4I9AkgDlwPxBEPES0Rlha_G8gdgx9BH0wgbiL0I_Yk_SaVKgssnDBbMHEwfDY9OkI7fD7PQZZFfkWdSVFLeEyzTZJQMFBCUUdTNVNSVUtVxl3yXkVh4mKsakNq-mwLbIxtGXBSfIN-r3_GgLOD24UyidOMNo0ZjX2Nv4_6kUeTJ5TxlS6YU5rgnaqio6QFrJeus7Q4tMW1SLjKuZO86r3mwuzDCdD11CPZX9te3YzdqN_z4BLlGedU6-7r9fDV8h34l_rr-_X_3g==","Cyclone, Trickster","Become a whirlwind of death with the reworked Cyclone skill. Strike at enemies with unrelenting attacks and channel destructive energies with the Cast While Channeling support gem.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Cyclone","http://down.qq.com/poe/videos/build/3.7_CyclonePre.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/CycloneBG",1,"","Art/2DArt/UIImages/Common/Archetypes/CycloneClass","",""
40,"IceMinesSaboteur",5,"https://www.pathofexile.com/passive-skill-tree/3.8.0/AAAABAYDAAQHBLMFQgZABncG5wceCNQI9BEtEZYRwhPfG8ge8B9BH1si9CNfJpUnLyeDJ6kqCyycMPgycTLRNj03FzpYOthBlkIsRUdFnUW5Rv5HBklRTLNTMVNSVGJVS1XGXfJfKmHiYk9irGobakNsC2yMbRlwUXBSc212b3tffIN-sH_GgpuD24PxhHeJ04w2j_qQVZMnlPGVLphTmuCdqp3ZoEOgeaIApAWn-K6zrv-0DLTFtUi3dbkCuZO86r6KwGbBxcMJxorJBsrT0NDQ9dWm2FTb5-EP6-Tr7uv18B_w1fD58nX2n_iX_Ur-sw==","Saboteur: Icicle Mine","Use devastating explosives to control the battlefield with newly-reworked Mine skills. Detonate large mine clusters for overwhelming explosve power.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/IceMine","http://down.qq.com/poe/videos/archetype/Icicle.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/IceMineBG.png",1,"","Art/2DArt/UIImages/Common/Archetypes/IceMineClass","",""
41,"MinionNecromancer",1,"https://www.pathofexile.com/passive-skill-tree/3.8.0/AAAABAMDAAQHBLMI9AthEFERDxQgFm8aHRo4Gmwc3B0UHtofGCL0JJokqiWyKPotHzWSNuk5CzpYOsY64Ts_PC1Bh0WdR4VKn0yzTblN41BHUftTUlXGWfNakV8_YPhhKGKGY0FmVGaeZ3Fnm2jyakNqrGvbbAttGXHzcg9yxXl_fRiCx4Nfg8yD24VghsqJvItljxqPRpBVlG-VIJhNmuCbipuhnleevaDmogCmV6aspwiofaqpqsSsmK1Irj6vbLc-uJO86r5Jvk-_l8BmwfPGrsk9zLzNFtAf04_T-9i92V7a3d-K42rkUekC6-7sg-8O7-vwH_Ie8kX31_no-tL-Cv6B_o8=","Necromancer: Minions","Overwhelm enemies with an undead army with the revamped Summoner Mechanics. Use powerful minions, summon the dreaded Carrion Golem, and make your creatures Defensive or Aggressive as a master of the dead.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/NecroMinion","http://down.qq.com/poe/videos/archetype/Summon.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/NecroMinionBG.png",1,"","Art/2DArt/UIImages/Common/Archetypes/NecroMinionClass","",""
42,"PoisonAssassin",5,"https://www.pathofexile.com/passive-skill-tree/3.8.0/AAAABAYBAAIRBbUGcAbnBx4HmQ0iDY0OSBGWE20UCRX9Fr8byBxfH0Ei6iM2I_Yk_SaIJpUqCypbLiMwcTB8MgE2PTpCPP4_bEkTSVFKfUscS1dLeEyOTZJRR1LsUxBVS1b6WfBbb1uZXEBd8l-wYeJh62KsZ6BqjGyMb1dvnnBScG51nngZefZ6U3p_fyuAIoMJhKKHdofLidOJ4Iw2jX2NgY2_j8GP8Y_6kx-VLphTm7WdqqLZpAWnm6jPsNiyGbTFtUi3MLkCwOPBoMLswzrIFMpKzxXPetN-1CPdqOOf5ljnVOjW7g7vevDV8bPy5vVv_MX9Af_e","Assassin: Poison","Afflict enemies and watch them deteriorate with the new Poison gems. Apply the new deadly poisons to seal your enemies' fate, then escape away with the new Elusive mechanic.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/PoisonClass","http://down.qq.com/poe/videos/archetype/Poison.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/PoisonClassBG.png",1,"","Art/2DArt/UIImages/Common/Archetypes/PoisonClass","",""
43,"ArcMineSaboteur",5,"https://www.pathofexile.com/passive-skill-tree/3.9.0/AAAABAYDAASzBUIFtQZ3CNQI9A_EES0RwhPfHNwdgx7wH1si9CNfI_Yk_ScvKPosnDBbMHww-DLRNxc62Dt8QYdBlkIsRUdFnUcGSVFNklBCUUdTMVM1U1JVS2HiYk9irGpDbAhsC2yMbRlwUXBSc212b3yDfrB_xoKbgseD8YUyidOMNo19jb-PGo_6kFWTJ5TxmuCdqp3ZoEOgeaEvogCio6b4rJeu_7IotDi0xbc-t3W4k7jKuZO86r6KwGbBxcLswwnJBs0q0NDQ9dQj1abYVNi92-flGedU6-7r9ewY8B_w1fD58YryHfaf-Jf56Pv1_Ur-Cv_e","Saboteur: Arc Mine","Control the battlefield with devastating explosive mines. Use Arc Mines to defeat large groups of enemies, and use Pyroclast Mines to launch mortar rain on boss enemies.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Zaboteur","",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/ZaboteurBG",1,"","Art/2DArt/UIImages/Common/Archetypes/SaboteurClass","",1
44,"BurningArrowChieftain",0,"https://www.pathofexile.com/passive-skill-tree/3.14.0/AAAABQEDeQHnBLMGDgbDCfYLYQ3NDjwSaRQgFE0UcRU2Fm8XHBhdGGUYkRo4G_oczh0UIbAiryPmJKol3ycvJ-0n_itQLpQx-zT3NZI26ThTOlI6WDqUOuE8LTzvPfxN41BHVcZWSFhjWfNfP2CQZp5nm2hlaPJxeXIPcql2rHbnd-V99X35f-OCB4Kbg1-DzIPbhmCMz49GkFWXhZuhogCkGaZXpwismKyqrY2uPq9sr6e3Prl-vJ-9YMBmxFjE9sauxtjPftR82CTYvdl82t3jauRR5FXqGO8O76vwH_Fs8kHyRfPd9kj3MvfX-Ov60vxL_gr-VP6PAA==","Chieftain: Burning Arrow","Burn foes to ashes with this fiery bow Chieftain build. Begin with simple fire attacks then pick up a bow to set foes alight with waves of Burning Arrows.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Arrow","http://down.qq.com/poe/videos/archetype/BurningArrowChief.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/ArrowBG",1,"","Art/2DArt/UIImages/Common/Archetypes/BurningArrowClass","",1
45,"ArtilleryBallistaDeadeye",3,"https://www.pathofexile.com/passive-skill-tree/3.9.0/AAAABAICAABeAiAFLQW1BucILgztEYESjhPaFSAVQxa_GY4ZtB5qH0EfTCP2JP0mOiaVKgstgzB8MfoylDY9OdQ7ukCgQzFHfkp9SsRNklFHVUtW-l3yXhNhEGHiYetirGOnZU1l02egazRsjG1scFJxQ3Ttdct293fXeGl4-XpTeu99dX7dfwJ_K4MWhNmHdonTjDaNfY1-jbmNv5UFmFObJpuNnaqgn6QFpoin1LEBtNO1SLkCu-O9Nr6nwTPEos2YzerPXs96037UI9lg2cbawd1G45_jsOdU53To1upi7YPuDu5v73ryuPaj9q74gv1u_rr-yP_e","Deadeye: Artillery Ballista","Set up powerful Ballistas that rain powerful artillery on enemies. Build powerful Ballista totems to fight enemies from afar while you avoid dangerous foes.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Ballista","",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/BallistaBG",1,"","Art/2DArt/UIImages/Common/Archetypes/BallistaClass","",1
46,"SpikeWarcrySlayer",4,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAQAAADgA2AFLQmWDjwTTBQgFE0UcRXsF-EYkRo4GlUhVSPqJvgnICcvLPsuUzWSNrE26DkOOlI64TsUPC09_Ed-Sz1N404yUEdXVFhjWfNfP2EaYSFhUmRSZU1nm2hlcql07XasfNmCB4Mug1-DzITZhO-Fj4ZghymHaoidiiKKs4zPjWiQVZBsk6iXeZkrn4mmV6knqZSrOayqrY2uPrXytz65HbyfvTa9gb6nwSXE9sauypDPftAs02_Yvdl82sHkUeoY7HHvDu9O78zyQfJF8932M_ZI9zL46_q1_Ev-Cv6P","Slayer: Earthshatter Warcry","Taunt enemies and overwhelm them with powerful new warcry skills. Power yourself up or intimidate your foes as you pulverize them with Earthshatter.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Warcry","http://down.qq.com/poe/videos/build/3.11SpikeWarcry.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/WarcryBG",1,"","Art/2DArt/UIImages/Common/Archetypes/WarcryDuelist","",1
47,"WinterVortexOccultist",1,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAMAAAFvA-4EBw18EK4RDxFQFLAVUBdUGnIc3B0UHb4d2R8CHxgi9CepKPoqEyuaLKYsvy9vL9Yv2jOHNsU3gzmZOw1DVElPSVFJsUwtTLNR-1KyU9RUrlZIV8lYMVorXGtmnmoba8hsC20ZcLt90n5Zf8aCHoLHhEiIQot6jHaNgo8aj0aP-pDWkyeXLZitnwGhL6VnpuunCKcrr3yvjbcxtzi4k7yqvorBxcMTw23KWc0Wza_QH9DQ0UXR5NdK18_YJNkT2t3bet-K4vfjVuNi6-7r9ewY74jv6_DV9HH1-vk3-tL7Y_6z","Occultist: Winter Vortex","Chill enemies to their bones with the new Winter Brand skill. Conjure deadly vortexes to slow enemies while your Brands batter foes to their death.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Brand","http://down.qq.com/poe/videos/build/3.11WinterBrand.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/BrandBG",1,"","Art/2DArt/UIImages/Common/Archetypes/BrandWitchClass","",""
48,"InfernalSlamChieftain",0,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAEAAAHcBS0JawmWDjwS4RQGFCAUcRU2GJEZLho4Iq8n7S3SNZI4UzkOOlI64Ts7PFs9_ECgQT9Hfks9TeNQR1HmWGNZ814TXz9gkWEhYVJiUGVNZ1hnm2hlbztyqXTtdqx253dTd-N4DXh6eu982X-yggeE2YTvhmCHaoidjM-QVZHOlIeXeZ7Fnz6i6qZXqSepbqmUqy6sqq2Nrj618rvtvJ-9Nr6nwBrBJcaqxtjPftSP2L3ZYdl82sHes9-y5FHkreoY7w7vTvCi8kXz3fYz9kj3Mvjr-rX9cv4K_o__eP_N","Chieftain: Tectonic Slam","Make the earth tremble and boil with devastating new slam skills. Bring your foes to their knees with the titanic strength of Tectonic Slam.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Marauder","http://down.qq.com/poe/videos/build/3.11SlamChieftain.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/MarauderBG",1,"","Art/2DArt/UIImages/Common/Archetypes/FireMarauderClass","",1
49,"SplittingSteelChampion",4,"https://www.pathofexile.com/passive-skill-tree/3.12.0/AAAABAQDAAHcA2AFLQU8DY0OPBLhE0wUIBRNFHEUdRXsF5sX4RiRGNsaVRtGI-om-CvnLlMwdzH7ND41kjboOlI64TsUPfxDMUd-SHhKfUz_TeNOKk4yUEdYY1ivWf5aMluvXSxfP2EaYSFhUmRSZKNlTWWnZkxnoG87dO14DXloeu97dH8Hf-OCB4MuhJSE2YTvhY-GYId2ivCLpozPkc6fiaHZouqkwqZXqW6uULEdtfK5HbvtvJ-9Nr6nwBrBBMGjxKTFU8qQy3rQLNNv2L3ZfNrB3DLeh-Jh45_pRup_7Fzsce8O78zwJvJF9kj46_xL_gr-jw==","Champion: Splitting Steel","Tencent Only","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Steelskin","http://down.qq.com/poe/videos/archetype/ShatteringSteelChampion.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/SteelskinBG",1,"","Art/2DArt/UIImages/Common/Archetypes/SteelskinChampionClass","",1
50,"HexblastOccultist",1,"https://www.pathofexile.com/passive-skill-tree/3.12.0/AAAABAMBAAQHBUIG5wceB2MI9A0fDdEOSBEPES0RlhhqGkgbyBzcH0EfxyBuIvQo-ioLKlMreCycNZI2PTrhPChBh0GWRKtFnUlRTLNN41AwU1JVS1WuVcZYB13yXsBfKmHiYpVirGLdY0NknWnYahtqQ2wLbIxtGXBSeC96VHyDfOV88H6hf8aCEILHg9uFMohaidOMNo8aj0aPpo_6kQeTJ5UumFOYrZrgm6Gcvp2qoEKkBaZXpwinNKvUrrOycLVItz64k7kCvOrAnMu9z93QH9D12L3bXt-w44Tr5Ovu6_XsGO_r8NXxivId8kX0KPno_gr-j_6z","Occultist: Hexblast","Tencent Only","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Hexblade","http://down.qq.com/poe/videos/archetype/HexblastOccultist.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/HexbladeBG",1,"","Art/2DArt/UIImages/Common/Archetypes/HexbladeOccultistClass","",1
51,"BlazingSalvoTemplar",6,"https://www.pathofexile.com/passive-skill-tree/3.12.0/AAAABAUBAAKWBAcEswVCBucHHgj0DdEOSBBYES0RlhZAFm8Wvxo4GoEbyB0UH0EgBiBuJikmlScvKYsqCyycLR8w-DLRM2w2PTpYOthBlkVHRZ1JUUyzUDBRdFNSVUtVxlfIWfNd8l4DXyph4mKsY0NmnmobakNsjG0ZcFJxhXIPfIN_xoAwgpuD24SDhX2HZYnTi4yMNo5kj_qQVZIbkm6VIJUumFOa4JtunaqiAKKjpAWmma6zrv-2-rkCuZO8VrzqvanAZsFrwfPDCcekylnQ9dJ81abaud9P34bjauOE5n3r5Ovu6_XvIfAf8NXyHfem-d360v6z","Templar: Blazing Salvo","Tencent Only","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Salvo","http://down.qq.com/poe/videos/archetype/BlazingSalvoTemplar.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/SalvoBG",1,"","Art/2DArt/UIImages/Common/Archetypes/BlazingSalvoClass","",1
52,"CobraLashAssassin",5,"https://www.pathofexile.com/passive-skill-tree/3.13.0/AAAABAYBAABeAQkCEQW1BnAG5weZCC4NIg2NEwQV_Ra_F7AZjhxfH0Ei6iM3I_Yk_SaVK-cuIzBxMHwyATY9N9Q6Qjz-P2xHBklRSn1Ki0scS3hMjk2SUEJRR1M1VUtZ8FuPW9Nd8mHiYetirGegbAhsjG1sb1dwUnBudoJ4GXpTen99dX8rgCKEood2idOMNo19jYGNv4_Bj_GP-pKAk5CYU5oXmmSdqqLZo4qkBajPrWWw2LIZtMW00bVIuNm9XcGgwuzIDM960NDTftQj1gfb591I3ajfoOLV45_nVOjW7T_tQe2D7g7vevDV8Yry5vzF_QH-uv_e","Assassin: Cobra Lash","Afflict enemies with deadly poisons with Cobra Lash","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Cobra","http://down.qq.com/poe/videos/archetype/CobraLash.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/CobraBG",1,"","Art/2DArt/UIImages/Common/Archetypes/CobraLashClass","",1
53,"HydrosphereElementalist",1,"https://www.pathofexile.com/passive-skill-tree/3.13.0/AAAABAMCAALjA-4EBwSzBUIHpQj0EFgRLRM1Fm8XpBg8GFYaOBu0HNwdviAGJKonLyeDKPoqUyycMPgycTLRM2wzhzWSNuk5STpYOtg64UGHQZZFR0WdRv5JskyLTLNNFE3jU1JVxlZIV8hZ817AXypilWRyZlRmnmjyaVBpnmobakNtGW2scYVyD3YRfEt8g4IQgpuCx4PbhTKIWo8akFWQ-pRvlnSa4KBCogCmV6cIp_ius67_sQWycLc-uJO40LzqvSfAZsaKx6TQH9D11abYJNi92jraud9P323fsONq5nbr5Ovu70vv6_Af8kX56PrS_gr-j_6z","Elementalist: Hydrosphere","Summon a deadly Hydrosphere that can damage and debuff enemies, making them weak to cold and lightning damage","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Hydrosphere","http://down.qq.com/poe/videos/archetype/Hydrosphere.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/HydrosphereBG",1,"","Art/2DArt/UIImages/Common/Archetypes/HydrosphereClass","",1
54,"ElementalHitRaider",3,"https://www.pathofexile.com/passive-skill-tree/3.13.0/AAAABAIBAABeBS0FtQYgBqIG5wguDY0PqxGBEjAS8RR1Fr8X3BjbGY4bNyFgI_YkLiT9JpUr5y1NLlMvci_MMHEwfDY9N9Q6Qjy-QKBHfkp9S3hNkk3PUUdUR1VLVslW-l9wYeJh62KsYuxjp2VNZ6BrkGyMbWxwUnSgdO108XfXelN67311fyuDbYTZhO-HdonTjDaNfY25jb-bJpuNnMedqqQFpHimvrF8shm1SLaKvTa-p8GCwdXD5sjczerPetNv037UI9RS2NXawd1G3aje-OOf51TndOjW6drrFO0_7YPuDu969S_2ov1u_kX-uv_e","Raider: Elemental Hit","Unleash a elemental flurry with Elemental Hit","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/ElementalHit","http://down.qq.com/poe/videos/archetype/ElementalHit.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/ElementalHitBG",1,"","Art/2DArt/UIImages/Common/Archetypes/EleHitClass","",1
55,"ReapScion",2,"https://www.pathofexile.com/passive-skill-tree/3.14.0/AAAABQABgAJfBAcEswY5BucHHgj0CdkLYQ3NDkgQURGWFCAaOBpyG8gczh8CH0Ei9CdzK1AsnC_WMZ41kjXWNj06WDrhPC09Dz38QYdEq0UKSVFKn0yZTLNN41BHUWBVrlXGWGNZ81zQXfJfP2DeYqxmnmdxZ5tnxGjyakNqu2vbbAtsjG0ZcM5yD3Kpe9d_xoIQg8yD24Wfh9aJvI-mj_qQVZIbkyeVLpaKmFOdqqDmogCkBaQMpleoNayqrj6vbK-nsuu1SLc4tz65ArzqvanEWMT2xq7KRspZ2E3Yvdou3ZLfsOKt42LkUeeq7IrvDvAf8NXyRfLS8wb1-vZI-6r-Cv5U_o8A","Scion: Reap","Tencent Only","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Exzanguinate","http://down.qq.com/poe/videos/archetype/ReapScion.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/ExzanguinateBG",1,"","Art/2DArt/UIImages/Common/Archetypes/ExsanguinateClass","",1
56,"VaalGroundSlamBeserker",0,"https://www.pathofexile.com/passive-skill-tree/3.14.0/AAAABQECeQDgAdwDYAUcBS0FPA3NDjwRGhQgFE0UcRbpGJEaOBpVHM4hkCPqJDcrUDWSNrE26DpSOuE8LT0PPfxAoEFyRmlGt0d-SHhKLk3jUEdXVFhjWfNeE18_X9BhGmEhYVJko2VNZ5toZXKpc2t2rHrvggeDX4PMhNmGYIidjM-NaI_7kFWSfZMPk6iXCJhvmyGbUZ-Jon-mV6dtp6Wsqq4-r6e3PryavJ-9Nr6nxBXE9sVTxq7G2Mlnz37QLNNv1YvYvdl82nbcI9wy4NjilORR5c_qEOoY7w7vTu_M8MTyRfPd9jP2SPcy-F_46_xL_gr-VP6PAA==","Beserker: Vaal Ground Slam","Tencent Only","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Slam","http://down.qq.com/poe/videos/archetype/VaalGroundSlamBeserker.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/SlamBG",1,"","Art/2DArt/UIImages/Common/Archetypes/VaalGroundSlamClass","",1
57,"ShieldCrushDuelist",4,"https://www.pathofexile.com/passive-skill-tree/3.15.0/AAAABQQCdwB_AecDXQSHBS0GJAY5BosKJgz3Dc0UIBRNFHEYkRkuGj4aVRv6HM4g4yFgJd8n7SkuKmMrUCxkLTAvzDGeMk41kjboPE09AD0PQKBEnkWaRalHfk3jUEdRYFO7WK9an185Xz9f2mEhYuxlTWa2Z8Rs2G87cql07XaseA15OXloeu982X7igZuCB4TZhO-K8I-Zmy2fy6QZplepbqmVqqSsr696r6ewq7Xytoq5PbyfvTa-eL6nvq3AGsC_wQTBgsSCxPbPftIh2L3ZfNou2sHkUel26dXqGO3X7w7xrPJB8wb3Mvjr-6r8S_5U_o8A","Gladiator: Crush","Tencent Only","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Shield","http://down.qq.com/poe/videos/archetype/ShieldCrush.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/ShieldBG",1,"","Art/2DArt/UIImages/Common/Archetypes/ShieldCrushClass","",1
58,"EyeOfWinterElementalist",1,"https://www.pathofexile.com/passive-skill-tree/3.15.0/AAAABQMCdwLjBAcEswVCBx4HpQj0EFgRDxEtEZYTNRNxFVYWbxa_F1QXpBo4HMQdFCAGIoEi9CSqJpUnLyoLLJww-DNsNuk6WDrYOz9BckGWRZ1G_klRSbJKLkwtTLNQQlM1U1JVS1XGVkpYrlnzXfJepWEoYeJmnmjyaZ5qG2pDbAttGXBScYVyD3yDf8aCEIKbg9uGyonTjDaOPI5kj0aP-pBVkPqTJ5UumuCbUZ6hogCnCKelrJius67_r5u2-rmTvOrAZsMJxorQ9dLF1AfVi9Wm2rna3dyN37DjauZ26-7r9e9L8B_w1fId96b60v6z_vkA","Elementalist: Eye of Winter","Tencent Only","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Eyewinter","http://down.qq.com/poe/videos/archetype/EyeofWinter.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/EyewinterBG",1,"","Art/2DArt/UIImages/Common/Archetypes/EyeOfWinterClass","",1
