"rownum","QuestKey","i32","QuestStates","[i32]","Text","bool","Message","MapPinsKeys1","i32","MapPinsTexts","MapPinsKeys2","[rid]","bool","[i32]","[i32]","i32","SoundEffect","row"
325,34,14,[704],[],"Piety has revealed that Malachai is in control of the Beast, and is residing in the Black Core. Find your way inside and kill him.","","",[60],0,"[""Find a way into the Black Core""]",[60],[],"",[],[],10,"",216
326,34,15,[703],[],"Piety seems to have reverted to her human form and wants to parley. Talk to her in the Belly of the Beast.","","Talk to Piety",[59],0,"[""Talk to Piety""]",[59],[],"",[],[],10,"",216
327,34,16,[702],[],"A nightmarish Piety blocks your way through the Belly of the Beast. Kill her and continue on your way to kill the Beast from within.","","Kill Piety",[59],0,"[""Kill Piety""]",[59],[],"",[],[],10,"",216
328,34,17,[683],[],"The Rapture Device has drained Dialla of much of her life force and failed to kill the Beast. However, it has opened a gaping wound in its exterior. Travel inside the Beast and kill it from within.","","",[59],0,"[""Destroy the Beast within""]",[59],[],"",[],[],10,"",216
329,34,18,[720],[],"The Rapture Device has drained Dialla of much of her life force and failed to kill the Beast. However, it has opened a gaping wound in its exterior. Travel inside the Beast and kill it from within.","","Enter the Belly of the Beast",[59],0,"[""Enter the Belly of the Beast""]",[],[],"",[],[],10,"",216
330,34,19,[697],[],"The Rapture Device has drained Dialla of much of her life force and failed to kill the Beast. However, it has opened a gaping wound in its exterior. Travel inside the Beast and kill it from within.","","",[59],0,"[""Destroy the Beast within""]",[],[],"",[],[],10,"",216
331,34,20,[692],[],"Dialla requires two special power sources to activate the Rapture Device and kill the Beast. Find the Eye of Fury and the Eye of Desire and give them to her.","","Find the Eyes of Fury and Desire",[54],0,"[""Power the Rapture Device with the gems from Kaom and Daresso""]",[],[],"",[],[],10,"",216
332,34,21,[796],[],"You have found the Rapture Device deep within the Crystal Veins. Talk to Dialla there.","","Talk to Dialla",[54],0,"[""Talk to Dialla""]",[54],[],"",[],[],10,"",216
333,34,22,[687],[],"Dialla has asked you find the Rapture Device and use it to kill the Beast. Find it deep within the Mines.","","Find the Rapture Device",[54],0,"[""Find the Rapture Device""]",[],[],"",[],[],10,"",216
334,34,23,[706],[],"You have used Deshret's Banner to break her Seal, which was blocking all access to the Mines. Talk to Dialla for more information about her quest.","","",[50],0,"[""Talk to Dialla""]",[50],[],"",[],[],10,"",216
335,34,24,[671],[],"Dialla wants you to destroy the Beast slumbering within the Mines. However, the entrance has been long sealed by Sekhema Deshret. Find a way to break her Seal and gain access to the Mines.","","",[53],0,"[""Find a way into the mountain""]",[],[],"",[],[],10,"",216
336,34,25,[663],[],"Dialla wants you to destroy the darkness in the mountain. Talk to Oyun for advice.","","Talk to Oyun",[50],0,"[""Talk to Oyun""]",[],[],"",[],[],10,"",216
337,34,26,[672],[],"You have reached Highgate, an encampment occupied by the Maraketh. Dialla is here waiting for you. Talk to her and see what she wants.","","Talk to Dialla",[50],0,"[""Talk to Dialla""]",[50],[],"",[],[],10,"",216
338,34,27,"[673,0]",[],"Dialla has asked you to go to Highgate, north of the Aqueduct. Travel there to learn more.","","Go to Highgate",[50],0,"[""Go to Highgate""]",[50],[],"",[],[],10,"",216
339,34,28,[673],[],"Dialla is waiting for you on the Aqueduct. Talk to her and see what she wants.","","Talk to Dialla",[51],0,"[""Talk to Dialla""]",[51],[],"",[],[],10,"",216
340,35,0,"[667,0]",[],"Quest Complete - You have slain Voll and used Deshret's Banner to break her Seal and reopen the Mines. Oyun has rewarded you.",1,"Quest Complete",[],0,[],[],[],"",[],[],10,"",216
341,35,1,"[667,0]",[],"Quest Complete - You have slain Voll and used Deshret's Banner to break her Seal and reopen the Mines. Talk to Oyun in town for a reward.","","",[50],0,"[""Talk to Oyun for your reward""]",[50],[],"",[],[],10,"",216
342,35,2,[667],[],"You have used Deshret's Banner to break her Seal and gain access to the Mines. Talk to Oyun in town for a reward.","","Talk to Oyun for a reward",[50],0,"[""Talk to Oyun""]",[50],[],"",[],[],10,"",216
343,35,3,[706],[],"Use Deshret's Banner in town to break her Seal and gain access to the Mines.","","Use the Banner to break Deshret's Seal",[50],0,"[""Use Deshret's Banner on the Seal to open the Mines""]",[50],[],"",[],[],10,"",216
344,35,4,[669],[],"Use Deshret's Banner in town to break her Seal and gain access to the Mines.","","Use the Banner to break Deshret's Seal",[50],0,"[""Use Deshret's Banner on the Seal to open the Mines""]",[50],[],"",[],[],10,"",216
345,35,5,[686],[],"Take Deshret's Banner from the Dried Lake. It can be used in town to break Deshret's Seal and gain access to the Mines.","","Take Deshret's Banner",[52],0,"[""Take Deshret's Banner""]",[52],[],"",[],[],10,"",216
346,35,6,[670],[],"Slay Voll and take Deshret's Banner. It can be used in town to break Deshret's Seal and gain access to the Mines.","","Kill Voll",[52],0,"[""Kill Voll and take Deshret's Banner""]",[52],[],"",[],[],10,"",216
347,35,7,[671],[],"Find Deshret's Banner in the Dried Lake, then use it in town to break Deshret's Seal and gain access to the Mines.","","Find Deshret's Banner",[52],0,"[""Find Deshret's Banner in the Dried Lake""]",[],[],"",[],[],10,"",216
348,36,0,[688],[],"Quest Complete - You have killed Kaom and delivered the Eye of Fury to Dialla. She has rewarded you.",1,"Quest Complete",[],0,[],[],[],"",[],[],10,"",216
349,36,1,"[708,0]",[],"Quest Complete - You have killed Kaom and delivered the Eye of Fury to Dialla. Talk to her in town for a reward.","","",[50],0,"[""Talk to Dialla in town for a reward""]",[],[],"",[],[],10,"",216
350,36,2,[707],[],"Quest Complete - You have killed Kaom and delivered the Eye of Fury to Dialla. Once you have delivered both Eyes, she will reward you.","","",[],0,[],[],[],"",[],[],10,"",216
351,36,3,[690],[],"Dialla requires the Eye of Fury to activate the Rapture Device. Deliver it to her in the Mines.","","Deliver the Eye of Fury to Dialla",[54],0,"[""Deliver the Eye of Fury to Dialla""]",[54],[],"",[],[],10,"",216
352,36,4,[693],[],"Dialla requires the Eye of Fury to activate the Rapture Device. Take it and deliver it to Dialla in the Mines.","","Take the Eye of Fury",[56],0,"[""Take the Eye of Fury""]",[56],[],"",[],[],10,"",216
353,36,5,[691],[],"Dialla requires the Eye of Fury to activate the Rapture Device, but it is guarded by King Kaom. Kill him and deliver the Eye to Dialla.","","Kill Kaom",[56],0,"[""Kill Kaom""]",[56],[],"",[],[],10,"",216
354,36,6,[692],[],"Dialla requires the Eye of Fury to activate the Rapture Device, but it is guarded by King Kaom. Take it from him and deliver it to Dialla.","","",[56],0,"[""Find Kaom and the Eye of Fury""]",[],[],"",[],[],10,"",216
355,37,0,[688],[],"Quest Complete - You have killed Daresso and delivered the Eye of Desire to Dialla. She has rewarded you.",1,"Quest Complete",[],0,[],[],[],"",[],[],10,"",216
356,37,1,"[708,0]",[],"Quest Complete - You have killed Daresso and delivered the Eye of Desire to Dialla. Talk to her in town for a reward.","","",[50],0,"[""Talk to Dialla in town for a reward""]",[],[],"",[],[],10,"",216
357,37,2,[708],[],"Quest Complete - You have killed Daresso and delivered the Eye of Desire to Dialla. Once you have delivered both Eyes, she will reward you.","","",[],0,[],[],[],"",[],[],10,"",216
358,37,3,[695],[],"Dialla requires the Eye of Desire to activate the Rapture Device. Deliver it to her in the Mines.","","Deliver the Eye of Desire to Dialla",[54],0,"[""Deliver the Eye of Desire to Dialla""]",[54],[],"",[],[],10,"",216
359,37,4,[809],[],"Dialla requires the Eye of Desire to activate the Rapture Device. Take it and deliver it to Dialla in the Mines.","","Take the Eye of Desire",[58],0,"[""Take the Eye of Desire""]",[58],[],"",[],[],10,"",216
360,37,5,[696],[],"Dialla requires the Eye of Desire to activate the Rapture Device, but it is guarded by Daresso, King of Swords. Kill him and deliver the Eye to Dialla.","","Kill Daresso",[58],0,"[""Kill Daresso""]",[58],[],"",[],[],10,"",216
361,37,6,[692],[],"Dialla requires the Eye of Desire to activate the Rapture Device, but it is guarded by Daresso, King of Swords. Take it from him and deliver it to Dialla.","","",[58],0,"[""Find Daresso and the Eye of Desire""]",[],[],"",[],[],10,"",216
362,38,0,[698],[],"Quest Complete - You have found Malachai's three organs and delivered them to Piety.",1,"",[],0,[],[],[],"",[],[],10,"",216
363,38,1,"[701,0,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Deliver the remaining organs to her.","","Deliver the organs to Piety",[60],0,"[""Deliver the organs to Piety""]",[60],[],"",[],[],10,"",216
364,38,2,"[700,0,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Deliver the remaining organs to her.","","Deliver the organs to Piety",[60],0,"[""Deliver the organs to Piety""]",[60],[],"",[],[],10,"",216
365,38,3,"[700,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],[],10,"",216
366,38,4,"[701,0,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Deliver the remaining organs to her.","","Deliver the organs to Piety",[60],0,"[""Deliver the organs to Piety""]",[60],[],"",[],[],10,"",216
367,38,5,"[701,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],[],10,"",216
368,38,6,"[701,0,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Deliver the remaining organs to her.","","Deliver the organs to Piety",[60],0,"[""Deliver the organs to Piety""]",[60],[],"",[],[],10,"",216
369,38,7,"[701,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],[],10,"",216
370,38,8,"[699,0,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Deliver the remaining organ to her.","","Deliver the organ to Piety",[60],0,"[""Deliver the organ to Piety""]",[60],[],"",[],[],10,"",216
371,38,9,"[699,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],[],10,"",216
372,38,10,"[699,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],[],10,"",216
373,38,11,"[700,0,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Deliver the remaining organ to her.","","Deliver the organ to Piety",[60],0,"[""Deliver the organ to Piety""]",[60],[],"",[],[],10,"",216
374,38,12,"[700,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],[],10,"",216
375,38,13,"[700,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],[],10,"",216
376,38,14,"[701,0,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Deliver the remaining organ to her.","","Deliver the organ to Piety",[60],0,"[""Deliver the organ to Piety""]",[60],[],"",[],[],10,"",216
377,38,15,"[701,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],[],10,"",216
378,38,16,"[701,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],[],10,"",216
379,38,17,[701],[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the two remaining organs and deliver them to her.","","Find the remaining organs",[60],0,"[""Find the remaining organs""]",[60],[],"",[],[],10,"",216
380,38,18,[700],[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the two remaining organs and deliver them to her.","","Find the remaining organs",[60],0,"[""Find the remaining organs""]",[60],[],"",[],[],10,"",216
381,38,19,[699],[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the two remaining organs and deliver them to her.","","Find the remaining organs",[60],0,"[""Find the remaining organs""]",[60],[],"",[],[],10,"",216
382,38,20,"[801,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],[],10,"",216
383,38,21,"[802,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],[],10,"",216
384,38,22,"[801,0]",[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the remaining organ and deliver it to her.","","Find the remaining organ",[60],0,"[""Find the remaining organ""]",[60],[],"",[],[],10,"",216
385,38,23,[801],[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the two remaining organs and deliver them to her.","","Find the remaining organs",[60],0,"[""Find the remaining organs""]",[60],[],"",[],[],10,"",216
386,38,24,[802],[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the two remaining organs and deliver them to her.","","Find the remaining organs",[60],0,"[""Find the remaining organs""]",[60],[],"",[],[],10,"",216
387,38,25,[803],[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the two remaining organs and deliver them to her.","","Find the remaining organs",[60],0,"[""Find the remaining organs""]",[60],[],"",[],[],10,"",216
388,38,26,[704],[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find them and deliver them to her.","","Find Malachai's organs",[60],0,"[""Find Malachai's organs""]",[],[],"",[],[],10,"",216
389,39,0,[793],[],"Quest Complete - You have freed the ancient spirit of Sekhema Deshret and received {0} from Tasuni.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,"",216
390,39,1,[825],[],"Quest Complete - You have freed the ancient spirit of Sekhema Deshret and received a Skill Book from Tasuni. Use it to gain {0}.","","",[],0,[],[],[],"",[],[],0,"",216
391,39,2,[752],[],"Quest Complete - You have freed the ancient spirit of Sekhema Deshret. Talk to Tasuni in town for a reward.","","Talk to Tasuni",[50],0,"[""Talk to Tasuni in town for your reward""]",[],[],"",[],[],10,"",216
392,39,3,[799],[],"You have found Deshret's spirit trapped in the Mines under Highgate. Free it and Tasuni will reward you.","","Free Deshret's spirit",[53],0,"[""Free Deshret's spirit""]",[53],[],"",[],[],10,"",216
393,39,4,[750],[],"Tasuni can hear the spirit of Deshret calling to him, and wants you to help her. Find her spirit in the Mines and free it.","","Find Deshret's spirit",[53],0,"[""Find Deshret's spirit""]",[],[],"",[],[],10,"",216
394,40,0,[715],[973],"","","Mission Failed",[],0,[],[],[],1,[],[],10,186,216
395,40,1,[710],[973],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185,216
396,40,2,[709],"[973,0]","","","Complete Kirac's Mission",[],0,[],[],[],"",[],[],10,"",216
397,40,3,"[2022,0]","[973,0]","","","Choose a Map",[],0,[],[],[],"",[],[],10,"",216
398,41,0,[1942],[1943],"","","Mission Failed",[],0,[],[],[],1,[],[],10,186,216
399,41,1,[1941],[1943],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185,216
400,41,2,[1940],[1943],"","","Find Voltaxic Sulphite for Niko",[],0,[],[],[],"",[],[],10,"",216
401,42,0,[1946],[1947],"","","Mission Failed",[],0,[],[],[],1,[],[],10,186,216
402,42,1,[1945],[1947],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185,216
403,42,2,[1948],[1947],"","","Complete the Incursion",[],0,[],[],[],"",[],[],10,"",216
404,42,3,[1944],[1947],"","","Complete Alva's Incursions",[],0,[],[],[],"",[],[],10,"",216
405,43,0,[1951],[1952],"","","Mission Failed",[],0,[],[],[],1,[],[],10,186,216
406,43,1,[1950],[1952],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185,216
407,43,2,[1949],[1952],"","","Capture the Beasts for Einhar",[],0,[],[],[],"",[],[],10,"",216
408,44,0,"[526,0]",[572],"","","Mission Failed",[],0,[],[],[],1,[],[],10,186,216
409,44,1,"[526,0]",[572],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185,216
410,44,2,"[526,0]",[572],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],[],10,"",216
411,44,3,"[526,0]",[572],"","","Question the defeated Syndicate members",[],0,[],[],[],"",[],[],10,"",216
412,44,4,"[526,0]",[572],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],[],10,"",216
413,44,5,"[526,0]",[572],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],[],10,"",216
414,44,6,"[526,0]",[572],"","","Defeat the Fortification guards",[],0,[],[],[],"",[],[],10,"",216
415,44,7,"[526,0]",[572],"","","Complete the Immortal Syndicate encounters",[],0,[],[],[],"",[],[],10,"",216
416,45,0,"[526,0]",[572],"","","Mission Failed",[],0,[],[],[],1,[],[],10,186,216
417,45,1,"[526,0]",[572],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185,216
418,45,2,"[526,0]",[572],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],[],10,"",216
419,45,3,"[526,0]",[572],"","","Question the defeated Syndicate members",[],0,[],[],[],"",[],[],10,"",216
420,45,4,"[526,0]",[572],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],[],10,"",216
421,45,5,"[526,0]",[572],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],[],10,"",216
422,45,6,"[526,0]",[572],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],[],10,"",216
423,45,7,"[526,0]",[572],"","","",[],0,[],[],[],"",[],[],10,"",216
424,45,8,"[526,0]",[572],"","","Complete the Immortal Syndicate encounters",[],0,[],[],[],"",[],[],10,"",216
425,46,0,"[526,0]",[572],"","","Mission Failed",[],0,[],[],[],1,[],[],10,186,216
426,46,1,"[526,0]",[572],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185,216
427,46,2,"[526,0]",[572],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],[],10,"",216
428,46,3,"[526,0]",[572],"","","Question the defeated Syndicate members",[],0,[],[],[],"",[],[],10,"",216
429,46,4,"[526,0]",[572],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],[],10,"",216
430,46,5,"[526,0]",[572],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],[],10,"",216
431,46,6,"[526,0]",[572],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],[],10,"",216
432,46,7,"[526,0]",[572],"","","Defeat the Intervention assassins",[],0,[],[],[],"",[],[],10,"",216
433,46,8,"[526,0]",[572],"","","Complete the Immortal Syndicate encounters",[],0,[],[],[],"",[],[],10,"",216
434,47,0,"[526,0]",[572],"","","Mission Failed",[],0,[],[],[],1,[],[],10,186,216
435,47,1,"[526,0]",[572],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185,216
436,47,2,"[526,0]",[572],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],[],10,"",216
437,47,3,"[526,0]",[572],"","","Question the defeated Syndicate members",[],0,[],[],[],"",[],[],10,"",216
438,47,4,"[526,0]",[572],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],[],10,"",216
439,47,5,"[526,0]",[572],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],[],10,"",216
440,47,6,"[526,0]",[572],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],[],10,"",216
441,47,7,"[526,0]",[572],"","","Quickly find and defeat the Research guards",[],0,[],[],[],"",[],[],10,"",216
442,47,8,"[526,0]",[572],"","","Enter the Syndicate Laboratory",[],0,[],[],[],"",[],[],10,"",216
443,47,9,"[526,0]",[572],"","","Complete the Immortal Syndicate encounters",[],0,[],[],[],"",[],[],10,"",216
444,48,0,"[526,0]",[572],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185,216
445,48,1,"[526,0]",[572],"","","Safehouse Abandoned",[],0,[],[],[],"",[],[],10,"",216
446,48,2,"[526,0]",[572],"","","Interrogate the Leader",[],0,[],[],[],"",[],[],10,"",216
447,48,3,"[526,0]",[572],"","","Defeat the Syndicate Members",[],0,[],[],[],"",[],[],10,"",216
448,48,4,"[526,0]",[572],"","","Raid the Safehouse",[],0,[],[],[],"",[],[],10,"",216
449,49,0,"[526,0]",[572],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185,216
450,49,1,"[526,0]",[572],"","","Interrogate Catarina",[],0,[],[],[],"",[],[],10,"",216
451,49,2,"[526,0]",[572],"","","Defeat Catarina",[],9000,[],[],[],"",[],[],10,"",216
452,49,3,"[526,0]",[572],"","","Follow Catarina",[],12000,[],[],[],"",[],[],10,"",216
453,49,4,"[526,0]",[572],"","","Defeat Catarina",[],6000,[],[],[],"",[],[],10,"",216
454,49,5,"[526,0]",[572],"","","Find the Mastermind",[],0,[],[],[],"",[],[],10,"",216
455,51,0,[897],[899],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],[14],"","[268,266,265,267,263,264]",[],10,"",216
456,51,1,[897],[899],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,"",216
457,51,2,[],[899],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","Enter the Labyrinth",[],0,"[""Enter the Labyrinth in the Sarn Encampment""]",[],[14],"","[268,266,265,267,263,264]",[],10,"",216
458,51,3,[],[899],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,"",216
459,51,4,[937],[],"Solve the Trial of Ascendancy in this Area. Complete all the Trials to access the Lord's Labyrinth.","","Solve the Trial of Ascendancy in this Area",[],0,"[""Solve the Trial of Ascendancy in this Area""]",[],[14],"",[],[263],10,"",216
460,51,5,[937],[899],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","Solve the Trials of Ascendancy",[],0,"[""Solve the Trials of Ascendancy""]",[],[14],"",[],[],10,"",216
461,51,6,[937],[899],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[],10,"",216
462,51,7,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[263],10,"",216
463,52,0,[897],[899],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],"[26,29]","","[268,266,265,267,263,264]",[],10,"",216
464,52,1,[897],[899],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,"",216
465,52,2,[],[899],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","Enter the Labyrinth",[],0,"[""Enter the Labyrinth in the Sarn Encampment""]",[],"[26,29]","","[268,266,265,267,263,264]",[],10,"",216
466,52,3,[],[899],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,"",216
467,52,4,[937],[],"Solve the Trial of Ascendancy in this Area. Complete all the Trials to access the Lord's Labyrinth.","","Solve the Trial of Ascendancy in this Area",[],0,"[""Solve the Trial of Ascendancy in this Area""]",[],[29],"",[],[264],10,"",216
468,52,5,[937],[],"Solve the Trial of Ascendancy in this Area. Complete all the Trials to access the Lord's Labyrinth.","","Solve the Trial of Ascendancy in this Area",[],0,"[""Solve the Trial of Ascendancy in this Area""]",[],[26],"",[],[265],10,"",216
469,52,6,[937],[899],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","Solve the Trials of Ascendancy",[],0,"[""Solve the Trials of Ascendancy""]",[],"[26,29]","",[],[],10,"",216
470,52,7,[937],[899],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[],10,"",216
471,52,8,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[264],10,"",216
472,52,9,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[265],10,"",216
473,53,0,[900],[],"Quest Complete - You have completed the Eternal Labyrinth.",1,"",[],0,[],[],[],"","[286,284,283,285,281,282]",[],10,"",216
474,53,1,[993],[],"Quest Complete - You have completed the Merciless Labyrinth. But could there be yet more secrets to unlock?",1,"Quest Complete",[],0,[],[],[],"","[272,273,274]",[],10,"",216
475,53,2,[992],[],"You have gained access to the Merciless Labyrinth from the Sarn Encampment. Complete it to earn additional Ascendancy Points.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],[],"","[272,273,274]",[],10,"",216
476,53,3,[992],[],"You have completed the Cruel Labyrinth, but there may yet be more to discover about the Labyrinth...","","",[],0,[],[],[],"","[269,270,271]",[],10,"",216
477,53,4,[899],[],"You have gained access to the Cruel Labyrinth from the Sarn Encampment. Complete it to earn additional Ascendancy Points.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],[],"","[269,270,271]",[],10,"",216
478,53,5,[899],[],"You have completed the Lord's Labyrinth and earned your Ascendancy, but there may yet be more to discover about the Labyrinth...","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,"",216
479,53,6,[976],[],"You have completed the Lord's Labyrinth and slain Izaro. Activate the Altar of Ascendancy to earn your Ascendancy.","","Activate the Altar of Ascendancy",[],0,"[""Activate the Altar of Ascendancy""]",[],[],"","[268,266,265,267,263,264]",[],10,"",216
480,53,7,[897],[],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],"[55,44,46,41,459]","","[268,266,265,267,263,264]",[],10,"",216
481,53,8,[897],[],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,"",216
482,53,9,[],[],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","Enter the Labyrinth",[34],0,"[""Enter the Labyrinth in the Sarn Encampment""]",[34],"[55,44,46,41]","","[268,266,265,267,263,264]",[],10,"",216
483,53,10,[],[],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,"",216
484,53,11,[937],[],"Solve the Trial of Ascendancy in this Area. Complete all the Trials to access the Lord's Labyrinth.","","Solve the Trial of Ascendancy in this Area",[],0,"[""Solve the Trial of Ascendancy in this Area""]",[],[46],"",[],[268],10,"",216
485,53,12,[937],[],"Solve the Trial of Ascendancy in this Area. Complete all the Trials to access the Lord's Labyrinth.","","Solve the Trial of Ascendancy in this Area",[],0,"[""Solve the Trial of Ascendancy in this Area""]",[],[44],"",[],[266],10,"",216
486,53,13,[937],[],"Solve the Trial of Ascendancy in this Area. Complete all the Trials to access the Lord's Labyrinth.","","Solve the Trial of Ascendancy in this Area",[],0,"[""Solve the Trial of Ascendancy in this Area""]",[],[55],"",[],[267],10,"",216
487,53,14,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","Solve the Trials of Ascendancy",[],0,"[""Solve the Trials of Ascendancy""]",[],"[55,44,46,41]","",[],[],10,"",216
488,53,15,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[],10,"",216
