"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","[rid]","bool","[rid]","[rid]","[rid]","[rid]","bool","bool","bool","bool","bool","rid","[i32]","string","[rid]"
434,"corpse_devour_storm","Nearby corpses are devoured to heal you.","","","Devouring Tempest",[],1,3,"","","",1,28,426,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
435,"projectile_nova_storm","You gain four additional projectiles, and you fire your projectiles in a nova. You have increased area of effect.","","","Sharding Tempest","[1777,173,434]",1,3,"","","",1,28,427,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[1777,173,434]",[],"","","","","","",[],"",[]
436,"veil_storm","Your Elemental Resistances are Zero, and your Light radius is reduced.","","","Veiling Tempest","[2002,1210]",1,3,"","","",1,28,428,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[2002,1210]",[],"","","","","","",[],"",[]
437,"voltaxic_storm","A portion of your Damage is Converted to Chaos Damage.","","","Abyssal Tempest","[1481,1482,1483,485,151]",1,3,"","","",1,28,429,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[1481,1482,1483,485,151]",[],"","","","","","",[],"",[]
438,"phasing_storm","You have Phasing, allowing you to move through enemies. You have a chance to avoid damage.","","","Ethereal Tempest","[1852,7387]",1,3,"","","",1,28,430,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[1852,7387]",[],"","","","","","",[],"",[]
439,"corrupted_drops_storm","Items you find are Corrupted.","","","Corrupting Tempest","[3146,3149]",1,3,"","","",1,28,431,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3146,3149]",[],"","","","","","",[],"",[]
440,"drop_as_sell_price_storm","Non-Unique Items you find, excluding Currency, Gems and Maps drop as their sell price.","","","Transmogrifying Tempest","[3147,3150,151]",1,3,"","","",1,28,432,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3147,3150,151]",[],"","","","","","",[],"",[]
441,"quality_drops_storm","Items you find have Quality.","","","Refining Tempest","[3148,3151]",1,3,"","","",1,28,433,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3148,3151]",[],"","","","","","",[],"",[]
442,"identify_items_storm","Items you find are Identified.","","","Revealing Tempest","[3271,3270]",1,3,"","","",1,28,434,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3271,3270]",[],"","","","","","",[],"",[]
443,"arcane_storm","You have increased Elemental Damage and Cast Speed. You gain 10 life over one second when you cast a spell.","","","Arcane Tempest","[486,216,2014]",1,3,"","","",1,28,435,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[486,216,2014]",[],"","","","","","",[],"",[]
444,"status_immunity_storm","You cannot be Chilled, Frozen, Ignited or Shocked. You have additional Elemental Resistances and maximum Elemental Resistances.","","","Resisting Tempest","[191,190,192,193,141,947]",1,3,"","","",1,28,436,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[191,190,192,193,141,947]",[],"","","","","","",[],"",[]
445,"ground_spore_damage","","","","Malachai Spores",[354],1,3,"","","","",28,3,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[354],[],"","","","","","",[],"",[]
446,"flask_bonus_item_rarity","You have increased Rarity of Items Found while this flask is in effect",1,"","Item Rarity",[153],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[153],[],"","","","","","",[],"",[]
447,"map_boss_duet_enrage","",1,"","","[477,70,216,24,717]",1,3,"","","","",28,453,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[477,70,216,24,717]",[],"","","","","","",[],"",[]
448,"ground_spores","You are taking Physical Damage while standing in Ground Spores","","","Ground Spores",[354],1,3,"","","","",28,454,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[354],[],"","","","","","",[],"",[]
449,"new_phase_run","You have Phasing, allowing you to move through enemies, move faster, are less visible to enemies and deal more Melee Physical Damage. ","","","Phase Run","[1852,177,635,12382,5817]",1,2,"","","","",28,457,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[1852,177,635,12382,5817]",[],"","","","","","",[],"",[]
450,"new_phase_run_damage","You deal more Melee Physical Damage. ","","","Phase Run Damage",[635],1,2,"","","","",28,458,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[635],[],"","","","","","",[],"",[]
451,"tempest_soul_eater","You have Soul Eater.","","","Consuming Tempest",[],1,1,"","","",1,28,437,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
452,"static_tether","","","","Static Tether",[],1,1,"","","",1,28,460,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
453,"flask_bonus_mana_regeneration_rate","",1,"","",[130],1,3,"","","","",28,0,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[130],[],"","","","","","",[],"",[]
454,"flask_bonus_flask_charge_recovery","",1,"","",[401],1,3,"","","","",28,0,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[401],[],"","","","","","",[],"",[]
455,"frost_bomb","You have reduced regeneration of life and energy shield, and reduced energy shield recharge rate","","","Frost Bomb","[2399,8135,138]",1,3,"","","",1,28,464,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[2399,8135,138]",[],"","","","","","",[],"",[]
456,"lightning_bomb","You have reduced resistances to lightning damage and life regeneration.","","","Lightning Bomb","[2399,8135,138]",1,3,"","","",1,28,465,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[2399,8135,138]",[],"","","","","","",[],"",[]
457,"borrowed_power_lightning_aura","","","","Borrowed Power",[4091],"",3,"","","","",28,5,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[4091],[],"","","","","","",[],"",[]
458,"disable_weapons_buff","Your weapons are disabled.","","","Dancing Dervish",[],1,3,"","","","",28,553,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],"[3314,1749]",[],[],"","","","","","",[],"",[]
459,"sawblade_damage","",1,"","Death Rhoomba","[2562,3055]",1,3,"","","","",28,477,"","",11,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[2562,3055]",[],"","","","","","",[],"",[]
460,"usemax_mana_regen","You are Regenerating Mana","","","Mana Regeneration",[131],1,3,"","","",1,28,165,1,"",1,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[131],[],"","","","","","",[],"",[]
461,"righteous_lightning","You deal lightning damage to those around you, while draining your mana.","","","Righteous Lightning","[3340,1076,554]",1,2,"","","",1,28,474,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3340,1076,554]",[],"","","","","","",[],"",[]
462,"righteous_lightning_aura","You are taking lightning damage from being near an enemy using Righteous Lightning","","","Righteous Lightning",[1979],"",3,"","","","",28,475,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1979],[],"","","","","","",[],"",[]
463,"life_leech_damage","You are taking chaos damage from your opponent's Life Leech",1,"","Life Leech Damage",[453],1,1,"","","",1,28,0,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[],"",[]
464,"enchantment_added_fire_damage","",1,"","","[43,44]","",3,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[43,44]",[],"","","","","","",[],"",[]
465,"talisman_monster","",1,"","Talisman",[],"",3,"","","","",28,476,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
466,"caustic_cloud","You are taking Chaos Damage from standing in Caustic Ground","","","Caustic Ground","[453,6514]",1,3,"","","","",28,12,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[453,6514]",[],"","","","","","",[],"",[]
467,"enchantment_reduced_mana_cost","",1,"","",[213],"",3,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[213],[],"","","","","","",[],"",[]
468,"enchantment_stun_avoid","",1,"","",[6077],"",3,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[6077],[],"","","","","","",[],"",[]
469,"enchantment_attack_and_cast_speed","",1,"","","[70,216]","",3,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[70,216]",[],"","","","","","",[],"",[]
470,"enchantment_added_cold_damage","",1,"","","[50,51]","",3,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[50,51]",[],"","","","","","",[],"",[]
471,"enchantment_life_leech","",1,"","",[105],"",3,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[105],[],"","","","","","",[],"",[]
472,"enchantment_life_regen","",1,"","",[451],"",3,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[451],[],"","","","","","",[],"",[]
473,"attack_speed_when_hit","",1,"","",[70],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[70],[],"","","","","","",[],"",[]
474,"negate_move_speed_increase","",1,"","",[177],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[177],[],"","","","","","",[],"",[]
475,"berserker_life_and_mana_leech","",1,"","","[105,106]",1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[105,106]",[],"","","","","","",[],"",[]
476,"added_fire_damage","You deal a percentage of your Physical Damage as additional Fire Damage",1,"","Fire Damage",[447],1,3,"","","","",28,333,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[447],[],"","","","","","",[],"",[]
477,"attack_and_cast_speed","You have increased Attack and Cast Speeds",1,"","Attack and Cast Speed","[70,216]",1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[70,216]",[],"","","","","","",[],"",[]
478,"physical_damage_stacking","You have increased Physical Damage and Block Chance","","","Violent Retaliation",[],1,3,1,"","",1,28,516,1,1,17,"",1,1,"",0,1,"ActionRecentlyCounterBuff","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
479,"block_chance","You have additional Block Chance",1,"","",[1081],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[1081],[],"","","","","","",[],"",[]
480,"damage","You have increased Physical Damage",1,"","",[24],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[24],[],"","","","","","",[],"",[]
481,"taunted_special","",1,"","","[477,543,4761]",1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[477,543,4761]",[],"","","","","","",[],"",[]
482,"movement_speed","You have increased Movement Speed from a Champion","","","Inspirational",[177],1,3,"","","",1,28,478,1,1,1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[177],[],"","","","","","",[],"",[]
483,"scion_movement_speed","You have increased Movement Speed from an Ascendant","","","Inspirational",[177],1,3,"","","",1,28,478,1,1,1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[177],[],"","","","","","",[],"",[]
484,"siphon_damage","You are taking Chaos Damage Over Time","","","Essence Drain",[453],1,8,"","","",1,28,482,1,"",2,"",1,1,"",0,"","SiphonDebuff","","","","",4,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[],"",[]
485,"contagion","You are taking Chaos Damage Over Time","","","Contagion",[453],1,8,"","","",1,28,479,1,"",2,"",1,1,"",0,"","ContagionDebuff","","","","",4,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[],"",[]
486,"hinder","Your Movement Speed is reduced","","","Hinder","[177,4485]",1,3,"","","",1,28,484,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[177,4485]",[],"","","","","","",[],"",[]
487,"withered","You are taking increased Chaos Damage","","","Withered","[3421,15445]",1,1,1,"","",1,28,486,1,1,2,"",1,1,"",15,"","","","","","",2,"","",0,[],"","",[],"",[],[],"[3421,15445]",[],"","","","","","",[],"",[]
488,"siphon_leech","You are regenerating life from Essence Drain","","","Essence Drain Regeneration",[125],1,1,1,"","",1,28,482,1,1,17,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],[125],[],"","","","","","",[],"",[]
489,"warcry_damage_added_as_mana","A percentage of the Damage you take is added as Mana",1,"","Warcry Damage to Mana",[1073],1,3,"","","",1,28,0,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1073],[],"","","","","","",[],"",[]
490,"offering_of_judgement_fire","You are taking Burning Damage","","","Offering Of Judgement",[1975],1,3,"","","",1,28,483,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1975],[],"","","","","","",[],"",[]
491,"offering_of_judgement_chaos","You are taking Chaos Damage Over Time","","","Offering Of Judgement",[453],1,3,"","","",1,28,488,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[],"",[]
492,"offering_of_judgement_counter","",1,"","",[],1,1,"","",3472,1,28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
493,"her_blessing","You have Her Blessing, taking 33% of your Life and Energy Shield as Fire Damage per second.","","","Her Blessing","[3475,2529]",1,3,"","","",1,28,489,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3475,2529]",[],"","","","","","",[],"",[]
494,"maim","You have reduced Movement Speed from being Maimed","","","Maimed",[177],1,3,"","","","",28,517,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[4593],[177],[],"","","","","","",[],"",[]
495,"lightning_flask","You and nearby enemies are Shocked and your Lightning Damage is Leeched as Life.","","","Vessel of Vinktar","[3106,3107,1237,3512]",1,3,"","","",1,28,495,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3106,3107,1237,3512]",[],"","","","","","",[],"",[]
496,"lightning_flask_attack_damage","You deal additional Lightning Damage with Attacks.","","","Vessel of Vinktar","[59,60]",1,3,"","","",1,28,490,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[59,60]",[],"","","","","","",[],"",[]
497,"lightning_flask_spell_damage","You deal additional Lightning Damage with Spells.","","","Vessel of Vinktar","[1591,1592]",1,3,"","","",1,28,490,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[1591,1592]",[],"","","","","","",[],"",[]
498,"lightning_flask_physical_to_lightning","A portion of your Physical Damage is converted to Lightning Damage.","","","Vessel of Vinktar",[484],1,3,"","","",1,28,490,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[484],[],"","","","","","",[],"",[]
499,"lightning_flask_lightning_penetration","Your damage penetrates enemy Lightning Resistance.","","","Vessel of Vinktar",[595],1,3,"","","",1,28,490,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[595],[],"","","","","","",[],"",[]
500,"lightning_flask_shock_proliferation","Your Shocks have increased effect and also affect other nearby enemies.","","","Vessel of Vinktar","[13878,3559]",1,3,"","","",1,28,490,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[13878,3559]",[],"","","","","","",[],"",[]
501,"shock_aura","You take increased damage while standing in the shocking aura","","","Shocking Aura",[16497],1,3,"","","","",2,5,"","",2,"",1,1,"",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],[16497],[14546],"","",1,1,"","",[],"",[]
502,"trap_pinned","",1,"","Spike Pinned",[354],1,3,"","","",1,28,0,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[354],[],"","","","","","",[],"",[]
503,"enchantment_physical_to_fire","",1,"","",[447],"",3,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[447],[],"","","","","","",[],"",[]
504,"enchantment_physical_to_cold","",1,"","",[448],"",3,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[448],[],"","","","","","",[],"",[]
505,"enchantment_physical_to_lightning","",1,"","",[449],"",3,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[449],[],"","","","","","",[],"",[]
506,"enchantment_added_chaos_damage","",1,"","","[64,65]","",3,"","","",1,28,0,1,"",17,"","","","",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[64,65]",[],"","","","","","",[],"",[]
507,"stacking_increased_spell_damage","",1,"","",[25],1,1,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[25],[],"","","","","","",[],"",[]
508,"templar_ascendency_movement_speed","",1,"","Ascendancy Effect (Invisible)",[177],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[177],[],"","","","","","",[],"",[]
509,"guardian_warcry","",1,"","Ascendancy Effect (Invisible)","[177,1903]",1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[177,1903]",[],"","","","","","",[],"",[]
510,"avoid_stun_staff_aura","You are being granted Stun Avoidance by a Guardian",1,"","Staff Mastery",[6077],1,3,"","","",1,28,510,"","",1,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[6077],[],"","","","","","",[],"",[]
511,"labyrinth_lava_aura","ES normal/cruel/merciless, Life normal/cruel/merciless",1,"","Lava","[4622,4624,4626,4621,4623,4625,4848]","",3,"","","","",28,491,"","",11,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[4622,4624,4626,4621,4623,4625,4848]",[],"","","","","","",[],"",[]
512,"roomba_damage","",1,"","Death Rhoomba","[2562,3055]",1,1,"","","","",28,493,"","",11,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[2562,3055]",[],"","","","","","",[],"",[]
513,"flying_roomba_damage","",1,"","Flying Death Rhoomba","[2562,3055]",1,1,"","","","",28,494,"","",11,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[2562,3055]",[],"","","","","","",[],"",[]
514,"offering_of_judgement_ground","",1,"","",[],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
515,"curse_damage_taken","",1,"","",[477],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[477],[],"","","","","","",[],"",[]
516,"increased_crit_chance","",1,"","",[554],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[554],[],"","","","","","",[],"",[]
517,"increased_minion_damage","",1,"","",[488],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[488],[],"","","","","","",[],"",[]
518,"increased_damage","",1,"","",[24],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[24],[],"","","","","","",[],"",[]
519,"damage_taken","",1,"","",[477],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[477],[],"","","","","","",[],"",[]
520,"avoid_stun","",1,"","Ascendancy Effect",[6077],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],[6077],[],"","","","","","",[],"",[]
521,"spinning_blade_damage","",1,"","Spinning Blades","[2562,3055]",1,1,"","","","",28,498,"","",11,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[2562,3055]",[],"","","","","","",[],"",[]
522,"stacking_movement_speed_buff","",1,"","",[],1,3,"","","",1,28,0,1,"",17,"",1,1,"",0,1,"ActionRecentlyCounterBuff","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
523,"nightwane_effects","",1,"","",[],1,2,"","","","",28,499,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
524,"increased_elemental_damage_taken","",1,"","","[2038,3624,3625]",1,2,"","","","",28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[2038,3624,3625]",[],"","","","","","",[],"",[]
525,"mana_and_es_regeneration","",1,"","","[129,1409]",1,3,"","","","",28,0,1,"",17,"",1,1,"",0,1,"","","","","",4,"","",0,[],"","",[],"",[],[],"[129,1409]",[],"","","","","","",[],"",[]
526,"vinktar_boss_buff","","","","",[],"",3,"","","","",28,490,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
527,"grant_es_to_nearby_allies","You are being granted Energy Shield by a Guardian","","","Radiant Faith",[133],"",3,"","","","",28,505,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[133],[],"","","","","","",[],"",[]
528,"grant_armour_to_nearby_allies","You are being granted Armour by a Guardian","","","Radiant Faith",[116],"",3,"","","","",28,505,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[116],[],"","","","","","",[],"",[]
529,"singularity_aura","You're in the grip of a Singularity","","","Singularity","[177,3661]","",3,"","","","",28,502,1,"",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[177,3661]",[],"","","","","","",[],"",[]
530,"power_symbol_aura","",1,"","",[3664],"",3,"","","","",28,0,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[3664],[],"","","","","","",[],"",[]
531,"gargoyle_statue_buff","",1,"","","[978,701,3189]","",3,"","","","",28,0,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[978,701,3189]",[],"","","","","","",[],"",[]
532,"izaro_fire_buff_phase1","Additional Fire damage",1,"","","[447,2038]",1,3,"","","","",28,526,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[447,2038]",[],"","","","","","",[],"",[]
533,"izaro_fire_buff","Additional Fire damage",1,"","","[447,2038,10,11]",1,3,"","","","",28,526,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[447,2038,10,11]",[],"","","","","","",[],"",[]
534,"izaro_cold_buff_phase1","Additional Cold damage",1,"","","[448,3624]",1,3,"","","","",28,527,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[448,3624]",[],"","","","","","",[],"",[]
535,"izaro_cold_buff","Additional Cold damage",1,"","","[448,3624,10,11]",1,3,"","","","",28,527,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[448,3624,10,11]",[],"","","","","","",[],"",[]
536,"izaro_lightning_buff_phase1","Additional Lightning damage",1,"","","[449,3625]",1,3,"","","","",28,528,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[449,3625]",[],"","","","","","",[],"",[]
537,"izaro_lightning_buff","Additional Lightning damage",1,"","","[449,3625,10,11]",1,3,"","","","",28,528,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[449,3625,10,11]",[],"","","","","","",[],"",[]
538,"izaro_physical_buff_phase1","Increased Physical damage",1,"","","[26,545]",1,3,"","","","",28,535,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[26,545]",[],"","","","","","",[],"",[]
539,"izaro_physical_buff","Increased Physical damage",1,"","","[26,545,10,11]",1,3,"","","","",28,535,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[26,545,10,11]",[],"","","","","","",[],"",[]
540,"izaro_ignite_buff_phase1","Additional Fire damage and increased chance to Ignite",1,"","","[611,2038,447]",1,3,"","","","",28,526,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[611,2038,447]",[],"","","","","","",[],"",[]
541,"izaro_ignite_buff","Additional Fire damage and increased chance to Ignite",1,"","","[611,2038,447,10,11]",1,3,"","","","",28,526,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[611,2038,447,10,11]",[],"","","","","","",[],"",[]
542,"izaro_freeze_buff_phase1","Additional Cold damage and increased chance to Freeze",1,"","","[455,3624,448]",1,3,"","","","",28,527,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[455,3624,448]",[],"","","","","","",[],"",[]
543,"izaro_freeze_buff","Additional Cold damage and increased chance to Freeze",1,"","","[455,3624,448,10,11]",1,3,"","","","",28,527,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[455,3624,448,10,11]",[],"","","","","","",[],"",[]
544,"izaro_shock_buff_phase1","Additional Lightning damage and increased chance to Shock",1,"","","[659,3625,449]",1,3,"","","","",28,528,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[659,3625,449]",[],"","","","","","",[],"",[]
545,"izaro_shock_buff","Additional Lightning damage and increased chance to Shock",1,"","","[659,3625,449,10,11]",1,3,"","","","",28,528,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[659,3625,449,10,11]",[],"","","","","","",[],"",[]
546,"izaro_bleed_buff_phase1","Extra Damage and Bleeding",1,"","","[3626,545]",1,3,"","","","",28,535,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3626,545]",[],"","","","","","",[],"",[]
547,"izaro_bleed_buff","Extra Damage and Bleeding",1,"","","[3626,545]",1,3,"","","","",28,535,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3626,545]",[],"","","","","","",[],"",[]
548,"vinktar_lightning_bond","You are bonded",1,"","VinktarLightningBond","[3674,3675]",1,1,"","","",1,28,0,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[3674,3675]",[],"","","","","","",[],"",[]
