"rownum","string","[rid]","[i32]","string","string","rid","i32","bool","i32","i32","string","string","string","rid","rid","i32","i32","i32","bool","[rid]","[string]","i32","i32","i32","i32"
55,"BoonCannotLoseResolve",[17248],[1],"Prayer Beads","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonPrayerBeadsIcon",11,0,"",0,0,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonPrayerBeads","Cannot lose Resolve until you complete the next room","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
56,"AfflictionLose%ResolveOnRoomCompletion",[17296],[5],"Spiked Exit","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedEntranceIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedEntrance","","Lose 5% of current Resolve on room completion","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
57,"AfflictionNoMinimap","[17297,17304]","[1,-90]","Tattered Blindfold","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseTatteredBlindfoldIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseTatteredBlindfold","","90% reduced Light Radius\r\nMinimap is hidden","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
58,"AfflictionCannotGainGold",[17298],[1],"Cutpurse","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseCutpurseIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseCutpurse","","You cannot gain Aureus coins","","",0,5,0,"",[9307],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
59,"AfflictionDamageTakenOnLowResolve",[17299],[100],"Voodoo Doll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseVoodooDollIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseVoodooDoll","","100% more Resolve lost while Resolve is below 50%","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
60,"BoonHealFromGold",[17300],[100],"Bronze Coin","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBronzeCoinIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBronzeCoin","Picking up Aureus coins recovers Resolve","","","",0,5,0,"",[9296],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
61,"BoonDoubleGoldThisFloor",[17302],[1],"Gold Mine","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldMineIcon",4,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldMine","Aureus coins found on this floor are doubled","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
62,"BoonDoubleGold",[17301],[1],"Gold Coin","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldCoinIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldCoin","Aureus coins found are doubled","","","",0,5,0,"",[9297],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
63,"AfflictionWrongRoom",[17303],[33],"Deceptive Mirror","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseMirrorIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseMirror","","You are not always taken to the room you select","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
64,"AfflictionNoResolveRecoveredThisFloor",[17078],[1],"Haemorrhage","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHaemorrhageIcon",3,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHaemorrhage","","You cannot recover Resolve (removed after killing the next Floor Boss)","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
65,"BoonRevealWholeFloor",[17306],[1],"All-Seeing Eye","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAllSeeingEyeIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAllSeeingEye","The Sanctum Map is fully revealed","","","",0,5,0,"",[9298],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
66,"BoonTrapSpeed",[17025],[1],"Lustrous Pearl","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLustrousPearlIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLustrousPearl","Traps are slower","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
67,"BoonMonsterReducedActionSpeed",[17547],[20],"Viscous Ichor","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonViciousIchorIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonViciousIchor","Monsters have 20% reduced Action Speed","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
68,"BoonMonsterReducedSanctumDamage",[17663],[-25],"Wooden Effigy","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonWoodenEffigyIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonWoodenEffigy","Monsters impact 25% less Resolve","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
69,"BoonMonsterReducedMaximumLife",[988],[-30],"Sanguine Vial","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSanguineVialIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSanguineVial","Monsters have 30% less Maximum Life","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
70,"BoonPlayerMoreDamage",[17580],[50],"Ornate Dagger","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFancyDaggerIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFancyDagger","You and your minions deal 50% more Damage","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
71,"BoonInstaKillGuards10",[17396],[10],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBlade","The next 10 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
72,"BoonInstaKillGuards9",[17396],[9],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,0,"",-16843010,-16843010,"","The next 9 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",71,0,5,0
73,"BoonInstaKillGuards8",[17396],[8],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,0,"",-16843010,-16843010,"","The next 8 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",71,0,5,0
74,"BoonInstaKillGuards7",[17396],[7],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,0,"",-16843010,-16843010,"","The next 7 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",71,0,5,0
75,"BoonInstaKillGuards6",[17396],[6],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,0,"",-16843010,-16843010,"","The next 6 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",71,0,5,0
76,"BoonInstaKillGuards5",[17396],[5],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,0,"",-16843010,-16843010,"","The next 5 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",71,0,5,0
77,"BoonInstaKillGuards4",[17396],[4],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,0,"",-16843010,-16843010,"","The next 4 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",71,0,5,0
78,"BoonInstaKillGuards3",[17396],[3],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,0,"",-16843010,-16843010,"","The next 3 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",71,0,5,0
79,"BoonInstaKillGuards2",[17396],[2],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,0,"",-16843010,-16843010,"","The next 2 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",71,0,5,0
80,"BoonInstaKillGuards1",[17396],[1],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,0,"",-16843010,-16843010,"","The next Guard you Hit is killed Instantly","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",71,0,5,0
81,"BoonIncreasedRelicEffect",[17429],[30],"Enchanted Urn","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonEnchantedUrnIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonEnchantedUrn","30% increased Effect of your non-Unique Relics","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
82,"BoonAureusGainOnLowResolve",[17502],[100],"Tarnished Coin","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonTarnishedCoinIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonTarnishedCoin","100% increased Aureus coins gained while Resolve is below 50%","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
83,"BoonResolveRecoveryOnLowResolve",[17501],[100],"Engraved Orb","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonEngravedOrbIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonEngravedOrb","100% increased Resolve recovered while Resolve is below 50%","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
84,"BoonResolveRecoveredOnEnterBossRoom",[17503],[50],"Adrenaline Vial","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAdrenalineVialIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAdrenalineVial","Recover 50% of your Maximum Resolve on entering Boss Room","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
85,"BoonDuplicateARandomDeferredReward",[],[],"Mirror of Fortune","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMirrorOfFortuneIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMirrorOfFortune","Duplicate a random Offer Reward","","","",0,2,1,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
86,"BoonArcaneBufferOnShieldBreak",[],[],"Arcane Aegis","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonArcaneAegisIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonArcaneAegis","Trigger Arcane Buffer when your Inspiration reaches 0","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
87,"BoonExtraMaximumResolve",[],[],"Tarnished Descry","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonTarnishedDescryIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonTarnishedDescry","+200 to Maximum Resolve","","","",0,3,200,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,3,-200
88,"BoonRandomMinorBoonOnFountainUse",[17384],[1],"Holy Water","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHolyWaterIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHolyWater","Gain a random Minor Boon when you use a Fountain","","","",0,5,0,"",[9299],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
89,"BoonGainExtraResolveOnFountainUse",[17386],[40],"Fountain of Youth","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFountainOfYouthIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFountainOfYouth","Gain +40 Maximum Resolve each time you use a Fountain","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
90,"BoonNextMinorBoonConvertedToMajor",[17380],[1],"Silver Chalice","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSliverChaliceIcon",8,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSliverChalice","The next Minor Boon you gain is converted into a random Major Boon","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
91,"BoonTrapsImpactReducedResolve",[17557],[1],"Black Pearl","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBlackPearlIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBlackPearl","Traps impact 50% reduced Resolve","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
92,"BoonExtraShield",[],[],"Untuned Lute","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonUntunedLuteIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonUntunedLute","+250 to Inspiration","","","",0,1,250,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,1,-250
93,"BoonNextMerchantItemFree",[17505],[1],"Divinia's Gift ","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCallistasGiftIcon",10,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCallistasGift","Your next purchase from the Merchant has no cost","","","",0,5,0,1,[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
94,"BoonCanRerollMerchantShop",[17506],[1],"Chipped Dice","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonChippedDiceIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonChippedDice","The Merchant's Shop can be Rerolled","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
95,"BoonGoldPerRoomRemovedAtMerchant",[17461],[10],"Gold Trophy","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldTrophyIcon",10,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldTrophy","Your aureus coins are increased by 10% on room completion\r\n(removed when you purchase something from the Merchant)","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
96,"BoonDuplicate3RandomDeferrals",[],[],"Sacred Mirror","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSacredMirrorIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSacredMirror","Duplicate up to 3 random Offer Rewards","","","",0,4,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
97,"BoonNextAfflictionConvertedToMinorBoon",[17382],[1],"Crystal Shard","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCrystalShardIcon",7,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCrystalShard","The next Affliction you gain is converted into a random Minor Boon","","","",0,5,0,"",[9300],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
98,"BoonRandomShrineOnEnteringRoom",[],[],"Musty Wine","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMustyWineIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMustyWine","At the start of each room, a random Shrine effect is applied to you","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
99,"AfflictionReducedEffectOfRelics",[17429],[-50],"Unholy Urn","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnholyUrnIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnholyUrn","","50% reduced Effect of your non-Unique Relics","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
100,"AfflictionMaximumNumberOfBoons",[],[],"Tight Choker","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseTightCollarIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseTightCollar","","You can have a maximum of 5 Boons","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
101,"AfflictionMerchantFewerChoices",[17459],[-50],"Unhallowed Amulet","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnhallowedAmuletIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnhallowedAmulet","","The Merchant offers 50% fewer choices","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
102,"AfflictionAfflictionOnGainAffliction",[17383],[1],"Accursed Prism","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseAccursedPrismIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseAccursedPrism","","When you gain an Affliction, gain an additional random Minor Affliction","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
