"rownum","Id","[rid]","[i32]","[i32]","[i32]","Variants","[rid]","[i32]","[rid]","rid","[i32]","[rid]","[i32]","[string]","i32","[rid]"
113,"barrage_wand","[1021,1029,1033]",[],[],[],"[""Default"",""Snipe"",""Celestial"",""Blood"",""NonStick""]",[],"[18079,61594,27572,50511,13004]",[139],339,[],[155],[],[],1000,[]
114,"flame_dash","[1035,1049]",[],[147],[],"[""Default"",""Cold"",""Harbinger"",""FireIceMicro"",""Blue"",""Wasteland"",""Corsair"",""Stygian"",""Black"",""Scientist"",""Demonic"",""Nightfall"",""Siren"",""Auspicious""]",[],"[18079,13381,41619,11119,52194,53281,51220,39541,25619,64816,61278,57192,42935,45563]",[],339,[],[203],[],[],1000,[]
115,"virulent_arrow","[1050,1054,1058,1062,1066,1070,1074,1078,1082]",[],[148],[],"[""Default"",""BlackLotus"",""Celestial""]",[],"[18079,33766,27572]","[143,147,151]",339,[],[358],[],[],1000,[]
116,"blight_channel","[1086,1091,1092,1096,1100,1105]",[],[],[],"[""Default"",""Celestial"",""Sunprism"",""Scientist"",""Project""]","[412,417]","[18079,27572,52008,64816,55295]",[],339,[],"[241,242]",[],[],1000,[]
117,"tempest_shield","[1110,1112,1114,1116]",[53],[152],[],"[""Default"",""Celestial""]",[],"[18079,27572]",[],339,[],[87],[],[],1000,[]
118,"wither_channelled","[1118,1125]",[],[],[],"[""Default"",""Arcane"",""Celestial"",""Sunprism"",""Scientist"",""Demonic"",""Project""]","[419,425]","[18079,47901,27572,52008,64816,61278,55295]",[],339,[],[230],[],[],1000,[]
119,"soul_link","[1132,1133]",[55],[158],[],"[""Default""]","[427,428]",[18079],[],339,[],[507],[],[],1000,[]
120,"storm_blade","[1134,1136]",[],[],[],"[""Default"",""Celestial""]",[429],"[18079,27572]",[],339,[],[506],[],[],1000,[]
121,"flame_link","[1138,1139]",[56],[159],[],"[""Default""]","[430,431]",[18079],[],339,[],[508],[],[],1000,[]
122,"remora_link","[1140,1141]",[57],[160],[],"[""Default""]","[432,433]",[18079],[],339,[],[509],[],[],1000,[]
123,"bulwark_link","[1142,1143]",[58],[161],[],"[""Default""]","[434,435]",[18079],[],339,[],[510],[],[],1000,[]
124,"trigger_link","[1144,1145]",[59],[162],[],"[""Default""]","[436,437]",[18079],[],339,[],[511],[],[],1000,[]
125,"critical_link","[1146,1147]",[60],[163],[],"[""Default""]","[438,439]",[18079],[],339,[],[512],[],[],1000,[]
126,"brand_surge","[1148,1149,1150,1151,1152,1153]",[61],[],[],"[""Default"",""UNUSED"",""Celestial""]",[],"[18079,64124,27572]",[],339,[],[440],[],[],1000,[]
127,"lightning_arrow","[1166,1170]",[139],[],[],"[""Default"",""Blood"",""Divine""]",[],"[18079,50511,29263]",[155],339,[],[94],[],[],1000,[]
128,"tornado_shot_bow","[1176,1181]",[],[154],[48],"[""Default"",""MTX"",""Chaos"",""Celestial""]",[],"[18079,35902,38322,27572]","[159,164]",339,[],[171],[],[],1000,[]
129,"tornado_shot_wand","[1176,1181]",[],[154],[],"[""Default"",""MTX"",""Chaos"",""Celestial""]",[],"[18079,35902,38322,27572]","[169,170]",339,[],[171],[],[],1000,[]
130,"fireball","[1206,1226]",[],[],[],"[""Default"",""Golden"",""Dragon"",""Pyro"",""PyroPoison"",""Phoenix"",""AvariusCasticus"",""Holy"",""AbberathMinion"",""HolyMiner"",""Gemling"",""GemlingUpgraded"",""AvariusWickerman"",""BestiaryHellion"",""IncursionFireball"",""IncursionFireballLightning"",""IncursionFireballChaos"",""DelveTaowu"",""DelveTaowuLarge"",""BlightFire"",""Celestial"",""FlameSentinel"",""Stygian"",""ExpeditionRelic"",""Direblade"",""Oblivion"",""OnyxOblivion"",""Demonic""]",[],"[18079,51154,25624,34029,17715,28085,35646,27667,5363,45614,25069,719,31455,20203,30073,32830,24662,31460,11595,50741,27572,23584,39541,51001,11723,116,38576,61278]",[178],339,[],"[35,36,757]",[],[],1000,[]
131,"expanding_fire_cone","[1227,1228,1229,1230,1231,1232]",[],[164],[],"[""Default"",""BlueFlame"",""Direblade""]",[],"[18079,61200,11723]",[],339,[],[127],[],[],1000,[]
132,"crackling_lance","[1244,1244,1247,1250]","[64,0]","[165,0,0,0,168]",[],"[""Default"",""Automaton"",""Celestial""]",[],"[18079,3488,27572]",[],339,[],[449],[],[],1000,[]
133,"ice_shot",[2418],[],[],[],"[""Default""]",[],[18079],"[206,211]",339,[],"[117,119]",[],[],1000,[]
134,"expanding_rain_of_arrows","[1271,1281,1290]",[],[],[],"[""Default"",""Forsaken"",""Spine"",""Lightning"",""LegionCombo"",""LegionEternal"",""Celestial"",""Oblivion"",""OnyxOblivion"",""Demonic""]",[],"[18079,41689,16476,41050,52615,48335,27572,116,38576,61278]",[],339,[],"[78,79,80]",[],[],1000,[]
135,"toxic_rain","[1299,1308,1316,1325,1334]",[70],[],[11],"[""Default"",""BlackLotus"",""AtlasBasilisk"",""Suffering"",""Celestial"",""Oblivion"",""Auspicious""]",[],"[18079,33766,54962,2790,27572,116,45563,3668]",[],339,[],"[359,360]",[],"[""azmeribow""]",1000,[]
136,"bubble_shield","[1343,1344]",[],[181],[],"[""Default""]",[444],[18079],[],339,[],[515],[],[],1000,[]
137,"molten_shell","[1345,1352,1359]",[],[180],[],"[""Default"",""Monster"",""AlwaysTrigger"",""Stygian"",""Viper"",""Divine"",""Mercurial""]",[],"[18079,1567,17608,39541,43950,29263,25270]",[],339,[],"[88,89,90,91]",[],[],1000,[]
138,"hydrosphere","[1366,1368,1370,1372,1374,1376,1378,1380,1382,1384,1386,1388,1390,1392]",[],[182],[20],"[""Default"",""Harmonious""]",[],"[18079,57521]",[],339,[],"[461,462]",[],[],1000,[]
139,"attached_projectile_effect_mtx",[],[],"[77,0,0,0,83,0,0,0,88]",[],"[""EMPTY"",""Firewall"",""Stygian"",""Oblivion"",""Transcendence"",""ArchnemesisDyingSun""]",[],"[34066,35806,39541,116,28088,41657]",[],14910,[],[],[],[],1000,[]
140,"storm_call","[1394,1413,1432,1451]",[],[],[],"[""DefaultStormCall"",""TribalStormCall"",""MonsterStormCall"",""ColdStormCall"",""FireStormCall"",""PhysicalStormCall"",""EyeSpawnerStormCall"",""EarthquakeStormCall"",""TemplarStormCall"",""KitavaStormCall"",""ShavronneStormCall"",""AvatarSkyBeamStormCall"",""ArcaneStormCall"",""Divine"",""MonsterLowStormCall"",""KitavaCultistStormCall"",""KudukuStormCall"",""OldPlayerStormCall"",""XenozakStormCall""]",[],"[28396,40011,54157,25980,9831,37405,18695,14469,11050,57497,32959,7205,34630,29263,6439,29295,6978,57638,43328]",[],339,[],"[144,145,146,147]",[],[],1000,[]
141,"explosive_arrow",[1470],[],[],[],"[""Default"",""Revenant"",""HeistThug"",""Twilight"",""Pandemonium""]",[],"[18079,39939,30612,65406,26494]",[212],339,[],[64],[],[],1000,[0]
142,"sentinel_tag_beam",[],[79],[],[],"[""Default""]",[],[18079],[],339,[],[517],[],[],1000,[]
143,"fire_storm","[1517,1540,1547,1555,1475,2465]",[],[],[],"[""DefaultVariation"",""BallistaVariation"",""PietyLightningVariation"",""MapBossVariation"",""IceVariation"",""SpineVariation"",""ChaosFireVariation"",""IncaRockVariation"",""MeteorVariation"",""DivineCallVariation"",""CliffBomb"",""Blades"",""BladesUp"",""Reliquary"",""HolyGuardian"",""ShaperInfluence"",""BestiaryRavens"",""BestiaryCrabCharge"",""VaalIncursion"",""VaalIncursionChaos"",""VaalIncursionArmour"",""DelveAbyssLaser"",""BetrayalGravicius"",""SynthesisSpiker"",""VaalIncursionLegion"",""BlightFire"",""BlightLightning"",""BlightNPCFirestorm"",""GraviciusHellfire"",""AfflictionMod"",""ReworkedVariation"",""Stygian"",""Celestial"",""UltimatumLightning"",""HellscapeMeteor"",""HellscapeLightning"",""MeteorShower"",""SanctumPurifier"",""SanctumReliquary""]",[],"[48358,17341,12877,52192,42588,18133,6990,22715,29052,51663,39218,52291,1874,61506,2238,14052,2391,61176,45534,61751,47684,25524,12065,49893,26495,50741,11101,43433,34120,837,32907,39541,27572,14591,28583,51989,64137,30046,12052,37417,31616,41514,7354,41159,58591]",[],339,[],"[81,82,84,83]",[],"[""ArchnemesisStormHerald"",""BitterGuyChildLeft"",""BitterGuyChildRight"",""BoneCultistLightning"",""BoneCultistFire"",""BalbalaKnifeReverseFirestorm""]",1000,[]
144,"fire_storm_lite","[1558,1562,1566]",[],[],[],"[""DefaultVariation"",""BallistaVariation"",""PietyLightningVariation"",""MapBossVariation"",""IceVariation"",""SpineVariation"",""ChaosFireVariation"",""IncaRockVariation"",""MeteorVariation"",""DivineCallVariation"",""CliffBomb"",""Blades"",""BladesUp"",""Reliquary"",""HolyGuardian"",""ShaperInfluence"",""BestiaryRavens"",""BestiaryCrabCharge"",""VaalIncursion"",""VaalIncursionChaos"",""VaalIncursionArmour"",""DelveAbyssLaser"",""BetrayalGravicius"",""SynthesisSpiker"",""VaalIncursionLegion"",""BlightFire"",""BlightLightning"",""BlightNPCFirestorm"",""GraviciusHellfire"",""AfflictionMod"",""ReworkedVariation"",""Stygian"",""Celestial"",""UltimatumLightning"",""HellscapeMeteor"",""HellscapeLightning"",""MeteorShower"",""SanctumPurifier"",""SanctumReliquary""]",[],"[48358,17341,12877,52192,42588,18133,6990,22715,29052,51663,39218,52291,1874,61506,2238,14052,2391,61176,45534,61751,47684,25524,12065,49893,26495,50741,11101,43433,34120,837,32907,39541,27572,14591,28583,51989,64137,30046,12052]",[],339,[],"[81,82,84,83]",[],[],1000,[]
145,"summon_raging_spirit",[],[],[],[],"[""Default"",""Ghostflame"",""Raven"",""BloodRaven"",""Bees"",""Celestial"",""Eyes"",""ArcaneEye"",""Oblivion"",""OnyxOblivion"",""Demonic""]",[],"[18079,894,44096,26577,48674,27572,1784,34681,116,38576,61278]",[],339,[1],"[157,158]",[],[],1000,[]
146,"summon_raging_spirit_monster",[],[],[],[],"[""Default"",""Ghostflame"",""Raven"",""BloodRaven"",""Bees"",""Celestial"",""Eyes"",""ArcaneEye"",""Oblivion"",""OnyxOblivion"",""Demonic""]",[],"[18079,894,44096,26577,48674,27572,1784,34681,116,38576,61278]",[],339,[],[159],[],[],1000,[]
147,"flask_effects",[1703],[],[],[],"[""Default"",""LifeMTX"",""ManaMTX"",""HybridMTX"",""UtilityMTX"",""Rumis"",""FlamingQuicksilver"",""IchorMana"",""RaincallerLife"",""RaincallerBloodLife"",""RaincallerVerdantLife""]",[445],"[18079,20358,21146,65450,37992,50728,29305,58425,46620,42964,61160]",[],15442,[],[],[],[],1000,[]
148,"triggered_summon_spider_monster",[1570],[],[],[],"[""Default"",""Demonic""]",[],"[18079,61278]",[],15805,[],[275],[],[],1000,[]
149,"cast_on_damage_taken",[1572],[],[],[],"[""Default"",""Madcap""]",[],"[18079,59045]",[],15456,[],[],[],[],1000,[]
150,"shockwave_support",[1573],[],[],[],"[""Default"",""Gore"",""Apollyon""]",[],"[18079,63064,43700]",[],15504,[],"[408,409]",[],[],1000,[]
151,"viper_strike",[1576],[],[],[],"[""Default"",""Quiet"",""DemonicSpider"",""Demonic""]",[],"[18079,61089,17869,61278]",[],339,[],[],[],[],1000,[]
152,"vaal_ground_slam_spiked","[1580,1587,1597,1601]",[],[],[],"[""DefaultClusters"",""Blood"",""Molten"",""Bones"",""BrutusLightning"",""BrineShieldCrab"",""DefaultSpikes"",""Celestial"",""UNUSED"",""Oblivion"",""OnyxOblivion""]",[],"[63412,50511,19877,5799,30086,20384,21898,27572,64124,116,38576]",[],339,[],[2],[],[],1000,[]
153,"corrupting_fever",[],[],[],[],"[""Default"",""Heritage""]","[465,467]","[18079,8972]",[],339,[],[474],[],[],1000,[]
154,"feast_of_flesh","[1607,1609]",[],[],[],"[""Default"",""Alternate""]",[],"[18079,25075]",[],15486,[],[381],[],[],1000,[]
155,"phys_cascade_trap","[1611,1614,1617]",[],[],[],"[""Default"",""Blight"",""Stygian""]",[],"[18079,7333,39541]",[],339,[],[344],[],[],1000,[]
156,"slither","[1620,1622,1624]",[],[184],[],"[""Default"",""Demonic""]","[469,470,471]","[18079,61278]",[],339,[],[417],[],[],1000,[]
157,"ice_spear",[1626],[],[],[],"[""Default"",""Fish"",""MTX1"",""ArtProjectilesSpreadOverAnimation"",""Synthesis"",""SynthesisFinalBoss"",""FrostSentinel"",""AtlasEyrie"",""VoidEmperor""]",[],"[18079,45988,30450,187,11050,9615,16782,13264,48015,44398]",[217],339,[],[55],[],"[""Hag""]",1000,[]
158,"laser_spears","[1628,1630,1632]",[82],[186],[],"[""Default""]",[],[18079],[],339,[],[516],[],[],1000,[]
159,"fire_wake_spear","[1634,1635,1636,1637,1638,1639]",[],[218],[22],"[""Default""]",[],[18079],"[227,230]",339,[],[535],[],[],1000,[]
160,"ball_lightning",[],"[84,0]",[],[],"[""Default"",""Monster"",""EyeBallLightning"",""Templar"",""Celestial"",""Synthesis"",""AtlasCrusader"",""AfflictionMinion"",""HarvestSquid"",""HeistTemplarCaster"",""Automaton""]",[],"[18079,1567,49739,51326,27572,11050,55894,33406,47707,39763,3488,21948,51719]",[233],339,[],"[125,126]",[],"[""VaalStormcaller"",""ChaosGodOwlBoss""]",1000,[]
161,"monster_dd_area","[1653,1662,1672,1684]",[],"[308,0]",[],"[""Default"",""Chaos"",""HeistFreidrich"",""Archnemesis"",""CannibalPicts""]","[472,483]","[18079,38322,4741,36858,19433,16329,64753,35047,56609,22966,19661,40155]",[],339,[],[330],[],"[""Ice"",""Balbala"",""BloodPriest"",""CannibalPict"",""CarverShaman"",""FarudinWarlock"",""VultureRegurg""]",1000,[]
162,"monster_soulrend",[1689],[110],[],[],"[""Cold"",""Blood""]","[487,495]","[13381,50511,165,166,59027,44533,16856,48772]",[246],339,[],[399],[],"[""ChildSpiritCold1"",""ChildSpiritCold2"",""VaalBloodPriest"",""YamaBoss"",""VoodooKing"",""Warlock""]",1000,[]
163,"galvanic_field",[1697],[118],[],[],"[""Default"",""Celestial""]","[512,515]","[18079,27572]",[],339,[],[519],[],[],1000,[]
164,"arcane_surge",[],[],[],[],"[""Default"",""Madcap""]",[503],"[18079,59045]",[],15885,[],[],[],[],1000,[]
165,"phasing",[],[],[],[],"[""Default"",""Sunprism""]",[505],"[18079,52008]",[],16062,[],[],[],[],1000,[]
166,"fortify",[],[],[],[],"[""Default"",""Myrmidon""]",[507],"[18079,27566]",[],16064,[],[],[],[],1000,[]
167,"onslaught",[],[],[],[],"[""Default"",""Void Emperor""]",[509],"[18079,30711]",[],16066,[],[],[],[],1000,[]
168,"lightning_conduit","[1704,1707,1710,1713,2120]",[],[],[],"[""Default"",""Automaton"",""Celestial""]","[518,521]","[18079,3488,27572]",[],339,[],[518],[],[],1000,[]
169,"lightning_tendrils","[1716,1719,1722]",[121],[],[],"[""Default"",""LightningElder"",""Automaton""]",[],"[18079,37016,3488]",[],339,[],[185],[],[],1000,[]
170,"alchemists_mark","[1725,1727]",[],[],[],"[""Default"",""Sunprism""]",[524],"[18079,52008]",[],339,[],[520],[],[],1000,[]
171,"cobra_lash",[],[],[188],[],"[""Default"",""Illusionist""]",[],"[18079,54759]","[254,256]",339,[],[46],[],[],1000,[]
172,"righteous_fire","[1729,1738]",[],[],[],"[""Default"",""NoRing"",""White"",""White2"",""White3"",""Celestial"",""CelestialNoHands"",""Harbinger"",""Lightbringer"",""Transcendence""]","[526,534,542]","[18079,39102,15971,17012,17013,27572,36336,41619,55723,28088]",[],339,[],"[40,41]",[],[],1000,[]
173,"venom_gyre","[1748,1750,1752]",[],[190],[],"[""Default"",""Illusionist""]",[],"[18079,54759]","[258,260]",339,[],"[424,425]",[],[],1000,[]
174,"whirling_blades",[1754],[],"[192,0]",[],"[""Default"",""Purple"",""Ice"",""Phantasmal"",""Faith"",""Carnival"",""Hasina"",""Illusionist""]",[],"[18079,19343,16329,1789,8635,1057,63953,54759]",[],339,[],"[19,20]",[],[],1000,[]
175,"caustic_arrow",[1762],[],[],[],"[""Default"",""Tentacles"",""Celestial"",""HeistSkeleton"",""Oblivion""]",[],"[18079,26679,27572,16483,116]",[262],339,[],[22],[],[],1000,[]
176,"kinetic_blast","[1767,1771]",[],[194],[],"[""Default"",""Celestial"",""Heritage""]",[],"[18079,27572,8972,23752]",[267],339,[],[194],[],"[""NecroCultist""]",1000,[]
177,"reap",[1775],[124],[],[],"[""Default"",""Starfall"",""Vine""]","[551,554]","[18079,3450,41440]",[],339,[],[478],[],[],1000,[]
178,"double_slam","[1779,1782]",[],[],[],"[""Default""]",[],[18079],[],339,[],[558],[],[],1000,[]
179,"volcanic_slam","[1784,1785,1786,1787,1788,1789]",[],[],[],"[""Default""]",[],[18079],[295],339,[],"[567,571]",[],[],1000,[]
180,"ring_of_ice","[1778,1781]",[],"[197,0]",[25],"[""Default""]",[],[18079],[],339,[],"[568,569]",[],[],1000,[]
181,"escape_shot",[1867],[],[],[],"[""Default""]",[],[18079],[296],339,[],[559],[],[],1000,[]
182,"vaal_caustic_arrow",[],[],[],[],"[""Default""]",[],[18079],[270],339,[],[23],[],[],1000,[]
183,"vaal_cleave","[803,791,793,796,807]",[],[],[],"[""Default"",""DemonCleave""]",[],"[18079,34274]",[],339,[],[524],[],[],1000,[]
184,"charged_attack","[1790,1793,1796,1799,1802,1805,1808,1811]",[],[],[],"[""Default"",""Gloom"",""Demonic""]",[],"[18079,57905,61278]",[],339,[],[243],[],[],1000,[]
185,"vaal_charged_attack","[1808,1811,1814,1799,1802]",[],[],[],"[""Default"",""Gloom"",""Demonic""]",[557],"[18079,57905,61278]",[],339,[],[244],[],[],1000,[]
186,"flicker_strike",[1932],[135],"[199,0,0,0]",[],"[""Default"",""Vapor"",""Necro"",""Demonic""]",[],"[18079,15193,18701,61278]",[],339,[],"[27,28,619]",[],[],1000,[]
187,"vaal_reap","[1817,1820]",[],[],[],"[""Default"",""Starfall""]","[551,554]","[18079,3450]",[],339,[],[479],[],[],1000,[]
188,"triggerbots",[],[],[],[],"[""Default""]",[],[18079],[],339,[],[572],[],[],1000,[]
189,"vaal_arctic_armour",[1823],[],[],[],"[""Default""]",[569],[18079],[],339,[],[210],[],[],1000,[]
190,"vaal_lightning_arrow","[1166,1170]",[],[],[],"[""Default"",""Blood"",""Divine""]",[],"[18079,50511,29263]",[276],339,[],[95],[],[],1000,[]
191,"vaal_ice_shot","[1256,1257,1258,1831]",[],[],[],"[""Default"",""Piety"",""Monster"",""VaalOrb"",""Skadi""]",[566],"[18079,56950,1567,3918,31535]",[206],339,[],[118],[],[],1000,[]
192,"mtx_coin_flip","[1834,1835]",[],[],[],"[""Innocence"",""Sin"",""Silver"",""Perandus""]",[],"[51245,48611,56408,1811]",[],339,[],[573],[],[],1000,[]
193,"split_arrow",[],[],[],[],"[""Default"",""Blood"",""BlueGreen"",""Verdant""]",[],"[18079,50511,22116,22421]","[279,284]",339,[],"[30,31]",[],[],1000,[]
194,"wave_of_conviction","[1842,1843]",[],[],[],"[""Default"",""Stygian"",""Celestial"",""RollingStorm""]",[],"[18079,39541,27572,48193]",[],339,[],[395],[],[],1000,[]
195,"covered_in_ash",[],[],[],[],"[""Default"",""MTXPolaricDevastation""]",[571],"[18079,58359]",[],17776,[],[],[],[],1000,[]
196,"covered_in_frost",[],[],[],[],"[""Default"",""MTXPolaricDevastation""]",[573],"[18079,58359]",[],17777,[],[],[],[],1000,[]
197,"arctic_breath","[1850,1854,1856,1857]",[],[],[],"[""Default""]",[],[18079],"[285,288,292,293]",339,[],[120],[],[],1000,[]
198,"smite","[1858,1862,1866]",[],[214],[],"[""Default"",""Valkyrie"",""Unholy"",""Annihilation""]","[575,577]","[18079,14117,40595,28443]",[],339,[],"[354,355]",[],[],1000,[]
199,"weapon_granted_firebolt",[],[],[],[],[],[],[],[297],339,[],[581],[],[],1000,[]
200,"weapon_granted_stormbolt",[],[],[],[],[],[],[],[298],339,[],[582],[],[],1000,[]
201,"weapon_granted_frostbolt",[],[],[],[],[],[],[],[299],339,[],[583],[],[],1000,[]
202,"weapon_granted_chaosbolt",[],[],[],[],[],[],[],[301],339,[],[584],[],[],1000,[]
203,"gale_strike",[1868],[],[],[],"[""Default""]",[],[18079],[],339,[],[562],[],[],1000,[]
204,"charged_dash","[1871,1873,1881,1875,1877,1879]",[127],[],[],"[""Default"",""Desert""]",[],"[18079,46165]",[],339,[],[289],[],[],0,[]
205,"comet","[1883,1885]",[],[],[],"[""Default"",""NecroMeteor""]",[],"[18079,46695,37417]",[],339,[],[611],[],"[""ArchnemesisStormHerald""]",0,[]
206,"ring_of_blades",[],[],[],[],"[""Default"",""Illusionist""]",[],"[18079,54759]",[302],339,[],[613],[],[],1000,[]
207,"fire_trap",[1887],[],[],[],"[""Default"",""Oblivion"",""Staff""]",[],"[18079,116,59353]",[],339,[],"[110,111,112,620]",[],[],0,[]
208,"consecrate",[1890],[],[],[],"[""Default""]",[],[18079],[],339,[],"[179,180]",[],[],0,[]
209,"frost_wall",[1891],[],[],[26],"[""Default""]",[],[18079],[],339,[],[60],[],[],0,[]
210,"mana_tempest","[1894,1895]",[],[],[],"[""Default""]","[578,579]",[18079],[],339,[],[623],[],[],1000,[]
211,"new_arctic_armour","[1937,1940,1943,1946]",[],[],[],"[""Default"",""Demon"",""Cloud"",""Invisible""]","[580,584]","[18079,33501,9108,54980]",[],339,[],[624],[],[],0,[]
212,"channelled_lightning",[1896],[129],[],[],"[""Default""]",[],[18079],[],339,[],[625],[],[],1000,[]
213,"quarterstaff_frost_wave",[1897],[],[],[],"[""Default""]",[],[18079],[],339,[],[589],[],[],1000,[]
214,"volcano","[1898,1899,1900]",[],[],[29],"[""Default""]",[],[18079],"[303,304]",339,[],[629],[],[],0,[]
215,"killing_palm","[1901,1902,1903,2034]",[],"[221,0,0]",[],"[""Default""]",[],[18079],[],339,[],[627],[],[],1000,[]
216,"shattering_palm","[1905,2423,1906,1907,1908,1909]",[],"[228,0,0]",[],"[""Default""]",[],[18079],[],339,[],"[633,835,836]",[],[],1000,[]
217,"meditate",[1904],[],"[224,0,0,0]",[],"[""Default""]",[],[18079],[],339,[],[626],[],[],0,[]
218,"new_blood_rage",[215],[],[],[],"[""Default"",""Scavenger""]",[207],"[18079,46158]",[],339,[],[631],[],[],1000,[]
219,"pestilent_slash","[1910,1911,1912]",[],[],[],"[""Default""]",[],[18079],[],339,[],[635],[],[],1000,[]
220,"ice_path",[],[],[],[],"[""Default""]",[],[18079],[305],339,[],[637],[],[],1000,[]
221,"shadow_thief_slash",[1918],[130],"[231,0]",[],"[""Default""]",[],[18079],[],339,[],[639],[],[],1000,[]
222,"plunging_blade","[1913,1914,1915]",[],[],[],"[""Default""]",[],[18079],[],339,[],[641],[],[],0,[]
223,"howl",[1916],[],[],[],"[""Default""]",[],[18079],[],339,[],[642],[],[],1000,[]
224,"spiral_volley",[],[],[],[],"[""Default""]",[],[18079],"[306,307]",339,[],[634],[],[],1000,[]
225,"heat_seeking_arrow",[1919],[],[],[],"[""Default""]",[],[18079],[308],339,[],[644],[],[],1000,[]
226,"electric_fence_arrow",[1920],[131],[],[0],"[""Default""]",[],[18079],[309],339,[],[649],[],[],1000,[]
227,"stone_gaze",[],"[132,0,0]",[],[],"[""Default"",""Siren"",""Ultimatum""]","[588,589,590]","[18079,42935,49826]",[],4755,[],[],[],[],1000,[]
228,"arming_ice_spear","[1921,1922]",[],[],[],"[""Default""]",[],[18079],[],339,[],[651],[],[],1000,[]
229,"channelled_slam","[1923,1925,1927]",[],[],[],"[""Default""]",[593],[18079],[],339,[],[561],[],[],1000,[]
230,"frost_bomb","[1929,1930,1931]",[],[],[],"[""Default""]",[],[18079],[],339,[],[217],[],[],1000,[]
231,"lightning_storm","[1933,1934]",[],[234],[],"[""Default""]",[],[18079],[],339,[],[653],[],[],1000,[]
232,"bear_rampage","[1935,1936]",[],[],[],"[""Default""]",[],[18079],[],339,[],[650],[],[],1000,[]
233,"hellscape_tentacle_grab",[],[],[],[],"[""Default""]",[591],[18079],[],339,[],[513],[],[],1000,[]
234,"bear_slam",[1949],[],[],[],"[""Default""]",[],[18079],[],339,[],[656],[],[],1000,[]
235,"cast_on_shock","[1950,1951]",[],[235],[],"[""Default""]",[],[18079],[],339,[],[658],[],[],1000,[]
236,"cast_on_freeze","[1952,1953]",[],[236],[],"[""Default""]",[],[18079],[],339,[],[659],[],[],1000,[]
237,"cast_on_ignite","[1954,1955]",[],[237],[],"[""Default""]",[],[18079],[],339,[],[660],[],[],1000,[]
238,"cast_on_melee_kill","[1956,1957]",[],[238],[],"[""Default""]",[],[18079],[],339,[],[661],[],[],1000,[]
239,"cast_on_death","[1958,1959]",[],[239],[],"[""Default""]",[],[18079],[],339,[],[662],[],[],1000,[]
240,"cast_when_stunned","[1960,1961]",[],[240],[],"[""Default""]",[],[18079],[],339,[],[663],[],[],1000,[]
241,"cast_on_damage_takenCopy","[1962,1963]",[],[241],[],"[""Default""]",[],[18079],[],339,[],[664],[],[],1000,[]
242,"cast_on_crit","[1964,1965]",[],[242],[],"[""Default""]",[],[18079],[],339,[],[665],[],[],1000,[]
243,"double_slam_ancestral","[1780,1783]",[],[],[],"[""Default""]",[],[18079],[],339,[],[558],[],[],1000,[]
244,"retreating_throw",[1966],[],[],[],"[""Default""]",[],[18079],[],339,[],"[528,526]",[],[],1000,[]
245,"barrier_invocation","[1967,1968]",[],[243],[],"[""Default""]",[594],[18079],[],339,[],[666],[],[],1000,[]
246,"cast_on_dodge_roll","[1973,1974]",[],[246],[],"[""Default""]",[],[18079],[],339,[],[667],[],[],1000,[]
247,"cast_while_channelling","[1975,1976]",[],[247],[],"[""Default""]",[],[18079],[],339,[],[668],[],[],1000,[]
248,"cast_on_melee_stun","[1977,1978]",[],[248],[],"[""Default""]",[],[18079],[],339,[],[669],[],[],1000,[]
249,"stormbringer_blade","[1979,1980]",[],[],[],"[""Default""]",[],[18079],[],339,[],[587],[],[],1000,[]
250,"bladestorm",[1981],[],[],[30],"[""Default"",""Celestial""]",[],"[18079,27572]",[],339,[],[404],[],[],1000,[]
251,"shield_phalanx",[],[],[],[25],"[""Default""]",[],[18079],[],339,[],[674],[],[],1000,[]
252,"spinning_flail",[],[],[],[],"[""Default""]",[],[18079],[],339,[],[566],[],[],1000,[]
253,"dominating_aura",[],[],[],[],"[""Default""]","[597,598,599]",[18079],[],339,[],[676],[],[],1000,[]
254,"explosive_grenade","[1990,2123]",[],[],[],"[""Default"",""ExpodingBaby"",""VaalGuard""]",[],"[18079,63272,34552]",[326],339,[],"[680,681]",[],[],1000,[]
255,"flash_grenade","[1993,2126]",[],[249],[],"[""Default""]",[],[18079],[329],339,[],[682],[],[],1000,[]
256,"toxic_grenade","[1994,2127,1998,1999]",[],[],[],"[""Default""]",[],[18079],[330],339,[],[683],[],[],1000,[]
257,"oil_grenade","[1995,2128]",[],[],[],"[""Default"",""VaalGuard""]",[],"[18079,34552]",[331],339,[],"[684,685]",[],[],1000,[]
258,"fire_grenade","[1997,2130]",[],[],[],"[""Default""]",[],[18079],[333],339,[],[686],[],[],1000,[]
259,"shock_grenade","[2434,2435]",[],[],[],"[""Default""]",[],[18079],[378],339,[],[687],[],[],1000,[]
260,"summon_skeletons",[],[],[],[],"[""Default""]",[],[18079],[],339,"[12,0,0,0,13,0,0,0]","[280,281,282,283,284,285,286,287]",[],[],1000,[]
261,"bone_offering","[2000,2002,2003]",[],[253],[],"[""Default""]",[634],[18079],[],339,[23],[162],[],[],1000,[]
262,"pain_offering",[2001],[],[254],[],"[""Default""]",[635],[18079],[],339,[24],[689],[],[],1000,[]
263,"revive_minion",[],[],[],[],"[""Default""]",[],[18079],[],339,[],[688],[],[],1000,[]
264,"rage",[],[],[],[],"[""Default""]",[600],[18079],[],18505,[],[],[],[],1000,[]
