"rownum","Id","Description","SetId","Objective","HASH16","bool","HideAchievementItems","bool","MinCompletedItems","TwoColumnLayout","ShowItemCompletionsAsOne","string","SoftcoreOnly","HardcoreOnly","bool","string","string","string"
297,"LegacyCompleteEncounters1","Complete these Encounters I",17,"Complete each of the following Encounters.",16408,"","","",0,"","","","","","","","",""
298,"LegacyUpgradeHideout","Fully Upgrade your Hideout",17,"Create or Upgrade to a Large-sized Hideout.",13519,"",1,"",0,1,"","","","","","","",""
299,"LegacyKillMercilessActBosses","Kill these Merciless Act Bosses",17,"Kill each of the following Unique bosses in Merciless Difficulty.",-16778,"","","",0,"","","","","","","","",""
300,"LegacyLevel90","Reach Level 90",17,"Attain character level 90. This challenge still counts even if your character dies afterwards.",27215,"",1,"",0,1,"","","","","","","",""
301,"LegacyLevelGem","Level up a Gem to 20",17,"Level up a Skill Gem or a Support Gem to level 20. You can trade it away afterwards.",21735,"",1,"",0,1,"","","","","","","",""
302,"LegacyKillTalismanBosses","Kill Talisman Bosses",17,"Kill each of the following Unique bosses.",-27568,"","","",0,1,"","","","","","","",""
303,"LegacyCompleteProphecyChains","Complete Prophecy Chains",17,"Complete any 4 of the following 8 Prophecy Chains.",-30095,1,"","",4,1,"","","","","","","",""
304,"LegacyAscension","Achieve Ascension",17,"Use the Ascendancy Device in each of the following places.",13498,"","","",0,1,"","","","","","","",""
305,"LegacySlayBeyondDemons","Kill these Beyond Demons",17,"Kill the following Unique bosses.",-27440,"","","",0,"","","","","","","","",""
306,"LegacyCompleteEncounters2","Complete these Encounters II",17,"Complete each of the following Encounters.",20194,"","","",0,"",1,"","","","","","",""
307,"LegacyOnslaughtMapBosses","Kill Map Bosses with Onslaught",17,"Kill Map Bosses of the following map tiers while they are affected by Onslaught.",-11236,"","","",0,1,"","","","","","","",""
308,"LegacyCompleteUnidedRareMaps","Complete Unided Rare Maps",17,"Complete Rare Maps in 10 of the following 16 tiers while they are unidentified. These Maps are completed by killing their Unique Bosses.",-16234,"","","",10,1,"","","","","","","",""
309,"LegacyKillWarbandLeaders","Kill these Warband Leaders",17,"Kill each of the following Warband Leaders.",21510,1,"","",0,"","","","","","","","",""
310,"LegacyCompleteTwinnedMaps","Complete Twinned Maps",17,"Complete Maps in the following 15 tiers while they have the Twinned mod. These Maps are completed by killing their Unique Bosses.",11424,"","","",0,1,"","","","","","","",""
311,"LegacyComplete8ModMaps","Complete Maps with Eight Mods",17,"Complete Maps in the following 15 tiers while they have 8 mods. Maps having 8 mods is a potential outcome of Vaal Orb corruption. These Maps are completed by killing their Unique Bosses. Sextant mods do not count towards the mod count of this challenge.",-12370,"","","",0,1,"","","","","","","",""
312,"LegacyCompleteUniqueMaps","Complete Unique Maps",17,"Complete any 12 of the following 16 Unique Maps on your Atlas. A Map is completed by killing its Unique Boss or Bosses if it has any. Maps without Unique Bosses are completed by opening specific Unique Chests.",-22600,1,"","",12,"","","","","","","","",""
313,"LegacyCompleteYellowRedMaps","Tri-League T6+ Maps",17,"Complete 1000 Maps of Tier 6 or higher with 3 Leaguestones active.",-32768,"",1,"",0,1,"","","","","","","",""
314,"LegacyCompleteAlluringAbyss","Complete the Alluring Abyss",17,"Complete the Alluring Abyss.",6727,"",1,"",0,1,"","","","","","","",""
315,"LegacyKillTheShaper","Kill The Shaper",17,"Find The Shaper and kill him.",3016,"",1,"",0,1,"","","","","","","",""
316,"LegacyEndgameGrinds","Complete four Endgame Grinds",17,"Complete any 4 of these encounters the specified number of times.",-21713,"","","",4,"",1,"","","","","","",""
317,"HarbingerDefeatHarbinger","Defeat a Harbinger",18,"Defeat a Harbinger.",25449,"",1,"",0,"","","","","","","","",""
318,"HarbingerUseCurrency","Use these Currency Items",18,"Use each of the following Currency items.",-26678,"","","",0,1,"","","","","","","",""
319,"HarbingerKillShadowExile","Kill Rogue Shadow",18,"Kill a Rogue Shadow.",-1096,"",1,"",0,"","","","","","","","",""
320,"HarbingerClearVaalSideArea","Clear Vaal Side Area",18,"Fully clear a Corrupted Vaal side area.",-26690,"",1,"",0,"","","","","","","","",""
321,"HarbingerOpenStrongboxes","Open Strongboxes",18,"Open each of the following Strongboxes.",-14155,"","","",0,1,"","","","","","","",""
322,"HarbingerVendorRecipes","Items from Vendor Recipes",18,"Complete vendor recipes to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",-18073,"","","",0,1,"","","","","","","",""
323,"HarbingerDefeatHarbingerTypes","Defeat following Harbingers",18,"Defeat each of the following Harbingers.",-2837,"","","",0,"","","","","","","","",""
324,"HarbingerCompleteEncounters1","Complete these Encounters I",18,"Complete each of the following Encounters.",29772,"","","",0,"","","","","","","","",""
325,"HarbingerPart1ActBosses","Defeat these Act Bosses I",18,"Defeat each of the following Unique Bosses.",-19088,"","","",0,"","","","","","","","",""
326,"HarbingerKillUniqueMonsters","Kill these Unique Monsters",18,"Kill each of the following Unique Monsters.",-29241,"","","",0,"","","","","","","","",""
327,"HarbingerCompleteQuests","Complete these Quests",18,"Complete each of the following quests.",-921,"","","",0,"","","","","","","","",""
328,"HarbingerKillHarbingerMonsters","Kill Harbinger Summons",18,"Kill 500 Harbinger summoned monsters.",-10386,"",1,"",0,"","","","","","","","",""
329,"HarbingerKill1000Rares","Kill 1000 Rare Monsters",18,"Kill 1000 Rare Monsters.",-16909,"",1,"",0,1,"","","","","","","",""
330,"HarbingerDefeatGods","Defeat these Gods",18,"Defeat each of the following Gods.",13920,"","","",0,"","","","","","","","",""
331,"HarbingerKillVaalBosses","Kill these Vaal Bosses",18,"Kill each of the following Unique monsters.",-6267,"","","",0,"","","","","","","","",""
332,"HarbingerIdentifyUniques","Identify 100 Unique Items",18,"Identify any 100 Unique Items. You can trade them away afterwards.",-18575,"",1,"",0,1,"","","","","","","",""
333,"HarbingerCompleteEncounters2","Complete these Encounters II",18,"Complete each of the following Encounters.",-17702,"","","",0,"",1,"","","","","","",""
334,"HarbingerPart2ActBosses","Defeat these Act Bosses II",18,"Defeat each of the following Unique Bosses.",10600,"","","",0,"","","","","","","","",""
335,"HarbingerUseHarbingerCurrencyItems","Use Currency Items",18,"Use each of the following Currency Items.",-30592,"","","",0,1,"","","","","","","",""
336,"HarbingerLevelMasters","Level these Masters",18,"Reach Reputation Level 6 with at least 6 of these 8 Forsaken Masters.",13915,"","","",6,"","","","","","","","",""
337,"HarbingerClaimEssences","Claim these Essences",18,"Claim any 3 of the following Essences.",19938,"","","",3,"","","","","","","","",""
338,"HarbingerMapHarbingers","Defeat Map Harbingers",18,"Defeat 100 Harbingers in a map.",19685,"",1,"",0,1,"","","","","","","",""
339,"HarbingerCompleteEncounters3","Complete these Encounters III",18,"Complete each of the following Encounters.",-5138,"","","",0,"",1,"","","","","","",""
340,"HarbingerUpgradeHideout","Fully Upgrade your Hideout",18,"Create or Upgrade to a Large-sized Hideout.",-2583,"",1,"",0,"","","","","","","","",""
341,"HarbingerCompletePaleCourt","Defeat the Pale Council",18,"Defeat the Pale Council.",-16471,"","","",0,"","","","","","","","",""
342,"HarbingerKillBreachlord","Kill Breachlord",18,"Kill any one of the following Breachlords.",-19950,"","","",1,"","","","","","","","",""
343,"HarbingerAscension","Achieve Ascension",18,"Use the Ascendancy Device in all 4 Labyrinths.",-19204,"",1,"",0,1,"","","","","","","",""
344,"HarbingerKillEndgameBoss","Kill Harbinger Map Boss",18,"Defeat the Harbinger Map Boss in an area of level 75 or higher.",6661,"",1,"",0,"","","","","","","","",""
345,"HarbingerCompleteUnidedRareMaps","Complete Unided Rare Maps",18,"Complete Rare Maps in 10 of the following 16 tiers while they are unidentified. These Maps are completed by killing their Unique Bosses.",27354,"","","",10,1,"","","","","","","",""
346,"HarbingerLevel90","Reach Level 90",18,"Attain character level 90. This challenge still counts even if your character dies afterwards.",31050,"",1,"",0,"","","","","","","","",""
347,"HarbingerLevelGem","Level up a Gem to 20",18,"Level up a Skill Gem or a Support Gem to level 20. You can trade it away afterwards.",31082,"",1,"",0,"","","","","","","","",""
348,"HarbingerUpgradePantheonPowers","Upgrade Pantheon Powers",18,"Fully upgrade any 5 of the following Pantheon Powers",4640,"","","",5,"","","","","","","","",""
349,"HarbingerCompleteTwinnedMaps","Complete Twinned Maps",18,"Complete Maps in the following 15 tiers while they have the Twinned mod. These Maps are completed by killing their Unique Bosses.",23453,"","","",0,1,"","","","","","","",""
350,"HarbingerComplete8ModMaps","Complete Maps with Eight Mods",18,"Complete Maps in the following 15 tiers while they have 8 mods. Maps having 8 mods is a potential outcome of Vaal Orb corruption. These Maps are completed by killing their Unique Bosses. Sextant mods do not count towards the mod count of this challenge.",1004,"","","",0,1,"","","","","","","",""
351,"HarbingerCompleteUniqueMaps","Complete Unique Maps",18,"Complete any 12 of the following 16 Unique Maps on your Atlas. A Map is completed by killing its Unique Boss or Bosses if it has any. Maps without Unique Bosses are completed by opening specific Unique Chests.",2830,1,"","",12,"","","","","","","","",""
352,"HarbingerCompleteXMapBossGrind","Defeat Map Bosses",18,"Defeat 1337 Map Bosses",21893,"",1,"",0,1,"","","","","","","",""
353,"HarbingerCompleteAlluringAbyss","Complete the Alluring Abyss",18,"Complete the Alluring Abyss.",-5089,"",1,"",0,"","","","","","","","",""
354,"HarbingerKillTheShaper","Kill The Shaper",18,"Find The Shaper and kill him.",2728,"",1,"",0,"","","","","","","","",""
355,"HarbingerCompleteSkillEncounters","Complete following Encounters",18,"Complete the following encounters.",-23366,"","","",0,"","","","","","","","",""
356,"HarbingerEndgameGrinds","Complete Endgame Grinds",18,"Complete any 3 of these encounters the specified number of times.",-32078,"","","",3,"",1,"","","","","","",""
357,"AbyssChallenge1","Open Abyssal Trove",19,"Open an Abyssal Trove.",-26308,"",1,"",0,1,"","","","","","","",""
358,"AbyssUseCurrency","Use these Currency Items",19,"Use each of the following Currency items.",-11772,"","","",0,1,"","","","","","","",""
359,"AbyssVendorRecipes","Items from Vendor Recipes",19,"Complete vendor recipes to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",-14573,"","","",0,1,"","","","","","","",""
360,"AbyssCompleteEncounters1","Complete these Encounters I",19,"Complete each of the following Encounters.",-29287,"","","",0,"","","","","","","","",""
361,"AbyssChallenge2","Socket Abyss Jewel",19,"Socket an Abyss Jewel into each of the following locations.",23410,"","","",0,1,"","","","","","","",""
362,"AbyssItemFromVaalArea","Vaal Side Area Items",19,"Get the following items from completing a Vaal Side Area.",10130,"","","",0,1,"","","","","","","",""
363,"AbyssPart1ActBosses","Defeat these Act Bosses I",19,"Defeat each of the following Unique Bosses.",30242,"","","",0,"","","","","","","","",""
364,"AbyssChallenge3","Complete Abyssal Depths",19,"Complete the Abyssal Depths.",-26813,"",1,"",0,1,"","","","","","","",""
365,"AbyssKillUniqueMonsters","Kill these Unique Monsters",19,"Kill each of the following Unique Monsters.",-11380,"","","",0,"","","","","","","","",""
366,"AbyssDefeatGods","Defeat these Gods",19,"Defeat each of the following Gods.",-27903,"","","",0,"","","","","","","","",""
367,"AbyssCompleteQuests","Complete these Quests",19,"Complete each of the following quests.",29806,"","","",0,"","","","","","","","",""
368,"AbyssChallenge4","Identify Abyss Jewels",19,"Identify magic and rare Abyss Jewels of the following types.",-14691,"","","",0,"","","","","","","","",""
369,"AbyssCompleteEncounters2","Complete these Encounters II",19,"Complete each of the following Encounters.",-12613,"","","",0,"","","","","","","","",""
370,"AbyssPart2ActBosses","Defeat these Act Bosses II",19,"Defeat each of the following Unique Bosses.",-18643,"","","",0,"","","","","","","","",""
371,"AbyssCompleteSkillEncounters1","Complete these Encounters III",19,"Complete each of the following Encounters.",4358,"","","",0,"","","","","","","","",""
372,"AbyssChallenge5","Complete Abysses",19,"Complete 100 Abysses in Maps.",18502,"",1,"",0,1,"","","","","","","",""
373,"AbyssIdentifyUniques","Identify 100 Unique Items",19,"Identify any 100 Unique Items. You can trade them away afterwards.",17540,"",1,"",0,1,"","","","","","","",""
374,"AbyssElderShaperEnemy","Defeat Influenced Enemies",19,"Defeat each of the following unique enemies the following number of times. These need to be defeated in maps influenced by either the Elder or the Shaper.",-1722,"","","",0,1,1,"","","","","","",""
375,"AbyssCompleteZanaMissions","Complete Zana Missions",19,"Complete each of the following Missions from Zana.",-15426,"","","",0,"","","","","","","","",""
376,"AbyssChallenge6","Defeat Abyssal Lich",19,"Defeat any Abyssal Lich.",-16914,"",1,"",0,1,"","","","","","","",""
377,"AbyssCompleteUnidedRareMaps","Complete Unided Rare Maps",19,"Complete Rare Maps in 10 of the following 16 tiers while they are unidentified. These Maps are completed by killing their Unique Bosses.",-23406,"","","",10,1,"","","","","","","",""
378,"AbyssShapeFollowingTiers","Shape these Maps",19,"Use a Shaper's Orb to upgrade Maps of the following Tiers.",-10621,"","","",0,1,"","","","","","","",""
379,"AbyssCompleteEncounters3","Complete these Encounters IV",19,"Complete each of the following Encounters.",9699,"","","",0,"",1,"","","","","","",""
380,"AbyssUpgradeHideout","Fully Upgrade your Hideout",19,"Create or Upgrade to a Large-sized Hideout.",-7701,"",1,"",0,1,"","","","","","","",""
381,"AbyssKillGuardianVariations","Defeat Elder Guardians",19,"Defeat the Elder Guardians while in the following arenas.",-5764,1,"","",0,"","","","","","","","",""
382,"AbyssEndgameChallenge1","Defeat following Abyssal Monsters",19,"Defeat each of the following Abyssal Monsters.",-23817,"","","",0,"","","","","","","","",""
383,"AbyssAscension","Achieve Ascension",19,"Use the Ascendancy Device in all 4 Labyrinths.",17968,"",1,"",0,1,"","","","","","","",""
384,"AbyssKillElderFollowingTiers","Defeat The Elder",19,"Defeat The Elder in the following tier of maps.",-32495,"","","",0,1,"","","","","","","",""
385,"AbyssCompleteEncounters4","Complete these Encounters V",19,"Complete each of the following Encounters.",-16158,"","","",0,"","","","","","","","",""
386,"AbyssLevel90","Reach Level 90",19,"Attain character level 90. This challenge still counts even if your character dies afterwards.",-20068,"",1,"",0,1,"","","","","","","",""
387,"AbyssLevelGem","Level up a Gem to 20",19,"Level up a Skill Gem or a Support Gem to level 20. You can trade it away afterwards.",-9882,"",1,"",0,1,"","","","","","","",""
388,"AbyssEndgameChallenge2","Identify Unique",19,"Identify any one of the following uniques when they have 2 Abyssal Sockets.",-28339,"","","",1,1,"","","","","","","",""
389,"AbyssCompleteTwinnedMaps","Complete Twinned Maps",19,"Complete the following Maps while they have the Twinned mod. These Maps are completed by killing their Unique Bosses.",20071,1,"","",0,1,"","","","","","","",""
390,"AbyssComplete8ModMaps","Complete Maps with Eight Mods",19,"Complete Maps in the following 15 tiers while they have 8 mods. Maps having 8 mods is a potential outcome of Vaal Orb corruption. These Maps are completed by killing their Unique Bosses. Sextant and Zana mods do not count towards the mod count of this challenge.",-6224,"","","",0,1,"","","","","","","",""
391,"AbyssSextantChallenge","Complete these Sextant Mods",19,"Complete Maps that have been affected by these Sextant mods.",24668,"","","",0,"","","","","","","","",""
392,"AbyssMapGrind","Complete Influenced Maps",19,"Complete the following number of Maps while under the influence of the Elder or the Shaper.",17101,"","","",0,"",1,"","","","","","",""
393,"AbyssCompleteUniqueMaps","Complete Unique Maps",19,"Complete any 14 of the following 17 Unique Maps on your Atlas. A Map is completed by killing its Unique Boss or Bosses if it has any. Maps without Unique Bosses are completed by opening specific Unique Chests.",-16999,1,"","",14,"","","","","","","","",""
394,"AbyssCompleteDeadlyEncounters","Complete Deadly Encounters",19,"Complete each of the following deadly encounters.",3300,"","","",0,"","","","","","","","",""
395,"AbyssCompleteSkillEncounters2","Complete these Encounters VI",19,"Complete each of the following Encounters.",17825,"","","",0,"","","","","","","","",""
396,"AbyssEndgameGrinds","Complete Endgame Grinds",19,"Complete any 4 of these encounters the specified number of times.",3504,"","","",4,"",1,"","","","","","",""
397,"BestiaryChallenge1","Capture a Beast",20,"Capture any Beast.",-25745,"",1,"",0,1,"","","","",1,"","",""
398,"BestiaryUseCurrency","Use these Currency Items",20,"Use each of the following Currency items.",-21674,"","","",0,1,"","","","","","","",""
399,"BestiaryChallenge2","Craft these Items",20,"Using the Blood Altar in the Menagerie, create the following items.",7783,"","","",0,"","","","","","","","",""
400,"BestiaryVendorRecipes","Items from Vendor Recipes",20,"Complete vendor recipes to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",3002,"","","",0,1,"","","","","","","",""
401,"BestiaryPart1ActBosses","Defeat these Act Bosses I",20,"Defeat each of the following Unique Bosses.",29627,"","","",0,"","","","","","","","",""
402,"BestiaryChallenge3","Capture Beasts",20,"Capture 50 Beasts.",-6465,"",1,"",0,1,"","","","",1,"","",""
403,"BestiaryKillUniqueMonsters","Kill these Unique Monsters",20,"Kill each of the following Unique Monsters.",-22033,"","","",0,"","","","","","","","",""
404,"BestiaryDefeatGods","Defeat these Gods",20,"Defeat each of the following Gods.",20703,"","","",0,"","","","","","","","",""
405,"BestiaryChallenge4","Capture the Following Beasts",20,"Capture a Beast from each of the following categories.",-18962,"","","",0,1,"","","","",1,"","",""
406,"BestiaryPart2ActBosses","Defeat these Act Bosses II",20,"Defeat each of the following Unique Bosses.",28684,"","","",0,"","","","","","","","",""
407,"BestiaryAbyssalDepths","Complete Abyssal Depths",20,"Complete the Abyssal Depths.",-11928,"",1,"",0,1,"","","","","","","",""
408,"BestiaryCompleteZanaMaps","Complete Zana Maps",20,"Complete Zana's Maps of any 5 of the following tiers. This refers to Maps that have the \""Zana's\"" prefix on them.",-4179,"","","",5,1,"","","","","","","",""
409,"BestiaryChallenge5","Complete these Recipes",20,"Using the Bestiary Altar, complete any 7 of the following crafting recipes.",13973,"","","",7,"","","","","","","","",""
410,"BestiaryCompleteEncounters1","Complete these Encounters I",20,"Complete each of the following Encounters.",-27219,"","","",0,"","","","","","","","",""
411,"BestiaryDefeatAtziri","Defeat Atziri",20,"Defeat Atziri, Queen of the Vaal.",-20764,"",1,"",0,1,"","","","","","","",""
412,"BestiaryCompleteEncounters2","Complete these Encounters II",20,"Complete each of the following Encounters.",-23131,"","","",0,"","","","","","","","",""
413,"BestiaryIdentifyUniques","Identify 100 Unique Items",20,"Identify any 100 Unique Items. You can trade them away afterwards.",3605,"",1,"",0,1,"","","","","","","",""
414,"BestiaryEndgameChallenge1","Capture these Beasts",20,"Capture 100 Rare Beasts which are Level 75 or higher.",16518,"",1,"",0,"","","","","",1,"","",""
415,"BestiaryDefeatElderGuardians","Defeat Elder Guardians",20,"Defeat each of the following Elder Guardians.",8922,"","","",0,1,"","","","","","","",""
416,"BestiaryCompleteUnidedRareMaps","Complete Unided Rare Maps",20,"Complete Rare Maps in 10 of the following 16 tiers while they are unidentified. These Maps are completed by killing their Unique Bosses.",1817,"","","",10,1,"","","","","","","",""
417,"BestiaryUpgradePantheonPowers","Upgrade Pantheon Powers",20,"Fully upgrade any 5 of the following Pantheon Powers",6430,"","","",5,1,"","","","","","","",""
418,"BestiaryDefeatPaleCouncil","Defeat Pale Council",20,"Defeat the Pale Council.",32538,"",1,"",0,1,"","","","","","","",""
419,"BestiaryCompleteEncounters3","Complete these Encounters III",20,"Complete any 4 of the following Encounters.",8771,"","","",4,"",1,"","","","","","",""
420,"BestiaryUpgradeHideout","Fully Upgrade your Hideout",20,"Create or Upgrade to a Large-sized Hideout.",6375,"",1,"",0,1,"","","","","","","",""
421,"BestiaryEndgameChallenge2","Defeat Bestiary Bosses",20,"Defeat each of the following Unique Bosses.",29793,"","","",0,"","","","","","","","",""
422,"BestiaryCompleteEncounters4","Complete these Encounters IV",20,"Complete any 3 of the following Encounters.",-11212,"","","",3,"","","","","","","","",""
423,"BestiaryAscension","Achieve Ascension",20,"Use the Ascendancy Device in all 4 Labyrinths.",5827,"",1,"",0,1,"","","","","","","",""
424,"BestiaryWarbands","Defeat Warband Leaders",20,"Defeat a Warband Leader from each of the following Warbands.",-14723,"","","",0,1,"","","","","","","",""
425,"BestiaryUnlockSextantSlots","Unlock Sextant Slots",20,"Unlock the following number of additional Sextant slots on your Atlas.",21754,"","","",0,1,"","","","","","","",""
426,"BestiaryLevel90","Reach Level 90",20,"Attain character level 90. This challenge still counts even if your character dies afterwards.",29072,"",1,"",0,1,"","","","","","","",""
427,"BestiaryLevelGem","Level up a Gem to 20",20,"Level up a Skill Gem or a Support Gem to level 20. You can trade it away afterwards.",-26222,"",1,"",0,1,"","","","","","","",""
428,"BestiaryCompleteTwinnedMaps","Complete Twinned Maps",20,"Complete the following Maps while they have the Twinned mod. These Maps are completed by killing their Unique Bosses.",-23416,1,"","",0,1,"","","","","","","",""
429,"BestiaryComplete8ModMaps","Complete Maps with Eight Mods",20,"Complete following number of Red Tier Rare Maps while they have 8 mods. Maps having 8 mods is a potential outcome of Vaal Orb corruption. These Maps are completed by killing their Unique Bosses. Sextant and Zana mods do not count towards the mod count of this challenge.",-1188,"",1,"",0,1,"","","","","","","",""
430,"BestiaryEndgameChallenge3","Complete the Bestiary",20,"Fully complete the Bestiary.",-6591,"",1,"",0,"","","","","","","","",""
431,"BestiaryMapGrind","Complete Augmented Maps",20,"Complete 1500 Maps affected by Elder or Shaper Influence, Zana Mods or a Sextant. Each condition counts as one completion, so if you complete a Map with multiple conditions, you get multiple completions.",-14976,"",1,"",0,1,"","","","","","","",""
432,"BestiaryCompleteUniqueMaps","Complete Unique Maps",20,"Complete any 14 of the following 17 Unique Maps on your Atlas. A Map is completed by killing its Unique Boss or Bosses if it has any. Maps without Unique Bosses are completed by opening specific Unique Chests.",-12715,1,"","",14,"","","","","","","","",""
433,"BestiaryCompleteDeadlyEncounters","Complete Deadly Encounters",20,"Complete each of the following deadly encounters.",-2891,"","","",0,1,"","","","","","","",""
434,"BestiaryDefeatUberElder","Complete Zana's Questline",20,"Complete the entire questline given by Zana.",20271,"",1,"",0,1,"","","","","","","",""
435,"BestiaryCompleteEncounters5","Complete these Encounters V",20,"Complete each of the following Encounters.",19054,"","","",0,"","","","","","","","",""
436,"BestiaryEndgameGrinds","Complete Endgame Grinds",20,"Complete any 4 of these encounters the specified number of times.",24880,"","","",4,"",1,"","","","","","",""
437,"Flashback2ReachLevel35","Reach level 35",21,"Reach level 35.",19908,"",1,"",0,1,"","","","","","","",""
438,"IncursionChallenge1","Defeat an Architect",22,"Defeat an Architect in an Incursion.",-3993,"",1,"",0,1,"","","","","","","",""
439,"IncursionUseCurrency","Use these Currency Items",22,"Use each of the following Currency items.",29465,"","","",0,1,"","","","","","","",""
440,"IncursionChallenge2","Enter the Temple of Atzoatl",22,"Enter the Temple of Atzoatl.",16351,"",1,"",0,1,"","","","","","","",""
441,"IncursionVaalGem","Vaal Gems",22,"Acquire Vaal Skill Gems from Vaal Side Areas.",17930,"",1,"",0,1,"","","","","","","",""
442,"IncursionPart1ActBosses","Defeat these Act Bosses I",22,"Defeat each of the following Unique Bosses.",21538,"","","",0,"","","","","","","","",""
443,"IncursionVendorRecipes","Items from Vendor Recipes",22,"Complete vendor recipes to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",-11231,"","","",0,1,"","","","","","","",""
444,"IncursionChallenge3","Fully clear an Incursion",22,"Fully clear an Incursion.",19714,"",1,"",0,1,"","","","","","","",""
445,"IncursionKillUniqueMonsters","Kill these Unique Monsters",22,"Kill each of the following Unique Monsters.",-4796,"","","",0,"","","","","","","","",""
446,"IncursionChallenge4","Defeat the Vaal Omnitect",22,"Defeat the Vaal Omnitect.",-5661,"",1,"",0,1,"","","","","","","",""
447,"IncursionPart2ActBosses","Defeat these Act Bosses II",22,"Defeat each of the following Unique Bosses.",-8725,"","","",0,"","","","","","","","",""
448,"IncursionVaalBosses","Kill these Vaal Bosses",22,"Kill each of the following Unique monsters.",21885,"","","",0,"","","","","","","","",""
449,"IncursionCompleteEncounters1","Complete these Encounters I",22,"Complete each of the following Encounters.",-29483,"","","",0,"","","","","","","","",""
450,"IncursionChallenge5","Open Doors in Incursions",22,"Open Doors while inside an Incursion.",-32711,"",1,"",0,1,"","","","","","","",""
451,"IncursionFulfilProphecies","Fulfil Prophecy Chains",22,"Complete any 3 of the following Prophecy Chains.",-12798,"","","",3,1,"","","","","","","",""
452,"IncursionCorruptGearSlots","Corrupt Gear",22,"Corrupt any 8 of the following gear slots to gain a corruption implicit using a Vaal Orb.",26039,"","","",8,1,"","","","","","","",""
453,"IncursionCompleteEncounters2","Complete these Encounters II",22,"Complete each of the following Encounters.",16219,"","","",0,"","","","","","","","",""
454,"IncursionIdentifyUniques","Identify 100 Unique Items",22,"Identify any 100 Unique Items. You can trade them away afterwards.",-4895,"",1,"",0,1,"","","","","","","",""
455,"IncursionChallenge6","Defeat the following Architects",22,"Defeat the following Architects.",-30061,"","","",0,"","","","","","","","",""
456,"IncursionShaperOrbs","Shape these Maps",22,"Use a Shaper's Orb to upgrade Maps of the following Tiers.",869,"","","",0,1,"","","","","","","",""
457,"IncursionCompleteUnidedRareMaps","Complete Unided Rare Maps",22,"Complete Rare Maps in 10 of the following 16 tiers while they are unidentified. These Maps are completed by killing their Unique Bosses.",18508,"","","",10,1,"","","","","","","",""
458,"IncursionUpgradePantheonPower","Upgrade Pantheon Power",22,"Fully upgrade any of the following Pantheon Powers.",18236,"","","",1,1,"","","","","","","",""
459,"IncursionEndgameChallenge1","Use these Devices",22,"Use the devices in the Temple of Atzoatl to get the following outcomes.",-14146,"","","",0,"","","","","","","","",""
460,"IncursionCompleteEncounters3","Complete these Encounters III",22,"Complete any 4 of the following Encounters.",-3010,"","","",4,"",1,"","","","","","",""
461,"IncursionUpgradeHideout","Fully Upgrade your Hideout",22,"Create or Upgrade to a Large-sized Hideout.",-20642,"",1,"",0,1,"","","","","","","",""
462,"IncursionEndgameChallenge2","Fully Upgrade Rooms",22,"Fully upgrade to the following rooms in the Temple of Atzoatl.",10538,1,"","",0,1,"","","","","","","",""
463,"IncursionCompleteEncounters4","Complete these Encounters IV",22,"Complete each of the following Encounters.",-358,"","","",0,"",1,"","","","","","",""
464,"IncursionAscension","Achieve Ascension",22,"Use the Ascendancy Device in all 4 Labyrinths.",-28449,"",1,"",0,1,"","","","","","","",""
465,"IncursionCompleteEncounters5","Complete these Encounters V",22,"Complete any 3 of the following Encounters.",-31478,"","","",3,"","","","","","","","",""
466,"IncursionEndgameChallenge3","Defeat the Vaal Omnitect",22,"Defeat the Vaal Omnitect while fulfiling each of the following conditions in an area level of 68 or higher.",-32163,"","","",0,"","","","","","","","",""
467,"IncursionLevel90","Reach Level 90",22,"Attain character level 90. This challenge still counts even if your character dies afterwards.",-10020,"",1,"",0,1,"","","","","","","",""
468,"IncursionLevelGem","Level up a Gem to 20",22,"Level up a Skill Gem or a Support Gem to level 20. You can trade it away afterwards.",3358,"",1,"",0,1,"","","","","","","",""
469,"IncursionCompleteTwinnedMaps","Complete Twinned Maps",22,"Complete the following Maps while they have the Twinned mod. These Maps are completed by killing their Unique Bosses.",-20048,1,"","",0,1,"","","","","","","",""
470,"IncursionComplete8ModMaps","Complete Maps with Eight Mods",22,"Complete following number of Red Tier Rare Maps while they have 8 mods. Maps having 8 mods is a potential outcome of Vaal Orb corruption. These Maps are completed by killing their Unique Bosses. Sextant and Zana mods do not count towards the mod count of this challenge.",22096,"",1,"",0,1,"","","","","","","",""
471,"IncursionShaperGuardians","Defeat Shaper Guardians",22,"Defeat each of the following Shaper Guardians.",24640,"","","",0,"","","","","","","","",""
472,"IncursionMapGrind","Cause Map Influence",22,"Cause Elder influence to move onto a Shaper influenced map, or cause Shaper influence to move onto an Elder influenced map. This occurs by defeating the Map Boss of a Map which is influenced by either Elder or Shaper, and the opposing influence is on an adjacent map.",-15710,"",1,"",0,1,"","","","","","","",""
