"rownum","Id","i32","i32","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","CompletionsRequired","AchievementsKey","bool","bool","bool","bool"
453,"Clear1_2",1,1083,"Terraces","Terraces","Terrassen","Terraces","단구","Terraços","Уступы","Terrazas","Terraces","海濱台地",1,6,"",1,"",1
454,"Clear1_2a",1,1084,"Tidal Island","Tidal Island","Gezeiteninsel","Tidal Island","물결 섬","Ilha da Maré","Прибрежный остров","Isla de la Marea","Tidal Island","海潮孤島",1,6,"",1,"",1
455,"Clear1_3",1,1085,"Mud Flats","Mud Flats","Morastebenen","ぬかるみの干潟","갯벌","Lamaçal","Илистые низины","Marismas Embarradas","Mud Flats","炙熱鹽沼",1,6,"",1,"",1
456,"Clear1_3a",1,1086,"Fetid Pool","Fetid Pool","Fäulnistümpel","Fetid Pool","악취 나는 웅덩이","Lagoa Fétida","Смрадная заводь","Charca Fétida","Fetid Pool","腐水岩洞",1,6,"",1,"",1
457,"Clear1_4_0",1,1087,"Flooded Depths","Flooded Depths","Überschwemmte Tiefen","Flooded Depths","물에 잠긴 심연","Profundezas Inundadas","Залитый провал","Profundidades Inundadas","Flooded Depths","水聲之淵",1,6,"",1,"",1
458,"Clear1_4_1",1,1088,"Lower Submerged Passage","Lower Submerged Passage","Untere Unterwasserpassage","Lower Submerged Passage","물에 잠긴 길 하층","Passagem Submersa Inferior","Нижний сырой проход","Pasaje Sumergido Inferior","Lower Submerged Passage","海潮地穴下層",1,6,"",1,"",1
459,"Clear1_4_2",1,1089,"Upper Submerged Passage","Upper Submerged Passage","Obere Unterwasserpassage","Upper Submerged Passage","물에 잠긴 길 상층","Passagem Submersa Superior","Верхний сырой проход","Pasaje Sumergido Superior","Upper Submerged Passage","海潮地穴上層",1,6,"",1,"",1
460,"Clear1_5",1,1090,"The Ledge","The Ledge","Der Felsvorsprung","The Ledge","바위 턱","O Desfiladeiro","Утёс","El Saliente","The Ledge","沉寂海崖",1,6,"",1,"",1
461,"Clear1_6",1,1091,"The Rocky Climb","The Rocky Climb","Der felsige Anstieg","The Rocky Climb","바위 오르막","A Escalada Rochosa","Склон","El Ascenso Rocoso","The Rocky Climb","飛絮山坡",1,6,"",1,"",1
462,"Clear1_7_1",1,1092,"Lower Prison","Lower Prison","Das untere Gefängnis","牢獄 -下層-","수용소 하층","Prisão Inferior","Тюремное подземелье","Prisión Inferior","Lower Prison","禁靈之獄下層",1,6,"",1,"",1
463,"Clear1_7_2",1,1093,"Upper Prison","Upper Prison","Das obere Gefängnis","牢獄 -上層-","수용소 상층","Prisão Superior","Тюремные помещения","Prisión Superior","Upper Prison","禁靈之獄上層",1,6,"",1,"",1
464,"Clear1_8",1,1094,"The Prisoner's Gate","The Prisoner's Gate","Gefangenenpforte","The Prisoner's Gate","죄수의 문","Portões da Prisão","Врата заключённых","La Puerta del Prisionero","The Prisoner's Gate","監獄大門",1,6,"",1,"",1
465,"Clear_9",1,1095,"The Ship Graveyard","The Ship Graveyard","Der Schiffsfriedhof","The Ship Graveyard","배들의 묘지","Necrópole de Navios","Кладбище кораблей","El Cementerio de Barcos","The Ship Graveyard","魅影船墓",1,6,"",1,"",1
466,"Clear1_9a",1,1096,"The Ship Graveyard Cave","The Ship Graveyard Cave","Die Schiffsfriedhofshöhle","The Ship Graveyard Cave","배들의 묘지 동굴","Caverna da Necrópole de Navios","Грот погибших кораблей","La Cueva del Cementerio de Barcos","The Ship Graveyard Cave","魅影船墓洞穴",1,6,"",1,"",1
467,"Clear1_10",1,1097,"The Coves","The Coves","Die Buchten","The Coves","해안 만","As Enseadas","Бухта","Las Caletas","The Coves","疾風峽灣",1,6,"",1,"",1
468,"Clear1_11_1",1,1098,"Cavern of Wrath","Cavern of Wrath","Die Kaverne des Zorns","Cavern of Wrath","진노의 암굴","Caverna da Ira","Пещера гнева","Caverna de Ira","Cavern of Wrath","怨忿之窟",1,6,"",1,"",1
469,"Clear1_11_2",1,1099,"Cavern of Anger","Cavern of Anger","Die Kaverne der Wut","Cavern of Anger","분노의 암굴","Caverna da Cólera","Пещера злобы","Caverna de la Rabia","Cavern of Anger","怨忿之窟深處",1,6,"",1,"",1
470,"Clear2_1",1,1100,"The Forest","The Forest","Der Wald","The Forest","숲","A Floresta","Лес","El Bosque","The Forest","致命密林",1,6,"",1,"",1
471,"Clear2_2",1,1101,"Old Fields","Old Fields","Die alten Felder","荒廃農地","버려진 경작지","Campos Velhos","Старые поля","Campos Viejos","Old Fields","前哨原野",1,6,"",1,"",1
472,"Clear2_2a",1,1102,"The Cave","The Cave","Die Höhle","The Cave","동굴","A Caverna","Пещера","La Cueva","The Cave","巨獸巢穴",1,6,"",1,"",1
473,"Clear2_3",1,1103,"Crossroads","Crossroads","Die Wegkreuzung","Crossroads","갈림길","Encruzilhada","Перекрёсток","Encrucijada","Crossroads","危機叉路",1,6,"",1,"",1
474,"Clear2_5_1",1,1104,"Church Dungeon Level 1","Church Dungeon Level 1","Die Krypta - Ebene 1","Church Dungeon Level 1","교회 던전 1층","Masmorra da Igreja Nível 1","Подвалы святилища — уровень 1","Mazmorra de la Iglesia Nivel 1","Church Dungeon Level 1","墮道聖殿：第 1 層",1,6,"",1,"",1
475,"Clear2_5_2",1,1105,"Church Dungeon Level 2","Church Dungeon Level 2","Die Krypta - Ebene 2","Church Dungeon Level 2","교회 던전 2층","Masmorra da Igreja Nível 2","Подвалы святилища — уровень 2","Mazmorra de la Iglesia Nivel 2","Church Dungeon Level 2","墮道聖殿：第 2 層",1,6,"",1,"",1
476,"Clear2_6_1",1,1106,"Chamber of Sins Level 1","Chamber of Sins Level 1","Die Kammer der Sünden - Ebene 1","Chamber of Sins Level 1","죄악의 방 1층","Câmara dos Pecados Nível 1","Обитель грехов — уровень 1","Aposento de Pecados Nivel 1","Chamber of Sins Level 1","罪孽之殿：第 1 層",1,6,"",1,"",1
477,"Clear2_6_2",1,1107,"Chamber of Sins Level 2","Chamber of Sins Level 2","Die Kammer der Sünden - Ebene 2","Chamber of Sins Level 2","죄악의 방 2층","Câmara dos Pecados Nível 2","Обитель грехов — уровень 2","Aposento de Pecados Nivel 2","Chamber of Sins Level 2","罪孽之殿：第 2 層",1,6,"",1,"",1
478,"Clear2_6_3",1,1108,"Chamber of Sins Level 3","Chamber of Sins Level 3","Die Kammer der Sünden - Ebene 3","Chamber of Sins Level 3","죄악의 방 3층","Câmara dos Pecados Nível 3","Обитель грехов — уровень 3","Aposento de Pecados Nivel 3","Chamber of Sins Level 3","罪孽之殿：第 3 層",1,6,"",1,"",1
479,"Clear2_4",1,1109,"Broken Bridge","Broken Bridge","Die zerstörte Brücke","Broken Bridge","부서진 다리","Ponte Quebrada","Разрушенный мост","Puente Destrozado","Broken Bridge","河畔斷橋",1,6,"",1,"",1
480,"Clear2_7",1,1110,"River Crossings","River Crossings","Die Flussläufe","River Crossings","건널목","Travessia do Rio","Пойма реки","Cruces del Río","River Crossings","密林河道",1,6,"",1,"",1
481,"Clear2_8",1,1111,"Dark Forest","Dark Forest","Dunkelforst","Dark Forest","어둠의 숲","Floresta Negra","Чернолесье","Bosque Oscuro","Dark Forest","夜語幽林",1,6,"",1,"",1
482,"Clear2_9",1,1112,"The Western Forest","The Western Forest","Der Westwald","The Western Forest","서쪽 숲","A Floresta Ocidental","Западный лес","El Bosque del Oeste","The Western Forest","西部密林",1,6,"",1,"",1
483,"Clear2_10",1,1113,"The Weaver's Chambers","The Weaver's Chambers","Die Gewölbe der Weberin","The Weaver's Chambers","거미의 방","Aposentos da Weaver","Покои Ткачихи","El Aposento de la Tejedora","The Weaver's Chambers","織網者巢穴",1,6,"",1,"",1
484,"Clear2_11_1",1,1114,"Vaal Ruins Level 1","Vaal Ruins Level 1","Die Vaal-Ruinen - Ebene 1","Vaal Ruins Level 1","바알 유적 1층","Ruínas Vaal Nível 1","Руины ваал — уровень 1","Ruinas Vaal Nivel 1","Vaal Ruins Level 1","瓦爾廢墟：第 1 層",1,6,"",1,"",1
485,"Clear2_11_2",1,1115,"Vaal Ruins Level 2","Vaal Ruins Level 2","Die Vaal-Ruinen - Ebene 2","Vaal Ruins Level 2","바알 유적 2층","Ruínas Vaal Nível 2","Руины ваал — уровень 2","Ruinas Vaal Nivel 2","Vaal Ruins Level 2","瓦爾廢墟：第 2 層",1,6,"",1,"",1
486,"Clear2_12",1,1116,"Pools and Streams","Pools and Streams","Die Feuchtlande","Pools and Streams","고이고 흐르는 물","Lagos e Córregos","Заводи и ручьи","Charcas y Ríos","Pools and Streams","巨木河谷",1,6,"",1,"",1
487,"Clear2_13",1,1117,"Dread Thicket","Dread Thicket","Das Dickicht des Grauens","Dread Thicket","공포의 잡목림","Matagal Horrendo","Чащоба","Matorral Pavoroso","Dread Thicket","驚魂樹洞",1,6,"",1,"",1
488,"Clear2_14_1",1,1118,"Waterfall Cave Level 1","Waterfall Cave Level 1","Wasserfall-Höhle - Ebene 1","Waterfall Cave Level 1","폭포 동굴 1층","Caverna da Cachoeira Nível 1","Пещера за водопадом — уровень 1","Cueva de la Cascada Nivel 1","Waterfall Cave Level 1","密洞：第 1 層",1,6,"",1,"",1
489,"Clear2_14_2",1,1119,"Waterfall Cave Level 2","Waterfall Cave Level 2","Wasserfall-Höhle - Ebene 2","Waterfall Cave Level 2","폭포 동굴 2층","Caverna da Cachoeira Nível 2","Пещера за водопадом — уровень 2","Cueva de la Cascada Nivel 2","Waterfall Cave Level 2","密洞：第 2 層",1,6,"",1,"",1
490,"Clear2_14_3",1,1120,"Ancient Pyramid","Ancient Pyramid","Die uralte Pyramide","Ancient Pyramid","고대 피라미드","Pirâmide Antiga","Древняя пирамида","Pirámide Antigua ","Ancient Pyramid","古金字塔",1,6,"",1,"",1
491,"Clear2_15",1,1121,"Fellshrine Ruins","Fellshrine Ruins","Die Kriegsschrein-Ruinen","Fellshrine Ruins","몰락한 성소 유적","Ruínas do Santuário Caído","Руины осквернённой святыни","Ruinas del Santuario Caído ","Fellshrine Ruins","墮道遺跡",1,6,"",1,"",1
492,"Clear3_1",1,1122,"The City of Sarn","The City of Sarn","Die Stadt Sarn","The City of Sarn","사안 시내","Cidade de Sarn","Сарн","La Ciudad de Sarn","The City of Sarn","薩恩城廢墟",1,6,"",1,"",1
493,"Clear3_2",1,1123,"Sarn Slums","Sarn Slums","Armenviertel von Sarn","Sarn Slums","사안 빈민가","Favelas de Sarn","Трущобы Сарна","Barriadas de Sarn","Sarn Slums","貧民窟",1,6,"",1,"",1
494,"Clear3_3_1",1,1124,"Crematorium Level 1","Crematorium Level 1","Das Krematorium - Ebene 1","Crematorium Level 1","화장터 1층","Crematório Nível 1","Крематорий — уровень 1","Crematorio Nivel 1","Crematorium Level 1","火葬場：第 1 層",1,6,"",1,"",1
495,"Clear3_3_2",1,1125,"Crematorium Level 2","Crematorium Level 2","Das Krematorium - Ebene 2","Crematorium Level 2","화장터 2층","Crematório Nível 2","Крематорий — уровень 2","Crematorio Nivel 2","Crematorium Level 2","火葬場：第 2 層",1,6,"",1,"",1
496,"Clear3_4",1,1126,"Warehouses","Warehouses","Die Lagerhäuser","Warehouses","창고","Depósitos","Склады","Almacenes","Warehouses","倉庫地帶",1,6,"",1,"",1
497,"Clear3_5",1,1127,"Marketplace","Marketplace","Der Marktplatz","Marketplace","장터","Mercado","Рынок","Mercado ","Marketplace","市集地帶",1,6,"",1,"",1
498,"Clear3_6_1",1,1128,"The Catacombs","The Catacombs","Die Katakomben","The Catacombs","지하 묘지","As Catacumbas","Катакомбы","Las Catacumbas","The Catacombs","黑石陵墓",1,6,"",1,"",1
499,"Clear3_7",1,1129,"Battlefront","Battlefront","Die Kriegsfront","Battlefront","전쟁터","Frente de Batalha","Передовая","El Frente de Batalla","Battlefront","激戰廣場",1,6,"",1,"",1
500,"Clear3_8_1",1,1130,"Solaris Temple Level 1","Solaris Temple Level 1","Der Solaristempel - Ebene 1","Solaris Temple Level 1","솔라리스 사원 1층","Templo Solaris Nível 1","Храм Солярис — уровень 1","Templo de Solaris Nivel 1","Solaris Temple Level 1","日耀神殿：第 1 層",1,6,"",1,"",1
501,"Clear3_8_2",1,1131,"Solaris Temple Level 2","Solaris Temple Level 2","Der Solaristempel - Ebene 2","Solaris Temple Level 2","솔라리스 사원 2층","Templo Solaris Nível 2","Храм Солярис — уровень 2","Templo de Solaris Nivel 2","Solaris Temple Level 2","日耀神殿：第 2 層",1,6,"",1,"",1
502,"Clear3_8_3",1,1132,"Solaris Temple Level 3","Solaris Temple Level 3","Der Solaristempel - Ebene 3","Solaris Temple Level 3","솔라리스 사원 3층","Templo Solaris Nível 3","Храм Солярис — уровень 3","Templo de Solaris Nivel 3","Solaris Temple Level 3","日耀神殿：第 3 層",1,6,"",1,"",1
503,"Clear3_9",1,1133,"The Docks","The Docks","Die Docks","The Docks","항구","As Docas","Доки","Las Dársenas","The Docks","不朽海港",1,6,"",1,"",1
504,"Clear3_10_0",1,1134,"Slums Sewers","Slums Sewers","Die Armenviertel-Kanalisation","Slums Sewers","빈민가 하수도","Esgotos das Favelas","Канализация трущоб","Alcantarillas de las Barriadas","Slums Sewers","下水道：貧民窟",1,6,"",1,"",1
505,"Clear3_10_1",1,1135,"Warehouse Sewers","Warehouse Sewers","Die Lagerhäuser-Kanalisation","Warehouse Sewers","창고 하수도","Esgotos dos Depósitos","Канализация складов","Alcantarillas de los Almacenes","Warehouse Sewers","下水道：倉庫地帶",1,6,"",1,"",1
506,"Clear3_10_2",1,1136,"Market Sewers","Market Sewers","Die Markt-Kanalisation","Market Sewers","시장 하수도","Esgotos do Mercado","Канализация рынка","Alcantarillas del Mercado","Market Sewers","下水道：市集地帶",1,6,"",1,"",1
507,"Clear3_10_3",1,1137,"Sewers Aqueduct","Sewers Aqueduct","Kanalisationsaquädukt","Sewers Aqueduct","하수도 수로","Aqueduto dos Esgotos","Акведук канализации","Alcantarillas del Acueducto","Sewers Aqueduct","下水道：秘密通道",1,6,"",1,"",1
508,"Clear3_13",1,1138,"Barracks","Barracks","Die Ebenholzkaserne","Barracks","주둔지","Quartel","Лагерь","Barracón","Barracks","烏旗軍營",1,6,"",1,"",1
509,"Clear3_14_1",1,1139,"Lunaris Temple Level 1","Lunaris Temple Level 1","Der Lunaristempel - Ebene 1","Lunaris Temple Level 1","루나리스 사원 1층","Templo Lunaris Nível 1","Храм Лунарис — уровень 1","Templo de Lunaris Nivel 1","Lunaris Temple Level 1","月影神殿：第 1 層",1,6,"",1,"",1
510,"Clear3_14_2",1,1140,"Lunaris Temple Level 2","Lunaris Temple Level 2","Der Lunaristempel - Ebene 2","Lunaris Temple Level 2","루나리스 사원 2층","Templo Lunaris Nível 2","Храм Лунарис — уровень 2","Templo de Lunaris Nivel 2","Lunaris Temple Level 2","月影神殿：第 2 層",1,6,"",1,"",1
511,"Clear3_14_3",1,1141,"Lunaris Temple Level 3","Lunaris Temple Level 3","Der Lunaristempel - Ebene 3","Lunaris Temple Level 3","루나리스 사원 3층","Templo Lunaris Nível 3","Храм Лунарис — уровень 3","Templo de Lunaris Nivel 3","Lunaris Temple Level 3","月影神殿：第 3 層",1,6,"",1,"",1
512,"TagShrineAcceleration",1,0,"Acceleration Shrine","Acceleration Shrine","Schrein der Beschleunigung","Acceleration Shrine","가속의 성소","Altar de Aceleração","Алтарь скорости","Santuario de Aceleración ","Acceleration Shrine","迅速神殿",1,9,"",1,"",1
513,"TagShrineLightning",1,1,"Lightning Shrine","Lightning Shrine","Blitzschrein","Lightning Shrine","번개의 성소","Altar Relampejante","Алтарь молний","Santuario de Rayo","Lightning Shrine","雷霆神殿",1,9,"",1,"",1
514,"TagShrineCold",1,2,"Freezing Shrine","Freezing Shrine","Frostschrein","Freezing Shrine","동결의 성소","Altar Congelante","Алтарь стужи","Santuario de Congelamiento","Freezing Shrine","霜寒神殿",1,9,"",1,"",1
515,"TagShrineFire",1,3,"Burning Shrine","Burning Shrine","Brennender Schrein","Burning Shrine","불타는 성소","Altar Incendiário","Алтарь жара","Santuario de Incendio","Burning Shrine","燃燒神殿",1,9,"",1,"",1
516,"TagShrineArc",1,4,"Static Shrine","Static Shrine","Geladener Schrein","Static Shrine","정전기의 성소","Altar Estático","Алтарь разрядов","Santuario de Estática","Static Shrine","靜電神殿",1,9,"",1,"",1
517,"TagShrineCriticals",1,5,"Diamond Shrine","Diamond Shrine","Diamantenschrein","Diamond Shrine","다이아몬드의 성소","Altar Diamante","Алтарь алмазов","Santuario de Diamante ","Diamond Shrine","鑽石神殿",1,9,"",1,"",1
518,"TagShrineBrutal",1,6,"Brutal Shrine","Brutal Shrine","Schrein der Grausamkeit","Brutal Shrine","난폭의 성소","Altar Brutal","Алтарь свирепости","Santuario Brutal","Brutal Shrine","狂擊神殿",1,9,"",1,"",1
519,"TagShrineThorns",1,7,"Shrine of Thorns","Shrine of Thorns","Schrein der Dornen","Shrine of Thorns","가시의 성소","Altar de Espinhos","Алтарь шипов","Santuario de Espinas","Shrine of Thorns","荊棘神殿",1,9,"",1,"",1
520,"TagShrineRegen",1,8,"Replenishing Shrine","Replenishing Shrine","Schrein der Erneuerung","Replenishing Shrine","회복의 성소","Altar de Reabastecimento","Алтарь восполнения","Santuario de Recarga","Replenishing Shrine","回復神殿",1,9,"",1,"",1
521,"TagShrineMassive",1,9,"Massive Shrine","Massive Shrine","Gewaltiger Schrein","Massive Shrine","거대화의 성소","Altar Massivo","Алтарь величия","Santuario Masivo","Massive Shrine","威猛神殿",1,9,"",1,"",1
522,"TagShrineDefence",1,10,"Impenetrable Shrine","Impenetrable Shrine","Schrein der Undurchdringlichkeit","Impenetrable Shrine","중갑의 성소","Altar Impenetrável","Алтарь неуязвимости","Santuario Impenetrable ","Impenetrable Shrine","無畏神殿",1,9,"",1,"",1
523,"TagShrineResistance",1,11,"Resistance Shrine","Resistance Shrine","Schrein des Widerstands","Resistance Shrine","저항의 성소","Altar de Resistência","Алтарь выдержки","Santuario de Resistencia ","Resistance Shrine","抗性神殿",1,9,"",1,"",1
524,"TagShrineGodMode",1,12,"Divine Shrine","Divine Shrine","Göttlicher Schrein","Divine Shrine","신성한 성소","Altar Divino","Алтарь богоподобия","Santuario Divino","Divine Shrine","聖潔神殿",1,9,"",1,"",1
525,"TagShrineMulti",1,13,"Echoing Shrine","Echoing Shrine","Schrein des Widerhalls","Echoing Shrine","메아리의 성소","Altar Ecoante","Алтарь отражений","Santuario Resonante ","Echoing Shrine","回響神殿",1,9,"",1,"",1
526,"TagShrineCurses",1,14,"Hexing Shrine","Hexing Shrine","Verfluchender Schrein","Hexing Shrine","사술의 성소","Altar da Maldição","Алтарь проклятий","Santuario de Embrujo","Hexing Shrine","邪法神殿",1,9,"",1,"",1
527,"TagShrineSkeletons",1,15,"Skeletal Shrine","Skeletal Shrine","Skelettschrein","Skeletal Shrine","해골의 성소","Altar Esquelético","Алтарь скелетов","Santuario Esquelético","Skeletal Shrine","骷髏神殿",1,9,"",1,"",1
528,"TagShrineSmoke",1,16,"Shrouded Shrine","Shrouded Shrine","Verhüllter Schrein","Shrouded Shrine","연막의 성소","Altar Envolto","Алтарь покровов","Santuario de Cobertura","Shrouded Shrine","迷霧神殿",1,9,"",1,"",1
529,"KillNemesisExplodesOnDeathFire",1,17,"Volatile Flameblood","Volatile Flameblood","Explosives Flammenblut","Volatile Flameblood","폭발성 화염혈액","Altar da Chama Volátil","Горячая кровь","Sangre Llameante Volátil","Volatile Flameblood","狂怒邪血：業火",1,10,"",1,"",1
530,"KillNemesisExplodesOnDeathLightning",1,18,"Volatile Stormblood","Volatile Stormblood","Explosives Sturmblut","Volatile Stormblood","폭발성 태풍혈액","Altar de Tempestade Volátil","Громовая кровь","Sangre de Tormenta Volátil ","Volatile Stormblood","狂怒邪血：雷霆",1,10,"",1,"",1
531,"KillNemesisExplodesOnDeathCold",1,19,"Volatile Iceblood","Volatile Iceblood","Explosives Eisblut","Volatile Iceblood","폭발성 얼음혈액","Altar de Gelo Volátil","Ледяная кровь","Sangre de Hielo Volátil ","Volatile Iceblood","狂怒邪血：冰雪",1,10,"",1,"",1
532,"KillNemesisRaisesAfterDeath",1,20,"Soul Conduit","Soul Conduit","Seelenbindung","Soul Conduit","영혼 도관","Conduíte de Almas","Проводник душ","Conducto de Almas","Soul Conduit","造靈之體",1,10,"",1,"",1
533,"KillNemesisSpawnsMonsters",1,21,"Fractured","Fractured","Zerbrechlich","Fractured","분열된","Fragmentado","Породитель","Fracturado","Fractured","分裂之體",1,10,"",1,"",1
534,"KillNemesisCorruptedBlood",1,22,"Corrupting Blood","Corrupting Blood","Verderbendes Blut","Corrupting Blood","타락한 피","Sangue Corruptor","Дурная кровь","Sangre Corruptora","Corrupting Blood","腐化之血",1,10,"",1,"",1
535,"KillNemesisUniqueDrop",1,23,"Inner Treasure","Inner Treasure","Einverleibter Schatz","Inner Treasure","보물 소지","Tesouro Interior","Коллекционер","Tesoro Interior","Inner Treasure","珍寶之魂",1,10,"",1,"",1
536,"KillNemesisElementalHit",1,24,"Blessing of Elements","Blessing of Elements","Segen der Elemente","Blessing of Elements","원소의 축복","Bênção dos Elementos","Друг стихий","Bendición de los Elementos ","Blessing of Elements","元素附體",1,10,"",1,"",1
537,"KillNemesisTransformOnLowLife",1,25,"Berserker","Berserker","Berserker","Berserker","버서커","Furioso","Берсерк","Berserker","Berserker","狂戰之魂",1,10,"",1,"",1
538,"KillNemesisSoulEater",1,26,"Soul Eater","Soul Eater","Seelenfresser","Soul Eater","영혼 포식자","Devorador de Almas","Пожиратель душ","Devorador de Almas","Soul Eater","噬魂者",1,10,"",1,"",1
539,"KillNemesisRemoveFlaskAndChargeBuffsOnHit",1,27,"Nullifier","Nullifier","Annullierer","Nullifier","파기자","Nulificador","Очиститель","Nulificador","Nullifier","靈能滅魔",1,10,"",1,"",1
540,"KillNemesisSmokeDaemon",1,28,"Shroud Walker","Shroud Walker","Schleierläufer","Shroud Walker","연막 보행자","Andarilho da Mortalha","Тенеход","Caminante de las Sombras","Shroud Walker","迷霧之體",1,10,"",1,"",1
541,"KillNemesisSummonSkeletons",1,29,"Bringer of Bones","Bringer of Bones","Bringer der Knochen","Bringer of Bones","뼈의 인도자","Portador de Ossos","Вестник костей","Invocador de Huesos","Bringer of Bones","枯骨呼喚者",1,10,"",1,"",1
542,"KillNemesisProximityShield",1,30,"Proximity Shield","Proximity Shield","Annäherungsschild","Proximity Shield","근접 보호막","Escudo de Proximidade","Защитный купол","Escudo de Proximidad","Proximity Shield","靈能之盾",1,10,"",1,"",1
543,"KillNemesisPoisonAttacks",1,31,"Vile Touch","Vile Touch","Toxische Berührung","Vile Touch","끔찍한 손길","Toque Vil","Отравленный","Toque Vil","Vile Touch","惡靈之觸",1,10,"",1,"",1
544,"KillNemesisEnfeebleOnHit",1,32,"Bringer of Weakness","Bringer of Weakness","Bringer der Schwäche","Bringer of Weakness","약점의 인도자","Portador da Fraqueza","Вестник бессилия","Portador de Debilidad","Bringer of Weakness","竭力呼喚者",1,10,"",1,"",1
545,"KillNemesisVulnerabilityOnHit",1,33,"Bringer of Fragility","Bringer of Fragility","Bringer der Verletzlichkeit","Bringer of Fragility","연약함의 인도자","Portador da Fragilidade","Губитель доспехов","Portador de Fragilidad","Bringer of Fragility","弱化呼喚者",1,10,"",1,"",1
546,"KillNemesisTemporalChainsOnHit",1,34,"Chronophage","Chronophage","Zeitfresser","Chronophage","시간허비자","Devorador do Tempo","Хронофаг","Cronófago","Chronophage","蝕空者",1,10,"",1,"",1
547,"KillNemesisCurseDaemon",1,35,"Hexfont","Hexfont","Verflucher","Hexfont","사술의 원천","Fonte de Maldições","Изрыгатель проклятий","Fuente de Maleficios","Hexfont","邪咒之語",1,10,"",1,"",1
548,"KillNemesisTotemDaemon",1,36,"Ancestral Power","Ancestral Power","Macht der Ahnen","Ancestral Power","선대의 힘","Poder Ancestral","Сила предков","Poder Ancestral","Ancestral Power","先祖之力",1,10,"",1,"",1
549,"KillNemesisLightningStormDaemon",1,37,"Storm Herald","Storm Herald","Sturmherold","Storm Herald","태풍 전령","Arauto da Tempestade","Глашатай бури","Heraldo de Tormenta","Storm Herald","暴風使徒",1,10,"",1,"",1
550,"KillNemesisStealthMode",1,38,"Camouflaged Predator","Camouflaged Predator","Getarnter Räuber","Camouflaged Predator","위장한 포식자","Predador Camuflado","Незримый хищник","Predador Camuflado","Camouflaged Predator","隱匿掠食者",1,10,"",1,"",1
551,"65DominemesisStrDex",1,39,"Duelist","Duelist","Duellant","Duelist","듀얼리스트","Duelista","Дуэлянт","Duelista","Duelist","決鬥者",1,11,"",1,"",1
552,"65DominemesisStr",1,40,"Marauder","Marauder","Marodeur","Marauder","머라우더","Marauder","Дикарь","Guerrero ","Marauder","野蠻人",1,11,"",1,"",1
553,"65DominemesisDex",1,41,"Ranger","Ranger","Waldläuferin","Ranger","레인저","Caçadora","Охотница","Cazadora","Ranger","遊俠",1,11,"",1,"",1
554,"65DominemesisDexInt",1,42,"Shadow","Shadow","Schatten","Shadow","쉐도우","Sombra","Бандит","Sombra","Shadow","暗影刺客",1,11,"",1,"",1
555,"65DominemesisStrInt",1,43,"Templar","Templar","Templer","Templar","템플러","Templário","Жрец","Templario","Templar","聖騎士",1,11,"",1,"",1
556,"65DominemesisInt",1,44,"Witch","Witch","Hexe","Witch","위치","Bruxa","Ведьма","Bruja","Witch","女巫",1,11,"",1,"",1
557,"65DominemesisStrDexInt",1,45,"Scion","Scion","Adelstochter","Scion","사이온","Herdeira","Дворянка","Heredera","Scion","貴族",1,11,"",1,"",1
558,"KillRareDrowned",1,46,"Drowned","Drowned","Wasserleiche","Drowned","익사자","Afogado","Утопленник","Ahogado","Drowned","浮屍",1,8,"",1,"",1
559,"KillRareSandSpitter",1,47,"Sand Spitter","Sand Spitter","Sandspucker","Sand Spitter","모래 전갈","Cuspidor da Areia","Пескоплюй","Escupidor de Arena","Sand Spitter","噴砂爪蟹",1,8,"",1,"",1
560,"KillRareCannibal",1,48,"Cannibal","Cannibal","Kannibale","Cannibal","식인종","Canibal","Людоед","Caníbal ","Cannibal","食人族",1,8,"",1,"",1
561,"KillRareTideStrider",1,49,"Tide Strider","Tide Strider","Gezeitenläufer","Tide Strider","파도 질주자","Andarilho da Maré","Морской бегун","Caminante de Marea","Tide Strider","潮汐之靈",1,8,"",1,"",1
562,"KillRareGravelEater",1,50,"Gravel Eater","Gravel Eater","Kiesfresser","Gravel Eater","자갈 포식자","Devorador de Cascalho","Камнеед","Comegrava","Gravel Eater","食礫爪蟹",1,8,"",1,"",1
563,"KillRareWitheredHusk",1,51,"Withered Husk","Withered Husk","Verweste Leiche","Withered Husk","말라버린 허스크","Pele Murcha","Чахлый труп","Remanente Marchito","Withered Husk","旱皮腐屍",1,8,"",1,"",1
564,"KillRareBoneRhoa",1,52,"Bone Rhoa","Bone Rhoa","Knochen-Rhoa","Bone Rhoa","뼈 로아","Rhoa de Ossos","Костяной роа","Rhoa de Huesos","Bone Rhoa","枯骨恐喙鳥",1,8,"",1,"",1
565,"KillRareDrippingDead",1,53,"Dripping Dead","Dripping Dead","Triefender Toter","Dripping Dead","흠뻑 젖은 시체","Morto Encharcado","Мокрый мертвяк","Muerto Empapado","Dripping Dead","浸水腐屍",1,8,"",1,"",1
566,"KillRareRhoaScavenger",1,54,"Rhoa Scavenger","Rhoa Scavenger","Raub-Rhoa","Rhoa Scavenger","로아 청소부","Rhoa Carniceiro","Роа-трупоед","Rhoa Carroñero","Rhoa Scavenger","食屍恐喙鳥",1,8,"",1,"",1
