"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","SoundFile","ParrotSoundFile","i32"
256,"Duelist35","Flattery will get you nowhere with me, m'lady.","Me flatter ne vous mènera nulle part, ma belle.","Mit Schmeicheleien kommt Ihr bei mir nicht weiter, Teuerste.","おべっかは私には通用しないのさ、お嬢さん。","아첨 떨어봤자 소용 없습니다, 부인.","Sinto te dizer que elogios não funcionam comigo, cara dama.","Госпожа, мне льстить бесполезно.","Los cumplidos no servirán de nada, mi señora.","ประจบ​ข้า​ไป​ก็​เปล่า​ประโยชน์ คุณ​หญิง","拍馬屁是沒有用的，女士。","Audio/Dialogue/Character/StrDex/Event/D38.ogg","",10000
257,"Duelist36","I didn't catch a word of what you said, Doedre. That's probably a good thing.","Je n'ai pas compris un mot de ce que vous avez dit, Doedre. C'est probablement mieux ainsi.","Ich habe kein Wort verstanden, Doedre. Ist vermutlich auch gut so.","其方の言ったことは一言も聞こえなかったな。そのほうが良いかもしれん。","무슨 말을 하는건지 하나도 못 알아듣겠는데, 도이드리. 그래서 다행이다 싶지만.","Não entendi nem uma palavra sua, Doedre. Pelo visto é melhor assim.","Я ни слова не понял из твоих речей, Доэдре. Пожалуй, и к лучшему.","No entendí ni una palabra de lo que has dicho, Doedre. Probablemente sea mejor así.","ข้า​ไม่​เข้าใจ​ที่​แก​พูด​สัก​คำ​เลย โดเอดรี แต่​มัน​คงจะ​เป็น​เรื่อง​ดีแล้ว​ล่ะ","我壓根兒沒聽到你說了什麼，德瑞。這應該是個好現象。","Audio/Dialogue/Character/StrDex/Event/D39.ogg","",10000
258,"Duelist37","Oh, well, far be it from me to deny a lady's final wish.","Eh bien, loin de moi l'idée de refuser à une dame sa dernière volonté.","Oh, es liegt mir fern, einer Dame ihren letzten Wunsch zu verweigern.","ああ、女性の最後の願いを拒むなんてできるはずがない。","이런, 숙녀의 마지막 소원을 어찌 거절하겠습니까.","Ora essa, eu nunca negaria o último desejo de uma dama.","Было бы невежливо отказать даме в последней просьбе.","Bueno, sería imposible para mí negarle su último deseo a una dama.","ข้า​ไม่​อาจ​ปฏิเสธ​คำขอ​สุดท้าย​ของ​สตรี​คน​หนึ่ง​ได้​ลง​หรอก","拒絕女士的最終願望不是我的風格。","Audio/Dialogue/Character/StrDex/Event/D40.ogg","",10000
259,"Duelist38","It's a strange feeling, when the fighting is done. I've won. The nightmare is ended. ","Quelle sensation étrange lorsqu'un combat s'achève. J'ai gagné. Le Cauchemar a pris fin. ","Ein wahrlich seltsames Gefühl, wenn der Kampf vorüber ist. Ich habe tatsächlich gewonnen! Dieser Albtraum gehört der Vergangenheit an. ","いざ戦いが終わってみると不思議な感じがする。私が勝ち、悪夢が終わるとは。","결투가 끝났는데 희한한 기분이군. 뭐 어쨌든 나는 이겼고, 악몽은 끝이 났으니까.","Dá uma sensação estranha quando a luta termina. Eu venci. O pesadelo acabou. ","Я так привык сражаться, что оглушён тишиной. Враг мёртв, я жив. Кошмару конец.","Cuando la lucha termina me invade un sentimiento extraño. Gané. La pesadilla terminó.","มัน​เป็น​ความ​รู้สึก​แปลก​ประหลาด​หลัง​จาก​การ​ต่อสู้​จบ​ลง ข้า​ชนะแล้ว ฝัน​ร้าย​สิ้น​ลง​แล้ว","戰鬥結束了，這真是一種奇怪的感覺。我獲勝了，夢魘結束了。","Audio/Dialogue/Character/StrDex/Event/D41.ogg","",10000
260,"Duelist39","I think this'll come in handy at some point.","Je pense que cela pourra m'être utile.","Das wird mir gewiss irgendwann nützlich sein.","いつかはこれが役に立つ時も来るだろう。","언젠가는 쓰일 일이 있을 거 같아.","Acho que isso vai ser útil em algum momento.","Думаю, эта штука мне еще пригодится.","Creo que esto será útil más adelante.","ข้า​ว่า​มัน​จะ​มี​ประโยชน์​ใน​อนาคต","這應該會有派的上用場的時候。","Audio/Dialogue/Character/StrDex/Gameplay/D22_DestroyQuestItem_01.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_DestroyQuestItem_01_Parrot.ogg",2020
261,"Duelist40","I think this'll come in handy at some point.","Je pense que cela pourra m'être utile.","Das wird mir gewiss irgendwann nützlich sein.","いつかはこれが役に立つ時も来るだろう。","언젠가는 쓰일 일이 있을 거 같아.","Acho que isso vai ser útil em algum momento.","Думаю, эта штука мне еще пригодится.","Creo que esto será útil más adelante.","ข้า​ว่า​มัน​จะ​มี​ประโยชน์​ใน​อนาคต","這應該會有派的上用場的時候。","Audio/Dialogue/Character/StrDex/Gameplay/D22_DestroyQuestItem_02.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_DestroyQuestItem_02_Parrot.ogg",2300
262,"Duelist41","Need to be a little more deft to use this.","Il me faut être un peu plus habile pour utiliser cela.","Mir mangelt es an Geschick, um das verwenden zu können.","これを使うにはもっと俊敏さが必要だ。","이걸 쓰려면 조금 더 날렵해져야겠어.","Preciso ser mais hábil para usar isso.","Мне бы стать чуть резвее.","Necesito ser un poco más hábil para usar esto.","ต้อง​คล่องแคล่ว​กว่า​นี้​อีก​นิด​ถึง​จะ​ใช้​มัน​ได้","需要更敏捷一些才能使用這個。","Audio/Dialogue/Character/StrDex/Gameplay/D22_DexStatLow_01.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_DexStatLow_01_Parrot.ogg",2100
263,"Duelist42","Need to be a little more deft to use this.","Il me faut être un peu plus habile pour utiliser cela.","Mir mangelt es an Geschick, um das verwenden zu können.","これを使うにはもっと俊敏さが必要だ。","이걸 쓰려면 조금 더 날렵해져야겠어.","Preciso ser mais hábil para usar isso.","Мне бы стать чуть резвее.","Necesito ser un poco más hábil para usar esto.","ต้อง​คล่องแคล่ว​กว่า​นี้​อีก​นิด​ถึง​จะ​ใช้​มัน​ได้","需要更敏捷一些才能使用這個。","Audio/Dialogue/Character/StrDex/Gameplay/D22_DexStatLow_02.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_DexStatLow_01_Parrot.ogg",2100
264,"Duelist43","Ah... that hit the spot.","Ah… pile ce qu'il me fallait.","Ah ... genau das Richtige.","ああ、いい具合だ。","아... 바로 이거야.","Ah... que delícia.","А-а-а… То, что надо.","Ahh… Justo en el blanco.","อา... ชื่นใจ​นัก","啊，正中紅心。","Audio/Dialogue/Character/StrDex/Gameplay/D22_HeathFlaskOnLow_01.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_HeathFlaskOnLow_01_Parrot.ogg",2670
265,"Duelist44","Ah... that hit the spot.","Ah… pile ce qu'il me fallait.","Ah ... genau das Richtige.","ああ、いい具合だ。","아... 바로 이거야.","Ah... que delícia.","А-а-а… То, что надо.","Ahh… Justo en el blanco.","อา... ชื่นใจ​นัก","啊，正中紅心。","Audio/Dialogue/Character/StrDex/Gameplay/D22_HeathFlaskOnLow_02.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_HeathFlaskOnLow_01_Parrot.ogg",2100
266,"Duelist45","Can't quite get my head around this one.","Je ne vois pas comment l'utiliser.","Hm, damit kann ich nichts anfangen.","これの使い方を理解できない。","이런 건 도저히 이해가 안 돼.","Não consigo entender isso.","Никак не могу разобраться.","No termino de entender esto.","ข้า​นึก​ไม่​ออก​จริงๆ ว่า​จะ​ใช้​มัน​ยัง​ไง","我搞不懂這個東西。","Audio/Dialogue/Character/StrDex/Gameplay/D22_IntStatLow_01.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_IntStatLow_01_Parrot.ogg",2000
267,"Duelist46","Can't quite get my head around this one.","Je ne vois pas comment l'utiliser.","Hm, damit kann ich nichts anfangen.","これの使い方を理解できない。","이런 건 도저히 이해가 안 돼.","Não consigo entender isso.","Никак не могу разобраться.","No termino de entender esto.","ข้า​นึก​ไม่​ออก​จริงๆ ว่า​จะ​ใช้​มัน​ยัง​ไง","我搞不懂這個東西。","Audio/Dialogue/Character/StrDex/Gameplay/D22_IntStatLow_02.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_IntStatLow_01_Parrot.ogg",2100
268,"Duelist47","I believe in travelling light.","Je préfère voyager léger.","Ich glaube an Reisen mit leichtem Gepäck.","身軽に旅をするほうがいいと思う。","여행짐은 가벼운 게 좋아.","Prefiro viajar sem muito peso.","Путешествовать надо налегке.","Prefiero viajar con poco peso.","ข้า​เชื่อ​ใน​การ​ถือ​ของ​น้อย​แต่​พอตัว","輕便的行走才是我的風格。","Audio/Dialogue/Character/StrDex/Gameplay/D22_InvFull_01.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_InvFull_01_Parrot.ogg",1460
269,"Duelist48","I believe in travelling light.","Je préfère voyager léger.","Ich glaube an Reisen mit leichtem Gepäck.","身軽に旅をするほうがいいと思う。","여행짐은 가벼운 게 좋아.","Prefiro viajar sem muito peso.","Путешествовать надо налегке.","Prefiero viajar con poco peso.","ข้า​เชื่อ​ใน​การ​ถือ​ของ​น้อย​แต่​พอตัว","輕便的行走才是我的風格。","Audio/Dialogue/Character/StrDex/Gameplay/D22_InvFull_02.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_InvFull_01_Parrot.ogg",1600
270,"Duelist49","A worthy opponent!","Un adversaire digne de ce nom !","Ein würdiger Gegner!","素晴らしい対戦相手だった！","훌륭한 적이었다!","Um oponente digno!","Достойный был противник!","¡Un oponente digno!","ศัตรู​ที่​คู่ควร!","值得戰鬥的對手。","Audio/Dialogue/Character/StrDex/Gameplay/D22_MonsterKillV1_01.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_MonsterKillV1_01_Parrot.ogg",1600
271,"Duelist50","A worthy opponent!","Un adversaire digne de ce nom !","Ein würdiger Gegner!","素晴らしい対戦相手だった！","훌륭한 적이었다!","Um oponente digno!","Достойный был противник!","¡Un oponente digno!","ศัตรู​ที่​คู่ควร!","值得戰鬥的對手。","Audio/Dialogue/Character/StrDex/Gameplay/D22_MonsterKillV1_02.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_MonsterKillV1_01_Parrot.ogg",1700
272,"Duelist51","You die rather well!","Tu meurs plutôt bien !","Wie schön Ihr ins Gras beißt!","すぐに死んだな！","너는 차라리 죽는 게 나아!","Você morre muito bem!","Ты храбро сражался!","¡Buena forma de morir!","เจ้า​ตาย​ได้​งดงาม​นัก!","你的死法還不算太差。","Audio/Dialogue/Character/StrDex/Gameplay/D22_MonsterKillV2_01.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_MonsterKillV2_01_Parrot.ogg",1800
273,"Duelist52","You die rather well!","Tu meurs plutôt bien !","Wie schön Ihr ins Gras beißt!","すぐに死んだな！","너는 차라리 죽는 게 나아!","Você morre muito bem!","Ты храбро сражался!","¡Buena forma de morir!","เจ้า​ตาย​ได้​งดงาม​นัก!","你的死法還不算太差。","Audio/Dialogue/Character/StrDex/Gameplay/D22_MonsterKillV2_02.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_MonsterKillV2_01_Parrot.ogg",1850
274,"Duelist53","Didn't even break a sweat!","Pas même une goutte de sueur !","Ohne ins Schwitzen zu kommen!","汗ひとつかかなかったぞ。","땀도 안 나는군!","Fácil demais!","Я даже не вспотел!","¡Ni siquiera me hizo sudar!","เหงื่อ​ยัง​ไม่ทัน​ออก​เสีย​ด้วย​ซ้ำ​!","連滴汗都沒流。","Audio/Dialogue/Character/StrDex/Gameplay/D22_MonsterKillV3_01.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_MonsterKillV3_01_Parrot.ogg",1600
275,"Duelist54","Didn't even break a sweat!","Pas même une goutte de sueur !","Ohne ins Schwitzen zu kommen!","汗ひとつかかなかったぞ。","땀도 안 나는군!","Fácil demais!","Я даже не вспотел!","¡Ni siquiera me hizo sudar!","เหงื่อ​ยัง​ไม่ทัน​ออก​เสีย​ด้วย​ซ้ำ​!","連滴汗都沒流。","Audio/Dialogue/Character/StrDex/Gameplay/D22_MonsterKillV3_02.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_MonsterKillV3_01_Parrot.ogg",1600
276,"Duelist55","Practice makes perfect!","La pratique, il n'y a que ça de vrai !","Übung macht den Meister!","訓練をすれば完璧になるんだ！","연습이 완벽을 만드는 법이지!","A prática leva à perfeição!","Тренировки дают о себе знать!","¡La práctica hace al maestro!","ยิ่ง​ฝึก​ก็​ยิ่ง​เก่ง​!","練習成就完美。","Audio/Dialogue/Character/StrDex/Gameplay/D22_MonsterKillV4_01.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_MonsterKillV4_01_Parrot.ogg",1600
277,"Duelist56","Practice makes perfect!","La pratique, il n'y a que ça de vrai !","Übung macht den Meister!","訓練をすれば完璧になるんだ！","연습이 완벽을 만드는 법이지!","A prática leva à perfeição!","Тренировки дают о себе знать!","¡La práctica hace al maestro!","ยิ่ง​ฝึก​ก็​ยิ่ง​เก่ง​!","練習成就完美。","Audio/Dialogue/Character/StrDex/Gameplay/D22_MonsterKillV4_02.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_MonsterKillV4_01_Parrot.ogg",1600
278,"Duelist57","I do love the stink of victory!","J'adore la puanteur de la victoire !","Wie ich den Geruch des Sieges liebe!","この勝利の匂いが大好きだ！","승리의 향기는 싫어할 수 없다니까!","Eu adoro o fedor da vitória!","Труп врага хорошо пахнет!","¡Amo el olor de la victoria!","ข้า​ชอบ​กลิ่น​อาย​ของ​ชัยชนะ​เสียจริง​!","我喜愛勝利的滋味。","Audio/Dialogue/Character/StrDex/Gameplay/D22_MonsterKillV5_01.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_MonsterKillV5_01_Parrot.ogg",2300
279,"Duelist58","I do love the stink of victory!","J'adore la puanteur de la victoire !","Wie ich den Geruch des Sieges liebe!","この勝利の匂いが大好きだ！","승리의 향기는 싫어할 수 없다니까!","Eu adoro o fedor da vitória!","Труп врага хорошо пахнет!","¡Amo el olor de la victoria!","ข้า​ชอบ​กลิ่น​อาย​ของ​ชัยชนะ​เสียจริง​!","我喜愛勝利的滋味。","Audio/Dialogue/Character/StrDex/Gameplay/D22_MonsterKillV5_02.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_MonsterKillV5_01_Parrot.ogg",2300
280,"Duelist59","My spirit is spent.","Mon esprit est épuisé.","Mein Geist ist erschöpft.","精神を使い果たしてしまった。","내 영혼이 지쳐 있어.","Meu espírito está gasto.","Я совсем выдохся.","Mi espíritu está exhausto.","ข้า​หมด​แรง​แล้ว","我的精神用完了。","Audio/Dialogue/Character/StrDex/Gameplay/D22_OutOfMana_01.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_OutOfMana_01_Parrot.ogg",1450
281,"Duelist60","My spirit is spent.","Mon esprit est épuisé.","Mein Geist ist erschöpft.","精神を使い果たしてしまった。","내 영혼이 지쳐 있어.","Meu espírito está gasto.","Я совсем выдохся.","Mi espíritu está exhausto.","ข้า​หมด​แรง​แล้ว","我的精神用完了。","Audio/Dialogue/Character/StrDex/Gameplay/D22_OutOfMana_02.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_OutOfMana_01_Parrot.ogg",1600
282,"Duelist61","I can't do this just yet.","Je ne peux pas encore le faire.","Das ist mir jetzt noch nicht möglich.","まだそれをすることができない。","아직은 못 해.","Ainda não posso fazer isso.","Надо немного подождать.","Aún no puedo hacer eso.","ตอน​นี้​ข้า​ยัง​ทำ​แบบ​นั้น​ไม่​ได้","我還不能這麼做。","Audio/Dialogue/Character/StrDex/Gameplay/D22_SkillCooldown_01.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_SkillCooldown_01_Parrot.ogg",1600
283,"Duelist62","I can't do this just yet.","Je ne peux pas encore le faire.","Das ist mir jetzt noch nicht möglich.","まだそれをすることができない。","아직은 못 해.","Ainda não posso fazer isso.","Надо немного подождать.","Aún no puedo hacer eso.","ตอน​นี้​ข้า​ยัง​ทำ​แบบ​นั้น​ไม่​ได้","我還不能這麼做。","Audio/Dialogue/Character/StrDex/Gameplay/D22_SkillCooldown_02.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_SkillCooldown_01_Parrot.ogg",1500
284,"Duelist63","I'll need to build up some muscle for this one.","Je vais devoir prendre du muscle pour ceci.","Dafür muss ich erst stärker werden.","これを身につけるにはもっと筋肉をつけないと。","이걸 쓰려면 근육을 조금 더 키워야겠어.","Preciso de mais músculos para isso.","Сперва мне надо подкачаться.","Necesito más músculo para usar esto.","ข้า​ต้อง​สร้าง​กล้าม​เนื้อมากกว่า​นี้​ถึง​จะ​ใช้​มัน​ได้","我得多鍛鍊些肌肉才能用這個東西。","Audio/Dialogue/Character/StrDex/Gameplay/D22_StrStatLow_01.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_StrStatLow_01_Parrot.ogg",2000
285,"Duelist64","I'll need to build up some muscle for this one.","Je vais devoir prendre du muscle pour ceci.","Dafür muss ich erst stärker werden.","これを身につけるにはもっと筋肉をつけないと。","이걸 쓰려면 근육을 조금 더 키워야겠어.","Preciso de mais músculos para isso.","Сперва мне надо подкачаться.","Necesito más músculo para usar esto.","ข้า​ต้อง​สร้าง​กล้าม​เนื้อมากกว่า​นี้​ถึง​จะ​ใช้​มัน​ได้","我得多鍛鍊些肌肉才能用這個東西。","Audio/Dialogue/Character/StrDex/Gameplay/D22_StrStatLow_02.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_StrStatLow_01_Parrot.ogg",2200
286,"Duelist65","There'll be time for that soon enough.","Le moment viendra bien assez tôt.","Dafür werde ich noch früh genug Zeit haben.","すぐにそれを使う時が来るだろう。","곧 이걸 쓸 때가 올 거다.","A hora para isso não é agora.","Выйду за ворота, тогда и развернусь.","Ya habrá tiempo para eso pronto.","อีก​ไม่​นาน​ก็​จะ​ทำ​แบบ​นั้น​ได้​แล้ว","我很快就能用這個東西了。","Audio/Dialogue/Character/StrDex/Gameplay/D22_UseSkillInTown_01.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_UseSkillInTown_01_Parrot.ogg",1700
287,"Duelist66","There'll be time for that soon enough.","Le moment viendra bien assez tôt.","Dafür werde ich noch früh genug Zeit haben.","すぐにそれを使う時が来るだろう。","곧 이걸 쓸 때가 올 거다.","A hora para isso não é agora.","Выйду за ворота, тогда и развернусь.","Ya habrá tiempo para eso pronto.","อีก​ไม่​นาน​ก็​จะ​ทำ​แบบ​นั้น​ได้​แล้ว","我很快就能用這個東西了。","Audio/Dialogue/Character/StrDex/Gameplay/D22_UseSkillInTown_02.ogg","Audio/Dialogue/NPC/ParrotStrDex/D22_UseSkillInTown_01_Parrot.ogg",1700
288,"Duelist67","It's nice not to be dead, yet.","C'est agréable de ne pas être encore mort.","Irgendwie vorteilhaft, noch nicht tot zu sein.","まだ死んでないとは嬉しいね。","아직 안 죽은 것만 해도 다행이지.","É bom ainda estar respirando.","Приятно не окочуриться.","Se siente bien no estar muerto aún.","ดีนะ​ที่​ยัง​ไม่​ถึง​เวลา​ตาย","還能活著真好。","Audio/Dialogue/Character/StrDex/Gameplay/D23_LevelUp_01.ogg","Audio/Dialogue/NPC/ParrotStrDex/D23_LevelUp_01_Parrot.ogg",1900
289,"Duelist68","It seems this new arena suits me.","Cette nouvelle arène semble me convenir.","Diese neue Arena ist genau das Richtige für mich.","この新しい闘技場は私にぴったりだ。","이 새로운 투기장이 나랑 맞는 거 같은데.","Parece que essa nova arena combina comigo.","Это новое ристалище мне подходит!","Parece que esta nueva arena me sienta bien.","เหมือน​ว่า​ข้า​จะ​เหมาะ​กับ​ลาน​ประลอง​ใหม่​แห่ง​นี้","看來這個新的決鬥場很適合我。","Audio/Dialogue/Character/StrDex/Gameplay/D23_LevelUp_02.ogg","Audio/Dialogue/NPC/ParrotStrDex/D23_LevelUp_02_Parrot.ogg",1870
290,"Duelist69","Couldn't ask for a better training ground than Wraeclast.","Je ne pourrais rêver d'un meilleur terrain d'entraînement que Wraeclast.","Ich könnte mir keinen besseren Trainingsort wünschen als dieses Wraeclast.","レイクラストよりマシな訓練場はないね。","레이클라스트보다 더 좋은 훈련장은 없겠어.","Não há melhor local de treino do que Wraeclast.","Только Рэкласт может так отточить мою технику!","No podría haber pedido un mejor campo de entrenamiento que Wraeclast.","ไม่มี​ที่​ใหน​เหมาะ​กับ​การ​ฝึกฝน​ยิ่ง​ไป​กว่า​เวร์แคลส์ท​แล้ว","除了瓦爾克拉斯之外，我想不到還有什麼地方那麼適合用來當作訓練場。","Audio/Dialogue/Character/StrDex/Gameplay/D23_LevelUp_03.ogg","Audio/Dialogue/NPC/ParrotStrDex/D23_LevelUp_03_Parrot.ogg",2670
291,"Duelist70","My fans in Oriath will barely recognise me.","Mes fans à Oriath me reconnaîtraient à peine.","Meine Anhänger auf Oriath werden mich kaum wiedererkennen.","今の私はオリアスの頃のファンたちにはもう見分けがつかなくなってるだろうな。","오리아스에서 내게 열광하던 사람들도 나를 거의 잊었겠지.","Meus fãs em Oriath mal vão me reconhecer.","Столичные поклонники меня не узнают!","Mis fanáticos en Oriath casi no me reconocerán.","แฟนๆ ของ​ข้า​ใน​โอ​ริ​อาท​คง​จำ​ข้า​แทบ​ไม่​ได้​แน่ๆ","奧瑞亞的粉絲們都快要認不出我了。","Audio/Dialogue/Character/StrDex/Gameplay/D23_LevelUp_04.ogg","Audio/Dialogue/NPC/ParrotStrDex/D23_LevelUp_04_Parrot.ogg",3600
292,"Duelist71","I'm starting to think there's more to life than prize or perish.","Je commence à croire que la vie est davantage que la victoire ou la mort.","Ich glaube langsam, das Leben hat mehr zu bieten als harte Arbeit oder Beute.","人生には闘技場での勝ち負け以上のものがあるかもしれないと考え始めたところだ。","인생이 승리나 죽음 뿐인 건 아니라는 생각이 들기 시작하는데.","Estou começando a achar que vencer e morrer não são tudo nessa vida.","Оказывается, жизнь состоит не только из побед и поражений.","Empiezo a creer que la vida es más que premios o muerte.","ข้า​เริ่ม​เชื่อ​แล้ว​ว่า​ชีวิต​นี้​มี​อะไร​มาก​ไป​กว่า​รางวัล​กับ​ความ​ตาย","我開始覺得生命的寶貴遠大於獎勵或信仰。","Audio/Dialogue/Character/StrDex/Gameplay/D23_LevelUp_05.ogg","Audio/Dialogue/NPC/ParrotStrDex/D23_LevelUp_05_Parrot.ogg",3240
293,"Duelist72","I believe I could give the great Daresso a run for his money, now.","Je pense que je pourrais donner du fil à retordre au grand Daresso.","Ich werde dem großen Daresso zeigen, dass ich kein leichtes Opfer bin.","今ならあのダレッソと渡り合えそうだ。","지금이라면 위대한 다레소와도 해볼 만할 것 같아.","Aposto que agora consigo enfrentar até o grande Daresso.","Похоже, я превзошел самого великого Дарессо!","¡Creo que ya puedo empezar a competir con Daresso!","ข้า​ว่า​ข้า​เริ่ม​ทัดเทียม​กับ​ดาเรสโซ่​ผู้​ยิ่ง​ใหญ่​แล้ว​ละ","我相信就算是達瑞索看到我也得收拾細軟跑路了。","Audio/Dialogue/Character/StrDex/Gameplay/D23_LevelUp_06.ogg","Audio/Dialogue/NPC/ParrotStrDex/D23_LevelUp_06_Parrot.ogg",2930
294,"Duelist73","I think it's time to shed the dream of home. It's a little tight around the collar.","Je pense qu'il est temps d'écarter le rêve d'un foyer. Ce n'est pas pour moi.","Höchste Zeit, den Traum von einer Heimat abzulegen. Sitzt etwas eng am Kragen.","家という夢を脱ぎ捨てる時が来たようだ。少し首周りがきつくってね。","고향 생각은 접을 때가 된 건가. 옷깃이 좀 조이는군.","Acho que está na hora de largar o sonho de voltar para casa. Meio apertado no pescoço.","Пора забыть о прошлом доме. Я перерос эту суету.","Creo que es hora de dejar de soñar con el hogar. Empieza a ahogarme.","ข้าว่าได้​เวลา​ลืม​ฝัน​ที่​จะ​กลับ​บ้าน​เกิด​แล้ว​ล่ะ มัน​เริ่ม​จะ​เหนี่ยวรั้ง​ข้า​เข้าไป​ทุกที","看來我得放棄安定下來的想法了，被綁住實在不太舒服。","Audio/Dialogue/Character/StrDex/Gameplay/D23_LevelUp_07.ogg","Audio/Dialogue/NPC/ParrotStrDex/D23_LevelUp_07_Parrot.ogg",4400
295,"Shadow1","Theopolis Prison's a child's playhouse compared to this. They sure don't make them like they used to.","La prison de Théopolis est un jardin d'enfants à côté de celle-ci. Ils ne les font plus comme avant, c'est sûr.","Im Vergleich hierzu ist das Gefängnis von Theopolis die reinste Puppenstube. Die sind auch nicht mehr das, was sie mal waren.","これと比べたらテオポリスの監獄はおままごとの家だ。昔より質が落ちているな。","테오폴리스 수용소는 이곳에 비하면 애들 장난이야. 요즘 감옥은 이 정도는 아니란 말이지.","A Prisão de Teópolis é brincadeira de criança perto disso. As coisas não são como antigamente.","Столичная тюрьма этой темнице не ровня. Знали бы подельники, как им повезло.","La Prisión de Teópolis es un juego de niños comparado a esto. Ya no las hacen como antes.","พอ​เทียบ​กับ​ที่​นี่ คุก​ธีโอโพลิส​มัน​ก็​ไม่​ต่าง​อะไร​จาก​สนาม​เด็ก​เล่น คุก​สมัย​นี้​ห่วย​กว่า​คุก​สมัย​ก่อน​เยอะ","費歐普羅斯的監獄與這裡相比根本就是玩具屋。看來他們在這裡是玩真的。","Audio/Dialogue/Character/DexInt/Event/Shadow_02.ogg","",10000
296,"Shadow2","I'm usually the one making the ghosts. Someone's been busy.","D'habitude, c'est moi qui les fais, les fantômes. Faut croire que quelqu'un a déjà fait mon boulot.","Für gewöhnlich erschaffe ICH die Geister. Hier hat jemand gute Arbeit geleistet.","いつもは俺が幽霊を生んでる側なんだがな。誰かが忙しく働いてるようだ。","원래 사람 잡는 일은 내 전문인데, 누군가 바쁘게 움직였던 모양이야.","Normalmente sou eu quem faz os fantasmas. Alguém andou bem ocupado.","Обычно жмуриков оставляю я. Тут кто-то славно потрудился.","Usualmente yo soy quien crea a los fantasmas. Alguien ha estado ocupado.","ปกติ​ข้า​จะ​เป็น​คน​ที่​ทำให้​เกิด​ผี​นะ มี​ใคร​กำลัง​ยุ่ง​อยู่​แน่ๆ","我通常是那個劊子手，看來這兒有人挺忙的。","Audio/Dialogue/Character/DexInt/Event/Shadow_03.ogg","",10000
297,"Shadow3","I've seen some dark places in my line of work, but this is something else.","J'en ai vu des endroits sombres dans ma profession, mais alors ça, c'est autre chose.","Mein Metier hat mich schon an einige düstere Orte geführt, doch das hier ist etwas anderes.","仕事上、陰気な場所は結構見てきたが、ここはその中でも格別だ。","지금까지 살면서 험악한 곳을 여러 번 가보았지만, 여기는 심상치 않아.","Eu já vi lugares muito sombrios na minha profissão, mas isso aqui é demais.","На своем веку я видел много злачных мест, но здесь что-то нечисто.","Mi trabajo me ha llevado a lugares oscuros, pero esto... ya es otro nivel.","ข้า​เคย​พบ​สถาน​ที่​ที่​มืดมน​มา​เยอะ​ใน​ชีวิต​การ​ทำงาน​ของ​ข้า แต่​นี่​มัน​ยิ่ง​กว่า​สถาน​ใด","我因為工作而曾經在一些不太乾淨的地方遊蕩，不過這裡完全是另一回事。","Audio/Dialogue/Character/DexInt/Event/Shadow_04.ogg","",10000
