"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
125,"LevelUp","{0} ({1}) is now level {2}","{0} ({1}) a atteint le niveau {2}.","{0} ({1}) hat Stufe {2} erreicht.","{0} （{1}）はレベル{2}になりました","{0}({1}) 님이 {2}레벨이 되었습니다.","{0} ({1}) chegou no nível {2}","{0} ({1}) достигает {2} уровня","{0} ({1}) es ahora nivel {2}","{0} ({1}) ขึ้นเลเวล {1} แล้ว","{0}（{1}）目前等級： {2}"
126,"AlreadyInPVPQueue","You must cancel your PvP queue first.","Vous devez d'abord vous retirer de la file d'attente PvP.","Du musst zunächst deine PvP-Warteschlange abbrechen.","先にPvPの待機状態をキャンセルしてください。","우선 PvP 대기열을 취소하십시오.","Você deve cancelar sua fila PvP antes.","Сначала вам необходимо покинуть PvP очередь.","Primero debes cancelar tu cola de espera JcJ.","คุณต้องยกเลิกคิว PvP ของคุณก่อน","必須先取消對戰排隊序列。"
127,"MissingRequiredQuestState","You do not have the required quest state.","Vous n'avez pas le statut de quête requis.","Du verfügst nicht über den erforderlichen Quest-Status.","必要なクエスト状態がありません。","필수 퀘스트 상태에 도달하지 못했습니다.","Você não tem o estado da missão necessário.","Вы не находитесь на требуемом этапе задания","No tienes el estado de misión requerido.","คุณยังไม่มีสถานะของภารกิจที่ต้องการ","尚未取得必要的任務。"
128,"FailedToJoinAnyInstances","Error: Failed to join any instances.","Erreur : impossible de rejoindre une instance.","Fehler: Das Betreten der Instanzen ist fehlgeschlagen.","エラー：どのインスタンスにも参加することができませんでした。","오류 발생. 인스턴스에 입장할 수 없습니다.","Erro: Falha ao entrar em qualquer instância.","Ошибка: Не удалось войти в область.","Error: Error al unirse a cualquier instancia.","เกิดข้อผิดพลาด: ไม่สามารถเข้าร่วมอินสแตนซ์ใดได้สำเร็จ","錯誤：無法進入。"
129,"FailedToJoinInstance","Error: Failed to join instance because: {0}","Erreur : impossible de rejoindre l'instance pour la raison suivante : {0}","Fehler: Das Betreten der Instanz ist fehlgeschlagen. Grund: {0}","エラー：インスタンスへの参加に失敗しました。原因：{0}","오류 발생: {0}(으)로 인해 인스턴스에 입장할 수 없습니다.","Erro: Falha ao entrar na instância porque: {0}","Ошибка: Не удалось войти в область: {0}","Error: Error al unirse a la instancia porque: {0}","เกิดข้อผิดพลาด: เข้าร่วมอินสแตนซ์ไม่สำเร็จเนื่องจาก: {0}","錯誤：無法進入，原因：{0}。"
130,"FailedToConnectToInstance","Failed to connect to instance","Échec de connexion à l'instance.","Verbindung zur Instanz konnte nicht hergestellt werden.","インスタンスへの接続に失敗しました","인스턴스에 접속할 수 없습니다","Falha ao conectar à instância.","Не удалось подключиться к области.","Error al conectar a la instancia.","การเชื่อมต่อกับอินสแตนซ์ล้มเหลว","與副本連線失敗。"
131,"FailedToApplyCurrency","Failed to apply item: {0}","Opération échouée. {0}","Anwendung des Gegenstands fehlgeschlagen: {0}","アイテムの適用に失敗しました：{0}","아이템 적용 실패: {0}","Falha ao aplicar o item: {0}","Не удалось применить предмет: {0}","Error al aplicar el objeto: {0}","ใช้งานไอเทมไม่สำเร็จ: {0}","使用物品失敗：{0}"
132,"TooManyGlobalItemLinks","You may not send more than {0} items in global chat.","Vous ne pouvez pas envoyer plus de {0} objets dans le tchat global.","Du darfst höchstens {0} Gegenstände im globalen Chat versenden.","グローバルチャットで{0}個を超えるアイテムを送信することはできません。","전체 채팅에서 아이템 {0}개 이상을 보낼 수 없습니다.","Você não pode enviar mais de {0} itens no chat global.","Вы не можете продать более {0}-х предметов в Общем чате","No puedes enviar más de {0} objetos en el chat global.","คุณสามารถส่งไอเทมในช่องแชทสาธารณะได้ไม่เกิน {0} ชิ้น","無法在世界聊天頻道內一次張貼超過{0}項道具的連結。"
133,"MutedUntilSeconds","Your account has been muted by a GM. You will be able to talk again in {0}.","Votre compte a été mis en sourdine par un GM. Vous pourrez parler de nouveau dans {0}.","Dein Konto wurde von einem GM stummgeschaltet. In {0} kannst du wieder sprechen.","あなたのアカウントはGMによりミュートされました。話せるようになるまで{0}。","GM이 본 계정의 채팅을 일시 정지했습니다. {0} 후에 다시 대화할 수 있습니다.","Sua conta foi silenciada por um GM. Você poderá falar novamente em {0}.","Ваш аккаунт был заглушен Администратором. Вы сможете писать в чат через {0}.","Tu cuenta ha sido silenciada por un GM. Podrás hablar nuevamente en {0}.","บัญชีของคุณถูก GM ปิดเสียง คุณจะสามารถพูดคุยได้อีกครั้งในอีก {0}","此帳號已被禁言，需在 {0} 之後才能再次發話。"
134,"MutedUntilSecondsConsole","Your account has been muted by a GM. You will be able to talk again in {0}. If you would like to discuss this, please send a PM to \""Support\"" via the website.","Votre compte a été mis en sourdine par un GM. Vous pourrez parler de nouveau dans {0}. Si vous souhaitez discuter de cela avec nous, rendez-vous sur le site web et envoyez un message privé à « Support ».","Dein Konto wurde von einem GM stummgeschaltet. In {0} kannst du wieder sprechen. Wenn du hierzu Fragen oder Anmerkungen hast, sende bitte eine Private Nachricht an \""Support\"" über die Website.","あなたのアカウントはGMによりミュートされました。話せるようになるまで{0}。この件に関してご意見があれば、ウェブサイト経由で「サポート」へメッセージを送信してください。","GM이 본 계정의 채팅을 일시 정지했습니다. {0} 후에 다시 대화할 수 있습니다. 이의가 있을 경우 웹사이트를 통해 \""지원\""에 개인 메시지를 보내 주시기 바랍니다.","Sua conta foi silenciada por um GM. Você poderá falar novamente em {0}. Se quiser discutir isso, por favor envie uma PM para \""Support\"" via website.","Ваш аккаунт был заглушен Администратором. Вы сможете писать в чат через {0}. Если вы хотели бы это обсудить, пожалуйста, отправьте приватное сообщение адресату \""Support\"" через веб-сайт.","Tu cuenta ha sido silenciada por un GM. Podrás hablar nuevamente en {0}. Si quieres discutir esto, envía un mensaje a \""Soporte\"" desde la página web.","บัญชีของคุณถูก GM ปิดเสียง คุณจะสามารถพูดคุยได้อีกครั้งในอีก {0} หากคุณต้องการพูดคุยเรื่องนี้ กรุณาส่งข้อความส่วนตัวไปยัง \""ฝ่ายบริการ\"" ผ่านทางเว็บไซต์","此帳號已被禁言，需在 {0} 之後才能再次發話。"
135,"ObaPlayerJoined","You must be brave or stupid to think you might loot my treasure and live. Either way, I applaud you!","Soit tu as du courage, soit tu es stupide de penser que tu peux prendre mon trésor et t'en tirer comme ça. Quoi qu'il en soit, je te félicite !","Ah, Ihr wollt Euch an meinem Schatz vergreifen und denkt, Ihr kommt dabei auch noch mit dem Leben davon? Sei es Mut oder Dummheit, mein Applaus gebührt Euch!","我が宝を盗み生きて帰れると考えているとは、勇敢なのか、愚かなのか。いずれにせよ、称賛を贈ろう！","내 보물을 훔치고도 멀쩡할 거라 생각하다니. 용감하거나 멍청한 녀석이군. 아무튼 대단해!","Você deve ser corajoso ou estúpido demais se pensa que vai levar meu tesouro daqui e viver. De qualquer forma, eu te aplaudo!","Ты должно быть очень храбрый или глупый, чтобы подумать, что можешь забрать мои сокровища и выжить. В любом случае, я приветствую тебя!","Debes ser valiente o estúpido si piensas que puedes robar mi tesoro y sobrevivir. ¡En cualquier caso, te aplaudo!","เจ้า​คงจะ​กล้า​หาญ​ไม่​ก็​โง่​นัก​ที่​คิด​ว่า​จะ​มา​ปล้น​สมบัติ​ของ​ข้า​แล้ว​รอด​ไป​ได้ ไม่​ว่า​อย่างไร​ข้า​ก็​ปรบ​มือ​ให้​กับ​เจ้า​!","快點，蠢蛋！"
136,"ObaDoorUnlocked","Proceed, exile, and seize what you can, while you can.","Continue, exilé, et prends ce que tu peux tant que tu le peux...","Immer weiter, Verbannter! Nehmt, was Ihr tragen könnt – solange Ihr es noch könnt.","進め、追放者よ。拾えるものを拾っておくがいい。拾えるうちにな。","나아가게, 유배자여. 여유가 있는 동안에는 뭐든 골라잡으라고.","Prossiga, exilado, e pegue o que puder, enquanto puder.","Пройди вперёд, изгнанник, и попробуй взять, что можешь, и пока можешь.","Procede, exiliado y toma lo que puedas, mientras puedas.","ไป​เถิด เอ็กไซล์ จง​กอบโกย​ให้​เต็ม​ที่​ขณะ​ที่​เจ้า​ยัง​ไม่​สิ้น​ลม","你可以前進了，蠢蛋！"
137,"ObaBeginDeathCount","The corruption is growing. Hurry now, before it consumes you as it did me.","La corruption s'étend. Dépêche-toi avant qu'elle ne te dévore comme elle m'a dévoré.","Die Verderbtheit nimmt zu. Rasch, bevor sie Euch auffrisst wie schon mich zuvor.","腐敗が広がっている。急げ、私のように飲み込まれる前にな。","타락이 점점 고개를 들고 있어. 나처럼 사로잡히고 싶지 않으면 어서 서둘러.","A corrupção está crescendo. Apresse-se, antes que ela te consuma como fez comigo.","Осквернение разрастается. Поторопись, прежде чем оно поглотит тебя так, как меня.","La corrupción está creciendo. Ahora date prisa, antes que te consuma como lo hizo conmigo.","มลทิน​กำลัง​เพิ่มพูน เร็ว​เข้า ก่อน​ที่​มัน​จะ​กลืน​กิน​เจ้า​อย่าง​ที่​มัน​ได้​กลืน​กิน​ข้า​ไป","準備受死吧，蠢蛋！"
138,"ObaFinalCountdown","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}！"
139,"ObaKillPlayer","Bah! You are unworthy to bear my legacy. Feed the corruption with your corpse. ","Bah ! Tu n'es pas digne de mon héritage. Que ton cadavre nourrisse la corruption. ","Pah! Ihr seid meines Vermächtnisses nicht würdig. Nährt die Verderbtheit mit Eurem Leichnam. ","ふん！貴様は我が宝を持つに値しない。死んで腐敗に喰われるがいい。","하! 내 유산을 감당하기에 모자란 친구로군. 자네의 시체는 타락의 양분이 되겠구만.","Aah! Você é indigno de levar meu legado. Alimente a corrupção com seu cadáver. ","Ба-х! Ты не достоин нести моё наследие. Скверна поглотит твой труп.","¡Bah! No eres digno de asumir mi legado. Alimenta a la corrupción con tu cadáver.","หึ! เจ้าไม่คู่ควรกับมรดกของข้า จงกลายเป็นอาหารแก่มลทินเสีย","死吧，蠢蛋！"
140,"Oba75PercentOxygen","The Nightmare has your scent. Now it hungers for your flesh.","Le Cauchemar connaît ton odeur. Désormais, il a faim de ta chair.","Der Albtraum hat Euch gewittert. Nun giert er nach Eurem Fleisch.","ナイトメアは貴様の匂いを覚えたぞ。貴様の肉を喰いたがっている。","악몽이 자네의 체취를 맡았어. 자네를 먹어치우고 싶은 모양이군.","O Pesadelo tem seu cheiro. Agora ele tem fome da sua carne.","Кошмар почуял тебя. Теперь он жаждет твоей плоти.","La Pesadilla tiene tu aroma. Ahora ansía tu carne.","ฝัน​ร้าย​มัน​ได้​กลิ่น​ของ​เจ้า​แล้ว บัดนี้​มัน​กระหาย​เนื้อ​เจ้า​ยิ่ง​นัก","我憐憫你，蠢蛋！"
141,"Oba50PercentOxygen","Is your cup half empty or half full, exile?","Ton verre est-il à moitié vide ou à moitié plein ?","Ist Euer Kelch halb leer oder halb voll, Verbannter?","追放者よ、もう半分か？それともまだ半分か？","필멸자여, 자네의 잔은 반쯤 비어있는가, 아니면 반쯤 차 있는가?","Seu copo está meio vazio ou meio cheio, exilado?","Твоя чаша наполовину пуста или наполовину полна, изгнанник?","¿Está tu copa medio llena o medio vacía, exiliado?","เจ้า​คิด​ว่า​เจ้ามี​โอกาส​รอด​ครึ่ง​หนึ่ง​หรือ​ตาย​ครึ่ง​หนึ่ง​เล่า เอ็กไซล์​?","時間快用盡了，蠢蛋！"
142,"Oba25PercentOxygen","Disappointing. It seems corruption will get the better of you after all. ","Décevant. Il semble que la corruption finira par t'avoir. ","Enttäuschend. Es scheint, als würde die Verderbtheit Euch nun doch übermannen. ","残念だ。結局貴様も腐敗にやられてしまうようだな。","실망스럽군. 조만간 타락이 자네를 압도하게 될지도 모르겠어.","Decepcionante. Parece que a corrupção levará o melhor de você no fim das contas. ","Разочарование. Кажется, скверна получит лучших из вас рано или поздно.","Decepcionante. Pareciera que la corrupción se apoderará de ti después de todo.","น่า​ผิด​หวัง​นัก เจ้า​คง​จะ​พ่าย​แพ้​ให้​แก่​มลทิน​กระมัง","你的死期到了，蠢蛋！"
143,"CowardsTrialNextWave","The darkness looms forebodingly...","Une obscurité menaçante envahit la pièce…","Die Dunkelheit verheißt nichts Gutes ...","嫌な予感のする闇だ…","불길한 어둠이 스며듭니다...","A escuridão paira iminente...","Темнота вырисовывается зловеще...","La oscuridad se avecina ominosamente…","ความมืดปรากฏเป็นลางร้าย...","在黑暗中隱約出現了奇怪的影子..."
144,"CowardsTrialRoomClear","The room grows still and quiet...","Le silence s'installe…","Stille kehrt in den Raum ein ...","部屋は静まり返る…","방이 점점 조용해집니다...","A sala cresce firme e silenciosa...","В комнате стало тихо и спокойно...","La habitación se torna quieta y silenciosa…","ห้องหยุดนิ่งสงัดงัน...","整個房間回復了寂靜..."
145,"CowardsTrialLevelClear","The oppressive atmosphere slowly dissipates...","L'atmosphère oppressante se dissipe peu à peu…","Die beklemmende Atmosphäre schwindet langsam ...","重苦しい雰囲気が次第に霧散して行く…","사나운 기운이 서서히 옅어집니다...","A atmosfera opressora dissipa lentamente...","Гнетущая атмосфера медленно рассеивается...","La atmósfera opresiva se disipa lentamente...","บรรยากาศกดดันค่อยๆ สลายไปอย่างช้าๆ...","狂虐的氣息慢慢消散..."
146,"VaalKillOversoul","You need to kill the Vaal Oversoul.","Vous devez tuer l'Âme souveraine Vaal.","Ihr müsst die Vaal-Überseele töten.","ヴァールオーバーソウルを倒す必要があります。","바알 신령을 죽이십시오.","Você precisa matar o Sobrealma Vaal.","Вам нужно убить Вседушу ваал","Tienes que matar al Alma Suprema Vaal.","คุณต้องสังหาร มหาวิญญาณแห่งวาล์","你必須先殺死瓦爾超靈。"
147,"VaalDeliverAmulets","You need to give the bandit amulets to Eramir and acquire the Apex.","Vous devez donner les amulettes des bandits à Éramir pour obtenir l'Apex.","Ihr müsst die Banditen-Amulette Eramir bringen und die Spitze erhalten.","盗賊達のアミュレットをエラミールに渡し、エイペックスを手に入れる必要があります。","도적의 목걸이를 에라미어에게 가져다 주고 정점을 획득하십시오.","Você precisa dar os amuletos dos bandidos para Eramir e adquirir o Ápice.","Вы должны отдать бандитские амулеты Эрамиру и получить Верхушку","Tienes que entregarle los amuletos de los bandidos a Eramir y obtener la Cúspide.","คุณต้องมอบ สร้อยของจ้าวจอมโจร ทั้งสามให้กับ เอระเมียร์ แล้วรับ ส่วนยอด","你必須要將盜賊頭目們的護身符交給艾米爾來獲得頂尖之錐。"
148,"VaalAcquireAmulets","You need to acquire the amulets of the bandit lords.","Vous devez mettre la main sur les amulettes des Seigneurs bandits.","Ihr müsst die Amulette der Banditenfürsten beschaffen.","盗賊の長達のアミュレットを手に入れる必要があります。","도적 우두머리의 목걸이를 획득하십시오.","Você precisa adquirir os amuletos dos lordes bandidos.","Вы должны забрать амулеты у главарей разбойников.","Tienes que obtener los amuletos de los señores bandidos.","คุณต้องหา สร้อย ของเหล่า จ้าวจอมโจร","你必須要取回盜賊頭目們的護身符。"
149,"VaalGetApexDex","You need to take the Apex from Kraityn.","Vous devez obtenir l'Apex auprès de Kraityn.","Ihr müsst die Spitze von Kraityn nehmen.","クレイティンからエイペックスを手に入れる必要があります。","크레이틴의 정점을 획득하십시오.","Você precisa tomar o Ápice de Kraityn.","Вам нужно взять Верхушку у Крайтина","Tienes que tomar la Cúspide de Kraityn.","คุณต้องรับส่วนยอดจาก เครทิน","你必須從克雷頓那取得頂尖之錐。"
150,"VaalGetApexStr","You need to take the Apex from Oak.","Vous devez obtenir l'Apex auprès d'Orme.","Ihr müsst die Spitze von Oak nehmen.","オークからエイペックスを手に入れる必要があります。","오크의 정점을 획득하십시오.","Você precisa tomar o Ápice de Oak.","Вам нужно взять Верхушку у Дуба","Tienes que tomar la Cúspide de Oak.","คุณต้องรับส่วนยอดจาก โอ๊ค","你必須從歐克那取得頂尖之錐。"
151,"VaalGetApexInt","You need to take the Apex from Alira.","Vous devez obtenir l'Apex auprès d'Alira.","Ihr müsst die Spitze von Alira nehmen.","アリーラからエイペックスを手に入れる必要があります。","알리라의 정점을 획득하십시오.","Você precisa tomar o Ápice de Alira.","Вам нужно взять Верхушку у Алиры","Tienes que tomar la Cúspide de Alira.","คุณต้องรับส่วนยอดจาก อลิร่า","你必須從阿莉亞那取得頂尖之錐。"
152,"VaalGetApexTown","You need to take the Apex from Eramir.","Vous devez obtenir l'Apex auprès d'Éramir.","Ihr müsst die Spitze von Eramir nehmen.","エラミールからエイペックスを手に入れる必要があります。","에라미어의 정점을 획득하십시오.","Você precisa tomar o Ápice de Eramir.","Вам нужно взять Верхушку у Эрамира","Tienes que tomar la Cúspide de Eramir.","คุณต้องรับส่วนยอดจาก เอระเมียร์","你必須從艾米爾那取得頂尖之錐。"
153,"MonsterRemaining1","1 monster remains.","Il reste 1 monstre.","1 Monster übrig.","モンスター残り1体。","몬스터 1개체가 남아있습니다.","1 monstro restante.","Остался 1 монстр","Queda 1 monstruo.","เหลือมอนสเตอร์อีก 1 ตัว","剩餘 1 隻怪物。"
154,"MonstersRemainingN","{0} monsters remain.","Il reste {0} monstres.","{0} Monster übrig.","モンスター残り{0}体。","몬스터 {0}개체가 남아있습니다.","{0} monstros restantes.","Осталось монстров: {0}.","Quedan {0} monstruos.","เหลือมอนสเตอร์อีก {0} ตัว","剩餘 {0} 隻怪物。"
155,"MonstersRemainingMoreThan50","More than 50 monsters remain.","Il reste plus de 50 monstres.","Mehr als 50 Monster übrig.","モンスター残り50体以上。","몬스터가 50개체 이상 남아있습니다.","Mais de 50 monstros restantes.","Осталось более 50 монстров.","Quedan más de 50 monstruos.","เหลือมอนสเตอร์มากกว่า 50 ตัว","剩餘超過 50 隻怪物。"
156,"PlayerDeathCount1","You have died 1 time.","Votre personnage est mort 1 fois.","Ihr seid einmal gestorben.","あなたは1回死亡しています。","1회 죽었습니다.","Você morreu 1 vez.","Вы погибли 1 раз.","Has muerto 1 vez.","คุณตายมาทั้งหมด 1 ครั้ง","你一共死了 1 次。"
157,"PlayerDeathCountN","You have died {0} times.","Votre personnage est mort {0} fois.","Ihr seid {0}-mal gestorben.","あなたは{0}回死亡しています。","{0}회 죽었습니다.","Você morreu {0} vezes.","Вы погибли {0} раз.","Has muerto {0} veces.","คุณตายมาทั้งหมด {0} ครั้ง","你一共死了 {0} 次。"
158,"PlayerKillCountN","You have killed {0} monsters.","Vous avez tué {0} monstres.","Ihr habt {0} Monster getötet.","あなたは{0}体のモンスターを倒しました。","{0}개체의 몬스터를 죽였습니다.","Você matou {0} monstros.","Вы уничтожили {0} монстров.","Has matado {0} monstruos.","คุณสังหารมอนสเตอร์ไปแล้ว {0} ตัว","你一共殺死了 {0} 隻怪物。"
159,"PvPStats1v1","1v1 W/L/D: {0}/{1}/{2}","1v1 V/D/N : {0}/{1}/{2}","1v1 S/N/U: {0}/{1}/{2}","1v1 勝/負/分：{0}/{1}/{2}","1v1 승/패/무: {0}/{1}/{2}","1v1 V/D/E: {0}/{1}/{2}","1v1 W/L/D: {0}/{1}/{2}","1c1 G/P/E: {0}/{1}/{2}","1v1 ชนะ/แพ้/เสมอ: {0}/{1}/{2}","1v1 勝 / 敗 / 和：{0} / {1} / {2}"
160,"PvPStats3v3","3v3 W/L/D: {0}/{1}/{2}","3v3 V/D/N : {0}/{1}/{2}","3v3 S/N/U: {0}/{1}/{2}","3v3 勝/負/分：{0}/{1}/{2}","3v3 승/패/무: {0}/{1}/{2}","3v3 V/D/E: {0}/{1}/{2}","3v3 W/L/D: {0}/{1}/{2}","3c3 G/P/E: {0}/{1}/{2}","3v3 ชนะ/แพ้/เสมอ: {0}/{1}/{2}","3v3 勝 / 敗 / 和：{0} / {1} / {2}"
161,"PvPPlayerJoinedTeam","{0} has joined the {1} team.","{0} a rejoint l'équipe {1}.","{0} ist dem Team {1} beigetreten.","{0}が{1}チームに加わりました。","{0} 님이 {1} 팀에 합류했습니다.","{0} entrou na equipe {1}.","{0} присоединился к {1} команде.","{0} se ha unido al equipo {1}.","{0} เข้าร่วมทีม {1} แล้ว","{0} 加入了 {1} 隊。"
162,"PvPNotEnoughPlayers","Match failed to start. Not enough players joined.","Impossible de lancer le match : pas assez de joueurs.","Match konnte nicht gestartet werden. Es sind nicht genügend Spieler beigetreten.","試合の開始に失敗しました。プレイヤー人数が足りませんでした。","경기를 시작하지 못했습니다. 플레이어 수가 부족합니다.","Falha ao iniciar a partida. Não entraram jogadores suficientes.","Не удалось начать матч. Присоединилось недостаточно игроков.","Falló el inicio del combate. No se unieron los suficientes jugadores.","เริ่มการแข่งขันไม่สำเร็จ มีผู้เล่นเข้าร่วมไม่เพียงพอ","比賽無法開始，因為加入的玩家數量不足。"
163,"PvPPlayerKilled","{0} has been killed by {1}.","{0} s'est fait tuer par {1}.","{0} wurde von {1} getötet.","{0}が{1}によって倒されました。","{0} 님이 {1}에 의해 사망했습니다.","{0} foi morto por {1}.","{0} был убит {1}.","{1} ha matado a {0}.","{0} ถูก {1} สังหาร","{1} 殺死了 {0}。"
164,"PvPPartyTooLarge","Unable to join PvP: too many party members for this PvP type.","Impossible de rejoindre le PvP : votre groupe est trop grand pour ce type de PvP.","Konnte PvP nicht beitreten: Zu viele Gruppenmitglieder für diesen PvP-Typ.","PvPに参加することができません：この種類のPvPに参加するにはパーティーメンバーが多すぎます。","PvP에 들어갈 수 없습니다. 본 PvP 종류에 들어가기에 파티원이 너무 많습니다.","Incapaz de juntar-se ao PvP: Membros demais do grupo para esse tipo de PvP.","Невозможно присоединиться к PvP: слишком много игроков группы для этого типа PvP.","No es posible unirse a JcJ: hay demasiados miembros en el grupo para este tipo de combate JcJ.","ไม่สามารถเข้าร่วม PVP ได้: มีสมาชิกปาร์ตี้มากเกินไปสำหรับ PvP ประเภทนี้","隊伍人數過多，因此無法加入此種對戰類別。"
165,"PvPPlayerAlreadyInQueue","Unable to join PvP: You are already queued for PvP.","Impossible de rejoindre le PvP : vous êtes déjà en file d'attente.","Konnte PvP nicht beitreten: Du bist bereits in einer PvP-Warteschlange.","PvPに参加することができません：既にPvPの待機状態です。","PvP에 들어갈 수 없습니다. 이미 PvP 대기열에 들어가 있습니다.","Incapaz de juntar-se ao PvP: Você já está na fila do PvP.","Невозможно присоединиться к PvP: вы уже находитесь в очереди PvP","No es posible unirse a JcJ: ya te encuentras en cola para JcJ.","ไม่สามารถเข้าร่วม PVP ได้: คุณได้ถูกจัดคิวไว้แล้วสำหรับ PVP","無法加入：你已經在一個序列中。"
166,"PvPPartyMemberAlreadyInQueue","Unable to join PvP: A party member is already queued for PvP.","Impossible de rejoindre le PvP : un membre de votre groupe est déjà en file d'attente.","Konnte PvP nicht beitreten: Ein Gruppenmitglied ist bereits in einer PvP Warteschlange.","PvPに参加することができません：パーティーメンバーが既にPvPの待機状態です。","PvP에 들어갈 수 없습니다. 파티원이 이미 PvP 대기열에 들어가 있습니다.","Incapaz de juntar-se ao PvP: Um membro do grupo já está na fila do PvP.","Невозможно присоединиться к PvP: член группы уже находится в очереди PvP","No es posible unirse a JcJ: un miembro del grupo ya está en cola para JcJ.","ไม่สามารถเข้าร่วม PVP ได้: มีสมาชิกปาร์ตี้ได้ถูกจัดคิวไว้สำหรับ PvP ประเภทนี้","無法加入：你的隊伍成員已經在一個序列中。"
167,"PvPPlayerTooFarQuest","Unable to join PvP: You have progressed beyond the quest limit for this PvP type.","Impossible de rejoindre le PvP : vous avez dépassé la limite de quêtes pour ce type de PvP.","Konnte PvP nicht beitreten: Du bist bereits weiter als das Quest-Limit für diesen PvP-Typ.","PvPに参加することができません：この種類のPvPのクエスト上限を超えています。","PvP에 들어갈 수 없습니다. 본 PvP 종류의 퀘스트 제한을 초과했습니다.","Incapaz de juntar-se ao PvP: Você progrediu além do limite da missão para esse tipo de PvP.","Невозможно присоединиться к PvP: вы перешли за предел сложности для данного типа PvP","No es posible unirse a JcJ: has progresado más allá del límite de misión para este tipo de JcJ.","ไม่สามารถเข้าร่วม PVP ได้: คุณได้ผ่านภารกิจมามากเกินไปสำหรับ PVP ประเภทนี้","無法加入：你已經超過了此對戰類別的難度限制。"
168,"PvPPartyMemberTooFarQuest","Unable to join PvP: A party member has progressed beyond the quest limit for this PvP type.","Impossible de rejoindre le PvP : un membre de votre groupe a dépassé la limite de quête pour ce type de PvP.","Konnte PvP nicht beitreten: Ein Gruppenmitglied ist bereits weiter als das Quest-Limit für diesen PvP-Typ.","PvPに参加することができません：パーティーメンバーがこの種類のPvPのクエスト上限を超えています。","PvP에 들어갈 수 없습니다. 파티원이 본 PvP 종류의 퀘스트 제한을 초과했습니다.","Incapaz de juntar-se ao PvP: Um membro do grupo progrediu além do limite da missão para esse tipo de PvP.","Невозможно присоединиться к PvP: член группы перешел за пределы сложности для данного типа PvP","No es posible unirse a JcJ: un miembro del grupo ha progresado más allá del nivel límite de misión para este tipo de JcJ.","ไม่สามารถเข้าร่วม PVP ได้: สมาชิกปาร์ตี้มีระดับความสามารถเกินขีดจำกัดระดับความยากสำหรับ PVP ประเภทนี้","無法加入：你的隊伍成員已經超過了此對戰類別的難度限制。"
169,"PvPPlayerTooHighLevel","Unable to join PvP: You are above the level cap for this PvP type.","Impossible de rejoindre le PvP : votre niveau est trop élevé pour ce type de PvP.","Konnte PvP nicht beitreten: Du bist über der Stufenbegrenzung für diesen PvP-Typ.","PvPに参加することができません：この種類のPvPのレベル上限を超えています。","PvP에 들어갈 수 없습니다. 본 PvP 종류의 레벨 제한을 초과했습니다.","Incapaz de juntar-se ao PvP: Você está acima do nível máximo para esse tipo de PvP.","Невозможно присоединиться к PvP: ваш уровень выше требуемого для данного типа PvP","No es posible unirse a JcJ: estás por encima del nivel máximo para este tipo de JcJ.","ไม่สามารถเข้าร่วม PVP ได้: คุณมีระดับเลเวลเหนือเลเวลสูงสุดสำหรับ PVP ประเภทนี้","無法加入：你已經超過了此對戰類別的等級上限。"
170,"PvPPartyMemberTooHighLevel","Unable to join PvP: A party member is above the level cap for this PvP type.","Impossible de rejoindre le PvP : le niveau d'un des membres de votre groupe est trop élevé pour ce type de PvP.","Konnte PvP nicht beitreten: Ein Gruppenmitglied ist über der Stufenbegrenzung für diesen PvP-Typ.","PvPに参加することができません：パーティーメンバーがこの種類のPvPのレベル上限を超えています。","PvP에 들어갈 수 없습니다. 파티원이 본 PvP 종류의 레벨 제한을 초과했습니다.","Incapaz de juntar-se ao PvP: Um membro do grupo está acima do nível máximo para esse tipo de PvP.","Невозможно присоединиться к PvP: уровень члена группы выше требуемого для данного типа PvP","No es posible unirse a JcJ: un miembro del grupo está por encima del nivel máximo para este tipo de JcJ.","ไม่สามารถเข้าร่วม PVP ได้: สมาชิกปาร์ตี้มีระดับเลเวลเหนือระดับสูงสุดสำหรับ PVP ประเภทนี้","無法加入：你的隊伍成員已經超過了此對戰類別的等級上限。"
