"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","SetId","Objective (English)","Objective (French)","Objective (German)","Objective (Japanese)","Objective (Korean)","Objective (Portuguese)","Objective (Russian)","Objective (Spanish)","Objective (Thai)","Objective (Traditional Chinese)","i32","bool","HideAchievementItems","bool","MinCompletedItems","TwoColumnLayout","ShowItemCompletionsAsOne","string","SoftcoreOnly","HardcoreOnly","bool","string"
599,"IncursionCompleteEncounters6","Complete these Encounters VI","Achevez ces rencontres VI","Absolviert folgende Gefechte VI","Complete these Encounters VI","인카운터 완료하기 VI","Complete estes Encontros VI","События VI","Completa estos Encuentros VI","จบชุดภารกิจ Encounter VI","古瓦爾神話 VI",22,"Complete each of the following Encounters.","Achevez chacune des rencontres suivantes :","Absolviert jedes der folgenden Gefechte.","Complete each of the following Encounters.","다음 인카운터를 전부 완료하십시오.","Complete cada um dos seguinte Encontros.","Выполните перечисленные действия в игре.","Completa cada uno de los siguientes Encuentros.","จบ Encounter แต่ละจุดต่อไปนี้","完成以下的遭遇。",39187,"","","",0,"","","","","","",""
600,"IncursionEndgameGrinds","Complete Endgame Grinds","Routines de end-game","Absolviert Endgame-Gefechte","Complete Endgame Grinds","엔드게임 콘텐츠 완료하기","Complete Tarefas Avançadas","Высокоуровневые испытания","Completa Tareas Avanzadas de Final del Juego","จบ Endgame Grind","好事多磨",22,"Complete any 4 of these encounters the specified number of times.","Accomplissez 4 des rencontres suivantes autant de fois qu'indiqué :","Absolviert 4 dieser Gefechte folgende Male.","Complete any 4 of these encounters the specified number of times.","다음 4개의 인카운터를 제시된 횟수만큼 완료하십시오.","Complete 4 dos seguinte encontros o número específico de vezes.","Выполните 4 любых задания указанное количество раз.","Completa 4 de estos encuentros el número especificado de veces.","จบ Encounter 4 ตัวจากที่มีให้เลือกต่อไปนี้","完成以下遭遇次數達到指定數量。",57316,"","","",4,"",1,"","","","",""
601,"Flashback3ReachLevel35","Reach level 35","Atteignez le Niveau 35","Erreicht die Stufe 35","Reach level 35","35레벨 도달하기","Atinja o Nível 35.","Достичь 35 уровня","Alcanza nivel 35","เลเวลถึง 35","三五而立",23,"Reach level 35.","Atteignez le niveau 35.","Erreicht die Stufe 35.","Reach level 35.","35레벨에 도달하십시오.","Atinja o Nível 35.","Достигните 35 уровня.","Alcanza nivel 35.","เลเวลถึง 35","將角色提升等級至 35。",20940,"",1,"",0,1,"","","","","",""
602,"DelveMineNode","Complete any Delve Encounter","Premiers pas","Absolviert eine unterirdische Begegnung","Complete any Delve Encounter","모든 탐광 인카운터 완료하기","Complete qualquer Encontro Delve","Открыть любой узел в шахте","Competa cualquier encuentro de Delve","ผ่านการเผชิญหน้าใน Delve","見習礦工",24,"Complete any Encounter inside the Azurite Mines.","Achevez n'importe quelle Rencontre dans la Mine d'Azurite.","Absolviert eine beliebige unterirdische Begegnung in der Azuritmine.","Complete any Encounter inside the Azurite Mines.","남동석 광산의 모든 인카운터를 완료하십시오.","Complete qualquer Encontro dentro das Minas de Azurita.","Откройте любой узел в Азуритовой шахте (завершив сражение).","Completa cualquier encuentro dentro de la Mina de Azurita.","ผ่านการเผชิญหน้าใน เหมืองอะซูไรต์","玩成任何在碧藍礦坑內的事件。",16184,"",1,"",0,1,"","","","","",""
603,"DelveNikoQuest","Complete Niko's Quests","Niko le Dément","Schließt Nikos Quests ab","Complete Niko's Quests","니코의 퀘스트 완료하기","Complete as Missões de Niko","Завершить задания Нико","Completa las misiones de Niko","จบเควสของ Niko","瘋狂尼科任務道",24,"Complete the quests given to you by Niko the Mad.","Terminez les quêtes que vous donne Niko.","Schließt die Quests von Niko dem Verrückten ab.","Complete the quests given to you by Niko the Mad.","광인 니코가 주는 퀘스트들을 완료하십시오.","Complete as missões dadas por Niko, o Louco.","Завершите задания, которые вам поручил Нико Безумный.","Completa las misiones que te encomiende Niko el Loco.","จบเควสที่ได้รับจาก Niko และ Mad","完成狂人尼科交與你的任務。",40396,"",1,"",0,1,"","","","","",""
604,"DelveDefeatGods","Defeat these Gods","Terrassez ces Dieux","Vernichtet diese Götter","Defeat these Gods","신들 물리치기","Derrote esses Deuses","Победить богов","Derrota a estos Dioses","สยบเทพเหล่านี้","地下三尺有神明",24,"Defeat each of the following Gods.","Terrassez chacun des Dieux suivants :","Vernichtet jeden der folgenden Götter.","Defeat each of the following Gods.","다음 신들을 전부 물리치십시오.","Derrote cada um dos seguinte Deuses.","Победите каждого из перечисленных богов.","Derrota a cada uno de los siguientes Dioses.","สยบเทพดังต่อไปนี้","擊敗下列每個神。",58757,"","","",0,"","","","","","",""
605,"DelveMultipleEncountersJewelry","Complete Delve Encounters I","Rencontres souterraines I","Absolviert unterirdische Gefechte I","Complete Delve Encounters I","탐광 인카운터 완료하기 I","Complete Encontros Delve I","События в шахте I","Completa encuentros de Delve I","ผ่านการเผชิญหน้าใน Delve I","掘對有精神I",24,"Complete 10 Delve Encounters that contain Jewellery Chests.","Achevez 10 rencontres souterraines dans lesquelles se trouvent des coffres à bijoux.","Schließt 10 unterirdische Gefechte ab, die Schmucktruhen beinhalten.","Complete 10 Delve Encounters that contain Jewellery Chests.","장신구 상자가 포함된 10개의 탐광 인카운터를 완료하십시오.","Complete 10 Encontros Delve que contenham Baús de Joias.","Завершите 10 сражений в шахте, в награду за которые вы получите сундуки с бижутерией.","Completa 10 encuentros de Delve que contengan cofres de joyería.","ผ่านการเผชิญใน Delve ที่มีกล่องเครื่องประดับ 10 ครั้ง","完成 10 個含有飾品寶箱的掘獄事件。",50384,"",1,"",0,1,"","","","","",""
606,"DelveVaalBosses","Defeat Vaal Bosses","Tuez des Boss vaal","Vernichtet Vaal-Bosse","Defeat Vaal Bosses","바알 보스 물리치기","Derrote os Chefes Vaal","Победить боссов ваал","Derrota Jefes Vaal","สยบบอส Vaal","說啥呢？瓦爾頭目",24,"Defeat 10 Vaal Side Area Bosses.","Tuez 10 boss dans des zones annexes vaal.","Vernichtet 10 Bosse aus Vaal-Nebengebieten.","Defeat 10 Vaal Side Area Bosses.","바알 부가 지역의 보스 10명을 물리치십시오.","Derrote 10 Chefes de Áreas Paralelas Vaal","Победите 10 боссов в побочных областях ваал.","Derrota 10 jefes de áreas secundarias Vaal.","สยบบอสในพื้นที่ Vaal ให้ครบ 10 ตน","擊敗 10 個瓦爾區域的頭目。",51849,"",1,"",0,1,"","","","","",""
607,"DelveAzuriteEncounter","Complete Azurite Encounter","Rencontre d'Azurite","Schließt ein Azurit-Gefecht ab","Complete Azurite Encounter","남동석 인카운터 완료하기","Complete o Encontro Azurite","Завершить узел с азуритом","Completa el encuentro de Azurita","ผ่าน Azurite","碧藍農場",24,"Complete an Azurite Vault or Azurite Fissure.","Terminez une Voûte d'Azurite ou une Crevasse d'Azurite.","Schließt ein Gefecht in einem Azuritgewölbe oder einem Azuritspalt ab.","Complete an Azurite Vault or Azurite Fissure.","남동석 금고실 혹은 남동석 균열을 완료하십시오.","Complete um Cofre Azurita ou Fissura Azurita.","Завершите Азуритовое хранилище или Азуритовую трещину в шахте.","Completa una Cámara de Azurita o una Fisura de Azurita","ผ่าน Azurite Vault หรือ Azurite Fissure","完成碧藍寶庫或碧藍裂痕。",36317,"",1,"",0,1,"","","","","",""
608,"DelveReachLevel100","Reach Depth Level","Les Profondeurs de la Mine","Erreicht Tiefenlevel","Reach Depth Level","채굴 레벨 달성하기","Chegue no Nível de Profundidade","Достичь глубины","Alcanza este nivel de profundidad","ดิ่งลึก","一百層地獄",24,"Reach Depth Level 100 in your Mine.","Atteignez le 100e niveau de profondeur dans la Mine d'Azurite.","Erreicht in Eurer Mine einen Tiefenlevel von 100.","Reach Depth Level 100 in your Mine.","광산에서 채굴 100레벨을 달성하십시오.","Atinja o Nível 100 de Profundidade em sua mina.","Доберитесь до 100 уровня глубины в вашей шахте.","Alcanza un nivel de profundidad igual a 100 en tu mina.","ไปให้ถึงระดับความลึกที่ 100 ในเหมืองของคุณเอง","到達掘獄深度 100。",32114,"",1,"",0,1,"","","","","",""
609,"DelveDynamiteWall","Destroy Walls","Démolition","Zerstört Wände","Destroy Walls","벽 파괴하기","Destrua Paredes","Уничтожить стены","Destruye Paredes","ทำลายกำแพง","推倒這堵牆！",24,"Destroy 100 Walls inside the Azurite Mines.","Démolissez 100 murs à l'intérieur de la Mine d'Azurite.","Zerstört 100 Wände in der Azuritmine.","Destroy 100 Walls inside the Azurite Mines.","남동석 광산에 있는 벽 100개를 파괴하십시오.","Destrua 100 Paredes dentro das Minas de Azurita.","Взорвите 100 стен в Азуритовой шахте.","Destruye 100 paredes dentro de las Minas de Azurita.","ทำลายกำแพงในเหมือง Azurite ให้ครบ 100 แห่ง","摧毀碧藍礦坑內 100 座牆。",30205,"",1,"",0,1,"","","","","",""
610,"DelveDefeatMonsters","Defeat following Monsters I","Tuez ces monstres I","Vernichtet folgende Monster I","Defeat following Monsters I","몬스터 물리치기 I","Derrote os seguinte Monstros I","Победить монстров I","Derrota los siguientes monstruos I","สยบมอนสเตอร์ I","有怪獸纏著我I",24,"Defeat each of the following rare monsters.","Tuez chacun des monstres rares suivants :","Vernichtet jedes der folgenden seltenen Monster.","Defeat each of the following rare monsters.","다음 희귀 몬스터를 전부 물리치십시오.","Derrote cada um dos seguintes monstros Raros.","Победите каждого из перечисленных редких монстров.","Derrota a cada uno de los siguientes monstruos raros.","สยบมอนสเตอร์ระดับแรร์ดังต่อไปนี้","擊敗下列稀有怪物。",22959,"","","",0,1,"","","","","",""
611,"DelveActBosses","Defeat these Act Bosses","Tuez ces Boss d'acte","Vernichtet diese Aktbosse","Defeat these Act Bosses","각 장의 보스 처치하기","Derrote esses Chefes de Ato","Победить этих боссов","Derrota estos Jefes de Acto","สยบบอสประจำ Act","說啥呢？章節頭目",24,"Defeat each of the following Unique Bosses.","Terrassez chacun des Boss uniques suivants :","Tötet jeden der folgenden einzigartigen Bosse.","Defeat each of the following Unique Bosses.","다음 고유 보스를 전부 물리치십시오.","Derrote cada um dos seguintes Chefes Únicos.","Победите каждого из перечисленных уникальных боссов.","Derrota a cada uno de los siguientes monstruos únicos.","สยบบอสประจำ Act ดังต่อไปนี้","擊敗下列傳奇頭目。",6683,"","","",0,"","","","","","",""
612,"DelveCompleteDelveEncounters","Complete Delve Encounters II","Rencontres souterraines II","Absolviert unterirdische Gefechte II","Complete Delve Encounters II","탐광 인카운터 완료하기 II","Complete Encontros Delve II","События в шахте II","Completa encuentros de Delve II","ผ่านการเผชิญหน้าใน Delve II","掘對有精神II",24,"Complete each of the following Delve Encounters.","Achevez chacune des rencontres suivantes dans l'enceinte de la Mine :","Absolviert jedes der folgenden unterirdischen Gefechte.","Complete each of the following Delve Encounters.","다음 탐광 인카운터를 전부 완료하십시오.","Complete cada um dos Seguinte Encontros Delve.","Завершите каждый из перечисленных узлов в шахте.","Completa cada uno de los siguientes encuentros de Delve.","ผ่านการเผชิญหน้าใน Delve ดังต่อไปนี้","完成下列掘獄事件。",13053,"","","",0,1,"","","","","",""
613,"DelveCityBiome","Complete City Biome","Terminez un biome de Cité","Schließt ein Stadtbiom ab","Complete City Biome","도시 생물계 완료하기","Complete o Bioma da Cidade","Найти биомы городов","Completa el bioma de Ciudad","จบนิเวศน์เมือง","大千世界",24,"Complete any one city biome.","Terminez n'importe quel biome de Cité.","Schließt ein beliebiges Stadtbiom ab.","Complete any one city biome.","도시 생물계를 완료하십시오.","Complete qualquer um dos biomas das cidades.","Завершите любой биом города.","Completa cualquier bioma de ciudad.","จบนิเวศน์ชนิดเมือง ใดๆ ก็ได้","完成任一古城生物部落。",43028,"",1,"",0,1,"","","","","",""
614,"DelveCollectSulphite","Collect Voltaxic Sulphite","Extraction de Sulfite","Sammelt voltaxisches Sulfit","Collect Voltaxic Sulphite","전도성 아황산염을 수집하십시오","Colete Sulfito Voltaxico","Собрать вольтаксовый сульфит","Recolecta sulfito voltáxico","สะสม Voltaxic Sulphite","H2SO4",24,"Collect 1000 Voltaxic Sulphite.","Récoltez 1 000 unités de Sulfite voltaxique au total.","Sammelt 1000 Einheiten voltaxisches Sulfit.","Collect 1000 Voltaxic Sulphite.","전도성 아황산염을 1000개 수집하십시오.","Colete 1000 Sulfitos Voltaxicos.","Соберите 1000 вольтаксового сульфита.","Recolecta 1000 sulfitos voltáxicos.","สะสม Voltaxic Sulphite ให้ครบ 1000 ชิ้น","蒐集 1,000 的魔暴硫酸。",58182,"",1,"",0,1,"","","","","",""
615,"DelveCityBoss","Defeat a City Boss","Tuez un Boss de Cité souterraine","Vernichtet einen Stadtboss","Defeat a City Boss","도시 보스 처치하기","Derrote um Chefe da Cidade","Победить босса города","Derrota a un jefe de ciudad","สยบบอสเมือง","說啥呢？古城頭目",24,"Defeat any City Boss.","Terrassez n'importe quel boss de cité souterraine.","Vernichtet einen beliebigen Stadtboss.","Defeat any City Boss.","도시 보스를 물리치십시오.","Derrote qualquer Chefe da Cidade.","Победите любого босса в подземном городе.","Derrota a cualquier jefe de Ciudad.","สยบบอสเมือง ตนใดก็ได้","擊敗古城頭目。",19103,"",1,"",0,1,"","","","","",""
616,"DelveOpenChests","Open Chests","Ouvrez des coffres","Öffnet Truhen","Open Chests","상자 열기","Abra Baús","Открыть сундуки","Abre cofres","เปิดหีบ","潘朵拉盒",24,"Open 500 Chests inside the Azurite Mines.","Ouvrez 500 coffres à l'intérieur de la Mine d'Azurite.","Öffnet 500 Truhen in der Azuritmine.","Open 500 Chests inside the Azurite Mines.","남동석 광산에 있는 상자 500개를 여십시오.","Abra 500 Baús dentro da Mina de Azurita.","Откройте 500 сундуков в Азуритовой шахте.","Abre 500 cofres dentro de la Mina de Azurita.","เปิดหีบในเหมืองอะซูไรต์ครบ 500 ครั้ง","開啟 500 個地下保險箱。",3919,"",1,"",0,1,"","","","","",""
617,"DelveCompleteBiomes","Complete Delve Encounters III","Rencontres souterraines III","Absolviert unterirdische Gefechte III","Complete Delve Encounters III","탐광 인카운터 완료하기 III","Complete Encontros Delve III","События в шахте III","Completa encuentros de Delve III","ผ่านการเผชิญหน้าใน Delve III","掘對有精神III",24,"Complete a Delve Encounter in each of the following biomes.","Achevez une rencontre souterraine dans chacun des biomes suivants :","Absolviert unterirdische Gefechte in jedem der folgenden Biome.","Complete a Delve Encounter in each of the following biomes.","다음 지하 구역에서 탐광 인카운터를 완료하십시오.","Complete um Encontro Delve em cada um dos seguintes biomas.","Завершите сражения в шахте в каждом из перечисленных биомов.","Completa un encuentro de Delve en cada uno de los siguientes biomas.","ผ่านการ Delve ในนิเวศน์ดังต่อไปนี้","在下列生物部落完成掘獄事件。",30985,"","","",0,1,"","","","","",""
618,"DelveCollectAzurite","Collect Azurite","Récolte d'Azurite","Sammelt Azurit","Collect Azurite","남동석을 수집하십시오","Colete Azurito","Собрать азурит","Recolecta Azurita","สะสม Azurite","藍色小精靈",24,"Collect 10000 Azurite.","Récoltez 10 000 unités d'Azurite au total.","Sammelt 10 000 Einheiten Azurit.","Collect 10000 Azurite.","남동석을 10000개 수집하십시오.","Colete 10000 Azuritas.","Соберите 10000 азурита.","Recolecta 10000 Azurita.","สะสม Azurite ให้ครบ 10000 ชิ้น","蒐集 10,000 個碧藍礦。",23567,"",1,"",0,1,"","","","","",""
619,"DelveCompleteEncounters1","Complete these Encounters I","Achevez ces rencontres I","Absolviert diese Gefechte I","Complete these Encounters I","인카운터 완료하기 I","Complete estes Encontros I","События I","Completa estos encuentros I","ผ่านการเผชิญหน้า I","心中最軟的一塊I",24,"Complete each of the following Encounters.","Achevez chacune des rencontres suivantes :","Absolviert jedes der folgenden Gefechte.","Complete each of the following Encounters.","다음 인카운터를 전부 완료하십시오.","Complete cada um dos seguintes Encontros.","Выполните каждое из перечисленных событий в игре.","Completa cada uno de los siguientes encuentros.","ผ่านการเผชิญหน้าดังต่อไปนี้","完成以下的事件。",809,"","","",0,"",1,"","","","",""
620,"DelveSocketCurrency","Use following Currency","Utilisez ces Objets monétaires","Benutzt diese Währungsgegenstände","Use following Currency","화폐 아이템 사용하기","Utilize os Seguintes Itens Monetários","Использовать валюту","Usa los siguientes objetos monetarios","ใช้ Currency ต่อไปนี้","地下錢莊",24,"Use the following currency items.","Utilisez les Objets monétaires suivants :","Benutzt die folgenden Währungsgegenstände.","Use the following currency items.","다음 화폐 아이템을 사용하십시오.","Use os seguintes itens monetários.","Используйте следующую валюту.","Usa los siguientes objetos monetarios.","ใช้แร่ต่อไปนี้","使用下列通貨。",49325,"","","",0,"","","","","","",""
621,"DelveUpgradeItems","Upgrade following Items","Effectuez ces améliorations","Wertet Gegenstände auf","Upgrade following Items","제시된 아이템 업그레이드하기","Aprimore os seguintes Itens","Улучшить предметы","Mejora los siguientes objetos","อัพเกรดไอเทมต่อไปนี้","更好的自己",24,"Upgrade each of the following Delve Items 5 times.","Améliorez au moins cinq fois chacune des caractéristiques suivantes :","Wertet die folgenden Delve-Gegenstände 5 Mal auf.","Upgrade each of the following Delve Items 5 times.","다음 탐광 관련 아이템을 5회씩 업그레이드하십시오.","Aprimore cada um dos seguinte Itens Delve 5 vezes.","Улучшите каждый из перечисленных предметов Спуска 5 раз.","Mejora todos los siguientes objetos de Delve 5 veces.","อัพเกรดไอเทม Delve ต่อไปนี้ให้ครบ 5 ครั้ง","升級下列掘獄物品 5 次。",61663,"","","",0,1,"","","","","",""
622,"DelveCompleteDelveEncounters2","Complete Delve Encounters IV","Rencontres souterraines IV","Absolviert unterirdische Gefechte IV","Complete Delve Encounters IV","탐광 인카운터 완료하기 IV","Complete Encontros Delve IV","События в шахте IV","Completa encuentros de Delve IV","ผ่านการเผชิญหน้าใน Delve IV","掘對有精神IV",24,"Complete any 6 of the following Delve Encounters.","Achevez 6 des rencontres suivantes à l'intérieur de la Mine :","Absolviert 6 der folgenden unterirdischen Gefechte.","Complete any 6 of the following Delve Encounters.","다음 중 6개의 탐광 인카운터를 완료하십시오.","Complete qualquer 6 dos seguinte Encontros Delve.","Завершите сражения в шахте в любых 6 перечисленных местах.","Completa 6 de los siguientes encuentros de Delve.","ผ่านการเผชิญหน้าใน Delve ดังต่อไปนี้ อย่างน้อย 6 อย่าง","完成任 6 個下列掘獄事件。",41246,"","","",6,"","","","","","",""
623,"DelveVaalBossConditions","Defeat Delve Boss I","Boss des profondeurs I","Vernichtet Delve-Bosse I","Defeat Delve Boss I","탐광 보스 물리치기 I","Derrote Chefes Delve I","Победить босса шахты I","Derrota un Jefe de Delve I","สยบบอส Delve I","說啥呢？掘獄頭目I",24,"Defeat Ahuatotli, the Blind while fulfiling each of the following conditions.","Terrassez Ahuatotli, l'Aveugle en remplissant chacune des conditions suivantes :","Vernichtet Ahuatotli den Blinden, während Ihr jede dieser Bedingungen erfüllt.","Defeat Ahuatotli, the Blind while fulfiling each of the following conditions.","다음 조건을 모두 충족한 상태에서 눈먼 자 아후아토틀리를 물리치십시오.","Derrote Ahuatotli, o Cego enquanto completa cada uma das seguintes condições.","Победите Ахватотли, Слепого, соблюдая каждое из перечисленных условий. ","Derrota a Ahuatotli, el Ciego mientras se cumplen las siguientes condiciones.","สยบ Ahuatotli, the Blind และต้องผ่านเงื่อนไขดังต่อไปนี้","在滿足下列條件時擊敗盲人阿烏塔利。",41992,"","","",0,"","","","","","",""
624,"DelveDefeatBosses","Defeat following Monsters II","Tuez ces monstres II","Vernichtet folgende Monster II","Defeat following Monsters II","몬스터 물리치기 II","Derrote os seguintes Monstros II","Победить монстров II","Derrota los siguientes monstruos II","สยบมอนสเตอร์ II","有怪獸纏著我II",24,"Defeat each of the following Unique Bosses.","Terrassez chacun des Boss uniques suivants :","Tötet jeden der folgenden einzigartigen Bosse.","Defeat each of the following Unique Bosses.","다음 고유 보스를 전부 물리치십시오.","Derrote cada um dos seguinte Chefes Únicos","Победите каждого из перечисленных уникальных боссов.","Derrota a cada uno de los siguientes jefes únicos.","สยบบอสระดับยูนิคดังต่อไปนี้","擊敗下列每個傳奇頭目。",58914,"","","",0,"","","","","","",""
625,"DelveCompleteEncounters2","Complete these Encounters II","Achevez ces rencontres II","Absolviert diese Gefechte II","Complete these Encounters II","인카운터 완료하기 II","Complete estes Encontros II","События II","Completa estos encuentros II","ผ่านการเผชิญหน้า II","心中最軟的一塊II",24,"Complete each of the following Encounters.","Achevez chacune des rencontres suivantes :","Absolviert jedes der folgenden Gefechte.","Complete each of the following Encounters.","다음 인카운터를 전부 완료하십시오.","Complete cada um dos seguintes Encontros.","Выполните следующие действия в игре.","Completa cada uno de los siguientes encuentros.","ผ่านการเผชิญหน้าดังต่อไปนี้","完成以下的事件。",3569,"","","",0,"","","","","","",""
626,"DelveAbyssBossConditions","Defeat Delve Boss II","Boss des profondeurs II","Vernichtet Delve-Bosse II","Defeat Delve Boss II","탐광 보스 물리치기 II","Derrote Chefes Delve II","Победить босса шахты II","Derrota un Jefe de Delve II","สยบบอส Delve II","說啥呢？掘獄頭目II",24,"Defeat Kurgal, the Blackblooded while fulfiling each of the following conditions.","Terrassez Kurgal, le Sang noir en remplissant chacune des conditions suivantes :","Vernichtet Kurgal das Schwarzblut, während Ihr jede dieser Bedingungen erfüllt.","Defeat Kurgal, the Blackblooded while fulfiling each of the following conditions.","다음 조건을 모두 충족한 상태에서 검은 피 쿠르갈을 물리치십시오.","Derrote Kurgal, Sangue Negro enquanto completa cada uma das seguintes condições.","Победите Каргала, Чёрную кровь, соблюдая каждое из перечисленных условий. ","Derrota a Kurgal, el Sangreoscura mientras se cumplen las siguientes condiciones.","สยบ Kurgal, the Blackblooded และต้องผ่านเงื่อนไขดังต่อไปนี้","在滿足下列條件時擊敗非酋血統柯戈。",24464,"","","",0,"","","","","","",""
627,"DelveAllCityBosses","Defeat following Monsters III","Tuez ces monstres III","Vernichtet folgende Monster III","Defeat following Monsters III","몬스터 물리치기 III","Derrote os seguinte Monstros III","Победить монстров III","Derrota los siguientes monstruos III","สยบมอนสเตอร์ III","有怪獸纏著我III",24,"Defeat each of the following Unique Bosses.","Terrassez chacun des Boss uniques suivants :","Tötet jeden der folgenden einzigartigen Bosse.","Defeat each of the following Unique Bosses.","다음 고유 보스를 전부 물리치십시오.","Derrote cada um dos seguintes Chefes Únicos.","Победите каждого из перечисленных уникальных боссов.","Derrota a cada uno de los siguiente jefes únicos.","สยบบอสระดับยูนิคดังต่อไปนี้","擊殺下列每個傳奇頭目。",49439,"","","",0,"","","","","","",""
628,"DelveCompleteUnidedRareMaps","Complete Unided Rare Maps","Cartes rares non identifiées","Schließt nicht identifizierte seltene Karten ab","Complete Unided Rare Maps","미확인 희귀 지도 완료하기","Complete Mapas Raros Não Identificados","Пройти неопознанные редкие карты","Completa Mapas Raros sin Identificar","จบแผนที่ระดับแรร์โดยไม่ส่อง","物以稀為貴",24,"Complete Rare Maps in the following 16 tiers while they are unidentified. These Maps are completed by killing their Unique Bosses.","Terminez une Carte rare non identifiée pour chacun des 16 paliers ci-dessous. Pour terminer une Carte, il vous suffit d'en tuer le ou les Boss.","Schließt seltene Karten der folgenden 16 Level ab, solange sie nicht identifiziert sind. Diese Karten gelten als abgeschlossen, wenn der einzigartige Boss getötet wurde.","Complete Rare Maps in the following 16 tiers while they are unidentified. These Maps are completed by killing their Unique Bosses.","미확인된 16개의 희귀 지도 중 10개를 완료하십시오. 고유 보스를 처치하면 완료한 것으로 인정됩니다.","Complete Mapas Raros nos seguintes 16 tiers em seu estado não identificado. Mapas são completados ao matar seus Chefes Únicos.","Завершите неопознанные редкие карты 16 перечисленных уровней. Карта считается завершенной при убийстве уникальных боссов на ней.","Completa mapas raros en los siguientes 16 grados mientras se encuentran sin identificar.","จบแผนที่ระดับแรร์ใน 16 Tier ต่อไปนี้ โดยที่ยังไม่ส่อง ซึ่งการจบแผนที่คือการสังหารบอสยูนิคประจำแผนที่","在未鑑定的情況下完成以下 16 階稀有異界地圖。擊殺地圖中的傳奇頭目將會完成該地圖。",54418,"","","",0,1,"","","","","",""
629,"DelveCraftingChallenge","Use following Fossils","Utilisez ces Fossiles","Benutzt Fossilien","Use following Fossils","화석 사용하기","Utiliza os Seguinte Fósseis","Использовать ископаемые","Usa los siguientes Fósiles","ใช้ Fossil","地下有化石",24,"Use any 20 of the following fossils while crafting.","Utilisez 20 des 25 Fossiles suivants :","Benutzt 20 der folgenden Fossilien.","Use any 20 of the following fossils while crafting.","제작 과정에서 다음 중 20가지의 화석을 사용하십시오.","Utilize qualquer um dos 20 seguinte fóssils enquanto forjando.","Используйте любые 20 из перечисленных ископаемых во время изменения предметов.","Usa 20 de los siguientes fósiles en tus fabricaciones.","คราฟท์ไอเทมด้วย Fossil ดังต่อไปนี้ให้ครบ 20 ครั้ง","在工藝物品時使用 20 次下列化石。",2415,"","","",20,1,"","","","","",""
630,"DelveCompleteTwinnedMaps","Complete Twinned Maps","Terminez des Cartes jumelées","Schließt Karten mit doppeltem Boss ab","Complete Twinned Maps","이중 지도 완료하기","Complete Mapas Geminados","Завершить карты-близнецы","Completa mapas gemelos","จบแผนที่ที่มีม็อด Twinned","鑾鳳並祥",24,"Complete the following Maps while they have the Twinned mod. These Maps are completed by killing their Unique Bosses.","Terminez les Cartes ci-dessous alors qu'elles sont dotées du mod « Jumelée ». Pour terminer une Carte, il vous suffit d'en tuer le ou les Boss. ","Schließt folgende Karten mit dem Modifikator 'Doppelt' ab. Diese Karten gelten als abgeschlossen, wenn Ihr die doppelten einzigartigen Bosse getötet habt.","Complete the following Maps while they have the Twinned mod. These Maps are completed by killing their Unique Bosses.","이중 속성 부여가 적용된 다음 지도를 완료하십시오. 고유 보스를 처치하면 완료한 것으로 인정됩니다.","Complete os seguinte Mapas enquanto eles possuirem o mod Geminado. Esses mapas serão completados ao matar seu Chefe Único.\r\n","Перебейте всех монстров на перечисленных картах со свойством Двойниковые. Карта считается завершенной при убийстве уникальных боссов на ней.","Completa los siguientes mapas mientras tienen el mod. Gemelo. Estos mapas se completan matando a sus jefes únicos.","จบแผนที่ที่มีม็อด Twinned ซึ่งการจบแผนที่คือการสังหารบอสยูนิคประจำแผนที่","完成以下擁有「孿生的」詞綴的異界地圖。擊殺地圖中的傳奇頭目將會完成該地圖。",57449,"","","",0,1,"","","","","",""
631,"DelveLevel90","Reach Level 90","Atteignez le Niveau 90","Erreicht die Stufe 90","Reach Level 90","90레벨 도달하기","Atinja o Nível 90","Достичь 90 уровня","Alcanza nivel 90","เลเวลถึง 90","已經九十等了，",24,"Attain character level 90. This challenge still counts even if your character dies afterwards.","Atteignez le niveau 90. Une fois terminé, ce défi n'est pas perdu si votre personnage meurt.","Erreicht die Charakterstufe 90. Diese Herausforderung wird selbst dann angerechnet, wenn ein Charakter stirbt, nachdem er Stufe 90 erreicht hat.","Attain character level 90. This challenge still counts even if your character dies afterwards.","캐릭터 90레벨에 도달하십시오. 해당 도전과제는 캐릭터가 죽은 후에도 집계됩니다.","Atinja o nível 90 de personagem. Esse desafio ainda conta mesmo se seu personagem morrer depois.","Поднимите уровень героя до 90. Испытание засчитывается, даже если персонаж погибнет после достижения 90 уровня.","Alcanza nivel 90 con tu personaje. Este desafío seguirá contando, aunque tu personaje muera después.","เก็บเลเวลตัวละครให้ถึง 90 แม้ตัวละครของผู้เล่นจะตายหลังจากนั้นภารกิจท้าทายนี้ก็ถือว่าผ่าน","將角色提升等級至 90。專家級角色死亡仍然算達成。",56909,"",1,"",0,1,"","","","","",""
