"rownum","Id","Term","Definition","string"
121,"Flask","Flasks","Flasks can be used to recover your Life or Mana. Flasks are not consumable, but require charges to use. Flask charges can be regained by killing enemies. \r\n\r\n[Rarity|Normal] enemies grant Flask charges equal to half their [Power]\r\n[Rarity|Magic] enemies grant Flask charges equal to their [Power]\r\n[Rarity|Rare] and [Rarity|Unique] enemies grant Flask charges equal to twice their [Power]\r\n\r\n[Checkpoint|Checkpoints] and [Wells] completely refill Flasks when activated. Flasks can only hold charges while in a Flask slot.",""
122,"UFlask","Utility Flasks","Utility Flasks can only hold charges while in a flask slot. They can be bound to action buttons to trigger strategically during combat. Utility Flasks offer a buff or combat ability for a limited time. \r\n\r\nFlasks refill at [Checkpoint|Checkpoints], [Wells|Wells] or by killing Monsters. More powerful Monsters will grant more charges.",""
123,"Quiver","Quivers","Quivers are off hand items that are only usable while you have a [Bow] equipped. Quivers provide a variety of bonuses to Bow [Attack|Attacks].",""
124,"Spirit","Spirit","Spirit is a reserve of power used to activate and maintain skills with permanent effects. Spirit-powered skills are managed within the Skills Panel.",""
125,"One-Handed","One-Handed","One-handed weapons can be placed in the main weapon slot. Some one-handed weapon types can be dual wielded in both main and off hand weapon slots.",""
126,"Two-Handed","Two-Handed","Two-handed weapons take up both weapon slots when equipped.",""
127,"Allies","Allies","Your allies include other players, [Minion|Minions], and any other entity that fights alongside you and has its own stats. \r\n\r\nYou do not count as your own Ally.",""
128,"DualWield","Dual Wielding","Dual Wielding refers to using two [MartialWeapon|Martial Weapons], one in each hand.",""
129,"Minion","Minions","Minions are summoned [Allies] which will accompany and fight alongside you. [Persistent] Minions will reserve a portion of [Spirit] while active.",""
130,"Warcry","Warcries","Warcries are skills which count enemy [Power] within their area and [Empowered|Empower] your subsequent Melee [Attack|Attacks], sometimes depending on the total [Power] of enemies counted.",""
131,"Curse","Curses","Curses significantly [Debuff] affected targets. By default a target can have one Curse on them at a time.",""
132,"Aftershock","Aftershocks","Aftershocks are bursts of area damage that occur after the initial impact of the skill causing them. If not otherwise specified, the Aftershock will deal the same damage as the initial impact, in the same area.",""
133,"Elusive","Elusive","The Elusive buff grants increased Movement Speed, and additional chance to avoid damage. The effects of Elusive are reduced over time.",""
134,"ShockedGround","Shocked Ground","Shocked Ground [Shock|Shocks] those standing in it, and lasts 6 seconds by default.",""
135,"EnergyShieldLeech","Energy Shield Leech","When you deal damage from a [HitDamage|Hit], Leech causes you to recover an amount of the stated resource equal to a percentage of the damage you dealt.\r\nMonsters have Leech Resistance that increases with monster level, reducing how much you recover from Leech.\r\nLeeched [EnergyShield|Energy Shield] is recovered over one second. Multiple Leeches can occur simultaneously. Modifiers specific to Life Leech will not apply to Energy Shield Leech.",""
136,"Unarmed","Unarmed","Unarmed [Attack|Attacks] do not benefit from your equipped Weapon.",""
137,"Orb","Orb Skills","Orb Skills create lasting effects at a location which damage enemies in an area around them.",""
138,"Exposure","Exposure","Exposure is a type of [Debuff] that lowers the affected enemy's [Resistances|Resistance] to the corresponding damage type. By default it inflicts -20% to the specified [Resistances|Resistance] and lasts for 4 seconds, though some sources of exposure can override these values. Like most sources of [Resistances|Resistance] reduction, this can cause the enemy's [Resistances|Resistance] to become negative.\r\n\r\nMultiple sources of the same type of Exposure cannot stack with one another unless stated otherwise, and only the strongest source of Exposure will apply. Multiple different types of Exposure can apply to the same target at once.",""
139,"Energy","Energy","Several [Meta] Skills generate and use Energy. Each Skill which generates Energy has its own Energy count particular to that Skill. Most effects which use Energy do so to [Trigger] other effects or Skills, based on the use time of the triggered Skill. When calculating Energy gain or consumption from the use time of a Skill, modifiers to [Total] use time are treated as though they were double the value.\r\n\r\nEnergy cannot be gained from direct effects of [Trigger|Triggered] Skills.",""
140,"IceCrystals","Ice Crystals","Ice Crystals are solid blocks of ice which can be damaged. When destroyed, Ice Crystals will deal [Cold|Cold] damage in an area.",""
141,"Return","Returning","[Projectile|Projectiles] which Return will Return to the entity which originated them after reaching the end of their travel, or on hitting a final target.",""
142,"Phasing","Phasing","While Phasing, you can pass through enemies without being blocked by them.",""
143,"Corpse","Corpses","Corpses are left behind by slain Enemies and can be used or consumed by a number of different Skills or effects, though Corpses of [Rarity|Unique] monsters cannot be destroyed or consumed. Generally, slain [Allies|Allies] do not leave usable Corpses.",""
144,"Charges","Charges","Charges can be gained from a number of Skills, passives, and other effects. They do not grant any inherent benefits, but can be consumed to fuel many skills and other effects. Charges last for 15 seconds by default, refreshing whenever you gain another charge of the same type.\r\n\r\nThere are three types of Charges — Endurance, Frenzy and Power. By default players can have up to 3 of each type of Charge at once.",""
145,"ElementalDamage","Elemental Damage Types","The three Elemental damage types are [Fire|Fire], [Cold|Cold], and [Lightning|Lightning].",""
146,"Wells","Wells","Wells are present in every Town, and will refill your [Flask|Flasks] as well as restoring your Life and Mana when used.",""
147,"Presence","Presence","Your Presence is an area around your character within which certain effects (such as many [Aura|Auras]) are applied. By default this has a 4 metre radius. The size of this area can be modified by Presence Area modifiers, but not by Skill Area modifiers.",""
148,"LightRadius","Light Radius","Your Light Radius determines the distance from your character which will be illuminated in dark areas, and the radius within which terrain and points of interest are revealed on the map.",""
149,"ItemRarity","Item Rarity","Items can be Normal (grey), Magic (blue), Rare (yellow) or Unique (brown). Item Classes which do not have these rarities, such as Currency, have individual rarity for each item.\r\nMagic items can have 2 Modifiers; a Prefix and a Suffix.\r\nRare items can have up to 6 Modifiers; 3 Prefixes and 3 Suffixes.\r\nMore powerful and dangerous enemies are more likely to drop rarer Items.",""
150,"Shatter","Shatter","[Frozen] enemies Shatter when killed, destroying their corpse.",""
151,"Penetration","Resistance Penetration","Penetration causes the target's corresponding [Resistances|Resistance] to be treated as lower than its actual value by the specified amount when of calculating Damage taken from your [HitDamage|Hits]. [Resistances] can only be Penetrated down to a minimum of 0% by default.\r\n\r\nSince Penetration only affects [HitDamage|Hits] and applies to the target's defensive stats rather than your own offensive stats, it does not affect damage with [DamagingAilments|Ailments].",""
152,"ArmourBreak","Armour Break","Some Skills, Items, Support Gems and other effects can Break [Armour|Armour], which lowers a target's [Armour|Armour] by a specified amount. If this brings the target's [Armour|Armour] value to 0, their [Armour|Armour] is Fully Broken for 12 seconds, or 4 seconds for players. On top of not benefitting from [Armour], non-player targets with Fully Broken [Armour] take 20% increased [Physical] damage from [HitDamage|Hits].\r\n\r\nPlayers Break 3 times Armour against Normal Monsters and 2 times Armour against Magic Monsters.",""
153,"ArmourOverbreak","Armour Break below 0","Enemies with [Armour] [ArmourBreak|Broken] below 0 have negative [Armour]. This means they take more [Physical] damage from [HitDamage|Hits]. Armour broken below 0 is capped by the enemy's base [Armour].",""
154,"Channelling","Channelling","Channelling Skills can be held down to gain power or continue using the Skill for a longer period of time.",""
155,"Remote","Remote Skills","Remote Skills are Skills that are performed for you by a different entity, such as a [Totem], [Trap], or Clone. [Minion|Minions] are not Remote Skills.",""
156,"AncestralBoost","Ancestral Boost","An Ancestrally Boosted [Slam] has 30% more damage and 20% more area of effect, and an Ancestrally Boosted [Strike] will target 2 additional Enemies.",""
157,"Buff","Buffs","Buffs are effects that boost a player or monster's stats for a duration or while a condition is met.\r\n\r\nUnless otherwise stated, Buffs of the same type do not stack — only the copy with the strongest effect applies.",""
158,"Debuff","Debuffs","Debuffs are negative effects that deal damage or penalise an entity's stats, either for a set duration or when a condition is met.\r\n\r\nUnless otherwise stated, Debuffs of the same type do not stack — only the copy with the strongest effect applies.",""
159,"Persistent","Persistent Skills","Persistent Skills are toggled in the Skills Panel instead of being used normally and often need to [Reservation|Reserve] [Spirit] in order to be activated.",""
160,"Consume","Effect Consumption","Multiple effects on enemies can be Consumed. Only one Consumption benefit can occur at once, and Consumption effects from Skills will take priority over those from other sources.\r\n\r\nConsuming a [Debuff] on an enemy causes the enemy to be immune to that [Debuff] for 1 seconds.",""
161,"ChaosOrb","Chaos Orb","Removes a random modifier and augments a [ItemRarity|Rare] item with a new random modifier.",""
162,"OrbOfAlteration","Orb of Alteration","Reforges a [ItemRarity|Magic] item with new random modifiers.",""
163,"OrbOfTransmutation","Orb of Transmutation","Upgrades a [ItemRarity|Normal] item to a [ItemRarity|Magic] item with 1 modifier.",""
164,"OrbOfAlchemy","Orb of Alchemy","Upgrades a [ItemRarity|Normal] item to a [ItemRarity|Rare] item with 4 modifiers.",""
165,"OrbOfChance","Orb of Chance","Unpredictably either upgrades a [ItemRarity|Normal] item to [ItemRarity|Unique] rarity or destroys it.",""
166,"RegalOrb","Regal Orb","Upgrades a [ItemRarity|Magic] item to a [ItemRarity|Rare] item",""
167,"ArtificersOrb","Artificer's Orb","Adds a [Rune] Socket to a [MartialWeapon|Martial Weapon] or Armour",""
168,"Aura","Auras","Auras apply [Buff|Buffs] to [Allies|Allies] within a radius, or [Debuff|Debuffs] to enemies within a radius of the source of the Aura.",""
169,"StormSurge","Stormsurge","Each Stormsurge on this Weapon grants 3% of damage [Gain|Gained] as Extra [Lightning|Lightning] damage for 5 seconds. Maximum 10 Stormsurge.",""
170,"Reviving","Reviving Minions","Reviving [Minion|Minions] heal after avoiding damage for a short time, and automatically revive after a short delay when killed. This delay is reset whenever another Reviving [Minion] dies.",""
171,"Quality","Quality","Quality grants small bonuses to an item depending on the type of item.\r\n\r\n[MartialWeapon|Martial Weapons] gain 1% more [Physical] damage per Quality.\r\nArmours gain 1% more [Defences] per Quality.\r\nRings and Amulets have a number of possible quality types that provide bonuses to specific modifiers on the item.\r\n[Flask|Flasks] gain 1% more Life and Mana recovery per Quality.\r\n[Charm|Charms] gain 1% increased duration per Quality.\r\nSkill Gems or equipment that grant Skills grant a specific bonus to their Skill based on their Quality.",""
172,"SupportGem","Support Gems","Support Gems can be inserted into sockets on a Skill Gem in order to modify the effects of that Skill. They only apply to the Skill Gem they are socketed into.\r\n\r\nYou cannot use multiple copies of the same Support Gem at the same time, even on different Skill Gems.",""
173,"AoESkill","Area of Effect Skills","This Skill has an effect that applies to every target in its area, rather than picking specific targets.\r\n\r\nAreas of Effect that originate from a target hit by a Skill will add that target's size to their radius.",""
174,"DurationSkill","Duration Skills","This Skill has a Duration that can be modified.",""
175,"Detonator","Detonator Skills","Detonator Skills can cause flammable gas, [Oil], explosives, and similar effects to explode on contact. ",""
176,"Nova","Nova Skills","Nova Skills take effect in a circular area around their user.",""
177,"Trigger","Triggered Skills","Many effects can cause a Skill to Trigger. A Triggered Skill occurs immediately, without an attack or cast time, and usually targets the cause of the trigger. Triggering a Skill does not count as using it.\r\n\r\nIf multiple methods of Triggering a skill attempt to apply to the same skill, that skill will be disabled.",""
178,"Herald","Herald Skills","Herald Skills are a type of [Persistent] [Buff] that grant powerful effects on killing enemies.",""
179,"Recoup","Recoup","When you take damage from a [HitDamage|Hit], Recoup causes you to recover an amount of the stated resource equal to a percentage of the damage you took over 8 seconds.",""
180,"Thorns","Thorns","Thorns damage is a kind of [HitDamage|Hit] Damage you can deal. Thorns damage is not [Attack] damage or [Spell] damage and is not affected by modifiers specific to those.\r\n\r\nIf you have Thorns damage, you inherently [ThornsRetaliation|Retaliate] against [Melee] [Attack] [HitDamage|Hits], dealing your Thorns damage to the enemy that [HitDamage|Hit] you.\r\n\r\nSome skills and other effects may also deal your thorns damage to enemies at other times.",""
181,"IgnitedGround","Ignited Ground","Ignited Ground [Ignite|Ignites] enemies as long as they are standing on it. By default, Ignited Ground lasts for 4 seconds and has a radius of 2 metres unless otherwise specified.",""
182,"CriticalWeakness","Critical Weakness","Critical Weakness causes hits against affected targets to have +0.5% to [Critical|Critical Hit] Chance, and can stack up to 20 times. If not otherwise specified, each stack lasts for 4 seconds.",""
183,"ElementalGround","Elemental Ground Surfaces","Elemental Ground Surface include [ShockedGround|Shocked Ground], [ChilledGround|Chilled Ground], and [IgnitedGround|Ignited Ground].",""
184,"Ammunition","Crossbow Ammunition Skills","Using a [Crossbow] Ammunition Skill replaces your [Crossbow|Crossbow's] basic [Attack] with the skill indicated. The Ammunition Skill itself does not fire the Ammunition, only load it into your [Crossbow].",""
185,"MonsterModifiers","Monster Modifiers","Magic and Rare Monsters can have Modifiers which will augment them in many dangerous ways, making them more powerful and deadly foes.\r\n\r\nMagic Monsters will only ever have a single Monster Modifier, whereas Rare Monsters can have multiple.",""
186,"UnwaveringStance","Unwavering Stance","Cannot be Light Stunned\nCannot Dodge Roll",""
187,"EldritchBattery","Eldritch Battery","[Conversion|Converts] all [EnergyShield|Energy Shield] to Mana\nDoubles Mana Costs",""
188,"MindOverMatter","Mind over Matter","All [DamageTypes|Damage] is taken from Mana before Life\n50% less Mana Recovery Rate",""
189,"BloodMagic","Blood Magic","You have no Mana\r\nSkill Mana Costs [StatConversion|Converted] to Life Costs",""
190,"GiantsBlood","Giant's Blood","You can wield [Two-Handed] [Axe|Axes], [Mace|Maces] and [Sword|Swords] in one hand\nTriple [Attributes|Attribute] requirements of weapons",""
191,"VaalPact","Vaal Pact","[LifeLeech|Life Leech] is Instant\nCannot use Life Flasks",""
192,"PainAttunement","Pain Attunement","30% less [CriticalDamageBonus|Critical Damage Bonus] when on Full Life\n30% more Critical Damage Bonus when on [LowLife|Low Life]",""
193,"HexMaster","Hex Master","You can apply an additional [Curse]\nDouble Activation Delay of Curses",""
194,"GlancingBlows","Glancing Blows","[Block] Chance is doubled\nYou take 60% of damage from Blocked [HitDamage|Hits]",""
195,"AncestralBond","Ancestral Bond","Unlimited number of Summoned [Totem|Totems]\nTotems reserve 100 [Spirit] each",""
196,"Conduit","Conduit","When you generate an Endurance, Frenzy or Power [Charges|Charge], [Allies] in your [Presence] generate that Charge instead",""
197,"MartialWeapon","Martial Weapons","Martial Weapons can be used to [Attack]. [Axe|Axes], [Bow|Bows], [Claw|Claws], [Crossbow|Crossbows], [Dagger|Daggers], [Flail|Flails], [Mace|Maces], [Quarterstaff|Quarterstaves], [Spear|Spears], and [Sword|Swords] are Martial Weapons.",""
198,"Sacrifice","Sacrifice","Sacrificing is loss of a resource (commonly Life, Mana or [EnergyShield|Energy Shield]) that does not count as taking damage. You cannot Sacrifice a resource you do not have. Sacrificing Life cannot reduce you below 1 Life, but Sacrifices you cause on others (such as Sacrificing [Minion] Life) can lead to their death.",""
199,"Travel","Travel Skills","Travel Skills cover a large amount of distance without needing to target an enemy. If you have multiple Travel Skills with cooldowns, their cooldowns are shared.",""
200,"EternalYouth","Eternal Youth","Life [LifeRecharge|Recharges] instead of Energy Shield\r\nLife Recovery from Flasks applies to Energy Shield instead",""
201,"SupportGemRequirements","Support Gem Requirements","Every Support Gem you have socketed will incur a cumulative [Attributes|Attribute] requirement, generally at a value of five of the relevant stat for each support gem used.\r\n\r\nThis [Attributes|Attribute] requirement is separate from that required by your Skill Gems and Equipment.",""
202,"BuffMagnitude","Buff/Debuff Magnitude","The Magnitudes of a [Buff] or [Debuff] are the values of the stats it applies to the target. A [Buff] or [Debuff] with higher magnitudes is more powerful.\r\n\r\nModifiers to the Magnitude of [Buff|Buffs] or [Debuff|Debuffs] come from whoever applies it and are multiplicative with modifiers to the [BuffEffect|Effect] the [Buff] or [Debuff] has on the target.",""
203,"BuffEffect","Buff/Debuff Effect","Modifiers to the Effect of [Buff|Buffs] or [Debuff|Debuffs] usually come from the target it affects and are multiplicative with modifiers to the [BuffMagnitude|Magnitudes] of the [Buff] or [Debuff], which come from its creator.",""
204,"Heartstopper","Heartstopper","Take 50% less damage over time if you've started taking damage over time in the past second\nTake 50% more damage over time if you've haven't started taking damage over time in the past second",""
205,"ElementalEquilibrium","Elemental Equilibrium","Hits that deal [Fire] damage remove Fire [Exposure] and inflict [Lightning] Exposure\nHits that deal [Cold] damage remove Cold Exposure and inflict [Fire] Exposure\nHits that deal [Lightning] damage remove Lightning Exposure and inflict [Cold] Exposure",""
206,"Oasis","Oasis","Cannot use [Charms|Charm]\n30% more Recovery from [Flask|Flasks]",""
207,"ArcaneSurge","Arcane Surge","Arcane Surge grants 10% more Cast Speed and 20% more Mana Regeneration Rate.",""
208,"ArcaneSurgeDuration","Arcane Surge","Arcane Surge grants 10% more Cast Speed and 20% more Mana Regeneration Rate.\r\nIt lasts for 4 seconds by default.",""
209,"Invoke","Invoke","Invoked Skills are those [Trigger|Triggered] by Invocation Skills.",""
210,"Meta","Meta Gems","Meta Gems are Skill Gems that can use, [Trigger], or otherwise apply the effects of other Skill Gems. Skill Gems and [SupportGem|Support Gems] can be socketed into them interchangeably, though most Meta Gems require at least one Skill Gem to be socketed to function.",""
211,"FinalStrike","Final Strike","Skills that meet this requirement use the term \""Final Strike\"" to refer to the last hit of their combo. This includes basic [Melee] [Attack|Attacks].",""
212,"CorruptedBlood","Corrupted Blood","Corrupted Blood is a [Debuff] that deals [Physical] damage over time and can stack up to 10 times.\r\n\r\nCorrupted Blood is not [Bleeding] and is not affected by any stats related to [Bleeding].",""
213,"Aggravate","Aggravated Bleeding","[Bleeding] that has been Aggravated always treats the target as moving, which causes it to deal 100% extra damage.\r\n\r\nOnce a [Bleeding] [Debuff] has been Aggravated, it will remain Aggravated until its duration expires.\r\n\r\nEach [Bleeding] [Debuff] can be Aggravated, or not, independently — one [Bleeding] [Debuff] being Aggravated does not mean other [Bleeding] [Debuff|Debuffs] on the target are also Aggravated, and Aggravating some or all of them will have no effect on new [Bleeding] [Debuff|Debuffs] applied afterwards. However, effects which Aggravate [Bleeding] on a target do so to all [Bleeding] [Debuff|Debuffs] currently on that target unless otherwise specified.",""
214,"AggravateIgnite","Aggravated Ignite","[Ignite] that has been Aggravated deals 100% extra damage.\r\n\r\nOnce an [Ignite] has been Aggravated, it will remain Aggravated until its duration expires.\r\n\r\nJust like [Bleeding], each [Ignite] [Debuff] can be Aggravated, or not, independently of others on the target.",""
215,"LeechSameAmount","Allies Leech the same amount","Their modifier to the amount they leech will not affect this amount; your modifiers have already applied to it.",""
216,"NonStackingEffect","Non-Stacking Effects","This effect does not stack. Applying it again before the first expires will refresh the duration.",""
217,"Mark","Mark","Marks are a family of [Debuff|Debuffs] that apply powerful effects to a single enemy, usually for a limited duration. You can have multiple Marked enemies at once, but each individual enemy can only have a single Mark applied to them at once.",""
218,"LifeRecharge","Life Recharge","Lost Life will start Recharging at a rate of 12.5% per second after a base delay of 4 seconds. Further loss of Life resets this delay, interrupting Recharge.\r\nModifiers to Energy Shield [ESRechargeRate|Recharge Rate] or to [FasterESRechargeStart|how fast it starts] will also apply to Life Recharge.",""
219,"ESRecharge","Energy Shield Recharge","Lost Energy Shield will start Recharging at a rate of 12.5% per second after a base delay of 4 seconds. Further loss of Energy Shield resets this delay, interrupting Recharge.",""
220,"ESProtectsMana","Energy Shield Protecting Mana","Energy Shield will no longer protect you from Damage, unless that damage would be dealt to Mana.",""
221,"Onslaught","Onslaught","Onslaught grants 20% increased [SkillSpeed|Skill Speed] and 10% increased movement speed.",""
222,"Checkpoint","Checkpoints","Checkpoints are a form of saving your progress through Wraeclast and will often appear before Boss fights and at points of interest. Reaching a Checkpoint will refill your Life, Mana, [Flask|Flasks] and [Charm|Charms].\r\n\r\nOn death, you can choose to revive either in Town or at the last Checkpoint you reached. For this purpose, [Waypoint|Waypoints] also function as Checkpoints.",""
223,"Waypoint","Waypoints","Waypoints are a form of saving your progress through Wraeclast. Most areas (though not all) will have one, and they can be used to quickly travel from area to area. Reaching a Waypoint will refill your Life, Mana, [Flask|Flasks] and [Charm|Charms].",""
224,"AilmentThreshold","Elemental Ailment Threshold","A higher Elemental Ailment Threshold makes it less likely that being [HitDamage|Hit] by [ElementalDamage|Elemental Damage] will apply the relevant [ElementalAilments|Ailment], as well as lowering the amount of [Freeze] and [Electrocute] buildup recieved. A lower Elemental Ailment Threshold makes it more likely, and increases buildup of [Freeze] and [Electrocute] recieved. By default a player's Ailment Threshold is equal to half their Life.",""
225,"MaximumResistances","Maximum Resistances","The default maximum for [ElementalDamage|Elemental] or [Chaos|Chaos] resistances is 75%. Maximum resistances cannot be raised above 90%.",""
226,"ChargeCycle","Resonance","Gain Power [Charges] instead of Frenzy Charges\nGain Frenzy Charges instead of Endurance Charges\nGain Endurance Charges instead of Power Charges",""
227,"Sustained","Sustained Skills","Sustained skills cause a large number of [HitDamage|Hits] over a period of time. They roll for [Critical|Critical Hits] independently each time they damage enemies, rather than rolling once for the entire skill as other skills do.",""
228,"Daze","Daze","Some skills and effects will apply Daze to enemies on [HitDamage|Hit]. Daze builds up on a target up to 100%, at which point the target will become Dazed.\r\n\r\nDaze lasts for 8 seconds, and a Dazed enemy will take 50% more [Stun|Stun Buildup]. There are also a number of Skills, Effects, and other mechanics which interact with Daze for various benefits.",""
229,"Combo","Combo","Some skills and effects require a certain Combo count to use. Combo is built by successfully [Strike|Striking] Enemies. Combo count will fall off after a short duration of not building or maintaining further Combo.\r\n\r\nCombo can only be built while using the same weapon as the Combo Skill is bound to, and will be lost if you swap weapons.",""
230,"MinionDeath","Minion Death and Killing Minions","[Minion|Minions] whose durations expire or that are despawned by the player are considered to have died. However, effects that state they trigger when a [Minion] is Killed do not trigger in these cases. [Minion|Minions] are only Killed if they reach 0 life, though this can be caused by their summoner as well as enemies.",""
231,"Surrounded","Surrounded","You are surrounded if there are at least 5 Enemies within 3 metres of you.",""
232,"Reservation","Reservation","Reservation effects prevent a portion of a given resource — usually [Spirit], though it can also be Life or Mana — from being used for other purposes while active. Reserving a resource does not change the maximum value of that resource.",""
233,"LowInfernalFlame","Low Infernal Flame","You are on Low Infernal Flame if you have 35% of your maximum Infernal Flame or less.",""
234,"Bulwark","Bulwark","Dodge Roll cannot Avoid Damage\nTake 30% less [HitDamage|Damage from Hits] while Dodge Rolling",""
235,"Conversion","Damage Conversion","Damage can be converted from one type to another. This causes it to deal the new damage type, scale with modifiers to the new damage type, and no longer scale with modifiers to the old damage type.\r\n\r\nFor example, [Fire] damage converted to [Lightning] now scales with [Lightning] damage modifiers and causes [Shock], but no longer scales with [Fire] damage modifiers or causes [Ignite].\r\n\r\nConversion is a two step process. Conversion inherent to Skills occurs first, then Conversion from all other sources. Damage over time cannot be converted.",""
236,"Gain","Damage Gained as extra X","Damage gained as a specific damage type only scales with modifiers to the new type, not with modifiers to the source damage's type (unless they're the same type). \r\n\r\nFor example, [Lightning] damage gained from [Physical] damage scales with [Lightning] damage modifiers, but not [Physical] damage modifiers.\r\n\r\nDamage Gain occurs in the same two step process as [Conversion|Damage Conversion]. Damage over time cannot benefit from damage Gain.",""
237,"Tailwind","Tailwind","Tailwind is a stacking [Buff] which grants 1% increased movement speed, 3% increased [SkillSpeed|Skill Speed] and 15% increased [Evasion] Rating per stack for 10 seconds, refreshing whenever you gain another stack. Maximum 10 stacks.",""
238,"Jade","Jade","Jade is a stacking [Buff] which grants 1% additional Physical Damage Reduction per stack. Maximum of 10 Jade stacks. A stack of Jade is lost when you take Physical Damage from a [HitDamage|Hit].",""
239,"Concentration","Concentration","Enemies have less [CooldownRecovery|Cooldown Recovery Rate] the lower their Concentration, scaling down to 50% less [CooldownRecovery|Cooldown Recovery Rate] when Concentration is 0%.",""
240,"FlamesOfChayula","Flame of Chayula","Collecting Flames of Chayula grants the following bonuses:\r\nRed Flames of Chayula [LifeLeech|Leech] 7% of your maximum Life to you\r\nBlue Flames of Chayula [ManaLeech|Leech] 7% of your maximum Mana to you\r\nPurple Flames of Chayula provide a stacking [Buff] granting 7% of damage as extra [Chaos] damage for 5 seconds, and stacks up to 10 times. Flames of Chayula count as [Remnant|Remnants].",""
241,"SmallPassive","Small Passives","Small Passive Skills are Passives that are not Notables, Keystones, Ascendancy Passive Skills or Passive Skills where you can select an [Attributes|Attribute].",""
242,"Valour","Valour","Valour is used to fuel Banner Skills. Killing an enemy with an [Attack] generates 1 Valour, and Banners passively gain 1 Valour per second while a [Rarity|Unique] enemy is in your [Presence]. You can only gain Valour once every 0.5 seconds, and a Banner skill cannot gain Valour while its Banner is placed.\r\n\r\nEach Banner has 50 maximum Valour by default. If you have multiple Banner skills active, each gains Valour separately.",""
243,"Intimidate","Intimidate","Intimidate is a [Debuff] that inflicts 10% increased damage taken and 10% reduced damage dealt.",""
244,"Ballista","Ballista Totems","Ballistas are a type of [Totem] that use [Projectile] [Attack|Attacks].",""
245,"SoulCore","Soul Core","Soul Cores are Vaalish artifacts that work in the same manner as [Rune|Runes], but have unusual effects.",""
246,"Honour","Honour","Honour is an additional resource you have to manage within the Trial of the Sekhemas. A percentage of the damage you take from enemies in the Trial will be taken from your Honour. If your Honour reaches zero then the Trial is failed.",""
247,"LightningAilment","Lightning Ailments","[Shock] and [Electrocute] are Lightning [Ailments].",""
248,"AddedAttackCastTime","Added Skill Use Time","This additional use time is fixed and will not be modified by skill use speed stats.",""
249,"Oil","Covered in Oil","Enemies covered in Oil have their movement speed [Slow|Slowed], are inflicted with [Exposure|Fire Exposure] and have 200% more chance to be ignited.\r\n\r\n[IgnitedGround|Ignited Ground] or [Detonator] Skills will [Ignite] Oil-covered enemies. This removes the Oil, but the Exposure will remain for the duration of that [Ignite].",""
250,"OilGround","Oil Ground","Enemies standing in Oil Ground have their movement speed [Slow|Slowed] and are inflicted with [Exposure|Fire Exposure].\r\n\r\n[Ignite|Ignited] enemies, [IgnitedGround|Ignited Ground], or [Detonator] Skills that touch the Oil cause it to catch fire, [Ignite|Igniting] enemies instead of [Slow|Slowing] them, but still inflicting the Exposure.",""
251,"Str","Str","",""
252,"Dex","Dex","",""
253,"Int","Int","",""
254,"StrDex","Str/Dex","",""
255,"StrInt","Str/Int","",""
256,"DexInt","Dex/Int","",""
257,"StrDexInt","Str/Dex/Int","",""
258,"OneHanded","One-Handed","",""
259,"TwoHanded","Two-Hander","",""
260,"Total","Stat Totals","The Total value of a stat is the value after all calculations have been performed. Modifiers to the Total value apply after all other modifiers.",""
261,"TotalPlus","Adding to Stat Totals","Adding to the Total value of a stat occurs after all other calculations have been performed. This means that the added value does not benefit from percentage modifiers to the stat.",""
262,"Charm","Charms","Charms are protective trinkets you can equip that automatically trigger a defensive effect when a specific condition is met. Similar to [Flask|Flasks], Charms require charges to trigger. Charm charges can be regained by killing monsters, granting charges equal to half of the monster's [Power]. [Checkpoint|Checkpoints] and [Wells] completely recharge Charms when activated.\r\n\r\nThe maximum number of Charm slots is capped at 3.",""
263,"ZealotsOath","Zealot's Oath","Excess Life Recovery from Regeneration is applied to [EnergyShield|Energy Shield].\r\n[EnergyShield|Energy Shield] does not Recharge.",""
264,"UnboundFury","Unbound Fury","[Chill|Chilling] Enemies grants 1 Unbound Fury, [Shock|Shocking] or [Ignite|Igniting] Enemies grants 2 Unbound Fury and [Freeze|Freezing] or [Electrocute|Electrocuting] Enemies grants 6 Unbound Fury.",""
265,"StatConversion","Stat Conversion","Converting stat A to stat B applies the base value of stat A to stat B instead. The converted stat scales with percentage modifiers to stat B, but not with percentage modifiers to stat A.\r\n\r\nFor example, if you converted your [Evasion] to [Armour], the converted portion would be scaled by percentage modifiers to [Armour], but percentage modifiers to [Evasion] would have no effect.",""
266,"LifeLoss","Life Loss","Life Loss is not damage, and can't be mitigated or absorbed by [EnergyShield|Energy Shield]. Life Loss can still kill you.",""
267,"StatGain","Gaining Stats from other Stats","Gaining a percentage of stat A as stat B is calculated from the base value of stat A. The portion gained scales with percentage modifiers to stat B, but not with percentage modifiers to stat A.\r\n\r\nFor example, if you gained 50% of [Evasion] as [Armour], the portion gained would be scaled by percentage modifiers to [Armour], but not by percentage modifiers to [Evasion].",""
268,"Overflow","Overflow","Recovery which Overflows its maximum can be recovered up to twice that maximum.",""
269,"Command","Minion Commands","Some [Minion|Minions] can be Commanded to perform certain actions. This requires you to use the corresponding Command skill, which will cause one of your [Minion|Minions] to carry out the Command.",""
