"rownum","Id","Text","rid","Command","Parameters","AchievementItemsKeys","bool","i32","HarvestCraftOptionIconsKeys","Description","DDSFile","bool","bool"
81,"RarityUpgrade_5","<white>{Upgrade} a <white>{Normal item} to a Magic item, adding <white>{two} random <white>{high-tier} modifiers",1,"add_mod_to_normal_making_magic","2 high_level",[6987],"",24109,[12],"Upgrade a Normal item to a Magic item, adding two random high-tier modifiers","Art/2DItems/Currency/Harvest/BlueSeedTier2Iguana.dds","",""
82,"RarityUpgrade_6","<white>{Upgrade} a <magic>{Magic item} to a Rare item, adding <white>{two} random <white>{high-tier} modifiers",1,"add_mod_to_magic_making_rare","2 high_level",[6987],"",1754,[1],"Upgrade a Magic item to a Rare item, adding two random high-tier modifiers","Art/2DItems/Currency/Harvest/BlueSeedTier2Iguana.dds","",""
83,"RarityUpgrade_7","<white>{Upgrade} a <magic>{Magic item} to a Rare item, adding <white>{three} random <white>{high-tier} modifiers",1,"add_mod_to_magic_making_rare","3 high_level",[6987],"",3354,[1],"Upgrade a Magic item to a Rare item, adding three random high-tier modifiers","Art/2DItems/Currency/Harvest/BlueSeedTier2Iguana.dds","",""
84,"RarityUpgrade_8","<white>{Upgrade} a <magic>{Magic item} to a Rare item, adding <white>{four} random <white>{high-tier} modifiers",1,"add_mod_to_magic_making_rare","4 high_level",[6987],"",8199,[1],"Upgrade a Magic item to a Rare item, adding four random high-tier modifiers","Art/2DItems/Currency/Harvest/BlueSeedTier2Iguana.dds","",""
85,"LuckyCraft_1","<white>{Reforge} a <white>{Rare} item with Lucky modifier values, keeping all <white>{Prefixes}",1,"reroll_keeping_set","prefix lucky",[6987],"",61584,[3],"Reforge a Rare item with Lucky modifier values, keeping all Prefixes","Art/2DItems/Currency/Harvest/BlueSeedTier2SandLeaper.dds","",""
86,"LuckyCraft_2","<white>{Reforge} a <white>{Rare} item with Lucky modifier values, keeping all <white>{Suffixes}",1,"reroll_keeping_set","suffix lucky",[6987],"",49125,[3],"Reforge a Rare item with Lucky modifier values, keeping all Suffixes","Art/2DItems/Currency/Harvest/BlueSeedTier2SandLeaper.dds","",""
87,"LuckyCraft_2a","<white>{Reroll} the values of <white>{Prefix} modifiers on a Magic or Rare item, with Lucky modifier values",1,"reroll_mods_lucky","prefix",[6987],"",2430,[9],"Reroll the values of Prefix modifiers on a Magic or Rare item, with Lucky modifier values","Art/2DItems/Currency/Harvest/BlueSeedTier2SandLeaper.dds","",""
88,"LuckyCraft_2b","<white>{Reroll} the values of <white>{Suffix} modifiers on a Magic or Rare item, with Lucky modifier values",1,"reroll_mods_lucky","suffix",[6987],"",22314,[9],"Reroll the values of Suffix modifiers on a Magic or Rare item, with Lucky modifier values","Art/2DItems/Currency/Harvest/BlueSeedTier2SandLeaper.dds","",""
89,"LuckyCraft_3","<white>{Reroll} the values of <white>{Prefix, Suffix and Implicit} modifiers on a Rare item, with Lucky modifier values",1,"reroll_mods_lucky","prefix suffix implicit",[6987],"",62200,[9],"Reroll the values of Prefix, Suffix and Implicit modifiers on a Rare item, with Lucky modifier values","Art/2DItems/Currency/Harvest/BlueSeedTier2SandLeaper.dds","",""
90,"LuckyCraft_4","<white>{Augment} a non-Influenced <white>{Rare} item with a new modifier, with Lucky modifier values",1,"add_mod_to_rare_lucky","noinfluence",[6987],"",63935,[0],"Augment a non-Influenced Rare item with a new modifier, with Lucky modifier values","Art/2DItems/Currency/Harvest/BlueSeedTier2SandLeaper.dds","",""
91,"Scarab_1","<white>{Change} a <white>{Scarab} to another Scarab of the same rarity",2,"change_scarab_into_other_of_same_tier","",[6987],1,26966,[],"Change a Scarab to another Scarab of the same rarity","Art/2DItems/Currency/Harvest/YellowSeedTier3VultureParasite.dds",1,""
92,"Scarab_2","Attempt to <white>{upgrade} a <white>{Scarab}, with a chance for it to become Winged",2,"upgrade_scarab","","[6987,7106]",1,10168,[],"Attempt to upgrade a Scarab, with a chance for it to become Winged","Art/2DItems/Currency/Harvest/YellowSeedTier3VultureParasite.dds",1,""
93,"Scarab_3","<white>{Split} a <white>{Scarab} into two Scarabs of lower rarity",2,"split_scarab","",[6987],1,61829,[],"Split a Scarab into two Scarabs of lower rarity","Art/2DItems/Currency/Harvest/YellowSeedTier3VultureParasite.dds",1,""
94,"AddInfluence_1_","<white>{Randomise} the <white>{Influence} types on an Influenced Normal, Magic or Rare <white>{Weapon} or <white>{Quiver}, as well as <white>{reforging} the item with new random modifiers",2,"reroll_influence_types","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre Quiver",[6987],"",21317,[],"Randomise the Influence types on an Influenced Normal, Magic or Rare Weapon or Quiver, as well as reforging the item with new random modifiers","Art/2DItems/Currency/Harvest/BlueSeedTier3KiatavaDemon.dds","",""
95,"AddInfluence_2","<white>{Randomise} the <white>{Influence} types on an Influenced Normal, Magic or Rare <white>{Armour}, as well as <white>{reforging} the item with new random modifiers",2,"reroll_influence_types","Gloves Boots Body_Armour Helmet Shield",[6987],"",11817,[],"Randomise the Influence types on an Influenced Normal, Magic or Rare Armour, as well as reforging the item with new random modifiers","Art/2DItems/Currency/Harvest/BlueSeedTier3KiatavaDemon.dds","",""
96,"AddInfluence_3","<white>{Randomise} the <white>{Influence} types on an Influenced Normal, Magic or Rare <white>{Jewellery}, as well as <white>{reforging} the item with new random modifiers",2,"reroll_influence_types","Amulet Ring Belt",[6987],"",32798,[],"Randomise the Influence types on an Influenced Normal, Magic or Rare Jewellery, as well as reforging the item with new random modifiers","Art/2DItems/Currency/Harvest/BlueSeedTier3KiatavaDemon.dds","",""
97,"ModInfluence_2","<white>{Remove} a random <white>{non-Influence} modifier from an item and <white>{add} a new <white>{Influence} modifier",3,"remove_non_influence_and_influence_type_mod","","[6987,7107]","",21932,"[8,0]","Remove a random non-Influence modifier from an item and add a new Influence modifier","Art/2DItems/Currency/Harvest/BlueSeedBoss.dds","",""
98,"ModInfluence_3","<white>{Augment} a Magic or Rare item with a new <white>{Influence} modifier",3,"add_influence_mod","","[6987,7107]","",47506,[0],"Augment a Magic or Rare item with a new Influence modifier","Art/2DItems/Currency/Harvest/BlueSeedBoss.dds","",""
99,"ModInfluence_4","<white>{Remove} a random <white>{Influence} modifier from an item",3,"remove_influence_mod","",[6987],"",45870,[8],"Remove a random Influence modifier from an item","Art/2DItems/Currency/Harvest/BlueSeedBoss.dds","",""
100,"ModInfluence_5","<white>{Randomise} the numeric values of the random <white>{Influence} modifiers on a Magic or Rare item",3,"reroll_influence_mods","",[6987],"",42453,[9],"Randomise the numeric values of the random Influence modifiers on a Magic or Rare item","Art/2DItems/Currency/Harvest/BlueSeedBoss.dds","",""
101,"ModInfluence_6","<white>{Remove} a random <white>{Influence} modifier from an item and <white>{add} a new <white>{Influence} modifier",3,"remove_influence_and_add_influence_mod","","[6987,7107]","",1317,"[8,0]","Remove a random Influence modifier from an item and add a new Influence modifier","Art/2DItems/Currency/Harvest/BlueSeedBoss.dds","",""
102,"ModInfluence_7","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including an <white>{Influence} modifier. <white>{Influence} modifiers are more common",3,"reroll_with_influence_mod_with_affinity_multiplier","ON normal_magic_rare","[6987,7107]","",17,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including an Influence modifier. Influence modifiers are more common","Art/2DItems/Currency/Harvest/BlueSeedBoss.dds","",""
103,"ModInfluence_8","<white>{Augment} a Magic or Rare item with a new <white>{Influence} modifier with Lucky values",3,"add_influence_mod_lucky","","[6987,7107]","",54691,[0],"Augment a Magic or Rare item with a new Influence modifier with Lucky values","Art/2DItems/Currency/Harvest/BlueSeedBoss.dds","",""
104,"SocketNumbers_1","Set an item to <white>{three sockets}",0,"set_socket_number","3",[6987],"",6069,[6],"Set an item to three sockets","Art/2DItems/Currency/Harvest/YellowSeedTier1Parasite.dds","",""
105,"SocketNumbers_2","Set an item to <white>{four sockets}",0,"set_socket_number","4",[6987],"",38333,[6],"Set an item to four sockets","Art/2DItems/Currency/Harvest/YellowSeedTier1Parasite.dds","",""
106,"SocketNumbers_3","Set an item to <white>{five sockets}",0,"set_socket_number","5",[6987],"",1003,[6],"Set an item to five sockets","Art/2DItems/Currency/Harvest/YellowSeedTier1Parasite.dds","",""
107,"SocketNumbers_4","Set an item to <white>{six sockets}",0,"set_socket_number","6",[6987],"",51040,[6],"Set an item to six sockets","Art/2DItems/Currency/Harvest/YellowSeedTier1Parasite.dds","",""
108,"ModAttack_0","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including an <craftingattack>{Attack} modifier",0,"reroll_with_mod","attack ON normal_magic_rare",[6987],"",8733,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including an Attack modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1MeleeSpider.dds","",""
109,"ModAttack_1","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including an <craftingattack>{Attack} modifier",0,"reroll_with_mod","attack ON normal_magic_rare",[6987],"",20508,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including an Attack modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1MeleeSpider.dds","",""
110,"ModAttack_2","<white>{Remove} a random <white>{non-Attack} modifier from a non-Influenced item and <white>{add} a new <craftingattack>{Attack} modifier",0,"remove_non_type_and_add_type_mod","attack FOR attack noinfluence",[6987],"",62374,"[8,0]","Remove a random non-Attack modifier from a non-Influenced item and add a new Attack modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1MeleeSpider.dds","",""
111,"ModAttack_2b","<white>{Remove} a random <white>{non-Attack} modifier from a non-Influenced item and <white>{add} a new <craftingattack>{Attack} modifier",0,"remove_non_type_and_add_type_mod","attack FOR attack noinfluence",[6987],"",992,"[8,0]","Remove a random non-Attack modifier from a non-Influenced item and add a new Attack modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1MeleeSpider.dds","",""
112,"ModAttack_3","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingattack>{Attack} modifier",0,"add_type_mod","attack noinfluence",[6987],"",12484,[0],"Augment a non-Influenced Magic or Rare item with a new Attack modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1MeleeSpider.dds","",""
113,"ModAttack_3b","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingattack>{Attack} modifier",0,"add_type_mod","attack noinfluence",[6987],"",29161,[0],"Augment a non-Influenced Magic or Rare item with a new Attack modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1MeleeSpider.dds","",""
114,"ModAttack_4","<white>{Remove} a random <craftingattack>{Attack} modifier from a non-Influenced item",0,"remove_type_mod","attack noinfluence",[6987],"",35479,[8],"Remove a random Attack modifier from a non-Influenced item","Art/2DItems/Currency/Harvest/YellowSeedTier1MeleeSpider.dds","",""
115,"ModAttack_5","<white>{Randomise} the numeric values of the random <craftingattack>{Attack} modifiers on a Magic or Rare item",0,"reroll_type_mods","attack",[6987],"",23662,[9],"Randomise the numeric values of the random Attack modifiers on a Magic or Rare item","Art/2DItems/Currency/Harvest/YellowSeedTier1MeleeSpider.dds","",""
116,"ModAttack_6","<white>{Remove} a random <craftingattack>{Attack} modifier from a non-Influenced item and <white>{add} a new <craftingattack>{Attack} modifier",0,"remove_type_and_add_type_mod","attack FOR attack noinfluence",[6987],"",28836,"[8,0]","Remove a random Attack modifier from a non-Influenced item and add a new Attack modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1MeleeSpider.dds","",""
117,"ModAttack_7","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including an <craftingattack>{Attack} modifier. <craftingattack>{Attack} modifiers are more common",0,"reroll_with_mod_with_affinity_multiplier","attack ON normal_magic_rare",[6987],"",23341,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including an Attack modifier. Attack modifiers are more common","Art/2DItems/Currency/Harvest/YellowSeedTier1MeleeSpider.dds","",""
118,"ModAttack_8","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingattack>{Attack} modifier with Lucky values",0,"add_type_mod_lucky","attack noinfluence",[6987],"",34058,[0],"Augment a non-Influenced Magic or Rare item with a new Attack modifier with Lucky values","Art/2DItems/Currency/Harvest/YellowSeedTier1MeleeSpider.dds","",""
119,"ModCold_0","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingcold>{Cold} modifier",0,"reroll_with_mod","cold ON normal_magic_rare",[6987],"",55758,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Cold modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1Scorpion.dds","",""
120,"ModCold_1","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingcold>{Cold} modifier",0,"reroll_with_mod","cold ON normal_magic_rare",[6987],"",48047,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Cold modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1Scorpion.dds","",""
121,"ModCold_2","<white>{Remove} a random <white>{non-Cold} modifier from a non-Influenced item and <white>{add} a new <craftingcold>{Cold} modifier",0,"remove_non_type_and_add_type_mod","cold FOR cold noinfluence",[6987],"",60675,"[8,0]","Remove a random non-Cold modifier from a non-Influenced item and add a new Cold modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1Scorpion.dds","",""
122,"ModCold_2b","<white>{Remove} a random <white>{non-Cold} modifier from a non-Influenced item and <white>{add} a new <craftingcold>{Cold} modifier",0,"remove_non_type_and_add_type_mod","cold FOR cold noinfluence",[6987],"",48958,"[8,0]","Remove a random non-Cold modifier from a non-Influenced item and add a new Cold modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1Scorpion.dds","",""
123,"ModCold_3","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingcold>{Cold} modifier",0,"add_type_mod","cold noinfluence",[6987],"",48398,[0],"Augment a non-Influenced Magic or Rare item with a new Cold modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1Scorpion.dds","",""
124,"ModCold_3b","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingcold>{Cold} modifier",0,"add_type_mod","cold noinfluence",[6987],"",14386,[0],"Augment a non-Influenced Magic or Rare item with a new Cold modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1Scorpion.dds","",""
125,"ModCold_4","<white>{Remove} a random <craftingcold>{Cold} modifier from a non-Influenced item",0,"remove_type_mod","cold noinfluence",[6987],"",35463,[8],"Remove a random Cold modifier from a non-Influenced item","Art/2DItems/Currency/Harvest/YellowSeedTier1Scorpion.dds","",""
126,"ModCold_5","<white>{Randomise} the numeric values of the random <craftingcold>{Cold} modifiers on a Magic or Rare item",0,"reroll_type_mods","cold",[6987],"",6295,[9],"Randomise the numeric values of the random Cold modifiers on a Magic or Rare item","Art/2DItems/Currency/Harvest/YellowSeedTier1Scorpion.dds","",""
127,"ModCold_6","<white>{Remove} a random <craftingcold>{Cold} modifier from a non-Influenced item and <white>{add} a new <craftingcold>{Cold} modifier",0,"remove_type_and_add_type_mod","cold FOR cold noinfluence",[6987],"",14939,"[8,0]","Remove a random Cold modifier from a non-Influenced item and add a new Cold modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1Scorpion.dds","",""
128,"ModCold_7","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingcold>{Cold} modifier. <craftingcold>{Cold} modifiers are more common",0,"reroll_with_mod_with_affinity_multiplier","cold ON normal_magic_rare",[6987],"",53713,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Cold modifier. Cold modifiers are more common","Art/2DItems/Currency/Harvest/YellowSeedTier1Scorpion.dds","",""
129,"ModCold_8","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingcold>{Cold} modifier with Lucky values",0,"add_type_mod_lucky","cold noinfluence",[6987],"",62824,[0],"Augment a non-Influenced Magic or Rare item with a new Cold modifier with Lucky values","Art/2DItems/Currency/Harvest/YellowSeedTier1Scorpion.dds","",""
130,"ModLife_0","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftinglife>{Life} modifier",0,"reroll_with_mod","life ON normal_magic_rare",[6987],"",4084,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Life modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1Weta.dds","",""
131,"ModLife_1","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftinglife>{Life} modifier",0,"reroll_with_mod","life ON normal_magic_rare",[6987],"",21013,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Life modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1Weta.dds","",""
132,"ModLife_2","<white>{Remove} a random <white>{non-Life} modifier from a non-Influenced item and <white>{add} a new <craftinglife>{Life} modifier",0,"remove_non_type_and_add_type_mod","life FOR life noinfluence",[6987],"",54698,"[8,0]","Remove a random non-Life modifier from a non-Influenced item and add a new Life modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1Weta.dds","",""
133,"ModLife_2b","<white>{Remove} a random <white>{non-Life} modifier from a non-Influenced item and <white>{add} a new <craftinglife>{Life} modifier",0,"remove_non_type_and_add_type_mod","life FOR life noinfluence",[6987],"",41902,"[8,0]","Remove a random non-Life modifier from a non-Influenced item and add a new Life modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1Weta.dds","",""
134,"ModLife_3","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftinglife>{Life} modifier",0,"add_type_mod","life noinfluence",[6987],"",9658,[0],"Augment a non-Influenced Magic or Rare item with a new Life modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1Weta.dds","",""
135,"ModLife_3b","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftinglife>{Life} modifier",0,"add_type_mod","life noinfluence",[6987],"",52194,[0],"Augment a non-Influenced Magic or Rare item with a new Life modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1Weta.dds","",""
136,"ModLife_4","<white>{Remove} a random <craftinglife>{Life} modifier from a non-Influenced item",0,"remove_type_mod","life noinfluence",[6987],"",42383,[8],"Remove a random Life modifier from a non-Influenced item","Art/2DItems/Currency/Harvest/YellowSeedTier1Weta.dds","",""
137,"ModLife_5","<white>{Randomise} the numeric values of the random <craftinglife>{Life} modifiers on a Magic or Rare item",0,"reroll_type_mods","life",[6987],"",30954,[9],"Randomise the numeric values of the random Life modifiers on a Magic or Rare item","Art/2DItems/Currency/Harvest/YellowSeedTier1Weta.dds","",""
138,"ModLife_6","<white>{Remove} a random <craftinglife>{Life} modifier from a non-Influenced item and <white>{add} a new <craftinglife>{Life} modifier",0,"remove_type_and_add_type_mod","life FOR life noinfluence",[6987],"",30496,"[8,0]","Remove a random Life modifier from a non-Influenced item and add a new Life modifier","Art/2DItems/Currency/Harvest/YellowSeedTier1Weta.dds","",""
139,"ModLife_7","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftinglife>{Life} modifier. <craftinglife>{Life} modifiers are more common",0,"reroll_with_mod_with_affinity_multiplier","life ON normal_magic_rare",[6987],"",46638,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Life modifier. Life modifiers are more common","Art/2DItems/Currency/Harvest/YellowSeedTier1Weta.dds","",""
140,"ModLife_8","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftinglife>{Life} modifier with Lucky values",0,"add_type_mod_lucky","life noinfluence",[6987],"",43304,[0],"Augment a non-Influenced Magic or Rare item with a new Life modifier with Lucky values","Art/2DItems/Currency/Harvest/YellowSeedTier1Weta.dds","",""
141,"MultiCurrency_1","<white>{Reforge} the <white>{number of sockets} on an item 10 times, using the outcome with the greatest number of sockets",0,"use_x_jeweller","10",[6987],"",17684,[6],"Reforge the number of sockets on an item 10 times, using the outcome with the greatest number of sockets","Art/2DItems/Currency/Harvest/RedSeedTier1Insect.dds","",""
142,"MultiCurrency_2","<white>{Reforge} the <white>{links between sockets} on an item 10 times, using the outcome with the greatest number of linked sockets",0,"use_x_fuse","10",[6987],"",63750,[7],"Reforge the links between sockets on an item 10 times, using the outcome with the greatest number of linked sockets","Art/2DItems/Currency/Harvest/RedSeedTier1Insect.dds","",""
143,"MultiCurrency_3","<white>{Reforge} the <white>{colours of sockets} on an item 10 times, using the outcome with the greatest number of less-common socket colours",0,"use_x_chrome","10",[6987],"",45260,[5],"Reforge the colours of sockets on an item 10 times, using the outcome with the greatest number of less-common socket colours","Art/2DItems/Currency/Harvest/RedSeedTier1Insect.dds","",""
144,"MultiCurrency_4","Improves the <white>{Quality} of a <white>{Flask} by at least 10%. Has greater effect on lower rarity flasks. The maximum quality is 20%",0,"use_x_glassblower","10",[6987],"",38890,[10],"Improves the Quality of a Flask by at least 10%. Has greater effect on lower rarity flasks. The maximum quality is 20%","Art/2DItems/Currency/Harvest/RedSeedTier1Insect.dds","",""
145,"MultiCurrency_5","Improves the <white>{Quality} of a <white>{Gem} by at least 10%. The maximum quality is 20%",0,"use_x_gemcutter","10",[6987],"",48708,[11],"Improves the Quality of a Gem by at least 10%. The maximum quality is 20%","Art/2DItems/Currency/Harvest/RedSeedTier1Insect.dds","",""
146,"MultiCurrency_6","<white>{Upgrades} a Normal Item to a <white>{random rarity} 10 times, using the outcome with the highest rarity",0,"use_x_chance","10",[6987],"",4244,[4],"Upgrades a Normal Item to a random rarity 10 times, using the outcome with the highest rarity","Art/2DItems/Currency/Harvest/RedSeedTier1Insect.dds","",""
147,"MultiCurrency_7","<white>{Reforge} a Rare item with new <white>{random modifiers} 10 times, using the outcome with the highest average modifier level",0,"use_x_chaos","10",[6987],"",51562,[3],"Reforge a Rare item with new random modifiers 10 times, using the outcome with the highest average modifier level","Art/2DItems/Currency/Harvest/RedSeedTier1Insect.dds","",""
148,"Multicurrency_8","Corrupt an item 10 times, or until getting a corrupted implicit modifier",0,"use_x_vaal","10",[6987],"",37227,[13],"Corrupt an item 10 times, or until getting a corrupted implicit modifier","Art/2DItems/Currency/Harvest/RedSeedTier1Insect.dds","",""
149,"Flask_1","<white>{Enchant} a <white>{Flask} with a modifier that grants <enchanted>{increased Duration}. The magnitude of this effect decreases with each use",1,"add_enchant_to_flask","HarvestFlaskEnchantmentDurationLoweredOnUse1_",[6987],"",622,[],"Enchant a Flask with a modifier that grants increased Duration. The magnitude of this effect decreases with each use","Art/2DItems/Currency/Harvest/YellowSeedTier2Scorpion.dds","",1
150,"Flask_2","<white>{Enchant} a <white>{Flask} with a modifier that grants <enchanted>{increased Effect}. The magnitude of this effect decreases with each use",1,"add_enchant_to_flask","HarvestFlaskEnchantmentEffectLoweredOnUse2",[6987],"",9271,[],"Enchant a Flask with a modifier that grants increased Effect. The magnitude of this effect decreases with each use","Art/2DItems/Currency/Harvest/YellowSeedTier2Scorpion.dds","",1
151,"Flask_3","<white>{Enchant} a <white>{Flask} with a modifier that grants <enchanted>{increased Maximum Charges}. The magnitude of this effect decreases with each use",1,"add_enchant_to_flask","HarvestFlaskEnchantmentMaximumChargesLoweredOnUse3_",[6987],"",50323,[],"Enchant a Flask with a modifier that grants increased Maximum Charges. The magnitude of this effect decreases with each use","Art/2DItems/Currency/Harvest/YellowSeedTier2Scorpion.dds","",1
152,"Flask_4","<white>{Enchant} a <white>{Flask} with a modifier that grants <enchanted>{reduced Charges used}. The magnitude of this effect decreases with each use",1,"add_enchant_to_flask","HarvestFlaskEnchantmentChargesUsedLoweredOnUse4",[6987],"",30950,[],"Enchant a Flask with a modifier that grants reduced Charges used. The magnitude of this effect decreases with each use","Art/2DItems/Currency/Harvest/YellowSeedTier2Scorpion.dds","",1
153,"ChangeMap_1","<white>{Change} a <white>{Map} into another of the same tier, prioritising Maps that you have not yet completed",1,"change_map_base_same_tier_pref_uncomplete","",[6987],1,37602,[],"Change a Map into another of the same tier, prioritising Maps that you have not yet completed","Art/2DItems/Currency/Harvest/YellowSeedTier2HuhuGrub.dds","",""
154,"ChangeMap_2","<white>{Sacrifice} a <white>{Map} for multiple Maps one tier lower",1,"split_map_into_lower_tier","3",[6987],1,53202,[],"Sacrifice a Map for multiple Maps one tier lower","Art/2DItems/Currency/Harvest/YellowSeedTier2HuhuGrub.dds",1,""
155,"ChangeMap_3","<white>{Sacrifice} a <white>{Corrupted Map}. Create a new Corrupted Map of the same tier and rarity.",1,"sacrifice_corrupted_map_for_new_corrupted_map","",[6987],1,43192,[],"Sacrifice a Corrupted Map. Create a new Corrupted Map of the same tier and rarity.","Art/2DItems/Currency/Harvest/YellowSeedTier2HuhuGrub.dds","",""
156,"EnchantMap_1","<white>{Enchant} a non-Unique <white>{Map} with <enchanted>{\""Has an additional modifier from Zana's crafting bench at random\""}",1,"add_mod_to_map","zana",[6987],1,31371,[],"Enchant a non-Unique Map with \""Has an additional modifier from Zana's crafting bench at random\""","Art/2DItems/Currency/Harvest/YellowSeedTier2PlagueSpider.dds","",""
157,"EnchantMap_2","<white>{Enchant} a non-Unique <white>{Map} with <enchanted>{\""Map doesn't consume Sextant charges\""}",1,"add_mod_to_map","sextant",[6987],1,5422,[],"Enchant a non-Unique Map with \""Map doesn't consume Sextant charges\""","Art/2DItems/Currency/Harvest/YellowSeedTier2PlagueSpider.dds","",""
158,"EnchantMap_3","<white>{Enchant} a non-Unique <white>{Map} with <enchanted>{\""Map has a Vaal Side Area\""}",1,"add_mod_to_map","side_area",[6987],1,13181,[],"Enchant a non-Unique Map with \""Map has a Vaal Side Area\""","Art/2DItems/Currency/Harvest/YellowSeedTier2PlagueSpider.dds","",""
159,"EnchantMap_4","<white>{Enchant} a non-Unique <white>{Map} with <enchanted>{\""Map boss is surrounded by Tormented Spirits\""}",1,"add_mod_to_map","tormented_spirits",[6987],1,48602,[],"Enchant a non-Unique Map with \""Map boss is surrounded by Tormented Spirits\""","Art/2DItems/Currency/Harvest/YellowSeedTier2PlagueSpider.dds","",""
160,"ModCritical_0","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingcrit>{Critical} modifier",1,"reroll_with_mod","critical ON normal_magic_rare",[6987],"",22561,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Critical modifier","Art/2DItems/Currency/Harvest/BlueSeedTier2DevourerSnake.dds","",""
161,"ModCritical_1","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingcrit>{Critical} modifier",1,"reroll_with_mod","critical ON normal_magic_rare",[6987],"",41298,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Critical modifier","Art/2DItems/Currency/Harvest/BlueSeedTier2DevourerSnake.dds","",""
162,"ModCritical_2","<white>{Remove} a random <white>{non-Critical} modifier from a non-Influenced item and <white>{add} a new <craftingcrit>{Critical} modifier",1,"remove_non_type_and_add_type_mod","critical FOR critical noinfluence",[6987],"",55915,"[8,0]","Remove a random non-Critical modifier from a non-Influenced item and add a new Critical modifier","Art/2DItems/Currency/Harvest/BlueSeedTier2DevourerSnake.dds","",""
163,"ModCritical_2b","<white>{Remove} a random <white>{non-Critical} modifier from a non-Influenced item and <white>{add} a new <craftingcrit>{Critical} modifier",1,"remove_non_type_and_add_type_mod","critical FOR critical noinfluence",[6987],"",49379,"[8,0]","Remove a random non-Critical modifier from a non-Influenced item and add a new Critical modifier","Art/2DItems/Currency/Harvest/BlueSeedTier2DevourerSnake.dds","",""
