"rownum","GroundEffectTypesKey","i32","i32","rid","f32","[i32]","bool","AOFile","[string]","EndEffect","rid","rid","rid","rid","rid","bool","bool","bool","rid","rid","bool"
99,14,11,2,"",250,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Synthesis/bosses/all_voidsand.ao""]","[""loop""]","fadeout","",265,"","","","",1,"","","",""
100,24,0,2,"",150,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Blight/Fungal_ground/fungalGround.ao""]",[],"fadeout","","","","","","",1,"","","",""
101,17,0,2,"",105,[],"","[""Metadata/Effects/Spells/monsters_effects/AtlasExiles/Orion/destruction_assets/meteors/meteor_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
102,11,0,2,"",800,[],1,"[""Metadata/Effects/Spells/monsters_effects/Breach/Cold/Blizzard/Blizzard.ao""]","[""loop""]","end","","","","","","",1,"","","",""
103,16,0,2,"",200,[],1,"[""Metadata/Effects/Microtransactions/Misc/uniques/body_armour/TimeAnomaly/timeanomaly.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
104,16,1,2,"",200,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Blight/Tower_Skills/Temporal/rig.ao""]","[""loop""]","fadeout",1405,"","","","","","","","","",""
105,16,2,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Affliction/affliction_mods/slowzone.ao""]","[""loop""]","end","","","","","","","","","","",""
106,8,0,2,"",167,[],1,"[""Metadata/Effects/Spells/frost_bolt/sml_maelstrom.ao""]","[""loop""]","end","","","","","","","","","","",""
107,8,1,2,"",167,[],1,"[""Metadata/Effects/Microtransactions/Spells/frost_bolt/maelstrom.ao""]","[""loop""]","end","","","","","","","","","","",""
108,8,2,2,"",167,[],1,"[""Metadata/Effects/Microtransactions/Spells/frost_bolt/maelstrom.ao""]","[""loop""]","end","",104,"","","","","","","","",""
109,8,3,2,"",180,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/TheShaper/super_blackhole/rig.ao""]","[""loop""]","end","","","","","","","","","","",""
110,8,4,2,"",155,[],1,"[""Metadata/Effects/Spells/monsters_effects/Solaris_and_Lunaris/Lunaris_e/expanding_darkness.ao""]","[""loop""]","fadeout",866,"","","","","","","","","",""
111,8,5,2,"",180,[],1,"[""Metadata/Monsters/Anomaly/Vortex_UniqueRing.ao""]","[""loop""]","end","","","","","","","","","","",""
112,8,6,2,"",180,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/TheShaper/super_blackhole/rig_ubElder.ao""]","[""loop""]","end","","","","","","","","","","",""
113,8,7,2,"",200,[],1,"[""Metadata/Effects/Microtransactions/Misc/uniques/body_armour/TimeAnomaly/timeanomaly.ao""]","[""loop""]","fadeout","","","","","","","","","","",""
114,8,8,2,1483,250,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Maven/buffs/chilled_grd/chilled_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
115,8,9,2,"",235,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_cold.ao""]","[""loop""]","end","","","","","","","","","","",""
116,8,10,2,"",235,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_lightning.ao""]","[""loop""]","end","","","","","","","","","","",""
117,8,11,2,"",235,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_ruin.ao""]","[""loop""]","end",1783,"","","","","","","","","",""
118,8,12,2,"",250,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Expedition/general/zombie/cold_mist.ao""]","[""loop""]","end","","","","","","","","","","",1
119,8,13,2,"",167,[],1,"[""Metadata/Effects/Microtransactions/Spells/MyrmidonVortex/sml_maelstrom.ao""]","[""loop""]","end","","","","","","","","","","",""
120,26,0,2,"",800,[],1,"[""Metadata/Effects/Spells/ground_effects/vaal_cold_snap/VaalColdSnapGroundEffect.ao""]","[""loop""]","end","","","","","","","","","","",""
121,18,0,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_boss/final/crown_of_thorns/anger_ground.ao""]","[""loop""]","fadeout","",395,"","","","","","","","",""
122,27,0,2,"",100,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/torch/oil_ground.ao""]",[],"fadeout","",433,"","","","",1,"","","",""
123,28,0,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/scorched/scorched_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",""
124,29,0,2,"",175,[],"","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Maven/brain/void_zone/rig.ao""]","[""loop""]","fadeout","",266,"","","","",1,"","","",""
125,30,0,2,"",235,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_lightning.ao""]","[""loop""]","end","","","","","","","","","","",""
126,30,1,2,"",235,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_ruin.ao""]","[""loop""]","end",1782,"","","","","","","","","",""
