"rownum","Id","BaseItemTypesKey","HASH16","HASH32","i32","bool","bool","[rid]"
293,"Metadata/Pet/ParagonPet/ParagonPet",3820,7860,1538344197,8,"","",[1]
294,"Metadata/Pet/EthercraftTurtle/SavageEthercraftTurtle",3821,986,-672672707,8,"","",[1]
295,"Metadata/Pet/EthercraftTurtleEnraged/EnragedEthercraftTurtle",3822,11895,1698319181,8,"","",[1]
296,"Metadata/Pet/EthercraftTurtleTranquil/TranquilEthercraftTurtle",3823,60254,1792442760,8,"","",[1]
297,"Metadata/Pet/EthercraftTurtleChaotic/ChaoticEthercraftTurtle",3824,22730,-177558112,8,"","",[1]
298,"Metadata/Pet/DragonSerpent/DragonSerpent",3825,34863,1618798675,14,1,"",[1]
299,"Metadata/Pet/DragonSerpent/DragonSerpentPremium",3826,40417,594984599,14,"",1,[1]
300,"Metadata/Pet/DragonSerpent/DragonSerpentPremiumExpired",3827,28497,-1788872178,14,1,"",[1]
301,"Metadata/Pet/JingweiBabyCrane/JingweiBabyCrane",3828,59758,2005638885,8,1,"",[1]
302,"Metadata/Pet/JingweiCrane/JingweiCrane",3829,38119,-1691938880,8,"",1,[1]
303,"Metadata/Pet/JingweiCrane/JingweiCraneExpired",3830,6131,1202212955,8,1,"",[1]
304,"Metadata/Pet/BuccaneerPet/BuccaneerPet",3832,45357,2126630892,8,"","",[2]
305,"Metadata/Pet/IntrepidDeer/IntrepidDeer",3831,12606,-665851535,8,"","",[1]
306,"Metadata/Pet/Seagull/AtlantisSirenSeagull",3833,31305,899502036,8,"","",[1]
307,"Metadata/Pet/AtlantisSirenPegasus/AtlantisSirenPegasus",3834,62905,722919087,12,"","",[1]
308,"Metadata/Pet/Frog/Deepwater",3835,53606,-2039916785,8,"","",[1]
309,"Metadata/Pet/FishMine/FishMine",3836,12453,-1734367174,8,"","",[1]
310,"Metadata/Pet/HellscapePet/HellscapePet",3837,22214,-1592592428,10,"","",[1]
311,"Metadata/Pet/Skadi/Skadi",3838,28132,-526938765,10,1,"",[2]
312,"Metadata/Pet/Skadi/SkadiPremium",3839,47903,396340352,10,"",1,[2]
313,"Metadata/Pet/Skadi/SkadiPremiumExpired",3840,26442,1858079114,10,1,"",[2]
314,"Metadata/Pet/CelestialTurtle/CelestialTurtle",3844,51403,1548522631,8,"","",[1]
315,"Metadata/Pet/GryffonPets/DarkShardTencentGryffon",3841,28186,502821858,10,"","",[1]
316,"Metadata/Pet/GryffonPets/DarkShardTencentGryffonPremium",3842,22433,-2043162218,10,"","",[1]
317,"Metadata/Pet/GryffonPets/DarkShardTencentGryffonPremiumExpired",3843,40946,-1720777059,10,"","",[1]
