"rownum","Id","BuffDefinitionsKey","[i32]","AuraRadius","[i32]","[i32]","BuffVisualsKey","f32","bool","StatsKey","i32"
282,"MonsterAfflictionMagicRewardFrostOrbs_",373,[],0,[],[],1270,0,1,[],1
283,"MonsterAfflictionMagicRewardSlamma",373,[],0,[],[],1272,0,1,[],1
284,"MonsterAfflictionMagicRewardSoulMortarOnDeath",373,[],0,[],[],1266,0,1,[],1
285,"MonsterAfflictionMagicRewardSpineCascadeOnDeath",373,[],0,[],[],1267,0,1,[],1
286,"MonsterAfflictionMagicRewardDebuffRecoveryRate__",373,[],0,[],[],1268,0,1,[],1
287,"MonsterAfflictionMagicRewardDebuffActionSpeed",373,[],0,[],[],1268,0,1,[],1
288,"MonsterAfflictionMagicRewardDebuffDamageTaken",373,[],0,[],[],1268,0,1,[],1
289,"MonsterAfflictionMagicRewardDebuffFlaskEffect_",373,[],0,[],[],1268,0,1,[],1
290,"MonsterAfflictionHasDestroyCorpseSummonMonsterDaemon",373,[],0,[],[],1273,0,1,[],1
291,"MonsterAfflictionHasDestroyCorpseProjectileCascadeDaemon",373,[],0,[],[],1273,0,1,[],1
292,"MonsterAfflictionHasDestroyCorpseDegenZoneDaemon",373,[],0,[],[],1273,0,1,[],1
293,"MonsterAfflictionHasTeleportAndExplodeOnDeathDaemon",373,[],0,[],[],1265,0,1,[],1
294,"MonsterAfflictionFlameblastOnDeath",373,[],0,[],[],1264,0,1,[],1
295,"MonsterAfflictionVolatileOnDeath",373,[],0,[],[],1267,0,1,[],1
296,"MonsterAfflictionAnomalyOnDeath",373,[],0,[],[],1263,0,1,[],1
297,"MonsterAfflictionSpawnDemonPackOnDeath__",373,[],0,[],[],1268,0,1,[],1
298,"MonsterAfflictionSpawnDemonPackOnDeathMagic",373,[],0,[],[],1268,0,1,[],1
299,"MonsterAfflictionFirestormOnDeath",373,[],0,[],[],1267,0,1,[],1
300,"ShockedGroundWhileMovingUnique__1_",1528,[],0,[],[],"",0,1,[],1
301,"GrantsUnholyMightUnique__1",284,[0],0,[],[],"",0,1,[5648],1
302,"NearbyEnemiesAreChilledUnique__1",1492,[],30,[3],[1],"",0,1,[],1
303,"GainAreaOfEffectPluspercentOnManaSpentUnique__1",1593,[],0,[],[],"",0,1,[],1
304,"UniqueSecretBladeGrantHiddenBlade",1602,[],0,[],"[500,1]","",0,1,[],1
305,"ManaRegenerationAuraUnique__1",1626,[0],75,"[1,2,10]",[],"",0,1,[130],1
306,"FortifyEffectCrushed1",1569,[0],0,[],[],"",0,1,[1035],1
307,"FortifyEffectCrushed2_",1569,[0],0,[],[],"",0,1,[1035],1
308,"FortifyEffectCrushed3_",1569,[0],0,[],[],"",0,1,[1035],1
309,"NearbyEnemiesAreBlindedInfluenceMaven",1492,[],35,[3],[9],"",0,1,[],1
310,"EnemyPhysicalDamageTakenAuraUberMaven",1160,[0],60,[3],[],"",0,1,[545],1
311,"EnemyElementalDamageTakenAuraUberMaven_",1501,[0],60,[3],[],"",0,1,[3492],1
312,"EnemyLightningResistanceAuraInfluenceMaven",1158,[0],60,[3],[],"",0,1,[148],1
313,"EnemyFireResistanceAuraInfluenceMaven",1156,[0],60,[3],[],"",0,1,[144],1
314,"EnemyColdResistanceAuraInfluenceMaven",1157,[0],60,[3],[],"",0,1,[146],1
315,"EnemyChaosResistanceAuraInfluenceMaven",1159,[0],60,[3],[],"",0,1,[150],1
316,"ScorchedGroundWhileMovingUnique__1",1528,[],0,[],[1],"",0,1,[],1
317,"LocalDisplayYouAndNearbyAlliesHaveIncreasedItemRarityUnique__1",1724,[0],60,"[10,2,1]",[],"",0,1,[153],1
318,"MonsterSirusInfluenced",1746,"[0,0,0,0,0]",0,[],[],"",0,1,"[717,177,1905,7134,24]",1
319,"UltimatumAcceleratingMonsters",1779,"[0,0,0]",0,[],"[-100,5,0]","",0,1,"[70,216,177]",1
320,"UltimatumDaemonGraveyard_",1806,[],28,"[2,11]",[],"",0,1,[],1
321,"UltimatumDaemonGraveyardRuin",1808,[],28,"[2,11]",[],"",0,1,[],1
322,"NemesisAlliesTakeNoDamagePulse_",373,[],0,[],[],1543,0,1,[],1
323,"HearbyEnemiesAreHinderedUltimatum_",1494,[0],28,[3],[],476,0,1,[11522],1
324,"MonsterChilledAura",1492,[],30,[3],"[15,25]",1584,0,1,[],1
325,"ExpeditionDamageTakenLerp",897,"[-98,0,7000]",0,[],[],"",7,"",[],1
326,"ExpeditionOlrothRighteousFire",13,[975000],16,"[3,5]",[],1598,0,1,[],1
327,"ExpeditionOlrothBlind",174,"[-30,-30]",16,"[3,5]",[],"",0,1,[],1
328,"MonsterTotemAuraSlow1",133,[0],50,[3],[],"",0,1,[177],1
329,"MonsterTotemAuraLifeRegen1",88,[0],60,"[1,2]",[],"",0,1,[451],1
330,"MonsterTotemAuraDamage1",86,[0],60,"[1,2]",[],"",0,1,[26],1
331,"MonsterTotemAuraSpeed1",87,"[0,0,0]",60,"[1,2]",[],"",0,1,"[70,216,177]",1
332,"MonsterTotemAuraResists1",89,[0],60,"[1,2]",[],"",0,1,[141],1
333,"MonsterTotemAuraEnemyLifeDegen1",93,[0],60,[3],[],"",0,1,[452],1
334,"MonsterTotemAuraEvasion1",176,[0],60,"[1,2]",[],"",0,1,[119],1
335,"MonsterTotemAuraAddedFireDamage1",170,[0],60,"[1,2]",[],"",0,1,[447],1
336,"MonsterTotemAuraAddedColdDamage1",169,[0],60,"[1,2]",[],"",0,1,[448],1
337,"MonsterTotemAuraAddedLightningDamage1",171,[0],60,"[1,2]",[],"",0,1,[449],1
338,"CorpseSinkEffect",1874,[],0,[],"[10,1500,1500]","",2.5,"",[],1
339,"DeathGripAura",1883,[],40,[3],[],"",0,1,[],1
340,"InjectedLiquid",1887,[],0,[],[],"",0,1,[],1
341,"TornadoMovement",1912,[200],0,[],"[750,4,20]","",0,1,[],1
342,"HellscapeTentacleGrab",1931,[-50],0,[],[],"",0,1,[],1
