"rownum","Id","Name","Tier","MinLevel","RoomUpgrade_IncursionRoomsKey","[rid]","string","i32","rid","string","string","string","string","string","[rid]","i32","i32","i32","i32","rid"
66,"ArmourRoomIII","Chamber of Iron",3,0,"","[15045,15069]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/armour_present_3.arm",51778,9,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/ArmourRoom3","A bacchanalia of the finest regalia.","Monsters throughout the Temple have increased resistances.\nContains chests full of armour.",[],15,474,44,0,2197
67,"WeaponRoomIII","Hall of Champions",3,0,"","[15048,15069]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/weapons_present_3.arm",57246,10,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/WeaponRoom3","Blood spills for cheap thrills.","Increases monster criticals throughout the Temple.\nContains chests full of weapons.",[],75,475,45,0,2190
68,"BreedingRoomIII","Hall of War",3,0,"",[15023],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/breeding_present_3.arm",39495,11,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/BreedingRoom3","Death dwells in small cells.","Increases monster pack size throughout the Temple.",[],21,476,46,0,2188
69,"BreachRoomIII","House of the Others",3,0,"",[24025],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/breech_present_3.arm",10187,12,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/BreachRoom3","The Dreamer's reach extends through the breach.","Contains three Breaches and Breach Splinters.\nBreaches open and close faster.",[],18,477,47,0,2179
70,"GemRoomIII","Doryani's Institute",3,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/gems_present_3.arm",45452,13,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/GemRoom3","The enlightened fall victim to Doryani's dark dictum.","Contains chests full of gems and a device that can corrupt gems in a special way.",[],51,478,48,0,2176
71,"CurrencyVaultIII","Wealth of the Vaal",3,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/currency_present_3.arm",1833,14,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/CurrencyVault3","An empire's stash survives the ash.","Contains chests full of currency items.",[],33,479,49,0,2175
72,"TrinketRoomIII","Glittering Halls",3,0,"","[15026,15113]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/trinket_present_3.arm",6047,15,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/TrinketRoom3","The stones of old, wreathed in gold.","Increases the rarity of items dropped in the Temple.\nContains chests full of jewellery.",[],72,480,50,0,2181
73,"WorkshopIII","Factory",3,0,"","[15033,5365,15069]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/workshop_present_3.arm",55471,16,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Workshop3","The world burns, the cog turns.","Increases the life of the Omnitect and Monsters throughout the Temple.\nIncreases item yield of the Temple.",[],78,481,51,0,2187
74,"EmpoweringRoomIII","Temple Nexus",3,0,"","[15016,15069,15070]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/empowering_present_3.arm",36762,17,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/EmpoweringRoom3","The temple's heart, a work of art.","Increases the speed of monsters throughout the Temple.\nIncreases level of items dropped by one.\nUpgrades all adjacent rooms by one Tier, regardless of connections.",[],45,482,52,0,2191
75,"HealingRoomIII","Sanctum of Immortality",3,0,"","[15039,15069,15095]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/healing_present_3.arm",16697,18,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/HealingRoom3","Flesh rending for life unending.","Heals monsters in the Temple.\nContains a valuable item.",[],54,483,53,0,2195
76,"BossMinionsIII","Hybridisation Chamber",3,0,"","[15030,15069,15089,15107]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackA_present_3.arm",59890,19,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/BossMinionRoom3","Caught between meat and machine.","Increases monster damage throughout the Temple.\nAdds additional Minion monster packs throughout the Temple.\nAugments the Omnitect with minions.\nContains a valuable item.",[],36,484,54,0,2189
77,"BossFireIII","Crucible of Flame",3,0,"","[15051,15069,15083,15104]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackB_present_3.arm",19827,20,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/BossFireRoom3","Earth torn asunder births a mechanical wonder.","Monsters throughout the Temple have additional fire damage.\nAdds additional Fire monster packs throughout the Temple.\nAugments the Omnitect with fire.\nContains a valuable item.",[],39,485,55,0,2185
78,"BossLightningIII","Conduit of Lightning",3,0,"","[15054,15069,15086,15101]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/drawbackC_present_3.arm",65226,21,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/BossLightningRoom3","Arcs emerge to power the scourge.","Monsters throughout the Temple have additional lightning damage.\nAdds additional Lightning monster packs throughout the Temple.\nAugments the Omnitect with lightning.\nContains a valuable item.",[],42,486,56,0,2186
79,"ChasmRoom","Chasm",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_chasm_present.arm",6923,"","Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_chasm_past.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Chasm","Tread steady and slow lest you end up below.","",[],90,1161,-16843010,-16843010,""
80,"Passageways","Passageways",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_passage_present.arm",13404,"","Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_passage_past.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Passageways","Cruel acts debase this tight space.","",[],90,1161,-16843010,-16843010,""
81,"Halls","Halls",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_halls_present.arm",46218,"","Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_halls_past.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Halls","Smoothed stones hide bleached bones.","",[],90,1161,-16843010,-16843010,""
82,"Tunnels","Tunnels",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_tunnels_present.arm",34347,"","Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_tunnels_past.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Tunnels","Worn hands etch an echoing stretch.","",[],90,1161,-16843010,-16843010,""
83,"ThePits","Pits",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_pits_present.arm",12781,"","Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_pits_past.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/ThePits","Each well drenched with rotting stench.","",[],90,1161,-16843010,-16843010,""
84,"BanquetHall","Banquet Hall",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_banquet_present.arm",43703,"","Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_banquet_past.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/BanquetHall","Men in fetters feed their betters.","",[],90,1161,-16843010,-16843010,""
85,"Tombs","Tombs",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_tombs_present.arm",57864,"","Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_tombs_past.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Tombs","The scent of death fills every breath.","",[],90,1161,-16843010,-16843010,""
86,"Antechamber","Antechamber",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_antichamber_present.arm",49453,"","Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_antichamber_past.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Antechamber","Madness claws from inky maws.","",[],90,1161,-16843010,-16843010,""
87,"Cellar","Cellar",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_cellar_present.arm",36434,"","Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_cellar_past.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Cellar","Shadows choke; a lightless yoke.","",[],90,1161,-16843010,-16843010,""
88,"Cloister","Cloister",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_cloister_present.arm",1508,"","Metadata/Terrain/Leagues/Incursion/Rooms/Features/fill_cloister_past.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Cloister","Cold clay smothers decay.","",[],90,1161,-16843010,-16843010,""
89,"TormentI","Torment Cells",1,0,90,[24023],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/torment_present_1.arm",42673,22,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/torment_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_white.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/TormentRoom","They rot for ages in iron cages.","Contains Tormented Spirits.\nContains additional roaming Tormented Spirits.",[],84,259,-16843010,-16843010,""
90,"TormentII","Torture Cages",2,0,91,"[15062,24023]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/torment_present_2.arm",458,22,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/torment_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_white.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/TormentRoom2","Iron bars tell of the criminal swell.","Contains Tormented Spirits.\nContains additional roaming Tormented Spirits.\nArchitects and the Omnitect are possessed by a Tormented Spirit.",[],85,462,89,0,""
91,"TormentIII","Sadist's Den",3,0,"","[15063,24023]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/torment_present_3.arm",42569,22,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/TormentRoom3","'Til the end of time they pay for their crime.","Contains Tormented Spirits.\nContains additional roaming Tormented Spirits.\nArchitects and the Omnitect are possessed by Tormented Spirits.",[],86,487,90,0,2193
92,"StrongboxI","Strongbox Chamber",1,0,93,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/strongbox_present_1.arm",50850,23,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/strongbox_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_magenta.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/StrongboxRoom","Guarding treasures of extravagant pleasures. ","Contains Strongboxes.",[],81,260,-16843010,-16843010,""
93,"StrongboxII","Hall of Locks",2,0,94,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/strongbox_present_2.arm",32261,23,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/strongbox_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_magenta.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/StrongboxRoom2","Locked in the dark, awaiting a mark.","Contains Strongboxes.",[],82,463,92,0,""
94,"StrongboxIII","Court of Sealed Death",3,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/strongbox_present_3.arm",31770,23,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/StrongboxRoom3","Millennia passed, released at last.","Contains Strongboxes.",[],83,488,93,0,2183
95,"LegionI","Hall of Mettle",1,68,96,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/legion_present_1.arm",16930,24,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/legion_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_magenta.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/LegionRoom","Fought and died for cowards that hide.","Contains a Timeless Monolith.",[],87,603,-16843010,-16843010,""
96,"LegionII","Hall of Heroes",2,0,97,[17467],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/legion_present_2.arm",25783,24,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/legion_past_2.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_magenta.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/LegionRoom2","Their deeds inspire, their spirits never tire. ","Contains a valuable Timeless Monolith.",[],88,604,95,0,""
97,"LegionIII","Hall of Legends",3,0,"",[17468],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/legion_present_3.arm",54712,24,"","","Art/2DArt/UIImages/InGame/Incursion/Rooms/LegionRoom3","Their names outlast the crumbling past.","Contains a Timeless Monolith that will reveal two Generals.",[],89,605,96,0,2180
