"rownum","Id","Name","Act","IsTown","HasWaypoint","Connections_WorldAreasKeys","AreaLevel","HASH16","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","f32","i32","i32","i32","i32","i32","i32","[rid]","bool","string","i32","i32","[rid]","bool","bool","bool","rid","rid","string","rid","[rid]","bool","bool","rid","rid","string","i32","rid","i32","rid","bool","bool","rid","i32","i32","rid","i32","rid","rid","i32","rid","i32","rid","i32"
400,"Delve_ProtoVaalRuins8","Primeval Fortress",0,"","",[],68,937174,1048576,310771712,1,-16908288,-16843010,-16843010,-16843010,65278,0,1018822656,1,393216,65536,0,1018822656,1,-16908288,-16843010,2031358,-16908288,-16843010,-16843010,"",-16843010,65278,0,1019871232,1,0,0,1019871232,1,0,0,1019871232,1,0,0,1572864,0,65536,0,-905969664,316,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,33488638,0,-905969664,316,0,0,0,-637534208,316,0,100,"[63,68,102]","","",10000,5000,[61],"","","","","","Metadata/Terrain/Leagues/Delve/Biomes/ProtoVaal/master.tsi","",[],"","","","","",27,759,0,"","",1,54,0,81178,0,0,5,0,0,"",0,"",0
401,"DelveBossVaal","Vaal Nexus",0,"","",[],5,50692,0,310771712,1,-16908288,-16843010,-16843010,-16843010,65278,0,1028653056,1,393216,65536,0,1028653056,1,-16908288,-16843010,2031358,-16908288,-16843010,-16843010,"",-16843010,130814,0,1029701632,1,65536,0,1030750208,1,0,0,1031798784,1,0,0,1572864,0,0,0,-2147483648,317,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-2147483648,317,0,0,0,-2147483648,317,0,100,[95],"","",10000,5000,[61],"","","","","","","",[],"","","","","",17,761,0,"","",1,54,0,81312,0,0,5,0,0,"",0,"",0
402,"DelveBossLich","Abyssal Sanctum",0,"","",[],5,27497,0,310771712,1,-16908288,-16843010,-16843010,-16843010,65278,0,1038090240,1,393216,65536,0,1038090240,1,-16908288,-16843010,2031358,-16908288,-16843010,-16843010,"",-16843010,130814,0,1039138816,1,0,0,1040187392,1,0,0,1040187392,1,0,0,1572864,0,0,0,0,318,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,0,318,0,0,0,0,318,0,100,[95],"","",10000,5000,[61],"","","","","","","",[],"","","","","",17,763,0,"","",1,54,0,81440,0,0,5,0,0,"",0,"",0
403,"DelveBossProtoVaal","Primeval Citadel",0,"","",[],5,7047,0,310771712,1,-16908288,-16843010,-16843010,-16843010,65278,0,1047265280,1,393216,65536,0,1047265280,1,-16908288,-16843010,2031358,-16908288,-16843010,-16843010,"",-16843010,130814,0,1048313856,1,65536,0,1049362432,1,0,0,1050411008,1,0,0,1572864,0,0,0,-1677721600,318,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1677721600,318,0,0,0,-1677721600,318,0,100,[95],"","",10000,5000,"[61,913]","","","","","","","",[],"","","","","",17,765,0,"","",1,54,0,81612,0,0,5,0,0,"",0,"",0
404,"DelveChamberVaal","Vaal Ruined Chamber",0,"","",[],5,1224860,1179648,310771712,1,-16908288,-16843010,-16843010,-16843010,65278,0,1058668544,1,393216,196608,0,1058668544,1,-16908288,-16843010,2031358,-16908288,-16843010,-16843010,"",-16843010,65278,0,1061814272,1,0,0,1061814272,1,0,0,1061814272,1,0,0,1572864,0,0,0,1241513984,319,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,33488638,0,1241513984,319,0,0,0,1509949440,319,0,100,[95],"","",10000,5000,[61],"","","","","","","",[],"","","","","",17,759,0,"","",1,54,0,81786,0,0,5,0,0,"",0,"",0
405,"DelveChamberProtoVaal","Primeval Chamber",0,"","",[],5,1185708,1179648,310771712,1,-16908288,-16843010,-16843010,-16843010,65278,0,1070333952,1,393216,196608,0,1070333952,1,-16908288,-16843010,2031358,-16908288,-16843010,-16843010,"",-16843010,65278,0,1073479680,1,0,0,1073479680,1,0,0,1073479680,1,0,0,1572864,0,0,0,-67108864,319,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,33488638,0,-67108864,319,0,0,0,201326592,320,0,100,[95],"","",10000,5000,[61],"","","","","","","",[],"","","","","",17,759,0,"","",1,54,0,81964,0,0,5,0,0,"",0,"",0
406,"DelveChamberAbyss","Abyssal Chamber",0,"","",[],5,1226492,1179648,310771712,1,-16908288,-16843010,-16843010,-16843010,65278,0,1081344000,1,393216,196608,0,1081344000,1,-16908288,-16843010,2031358,-16908288,-16843010,-16843010,"",-16843010,65278,0,1084489728,1,0,0,1084489728,1,0,0,1084489728,1,0,0,1572864,0,0,0,-1543503872,320,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,33488638,0,-1543503872,320,0,0,0,-1275068416,320,0,100,[95],"","",10000,5000,[61],"","","","","","","",[],"","","","","",17,759,0,"","",1,54,0,82132,0,0,5,0,0,"",0,"",0
407,"BetrayalStoryVault","The Forbidden Vault",9,"","",[],61,907926,655360,1137573888,0,-16908288,-16843010,-16843010,-16843010,65278,0,1093009408,1,393216,65536,0,1093009408,1,8978432,0,31457280,-16908288,-16843010,-16843010,"",-16843010,65278,0,1094057984,1,0,0,1094057984,1,0,0,1094057984,1,0,0,1572864,0,0,0,905969664,321,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,905969664,321,0,0,0,905969664,321,0,100,[90],"","",6000,3500,"[169,347]","","","","","","","",[],"","","","","",2,778,0,"","",1,54,0,82278,0,0,5,0,0,"",0,"",0
408,"BetrayalTest","Betrayal Test Encounter",0,"","",[],1,706587,655360,-1340342272,0,-16908288,-16843010,-16843010,-16843010,65278,0,1102315520,1,393216,65536,0,1102315520,1,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,1103364096,1,0,0,1103364096,1,0,0,1103364096,1,0,0,1572864,0,0,0,-1006632960,321,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1006632960,321,0,0,0,-1006632960,321,0,100,[],"","",10000,5000,[],"","","","","","","",[],"","","","","",17,373,0,"","",1,54,0,82372,0,0,5,0,0,"",0,"",0
409,"BetrayalLaboratory1","Syndicate Laboratory",0,"","",[],1,49229,655360,-1340342272,0,-16908288,-16843010,-16843010,-16843010,65278,0,1109000192,1,393216,65536,0,1109000192,1,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,1110048768,1,0,0,1110048768,1,0,0,1110048768,1,0,0,1572864,0,0,0,704643072,322,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,704643072,322,0,0,0,704643072,322,0,100,[],"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,767,7500,"","",1,54,0,82490,0,0,5,0,0,"",0,"",0
410,"BetrayalLaboratory2","Syndicate Laboratory",1,"","",[],5,24703,655360,-1340342272,0,-16908288,-16843010,-16843010,-16843010,65278,0,1113849856,1,393216,65536,0,1113849856,1,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,1114898432,1,0,0,1114898432,1,0,0,1114898432,1,0,0,1572864,0,0,0,1946157056,322,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1946157056,322,0,0,0,1946157056,322,0,100,[],"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,767,8000,"","",1,54,0,82564,0,0,5,0,0,"",0,"",0
411,"BetrayalLaboratory3","Syndicate Laboratory",1,"","",[],9,47201,655360,-1340342272,0,-16908288,-16843010,-16843010,-16843010,65278,0,1118699520,1,393216,65536,0,1118699520,1,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,1119748096,1,0,0,1119748096,1,0,0,1119748096,1,0,0,1572864,0,0,0,-1107296256,322,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1107296256,322,0,0,0,-1107296256,322,0,100,[],"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,767,9000,"","",1,54,0,82638,0,0,5,0,0,"",0,"",0
412,"BetrayalLaboratory4","Syndicate Laboratory",1,"","",[],13,33892,655360,-1340342272,0,-16908288,-16843010,-16843010,-16843010,65278,0,1123549184,1,393216,65536,0,1123549184,1,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,1124597760,1,0,0,1124597760,1,0,0,1124597760,1,0,0,1572864,0,0,0,134217728,323,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,134217728,323,0,0,0,134217728,323,0,100,[],"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,767,9500,"","",1,54,0,82712,0,0,5,0,0,"",0,"",0
413,"BetrayalLaboratory5","Syndicate Laboratory",1,"","",[],25,46142,655360,-1340342272,0,-16908288,-16843010,-16843010,-16843010,65278,0,1128398848,1,393216,65536,0,1128398848,1,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,1129447424,1,0,0,1129447424,1,0,0,1129447424,1,0,0,1572864,0,0,0,1375731712,323,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1375731712,323,0,0,0,1375731712,323,0,100,[],"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,767,10000,"","",1,54,0,82786,0,0,5,0,0,"",0,"",0
414,"BetrayalLaboratory6","Syndicate Laboratory",1,"","",[],40,49615,655360,-1340342272,0,-16908288,-16843010,-16843010,-16843010,65278,0,1133248512,1,393216,65536,0,1133248512,1,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,1134297088,1,0,0,1134297088,1,0,0,1134297088,1,0,0,1572864,0,0,0,-1677721600,323,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1677721600,323,0,0,0,-1677721600,323,0,100,[],"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,767,10500,"","",1,54,0,82860,0,0,5,0,0,"",0,"",0
415,"BetrayalLaboratory7","Syndicate Laboratory",1,"","",[],55,4204,655360,-1340342272,0,-16908288,-16843010,-16843010,-16843010,65278,0,1138098176,1,393216,65536,0,1138098176,1,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,1139146752,1,0,0,1139146752,1,0,0,1139146752,1,0,0,1572864,0,0,0,-436207616,323,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-436207616,323,0,0,0,-436207616,323,0,100,[],"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,767,11000,"","",1,54,0,82934,0,0,5,0,0,"",0,"",0
416,"BetrayalLaboratory8","Syndicate Laboratory",1,"","",[],68,17888,1048576,-1340342272,0,-16908288,-16843010,-16843010,-16843010,65278,0,1142947840,1,393216,65536,0,1142947840,1,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,1143996416,1,0,0,1143996416,1,0,0,1143996416,1,0,0,1572864,0,0,0,805306368,324,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,805306368,324,0,0,0,805306368,324,0,100,[],"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,767,12000,"","",1,54,0,83008,0,0,5,0,0,"",0,"",0
417,"BetrayalLaboratory9","Syndicate Laboratory",1,"","",[],73,27160,1048576,-1340342272,0,-16908288,-16843010,-16843010,-16843010,65278,0,1147797504,1,393216,65536,0,1147797504,1,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,1148846080,1,0,0,1148846080,1,0,0,1148846080,1,0,0,1572864,0,0,0,2046820352,324,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,2046820352,324,0,0,0,2046820352,324,0,100,[],"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,767,12500,"","",1,54,0,83082,0,0,5,0,0,"",0,"",0
418,"BetrayalLaboratory10","Syndicate Laboratory",1,"","",[],78,46401,1048576,-1340342272,0,-16908288,-16843010,-16843010,-16843010,65278,0,1152778240,1,393216,65536,0,1152778240,1,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,1153826816,1,0,0,1153826816,1,0,0,1153826816,1,0,0,1572864,0,0,0,-973078528,324,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-973078528,324,0,0,0,-973078528,324,0,100,[],"","",10000,5000,[61],"","","","","","","",[],"","","","","",29,767,13000,"","",1,54,0,83158,0,0,5,0,0,"",0,"",0
419,"BetrayalSafeHouseFortress","Syndicate Hideout",0,"","",[],73,954699,1966080,1160904704,1,-16908288,-16843010,-16843010,-16843010,65278,0,1167589376,1,393216,65536,0,1167589376,1,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,1168637952,1,0,0,1168637952,1,131072,0,1168637952,1,131072,0,45613056,0,0,0,-939524096,325,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,50265854,0,-939524096,325,0,0,0,-402653184,325,0,100,[98],"","",10000,5000,[],"","","","","","","",[],"","","","","",28,768,50000,7,1,1,54,0,83448,0,0,5,0,0,"",0,"",0
420,"BetrayalSafeHouseAssassins","Syndicate Hideout",0,"","",[],73,927149,1966080,1160904704,1,-16908288,-16843010,-16843010,-16843010,65278,0,1177550848,1,393216,65536,0,1177550848,1,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,1178599424,1,0,0,1178599424,1,131072,0,1178599424,1,131072,0,45613056,0,0,0,1610612736,326,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,50265854,0,1610612736,326,0,0,0,-2147483648,326,0,100,[98],"","",10000,5000,[],"","","","","","","",[],"","","","","",28,769,50000,7,1,1,54,0,83600,0,0,5,0,0,"",0,"",0
421,"BetrayalSafeHouseCaravan","Syndicate Hideout",0,"","",[],73,944023,1966080,1160904704,1,-16908288,-16843010,-16843010,-16843010,65278,0,1187250176,1,393216,65536,0,1187250176,1,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,1188298752,1,0,0,1188298752,1,131072,0,1188298752,1,131072,0,45613056,0,0,0,-201326592,326,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,50265854,0,-201326592,326,0,0,0,335544320,327,0,100,[98],"","",10000,5000,[],"","","","","","","",[],"","","","","",28,771,50000,7,1,1,54,0,83748,0,0,5,0,0,"",0,"",0
422,"BetrayalSafeHouseLaboratory","Syndicate Hideout",0,"","",[],73,488511,1966080,1160904704,1,-16908288,-16843010,-16843010,-16843010,65278,0,1197342720,1,393216,65536,0,1197342720,1,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,65278,0,1198391296,1,0,0,1198391296,1,131072,0,1198391296,1,131072,0,45613056,0,0,0,-1912602624,327,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,50265854,0,-1912602624,327,0,0,0,-1375731712,327,0,100,[98],"","",10000,5000,[],"","","","","","","",[],"","","","","",28,772,50000,7,1,1,54,0,83902,0,0,5,0,0,"",0,"",0
423,"BetrayalMastermindFight","Mastermind's Lair",0,"","",[],68,955412,1966080,1160904704,1,-16908288,-16843010,-16843010,-16843010,65278,0,1209401344,1,393216,65536,0,1209401344,1,-16908288,-16843010,59047678,-16908288,-16843010,-16843010,"",-16843010,196350,0,1210449920,1,65536,0,1212547072,1,131072,0,1213595648,1,131072,0,45613056,0,0,0,1979711488,328,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,50265854,0,1979711488,328,0,0,0,-1778384896,328,0,100,[98],"","",10000,5000,[],"","","","","","","",[],"","","","","",28,774,50000,7,1,1,54,0,84134,0,0,5,0,0,"",0,"",0
424,"Synthesis_Main","Memory Void",0,"","",[],1,41313,0,1222639616,1,136380416,0,0,0,65536,0,1229455360,1,393216,65536,0,1230503936,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1231552512,1,0,0,1231552512,1,0,0,1231552512,1,0,0,1572864,0,0,0,1744830464,329,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1744830464,329,0,0,0,1744830464,329,0,100,[445],"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,786,20000,8,"",1,29,0,84360,0,0,5,0,0,"",0,"",0
425,"Synthesis_Main2","Memory Void",0,"","",[],4,22171,655360,1222639616,1,136380416,0,0,0,65536,0,1235877888,1,393216,65536,0,1236926464,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1237975040,1,0,0,1237975040,1,0,0,1237975040,1,0,0,1572864,0,0,0,-905969664,329,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-905969664,329,0,0,0,-905969664,329,0,100,[445],"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,786,32000,8,"",1,29,0,84458,0,0,5,0,0,"",0,"",0
426,"Synthesis_Main3","Memory Void",0,"","",[],9,55094,655360,1222639616,1,136380416,0,0,0,65536,0,1242300416,1,393216,65536,0,1243348992,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1244397568,1,0,0,1244397568,1,0,0,1244397568,1,0,0,1572864,0,0,0,738197504,330,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,738197504,330,0,0,0,738197504,330,0,100,[445],"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,786,34000,8,"",1,29,0,84556,0,0,5,0,0,"",0,"",0
427,"Synthesis_Main4","Memory Void",0,"","",[],13,670789,655360,1222639616,1,136380416,0,0,0,65536,0,1248722944,1,393216,65536,0,1249771520,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1250820096,1,0,0,1250820096,1,0,0,1250820096,1,0,0,1572864,0,0,0,-1912602624,330,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1912602624,330,0,0,0,-1912602624,330,0,100,[445],"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,786,36000,8,"",1,29,0,84654,0,0,5,0,0,"",0,"",0
428,"Synthesis_Main5","Memory Void",0,"","",[],25,993108,983040,1222639616,1,136380416,0,0,0,65536,0,1255145472,1,393216,65536,0,1256194048,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1257242624,1,0,0,1257242624,1,0,0,1257242624,1,0,0,1572864,0,0,0,-268435456,330,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-268435456,330,0,0,0,-268435456,330,0,100,[445],"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,786,38000,8,"",1,29,0,84752,0,0,5,0,0,"",0,"",0
429,"Synthesis_Main6","Memory Void",0,"","",[],40,1374488,1310720,1222639616,1,136380416,0,0,0,65536,0,1261568000,1,393216,65536,0,1262616576,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1263665152,1,0,0,1263665152,1,0,0,1263665152,1,0,0,1572864,0,0,0,1375731712,331,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1375731712,331,0,0,0,1375731712,331,0,100,[445],"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,786,40000,8,"",1,29,0,84850,0,0,5,0,0,"",0,"",0
430,"Synthesis_Main7_","Memory Void",0,"","",[],55,1680250,1638400,1222639616,1,136380416,0,0,0,65536,0,1268121600,1,393216,65536,0,1269170176,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1270218752,1,0,0,1270218752,1,0,0,1270218752,1,0,0,1572864,0,0,0,-1241513984,331,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1241513984,331,0,0,0,-1241513984,331,0,100,[445],"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,786,42000,8,"",1,29,0,84950,0,0,5,0,0,"",0,"",0
431,"Synthesis_Main8","Memory Void",0,"","",[],68,1996520,1966080,1222639616,1,136380416,0,0,0,65536,0,1274544128,1,393216,65536,0,1275592704,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1276641280,1,0,0,1276641280,1,0,0,1276641280,1,0,0,1572864,0,0,0,402653184,332,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,402653184,332,0,0,0,402653184,332,0,100,[445],"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,786,44000,8,1,1,29,0,85048,0,0,5,0,0,"",0,"",0
432,"Synthesis_Main9","Memory Void",0,"","",[],73,1974570,1966080,1222639616,1,136380416,0,0,0,65536,0,1280966656,1,393216,65536,0,1282015232,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1283063808,1,0,0,1283063808,1,0,0,1283063808,1,0,0,1572864,0,0,0,2046820352,332,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,2046820352,332,0,0,0,2046820352,332,0,100,[445],"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,786,46000,8,1,1,29,0,85146,0,0,5,0,0,"",0,"",0
433,"Synthesis_Main10","Memory Void",0,"","",[],78,1982275,1966080,1222639616,1,136380416,0,0,0,65536,0,1287520256,1,393216,65536,0,1288568832,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1289617408,1,0,0,1289617408,1,0,0,1289617408,1,0,0,1572864,0,0,0,-570425344,332,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-570425344,332,0,0,0,-570425344,332,0,100,[445],"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,786,48000,8,1,1,29,0,85246,0,0,5,0,0,"",0,"",0
434,"Synthesis_Main11","Memory Void",0,"","",[],80,1991051,1966080,1222639616,1,136380416,0,0,0,65536,0,1294073856,1,393216,65536,0,1295122432,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1296171008,1,0,0,1296171008,1,0,0,1296171008,1,0,0,1572864,0,0,0,1107296256,333,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1107296256,333,0,0,0,1107296256,333,0,100,[445],"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,786,50000,8,1,1,29,0,85346,0,0,5,0,0,"",0,"",0
435,"Synthesis_Main12","Memory Void",0,"","",[],83,1991931,1966080,1222639616,1,136380416,0,0,0,65536,0,1300627456,1,393216,65536,0,1301676032,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1302724608,1,0,0,1302724608,1,0,0,1302724608,1,0,0,1572864,0,0,0,-1509949440,333,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1509949440,333,0,0,0,-1509949440,333,0,100,[445],"","",10000,5000,[445],"","","","","","","",[],"","","","","",31,786,52000,8,1,1,29,0,85446,0,0,5,0,0,"",0,"",0
436,"Synthesis_Single","Fragmented Memory",0,"","",[],1,43531,0,1222639616,1,-16908288,-16843010,-16843010,-16843010,65278,0,1309671424,1,393216,65536,0,1309671424,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1310720000,1,0,0,1310720000,1,0,0,1310720000,1,0,0,1572864,0,0,0,536870912,334,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,536870912,334,0,0,0,536870912,334,0,100,[],"","",10000,5000,[],"","","","","","","",[],"","","","","",30,786,20000,"","",1,29,0,85536,0,0,5,0,0,"",0,"",0
437,"Synthesis_Single2","Fragmented Memory",0,"","",[],4,41488,655360,1222639616,1,-16908288,-16843010,-16843010,-16843010,65278,0,1313210368,1,393216,65536,0,1313210368,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1314258944,1,0,0,1314258944,1,0,0,1314258944,1,0,0,1572864,0,0,0,1442840576,334,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1442840576,334,0,0,0,1442840576,334,0,100,[],"","",10000,5000,[],"","","","","","","",[],"","","","","",30,786,32000,"","",1,29,0,85590,0,0,5,0,0,"",0,"",0
438,"Synthesis_Single3","Fragmented Memory",0,"","",[],9,21710,655360,1222639616,1,-16908288,-16843010,-16843010,-16843010,65278,0,1316749312,1,393216,65536,0,1316749312,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1317797888,1,0,0,1317797888,1,0,0,1317797888,1,0,0,1572864,0,0,0,-1946157056,334,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1946157056,334,0,0,0,-1946157056,334,0,100,[],"","",10000,5000,[],"","","","","","","",[],"","","","","",30,786,34000,"","",1,29,0,85644,0,0,5,0,0,"",0,"",0
439,"Synthesis_Single4","Fragmented Memory",0,"","",[],13,657080,655360,1222639616,1,-16908288,-16843010,-16843010,-16843010,65278,0,1320288256,1,393216,65536,0,1320288256,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1321336832,1,0,0,1321336832,1,0,0,1321336832,1,0,0,1572864,0,0,0,-1040187392,334,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-1040187392,334,0,0,0,-1040187392,334,0,100,[],"","",10000,5000,[],"","","","","","","",[],"","","","","",30,786,36000,"","",1,29,0,85698,0,0,5,0,0,"",0,"",0
440,"Synthesis_Single5","Fragmented Memory",0,"","",[],25,1038700,983040,1222639616,1,-16908288,-16843010,-16843010,-16843010,65278,0,1323827200,1,393216,65536,0,1323827200,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1324875776,1,0,0,1324875776,1,0,0,1324875776,1,0,0,1572864,0,0,0,-134217728,334,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,-134217728,334,0,0,0,-134217728,334,0,100,[],"","",10000,5000,[],"","","","","","","",[],"","","","","",30,786,38000,"","",1,29,0,85752,0,0,5,0,0,"",0,"",0
441,"Synthesis_Single6","Fragmented Memory",0,"","",[],40,1321146,1310720,1222639616,1,-16908288,-16843010,-16843010,-16843010,65278,0,1327366144,1,393216,65536,0,1327366144,1,-16908288,-16843010,19726078,-16908288,-16843010,-16843010,"",-16843010,65278,0,1328414720,1,0,0,1328414720,1,0,0,1328414720,1,0,0,1572864,0,0,0,771751936,335,-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,771751936,335,0,0,0,771751936,335,0,100,[],"","",10000,5000,[],"","","","","","","",[],"","","","","",30,786,40000,"","",1,29,0,85806,0,0,5,0,0,"",0,"",0
