"rownum","BaseItemTypesKey","StackSize","CurrencyUseType","Action","Directions","FullStack_BaseItemTypesKey","Description","Usage_AchievementItemsKeys","Scroll","rid","[rid]","[i32]","i32","string","i32","[rid]","[rid]","[string]","bool","string","bool","bool"
266,2879,1,3,"","Travel to Uul-Netol's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop an additional Reward Type\r\nArea has 2 additional random Modifiers\r\n150% increased Experience Gain\r\n20% increased Rarity of Items found in this Area\r\n20% increased Pack Size\r\nMonster Level: 78",[],"","",[],[],5000,"Travel to Uul-Netol's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 2 additional random Modifiers\r\n150% increased Experience Gain\r\n10% increased Rarity of Items found in this Area\r\n10% increased Pack Size\r\nMonster Level: 78","",""
267,2880,1,3,"","Travel to Chayula's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop an additional Reward Type\r\nArea has 2 additional random Modifiers\r\n200% increased Experience Gain\r\n20% increased Rarity of Items found in this Area\r\n20% increased Pack Size\r\nMonster Level: 81",[],"","",[],[],5000,"Travel to Chayula's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 2 additional random Modifiers\r\n200% increased Experience Gain\r\n10% increased Rarity of Items found in this Area\r\n10% increased Pack Size\r\nMonster Level: 81","",""
268,2881,1,3,"","Travel to Xoph's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop an additional Reward Type\r\nArea has 2 additional random Modifiers\r\n100% increased Experience Gain\r\n40% increased Rarity of Items found in this Area\r\n40% increased Pack Size\r\nMonster Level: 79",[],"","",[],[],5000,"Travel to Xoph's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 2 additional random Modifiers\r\n100% increased Experience Gain\r\n20% increased Rarity of Items found in this Area\r\n20% increased Pack Size\r\nMonster Level: 79","",""
269,2882,1,3,"","Travel to Tul's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop an additional Reward Type\r\nArea has 2 additional random Modifiers\r\n100% increased Experience Gain\r\n40% increased Rarity of Items found in this Area\r\n40% increased Pack Size\r\nMonster Level: 79",[],"","",[],[],5000,"Travel to Tul's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 2 additional random Modifiers\r\n100% increased Experience Gain\r\n20% increased Rarity of Items found in this Area\r\n20% increased Pack Size\r\nMonster Level: 79","",""
270,2883,1,3,"","Travel to Esh's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop an additional Reward Type\r\nArea has 2 additional random Modifiers\r\n100% increased Experience Gain\r\n40% increased Rarity of Items found in this Area\r\n40% increased Pack Size\r\nMonster Level: 79",[],"","",[],[],5000,"Travel to Esh's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 2 additional random Modifiers\r\n100% increased Experience Gain\r\n20% increased Rarity of Items found in this Area\r\n20% increased Pack Size\r\nMonster Level: 79","",""
271,2884,1,3,"","Travel to Uul-Netol's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop an additional Reward Type\r\nArea has 2 additional random Modifiers\r\n150% increased Experience Gain\r\n40% increased Rarity of Items found in this Area\r\n40% increased Pack Size\r\nMonster Level: 81",[],"","",[],[],5000,"Travel to Uul-Netol's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 2 additional random Modifiers\r\n150% increased Experience Gain\r\n20% increased Rarity of Items found in this Area\r\n20% increased Pack Size\r\nMonster Level: 81","",""
272,2885,1,3,"","Travel to Chayula's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop an additional Reward Type\r\nArea has 2 additional random Modifiers\r\n200% increased Experience Gain\r\n40% increased Rarity of Items found in this Area\r\n40% increased Pack Size\r\nMonster Level: 82",[],"","",[],[],5000,"Travel to Chayula's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 2 additional random Modifiers\r\n200% increased Experience Gain\r\n20% increased Rarity of Items found in this Area\r\n20% increased Pack Size\r\nMonster Level: 82","",""
273,2886,1,3,"","Travel to Xoph's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop an additional Reward Type\r\nArea has 2 additional random Modifiers\r\n100% increased Experience Gain\r\n60% increased Rarity of Items found in this Area\r\n60% increased Pack Size\r\nMonster Level: 81",[],"","",[],[],5000,"Travel to Xoph's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 2 additional random Modifiers\r\n100% increased Experience Gain\r\n30% increased Rarity of Items found in this Area\r\n30% increased Pack Size\r\nMonster Level: 81","",""
274,2887,1,3,"","Travel to Tul's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop an additional Reward Type\r\nArea has 2 additional random Modifiers\r\n100% increased Experience Gain\r\n60% increased Rarity of Items found in this Area\r\n60% increased Pack Size\r\nMonster Level: 81",[],"","",[],[],5000,"Travel to Tul's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 2 additional random Modifiers\r\n100% increased Experience Gain\r\n30% increased Rarity of Items found in this Area\r\n30% increased Pack Size\r\nMonster Level: 81","",""
275,2888,1,3,"","Travel to Esh's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop an additional Reward Type\r\nArea has 2 additional random Modifiers\r\n100% increased Experience Gain\r\n60% increased Rarity of Items found in this Area\r\n60% increased Pack Size\r\nMonster Level: 81",[],"","",[],[],5000,"Travel to Esh's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 2 additional random Modifiers\r\n100% increased Experience Gain\r\n30% increased Rarity of Items found in this Area\r\n30% increased Pack Size\r\nMonster Level: 81","",""
276,2889,1,3,"","Travel to Uul-Netol's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop an additional Reward Type\r\nArea has 2 additional random Modifiers\r\n150% increased Experience Gain\r\n60% increased Rarity of Items found in this Area\r\n60% increased Pack Size\r\nMonster Level: 82",[],"","",[],[],5000,"Travel to Uul-Netol's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 2 additional random Modifiers\r\n150% increased Experience Gain\r\n30% increased Rarity of Items found in this Area\r\n30% increased Pack Size\r\nMonster Level: 82","",""
277,2890,1,3,"","Travel to Chayula's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop an additional Reward Type\r\nArea has 2 additional random Modifiers\r\n200% increased Experience Gain\r\n60% increased Rarity of Items found in this Area\r\n60% increased Pack Size\r\nMonster Level: 83",[],"","",[],[],5000,"Travel to Chayula's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 2 additional random Modifiers\r\n200% increased Experience Gain\r\n30% increased Rarity of Items found in this Area\r\n30% increased Pack Size\r\nMonster Level: 83","",""
278,2891,1,3,"","Travel to Xoph's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop 2 additional Reward Types\r\nArea has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n60% increased Rarity of Items found in this Area\r\n60% increased Pack Size\r\nMonster Level: 84",[],"","",[],[],5000,"Travel to Xoph's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n30% increased Rarity of Items found in this Area\r\n30% increased Pack Size\r\nMonster Level: 84","",""
279,2892,1,3,"","Travel to Tul's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop 2 additional Reward Types\r\nArea has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n60% increased Rarity of Items found in this Area\r\n60% increased Pack Size\r\nMonster Level: 84",[],"","",[],[],5000,"Travel to Tul's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n30% increased Rarity of Items found in this Area\r\n30% increased Pack Size\r\nMonster Level: 84","",""
280,2893,1,3,"","Travel to Esh's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop 2 additional Reward Types\r\nArea has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n60% increased Rarity of Items found in this Area\r\n60% increased Pack Size\r\nMonster Level: 84",[],"","",[],[],5000,"Travel to Esh's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n30% increased Rarity of Items found in this Area\r\n30% increased Pack Size\r\nMonster Level: 84","",""
281,2894,1,3,"","Travel to Uul-Netol's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop 2 additional Reward Types\r\nArea has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n60% increased Rarity of Items found in this Area\r\n60% increased Pack Size\r\nMonster Level: 84",[],"","",[],[],5000,"Travel to Uul-Netol's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n30% increased Rarity of Items found in this Area\r\n30% increased Pack Size\r\nMonster Level: 84","",""
282,2895,1,3,"","Travel to Chayula's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop 2 additional Reward Types\r\nArea has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n60% increased Rarity of Items found in this Area\r\n60% increased Pack Size\r\nMonster Level: 84",[],"","",[],[],5000,"Travel to Chayula's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n30% increased Rarity of Items found in this Area\r\n30% increased Pack Size\r\nMonster Level: 84","",""
283,2896,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","",""
284,2897,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","",""
285,2898,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","",""
286,2899,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","",""
287,2900,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","",""
288,2901,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","Monsters gain 10% increased Maximum Life each time they are Revived\r\nMonsters Regenerate 1% of Life per second for each time they have been Revived\r\nMonsters gain +20% chance to Avoid being Stunned for each time they are Revived\r\n10% increased Experience Gain\r\n10% improved Rewards",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","",""
289,2902,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","Monsters gain 10% increased Maximum Life each time they are Revived\r\nMonsters gain 10% increased Attack and Cast Speed each time they are Revived\r\nMonsters gain 10% increased Movement Speed each time they are Revived\r\n10% increased Experience Gain\r\n10% improved Rewards",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","",""
290,2903,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","Monsters gain 10% increased Maximum Life each time they are Revived\r\nMonsters gain 50% increased Critical Strike Chance each time they are Revived\r\nMonsters gain 3% additional Critical Strike Multiplier each time they are Revived\r\n10% increased Experience Gain\r\n10% improved Rewards",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","",""
291,2904,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","Monsters gain 10% increased Maximum Life each time they are Revived\r\nMonsters gain 4% additional Physical Damage Reduction each time they are Revived\r\nMonsters gain 4% additional Resistances each time they are Revived\r\n10% increased Experience Gain\r\n10% improved Rewards",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","",""
292,2905,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","Monsters gain 10% increased Maximum Life each time they are Revived\r\nMonsters deal 10% increased Damage for each time they have been Revived\r\n10% increased Experience Gain\r\n10% improved Rewards",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","",""
293,2907,1,3,"","Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth.","","",[],"","",[],[],5000,"Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth.",0,[],[],[],"","","",""
294,2908,1,3,"","Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Fortune.","","The Labyrinth's rewards have been enriched.",[],"","",[],[],5000,"Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Fortune.",0,[],[],[],"","","",""
295,2909,1,3,"","Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Opportunity.","","The Divine Font can be used additional times.",[],"","",[],[],5000,"Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Opportunity.",0,[],[],[],"","","",""
296,2910,1,3,"","Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Potential.","","The Divine Font will offer additional Corrupted Gem crafting options.",[],"","",[],[],5000,"Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Potential.",0,[],[],[],"","","",""
297,2906,1,3,"","Open a Delirium portal by using this item in a personal Map Device. Can only be used once.","","",[],"","",[],[],5000,"Open a Delirium portal by using this item in a personal Map Device. Can only be used once.",0,[],[],[],"","","",""
298,4002,1,3,"","Open a portal to Absence of Mercy and Empathy by using this item in a personal Map Device. Can only be used once.","","",[],"","",[],[],5000,"Open a portal to Absence of Mercy and Empathy by using this item in a personal Map Device. Can only be used once.",0,[],[],[],"","","",""
299,4003,10,3,"","Combine 10 Crescent Splinters to create The Maven's Writ.",4002,"",[],"","",[],[],0,"Combine 10 Crescent Splinters to create The Maven's Writ.",0,[],[],[],"","","",""
300,4004,1,3,"","Use five of these in a personal Map Device to open Portals to The Shaper's Realm. Can only be used once.","","The Shaper's Realm is level 85\r\nThe Shaper's full power is unleashed in The Shaper's Realm",[],"","",[],[],5000,"Use five of these in a personal Map Device to open Portals to The Shaper's Realm. Can only be used once.",0,[],[],[],"","","",""
301,4005,1,3,"","Use five of these in a personal Map Device to open Portals to The Shaper's Realm. Can only be used once.","","The Shaper's Realm is level 85\r\nThe Shaper's and The Elder's full power are unleashed in The Shaper's Realm",[],"","",[],[],5000,"Use five of these in a personal Map Device to open Portals to The Shaper's Realm. Can only be used once.",0,[],[],[],"","","",""
302,4006,1,3,"","Use five of these in a personal Map Device to open Portals to The Eye of the Storm. Can only be used once.","","The Eye of the Storm is level 85\r\nSirus' full power is unleashed in The Eye of the Storm",[],"","",[],[],5000,"Use five of these in a personal Map Device to open Portals to The Eye of the Storm. Can only be used once.",0,[],[],[],"","","",""
303,4007,1,3,"","Use five of these in a personal Map Device to open Portals to The Cortex. Can only be used once.","","The Cortex is level 85\r\nVenarius' full power is unleashed in the Cortex",[],"","",[],[],5000,"Use five of these in a personal Map Device to open Portals to The Cortex. Can only be used once.",0,[],[],[],"","","",""
304,4008,1,3,"","Use five of these in a personal Map Device to open Portals to The Absence of Mercy and Empathy. Can only be used once.","","The Absence of Mercy and Empathy is level 85\r\nThe Maven's full power is unleashed in The Absence of Mercy and Empathy",[],"","",[],[],5000,"Use five of these in a personal Map Device to open Portals to The Absence of Mercy and Empathy. Can only be used once.",0,[],[],[],"","","",""
305,4009,1,3,"","Use five of these in a personal Map Device to open Portals to The Absence of Symmetry and Harmony. Can only be used once.","","The Absence of Symmetry and Harmony is level 85\r\nThe Eater of Worlds' full power is unleashed in The Absence of Symmetry and Harmony",[],"","",[],[],5000,"Use five of these in a personal Map Device to open Portals to The Absence of Symmetry and Harmony. Can only be used once.",0,[],[],[],"","","",""
306,4010,1,3,"","Use five of these in a personal Map Device to open Portals to The Absence of Patience and Wisdom. Can only be used once.","","The Absence of Patience and Wisdom is level 85\r\nThe Searing Exarch's full power is unleashed in The Absence of Patience and Wisdom",[],"","",[],[],5000,"Use five of these in a personal Map Device to open Portals to The Absence of Patience and Wisdom. Can only be used once.",0,[],[],[],"","","",""
307,4037,1,3,"","Open a portal to the Sacred Grove by using this item in a personal Map Device. Can only be used once.","","",[],"","",[],[],5000,"Open a portal to the Sacred Grove by using this item in a personal Map Device. Can only be used once.",0,[],[],[],"","","",""
308,241,10,3,"","Sacrifice this item on the Altar of Sacrifice along with Architect's Hand to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","",""
309,242,10,3,"","Sacrifice this item on the Altar of Sacrifice along with Mask of the Spirit Drinker to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","",""
310,243,10,3,"","Sacrifice this item on the Altar of Sacrifice along with Apep's Slumber to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","",""
311,244,10,3,"","Sacrifice this item on the Altar of Sacrifice along with Dance of the Offered to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","",""
312,245,10,3,"","Sacrifice this item on the Altar of Sacrifice along with Story of the Vaal to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","",""
313,246,10,3,"","Sacrifice this item on the Altar of Sacrifice along with Coward's Chains to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","",""
314,247,10,3,"","Sacrifice this item on the Altar of Sacrifice along with Soul Catcher to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","",""
315,248,10,3,"","Sacrifice this item on the Altar of Sacrifice along with any Tempered Flesh, Tempered Spirit or Tempered Mind to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","",""
316,249,10,3,"","Sacrifice this item on the Altar of Sacrifice along with Sacrificial Heart to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","",""
317,250,20,3,"","Place in a Resonator to influence item crafting.","","More Fire modifiers\r\nNo Cold modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
318,251,20,3,"","Place in a Resonator to influence item crafting.","","More Cold modifiers\r\nNo Fire modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
319,252,20,3,"","Place in a Resonator to influence item crafting.","","More Lightning modifiers\r\nNo Physical modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
320,253,20,3,"","Place in a Resonator to influence item crafting.","","More Physical modifiers\r\nNo Chaos modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
321,254,20,3,"","Place in a Resonator to influence item crafting.","","More Chaos modifiers\r\nNo Lightning modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
322,255,20,3,"","Place in a Resonator to influence item crafting.","","More Life modifiers\r\nNo Defence modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
323,256,20,3,"","Place in a Resonator to influence item crafting.","","More Defence modifiers\r\nNo Life Modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
324,257,20,3,"","Place in a Resonator to influence item crafting.","","More Physical Ailment or Chaos Ailment modifiers\r\nNo Elemental modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
325,258,20,3,"","Place in a Resonator to influence item crafting.","","More Elemental modifiers\r\nNo Physical Ailment or Chaos Ailment modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
326,259,20,3,"","Place in a Resonator to influence item crafting.","","More Caster modifiers\r\nFewer Attack modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
327,260,20,3,"","Place in a Resonator to influence item crafting.","","More Attack modifiers\r\nFewer Caster modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
328,261,20,3,"","Place in a Resonator to influence item crafting.","","More Mana modifiers\r\nNo Speed modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
329,262,20,3,"","Place in a Resonator to influence item crafting.","","More Speed modifiers\r\nNo Mana modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
330,263,20,3,"","Place in a Resonator to influence item crafting.","","More Minion, Aura or Curse modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
331,264,20,3,"","Place in a Resonator to influence item crafting.","","More Drop modifiers\r\nNo Tagless modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
332,265,20,3,"","Place in a Resonator to influence item crafting.","","More Critical modifiers\r\nNo Attribute modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
333,266,20,3,"","Place in a Resonator to influence item crafting.","","More Attribute modifiers\r\nNo Critical modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
334,267,10,3,"","Place in a Resonator to influence item crafting.","","More Gem modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","",""
335,268,10,3,"","Place in a Resonator to influence item crafting.","","Corrupted\r\nHas a Corrupted implicit modifier",[],"","",[],[],5000,"",0,[],[],[],"","","",""
336,269,10,3,"","Place in a Resonator to influence item crafting.","","Has an Abyssal socket",[],"","",[],[],5000,"",0,[],[],[],"","","",""
337,270,10,3,"","Place in a Resonator to influence item crafting.","","Creates a split copy\r\nCannot be used to split Influenced,\r\nEnchanted, Fractured, or Synthesised items",[],"","",[],[],5000,"",0,[],[],[],"","","",""
338,271,10,3,"","Place in a Resonator to influence item crafting.","","Has a Corrupt Essence modifier",[],"","",[],[],5000,"",0,[],[],[],"","","",""
339,272,10,3,"","Place in a Resonator to influence item crafting.","","Makes a random modifier type much more likely and prevents \r\nanother random modifier type\r\nEffects revealed once resonator is fully socketed",[],"","",[],[],5000,"",0,[],[],[],"","","",""
340,273,10,3,"","Place in a Resonator to influence item crafting.","","Numeric modifier values are lucky\r\nHigh Level modifiers are more common",[],"","",[],[],5000,"",0,[],[],[],"","","",""
341,274,10,3,"","Place in a Resonator to influence item crafting.","","Item is overvalued by vendors",[],"","",[],[],5000,"",0,[],[],[],"","","",""
342,275,1,2,"delve_currency_upgrade","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item",[],"","",[],[],0,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","",""
343,276,1,2,"delve_currency_upgrade","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item",[],"","",[],[],0,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","",""
344,277,1,2,"delve_currency_upgrade","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item",[],"","",[],[],0,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","",""
345,278,1,2,"delve_currency_upgrade","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item",[],"","",[],[],0,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","",""
346,279,1,2,"delve_currency_reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers",[],"","",[],[],0,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a rare item to apply it.",0,[],[],[],"","","",""
347,280,1,2,"delve_currency_reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers",[],"","",[],[],0,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a rare item to apply it.",0,[],[],[],"","","",""
348,281,1,2,"delve_currency_reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers",[9953],"","",[],[],0,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a rare item to apply it.",0,[],[],[],"","","",""
349,282,1,2,"delve_currency_reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers",[9953],"","",[],[],0,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a rare item to apply it.",0,[],[],[],"","","",""
350,283,10,2,"delve_currency_upgrade","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item","[7720,8322]","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","",""
351,284,10,2,"delve_currency_upgrade","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item","[7720,8322]","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","",""
352,285,10,2,"delve_currency_upgrade","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item","[7720,8322]","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","",""
353,286,10,2,"delve_currency_upgrade","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item","[7720,8322]","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","",""
354,287,10,2,"delve_currency_reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers","[7720,8322]","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a rare item to apply it.",0,[],[],[],"","","",""
355,288,10,2,"delve_currency_reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers","[7720,8322]","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a rare item to apply it.",0,[],[],[],"","","",""
356,289,10,2,"delve_currency_reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers","[7720,8322,9953]","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a rare item to apply it.",0,[],[],[],"","","",""
357,290,10,2,"delve_currency_reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers","[7720,8322,9953]","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a rare item to apply it.",0,[],[],[],"","","",""
358,3388,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Essence item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_a>> to select, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","",""
359,3389,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Currency item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_a>> to select, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","",""
360,3390,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Unique item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_a>> to select, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","",""
