"rownum","Id","ARMFiles","Script","[rid]","Stats","StatsValues","Description","Name","Type","WorldArea","Icon","i32","MinLevel","rid","bool","ExtraStats","ExtraStatsValues","ReminderText","TextAudio"
84,"Scourge1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_scourge.arm""]","",[],[2340],[1],"Slaying Enemies close together will attract monsters from Beyond this realm","Reflection of Scourge",3,1797,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconScourge",1,68,23,"",[16606],[6],"(Difficulty scales quantity of Tainted Currency dropped by Beyond Demons)",13799
85,"Scourge2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_scourge.arm""]","",[],"[2340,16301]","[1,85]","Slaying Enemies close together will attract monsters from Beyond this realm\r\nSlaying Enemies always spawns a Beyond Portal","Reflection of Demonfire",3,1797,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconScourge",2,68,23,"",[16606],[6],"(Difficulty scales quantity of Tainted Currency dropped by Beyond Demons)",13799
86,"Scourge3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_scourge.arm""]","",[],"[2340,16301,16606]","[1,85,100]","Slaying Enemies close together will attract monsters from Beyond this realm\r\nSlaying Enemies always spawns a Beyond Portal\r\n100% increased Quantity of Tainted Currency dropped by Beyond Demons","Reflection of the Nightmare",3,1797,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconScourge",3,68,23,"",[16606],[6],"(Difficulty scales quantity of Tainted Currency dropped by Beyond Demons)",13799
87,"Torment1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_torment.arm""]","",[],[],[],"Contains Tormented Spirits\r\nAll monster packs are Rare","Reflection of Torment",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconTormentedSpirits",1,14,24,"",[13532],[100],"(Difficulty scales quantity of Items dropped by Possessed or Touched Monsters)",13801
88,"Torment2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_torment.arm""]","",[],[13531],[5],"All monster packs are Rare\r\nRare Monsters are Possessed and their Minions are Touched","Reflection of Possession",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconTormentedSpirits",2,46,24,"",[13532],[100],"(Difficulty scales quantity of Items dropped by Possessed or Touched Monsters)",13801
89,"Torment3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_torment.arm""]","",[],[],[],"Contains less common Tormented Spirits\r\nAll monster packs are Rare","Reflection of Guilt",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconTormentedSpirits",3,68,24,"",[13532],[100],"(Difficulty scales quantity of Items dropped by Possessed or Touched Monsters)",13801
90,"Delve1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_delve.arm""]","",[],[],[],"Contains veins of Voltaxic Sulphite","Reflection of Delve",3,1803,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconDelve",1,34,25,"",[13312],[10],"(Difficulty scales quantity of Sulphite mined)",13803
91,"Delve2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_delve.arm""]","",[],[],[],"Contains veins of Voltaxic Sulphite\r\nContains a Sulphite-hoarding Monster","Reflection of Sulphite",3,1804,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconDelve",2,68,25,"",[13312],[10],"(Difficulty scales quantity of Sulphite mined)",13803
92,"Delve3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_delve.arm""]","",[],[13742],[100],"Contains veins of Voltaxic Sulphite\r\nVoltaxic Sulphite Veins give the same amount of Azurite","Reflection of Azurite",3,1805,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconDelve",3,68,25,"",[13312],[10],"(Difficulty scales quantity of Sulphite mined)",13803
93,"Untainted1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_untainted.arm""]","",[],"[2399,1362]","[1,1000]","Contains wild Animals\r\nMonsters drop no items\r\n1000% increased Experience gain","Reflection of Paradise",3,1802,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconUntaintedParadise",1,68,26,"",[5815],[100],"(Difficulty scales Experience granted by Monsters)",13807
94,"Fishing1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_fishing.arm""]","",[],[],[],"Contains Mirrored Fish\r\nMirrored Fish can only be caught using Mirrored Fishing Rods","Reflection of Angling",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconFishing",1,80,26,"",[],[],"",13809
