"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","i32","DropLevelMinimum","DropLevelMaximum","Monster_ModsKeys","EssenceTypeKey","Level","i32","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","[rid]"
82,155,"","","","","","","","","","","","","",168,"","","","","","","","",-1542366365,0,0,"[12248,12260]",14,6,0,"","",8483,8487,"",168,"",168,168,168,168,8487,8483,8487,8487,8487,8487,8483,8483,8483,8483,8483,8483,8483,12202,0,168,168,168,168,168,168,"","[12256,12260]"
83,156,"","","","","","","","","","","","","",171,"","","","","","","","",473094408,0,0,"[12249,12260]",14,7,0,"","",8484,8488,"",171,"",171,171,171,171,8488,8484,8488,8488,8488,8488,8484,8484,8484,8484,8484,8484,8484,12203,0,171,171,171,171,171,171,"","[12257,12260]"
84,157,"","","","","","","","","","","","","",2736,2536,2536,19853,2727,2112,9390,20716,3425,-355385139,48,100,[12246],15,4,612,"",2619,"","","",3425,2623,20716,9390,2112,2727,2623,2623,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,12139,75,19853,2536,2536,2732,3425,"","",[12254]
85,158,"","","","","","","","","","","","","",2737,2537,2537,19854,2729,2113,9391,20717,3426,839378797,68,100,[12247],15,5,673,"",2620,"","","",3426,2624,20717,9391,2113,2729,2624,2624,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,12140,0,19854,2537,2537,2733,3426,"",1,[12255]
86,159,"","","","","","","","","","","","","",2738,2539,2555,19855,2730,2114,9392,20718,3427,-1822562206,0,0,[12248],15,6,0,"",2621,"","","",3427,2625,20718,9392,2114,2730,2625,2625,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,12141,0,19855,2539,2555,2734,3427,"","",[12256]
87,160,"","","","","","","","","","","","","",2739,2540,2556,19856,2731,2116,9393,20719,3428,1492393166,0,0,[12249],15,7,0,"",2622,"","","",3428,2626,20719,9393,2116,2731,2626,2626,2622,2622,2622,2622,2622,2622,2622,2622,2622,2622,2622,12142,0,19856,2540,2556,2735,3428,"","",[12257]
88,161,"","","","","","","","","","","","","",2447,"","",4602,"","","","",2866,-760080401,68,100,[12247],16,5,586,"","",2541,2549,"",519,"",519,519,519,519,2549,2541,2549,2549,2549,2549,2541,2541,2541,2541,2541,2541,2541,12108,0,4602,2866,2866,2866,2866,"",1,[12255]
89,162,"","","","","","","","","","","","","",2448,"","",4603,"","","","",2867,557934500,0,0,[12248],16,6,0,"","",2542,2550,"",521,"",521,521,521,521,2550,2542,2550,2550,2550,2550,2542,2542,2542,2542,2542,2542,2542,12109,0,4603,2867,2867,2867,2867,"","",[12256]
90,163,"","","","","","","","","","","","","",2449,"","",4604,"","","","",2868,-1973061961,0,0,[12249],16,7,0,"","",2543,2551,"",524,"",524,524,524,524,2551,2543,2551,2551,2551,2551,2543,2543,2543,2543,2543,2543,2543,12110,0,4604,2868,2868,2868,2868,"","",[12257]
91,164,"","","","","","","","","","","",3483,4204,3483,1924,2021,2017,"","",2043,2048,2054,2086905859,68,100,[12247],17,5,586,"","",23214,"",23217,2051,"",2048,2043,2051,2051,4204,3483,23217,23217,23217,23217,23214,23214,23214,23214,23214,23214,23214,12178,0,2017,1924,2021,"",2054,"",1,[12255]
92,165,"","","","","","","","","","","",3484,4205,3484,1927,2022,2018,"","",2045,2049,2055,330229883,0,0,[12248],17,6,0,"","",23215,"",23218,2052,"",2049,2045,2052,2052,4205,3484,23218,23218,23218,23218,23215,23215,23215,23215,23215,23215,23215,12179,0,2018,1927,2022,"",2055,"","",[12256]
93,166,"","","","","","","","","","","",3485,4205,3485,1928,2023,2020,"","",2047,2050,2056,1669260288,0,0,[12249],17,7,0,"","",23216,"",23219,2053,"",2050,2047,2053,2053,4205,3485,23219,23219,23219,23219,23216,23216,23216,23216,23216,23216,23216,12180,0,2020,1928,2023,"",2056,"","",[12257]
94,167,"","","","","","","","","","","","","",3387,3387,3397,2914,"","",9410,"",3467,122642368,68,100,[12247],18,5,586,3467,"","","","",9407,"",9407,9410,9407,9407,3467,3467,3467,3467,3467,3467,3467,3467,3467,3467,3467,3467,3467,12147,0,2914,3387,3397,"",3467,"",1,[12255]
95,168,"","","","","","","","","","","","","",3388,3388,3398,2915,"","",9411,"",3468,-1016206409,0,0,[12248],18,6,0,3468,"","","","",9408,"",9408,9411,9408,9408,3468,3468,3468,3468,3468,3468,3468,3468,3468,3468,3468,3468,3468,12148,0,2915,3388,3398,"",3468,"","",[12256]
96,169,"","","","","","","","","","","","","",3396,3396,3399,2916,"","",9412,"",3469,1247641969,0,0,[12249],18,7,0,3469,"","","","",9409,"",9409,9412,9409,9409,3469,3469,3469,3469,3469,3469,3469,3469,3469,3469,3469,3469,3469,12149,0,2916,3396,3399,"",3469,"","",[12257]
97,170,"","","","","","","","","","","","","",11964,"","",3244,"","","","","",-1691201624,68,100,"[12247,3715]",19,5,586,"","",9509,9513,"",3244,"",3244,3244,3244,3244,9513,9509,9513,9513,9513,9513,9509,9509,9509,9509,9509,9509,9509,12136,0,3244,7967,7967,7967,3244,"",1,"[12255,3715]"
98,171,"","","","","","","","","","","","","",11965,"","",3245,"","","","","",-718463325,0,0,"[12248,3715]",19,6,0,"","",9510,9514,"",3245,"",3245,3245,3245,3245,9514,9510,9514,9514,9514,9514,9510,9510,9510,9510,9510,9510,9510,12137,0,3245,7968,7968,7968,3245,"","","[12256,3715]"
99,172,"","","","","","","","","","","","","",11966,"","",3246,"","","","","",692127728,0,0,"[12249,3715]",19,7,0,"","",9511,9515,"",3246,"",3246,3246,3246,3246,9515,9511,9515,9515,9515,9515,9511,9511,9511,9511,9511,9511,9511,12138,0,3246,7969,7969,7969,3246,"","","[12257,3715]"
100,173,"","","","","","","","","","","","","",12227,7976,12226,12262,12217,12223,12290,12242,12240,-306989797,0,0,[12250],20,8,0,12281,"","","","","","",12242,12290,12223,12217,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12281,12206,0,12262,7976,12226,"",12240,"","",[12258]
101,174,"","","","","","","","","","","","","",9756,12268,12264,12237,12219,12301,12292,12220,12265,-1454947071,0,0,"[12250,12289]",21,8,0,12288,"","","","","","",12220,12292,12301,12219,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12207,0,12237,12268,12264,"",12265,"","","[12258,12289]"
102,175,"","","","","","","","","","","","","",12239,12270,12238,12271,12235,12222,12224,12221,12266,-2010504687,0,0,"[12250,12211]",22,8,0,12277,"","","","","","",12221,12224,12222,12235,12277,12277,12277,12277,12277,12277,12277,12277,12277,12277,12277,12277,12277,12208,0,12271,12270,12238,"",12266,"","","[12258,12211]"
103,176,"","","","","","","","","","","","","",12297,12296,17729,7056,12293,11691,12233,12280,12294,-1499847665,0,0,"[12250,12172,12299]",23,8,0,12298,"","","","","","",12280,12233,11691,12293,12298,12298,12298,12298,12298,12298,12298,12298,12298,12298,12298,12298,12298,12209,0,7056,12296,17729,"",12294,"","","[12258,12172,12299]"
104,177,"","","","","","","","","","","","","","","","","","","","","","",411361590,32,100,"[12283,12284,12285]",24,0,0,"","","","","","","","","","","","","","","","","","","","","","","","",12113,0,"","","","","","","","[12283,12284,12285]"
